Project Name,Item ARK,Parent ARK,Object Type,Visibility,File Name,Item Sequence,Type.genre,Rights.statementLocal,Name.repository,Name.subject,Name.creator,Rights.servicesContact,Format.medium,Description.note,Date.creation,Date.normalized,Format.dimensions,Title,Alt ID.local,Alt ID.url,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Eric Gill Artwork Collection,ark:/21198/zz002j5frm,ark:/21198/zz002czw6v,Work,,eric_gill/image/21198-zz002j5frm_2310716_master.tif,,drawings (visual works)|~|religious art,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",pencil and ink on tracing paper,Original drawings of the crucifix in various positions,1909-1916,1909/1916,"4 1/4 x 4 1/2""",The Crucifix: York Minster,CEG376,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j5frm,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j5frm/manifest
Eric Gill Artwork Collection,ark:/21198/zz002j5fs4,ark:/21198/zz002czw6v,Work,,eric_gill/image/21198-zz002j5fs4_2310719_master.tif,,drawings (visual works)|~|religious art,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",pencil and ink on tracing paper,Original drawings of the crucifix in various positions,1909-1916,1909/1916,"5 1/4 x 5 3/4""",The Crucifix: York Minster,CEG377,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j5fs4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j5fs4/manifest
Eric Gill Artwork Collection,ark:/21198/zz002j5ftn,ark:/21198/zz002czw6v,Work,,eric_gill/image/21198-zz002j5ftn_2310722_master.tif,,drawings (visual works)|~|religious art,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",pencil on tracing paper,Original drawings of the crucifix in various positions,1909-1916,1909/1916,"2 x 5 3/4""",The Crucifix: York Minster,CEG379,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j5ftn,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j5ftn/manifest
Eric Gill Artwork Collection,ark:/21198/zz002j5fv5,ark:/21198/zz002czw6v,Work,,eric_gill/image/21198-zz002j5fv5_2310725_master.tif,,drawings (visual works)|~|religious art,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",pencil and ink on tracing paper,Original drawings of the crucifix in various positions,1909-1916,1909/1916,"5 x 3""",The Crucifix: York Minster,CEG380,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j5fv5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j5fv5/manifest
Eric Gill Artwork Collection,ark:/21198/zz002j5fwp,ark:/21198/zz002czw6v,Work,,eric_gill/image/21198-zz002j5fwp_2310728_master.tif,,religious art,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",ink on paper,"Possibly a suggestion for the font he was commissioned to do for a Catholic Church in Pickering, North Riding, Yorkshire",1913 September 9,1913-09-9,"7 x 4 3/4""","Untitled [Font suggestion, Catholic Church]",CEG381,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j5fwp,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j5fwp/manifest
Eric Gill Artwork Collection,ark:/21198/zz002j5fx6,ark:/21198/zz002czw6v,Work,,eric_gill/image/21198-zz002j5fx6_2310731_master.tif,,drawings (visual works)|~|religious art,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",pencil and ink on paper,"Possibly a suggestion for the font he was commissioned to do for a Catholic Church in Pickering, North Riding, Yorkshire",1913 September 9,1913-09-9,"6 x 9 1/4""","Untitled [Font suggestion, Catholic Church]",CEG382,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j5fx6,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j5fx6/manifest
Eric Gill Artwork Collection,ark:/21198/zz002j5fzq,ark:/21198/zz002czw6v,Work,,eric_gill/image/21198-zz002j5fzq_2310734_master.tif,,drawings (visual works)|~|religious art,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",pencil on paper,"Pencil sketch of proposed statue “The Golden Calf” carved in stone, gilt. Plate # 10 in Eric Gill, Ln, Ernest Benn, Ltd. 1927.",1912,1912,"6 1/2 x 5""",[The Golden Calf],CEG383,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j5fzq,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j5fzq/manifest
Eric Gill Artwork Collection,ark:/21198/zz002j5g0q,ark:/21198/zz002czw6v,Work,,eric_gill/image/21198-zz002j5g0q_2310737_master.tif,,rubbings (visual works)|~|letterforms,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",pencil on paper,"Genesis 33.5, “Quid sibi volunt isti?...[4 lines], inscribed “SG with EF, Ditchling, Sx.23.4.’13/”",1913 April 23,1913-04-23,"39 x 15 1/2""",[Genesis 33.5],CEG384,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j5g0q,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j5g0q/manifest
Eric Gill Artwork Collection,ark:/21198/zz002j5g17,ark:/21198/zz002czw6v,Work,,eric_gill/image/21198-zz002j5g17_2310740_master.tif,,drawings (visual works)|~|religious art,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",pencil and ink on paper,Finished wash drawing (some color added) of a design for “Dockenfield Church-Cross to Gable”: scale ½” to 1’.,1910 August 20,1910-08-20,"17 1/2 x 10 1/2""",Dockenfield Church,CEG385,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j5g17,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j5g17/manifest
Eric Gill Artwork Collection,ark:/21198/zz002j5g2r,ark:/21198/zz002czw6v,Work,,eric_gill/image/21198-zz002j5g2r_2310743_master.tif,,drawings (visual works)|~|letterforms,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",pencil and ink on tracing paper,"“God leadeth [device] It is well” (Inscription over door of cottage at West Lavington, Wilts) signed AER Gill",1909 March 20,1909-03-20,"7 3/4 x 18 1/2""",Untitled [West Lavington Cottage],CEG386,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j5g2r,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j5g2r/manifest
Eric Gill Artwork Collection,ark:/21198/zz002j5g38,ark:/21198/zz002czw6v,Work,,eric_gill/image/21198-zz002j5g38_2310746_master.tif,,letterforms,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",pencil and ink on tracing paper,Greek lettering [for side of Hopton-Wood stone relief T-shaped crucifix of nude Christ] Quote of Matthew 19.12 in Greek. 2 Leaves: 31x12” & 23x18” on verso of 2d: penciled sketch for location and installation of Boulter Headstone. See Inscr. Work 200 and Thorp Gill plate #1. Inscription work 203.,1909 November 27,1909-11-27,"31 x 12""",Untitled,CEG387,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j5g38,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j5g38/manifest
Eric Gill Artwork Collection,ark:/21198/zz002j5g59,ark:/21198/zz002czw6v,Work,,eric_gill/image/21198-zz002j5g59_2310755_master.tif,,drawings (visual works)|~|architectural drawings (visual works),"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu","pencil, ink and watercolor on paper","Font for St. Josephs (Roman Catholic) Church, Pickering, Yorkshire: collection of pencil drawings & tracings; working drawing heightened in color; and watercolor of font, heightened in gold, dated May 26 & August 28, 1914 & June 6,1915. Unit coll of 5 pieces, various sizes, in folder 13x22”. See Evan Gill Inscription work # 308 for details about carving completed March 1916.",1914 May 26,1914-05-26,"15 1/2 x 11""",Untitled [Font for St. Josephs],CEG389,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j5g59,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j5g59/manifest
Eric Gill Artwork Collection,ark:/21198/zz002j5g6t,ark:/21198/zz002czw6v,Work,,eric_gill/image/21198-zz002j5g6t_2310758_master.tif,,drawings (visual works)|~|religious art,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",pencil and ink on paper,"Font for St. Josephs (Roman Catholic) Church, Pickering, Yorkshire: collection of pencil drawings & tracings; working drawing heightened in color; and watercolor of font, heightened in gold, dated May 26 & August 28, 1914 & June 6,1915. Unit coll of 5 pieces, various sizes, in folder 13x22”. See Evan Gill Inscription work # 308 for details about carving completed March 1916.",1915 June 6,1915-06-6,"10 1/4 x 9""",Untitled [Font for St. Josephs],CEG390,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j5g6t,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j5g6t/manifest
Eric Gill Artwork Collection,ark:/21198/zz002j5g7b,ark:/21198/zz002czw6v,Work,,eric_gill/image/21198-zz002j5g7b_2310761_master.tif,,drawings (visual works)|~|religious art,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",pencil on paper,"Font for St. Josephs (Roman Catholic) Church, Pickering, Yorkshire: collection of pencil drawings & tracings; working drawing heightened in color; and watercolor of font, heightened in gold, dated May 26 & August 28, 1914 & June 6, 1915. Unit coll of 5 pieces, various sizes, in folder 13x22”. See Evan Gill Inscription work # 308 for details about carving completed March 1916.",1914-1915,1914/1915,"7 1/4 x 10""",Untitled [Font for St. Josephs],CEG391,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j5g7b,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j5g7b/manifest
Eric Gill Artwork Collection,ark:/21198/zz002j5g8v,ark:/21198/zz002czw6v,Work,,eric_gill/image/21198-zz002j5g8v_2310764_master.tif,,drawings (visual works)|~|religious art,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",pencil on tracing paper,"Font for St. Josephs (Roman Catholic) Church, Pickering, Yorkshire: collection of pencil drawings & tracings; working drawing heightened in color; and watercolor of font, heightened in gold, dated May 26 & August 28, 1914 & June 6, 1915. Unit coll of 5 pieces, various sizes, in folder 13x22”. See Evan Gill Inscription work # 308 for details about carving completed March 1916.",1914 August 28,1914-08-28,"7 3/4 x 9""",Untitled [Font for St. Josephs],CEG392,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j5g8v,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j5g8v/manifest
Eric Gill Artwork Collection,ark:/21198/zz002j5g9c,ark:/21198/zz002czw6v,Work,,eric_gill/image/21198-zz002j5g9c_2310767_master.tif,,drawings (visual works)|~|religious art,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",pencil on tracing paper,"Font for St. Josephs (Roman Catholic) Church, Pickering, Yorkshire: collection of pencil drawings & tracings; working drawing heightened in color; and watercolor of font, heightened in gold, dated May 26 & August 28, 1914 & June 6,1915. Unit coll of 5 pieces, various sizes, in folder 13x22”. See Evan Gill Inscription work # 308 for details about carving completed March 1916.",1914-1915,1914/1915,"2 x 3""",Untitled [Font for St. Josephs],CEG393,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j5g9c,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j5g9c/manifest
