Becky's notes!,Project Name,Item ARK,Parent ARK,Object Type,Visibility,File Name,Item Sequence,Thumbnail,Type.genre,Rights.statementLocal,Name.repository,Name.subject,Name.creator,Rights.servicesContact,Format.medium,Description.note,Date.creation,Date.normalized,Format.dimensions,Title,Alt ID.local,IIIF Manifest URL
,Eric Gill Artwork Collection,ark:/21198/zz002d1xvg,ark:/21198/zz002czw6v,Work,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1xvg%2F69313b15,drawings (visual works)|~|letterforms,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",pencil on tracing paper,Drawing for the League of Nations project. This panel consists of text that continues on a different panel.,1936,1936,"139 x 30""",Untitled,CEG167,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d1xvg/manifest
,Eric Gill Artwork Collection,ark:/21198/zz002d1xw0,ark:/21198/zz002czw6v,Work,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1xw0%2F2q06tj85,drawings (visual works),"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",pencil on tracing paper,Drawing for the League of Nations project. This panel consists of a reclining male nude with his left arm outstretched.,1936 February 17,1936-02-17,"95 x 30""",Geneva,CEG168,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d1xw0/manifest
,Eric Gill Artwork Collection,ark:/21198/zz002d1xxh,ark:/21198/zz002czw6v,Work,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d1xxh%2Fbh787n9p,drawings (visual works),"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",pencil on tracing paper,Drawing for the League of Nations project. This panel consists of a reclining male nude with his left arm outstretched. The face in this drawing is not detailed.,1936 July 20,1936-07-20,"94 1/2 x 29 3/4""",Untitled,CEG169,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d1xxh/manifest
,Eric Gill Artwork Collection,ark:/21198/zz002d23q8,ark:/21198/zz002czw6v,Work,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d23q8%2F9j34n190,drawings (visual works)|~|sculpture (visual work)|~|erotica,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",pencil on paper,"“Christ and the church” – an embracing man and woman, a scale drawing for a sculpture that is in the Tate Gallery.",1910,1910,"14 3/8 x 35""",Ecstasy,CEG311,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d23q8/manifest
,Eric Gill Artwork Collection,ark:/21198/zz002d26t8,ark:/21198/zz002czw6v,Work,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d26t8%2Fvc24sx55,drawings (visual works),"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",pencil on tracing paper,Altar piece for the Chapel. One of 5 pencil drawings; executed in 1/8 full size.,1926 January 10,1926-01-10,"14 x 8 1/8""",Rossall School Memorial Chapel Altar,CEG600,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d26t8/manifest
,Eric Gill Artwork Collection,ark:/21198/zz002d282v,ark:/21198/zz002czw6v,Work,private,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d282v%2Fpf36ph51,,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,,"William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",,,,,,CEG0639_a,CEG0639_a,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d282v/manifest
,Eric Gill Artwork Collection,ark:/21198/zz002d283c,ark:/21198/zz002czw6v,Work,private,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d283c%2Fck049x2q,,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,,"William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",,,,,,CEG0640,CEG0640,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d283c/manifest
,Eric Gill Artwork Collection,ark:/21198/zz002d288z,ark:/21198/zz002czw6v,Work,private,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d288z%2Ffg76h71x,,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,,"William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",,,,,,CEG0645,CEG0645,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d288z/manifest
,Eric Gill Artwork Collection,ark:/21198/zz002d293v,ark:/21198/zz002czw6v,Work,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d293v%2F6k77gd7q,letterforms,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Johnston, Edward, 1872-1944","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",Ink and pencil on paper and cardstock,Layout for Bainton Rectory Chain Book. Small pages with notes bound in cardstock. Johnston: Selection of Materials #7. Also includes a loos paper scrap with a print of Johnston’s signature.,1923 May,1923-05,"3 7/8 x 4 1/8""",Bainton Rectory Chain Book Layout and letters,CEG669,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d293v/manifest
,Eric Gill Artwork Collection,ark:/21198/zz002d294c,ark:/21198/zz002czw6v,Work,private,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d294c%2Frj83q52r,,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,,"William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",,,,,,CEG0674,CEG0674,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d294c/manifest
,Eric Gill Artwork Collection,ark:/21198/zz002d29bg,ark:/21198/zz002czw6v,Work,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d29bg%2Fq299s497,photographs|~|woodcuts (prints),"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu","Silver gelatin prints, woodblock prints, ink on paper","Booklet with 9 photographs of Gill’s stone lettering from 1904-1906, including descriptions are included under each photograph. Text on the cover states, “To my Father & Mother from A.E.R. Gill. For September 30 & December 2, 1906.”",1906,1906,"5 7/8 x 8 7/8""","Photographs of Various Letterings, Etc.",CEG680,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d29bg/manifest
,Eric Gill Artwork Collection,ark:/21198/zz002d29jk,ark:/21198/zz002czw6v,Work,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d29jk%2F1x83kk9f,paintings (visual works),"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",Watercolor on medium-weight paper,Painting of house between two trees with text below.,1909 June,1909-06,14 ¼ x 10 ¼”,Sketch for Land Club banner,CEG687,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d29jk/manifest
,Eric Gill Artwork Collection,ark:/21198/zz002d2f07,ark:/21198/zz002czw6v,Work,private,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2f07%2Ftc15vv6f,,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,,"William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",,,,,,CEG0920_a,CEG0920_a,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d2f07/manifest
,Eric Gill Artwork Collection,ark:/21198/zz002d2frm,ark:/21198/zz002czw6v,Work,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2frm%2Fc469fd2q,drawings (visual works)|~|letters (correspondence)|~|religious art,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",ink on paper,"A group of drawings and sketches relating to the Gorleston-on-Sea Church project. This letter to Eric Gill from the Postal Services Department, acknowledges receipt of his design for the Post Office centenary stamp. On the verso is a sketch for the Gorleston crucifix.",1939 May,1939-05,"7 1/2 x 9 1/2""",Gorleston Crucifix and letter from Postal Services Department,CEG961,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d2frm/manifest
,Eric Gill Artwork Collection,ark:/21198/zz002d2h48,ark:/21198/zz002czw6v,Work,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2h48%2Fvt30jp15,drawings (visual works)|~|architectural drawings (visual works),"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",pencil on paper,"Designs of furnishings for St. Peter Apostle, Gorleston-on-Sea. This sketch shows a design for a structure inside the church, with annotations regarding other aspects of the architecture. Design for possible fountain on verso",undated,1914/1963,"5 x 8""",Untitled,CEG1002,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d2h48/manifest
,Eric Gill Artwork Collection,ark:/21198/zz002d2j4r,ark:/21198/zz002czw6v,Work,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2j4r%2Fjc02g723,drawings (visual works),"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",pencil on paper,"Designs of furnishings for St. Peter Apostle, Gorleston-on-Sea.",undated,1914/1963,"4 1/4 x 4 3/4""",Untitled,CEG1031,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d2j4r/manifest
,Eric Gill Artwork Collection,ark:/21198/zz002d2ktk,ark:/21198/zz002czw6v,Work,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2ktk%2Ff806s10n,drawings (visual works)|~|architectural drawings (visual works),"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",pencil on paper,"A group of three sheets of architectural sketches for cottages at Ditchling, Sussex.",1920?,1920,,Untitled,CEG1080,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d2ktk/manifest
,Eric Gill Artwork Collection,ark:/21198/zz002d2nrh,ark:/21198/zz002czw6v,Work,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2nrh%2F2n73f796,drawings (visual works)|~|bookplates,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",ink on paper,A group of 4 items related to the Charles Lambert Rutherston Bookplate. This item is an ink sketch with pencil sketches on the verso.,1916,1916,"4 1/2 x 7 1/8""","EX COLLEXTIONE, Charles Lambert Rutherston (Bookplate)",CEG1204,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d2nrh/manifest
,Eric Gill Artwork Collection,ark:/21198/zz002d2tjt,ark:/21198/zz002czw6v,Work,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2tjt%2F5j29vp34,woodcuts (prints)|~|proofs,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu",woodcut on paper,"Unit includes one proof of a girl with a swan, as well as a note in Gill’s hand describing the details of the proofs and prints of “Leda and the Swan.” Gill #3.",1924,1924,"5 1/8 x 5 3/8""",Leda (Leda and the Swan),CEG1347,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d2tjt/manifest
,Eric Gill Artwork Collection,ark:/21198/zz002d2w4k,ark:/21198/zz002czw6v,Work,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002d2w4k%2Fc5897g49,drawings (visual works)|~|sketchbooks,"Copyright has not been assigned to the William Andrews Clark Memorial Library. All requests for permission to publish or quote from manuscripts must be submitted in writing to the Librarian. Permission for publication is given on behalf of the William Andrews Clark Memorial Library as the owner of the physical items and is not intended to include or imply permission of the copyright holder, which must also be obtained.",William Andrews Clark Memorial Library,,"Gill, Eric, 1882-1940","William Andrews Clark Memorial Library, UCLA, Phone: (310) 794-5155, Email: clark@humnet.ucla.edu","pencil, crayon and watercolor on paper","Sketchbook with 25 leaves. Bound in black with gold lettering, “Sketches.”",1888,1888,"7 1/4 x 5""",Sketches (juvenilia),CEG1399,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002d2w4k/manifest
