Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,iiif_access_url,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.countryCreation,Subject,Name.creator,Name.contributor,Name.interviewer,Name.subject,Name.interviewee,Name.photographer,Name.repository,Language,Alt ID.local,Format.medium,Title,Date.creation,Coverage.temporal,Description.abstract,Publisher.publisherName,Relation.isPartOf,Format.extent,Description.note,Source,Relation.relatedTo,AltTitle.uniform,Description.biographicalNote,Coverage.geographic,Description.tableOfContents,Publisher.placeOfOrigin,Bucketeer State,IIIF Access URL
American College of Neuropsychopharmacology,ark:/21198/z1d23nmc,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_017.tif,18,,,,,,,,,,,,,,,,,,,Page 17,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d23nmc
American College of Neuropsychopharmacology,ark:/21198/z18d1m61,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_018.tif,19,,,,,,,,,,,,,,,,,,,Page 18,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18d1m61
American College of Neuropsychopharmacology,ark:/21198/z14n0vkn,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_019.tif,20,,,,,,,,,,,,,,,,,,,Page 19,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14n0vkn
American College of Neuropsychopharmacology,ark:/21198/z10w03sd,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_020.tif,21,,,,,,,,,,,,,,,,,,,Page 20,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10w03sd
American College of Neuropsychopharmacology,ark:/21198/z1w39m8f,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_021.tif,22,,,,,,,,,,,,,,,,,,,Page 21,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w39m8f
American College of Neuropsychopharmacology,ark:/21198/z1rb8vh8,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_022.tif,23,,,,,,,,,,,,,,,,,,,Page 22,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rb8vh8
American College of Neuropsychopharmacology,ark:/21198/z1mk83tc,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_023.tif,24,,,,,,,,,,,,,,,,,,,Page 23,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mk83tc
American College of Neuropsychopharmacology,ark:/21198/z1gt7c5z,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_024.tif,25,,,,,,,,,,,,,,,,,,,Page 24,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gt7c5z
American College of Neuropsychopharmacology,ark:/21198/z1c559sz,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_025.tif,26,,,,,,,,,,,,,,,,,,,Page 25,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c559sz
American College of Neuropsychopharmacology,ark:/21198/z17d4k50,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_026.tif,27,,,,,,,,,,,,,,,,,,,Page 26,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17d4k50
American College of Neuropsychopharmacology,ark:/21198/z13n3tdt,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_027.tif,28,,,,,,,,,,,,,,,,,,,Page 27,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13n3tdt
American College of Neuropsychopharmacology,ark:/21198/z1zw39vm,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_028.tif,29,,,,,,,,,,,,,,,,,,,Page 28,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zw39vm
American College of Neuropsychopharmacology,ark:/21198/z1v42k4m,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_029.tif,30,,,,,,,,,,,,,,,,,,,Page 29,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v42k4m
American College of Neuropsychopharmacology,ark:/21198/z1qc1tfb,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_030.tif,31,,,,,,,,,,,,,,,,,,,Page 30,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qc1tfb
American College of Neuropsychopharmacology,ark:/21198/z1km12tb,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_031.tif,32,,,,,,,,,,,,,,,,,,,Page 31,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1km12tb
American College of Neuropsychopharmacology,ark:/21198/z1fx91fw,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_032.tif,33,,,,,,,,,,,,,,,,,,,Page 32,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fx91fw
American College of Neuropsychopharmacology,ark:/21198/z1b588rx,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_033.tif,34,,,,,,,,,,,,,,,,,,,Page 33,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b588rx
American College of Neuropsychopharmacology,ark:/21198/z16d7j05,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_034.tif,35,,,,,,,,,,,,,,,,,,,Page 34,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16d7j05
American College of Neuropsychopharmacology,ark:/21198/z12n6s6j,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_035.tif,36,,,,,,,,,,,,,,,,,,,Page 35,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12n6s6j
American College of Neuropsychopharmacology,ark:/21198/z1xw68q7,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_036.tif,37,,,,,,,,,,,,,,,,,,,Page 36,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xw68q7
American College of Neuropsychopharmacology,ark:/21198/z1t45j24,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_037.tif,38,,,,,,,,,,,,,,,,,,,Page 37,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t45j24
American College of Neuropsychopharmacology,ark:/21198/z1pc4sd9,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_038.tif,39,,,,,,,,,,,,,,,,,,,Page 38,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pc4sd9
American College of Neuropsychopharmacology,ark:/21198/z1jq2qz3,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_039.tif,40,,,,,,,,,,,,,,,,,,,Page 39,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jq2qz3
American College of Neuropsychopharmacology,ark:/21198/z1dz20bh,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_040.tif,41,,,,,,,,,,,,,,,,,,,Page 40,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dz20bh
American College of Neuropsychopharmacology,ark:/21198/z19617j6,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_041.tif,42,,,,,,,,,,,,,,,,,,,Page 41,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19617j6
American College of Neuropsychopharmacology,ark:/21198/z15f0gs1,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_042.tif,43,,,,,,,,,,,,,,,,,,,Page 42,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15f0gs1
American College of Neuropsychopharmacology,ark:/21198/z11n9r1q,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_043.tif,44,,,,,,,,,,,,,,,,,,,Page 43,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11n9r1q
American College of Neuropsychopharmacology,ark:/21198/z1ww97nr,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_044.tif,45,,,,,,,,,,,,,,,,,,,Page 44,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ww97nr
American College of Neuropsychopharmacology,ark:/21198/z1s48h0n,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_045.tif,46,,,,,,,,,,,,,,,,,,,Page 45,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s48h0n
American College of Neuropsychopharmacology,ark:/21198/z1ng6fmb,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_046.tif,47,,,,,,,,,,,,,,,,,,,Page 46,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ng6fmb
American College of Neuropsychopharmacology,ark:/21198/z1hq5pzh,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_047.tif,48,,,,,,,,,,,,,,,,,,,Page 47,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hq5pzh
American College of Neuropsychopharmacology,ark:/21198/z1cz4z59,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_048.tif,49,,,,,,,,,,,,,,,,,,,Page 48,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cz4z59
American College of Neuropsychopharmacology,ark:/21198/z18646cc,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_049.tif,50,,,,,,,,,,,,,,,,,,,Page 49,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18646cc
American College of Neuropsychopharmacology,ark:/21198/z14f3fnn,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_050.tif,51,,,,,,,,,,,,,,,,,,,Page 50,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14f3fnn
American College of Neuropsychopharmacology,ark:/21198/z10p2q07,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_051.tif,52,,,,,,,,,,,,,,,,,,,Page 51,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10p2q07
American College of Neuropsychopharmacology,ark:/21198/z1w10wv8,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_052.tif,53,,,,,,,,,,,,,,,,,,,Page 52,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w10wv8
American College of Neuropsychopharmacology,ark:/21198/z1r8057p,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_053.tif,54,,,,,,,,,,,,,,,,,,,Page 53,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r8057p
American College of Neuropsychopharmacology,ark:/21198/z1mg9djv,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_054.tif,55,,,,,,,,,,,,,,,,,,,Page 54,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mg9djv
American College of Neuropsychopharmacology,ark:/21198/z1gq8nsp,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_055.tif,56,,,,,,,,,,,,,,,,,,,Page 55,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gq8nsp
American College of Neuropsychopharmacology,ark:/21198/z1bz7x0g,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_056.tif,57,,,,,,,,,,,,,,,,,,,Page 56,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bz7x0g
American College of Neuropsychopharmacology,ark:/21198/z176758f,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_057.tif,58,,,,,,,,,,,,,,,,,,,Page 57,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz176758f
American College of Neuropsychopharmacology,ark:/21198/z13f6dn2,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_058.tif,59,,,,,,,,,,,,,,,,,,,Page 58,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13f6dn2
American College of Neuropsychopharmacology,ark:/21198/z1zs4mf9,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_059.tif,60,,,,,,,,,,,,,,,,,,,Page 59,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zs4mf9
American College of Neuropsychopharmacology,ark:/21198/z1v13vss,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_060.tif,61,,,,,,,,,,,,,,,,,,,Page 60,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v13vss
American College of Neuropsychopharmacology,ark:/21198/z1q8344r,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_061.tif,62,,,,,,,,,,,,,,,,,,,Page 61,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q8344r
American College of Neuropsychopharmacology,ark:/21198/z1kh2c9p,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_062.tif,63,,,,,,,,,,,,,,,,,,,Page 62,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kh2c9p
American College of Neuropsychopharmacology,ark:/21198/z1fr1mjh,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_063.tif,64,,,,,,,,,,,,,,,,,,,Page 63,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fr1mjh
American College of Neuropsychopharmacology,ark:/21198/z1b00vt3,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_064.tif,65,,,,,,,,,,,,,,,,,,,Page 64,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b00vt3
American College of Neuropsychopharmacology,ark:/21198/z167046h,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_065.tif,66,,,,,,,,,,,,,,,,,,,Page 65,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz167046h
American College of Neuropsychopharmacology,ark:/21198/z12j82s6,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_066.tif,67,,,,,,,,,,,,,,,,,,,Page 66,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12j82s6
American College of Neuropsychopharmacology,ark:/21198/z1xs7kd8,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_067.tif,68,,,,,,,,,,,,,,,,,,,Page 67,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xs7kd8
American College of Neuropsychopharmacology,ark:/21198/z1t16tpv,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_068.tif,69,,,,,,,,,,,,,,,,,,,Page 68,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t16tpv
American College of Neuropsychopharmacology,ark:/21198/z1p862wm,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_069.tif,70,,,,,,,,,,,,,,,,,,,Page 69,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p862wm
American College of Neuropsychopharmacology,ark:/21198/z1jh5b3d,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_070.tif,71,,,,,,,,,,,,,,,,,,,Page 70,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jh5b3d
American College of Neuropsychopharmacology,ark:/21198/z1dr4kd4,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_071.tif,72,,,,,,,,,,,,,,,,,,,Page 71,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4kd4
American College of Neuropsychopharmacology,ark:/21198/z1903trm,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_072.tif,73,,,,,,,,,,,,,,,,,,,Page 72,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903trm
American College of Neuropsychopharmacology,ark:/21198/z15b1sfm,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_073.tif,74,,,,,,,,,,,,,,,,,,,Page 73,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15b1sfm
American College of Neuropsychopharmacology,ark:/21198/z11k11tm,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_074.tif,75,,,,,,,,,,,,,,,,,,,Page 74,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11k11tm
American College of Neuropsychopharmacology,ark:/21198/z1wt0j8f,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_075.tif,76,,,,,,,,,,,,,,,,,,,Page 75,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt0j8f
American College of Neuropsychopharmacology,ark:/21198/z1s19sgk,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_076.tif,77,,,,,,,,,,,,,,,,,,,Page 76,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s19sgk
American College of Neuropsychopharmacology,ark:/21198/z1n891qs,ark:/21198/zz001hd6s3/4h785s92,,,Page,acnp/image/21198-zz001hd6s3-3-master_077.tif,78,,,,,,,,,,,,,,,,,,,Page 77,,,,,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n891qs
