"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Name.photographer","Name.creator","Subject","Type.typeOfResource","Rights.copyrightStatus","Type.genre","Name.subject","Rights.servicesContact","Name.repository","Rights.permission","Relation.isPartOf","Date.creation","Format.dimensions","Date.normalized","Format.medium","Title","Alt Identifier.local","Format.extent","Description.abstract","Bucketeer State","IIIF Access URL"
"Bennett (Walter E.) Photographic Collection","ark:/21198/zz0001q2zm","ark:/21198/zz00011f8m","2","Completed","Work","bennett/masters/21198-zz0001q2zm-1-master.tif","","","","Bennett, Walter E. (Walter Edward), 1921-1995","","Demonstrations--Washington (D.C.)|~|Vietnamese Conflict, 1961-1975--Protest movements--Washington (D.C)","still image","copyrighted","news photographs","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","University of California, Los Angeles. $b Library Special Collections","Y","Bennett (Walter E.) photographic collection, 1937-1983, bulk, 1952-1982","April 24, 1971","35 mm","1971-04-24","1 photograph|~|color slide","Demonstrators gather in front of Capital building for the 1971 Vietnam War Out Now protest in Washinton D.C.","uclamss_686_b6_f9_2","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0001q2zm"
"Bennett (Walter E.) Photographic Collection","ark:/21198/zz0001q30m","ark:/21198/zz00011f8m","2","Completed","Work","bennett/masters/21198-zz0001q30m-1-master.tif","","","","Bennett, Walter E. (Walter Edward), 1921-1995","","Beatles|~|Audiences--Washington (D.C.)|~|Rock concerts--Washington, D.C.","still image","copyrighted","news photographs","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","University of California, Los Angeles. $b Library Special Collections","Y","Bennett (Walter E.) photographic collection, 1937-1983, bulk, 1952-1982","August 15, 1966","35 mm","1966-08-15","1 photograph|~|b&w negative","Audience during Beatles August 15, 1966 Washington D.C. performance at D.C. Stadium","uclamss_686_b6_f17_20","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0001q30m"
"Bennett (Walter E.) Photographic Collection","ark:/21198/zz0001q314","ark:/21198/zz00011f8m","2","Completed","Work","bennett/masters/21198-zz0001q314-1-master.tif","","","","Bennett, Walter E. (Walter Edward), 1921-1995","","Demonstrations--Washington (D.C.)|~|Vietnamese Conflict, 1961-1975--Protest movements--Washington (D.C)","still image","copyrighted","news photographs","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","University of California, Los Angeles. $b Library Special Collections","Y","Bennett (Walter E.) photographic collection, 1937-1983, bulk, 1952-1982","April 24, 1971","35 mm","1971-04-24","1 photograph|~|color slide","Costumed anti-war demonstrators at the 1971 Vietnam War Out Now protest, Washinton D.C.","uclamss_686_b6_f9_1","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0001q314"
"Bennett (Walter E.) Photographic Collection","ark:/21198/zz0001q32n","ark:/21198/zz00011f8m","2","Completed","Work","bennett/masters/21198-zz0001q32n-1-master.tif","","","","Bennett, Walter E. (Walter Edward), 1921-1995","","Legislators--United States|~|Ford, Gerald R., 1913-","still image","copyrighted","news photographs","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","University of California, Los Angeles. $b Library Special Collections","Y","Bennett (Walter E.) photographic collection, 1937-1983, bulk, 1952-1982","ca. 1959","35 mm","1959","1 photograph|~|b&w negative","Congressman Gerald Ford in his office","uclamss_686_b6_f26_24","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0001q32n"
"Bennett (Walter E.) Photographic Collection","ark:/21198/zz0001q34p","ark:/21198/zz00011f8m","2","Completed","Work","bennett/masters/21198-zz0001q34p-1-master.tif","","","","Bennett, Walter E. (Walter Edward), 1921-1995","","Eisenhower, Dwight D. (Dwight David), 1890-1969|~|Fishing--United States","still image","copyrighted","news photographs","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","University of California, Los Angeles. $b Library Special Collections","Y","Bennett (Walter E.) photographic collection, 1937-1983, bulk, 1952-1982","ca.1953-1960","35 mm","1953","1 photograph|~|b&w negative","President Dwight D. Eisenhower fishing","uclamss_686_b6_f24_18","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0001q34p"
"Bennett (Walter E.) Photographic Collection","ark:/21198/zz0001q356","ark:/21198/zz00011f8m","2","Completed","Work","bennett/masters/21198-zz0001q356-1-master.tif","","","","Bennett, Walter E. (Walter Edward), 1921-1995","","Ford, Gerald R., 1913-|~|Golf--United States|~|Nicklaus, Jack","still image","copyrighted","news photographs","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","University of California, Los Angeles. $b Library Special Collections","Y","Bennett (Walter E.) photographic collection, 1937-1983, bulk, 1952-1982","ca. 1974-1977","35 mm","1974","1 photograph|~|b&w negative","President Gerald Ford golfing with golf professional Jack Nicklaus","uclamss_686_b6_f26_8","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0001q356"
"Bennett (Walter E.) Photographic Collection","ark:/21198/zz0001q36q","ark:/21198/zz00011f8m","2","Completed","Work","bennett/masters/21198-zz0001q36q-1-master.tif","","","","Bennett, Walter E. (Walter Edward), 1921-1995","","Children of presidents--United States|~|Carter, Amy|~|Carter, Jimmy, 1924-","still image","copyrighted","news photographs","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","University of California, Los Angeles. $b Library Special Collections","Y","Bennett (Walter E.) photographic collection, 1937-1983, bulk, 1952-1982","June 1977","35mm","1977-06","1 photograph|~|color slide","President Jimmy Carter and daughter Amy Carter watch First Lady Rosalynn Carter's flight depart for her South American tour","uclamss_686_b3_f8_4","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0001q36q"
"Bennett (Walter E.) Photographic Collection","ark:/21198/zz0001q377","ark:/21198/zz00011f8m","2","Completed","Work","bennett/masters/21198-zz0001q377-1-master.tif","","","","Bennett, Walter E. (Walter Edward), 1921-1995","","Ford, Gerald R., 1913-","still image","copyrighted","news photographs","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","University of California, Los Angeles. $b Library Special Collections","Y","Bennett (Walter E.) photographic collection, 1937-1983, bulk, 1952-1982","ca. 1974-1977","35 mm","1974","1 photograph|~|b&w negative","President Gerald Ford","uclamss_686_b6_f26_31","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0001q377"
"Bennett (Walter E.) Photographic Collection","ark:/21198/zz0001q38r","ark:/21198/zz00011f8m","2","Completed","Work","bennett/masters/21198-zz0001q38r-1-master.tif","","","","Bennett, Walter E. (Walter Edward), 1921-1995","","Visits of state--United States|~|Eisenhower, Dwight D. (Dwight David), 1890-1969|~|Khrushchev, Nikita Sergeevich, 1894-1971","still image","copyrighted","news photographs","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","University of California, Los Angeles. $b Library Special Collections","Y","Bennett (Walter E.) photographic collection, 1937-1983, bulk, 1952-1982","September 1959","35 mm","1959-09","1 photograph|~|color slide","President Dwight Eisenhower and Premier of the Soviet Union Nikita Khrushchev watch Khrushchev's wife Nina Petrovna exit car during Khrushchev's September 1959 visit to Washington D.C.","uclamss_686_b3_f15_1","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0001q38r"
"Bennett (Walter E.) Photographic Collection","ark:/21198/zz0001q398","ark:/21198/zz00011f8m","2","Completed","Work","bennett/masters/21198-zz0001q398-1-master.tif","","","","Bennett, Walter E. (Walter Edward), 1921-1995","","Campaign speeches--New York (N.Y.)|~|Political campaigns--New York (N.Y.)|~|Cuomo, Mario Matthew|~|Carey, Hugh L.|~|Carter, Jimmy, 1924-","still image","copyrighted","news photographs","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","University of California, Los Angeles. $b Library Special Collections","Y","Bennett (Walter E.) photographic collection, 1937-1983, bulk, 1952-1982","1978","35mm","1978","1 photograph|~|color slide","President Jimmy Carter speaks to a crowd in New York City during a 1978 campaign endorsment for Democrats Hugh Carey and Mario Cuomo","uclamss_686_b3_f8_3","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0001q398"
"Bennett (Walter E.) Photographic Collection","ark:/21198/zz0001q3bs","ark:/21198/zz00011f8m","2","Completed","Work","bennett/masters/21198-zz0001q3bs-1-master.tif","","","","Bennett, Walter E. (Walter Edward), 1921-1995","","Eisenhower, Dwight D. (Dwight David), 1890-1969|~|Parades--United States","still image","copyrighted","news photographs","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","University of California, Los Angeles. $b Library Special Collections","Y","Bennett (Walter E.) photographic collection, 1937-1983, bulk, 1952-1982","ca.1953-1960","35 mm","1953","1 photograph|~|b&w negative","President Eisenhower shields himself from confetti during a parade","uclamss_686_b6_f24_9","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0001q3bs"
"Bennett (Walter E.) Photographic Collection","ark:/21198/zz0001q3c9","ark:/21198/zz00011f8m","2","Completed","Work","bennett/masters/21198-zz0001q3c9-1-master.tif","","","","Bennett, Walter E. (Walter Edward), 1921-1995","","University of California, Los Angeles--Archives","still image","copyrighted","news photographs","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","University of California, Los Angeles. $b Library Special Collections","Y","Bennett (Walter E.) photographic collection, 1937-1983, bulk, 1952-1982","ca. 1977-1981","35mm","1977","1 photograph|~|color slide","President Jimmy Carter speaks at the White House","uclamss_686_b3_f8_1","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0001q3c9"
"Bennett (Walter E.) Photographic Collection","ark:/21198/zz0001q3dt","ark:/21198/zz00011f8m","2","Completed","Work","bennett/masters/21198-zz0001q3dt-1-master.tif","","","","Bennett, Walter E. (Walter Edward), 1921-1995","","Presidents--United States--Press conferences|~|Kennedy, John F. (John Fitzgerald), 1917-1963","still image","copyrighted","news photographs","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","University of California, Los Angeles. $b Library Special Collections","Y","Bennett (Walter E.) photographic collection, 1937-1983, bulk, 1952-1982","ca. 1960-1963","35 mm","1960","1 photograph|~|b&w negative","President John F. Kennedy answers questions during a White House press conference","uclamss_686_b6_f30_16-1","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0001q3dt"
"Bennett (Walter E.) Photographic Collection","ark:/21198/zz0001q3fb","ark:/21198/zz00011f8m","2","Completed","Work","bennett/masters/21198-zz0001q3fb-1-master.tif","","","","Bennett, Walter E. (Walter Edward), 1921-1995","","Legislators--United States|~|Kennedy, Edward Moore, 1932-|~|Carter, Jimmy, 1924-","still image","copyrighted","news photographs","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","University of California, Los Angeles. $b Library Special Collections","Y","Bennett (Walter E.) photographic collection, 1937-1983, bulk, 1952-1982","ca. 1977-1981","35mm","1977","1 photograph|~|color slide","President Jimmy Carter and Senator Ted Kennedy","uclamss_686_b3_f8_2","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0001q3fb"
"Bennett (Walter E.) Photographic Collection","ark:/21198/zz0001q3gv","ark:/21198/zz00011f8m","2","Completed","Work","bennett/masters/21198-zz0001q3gv-2-master.tif","","","","Bennett, Walter E. (Walter Edward), 1921-1995","","Visits of state--United States|~|Ford, Gerald R., 1913-|~|Sadat, Anwar, 1918-1981","still image","copyrighted","news photographs","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","University of California, Los Angeles. $b Library Special Collections","Y","Bennett (Walter E.) photographic collection, 1937-1983, bulk, 1952-1982","October 26, 1976","35mm","1976-10-26","1 photograph|~|color slide","President Gerald Ford and Egyptian President Anwar Sadat","uclamss_686_b3_f16_1","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0001q3gv"
"Bennett (Walter E.) Photographic Collection","ark:/21198/zz0001q3hc","ark:/21198/zz00011f8m","2","Completed","Work","bennett/masters/21198-zz0001q3hc-1-master.tif","","","","Bennett, Walter E. (Walter Edward), 1921-1995","","Presidents--United States--Press conferences|~|Johnson, Lyndon B. (Lyndon Baines), 1908-1973","still image","copyrighted","news photographs","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","University of California, Los Angeles. $b Library Special Collections","Y","Bennett (Walter E.) photographic collection, 1937-1983, bulk, 1952-1982","April 1964","35 mm","1964-04","1 photograph|~|color slide","President Lyndon B. Johnson speaks at a White House press conference","uclamss_686_b4_f6_1","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0001q3hc"
"Bennett (Walter E.) Photographic Collection","ark:/21198/zz0001q3jw","ark:/21198/zz00011f8m","2","Completed","Work","bennett/masters/21198-zz0001q3jw-1-master.tif","","","","Bennett, Walter E. (Walter Edward), 1921-1995","","Johnson, Lyndon B. (Lyndon Baines), 1908-1973|~|Presidential candidates $z United States|~|Political campaigns--California|~|Parades--California","still image","copyrighted","news photographs","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","University of California, Los Angeles. $b Library Special Collections","Y","Bennett (Walter E.) photographic collection, 1937-1983, bulk, 1952-1982","October 1964","35 mm","1964-10","1 photograph|~|color slide","President Johnson covers his ears during a campaign parade in California","uclamss_686_b4_f6_4","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0001q3jw"
"Bennett (Walter E.) Photographic Collection","ark:/21198/zz0001q3kd","ark:/21198/zz00011f8m","2","Completed","Work","bennett/masters/21198-zz0001q3kd-1-master.tif","","","","Bennett, Walter E. (Walter Edward), 1921-1995","","Political campaigns--United States|~|Presidential candidates $z United States|~|Campaign speeches--United States|~|Nixon, Richard M. (Richard Milhous), 1913-1994","still image","copyrighted","news photographs","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","University of California, Los Angeles. $b Library Special Collections","Y","Bennett (Walter E.) photographic collection, 1937-1983, bulk, 1952-1982","1968","35 mm","1968","color slide|~|1 photograph","President Richard Nixon speaks to a crowd during his 1968 incumbent presidential campaign","uclamss_686_b5_f6_2","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0001q3kd"
"Bennett (Walter E.) Photographic Collection","ark:/21198/zz0001q3mx","ark:/21198/zz00011f8m","2","Completed","Work","bennett/masters/21198-zz0001q3mx-1-master.tif","","","","Bennett, Walter E. (Walter Edward), 1921-1995","","Attorneys general--United States|~|Kennedy family|~|Kennedy, John F. (John Fitzgerald), 1917-1963|~|Kennedy, Robert F., 1925-1968","still image","copyrighted","news photographs","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","University of California, Los Angeles. $b Library Special Collections","Y","Bennett (Walter E.) photographic collection, 1937-1983, bulk, 1952-1982","ca. 1961","35 mm","1961","1 photograph|~|b&w negative","President John F. Kennedy with brother and Attorney General Robert F. Kennedy","uclamss_686_b6_f30_24","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0001q3mx"
"Bennett (Walter E.) Photographic Collection","ark:/21198/zz0001q3nf","ark:/21198/zz00011f8m","2","Completed","Work","bennett/masters/21198-zz0001q3nf-1-master.tif","","","","Bennett, Walter E. (Walter Edward), 1921-1995","","Political campaigns--United States|~|Presidential candidates $z United States|~|Campaign speeches--United States|~|Nixon, Richard M. (Richard Milhous), 1913-1994","still image","copyrighted","news photographs","","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","University of California, Los Angeles. $b Library Special Collections","Y","Bennett (Walter E.) photographic collection, 1937-1983, bulk, 1952-1982","1968","35 mm","1968","1 photograph|~|color slide","President Richard Nixon speaks to a crowd during his 1968 incumbent presidential campaign","uclamss_686_b5_f6_1","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0001q3nf"
