Project Name,Title,Item Ark,Item Sequence,Subject,Type.typeOfResource,Rights.copyrightStatus,Type.genre,Name.subject,Name.repository,Coverage.geographic,Relation.isPartOf,Rights.servicesContact,Name.photographer,Rights.permission,Name.architect,Date.normalized,AltIdentifier.local,Title2,Date.creation,Format.extent,Format.medium,Description.note,Description.fundingNote,Description.longitude,Description.latitude,Description.caption,Language,Name.artist,Coverage.temporal,Alt ID.collection,thumbnailImageName,File Name,Object Type,Parent ARK
"Connell (Will) Papers, 1928-1961","Opal Weimer Fostvedt Tice, 1933-1946",21198/zz002h2g20,,,still image,copyrighted,Portrait photographs|~|black-and-white photographs|~|cellulose nitrate film,"Tice, Opal Weimer Fostvedt, $d 1900-1978","University of California, Los Angeles. $b Library Special Collections",,"Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"Connell, Will, $d 1898-1961",Y,,1933/1946,uclamss_893_0216,"Opal Weimer Fostvedt Tice, 1933-1946",[between 1933-1946],1 photographic negative,b&w nitrate negative,Opal Weimer Fostvedt Tice was a member of the Los Angeles art community and often a model for photographers in the group.|~|Half--length portrait of Opal Weimer Fostvedt Tice in a floral dress,Access to this collection is generously supported by Arcadia funds.,,,Text from negative sleeve: Fostveldt. Frankenfield. Jos. Paget-Fredericks,,,,,uclamss_893_0216.jpg,uclamss_893_0216.tif,Work,21198/zz002h2fpt
"Connell (Will) Papers, 1928-1961","Opal Weimer Fostvedt Tice, 1933-1946",21198/zz002h2g3h,,,still image,copyrighted,Portrait photographs|~|acetate film|~|black-and-white photographs,"Tice, Opal Weimer Fostvedt, $d 1900-1978","University of California, Los Angeles. $b Library Special Collections",,"Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"Connell, Will, $d 1898-1961",Y,,1933/1946,uclamss_893_0217,"Opal Weimer Fostvedt Tice, 1933-1946",[between 1933-1946],1 photographic negative,b&w acetate negative,"Photograph of Opal Weimer Fostvedt Tice in a floral dress, bust-length, from the back|~|Opal Weimer Fostvedt Tice was a member of the Los Angeles art community and often a model for photographers in the group.",Access to this collection is generously supported by Arcadia funds.,,,Text from negative sleeve: Fostveldt. Frankenfield. Jos. Paget-Fredericks,,,,,uclamss_893_0217.jpg,uclamss_893_0217.tif,Work,21198/zz002h2fpt
"Connell (Will) Papers, 1928-1961","Interior view of The Bachelors haberdashery designed by Julius Ralph Davidson, Los Angeles, circa 1929",21198/zz002h2g41,,Clothing stores $z California $z Los Angeles|~|Interior design $z California $z Los Angeles,still image,copyrighted,black-and-white photographs|~|cellulose nitrate film,,"University of California, Los Angeles. $b Library Special Collections",California--Los Angeles,"Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"Connell, Will, $d 1898-1961",Y,"Davidson, Julius Ralph, $d 1889-",1929,uclamss_893_0218,"Interior view of The Bachelors haberdashery designed by Julius Ralph Davidson, Los Angeles, circa 1929",[cira 1929],1 photographic negative,b&w nitrate negative,"Overhead view of The Bachelors haberdashery from the back of the shop, designed by Julius Ralph Davidson in an art deco style ""featuring panels of Makassar ebony set into aluminum frames, brown and tan carpeting laid in strips..."" (Christopher Long, ""The Rise of California Modern Design, 1930-41."" in ed. Wendy Kaplan, California Design, 1930-1965: Living in a Modern Way (2012), 65.|~|The Bachelors haberdashery was located at 3931 Wilshire Blvd.",Access to this collection is generously supported by Arcadia funds.,,,Text from negative sleeve: Jock Peters - Bachelors - Rewelling,,,,,uclamss_893_0218.jpg,uclamss_893_0218.tif,Work,21198/zz002h2fpt
"Connell (Will) Papers, 1928-1961","Interior view of The Bachelors haberdashery designed by Julius Ralph Davidson, Los Angeles, circa 1929",21198/zz002h2g5j,,Interior design $z California $z Los Angeles,still image,copyrighted,black-and-white photographs|~|cellulose nitrate film,,"University of California, Los Angeles. $b Library Special Collections",California--Los Angeles,"Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"Connell, Will, $d 1898-1961",Y,"Davidson, Julius Ralph, $d 1889-",1929,uclamss_893_0219,"Interior view of The Bachelors haberdashery designed by Julius Ralph Davidson, Los Angeles, circa 1929",[circa 1929],1 photographic negative,b&w nitrate negative,"Detail view of art deco cabinet with wood paneling and aluminum strips in The Bachelors haberdashery, designed by Julius Ralph Davidson. Men's brief cases and satchels are on top of the cabinet and a cactus (?) in a pot stands next to the cabinet, in front of venetian blinds functioning as a room divider. The carpeting is composed of brown and tan strips.",Access to this collection is generously supported by Arcadia funds.,,,Text from negative sleeve: Jock Peters - Bachelors - Rewelling,,,,,uclamss_893_0219.jpg,uclamss_893_0219.tif,Work,21198/zz002h2fpt
"Connell (Will) Papers, 1928-1961","Interior view of The Bachelors haberdashery designed by Julius Ralph Davidson, Los Angeles, circa 1929",21198/zz002h2g62,,Clothing stores $z California $z Los Angeles|~|Interior design $z California $z Los Angeles,still image,copyrighted,black-and-white photographs|~|cellulose nitrate film,,"University of California, Los Angeles. $b Library Special Collections",California--Los Angeles,"Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"Connell, Will, $d 1898-1961",Y,"Davidson, Julius Ralph, $d 1889-",1929,uclamss_893_0220,"Interior view of The Bachelors haberdashery designed by Julius Ralph Davidson, Los Angeles, circa 1929",[circa 1929],1 photographic negative,b&w nitrate negative,"Interior view of a built-in wall display and built-in sofa at The Bachelors haberdashery, designed by Julius Ralph Davidson in an art deco style, ""featuring panels of Makassar ebony set into aluminum frames, brown and tan carpeting laid in strips, and high-quality pigskin upholstery."" (Christopher Long, ""The Rise of California Modern Design, 1930-41."" in ed. Wendy Kaplan, California Design, 1930-1965: Living in a Modern Way (2012), 65.|~|The Bachelors haberdashery was located at 3931 Wilshire Blvd.",Access to this collection is generously supported by Arcadia funds.,,,Text from negative sleeve: Jock Peters - Bachelors - Rewelling,,,,,uclamss_893_0220.jpg,uclamss_893_0220.tif,Work,21198/zz002h2fpt
"Connell (Will) Papers, 1928-1961","Interior view of The Bachelors haberdashery designed by Julius Ralph Davidson, Los Angeles, circa 1929",21198/zz002h2g7k,,Clothing stores $z California $z Los Angeles|~|Interior design $z California $z Los Angeles,still image,copyrighted,black-and-white photographs|~|cellulose nitrate film,,"University of California, Los Angeles. $b Library Special Collections",California--Los Angeles,"Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"Connell, Will, $d 1898-1961",Y,"Davidson, Julius Ralph, $d 1889-",1929,uclamss_893_0221,"Interior view of The Bachelors haberdashery designed by Julius Ralph Davidson, Los Angeles, circa 1929",[circa 1929],1 photographic negative,b&w nitrate negative,"Interior view of a desk, built-in sofa and merchandise displays at The Bachelors haberdashery, designed by Julius Ralph Davidson in an art deco style, ""featuring panels of Makassar ebony set into aluminum frames, brown and tan carpeting laid in strips, and high-quality pigskin upholstery."" (Christopher Long, ""The Rise of California Modern Design, 1930-41,"" in ed. Wendy Kaplan, California Design, 1930-1965: Living in a Modern Way (2012), 65.|~|The Bachelors haberdashery was located at 3931 Wilshire Blvd.",Access to this collection is generously supported by Arcadia funds.,,,Text from negative sleeve: Jock Peters - Bachelors - Rewelling,,,,,uclamss_893_0221.jpg,uclamss_893_0221.tif,Work,21198/zz002h2fpt
"Connell (Will) Papers, 1928-1961","Exterior view of The Bachelors haberdashery designed by Julius Ralph Davidson, Los Angeles, circa 1929",21198/zz002h2g83,,Clothing stores $z California $z Los Angeles|~|Interior design $z California $z Los Angeles,still image,copyrighted,black-and-white photographs|~|cellulose nitrate film,,,California--Los Angeles,"Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"Connell, Will, $d 1898-1961",Y,"Davidson, Julius Ralph, $d 1889-",1929,uclamss_893_0222,"Exterior view of The Bachelors haberdashery designed by Julius Ralph Davidson, Los Angeles, circa 1929",[circa 1929],1 photographic negative,b&w nitrate negative,"Exterior view towards the window display of  The Bachelors, an art deco styled  haberdashery.|~|The Bachelors haberdashery was located at 3931 Wilshire Blvd.",Access to this collection is generously supported by Arcadia funds.,,,,,,,,uclamss_893_0222.jpg,uclamss_893_0222.tif,Work,21198/zz002h2fpt
"Connell (Will) Papers, 1928-1961","Interior view of The Bachelors haberdashery designed by Julius Ralph Davidson, Los Angeles, circa 1929",21198/zz002h2g9m,,Interior design $z California $z Los Angeles,still image,copyrighted,black-and-white photographs|~|cellulose nitrate film,,"University of California, Los Angeles. $b Library Special Collections",California--Los Angeles,"Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"Connell, Will, $d 1898-1961",Y,"Davidson, Julius Ralph, $d 1889-",1929,uclamss_893_0223,"Interior view of The Bachelors haberdashery designed by Julius Ralph Davidson, Los Angeles, circa 1929",[circa 1929],1 photographic negative,b&w nitrate negative,"Detail of the art deco styled interior of The Bachelors haberdashery, designed by Julius Ralph Davidson in an art deco style. A cactus in a pot stands in front of venetian blinds serving as a room divider. The room beyond is furnished with directors chairs and a wood paneled desk, and the wall on the left is faced with closets with wood paneled sliding doors.",Access to this collection is generously supported by Arcadia funds.,,,Text from negative sleeve: Jock Peters - Bachelors - Rewelling,,,,,uclamss_893_0223.jpg,uclamss_893_0223.tif,Work,21198/zz002h2fpt
"Connell (Will) Papers, 1928-1961","View of a recess with an art deco wood veneered table in ""Irene LTD,"" a dress shop of designer Irene Lentz Gibbons, Los Angeles, (circa 1930?)",21198/zz002h2gb4,,Clothing stores $z California $z Los Angeles|~|Interior design $z California $z Los Angeles,still image,copyrighted,black-and-white photographs|~|cellulose nitrate film,"Irene, $d 1901-1962","University of California, Los Angeles. $b Library Special Collections",California--Los Angeles,"Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"Connell, Will, $d 1898-1961",Y,,1930,uclamss_893_0224,"View of a recess with an art deco wood veneered table in ""Irene LTD,"" a dress shop of designer Irene Lentz Gibbons, Los Angeles, (circa 1930?)",[circa 1930?],1 photographic negative,b&w nitrate negative,"Detail view of a recess with an art deco wood veneered table in a zig-zag pattern in front of a small wall mirror and x-back chair in the ""Irene LTD,"" a dress shop of designer Irene Lentz Gibbons.",Access to this collection is generously supported by Arcadia funds.,,,Text from negative sleeve: Jock Peters - Bachelors - Rewelling [caption does not appear to relate to the Irene LTD images; The Bachelor haberdashery is attributed to Julius Ralph Davidson],,,,,uclamss_893_0224.jpg,uclamss_893_0224.tif,Work,21198/zz002h2fpt
"Connell (Will) Papers, 1928-1961","Light fixture in The Bachelors haberdashery designed by Julius Ralph Davidson, Los Angeles, circa 1929",21198/zz002h2gcn,,Interior design $z California $z Los Angeles,still image,copyrighted,black-and-white photographs|~|cellulose nitrate film,,"University of California, Los Angeles. $b Library Special Collections",California--Los Angeles,"Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"Connell, Will, $d 1898-1961",Y,,1929,uclamss_893_0225,"Light fixture in The Bachelors haberdashery designed by Julius Ralph Davidson, Los Angeles, circa 1929",[circa 1929],1 photographic negative,b&w nitrate negative,"The Bachelors haberdashery was located at 3931 Wilshire Blvd.|~|Detail view of an art deco light fixture on the ceiling at The Bachelors haberdashery, designed by Julius Ralph Davidson.",Access to this collection is generously supported by Arcadia funds.,,,Text from negative sleeve: Jock Peters - Bachelors - Rewelling,,,,,uclamss_893_0225.jpg,uclamss_893_0225.tif,Work,21198/zz002h2fpt
"Connell (Will) Papers, 1928-1961","Interior view of The Bachelors haberdashery designed by Julius Ralph Davidson, Los Angeles, circa 1929",21198/zz002h2gd5,,Interior design $z California $z Los Angeles,still image,copyrighted,black-and-white photographs|~|cellulose nitrate film,,"University of California, Los Angeles. $b Library Special Collections",California--Los Angeles,"Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"Connell, Will, $d 1898-1961",Y,,1929,uclamss_893_0226,"Interior view of The Bachelors haberdashery designed by Julius Ralph Davidson, Los Angeles, circa 1929",[circa 1929],1 photographic negative,b&w nitrate negative,"The Bachelors haberdashery was located at 3931 Wilshire Blvd.|~|Text from negative sleeve: Jock Peters - Bachelors - Rewelling|~|Room in the art deco styled The Bachelors haberdashery, designed by Julius Ralph Davidson, furnished with director's chairs and wood table. The wall on the left is faced with closets with wood paneled sliding doors.",Access to this collection is generously supported by Arcadia funds.,,,,,,,,uclamss_893_0226.jpg,uclamss_893_0226.tif,Work,21198/zz002h2fpt
"Connell (Will) Papers, 1928-1961","Interior view of ""Irene LTD,"" a dress shop of designer Irene Lentz Gibbons, Los Angeles, (circa 1930?)",21198/zz002h2gfp,,Clothing stores $z California $z Los Angeles|~|Interior design $z California $z Los Angeles,still image,copyrighted,black-and-white photographs|~|cellulose nitrate film,,"University of California, Los Angeles. $b Library Special Collections",California--Los Angeles,"Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"Connell, Will, $d 1898-1961",Y,"Irene, $d 1901-1962",1930,uclamss_893_0227,"Interior view of ""Irene LTD,"" a dress shop of designer Irene Lentz Gibbons, Los Angeles, (circa 1930?)",[circa 1930?],1 photographic negative,b&w nitrate negative,"Interior view of ""Irene LTD,"" a fitting area in a dress shop of designer Irene Lentz Gibbons, with art deco furnishings including an x-back chair with an upholstered seat and a small round ottoman in front of a wall mirror illuminated by a sconce, and a window with sheer drapery with the hem cut diagonally from the floor, on the left. to the top of the window.",Access to this collection is generously supported by Arcadia funds.,,,Text from negative sleeve: Jock Peters - Bachelors - Rewelling [caption does not appear to relate to the Irene LTD images; The Bachelor haberdashery is attributed to Julius Ralph Davidson],,,,,uclamss_893_0227.jpg,uclamss_893_0227.tif,Work,21198/zz002h2fpt
"Connell (Will) Papers, 1928-1961","View of an art deco telephone bench in ""Irene LTD,"" a dress shop of designer Irene Lentz Gibbons, Los Angeles, (circa 1930?)",21198/zz002h2gg6,,Clothing stores $z California $z Los Angeles|~|Interior design $z California $z Los Angeles,still image,copyrighted,black-and-white photographs|~|cellulose nitrate film,"Irene, $d 1901-1962","University of California, Los Angeles. $b Library Special Collections",California--Los Angeles,"Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"Connell, Will, $d 1898-1961",Y,,1930,uclamss_893_0228,"View of an art deco telephone bench in ""Irene LTD,"" a dress shop of designer Irene Lentz Gibbons, Los Angeles, (circa 1930?)",[circa 1930?],1 photographic negative,b&w nitrate negative,"Detail view of an art deco telephone bench in the ""Irene LTD,"" a dress shop of designer Irene Lentz Gibbons.",Access to this collection is generously supported by Arcadia funds.,,,Text from negative sleeve: Jock Peters - Bachelors - Rewelling [caption does not appear to relate to the Irene LTD images; The Bachelor haberdashery is attributed to Julius Ralph Davidson],,,,,uclamss_893_0228.jpg,uclamss_893_0228.tif,Work,21198/zz002h2fpt
"Connell (Will) Papers, 1928-1961","View of two framed fashion illustrations and an art deco sconce in ""Irene LTD,"" a dress shop of designer Irene Lentz Gibbons, Los Angeles, (circa 1930?)",21198/zz002h2ghq,,Clothing stores $z California $z Los Angeles|~|Interior design $z California $z Los Angeles,still image,copyrighted,black-and-white photographs|~|cellulose nitrate film,,"University of California, Los Angeles. $b Library Special Collections",California--Los Angeles,"Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"Connell, Will, $d 1898-1961",Y,"Irene, $d 1901-1962",1930,uclamss_893_0229,"View of two framed fashion illustrations and an art deco sconce in ""Irene LTD,"" a dress shop of designer Irene Lentz Gibbons, Los Angeles, (circa 1930?)",[circa 1930?],1 photographic negative,b&w nitrate negative,"Detail view of two framed fashion illustrations and an art deco sconce in the ""Irene LTD,"" a dress shop of designer Irene Lentz Gibbons.",Access to this collection is generously supported by Arcadia funds.,,,Text from negative sleeve: Jock Peters - Bachelors - Rewelling [caption does not appear to relate to the Irene LTD images; The Bachelor haberdashery is attributed to Julius Ralph Davidson],,,,,uclamss_893_0229.jpg,uclamss_893_0229.tif,Work,21198/zz002h2fpt
"Connell (Will) Papers, 1928-1961","View of an art deco sconce and wall paneling in ""Irene LTD,"" a dress shop of designer Irene Lentz Gibbons, Los Angeles, (circa 1930?)",21198/zz002h2gj7,,Clothing stores $z California $z Los Angeles|~|Interior design $z California $z Los Angeles,still image,copyrighted,black-and-white photographs|~|cellulose nitrate film,"Irene, $d 1901-1962","University of California, Los Angeles. $b Library Special Collections",California--Los Angeles,"Will Connell Collection. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"Connell, Will, $d 1898-1961",Y,,1930,uclamss_893_0230,"View of an art deco sconce and wall paneling in ""Irene LTD,"" a dress shop of designer Irene Lentz Gibbons, Los Angeles, (circa 1930?)",[circa 1930?],1 photographic negative,b&w nitrate negative,"Detail view of an art deco sconce and wall paneling and wall mirror in ""Irene LTD,"" a dress shop of designer Irene Lentz Gibbons.",Access to this collection is generously supported by Arcadia funds.,,,Text from negative sleeve: Jock Peters - Bachelors - Rewelling [caption does not appear to relate to the Irene LTD images; The Bachelor haberdashery is attributed to Julius Ralph Davidson],,,,,uclamss_893_0230.jpg,uclamss_893_0230.tif,Work,21198/zz002h2fpt
