Project Name,Item ARK,Parent ARK,Object Type,File Name,Item Sequence,Type.typeOfResource,Type.genre,Subject.conceptTopic,Rights.copyrightStatus,Rights.permission,Rights.publicationStatus,Rights.publicationNote,Name.subject,Subject.geographicPlace,Rights.servicesContact,Language,Name.repository,Name.photographer,Subject.descriptiveTopic,Rights.permissionNote,Relation.isPartOf,Name.creator,Subject.category,Date.creation,Date.normalized,Description.note,Coverage.geographic,Alt ID.local,Title,Format.dimensions,Format.extent,Coverage.spatialLatitude,Coverage.spatialLongitude,Alt ID.callNo,AltTitle.other,Alt ID.url,Description.abstract,masterImageName
Arkatov (James) Collection,21198/zz001dzsdj,21198/zz001dzc12,Work,21198-zz001dzsdj_1270309_master.tif,,still image,Black-and-white photographs,Pianists $z United States,copyrighted,Y,unknown,,"Allison, Mose",,,,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,People|~|Arts,"March, 1996",1996-03,"Black and white photograph of American pianist, singer, and songwriter Mose Allison at the piano.",California--Los Angeles,uclamus_340_b1_f1,"Mose Allison playing piano in Los Angeles, March 1996 [descriptive]",8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001dzsdj_1270309_master.tif
Arkatov (James) Collection,21198/zz001dzsf2,21198/zz001dzc12,Work,21198-zz001dzsf2_1270279_master.tif,,still image,Black-and-white photographs,Women jazz singers $z Chile,copyrighted,Y,unknown,,"Acuña, Claudia",,,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,People|~|Arts,"March, 2002",2002-03,"Black and White photograph off Chilean jazz vocalist Claudia Acuña singing at the microphone, taken in Los Angeles",California--Los Angeles,uclamus_340_b1_f1,"Claudia Acuna singing in Los Angeles, California [descriptive]",8 x 10 in.,1 photograph: b & w,,,,,,,21198-zz001dzsf2_1270279_master.tif
Arkatov (James) Collection,21198/zz001f00qz,21198/zz001dzc12,Work,21198-zz001f00qz_1271102_master.tif,,still image,Black-and-white photographs,Singers $z United States|~|Blues musicians $z United States|~|Pianists $z United States|~|African American musicians $z United States,copyrighted,Y,unknown,,"Brown, Charles, $d 1922-1999",,,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,People|~|Arts,"March, 1997",1997-03,"Black and white photograph of American blues pianist and singer Charles Brown seated at a piano and looking at the photographer. He is wearing a dark velvet coat, a white dress shirt, and a metallic visored cap.",California--Los Angeles,uclamus_340_b1_f2,"Charles Brown playing the piano, Los Angeles, California, March 1997 [descriptive]",8 x 10 in.,1 photograph: b & w,,,,,,,21198-zz001f00qz_1271102_master.tif
Arkatov (James) Collection,21198/zz001f00rg,21198/zz001dzc12,Work,21198-zz001f00rg_1271113_master.tif,,still image,Black-and-white photographs,Jazz musicians $z United States,copyrighted,Y,unknown,,,,,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,Arts,,,Black and white photograph.  Uidentified band.,California--Los Angeles,uclamus_340_b1_f2,Unidentified jazz band and bandleader [descriptive],8 x 10 in.,1 photograph: b & w,,,,,,,21198-zz001f00rg_1271113_master.tif
Arkatov (James) Collection,21198/zz001f00s0,21198/zz001dzc12,Work,21198-zz001f00s0_1271014_master.tif,,,Black-and-white photographs,Pianists $z United States,copyrighted,Y,unknown,,"Barron, Kenny",,,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,People|~|Arts,"November, 1998",1998-11,"Black and white portrait of American pianist, composer, leader, and teacher Kenny Barron (brother of Bill Barron).",California--Los Angeles,uclamus_340_b1_f2,"Kenny Barron playing piano in Los Angeles, November 1998 [descriptive]",8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001f00s0_1271014_master.tif
Arkatov (James) Collection,21198/zz001f00th,21198/zz001dzc12,Work,21198-zz001f00th_1271071_master.tif,,still image,Black-and-white photographs,Singers $z United States|~|Blues musicians $z United States|~|Pianists $z United States|~|African American musicians $z United States,copyrighted,Y,unknown,,"Brown, Charles, $d 1922-1999",,,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,People|~|Arts,"March, 1997",1997-03,"Black and white photograph of American blues pianist and singer Charles Brown seated at a piano. He is wearing a dark velvet coat, a white dress shirt, and a metallic visored cap.",California--Los Angeles,uclamus_340_b1_f2,"Charles Brown playing the piano, Los Angeles, California, March 1997 [descriptive]",8 x 10 in.,1 photograph: b & w,,,,,,,21198-zz001f00th_1271071_master.tif
Arkatov (James) Collection,21198/zz001f00v1,21198/zz001dzc12,Work,21198-zz001f00v1_1270996_master.tif,,still image,Black-and-white photographs,Saxophonists--United States,copyrighted,Y,unknown,,"Anderson, Keith, $c saxophonist",,,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",Saxophones,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,People|~|Arts,"April, 1998",1998-04,Black and white photograph of American musician Keith Anderson playing saxophone.,California--Los Angeles,uclalmus_340_b1_f1,"Keith Anderson playing sax in Los Angeles, April 1999 [descriptive]",8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001f00v1_1270996_master.tif
Arkatov (James) Collection,21198/zz001f00wj,21198/zz001dzc12,Work,21198-zz001f00wj_1271047_master.tif,,still image,Black-and-white photographs,Trumpet players $z United States|~|Saxophonists--United States,copyrighted,Y,unknown,,"Land, Harold|~|Brashear, Oscar, $d 1944-",,,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",Trumpets|~|Saxophones,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,People|~|Arts,"February, 1997",1997-02,Black and white photograph of American trumpeter Oscar Brashear and tenor saxophonist Harold Land.,California--Los Angeles,uclamus_340_b1_f2,"Oscar Brashear on trumpet and Harold Land on tenor saxophone, Los Angeles [descriptive]",8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001f00wj_1271047_master.tif
Arkatov (James) Collection,21198/zz001f00x2,21198/zz001dzc12,Work,21198-zz001f00x2_1271026_master.tif,,still image,Black-and-white photographs,Pianists $z United States,copyrighted,Y,unknown,,"Bishop, Walter, $d 1927-1998",,,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,People|~|Arts,"February, 1996",1996-02,Black and white photograph of American pianist Walter Bishop playing the piano.,California--Los Angeles,uclamus_340_b1_f2,"Walter Bishop Jr. playing the piano, Los Angeles, February 1996 [descripitve]",8 x 10 in.|~|1 photograph : b&w,,,,,,,,21198-zz001f00x2_1271026_master.tif
Arkatov (James) Collection,21198/zz001f00zk,21198/zz001dzc12,Work,21198-zz001f00zk_1270888_master.tif,,still image,Black-and-white photographs,Trumpet players $z United States,copyrighted,Y,unknown,,"Alpert, Herb",,,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",Trumpets,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,People|~|Arts,"July, 1996",1996-07,"Black and white photograph of American trumpeter, bandleader, composer and record company executive Herb Alpert playing the trumpet.",California--Los Angeles,uclamus_340_b1_f1,Herb Alpert playing trumpet in Los Angeles [descriptive],8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001f00zk_1270888_master.tif
Arkatov (James) Collection,21198/zz001f010k,21198/zz001dzc12,Work,21198-zz001f010k_1271020_master.tif,,still image,Black-and-white photographs,Singers $z United States,copyrighted,Y,unknown,,"Bennett, Tony, $d 1926-",,,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,People|~|Arts,"October, 1998",1998-10,Black and white photographic portrait of American vocalist Tony Bennett.,California--Los Angeles,uclamus_340_b1_f2,"Tony Bennett in Los Angeles, October 1998 [descriptive]",8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001f010k_1271020_master.tif
Arkatov (James) Collection,21198/zz001f0113,21198/zz001dzc12,Work,21198-zz001f0113_1270880_master.tif,,still image,Black-and-white photographs,Trumpet players $z United States,copyrighted,Y,unknown,,"Alpert, Herb",,,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",Trumpets,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,People|~|Arts,"July, 1996",1996-07,"Black and white photograph of American trumpeter, bandleader, composer and record company executive Herb Alpert playing the trumpet.",California--Los Angeles,uclamus_340_b1_f1,Herb Alpert playing trumpet in Los Angeles [descriptive],8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001f0113_1270880_master.tif
Arkatov (James) Collection,21198/zz001f4mhb,21198/zz001dzc12,Work,21198-zz001f4mhb_1273169_master.tif,,still image,Black-and-white photographs,Violinists $z United States,copyrighted,Y,unknown,,"Carter, Regina",,,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",Violins,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,People|~|Arts,"October, 1999",1999-10,Black and white photograph of American violinist Regina Carter performing.,California--Los Angeles,uclamus_340_b1_f3,"Regina Carter playing violin, Los Angeles [descriptive]",8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001f4mhb_1273169_master.tif
Arkatov (James) Collection,21198/zz001f4mmw,21198/zz001dzc12,Work,21198-zz001f4mmw_1272468_master.tif,,still image,Black-and-white photographs,Double bassists $z United States,copyrighted,Y,unknown,,"Brown, Ray, $d 1926-2002",,,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",Double basses,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,People|~|Arts,"April, 1997",1997-04,"Black and white photograph of Ray Brown, American bass player.",California--Los Angeles,,"Ray Brown playing the double bass, Los Angeles, April 1997 [descriptive]",8 x 10 in.,1 photograph : b&w,,,uclamus_340_b1_f1,,,,21198-zz001f4mmw_1272468_master.tif
Arkatov (James) Collection,21198/zz001f4mpx,21198/zz001dzc12,Work,21198-zz001f4mpx_1272447_master.tif,,still image,Black-and-white photographs,Pianists $z Canada,copyrighted,Y,unknown,,"Bley, Paul",,,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,People|~|Arts,"February, 1996",1996-02,"Black and white photograph of Paul Bley, Canadian pianist.",California--Los Angeles,uclamus_340_b1_f2,"Paul Bley sitting at a piano, Los Angeles, February 1996 [descriptive]",8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001f4mpx_1272447_master.tif
Arkatov (James) Collection,21198/zz001f4mrz,21198/zz001dzc12,Work,21198-zz001f4mrz_1272438_master.tif,,still image,Black-and-white photographs,Pianists $z Canada,copyrighted,Y,unknown,,"Bley, Paul",,,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,People|~|Arts,"February, 1996",1996-02,"Black and white photograph of Paul Bley, Canadian pianist.",California--Los Angeles,uclamus_340_b1_f2,"Paul Bley playing the piano, Los Angeles, February 1996 [descriptive]",8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001f4mrz_1272438_master.tif
Arkatov (James) Collection,21198/zz001f4mt0,21198/zz001dzc12,Work,21198-zz001f4mt0_1273135_master.tif,,still image,Black-and-white photographs,Violinists $z United States,copyrighted,Y,unknown,,"Carter, Regina",,,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",Violins,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,People|~|Arts,"October, 1999",1999-10,Black and white photograph of American violinist Regina Carter performing.,California--Los Angeles,uclamus_340_b1_f3,"Regina Carter playing violin, Los Angeles [descriptive]",8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001f4mt0_1273135_master.tif
Arkatov (James) Collection,21198/zz001f4mw1,21198/zz001dzc12,Work,21198-zz001f4mw1_1273108_master.tif,,still image,Black-and-white photographs,Double bassists $z United States,copyrighted,Y,unknown,,"Catalina Bar & Grill|~|Brown, Ray, $d 1926-2002",,,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",Double basses,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,Entertainment|~|People|~|Arts,"April, 1997",1997-04,"Black and white photographof American double bass player Ray Brown playing the double bass at the Catalina Bar & Grill in Hollywood, California.",California--Hollywood,,"Ray Brown at the Catalina Bar & Grill, Hollywood, California[descriptive]",8 x 10 in.,1 photograph : b&w,34.10101560486846,-118.3294004201889,uclamus_340_b1_f2,,,,21198-zz001f4mw1_1273108_master.tif
Arkatov (James) Collection,21198/zz001f4mz2,21198/zz001dzc12,Work,21198-zz001f4mz2_1272456_master.tif,,still image,Black-and-white photographs,Double bassists $z United States,copyrighted,Y,unknown,,"Brown, Oscar, $c III",,,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",Double basses,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,People|~|Arts,"October, 1995",1995-10,"Black and white photograph of Oscar Brown III, son of Oscar Brown Jr., playing the double bass.",California--Los Angeles,uclamus_340_b1_f2,"Oscar Brown III playing double bass, Los Angeles, October 1995 [descriptive]",8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001f4mz2_1272456_master.tif
Arkatov (James) Collection,21198/zz001f4n1k,21198/zz001dzc12,Work,21198-zz001f4n1k_1273138_master.tif,,still image,Black-and-white photographs,Violinists $z United States,copyrighted,Y,unknown,,"Carter, Regina",,,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",Violins,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,People|~|Arts,"October, 1999",1999-10,Black and white photograph of American violinist Regina Carter performing.,California--Los Angeles,uclamus_340_b1_f3,"Regina Carter playing violin, Los Angeles [descriptive]",8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001f4n1k_1273138_master.tif
Arkatov (James) Collection,21198/zz001f4n3m,21198/zz001dzc12,Work,21198-zz001f4n3m_1271117_master.tif,,still image,Black-and-white photographs,Singers $z United States,copyrighted,Y,unknown,,"Brown, Oscar",,,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,People|~|Arts,"October, 1995",1995-10,Black and white photograph of American singer and songwriter Oscar Brown.,California--Los Angeles,uclamus_340_b1_f2,"Oscar Brown Jr. in Los Angeles, October 1995 [descriptive]",8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001f4n3m_1271117_master.tif
Arkatov (James) Collection,21198/zz001f4n5n,21198/zz001dzc12,Work,21198-zz001f4n5n_1273177_master.tif,,still image,Black-and-white photographs,Violinists $z United States,copyrighted,Y,unknown,,"Carter, Regina",,,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",Violins,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,People|~|Arts,October 1999,1999-10,Black and white photograph of American violinist Regina Carter performing.,California--Los Angeles,uclamus_340_b1_f3,"Regina Carter playing violin, Los Angeles [descriptive]",8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001f4n5n_1273177_master.tif
Arkatov (James) Collection,21198/zz001gqr2k,21198/zz001dzc12,Work,21198-zz001gqr2k_1273209_master.tif,,still image,Black-and-white photographs,Violinists $z United States,copyrighted,Y,unknown,,"Carter, Regina",,,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",Violins,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,People|~|Arts,"October, 1999",1999-10,Black and white photograph of American violinist Regina Carter performing.,California--Los Angeles,uclamus_340_b1_f3,"Regina Carter playing violin, Los Angeles [descriptive]",8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001gqr2k_1273209_master.tif
Arkatov (James) Collection,21198/zz001gqr33,21198/zz001dzc12,Work,21198-zz001gqr33_1273241_master.tif,,still image,Black-and-white photographs,Musicians $z Brazil,copyrighted,Y,unknown,,"Caymmi, Dori, $d 1943-",,,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",Guitars,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,People|~|Arts,"August, 1999",1999-08,"Black and white photograph of Brazilian musician, composer and vocalist Dori Caymmi playing guitar.",California--Los Angeles,uclamus_340_b1_f3,"Dori Caymmi playing guitar, Los Angeles, August 1999 [descriptive]",8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001gqr33_1273241_master.tif
Arkatov (James) Collection,21198/zz001gqr4m,21198/zz001dzc12,Work,21198-zz001gqr4m_1273258_master.tif,,still image,Black-and-white photographs,Musicians $z Brazil,copyrighted,Y,unknown,,"Caymmi, Dori, $d 1943-",,,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",Guitars,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,People|~|Arts,"August, 1999",1999-08,"Black and white photograph of Brazilian musician, composer and vocalist Dori Caymmi playing guitar.",California--Los Angeles,uclamus_340_b1_f3,"Dori Caymmi playing guitar, Los Angeles, August 1999 [descriptive]",8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001gqr4m_1273258_master.tif
Arkatov (James) Collection,21198/zz001gqr54,21198/zz001dzc12,Work,21198-zz001gqr54_1273427_master.tif,,still image,Black-and-white photographs,Musicians $z Brazil,copyrighted|~|copyrighted,Y,unknown,,"Caymmi, Dori, $d 1943-",,,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",Guitars,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,People|~|Arts,"August, 1999",1999-08,"Black and white photograph of Brazilian musician, composer and vocalist Dori Caymmi playing guitar.",California--Los Angeles,uclamus_340_b1_f3,"Dori Caymmi playing guitar, Los Angeles, August 1999 [descriptive]",8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001gqr54_1273427_master.tif
Arkatov (James) Collection,21198/zz001gqr6n,21198/zz001dzc12,Work,21198-zz001gqr6n_1273228_master.tif,,still image,Black-and-white photographs,Musicians $z Brazil,copyrighted,Y,unknown,,"Caymmi, Dori, $d 1943-",,,zxx,"University of California, Los Angeles. Library. Performing Arts Special Collections","Arkatov, James, $d1920-",Guitars,,"James Arkatov Collection (Collection 340). Performing Arts Special Collections, University of California, Los Angeles.",,People|~|Arts,"August, 1999",1999-08,"Black and white photograph of Brazilian musician, composer and vocalist Dori Caymmi playing guitar.",California--Los Angeles,uclamus_340_b1_f3,"Dori Caymmi playing guitar, Los Angeles, August 1999 [descriptive]",8 x 10 in.,1 photograph : b&w,,,,,,,21198-zz001gqr6n_1273228_master.tif
