Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,viewingHint,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.permission,Coverage.geographic,Name.producer,Name.publisher,Subject,Rights.servicesContact,Language,Name.repository,Name.surveyor,Name.cartographer,Name.subject,Name.sponsor,Name.compiler,Name.lithographer,Name.artist,Format.dimensions,AltIdentifier.local,Title,AltIdentifier.oclc,Date,Format.extent,Description.note,AltIdentifier.callNo,Relation.isPartOf,Publisher.placeOfOrigin,Publisher.publisherName,Description.caption,AltTitle.translated,AltTitle.other,AltIdentifier.collection,Description.abstract,IIIF Manifest URL
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz00096dgs,ark:/21198/zz0002h48z,2,Completed,Work,Masters/Maps/Yrlscmaps/masters/21198-zz00096dgs-1-master.tif,,,,,still image,maps|~|cartographic,pd,,Los Angeles (Calif.)--Maps|~|Boyle Heights (Calif.)--Maps,,,,,eng,"University of California, Los Angeles. $b Library Special Collections",,,,,,,,93.5 x 83.5 cm. on sheet 98.5 x 90 cm.,clusc_1_1_00017697a|~|uclamss_294_b18_1,Map of the city of Los Angeles,,1903,1 map : blueline print,"scale: 1:65,840|~|Relief shown by hachures.  Includes streets, parks and railways.  Boyle Heights included.|~|Digitization took place as part of the California Cultures Project.",G4364 L875 1903,http://calcultures.cdlib.org,"Los Angeles, Calif. (?)",,,,,,failed,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz0015x09j,ark:/21198/zz0002h48z,2,Completed,Work,Masters/Maps/Yrlscmaps/masters/21198-zz0015x09j-1-master.tif,,,,,still image,maps|~|cartographic,pd,,California--Maps|~|Nevada--Maps,,,Railroads--California--Maps|~|Railroads--Nevada--Maps,,eng,"University of California, Los Angeles. $b Library Special Collections",,,,,Board of Railroad Commissioners of the State of California,,,85.8 x 68 cm. on sheet 106.3 x 71.2 cm.,uclamss_294_b57_6|~|clusc_1_1_00017693a,"Commissioners official railway map of California, completed to January 1st, 1900",233719693,circa 1900,1 map : col.,"Lists the names of commisioners: E.B. Edson, 1st District C.S. Laumeister, 2nd District N. Blackstock, 3rd District Wm.T. Sesnon, Secretary|~|Relief shown by shading. Index to all railroad/railway lines in California.  Includes Channel Islands, Catalina Islands and San Clemente Island. Also includes the ""crook of the elbow"" of Nevada where the Virginia and Truckee RR and Carson and Colorado RR run.|~|Scale not given|~|Digitization took place as part of the California Cultures Project.",G4360 1900,http://calcultures.cdlib.org,"San Francisco, Calif.",H.S. Crocker Co.,,,,,failed,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz0015z6x6,ark:/21198/zz0002h48z,2,Completed,Work,Masters/Maps/Yrlscmaps/masters/21198-zz0015z6x6-1-master.tif,,,,,still image,maps|~|cartographic,pd,,California--Maps|~|Cuba--Maps|~|Mexico--Maps|~|Central America--Maps|~|United States--Maps,,,California -- Maps,,eng,"University of California, Los Angeles. $b Library Special Collections",,"Gibbes, Charles Drayton ",,,,,,86.5 x 75 cm. on sheet 100.5 x 88 cm.,clusc_1_1_00017706a|~|uclamss_249_b59_3,New map of California by Charles Drayton Gibbes from his own and other recent surveys and explorations,233715680,1852,1 map : col.,"Map indicates Utah and New Mexcio directly to the east of California.  Includes inset of ""Map of the United States of America, Mexico, Central America, Cuba & c.|~|44 longitude west from Washington longitude west 119 degrees from Greenwich.|~|""Entered according to act of Congress in the year 1852 by Sherman & Smith in the clerk's office of the District Court of the southern district of New York""|~|scale: 1 : 11,900|~|Digitization took place as part of the California Cultures Project.",,http://calcultures.cdlib.org,"New York, N.Y. and Stockton, Calif.",Sherman & Smith,,,"Map of the United States of America, Mexico, Central America, Cuba &c",,failed,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz0015zqf6,ark:/21198/zz0002h48z,2,Completed,Work,Masters/Maps/Yrlscmaps/masters/21198-zz0015zqf6-1-master.tif,,,,,still image,cadastral maps|~|cartographic,pd,,"Los Angeles (Calif.)--Maps|~|North Hollywood (Los Angeles, Calif.)--Maps",,,Real property--California--San Fernando Valley,,eng,"University of California, Los Angeles. $b Library Special Collections",,,Lankershim Ranch Land and Water Company--Maps,,,Schmidt Label & Lithographic Co ,,88.5 x 49.5 cm. on sheet 107.5 x 71.5 cm.,clusc_1_1_00017708a|~|uclamss_294_b93_2,"Map showing subdivision of lands belonging to the Lankershim Ranch Land and Water Co. : being the east 1200 acres of the south half of Ranch Ex Mission of San Fernando, Los Angeles County, California",,1887,1 map,"scale: 1:12,672|~|""Office: 44 North Spring St., Los Angeles, Cal.""  Names of officers and board of directors are listed.|~|In 1887, the Lankershim Ranch Land and Water Company of San Fernando Valley, California purchased a 12,000 acre ranch from J. B. Lankershim aned I. N. Van Nuys. The property, running from Whitsett Avenue on the west, to the Burbank city limits on the East, and from the skyline of the Hollywood Hills on the south|~|Relief shown by hachures.  Inset of pictorial bird's-eye-view of the Lankershim Ranch.  Inset ""location"" map of the Lankershim Ranch.|~|Digitization took place as part of the California Cultures Project.",G4363 L8 1887,http://calcultures.cdlib.org,"San Francisco, Calif.",Lankershim Land and Water Company,,,,,failed,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz0015zqh7,ark:/21198/zz0002h48z,2,Completed,Work,Masters/Maps/Yrlscmaps/masters/21198-zz0015zqh7-1-master.tif,,,,,still image,maps|~|cartographic,unknown,,Los Angeles (Calif.),,,Ranches--California--Los Angeles County|~|Real property--California--Los Angeles County--Maps,,eng,"University of California, Los Angeles. $b Library Special Collections",,,,,,,,106 x 68 cm. on sheet 107 x 74 cm.,uclamss_294_b94_2|~|clusc_1_1_00017709a,City of Los Angeles : city limits as at end of year 1875,233743890,circa 1920,1 map,"""Area = 18690 acres = 29.21 sq. miles""|~|scale not given|~|""Southern Extension Aug. 29, 1859, 766' Ac. 1.20 sq. mi.""|~|Relief shown by hachures.  Blue line print.  Map on linen sheet which has been cropped.  Includes ranches south to San Pedro Bay.|~|Digitization took place as part of the California Cultures Project.",G4363 L8 1920a,http://calcultures.cdlib.org,,Los Angeles (Calif.). Dept. of Water and Power,,,,,failed,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz0015zqk8,ark:/21198/zz0002h48z,2,Completed,Work,Masters/Maps/Yrlscmaps/masters/21198-zz0015zqk8-1-master.tif,,,,,still image,maps|~|cartographic,pd,,"Sunset (Los Angeles, Calif.)|~|Rancho San Jose de Buenos Ayres (Calif.)--Maps",,,Real property--California--Los Angeles County--Maps,,eng,"University of California, Los Angeles. $b Library Special Collections",Theo G. Kocher & Co.,,,,,Los Angeles Lithographic Co.,,102 x 66.3 cm. on sheet 107 x 71.5 cm.,clusc_1_1_00017713a|~|uclamss_294_b2_1,"Map of the subdivision of Rancho San Jose de Buenos Ayres and the town of Sunset, owned by [the] Los Angeles & Santa Monica Land & Water Co.",,1887,1 map : paper mounted on cloth,"scale not given|~|UCLA copy: Cf. Robinson #97|~|""Situated in Los Angeles Co. Cal.""|~|Has orange colored image of a sunset and the word ""Sunset"" over printed on top half of map.  Bordering ranches indicated. East: Rancho San Antonio Rodeo de las Aguas Southeast: Rancho Rincon de los Reyes Southwest: Rancho la Ballona West: Rancho San Vicente.|~|Digitization took place as part of the California Cultures Project.",G4364 L875 1887,http://calcultures.cdlib.org,,"Los Angeles, Calif.",,,,,failed,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz0015zrp9,ark:/21198/zz0002h48z,2,Completed,Work,Masters/Maps/Yrlscmaps/masters/21198-zz0015zrp9-1-master.tif,,,,,still image,cartographic,pd,,United States -- Surveys -- Maps,,,Public lands--United States-- Maps,,eng,"University of California, Los Angeles. $b Library Special Collections",,"Hawkes, J. H. |~|Franks, Theodore",,,,,,71 x 113 cm. on sheet 84.5 x 116 cm.,clusc_1_1_00017714a|~|uclamss_294_b51_3,Map of the public land [in the] states and territories constructed from the public surveys and other official sources in the General Land Office,,1865,"1 map : col., mounted on cloth","""Engraved by D. McClelland, Wash. D.C.""|~|Relief shown by hachures. Prime meridians: Washington & Greenwich.  Includes railroad routes, completed and proposed military wagon roads, local land offices and offices of the Surveyor General.|~|scale: 1:3,801,600|~|Digitization took place as part of the California Cultures Project.",G3700 G5 1865,http://calcultures.cdlib.org,"Washington, D.C.",United States.  General Land Office,,,,,failed,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz0015zrqt,ark:/21198/zz0002h48z,2,Completed,Work,Masters/Maps/Yrlscmaps/masters/21198-zz0015zrqt-1-master.tif,,,,,still image,maps|~|cartographic,pd,,West (U.S.)--Maps,,,Grazing--West (U.S.)--Maps|~|Land use--West (U.S.)--Maps,,eng,"University of California, Los Angeles. $b Library Special Collections",,"Potter, Albert F. (Albert Franklin), 1859-1944 ",,,,,,114 x 99 cm. on sheet 120 x 104 cm.,clusc_1_1_00017715a|~|uclamss_294_b55_3,"Grazing lands, western United States : general location and area",233733572,1905,1 map : col.,"scale: 1:2,250,000|~|Senate document (United States. Congress (58th, 3rd session : 1905). Senate)  no. 189.  ""S. Doc. 189.58.3""|~|Relief shown by hachures.  Classification of types of grazing lands coded by color.|~|Digitization took place as part of the California Cultures Project.",G4050 J7 1905,http://calcultures.cdlib.org,"Washington, D.C.",United States Bureau of Forestry,,,,,failed,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz0015zrrb,ark:/21198/zz0002h48z,2,Completed,Work,Masters/Maps/Yrlscmaps/masters/21198-zz0015zrrb-1-master.tif,,,,,still image,maps|~|cartographic,pd,,"Southwest, New--Maps",,,"Southwest, New--Discovery and exploration--Maps",,eng,"University of California, Los Angeles. $b Library Special Collections",,"Abert, James William, 1820-1897|~|Emory, William H. (William Hensley)",,,,,,76 x 172 cm. on sheet 82 x 180 cm.,clusc_1_1_00017716a|~|uclamss_294_b183_1,"Miltiary reconnassance of the Arkansas, Rio del Norte, and Rio Gila",,1847,1 map,"""By W.H. Emory, Lieut. Top. Eng'rs, assisted from Fort Leavenworth to Santa Fe by Lieuts. J.W. Abert and W.G. Peck, and from Santa Fe to San Diego on the Pacific by Lieut. W.H. Warner and Mr. Norman Bestor, made in 1846-7, with the advance guard of the ""Army of the West"" under command of Brig. Gen. Steph'n W. Kearny. Constructed under the orders of Col. J.J. Abert, Ch. Corps. Top. Eng'rs.""|~|Drawn by Joseph Welch  ""C.B. Graham Lith. Wash. D.C.""|~|Relief shown by hachures.  Apache and Navajo lands are marked.  Includes: ""Table of geographical positions on the route pursued by the Army of the West;"" ""Profile of the route from Rio del Norte to San Diego on the Pacific;"" ""Profile of the route from Fort Levenworth to camp Oct. 14th the last station on the Rio del Norte""|~|scale: not given|~|Digitization took place as part of the California Cultures Project.",**F786 U57 1847,http://calcultures.cdlib.org,"Washington, D.C.",United States. Army. Corps of Topographical Engineers,,,,,failed,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz0015ztm7,ark:/21198/zz0002h48z,2,Completed,Work,Masters/Maps/Yrlscmaps/masters/21198-zz0015ztm7-1-master.tif,,,,,still image,maps|~|cartographic,pd,,West (U.S.)--Discovery and exploration--Maps. ,,,,,eng,"University of California, Los Angeles. $b Library Special Collections",,"Frémont, John Charles, 1813-1890 ",,United States. Army. Corps of Topographical Engineers,,Edward Weber & Co.,,78 x 130 cm. on sheet 82 x 132 cm.,uclamss_294_b56_1|~|clusc_1_1_00017717a,Map of an exploring expedition to the Rocky Mountains in the year 1842 and to Oregon and North California in the years 1843-44,,1844?,1 map : hand col.,"Relief shown by hachures, water features shaded in blue.  Includes ""Profile of the route from the mouth of the Kansas to the Pacific by Capt. J.C. Frémont in 1843""|~|scale: 1:3,000,000|~|Originally published in Report of the exploring expedition to the Rocky Mountains in the year 1842 and to Oregon and north California in the years 1843-44. By Brevet Captain J. C. Fremont ... Printed by order of the Senate of the United States. Washington ... 1845 (28th Cong., 2nd Sess., Sen. Ex. Doc. 174, Serial 461).|~|""By Brevet Capt. J.C. Frémont of the Corps of Topographical Engineers under the orders of Col, J.J, Abert, Chief of the Topographical Bureau""  ""Lith by E. Weber Co., Baltimore, Md.""|~|Digitization took place as part of the California Cultures Project.",G4050 1842-1844,http://calcultures.cdlib.org,"Washington, D.C.",United States.  Congress.  Senate.,,,,,failed,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz0015zzp6,ark:/21198/zz0002h48z,2,Completed,Work,Masters/Maps/Yrlscmaps/masters/21198-zz0015zzp6-1-master.tif,,,,,still image,maps|~|cartographic,pd,,San Luis Obispo County (Calif.),,,Real property--California--San Luis Obispo County--Maps,,eng,"University of California, Los Angeles. $b Library Special Collections",,,,,,Britton & Rey,,90 x 140 cm. on sheets 48 x 76 cm.,clusc_1_1_00017718a|~|uclamss_294_b100_2a/2b,"Map of the county of San Luis Obispo, California",,1874,1 map on 2 sheets : col.,"Insets: Town of Cambria Town of Avila Town of San Luis Obispo Town of Morro.  Pictorial inset of San Luis Obispo County Courthouse.  Shows judicial townships, school districts and Spanish grants (ranchos)|~|""R.R. Harris, County Surveyor, publisher;"" ""Approved and declared to be the official map of San Luis Obispo County by resolutions of the Board of Supervisors, September 1874;""|~|scale: 1:126,720|~|Relief shown by spot heights. Includes table of distances.|~|Digitization took place as part of the California Cultures Project.",G4363 S18 1874,http://calcultures.cdlib.org,"San Luis Obispo and San Francisco, Calif.","San Luis Obispo County (Calif.). Board of Supervisors|~|Harris, R. R.",,,,,failed,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz0015zzqq,ark:/21198/zz0002h48z,2,Completed,Work,Masters/Maps/Yrlscmaps/masters/21198-zz0015zzqq-1-master.tif,,,,,still image,maps|~|cartographic,pd,,Los Angeles (Calif.)--Maps,,,Real property--California--Los Angeles--Maps|~|Waterworks--California--Los Angeles--Maps,,eng,"University of California, Los Angeles. $b Library Special Collections","Solano, Alfred|~|Hansen, George, 1824-1897 ",,,,,,,170 x 103 cm. on sheet 174 x 107 cm.,clusc_1_1_00017720a|~|uclamss_294_b6_1,"Lands of the Los Angeles City Water Co., in Los Angeles City, Cal.",,1877,1 map : blueline print,"""Surveyed June, 1877 on request of Dr. Griffin by Geo. Hansen & A. Solano""|~|scale: 1 inch to 50 links|~|UCLA copy: ""This map is the personal property of J. Gregg Layne""|~|Property lines marked.  Sites of adobe ruins indicated.  Inset: Part of Ords Maps, scale 1 inch to 8 chains.  Listed on center of sheet: José Antonio Carrillo, José Sepulveda, Francisca Sepulveda, Andronico E. Sepulveda, Vincet Huber, Prudent Beaudry.|~|Digitization took place as part of the California Cultures Project.",G4364 L875 1877c,http://calcultures.cdlib.org,"Los Angeles, Calif.",,,,,,failed,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz0015zzr7,ark:/21198/zz0002h48z,2,Completed,Work,Masters/Maps/Yrlscmaps/masters/21198-zz0015zzr7-1-master.tif,,,,,still image,maps|~|cartographic,pd,,West (U.S.)--Discovery and exploration--Maps. ,,,,,eng,"University of California, Los Angeles. $b Library Special Collections",,"Frémont, John Charles, 1813-1890 ",,United States. Army. Corps of Topographical Engineers,,Edward Weber & Co.,,76.5 x 128 cm on sheet 81 x 135 cm.,clusc_1_1_00017721a|~|uclamss_294_b183_2,Map of an exploring expedition to the Rocky Mountains in the year 1842 and to Oregon and North California in the years 1843-44,,1845?,1 map : hand col.,"""By Brevet Capt. J.C. Frémont of the Corps of Topographical Engineers under the orders of Col, J.J, Abert, Chief of the Topographical Bureau""  ""Lith by E. Weber Co., Baltimore, Md.""|~|Relief shown by hachures, water features shaded in blue.  Includes ""Profile of the route from the mouth of the Kansas to the Pacific by Capt. J.C. Frémont in 1843""|~|Originally published in Report of the exploring expedition to the Rocky Mountains in the year 1842 and to Oregon and north California in the years 1843-44. By Brevet Captain J. C. Fremont ... Printed by order of the Senate of the United States. Washington ... 1845 (28th Cong., 2nd Sess., Sen. Ex. Doc. 174, Serial 461)|~|scale: not given|~|Digitization took place as part of the California Cultures Project.",,http://calcultures.cdlib.org,Washington D. C.,United States. Congress. Senate,,,,,failed,
"Maps of Los Angeles, California, the United States and the World",ark:/21198/zz001d0fxx,ark:/21198/zz0002h48z,2,Completed,Work,Masters/Maps/Yrlscmaps/masters/21198-zz002kfkkz_2404637_master.tif,,,,,still image,maps|~|cartographic,pd,,Mexico--Maps|~|United States--Maps,,,"United States--Historical geography--Maps |~|Mexican War, 1846-1848--Maps ",,spa,,,"Disturnell, John, 1801-1877 ",,,,,,75 x 104 cm. on sheet 78 x 108 cm,uclamss_294_b44_1,"Mapa de los Estados Unidos de Mejico, segun lo organizado y definido por las varias actas del Congreso de dicha republica : y construido por las mejores autoridades",,1949,1 map,"Scale: 1:4,600,00|~|Digitization took place as part of the California Cultures Project.|~|Relief shown by hachures and spot heights|~|Prime meridian: Washington, D.C|~|Insets: Tabla de distancias.--Tabla estadistica.--Carta de los caminos &c. desde Vera Cruz y Alvarado a Mejico.--Profile of the route between Mexico and Vera Cruz.--Profile of the route b[e]tween Mexico and Acapulco.--Map showing the battle grounds of the 8th and 9th May 1846. By J. H. Eaton.--Chart of the bay of Vera Cruz. Drawn by order of V. Admiral Baudin|~|Rev. ed. Facsimile of 1847 edition published by J, Disturnell, New York",G4410 F2 1847,http://calcultures.cdlib.org,"Baltimore, Md.; Berkeley, Calif",A. Hoen & Co Bancroft Library. Friends,,,,,failed,
