"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.permission","Coverage.geographic","Name.producer","Publisher.publisherName","Subject","Rights.servicesContact","Language","Name.repository","Name.surveyor","Name.cartographer","Name.subject","Name.sponsor","Name.compiler","Name.lithographer","Name.artist","Format.dimensions","AltIdentifier.local","Title","AltIdentifier.oclc","Date.creation","Format.extent","Description.note","AltIdentifier.callNo","Relation.isPartOf","Place of origin","Publisher.publisherName","Description.caption","AltTitle.translated","AltTitle.other","AltIdentifier.collection","Description.abstract","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Maps of Los Angeles, California, the United States and the World","ark:/21198/zz00096f3k","ark:/21198/zz0002h48z","2","Completed","Work","Masters/Maps/Yrlscmaps/masters/21198-zz00096f3k-1-master.tif","","","","","still image","maps|~|cartographic","pd","","San Francisco (Calif.)--Buildings, structures, etc.--Maps","","","Buildings--California--San Francisco--Repair and reconstruction--Maps|~|Earthquakes $z California $z San Francisco $v Maps|~|Building--California--San Francisco--Maps|~|Fires--California--San Francisco--Maps","","eng","University of California, Los Angeles. $b Library Special Collections","","Punnett Brothers","","","","","","56 x 74 cm. on sheet 60 x 78 cm.","clusc_1_1_00017397a|~|uclamss_294_b71_3","Map of part of San Francisco, California, April 18, 1908 : showing buildings constructed and buildings under construction during two years after fire of April 18, 1906","","April 18, 1908","1 map : col.","Oriented with north toward the lower right.  Caption at top of map: ""Two years after""  Also lists types, numbers and values of building permits issued thus far.|~|Inset: ""Map of San Francisco showing relative size and position of burned area""|~|scale: 1:8,650|~|Digitization took place as part of the California Cultures Project.|~|""Area burned - four square miles. Total area of city - forty square miles. The 497 blocks within the area bordered by red line were destroyed. Markings in black show new construction""","G4364 S216 1908","http://calcultures.cdlib.org","San Francisco, Calif.","California Promotion Commitee","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096f3k","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00096f3k/manifest"
"Maps of Los Angeles, California, the United States and the World","ark:/21198/zz00096f7n","ark:/21198/zz0002h48z","2","Completed","Work","Masters/Maps/Yrlscmaps/masters/21198-zz00096f7n-1-master.tif","","","","","still image","maps|~|cartographic","pd","","Agua Caliente Indian Reservation (Calif.)--Maps","","","Irrigation--California--Agua Caliente Indian Reservation--Maps","","eng","University of California, Los Angeles. $b Library Special Collections","","","","","","","","50 x 71 cm. on sheet 54 x 76 cm.","clusc_1_1_00017399a|~|uclamss_294_b99_3","Map of a portion of the Agua Caliente Indian Reservation, Riverside County, California","","1919","1 map","Relief shown by hachures.  Irrigation pipelines are marked.|~|scale: 1:12,000|~|""Drawn by I.F.W.""|~|Digitization took place as part of the California Cultures Project.|~|Inset: ""Map of Agua Caliente Indian Reservation""","G4363 R6 1919","http://calcultures.cdlib.org","[Washington, D.C.]","United States. Office of Indian Affairs. Irrigation Division","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096f7n","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00096f7n/manifest"
"Maps of Los Angeles, California, the United States and the World","ark:/21198/zz00096f85","ark:/21198/zz0002h48z","2","Completed","Work","Masters/Maps/Yrlscmaps/masters/21198-zz00096f85-1-master.tif","","","","","still image","maps|~|cartographic","pd","","","","","Railroads--United States--Maps","","eng","University of California, Los Angeles. $b Library Special Collections","","","","","","M. Schmidt & Co.","","23.5 x 68.5 on sheet 54 x 74 cm.","clusc_1_1_00017391a|~|uclamss_294_b50_1","Railway map of the Weekly Call","","1880","1 map : col.","Relief shown by hachures.|~|""This map and the elegantly printed map of California & Nevada will be sent free to every yearly subscriber to the Weekly Call""|~|""Showing existing and proposed roads, table of distances and time. And ocean routes to foreign coast ports. Round the world trips, etc.""|~|Digitization took place as part of the California Cultures Project.","G3690 P3 1880","http://calcultures.cdlib.org","San Francisco, Calif.","San Francisco Call Company","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096f85","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00096f85/manifest"
"Maps of Los Angeles, California, the United States and the World","ark:/21198/zz00096fcq","ark:/21198/zz0002h48z","2","Completed","Work","Masters/Maps/Yrlscmaps/masters/21198-zz00096fcq-1-master.tif","","","","","still image","bird's-eye views|~|cartographic","pd","","Coronado (Calif.)--Aerial views","","","","","eng","University of California, Los Angeles. $b Library Special Collections","","Moore, E. S.","","","","H.S. Crocker Co.","","46 x 64.5 cm. on sheet 53.3 x 69.5 cm.","clusc_1_1_00017390a|~|uclamss_294_b60_2","Bird's eye view of Coronado Beach, San Diego Bay and city of San Diego, Cal. in distance","233727441","1880","1 view","Officers and directors of the Coronado Beach Company are listed.|~|Includes index to important sites.  Below view: ""Capital - One million dollars""|~|Perspective map not drawn to scale.|~|Digitization took place as part of the California Cultures Project.","","http://calcultures.cdlib.org","San Francisco, Calif.","Coronado Beach Company","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096fcq","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00096fcq/manifest"
"Maps of Los Angeles, California, the United States and the World","ark:/21198/zz00096fd7","ark:/21198/zz0002h48z","2","Completed","Work","Masters/Maps/Yrlscmaps/masters/21198-zz00096fd7-1-master.tif","","","","","still image","maps|~|cartographic","pd","","San Francisco (Calif.)--Maps","","","San Francisco (Calif.)--Maps","","eng","University of California, Los Angeles. $b Library Special Collections","","","","","","Britton & Rey","","50 x 63 cm. on sheet 53.7 x 71.2 cm.","clusc_1_1_00017243a|~|uclamss_294_b71_2","Guide map of the city of San Francisco : compiled from the official surveys and engraved expressly for Langley's San Francisco Directory","233719897","1878","1 map : col.","Relief shown by hachures.  Area tints distinguish various subdivisions of the city and city blocks are numbered within each subdivision.|~|scale: 1:50,000|~|Digitization took place as part of the California Cultures Project.","G4364 S216 1878","http://calcultures.cdlib.org","San Francisco, Calif.","Langley, Henry G.","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096fd7","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00096fd7/manifest"
"Maps of Los Angeles, California, the United States and the World","ark:/21198/zz00096ffr","ark:/21198/zz0002h48z","2","Completed","Work","Masters/Maps/Yrlscmaps/masters/21198-zz00096ffr-1-master.tif","","","","","still image","maps|~|cartographic","pd","","Los Angeles (Calif.)--Maps","","","Real property--California--Los Angeles--Maps","","spa|~|eng","University of California, Los Angeles. $b Library Special Collections","Ord, Edward Otho Cresap, 1818-1883|~|Hancock, Henry","","","","","A.L. Bancroft & Company","","72 x 70 cm. on sheet 75 x 73.5 cm.","clusc_1_1_00017395a|~|uclamss_294_b5_1","Map of the city of Los Angeles showing the confirmed limits surveyed in August 1857 by Henry Hancock","","August 1857","1 map","All street names are in both English and Spanish.  Relief shown by hachures.  Shows drainage, block and lot numbers, land ownership, buildings, fields, etc.  Cf. Robinson 33 Harlow p. 72.|~|""Surveyed in August 1857 by Henry Hancock, U.S. Dep. Surv.""  ""Donation lots surveyed by H. Hancock in August and April 1853. Geo Hanson, asst.""|~|Earlier title: ""Plan de la ciudad de Los Angeles. Surveyed by E.O.C. Ord, Lt. U.S.A. and Wm. R. Hutton, assistant. August 29th 1849.""|~|scale: 1:11,800, not 5 1/3 in. to 1 mi.|~|Digitization took place as part of the California Cultures Project.","G4364 L875 1847a","http://calcultures.cdlib.org","Los Angeles, Calif.","Bancroft & Thayer","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096ffr","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00096ffr/manifest"
"Maps of Los Angeles, California, the United States and the World","ark:/21198/zz00096fg8","ark:/21198/zz0002h48z","2","Completed","Work","Masters/Maps/Yrlscmaps/masters/21198-zz00096fg8-1-master.tif","","","","","still image","maps|~|cartographic","unknown","","Rancho Sausal Redondo (Calif.)--Maps|~|Rancho Centinela (Calif.)--Maps","","","","","eng","University of California, Los Angeles. $b Library Special Collections","","Anonymous","","","","","","52 x 44 cm.","clusc_1_1_00017221a|~|uclamss_294_b121_1","Map of the Centinela and Sausal Redondo ranches in Los Angeles County, Cal.","","n.d.","1 map","Scale not given|~|Hand drawn on tracing paper.  Boundary lines over drawn in red.  Relief shown by hachures.|~|Digitization took place as part of the California Cultures Project.","","http://calcultures.cdlib.org","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096fg8","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00096fg8/manifest"
"Maps of Los Angeles, California, the United States and the World","ark:/21198/zz00096fkt","ark:/21198/zz0002h48z","2","Completed","Work","Masters/Maps/Yrlscmaps/masters/21198-zz00096fkt-1-master.tif","","","","","still image","maps|~|cartographic","pd","","Los Angeles (Calif.)--Maps","","","Real property--California--Los Angeles--Maps","","eng","University of California, Los Angeles. $b Library Special Collections","","","","","","","","52 x 63.3 cm. on sheet 82.5 x 71 cm.","clusc_1_1_00017241a|~|uclamss_294_b3_1","Cox and Sanders index map of Los Angeles City","233731436","1896","1 map","""Corrected to Jan. 1st 1896""|~|""Showing all streets and street car lines and sewer connections""  ""Index shows location of streets and shortest routes from centre of city""  In lower left hand corner reads: ""Compiled in office of Jas. T. Taylor""|~|Digitization took place as part of the California Cultures Project.|~|Street car lines over printed in red, sewer lines over printed in blue.  Tracts are indicated.  Railroad lines also indicated.  Index to banks, business blocks and halls, theatres, public buildings, public institutions, railway stations, cemeteries, churches, colleges and schools, hotels, parks, telegraph and telephone cos. miscellaneous societies and streets.|~|Scale not given.","G4364 L875 1896a","http://calcultures.cdlib.org","Los Angeles, Calif.","Cox and Sanders","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096fkt","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00096fkt/manifest"
"Maps of Los Angeles, California, the United States and the World","ark:/21198/zz00096fnv","ark:/21198/zz0002h48z","2","Completed","Work","Masters/Maps/Yrlscmaps/masters/21198-zz00096fnv-1-master.tif","","","","","still image","maps|~|cartographic","pd","","El Camino Real (Calif.)--Maps|~|California--History--To 1846--Maps|~|California--Historical geography--Maps","","","Missions, Spanish--California--Maps, Pictorial","","eng","University of California, Los Angeles. $b Library Special Collections","","Prentiss, Mabel Emerton","Franciscans--Missions--California--Maps","","","","","48.5 x 43 cm. on sheet 58.5 x 53.5 cm..","clusc_1_1_00017217a|~|uclamss_294_b61_2","El Camino Real : outline map of California showing missions and principal settlements prior to secularization of the missions in 1834","233725288","c.1903","1 map","""Published by Mrs. S.A.P. Wheeler, San Gabriel, Cal.""|~|Digitization took place as part of the California Cultures Project.","G4360 P2 1769-1824","http://calcultures.cdlib.org","San Gabriel and Los Angeles, Calif.","Out West Co.","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096fnv","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00096fnv/manifest"
"Maps of Los Angeles, California, the United States and the World","ark:/21198/zz00096frd","ark:/21198/zz0002h48z","2","Completed","Work","Masters/Maps/Yrlscmaps/masters/21198-zz00096frd-1-master.tif","","","","","still image","maps|~|cartographic","pd","","","","","Trolley buses--California, Southern|~|Street-railroads--California, Southern","","eng","University of California, Los Angeles. $b Library Special Collections","","Pontius, D. W.","Pacific Electric Railway Company--Maps","","","","","40 x 59.3 cm. on sheet 48.5 x 61 cm.","clusc_1_1_00017238a|~|uclamss_294_b120_1","Lines of the Pacific Electric Railway in Southern California","","circa  1912","1 map","Describes Mount Lowe, Orange Empire and ""Old Mission-Ballona Route"" trolley trips.|~|Digitization took place as part of the California Cultures Project.|~|Railroad lines also indicated.|~|scale: 1:234,000","","http://calcultures.cdlib.org","Los Angeles, Calif. (?)","Pacific Electric Railway Company","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096frd","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00096frd/manifest"
"Maps of Los Angeles, California, the United States and the World","ark:/21198/zz00096fsx","ark:/21198/zz0002h48z","2","Completed","Work","Masters/Maps/Yrlscmaps/masters/21198-zz00096fsx-1-master.tif","","","","","still image","bird's-eye views|~|cartographic","pd","","Ventura (Calif.)--Buildings, structures, etc.--Pictorial works|~|Ventura (Calif.)--Aerial views","","","","","eng","University of California, Los Angeles. $b Library Special Collections","","","","","","W.W. Elliot & Co.","","49.5 x 66 cm. on sheet 54 x 71.5 cm.","clusc_1_1_00017396a|~|uclamss_294_b60_1","San Buena Ventura","","circa 1890","1 view","Digitization took place as part of the California Cultures Project.|~|Perspective map not drawn to scale.  Relief shown pictorially.  Includes an index of important sites in the area.  Directly above and below the view are insets of prominent buildings.|~|Bird's-eye view from the Pacific.","","http://calcultures.cdlib.org","San Francisco, Calif.","Ventura Daily Press","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096fsx","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00096fsx/manifest"
"Maps of Los Angeles, California, the United States and the World","ark:/21198/zz00096ftf","ark:/21198/zz0002h48z","2","Completed","Work","Masters/Maps/Yrlscmaps/masters/21198-zz00096ftf-1-master.tif","","","","","still image","maps|~|cartographic","pd","","North Pacific Ocean--Maps","","","Nautical charts--North Pacific Ocean","","spa","University of California, Los Angeles. $b Library Special Collections","","","","Mexico. President (1824-1829 : Victoria)","","","","62 x 70 cm. on sheet 69 x 85 cm.","clusc_1_1_00017216a|~|uclamss_294_b48_1","Carta general para las navegaciones a la India Oriental por el mar del sur y el grande oceano que separa el continente americano del asiatico","233732526","1825","1 map","Emblem with eagle perched on boat surrounded by 2 sails and 2 anchors in lower left corner.|~|Digitization took place as part of the California Cultures Project.|~|""Los numeros de la sonda son brazas de 6 pies de Burgos""  ""Longitude oeste de Cadiz""|~|""Construido segun las derretas, observaciones y trabajos de los mas celebres navegantes españoles y publicada por orden del Excmo. Sr. D. Guadalupe Victoria, primer presidente de la Repblica""","G3201 1825","http://calcultures.cdlib.org","Mexico","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096ftf","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00096ftf/manifest"
"Maps of Los Angeles, California, the United States and the World","ark:/21198/zz00096fx0","ark:/21198/zz0002h48z","2","Completed","Work","Masters/Maps/Yrlscmaps/masters/21198-zz00096fx0-1-master.tif","","","","","still image","maps|~|cartographic","pd","","","","","Street-railroads--California--Los Angeles Metropolitan Area--Maps","","eng","University of California, Los Angeles. $b Library Special Collections","","","Pacific Electric Railway Company--Maps","","","","","46 x 57.5 cm. on sheet 47.5 x 58.5 cm.","clusc_1_1_00017237a|~|uclamss_294_b96_1","Map of the Los Angeles-Pacific R.R.","","circa 1900","1 map : blueprint","scale: 20 chains:1 inch|~|Relief shown by spot heights.  Existing ranchos are identified.|~|Digitization took place as part of the California Cultures Project.|~|UCLA copy: Ex-libris W.W. Robinson","G4363 L8P3 1900","","Los Angeles, Calif.","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00096fx0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00096fx0/manifest"
