Item ARK,Parent ARK (Festerize),Parent ARK (Californica),Object Type,Title,AltTitle.other,File Name,collection.physical,Contributor,Item Sequence,Thumbnail,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject topic,Subject geographic,Subject temporal,viewingHint,IIIF Manifest URL
ark:/21198/z1ht4fwc,ark:/21198/z1f20r89,ark:/21198/z1f20r89|~|ark:/21198/z13b7wpn,Work,Untitled Notes 2,,,Justino Valentim Fataluku Collection,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vh7j6s,An example of halu vaihoho can be found at https://www.youtube.com/watch?v=mIOwcI85dL8&t=61s,1999-2014,1999/2014,,,"Thirteen loose pages previously held in a folder, with Vaihoho from Mr. Manuel Xisto.  The Vaihoho uses metaphoric language to depict romantic relationships, traditional marriage, and the plight of orphans.  Pages _0012 and _0013 deal directly with the Indonesian invasion and occupation. Halu vaihoho (war song) tell about the tragedy of the conflict and massacres involved when Indonesia occupied Timor Leste. Many people were killed, but some were able to escape by hiding in forest areas.",210 mm x 296 mm,13 pages,,field notes,ddg,jv_vaihoho_0006|~|Box 1,"Valentim, Justino (Cailoru)",,,,,Valentim Home,text,unknown,Many Hands International contact@manyhands.org.au,,Timor Leste languages|~|Fataluku language|~|Fataluku sung poems|~|Vaihoho|~|Fataluku oral traditions,,,paged,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ht4fwc/manifest
ark:/21198/z1d23q6t,ark:/21198/z1f20r89,ark:/21198/z1f20r89|~|ark:/21198/z13b7wpn,Work,Untitled Book - Mr. Orlando,,,Justino Valentim Fataluku Collection,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15q6rfw,,1999-2014,1999/2014,,,"Transcriptions of Vaihoho by Senor Valentim recorded in an exercise book.  Senor Gonsalves (deceased) is the knowledge holder.  The languauge is in high Fataluku, which few people now use or understand.  Content of the sung poems is in two parts.  Up to verse 26 are poems for the Cailoru tribal people, detailing local places, traditional names of people and orphan farewells.  From verse 27 the vaihoho are about romantic relations among young girls and young boys.",164 mm x 210 mm,20 pages,,notebook,ddg,jv_vaihoho_0007|~|Box 1,"Valentim, Justino (Cailoru)|~|Gonsalves, Orlando (Cailoro)",,,,,Valentim Home,text,unknown,Many Hands International contact@manyhands.org.au,,Timor Leste languages|~|Fataluku language|~|Fataluku sung poems|~|Vaihoho|~|Fataluku oral traditions,,,paged,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1d23q6t/manifest
ark:/21198/z1892zhj,ark:/21198/z1f20r89,ark:/21198/z1f20r89|~|ark:/21198/z13b7wpn,Work,Untitled Book - Mr. Inacio (Ira-Ara/Larinu),,,Justino Valentim Fataluku Collection,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g17w57,Senhor Inacio Conceiçāo is an elder from the sub-village of Ira-Ara in Lospalos.  He is from the Naza Ratu (tribe).,1999-2014,1999/2014,,,"Transcription of tradiitional vaihoho by Senhor Valentim, from Senhor Inacio da Conceiçāo.  The language is high, ritual Fataluku. (_0003) 'En iharala vaihoho' is about traditional marriage and 'Hini vaihoho' is an orphan's lament; (_0004) 'En orontafan i vaihoho' is about husking rice; (_0005 and _0006) 'Ete seilana (Ete seilen) Leuli vaihoho' is about hauling logs from the forest, that will be used to make a traditional house (Uma Lulik); (_0007) 'Txele Sipilen vaihoho' about harvesting corn together, call and response in conjunction with _0008; (_0008) 'Txele Sipilana vaihoho' response to _0007. (_0009) 'Aletielen Leuli vaihoho' about rice harvesting. (_0010 and _0011) call and response vaihoho.",160 mm x 206 mm,25 pages,,notebook,ddg,jv_vaihoho_0008|~|Box 1,"Valentim, Justino (Cailoru)|~|da Conceiçāo, Inacio (Nazaratu)",,,,,Valentim Home,text,unknown,Many Hands International contact@manyhands.org.au,,Timor Leste languages|~|Fataluku language|~|Fataluku sung poems|~|Vaihoho|~|Fataluku oral traditions,,,paged,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1892zhj/manifest
ark:/21198/z14n0x6j,ark:/21198/z1f20r89,ark:/21198/z1f20r89|~|ark:/21198/z13b7wpn,Work,Untitled Book - Inacio Conceição 2,,,Justino Valentim Fataluku Collection,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17d4qk1,Handwritten verses in exercise book.,1999-2014,1999/2014,,,"This is the second notebook from Senhor Inacio Da Conceiçāo obtained by Senhor Justino Valentim, documenting vaihoho sung poems (First notebook is jv_vaihoho_0008).   This notebook describes vaihoho from the Pitileti Naza ratu (tribe) from Ira-Ara sub-village in Lospalos. Most of the Vaihoho are in high Fataluku and include Vaihoho sung at traditional marriage ceremonies, references traditional names and working songs.  Pages _0003, _0004,  _0029 and _0030, use everyday Fataluku and are about the war and Indonesian occupation.",160 mm x 240 mm,32 pages,,notebook,ddg,jv_vaihoho_0009|~|Box 1,"Valentim, Justino (Cailoru)|~|da Conceição, Inacio (Nazaratu)",,,,,Valentim Home,text,unknown,Many Hands International contact@manyhands.org.au,,Timor Leste languages|~|Fataluku language|~|Fataluku sung poems|~|Vaihoho|~|Fataluku oral traditions,,,paged,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14n0x6j/manifest
ark:/21198/z10w05fr,ark:/21198/z1f20r89,ark:/21198/z1f20r89|~|ark:/21198/z13b7wpn,Work,Rata Waihohonu,Old Vaihoho,,Justino Valentim Fataluku Collection,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13j589k,,1999-2014,1999/2014,,,"Annotated typed pages of Vaihoho using high Fataluku.  Topics include relationships between different villages, orphan's laments, traditional marriages, ceremonies for traditional sacred house (Uma Lulik).  The additional handwritten verses on the first page use everyday Fataluku and are affectionate goodbyes.",211 mm x 293 mm,15 pages,,annotations,ddg,jv_vaihoho_0010|~|Box 1,"Valentim, Justino (Cailoru)",,,,,Valentim Home,text,unknown,Many Hands International contact@manyhands.org.au,,Timor Leste languages|~|Fataluku language|~|Fataluku sung poems|~|Vaihoho|~|Fataluku oral traditions,,,paged,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10w05fr/manifest
ark:/21198/z1w39nxc,ark:/21198/z1f20r89,ark:/21198/z1f20r89|~|ark:/21198/z13b7wpn,Work,Untitled Book 2,,,Justino Valentim Fataluku Collection,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15b1xt6,"Lospalos is the sub-district of the Lautem District, which is the home district of the Fataluku speaking people of Timor Leste; Lospalos, the town, is also the administrative capital of the Lautem District. This book also includes an inserted supplementary page of handwritten Vaihoho verses which deal with the natural world.",1999-2014,1999/2014,,,Hand written notebook containing Fataluku Vaihoho sung poems with some translated into Tetum.  The subject of the poems is the beautiful country of Timor Leste. Page _0003 English translation of the Tetum (on right hand side): Lospalos Lospalos; Where is Lospalos; In the good country; With mountains all around,200 mm x 289 mm,12 Pages,,notebook,ddg,jv_vaihoho_0011|~|Box 1,"Valentim, Justino (Cailoru)",,,,,Valentim Home,text,unknown,Many Hands International contact@manyhands.org.au,,Timor Leste languages|~|Fataluku language|~|Fataluku sung poems|~|Vaihoho|~|Fataluku oral traditions|~|Timor Leste land,,,paged,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1w39nxc/manifest
ark:/21198/z1rb8x5m,ark:/21198/z1f20r89,ark:/21198/z1f20r89|~|ark:/21198/z13b7wpn,Work,Untitled Book 3,,,Justino Valentim Fataluku Collection,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r51m5h,,1999-2014,1999/2014,,,Draft copy of jv_vaihoho_0001 with working notes.,215 mm x 297 mm,38 pages,,annotations,ddg,jv_vaihoho_0012|~|Box 1,"Valentim, Justino (Cailoru)",,,,,Valentim Home,text,unknown,Many Hands International contact@manyhands.org.au,,Timor Leste languages|~|Fataluku language|~|Fataluku sung poems|~|Vaihoho|~|Fataluku oral traditions,,,paged,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rb8x5m/manifest
ark:/21198/z1mk85gq,ark:/21198/z1f20r89,ark:/21198/z1f20r89|~|ark:/21198/z13b7wpn,Work,Untitled Notes 3,,,Justino Valentim Fataluku Collection,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tq7wx3,The notes are written on the back of cut-up cigarette cartons.,1999-2014,1999/2014,,,"Written in everyday Fataluku these notes discuss firstly, the tribes who are located in the sub-district of Titilari. The second set of notes transcribes a traditional Fataluku song, not a Vaihoho.  The song has been popularised by a contemporary Timor Leste band called Galaxy.",143 mm x 279 mm,4 pages,,field notes,ddg,jv_vaihoho_0013|~|Box 1,"Valentim, Justino (Cailoru)",,,,,Valentim Home,text,unknown,Many Hands International contact@manyhands.org.au,,Timor Leste languages|~|Fataluku language|~|Fataluku sung poems|~|Vaihoho|~|Fataluku oral traditions,,,paged,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1mk85gq/manifest
ark:/21198/z1gt7dsf,ark:/21198/z1f20r89,ark:/21198/z1f20r89|~|ark:/21198/z13b7wpn,Work,Untitled Notes 4,,,Justino Valentim Fataluku Collection,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19s3mdk,Handwritten field notes,1999-2014,1999/2014,,,Transciptions of traditional Vaihoho in high Fataluku language.  The content is symbolic referring to harvests and the natural world.,144 mm x 210 mm,4 pages,,field notes,ddg,jv_vaihoho_0014|~|Box 1,"Valentim, Justino (Cailoru)",,,,,Valentim Home,text,unknown,Many Hands International contact@manyhands.org.au,,Timor Leste languages|~|Fataluku language|~|Fataluku sung poems|~|Vaihoho|~|Fataluku oral traditions,,,paged,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gt7dsf/manifest
ark:/21198/z1c26p3w,ark:/21198/z1f20r89,ark:/21198/z1f20r89|~|ark:/21198/z13b7wpn,Work,Untitled Notes 5,,,Justino Valenitm Fataluku Collection,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sr0vtq,Handwritten field notes,1999-2014,1999/2014,,,These notes transcribe the same text as jv_vaihoho_0014 pages _0001 and _0004.,127 mm x 210 mm,2 pages,,field notes,ddg,jv_vaihoho_0015|~|Box 1,"Valentim, Justino (Cailoru)",,,,,Valentim Home,text,unknown,Many Hands International contact@manyhands.org.au,,Timor Leste languages|~|Fataluku language|~|Fataluku sung poems|~|Vaihoho|~|Fataluku oral traditions,,,paged,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1c26p3w/manifest
ark:/21198/z17d4msg,ark:/21198/z1f20r89,ark:/21198/z1f20r89|~|ark:/21198/z13b7wpn,Work,Untitled Notes 6,,,Justino Valentim Fataluku Collection,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j69c8g,"Field notes written in pencil on lined paper, probably from an exercise book.",1999-2014,1999/2014,,,"Hand written notes by Justino Valentim.  The language is high or ritual Fataluku, used mainly by older individuals in formal or ceremony situations.  Younger speakers of Fataluku find the language difficult to understand.  The content is a lament for/by individuals left alone.",210 mm x 299 mm,2 pages,,field notes,ddg,jv_vaihoho_0016|~|Box 1,"Valentim, Justino (Cailoru)",,,,,Valentim Home,text,unknown,Many Hands International contact@manyhands.org.au,,Timor Leste languages|~|Fataluku language|~|Fataluku sung poems|~|Vaihoho|~|Fataluku oral traditions,,,paged,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17d4msg/manifest
ark:/21198/z13n3w25,ark:/21198/z1f20r89,ark:/21198/z1f20r89|~|ark:/21198/z13b7wpn,Work,Untitled Notes 7,,,Justino Valentim Fataluku Collection,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18s6k86,Field notes written on page torn our of lined spiral bound exercise book.,1999-2014,1999/2014,,,,203 mm x 265 mm,2 pages,,field notes,ddg,jv_vaihoho_0017|~|Box 1,"Valentim, Justino (Cailoru)",,,,,Valentim Home,text,unknown,Many Hands International contact@manyhands.org.au,,Timor Leste languages|~|Fataluku language|~|Fataluku sung poems|~|Vaihoho|~|Fataluku oral traditions,,,paged,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz13n3w25/manifest
