Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Name.creator,Type.typeOfResource,viewingHint,Text direction,Visibility,IIIF Range,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Coverage.geographic,Name.subject,Name.contributor,Subject,Rights.countryCreation,Rights.rightsHolderContact,Language,AltTitle.uniform,Name.architect,Name.photographer,AltTitle.other,Name.repository,Relation.isPartOf,Format.dimensions,Alt ID.local,Rights.statementLocal,Description.note,Title,Date.creation,Format.extent,Date.normalized,Format.medium,Publisher.placeOfOrigin,Publisher.publisherName,Description.abstract,Opac url,Finding Aid URL
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0017q352,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz0017q352_720084_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",,,,private,,Sketches,copyrighted,,,,,Drawings,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,,,"University of California, Los Angeles. $b Library Special Collections","Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_f(1107)_0001,,LAPL Exhibit 2009,Heller House color sketch.,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0017q36k,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz0017q36k_720087_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",,,,private,,Sketches,copyrighted,,,,,Drawings,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_f(1129)_0003,,LAPL Exhibit 2009,Rush City Reformed sketch.,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0017q373,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz0017q373_720090_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,,,Sketches,copyrighted,,,,,Drawings,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_f(1131)_0002,,LAPL Exhibit 2009,Agricultural Workers Cooperative Housing sketch.,,1 drawing,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0017q38m,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz0017q38m_720093_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",,,,private,,Sketches,copyrighted,,,,,Drawings,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,,,"University of California, Los Angeles. $b Library Special Collections","Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_f(1169)_0001,,LAPL Exhibit 2009,Ring Plan School sketch.,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0017q394,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz0017q394_720096_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",,,,private,,Sketches,copyrighted,,,,,Drawings,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,,,"University of California, Los Angeles. $b Library Special Collections","Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_f(1178)_0002,,LAPL Exhibit 2009,Emerson Junior High School (Classrooms) sketch.,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0017q3bn,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz0017q3bn_720099_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",,,,private,,Sketches,copyrighted,,,,,Drawings,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,,,"University of California, Los Angeles. $b Library Special Collections","Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_f(1196)_0001,,LAPL Exhibit 2009,League of Nations Competition (f. 3) sketch.,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0017q3c5,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz0017q3c5_720102_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",,,,private,,Sketches,copyrighted,,,,,Drawings,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,,,"University of California, Los Angeles. $b Library Special Collections","Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_f(1234)_0001,,LAPL Exhibit 2009,Lovell (Health) House (f. 2) sketch.,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0017q3dp,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz0017q3dp_720105_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",,,,private,,Sketches,copyrighted,,,,,Drawings,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,,,"University of California, Los Angeles. $b Library Special Collections","Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_f(1248)_0001,,LAPL Exhibit 2009,Tremaine House color sketch exterior.,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0017q3f6,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz0017q3f6_720108_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",,,,private,,Sketches,copyrighted,,,,,Drawings,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,,,"University of California, Los Angeles. $b Library Special Collections","Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,c1179_f(1248)_0002,,LAPL Exhibit 2009,Tremaine House color sketch interior.,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0017q3gq,ark:/21198/zz0008b9tw,10,Completed with minimal metadata,Work,neutra/masters/srgb/21198-zz0017q3gq_720111_master.tif,,,,,"Neutra, Richard Joseph, 1892-1970 --Archives",,,,,,Sketches|~|Floor plans,copyrighted,,,,,Drawings,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,,,"University of California, Los Angeles. $b Library Special Collections","Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",,collection_1179_oversize_folder_1279,,Tyrone Power's Apartment; Skyline Apartments.,Penthouse sketch and floorplan.,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0017q3h7,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz0017q3h7_720114_master.tif,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,LAPL Exhibit 2009,c1179_LAPL_140,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0017q3jr,ark:/21198/zz0008b9tw,1,In progress,Work,neutra/masters/srgb/21198-zz0017q3jr_720117_master.tif,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,LAPL Exhibit 2009,c1179_LAPL_141,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0019p7g1,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz0019p7g1_731798_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,,,Sketches,,,Colombia,,,Drawings,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",27.5 x 35 cm,Travel sketches|~|uclamss_1179_b1902_f12,,"View of San Diego church alongside Montserrat mountain in Bogota, Columbia.|~|Inscription by artist reads ""San Diego / Montserate / Bogota.""  Signed and dated on bottom left.","San Diego, Montserate, Bogota, 195[7].",195[7],1 sketch,1957,pastel on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0019p7nm,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz0019p7nm_731801_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,,,Sketches,,,Germany,,,Drawings,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",25 x 33.5 cm,Travel sketches|~|uclamss_1179_b1902_f13,,"Scenic view of two small sailboats on the beach [near Ahlbeck] on the island of Usedom in the Baltic Sea.|~|Inscription by artist reads ""Ahlbeck [...] Ostsee.""  Signed and dated on bottom middle.","Ahlbeck [...] Ostsee, [1921].",[1921],1 sketch,1921,pastel on tracing vellum,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0019p7xr,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz0019p7xr_731804_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,,,Sketches,,,Germany,,,Drawings,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",33.5 x 25 cm,uclamss_1179_b1902_f14|~|Travel sketches,,"View of a group of tall slender trees with bushes and blue sky in the background.|~|Inscription by artist reads ""Berlin.""  Signed and dated on bottom right.","Berlin, 1920.",1920,1 sketch,1920,pastel on vellum paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0019p85v,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz0019p85v_731807_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,,,Sketches,,,Germany,,,Drawings,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",33 x 25 cm,Travel sketches|~|uclamss_1179_b1902_f15,,"Inscription by artist reads ""Brau Rost [?] / Eldena.""|~|View of the Ruins of Eldena Monastery (Kloster Aldena) near Greifswald, Germany.",Brau Rost [?] Eldena.,,1 photograph,,crayon on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0019p8bf,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz0019p8bf_731810_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,,,Sketches,,,Germany,,,Drawings,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",33.5 x 25.5 cm,uclamss_1179_b1902_f16|~|Travel sketches,,"View of structures on a tiered hill in [Falkenburg, Germany].|~|Inscription by artist reads ""Falkenbg.""  Signed on bottom right.  Dated on bottom middle.","Falkenbg, 1923.",1923,1 drawing,1923,charcoal on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0019p8h1,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz0019p8h1_731813_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,,,Sketches,,,Germany,,,Drawings,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",33 x 25 cm,Travel sketches|~|uclamss_1179_b1902_f17,,"Inscription by artist reads ""Usedom.""  Signed and dated on botom middle.|~|View of an unidentified building with pointed arched doors and windows in Usedom, Germany.","Usedom, [1921].",[1921],1 sketch,1921,pastel on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0019p8k2,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz0019p8k2_731816_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,,,Sketches,,,Germany,,,Drawings,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",33.5 x 25 cm,Travel sketches|~|uclamss_1179_b1902_f18,,"View of a sailboat tied down to the beach next to three small boats, with cranes from the harbor in the background.|~|Inscription by artist reads ""Usedom.""  Signed and dated on bottom right.","Usedom, 1920.",1920,1 sketch,1920,pastel on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0019p8rn,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz0019p8rn_731819_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",,,,,,,,,Greece,,,Drawings,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",25 x 34.5 cm,Travel sketches|~|uclamss_1179_b1902_f19,,"Image appears in ""Life and Shape"" (1962) by Richard Neutra.Caption in book reads: ""Eternal Acropolis, over the cemetery of us short-lived ones. Athens.""|~|View of the Kerameikos Aθhnai (Athens), an ancient cemetery in Athens Northwest of the Acropolis. Sections of the walls can be seen throughout the drawing. Faint outlines of a dome-shaped building and the [Parthenon] are in the background.|~|Inscription by artist reads ""Kepameikos / Aθhnai.""  Signed and dated on bottom right.","Kepameikos, Athens.",,1 sketch,,crayon on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0019p8s5,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz0019p8s5_731822_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,,,Sketches,,,Guatemala,,,Drawings,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",27.5 x 35 cm,uclamss_1179_b1902_f20|~|Travel sketches,,"Scenic view across Lake Atitlan (Lago de Atitlan) in Guatamala showing Toliman and Atitlan volcanoes.  Forest area surrounds the lake.|~|Inscription by artist reads ""Atitlan.""  Signed and dated on bottom left.","Atitlan, 195[].",195[],1 sketch,1950/1959,pastel on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
Neutra (Richard and Dion) Papers.  Collection 1179,ark:/21198/zz0019p939,ark:/21198/zz0008b9tw,2,Completed,Work,neutra/masters/srgb/21198-zz0019p939_731831_master.tif,,,,,"Neutra, Richard Joseph, $d 1892-1970",still image,,,,,Sketches,,,Guatemala,,,Drawings,,,,,,,,,"Richard and Dion Neutra Papers. Department of Special Collections, Charles E. Young Research Library, UCLA",27.5 x 35 cm,Travel sketches|~|uclamss_1179_b1902_f21,,"Inscription by artist reads ""Guatemala.""  Signature on bottom left.|~|Drawing of two figures in Guatemala.  One figure wearing a sombrero is in a sitting position facing left.  The second figure is wearing a black vest and a sombrero and is facing toward the viewer.","Guatemala, 1957.",1957,1 sketch,1957,crayon on paper,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2470343,http://www.oac.cdlib.org/findaid/ark:/13030/tf7d5nb4js
