Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Subject,Type.typeOfResource,Type.genre,Name.subject,Rights.copyrightStatus,Rights.rightsHolderContact,Coverage.geographic,Description.latitude,Name.fashionDesigner,Description.longitude,Name.photographer,Name.repository,Name.artist,Name.architect,Name.compiler,Rights.countryCreation,Rights.servicesContact,Language,Relation.hasVersion,Rights.permission,Publisher.publisherName,Relation.isPartOf,Illustrator,Alternate Identifier.local,Title,Description.caption,Date.creation,Format.extent,Format.medium,Format.dimensions,Date.normalized,Description.longitude,Description.latitude,Description.note,Description.adminnote,Description.contents,Description.abstract,Description.fundingNote,Opac url,Finding Aid URL,Alternate Identifier.oclc,Bucketeer State,IIIF Access URL
Los Angeles Times Photographic Archive,ark:/13030/hb067n9984,ark:/21198/zz0002np7z,2,Completed,Work,latimes/masters/clusc_1_1_00012663a.tif,,,,African American basketball players|~|Sports,still image,news photographs,"University of California, Los Angeles--Basketball",copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",Los Angeles (Calif.),,,,,,,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_b584_234464,Lew Alcindor plays offense in UCLA basketball varsity-frosh game,,"November 27, 1966",,,,1966-11-27,-118.446794,34.0703752,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F13030%2Fhb067n9984
Los Angeles Times Photographic Archive,ark:/13030/hb067n999n,ark:/21198/zz0002np7z,2,Completed,Work,latimes/masters/clusc_1_1_00012793a.tif,,,,Japanese--United States|~|Japanese Americans|~|Legal|~|Culture,still image,news photographs,Los Angeles (Calif.). Police Dept.,copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",Los Angeles (Calif.),,,,,,,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_b3176_25130,Japanese submit personal property to the Los Angeles Police Department,,"December 29, 1941",,,,1941-12-29,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F13030%2Fhb067n999n
Los Angeles Times Photographic Archive,ark:/13030/hb0870039j,ark:/21198/zz0002np7z,2,Completed,Work,latimes/masters/clusc_1_1_00012719a.tif,,,,Chinese American neighborhoods--California--Los Angeles|~|Chinese Americans--California--Los Angeles|~|Urban renewal|~|Landmarks|~|Lifestyle,still image,news photographs,"Fung, Flora Fong",copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Chinatown (Los Angeles, Calif.)",,,,,,,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_b233_91724,"Removing Quan Yin statue from Old China City, Los Angeles (Calif.)",,"February 25, 1955",,,,1955-02-25,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F13030%2Fhb0870039j
Los Angeles Times Photographic Archive,ark:/13030/hb096nb0cf,ark:/21198/zz0002np7z,2,Completed,Work,latimes/masters/clusc_1_1_00012640a.tif,,,,"Agricultural laborers, Foreign--Legal status, laws, etc.--United States|~|Foreign workers, Mexican $z California $z Los Angeles Region|~|Mexicans--United States|~|Economy|~|International",still image,news photographs,,copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",Mexicali (Mexico),,,,,"University of California, Los Angeles. $b Library Special Collections",,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_b198_85119-2,Mexican laborers return home from work in the United States,,"February 8, 1954",,,,1954-02-08,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F13030%2Fhb096nb0cf
Los Angeles Times Photographic Archive,ark:/13030/hb0c60032k,ark:/21198/zz0002np7z,2,Completed,Work,latimes/masters/clusc_1_1_00012596a.tif,,,,Track and field athletes $z California $z Los Angeles|~|African American college athletes--California--Los Angeles|~|Sports|~|People,still image,news photographs,"University of California, Los Angeles--Track and field",copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",Los Angeles (Calif.),,,,,,,,,US,,zxx,Wikipedia submission,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_b265_97286-1,Rafer Johnson poses with track and field equipment.,,"February 11, 1956",,,,1956-02-11,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F13030%2Fhb0c60032k
Los Angeles Times Photographic Archive,ark:/13030/hb0c600333,ark:/21198/zz0002np7z,2,Completed,Work,latimes/masters/clusc_1_1_00012720a.tif,,,,"Campo de Cahuenga (Los Angeles, Calif.)|~|Mexican Americans $z California $z Los Angeles|~|Cahuenga, Treaty of, 1847|~|People|~|Arts",still image,news photographs,"Allen, William A.",copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",Los Angeles (Calif.),,,,,,,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_b229_90984,Leo Carillo unveils portrait of Antonio Carrillo,,"January 17, 1955",,,,1955-01-17,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F13030%2Fhb0c600333
Los Angeles Times Photographic Archive,ark:/13030/hb0d5nb03z,ark:/21198/zz0002np7z,2,Completed,Work,latimes/masters/clusc_1_1_00012946a.tif,,,,Government|~|Events|~|Anniversaries $z California $z Los Angeles,still image,news photographs,"Los Angeles City Hall (Los Angeles, Calif.)",copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",Los Angeles (Calif.),,,,,,,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_b23_47683,"Los Angeles celebrates 166th anniversary at City Hall, 1947",,"September 5, 1947",,,,1947-09-05,-118.243446350097,34.0529172046066,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F13030%2Fhb0d5nb03z
Los Angeles Times Photographic Archive,ark:/13030/hb0f59n6dr,ark:/21198/zz0002np7z,2,Completed,Work,latimes/masters/clusc_1_1_00012896a.tif,,,,"African Americans--Economic conditions|~|African Americans--Social conditions|~|African Americans--Social conditions--California--Los Angeles County|~|African Americans--Societies, etc.|~|Economy|~|Activism|~|Lifestyle",still image,news photographs,"McKeller, Carl",copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Watts (Los Angeles, Calif.)",,,,,,,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_b560_230428-3,Dollar for Watts Committee,,"October 17, 1965",,,,1965-10-17,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F13030%2Fhb0f59n6dr
Los Angeles Times Photographic Archive,ark:/13030/hb0j49n737,ark:/21198/zz0002np7z,2,Completed,Work,latimes/masters/clusc_1_1_00012629a.tif,,,,Shinto shrines|~|Japanese Americans--California--Los Angeles--Social life and customs|~|Japanese Americans--Rites and ceremonies|~|Japanese Americans--Social life and customs|~|Religion,still image,news photographs,"Tsuyuki, Alfred",copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Little Tokyo (Los Angeles, Calif.)",,,,,,,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_b578_233340,"Groundbreaking ceremony for a Shinto temple in Little Tokyo, Los Angeles (Calif.)",,"July 27, 1966",,,,1966-07-27,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F13030%2Fhb0j49n737
Los Angeles Times Photographic Archive,ark:/13030/hb0k400380,ark:/21198/zz0002np7z,2,Completed,Work,latimes/masters/clusc_1_1_00012671a.tif,,,,African American teenagers|~|Youth,still image,news photographs,,copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Watts (Los Angeles, Calif.)",,,,,"University of California, Los Angeles. $b Library Special Collections",,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_b600_236973,"African American girls walk to summer jobs in Watts, Los Angeles (Calif.)",,"July 31, 1967",,,,1967-07-31,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F13030%2Fhb0k400380
Los Angeles Times Photographic Archive,ark:/13030/hb0m3n99vj,ark:/21198/zz0002np7z,2,Completed,Work,latimes/masters/clusc_1_1_00012839a.tif,,,,"Mexican Americans--Religion|~|Mexican American Catholics|~|Pentecostalism|~|Guadalupe, Our Lady of|~|Activism|~|Religion",still image,news photographs,"Kramer, Marilyn",copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",East Los Angeles (Calif.),,,,,,,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_b1449_298884-IE,Catholic Charismatic Movement service in East Los Angeles,,"August 8, 1983",,,,1983-08-08,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F13030%2Fhb0m3n99vj
Los Angeles Times Photographic Archive,ark:/13030/hb0m3n99w2,ark:/21198/zz0002np7z,2,Completed,Work,latimes/masters/clusc_1_1_00012797a.tif,,,,"Japanese--United States|~|Immigrants $z California $z Los Angeles|~|Aliens--California--Los Angeles|~|Japanese Americans--Evacuation and relocation, 1942-1945|~|International|~|Legal",still image,news photographs,United States. Alien Registration Division,copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",United States--Emigration and immigration--Government policy,,,,,,,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_b3152_19986-3,Japanese immigrants register as Los Angeles residents,,"September 4, 1940",,,,1940-09-04,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F13030%2Fhb0m3n99w2
Los Angeles Times Photographic Archive,ark:/13030/hb0n39n67g,ark:/21198/zz0002np7z,2,Completed,Work,latimes/masters/clusc_1_1_00012647a.tif,,,,"Crowds|~|Agricultural laborers, Foreign--Legal status, laws, etc.--United States|~|Mexicans--United States|~|Foreign workers, Mexican $z California|~|International|~|Legal",still image,news photographs,,copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",Mexicali (Mexico),,,,,"University of California, Los Angeles. $b Library Special Collections",,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_b198_85119-9,"Mexican workers await legal employment in the United States, Mexicali (Mexico)",,"January 31, 1954",,,,1954-01-31,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F13030%2Fhb0n39n67g
Los Angeles Times Photographic Archive,ark:/13030/hb0n39n680,ark:/21198/zz0002np7z,2,Completed,Work,latimes/masters/clusc_1_1_00012788a.tif,,,,Chinese Americans--California--Los Angeles|~|People,still image,news photographs,"Chiang, May-ling Soong, 1897-",copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Chinatown (Los Angeles, Calif.)",,,,,,,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_b3192_28817-6,"Madame Chiang Kai-Shek speaks at a rally in Chinatown, Los Angeles (Calif.)",,"May 3, 1943",,,,1943-05-03,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F13030%2Fhb0n39n680
Los Angeles Times Photographic Archive,ark:/13030/hb0q2nb03x,ark:/21198/zz0002np7z,2,Completed,Work,latimes/masters/clusc_1_1_00012865a.tif,,,,Mayors--California--Los Angeles|~|African American politicians|~|People,still image,news photographs,"Bradley, Tom, $d 1917-",copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",Los Angeles (Calif.),,,,,,,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_b1104_290772,"Mayor Tom Bradley, Police Chief Darryl Gates, and Police Commmision President Stephen Reinhardt",,"October 16, 1979",,,,1979-10-16,-118.242944777011,34.0538394399186,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F13030%2Fhb0q2nb03x
Los Angeles Times Photographic Archive,ark:/13030/hb0s20033q,ark:/21198/zz0002np7z,2,Completed,Work,latimes/masters/clusc_1_1_00012891a.tif,,,,Mexican American actors|~|Debutante balls|~|Lifestyle|~|People,still image,news photographs,"Astaire, Fred",copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",Los Angeles (Calif.),,,,,,,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_b413_200647,"Anthony Quinn, Fred Astaire, and their daughters",,"December 23, 1959",,,,1959-12-23,-118.413809537887,34.0667652341006,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F13030%2Fhb0s20033q
Los Angeles Times Photographic Archive,ark:/13030/hb0s200347,ark:/21198/zz0002np7z,2,Completed,Work,latimes/masters/clusc_1_1_00038620a.tif,,,,Mexican American neighborhoods--California--Los Angeles|~|Eminent domain--California--Los Angeles|~|Eviction|~|Mexican Americans--Housing--California--Los Angeles|~|Demonstrations--California--Los Angeles|~|Economy|~|Activism|~|Business,still image,news photographs,"Los Angeles City Hall (Los Angeles, Calif.)",copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",Los Angeles (Calif.),,,,,,,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_b123_69891,"Chavez Ravine property owners protest Elysian Park public housing development, Los Angeles, 1951",,"April 27, 1951",,,,1951-04-27,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F13030%2Fhb0s200347
Los Angeles Times Photographic Archive,ark:/13030/hb0s20035r,ark:/21198/zz0002np7z,2,Completed,Work,latimes/masters/clusc_1_1_00012811a.tif,,,,Japanese American dancers|~|People,still image,news photographs|~|Portrait photographs,"It¯o, Michio, 1893-1961",copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",Los Angeles (Calif.),,,,,,,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_b3708_G2095,"Michio Ito, portrait",,1929,,,,1929,,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F13030%2Fhb0s20035r
