Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Subject,Type.typeOfResource,Type.genre,Name.subject,Rights.copyrightStatus,Rights.rightsHolderContact,Coverage.geographic,Name.fashionDesigner,Name.photographer,Name.repository,Name.artist,Name.architect,Name.compiler,Rights.countryCreation,Rights.servicesContact,Language,Relation.hasVersion,Rights.permission,Publisher.publisherName,Relation.isPartOf,Illustrator,Alternate Identifier.local,Title,Description.caption,Date.creation,Format.extent,Format.medium,Format.dimensions,Date.normalized,Description.longitude,Description.latitude,Description.note,Description.adminnote,Description.contents,Description.abstract,Description.fundingNote,Opac url,Finding Aid URL,Alternate Identifier.oclc,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Los Angeles Times Photographic Archive,ark:/21198/zz002j8t3f,ark:/21198/zz0002np7z,5,Imported,Work,latimes/masters/uclamss_1429_15096.tif,,,,,still image,news photographs|~|cellulose nitrate film,,copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,"University of California, Los Angeles. $b Library. $b Dept. of Special Collections",,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_15096,uclamss_1429_15096,,,1 photograph,b&w nitrate negative,,,,,,,,,Access to this collection is generously supported by Arcadia funds.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j8t3f,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j8t3f/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002j8t4z,ark:/21198/zz0002np7z,2,Completed,Work,latimes/masters/uclamss_1429_15097.tif,,,,Child actors $z California $z Los Angeles|~|Judges $z California $z Los Angeles|~|Children $z California $z Los Angeles,still image,news photographs|~|cellulose nitrate film,"Lindsey, Ben B., $d 1869-1943|~|Baby Le Roy|~|Emerson, Walter, $d 1923-2011",copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",Los Angeles (Calif.),,,"University of California, Los Angeles. $b Library. $b Dept. of Special Collections",,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_15097,"Judge Ben Lindsey at lunch with Baby Le Roy and Walter Emerson, Los Angeles, 1935","Handwritten on negative: Walter Emerson Jr Judge Ben Lindsey Baby Le Roy|~|Text from newspaper caption: Baby LeRoy had two guests at a studio luncheon yesterday. Left to right in the picture are Walter Emerson, Jr., whose custody is being contested, Judge Lindsey and Baby LeRoy.","March 2, 1935",1 photograph,b&w nitrate negative,,1935-03-02,,,"Walter Emerson Jr. accompanies Judge Ben Lindsey to meet child actor Baby Le Roy, taking a break from the courtroom drama from his parents' divorce. Baby Le Roy is a former client of Judge Lindsey.|~|Photograph appears with the article, ""Boy Recalls Pie-Hurling,"" Los Angeles Times, 03 Mar 1935: C10.|~|Walter Jr. sits next to Baby Leroy propped up in his highchair. Jude Lindsey kneels between the two boys.",,,,Access to this collection is generously supported by Arcadia funds.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j8t4z,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j8t4z/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002j8t5g,ark:/21198/zz0002np7z,2,Completed,Work,latimes/masters/uclamss_1429_15098.tif,,,,Law & legal affairs $z California $z Los Angeles|~|Lawyers $z California $z Los Angeles,still image,news photographs|~|cellulose nitrate film,"Giesler, Jerry, $d 1886-1962|~|Allen, Dave",copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",Los Angeles (Calif.),,,"University of California, Los Angeles. $b Library. $b Dept. of Special Collections",,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_15098,"Dave Allen testifies on behalf of Jerry Giesler, Los Angeles, 1934",Handwritten on negative: Dave Allen Jerry Giesler 40794,"July 20, 1934",1 photograph,b&w nitrate negative,,1934-07-20,,,"Similar photograph appears with the article, ""Allen Talks as Witness,"" Los Angeles Times, 21 July 1934: A1.|~|In Superior Judge Schauer's court there have been accusations that the married casting director Dave Allen engaged in possible infidelity with June De Long and Gloria Marsh. Allen has claimed that this is a plot against him devised by Pat Harmon, who threatened him.|~|Allen and Giesler stand together while Allen smokes a cigar.",,,,Access to this collection is generously supported by Arcadia funds.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j8t5g,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j8t5g/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002j8t60,ark:/21198/zz0002np7z,2,Completed,Work,latimes/masters/uclamss_1429_15099.tif,,,,Law enforcement $z California $z Los Angeles|~|Courtrooms $z California $z Los Angeles|~|Lawyers $z California $z Los Angeles,still image,news photographs|~|cellulose nitrate film,"Veitch, Arthur, $d 1884-1968|~|Giesler, Jerry, $d 1886-1962|~|Allen, Dave",copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",Los Angeles (Calif.),,,"University of California, Los Angeles. $b Library. $b Dept. of Special Collections",,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_15099,"Jerry Geisler watches as Arthur Veitch cross examines his client, Dave Allen, Los Angeles, 1934","Handwritten on negative: 40794 Dave Allen Jerry Gisler Arthur Vietch|~|Text from newspaper caption: Ex-Casting Director on Witness Stand Arthur Veitch, deputy District Attorney, is shown by the candid camera, cross-examining Dave Allen (at the extreme right) while Defense Counsel Jerry Geisler (center) attends to the rights of his clients.","July 20, 1934",1 photograph,b&w nitrate negative,,1934-07-20,,,"In Superior Judge Schauer's court there have been accusations that the married casting director Dave Allen engaged in possible infidelity with June De Long and Gloria Marsh. Allen has claimed that this is a plot against him devised by Pat Harmon, who threatened him.|~|Dave Allen sits on the witness stand as Arthur Vietch reviews documents with him. Jerry Giesler watches.|~|Photograph appears with the article, ""Allen Talks as Witness,"" Los Angeles Times, 21 July 1934: A1.",,,,Access to this collection is generously supported by Arcadia funds.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j8t60,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j8t60/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002j8t7h,ark:/21198/zz0002np7z,5,Imported,Work,latimes/masters/uclamss_1429_15100.tif,,,,,still image,news photographs|~|cellulose nitrate film,,copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,"University of California, Los Angeles. $b Library. $b Dept. of Special Collections",,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_15100,uclamss_1429_15100,,,1 photograph,b&w nitrate negative,,,,,,,,,Access to this collection is generously supported by Arcadia funds.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j8t7h,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j8t7h/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002j8t81,ark:/21198/zz0002np7z,5,Imported,Work,latimes/masters/uclamss_1429_15101.tif,,,,,still image,news photographs|~|cellulose nitrate film,,copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,"University of California, Los Angeles. $b Library. $b Dept. of Special Collections",,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_15101,uclamss_1429_15101,,,1 photograph,b&w nitrate negative,,,,,,,,,Access to this collection is generously supported by Arcadia funds.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j8t81,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j8t81/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002j8t9j,ark:/21198/zz0002np7z,5,Imported,Work,latimes/masters/uclamss_1429_15102.tif,,,,,still image,news photographs|~|cellulose nitrate film,,copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,"University of California, Los Angeles. $b Library. $b Dept. of Special Collections",,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_15102,uclamss_1429_15102,,,1 photograph,b&w nitrate negative,,,,,,,,,Access to this collection is generously supported by Arcadia funds.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j8t9j,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j8t9j/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002j8tb2,ark:/21198/zz0002np7z,5,Imported,Work,latimes/masters/uclamss_1429_15103.tif,,,,,still image,news photographs|~|cellulose nitrate film,,copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,"University of California, Los Angeles. $b Library. $b Dept. of Special Collections",,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_15103,uclamss_1429_15103,,,1 photograph,b&w nitrate negative,,,,,,,,,Access to this collection is generously supported by Arcadia funds.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j8tb2,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j8tb2/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002j8tck,ark:/21198/zz0002np7z,5,Imported,Work,latimes/masters/uclamss_1429_15104.tif,,,,,still image,news photographs|~|cellulose nitrate film,,copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,"University of California, Los Angeles. $b Library. $b Dept. of Special Collections",,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_15104,uclamss_1429_15104,,,1 photograph,b&w nitrate negative,,,,,,,,,Access to this collection is generously supported by Arcadia funds.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j8tck,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j8tck/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002j8td3,ark:/21198/zz0002np7z,5,Imported,Work,latimes/masters/uclamss_1429_15105.tif,,,,,still image,news photographs|~|cellulose nitrate film,,copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,"University of California, Los Angeles. $b Library. $b Dept. of Special Collections",,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_15105,uclamss_1429_15105,,,1 photograph,b&w nitrate negative,,,,,,,,,Access to this collection is generously supported by Arcadia funds.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j8td3,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j8td3/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002j8tfm,ark:/21198/zz0002np7z,5,Imported,Work,latimes/masters/uclamss_1429_15106.tif,,,,,still image,news photographs|~|cellulose nitrate film,,copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,"University of California, Los Angeles. $b Library. $b Dept. of Special Collections",,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_15106,uclamss_1429_15106,,,1 photograph,b&w nitrate negative,,,,,,,,,Access to this collection is generously supported by Arcadia funds.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j8tfm,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j8tfm/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002j8tg4,ark:/21198/zz0002np7z,5,Imported,Work,latimes/masters/uclamss_1429_15107.tif,,,,,still image,news photographs|~|cellulose nitrate film,,copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,"University of California, Los Angeles. $b Library. $b Dept. of Special Collections",,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_15107,uclamss_1429_15107,,,1 photograph,b&w nitrate negative,,,,,,,,,Access to this collection is generously supported by Arcadia funds.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j8tg4,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j8tg4/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002j8thn,ark:/21198/zz0002np7z,5,Imported,Work,latimes/masters/uclamss_1429_15108.tif,,,,,still image,news photographs|~|cellulose nitrate film,,copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,"University of California, Los Angeles. $b Library. $b Dept. of Special Collections",,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_15108,uclamss_1429_15108,,,1 photograph,b&w nitrate negative,,,,,,,,,Access to this collection is generously supported by Arcadia funds.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j8thn,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j8thn/manifest
Los Angeles Times Photographic Archive,ark:/21198/zz002j8tj5,ark:/21198/zz0002np7z,5,Imported,Work,latimes/masters/uclamss_1429_15109.tif,,,,,still image,news photographs|~|cellulose nitrate film,,copyrighted,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,"University of California, Los Angeles. $b Library. $b Dept. of Special Collections",,,,US,,zxx,,Y,Los Angeles Times,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_15109,uclamss_1429_15109,,,1 photograph,b&w nitrate negative,,,,,,,,,Access to this collection is generously supported by Arcadia funds.,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002j8tj5,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002j8tj5/manifest
