Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Visibility,Type.typeOfResource,Type.genre,Subject,Rights.copyrightStatus,Name.repository,Name.subject,Name.donor,Name.publisher,Name.designer,Title,Relation.relatedTo,AltTitle.descriptive,Format.medium,Format.extent,Format.dimensions,AltTitle.other,Alt ID.local,Date.creation,Date.normalized,Name.creator,Format.material,Description.note,Relation.isPartOf,Description.abstract,Format.technique,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qm6n,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qm6n_734371_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives|~|commercial portraiture,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Portrait of Mr. Guardia,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photograph,1 Photograph,1 1/2 x 1 1/4,,CSRC_ORPHAN_GUARDIA_0003.tif,circa 1930s,,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qm6n,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qm6n/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qm75,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qm75_734412_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Two Baby Girls,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photoraph,1 Photograph,1 7/16 x 1 11/16,,CSRC_ORPHAN_GUARDIA_0012.tif,circa 1940s,1940/1949,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qm75,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qm75/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qm8p,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qm8p_734404_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Two Babies,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photoraph,1 Photograph,2 3/8 x 3 3/8,,CSRC_ORPHAN_GUARDIA_0011A.tif,circa 1940s,1940/1949,,,"Inscribed on back, "" A la dericha esta Aliria del C Guardia. K A la izquierda esta Ermita del C Guardia R.""",,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qm8p,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qm8p/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qm96,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qm96_734423_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Two babies in crib,Yolanda Retter-Vargas Papers,CSRC_ORPHAN_GUARDIA_0015.tif|~|Guardia Collection,Gelatin-Silver Photoraph,1 Photograph,3 5/16 x 2 3/8,,CSRC_ORPHAN_GUARDIA_0015.tif,circa 1940s,1940/1949,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qm96,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qm96/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qmbq,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qmbq_734361_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Two babies,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photograph,1 Photograph,2 1/4 x 3 3/8,,CSRC_ORPHAN_GUARDIA_0001.tif,circa 1930/1940s,1930/1949,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qmbq,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qmbq/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qmc7,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qmc7_734416_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Mrs. Guardia and another woman with her daughters,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photoraph,1 Photograph,2 3/16 x 3 3/8,,CSRC_ORPHAN_GUARDIA_0013.tif,circa 1940s,1940/1949,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qmc7,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qmc7/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qmdr,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qmdr_734379_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Two Babies,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photograph,1 Photograph,1 3/4 x 1 3/8,,CSRC_ORPHAN_GUARDIA_0005.tif,circa 1940s,1940/1949,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qmdr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qmdr/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qmf8,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qmf8_734388_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,The Guardia Family,,Guardia Collection,Gelatin-Silver Photograph,1 Photograph,3 5/8 x 4 11/16,,CSRC_ORPHAN_GUARDIA_0007.tif,circa 1930/1940s,1930/1949,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qmf8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qmf8/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qmgs,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qmgs_734364_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Two babies,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photograph,1 Photograph,2 5/16 x 3 3/8,,CSRC_ORPHAN_GUARDIA_0002A.tif,circa 1930/1940s,1930/1949,,,"Inscribed on back, ""M Suan dia Alicia R. de Guardia Emita Guardia""",,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qmgs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qmgs/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qmvg,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qmvg_734503_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Women with two kids,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photoraph,1 Photograph,2 3/8 x 3 7/16,,CSRC_ORPHAN_GUARDIA_0029.tif,circa 1940/1950s,1940/1959,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qmvg,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qmvg/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qmw0,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qmw0_734487_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Two girls,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photoraph,1 Photograph,3 3/8 x 2 3/8,,CSRC_ORPHAN_GUARDIA_0025.tif,circa 1940s,1940/1949,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qmw0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qmw0/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qmxh,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qmxh_734518_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Grandmother and her grandchildren,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photoraph,1 Photograph,2 13/16 x 1 15/16,,CSRC_ORPHAN_GUARDIA_0033.tif,circa 1940s,1940/1949,,Kodak Velox Paper,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qmxh,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qmxh/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qmz1,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qmz1_734499_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Two liitle girls playing in sand box,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photoraph,1 Photograph,3 3/8 x 2 7/16,,CSRC_ORPHAN_GUARDIA_0028.tif,circa 1940s,1940/1949,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qmz1,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qmz1/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qn01,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qn01_734448_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,The Guardia Family on a trip,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photoraph,1 Photograph,2 5/16 x 2 3/8,,CSRC_ORPHAN_GUARDIA_0019.tif,circa 1940s,1940/1949,,Kodak Velox Paper,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qn01,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qn01/manifest
Retter-Vargas (Yolanda) Collection of Orphan Photographs,ark:/21198/zz0019qn1j,ark:/21198/zz0019q5n3,2,Completed,Work,rettervargas/masters/21198-zz0019qn1j_734466_master.tif,,,,,still image,Black-and-white photographs|~|snapshots,Chicano archives,"Copyright has not been assigned to the UCLA Chicano Studies Research Center.  All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library.  Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.",UCLA Chicano Studies Research Center Library & Archive,,"Retter, Yolanda, 1947-2007",,,Children on wagon,Yolanda Retter-Vargas Papers,Guardia Collection,Gelatin-Silver Photoraph,1 Photograph,3 3/8 x 2 3/8,,CSRC_ORPHAN_GUARDIA_0021A.tif,circa 1940s,1940/1949,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019qn1j,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019qn1j/manifest
