Project Name,Item ARK,Parent ARK,Thumbnail,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Rights.servicesContact,Language,Type.genre,Relation.series,Name.subject,Subject,Name.repository,Relation.isPartOf,Name.illustrator,Author,Name.engraver,Title,Alt ID.local,AltTitle.firstLine,Description.caption,AltTitle.other,Description.note,AltTitle.descriptive,Date.creation,Date.normalized,Publisher.publisherName,Format.dimensions,Alt ID.oclc,Publisher.placeOfOrigin,Format.extent,Opac url,Publisher.edition,Alt ID.callNo,Description.tableOfContents,Description.adminnote,Description.inscription,IIIF Manifest URL
CBC : Children’s Book Collection (YRL Special Collections),ark:/21198/zz0017kpr8,ark:/21198/zz00094zzv,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017kpss,1,In progress,Work,,,,,paged,,private,,,pd,,eng,,,,,,"CBC : Children's Book Collection. UCLA Library Special Collections, Charles E. Young Research Library.",,"Janeway, James, 1636?-1674.",,Token for children.,,,,,,,,1828,J. Metcalf,11 cm,,,1 volume,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1822335,,CBC BR1714 .J36t 1801 ,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017kpr8/manifest
CBC : Children’s Book Collection (YRL Special Collections),ark:/21198/zz0017kqjn,ark:/21198/zz00094zzv,,1,In progress,Work,,,,,paged,,private,,,pd,,eng,,,,,,"CBC : Children's Book Collection. UCLA Library Special Collections, Charles E. Young Research Library.",,"Dick, Uncle ",,"School days, or, Bad boy Bob.",,,,,,,1872,1872,Shugg,26 cm.,,,1 volume,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3218303,,CBC * PZ7 .U54s 1872 ,,Title from cover.,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017kqjn/manifest
CBC : Children’s Book Collection (YRL Special Collections),ark:/21198/zz0017spgt,ark:/21198/zz00094zzv,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017sphb,1,In progress,Work,,,,,paged,,private,,,pd,,eng,,,,,,"CBC : Children's Book Collection. UCLA Library Special Collections, Charles E. Young Research Library.",,,,Animals and birds,,,,,,,[between 1864 and 1870],,McLoughlin Bro’s,,,New York,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=507140,,CBC PZ6 .A5985 1864 ,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017spgt/manifest
CBC : Children’s Book Collection (YRL Special Collections),ark:/21198/zz0017spnd,ark:/21198/zz00094zzv,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017sppx,1,In progress,Work,,,,,paged,,private,,,pd,,,,,,,,"CBC : Children's Book Collection. UCLA Library Special Collections, Charles E. Young Research Library.",,,,"Natural history of beasts, birds, fishes, &c. / selected from Buffon, Goldsmith, & others.",,,,,,,c. 1829,,Printed for Thomas Kelly,,,London,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2516541,,CBC QL49 .N388 1829 ,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0017spnd/manifest
CBC : Children’s Book Collection (YRL Special Collections),ark:/21198/zz001ng1bh,ark:/21198/zz00094zzv,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ng1dj,2,Completed,Work,,,,,paged,,private,,,pd,,eng,,,,Picture books for children|~|Birds -- Juvenile literature.,,"CBC : Children's Book Collection. UCLA Library Special Collections, Charles E. Young Research Library.",,,,Birds.,,,,,,,1865,,George Routledge and Sons,19 cm.,,London,1 v. (11 p.),https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=731122,,CBC QL676.2 .B57 1865 ,The eagle -- The stork -- The kingfisher -- The jay -- The vulture -- The crane.,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001ng1bh/manifest
CBC : Children’s Book Collection (YRL Special Collections),ark:/21198/zz001ng1ws,ark:/21198/zz00094zzv,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ng1x9,2,Completed,Work,,,,,paged,,private,,text,pd,,eng,,,,Scientific recreations -- Juvenile literature.|~|Games -- Juvenile literature.|~|Amusements -- Juvenile literature.|~|Sports -- Juvenile literature.|~|Magic tricks -- Juvenile literature.|~|Science -- Juvenile literature.,,"CBC : Children's Book Collection. UCLA Library Special Collections, Charles E. Young Research Library.",,"Clarke, William, 1800-1838.",,"The boy’s own book : a complete encyclopedia of all the diversions, athletic, scientific, and recreative, of boyhood and youth.",,,,,,,1828,,"Vizetelly, Branston and Co.",15 cm.,,London,1 volume,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1011717,,CBC GV1201 .B71 1828 ,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001ng1ws/manifest
CBC : Children’s Book Collection (YRL Special Collections),ark:/21198/zz001ng20t,ark:/21198/zz00094zzv,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ng21b,2,Completed,Work,,,,,paged,,private,,text,pd,,eng,,,,Picture books for children|~|Birds -- Juvenile literature.|~|Animals -- Juvenile literature.,,"CBC : Children's Book Collection. UCLA Library Special Collections, Charles E. Young Research Library.",,"Elliott, Mary, 1794?-1870.",,"The book of birds and beasts : beautifully coloured, with a description of each, in words of two or three syllables / by Mary Elliott ; illustrated with forty-eight plates.",,,,,,,ca. 1828,,William Darton and Son,,,London,1 volume (52 leaves),https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1272016,,CBC QL676.2 .E45 1828 ,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001ng20t/manifest
CBC : Children’s Book Collection (YRL Special Collections),ark:/21198/zz001ng27f,ark:/21198/zz00094zzv,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ng28z,2,Completed,Work,,,,,paged,,private,,text,pd,,eng,,,,Birds -- Juvenile literature.,,"CBC : Children's Book Collection. UCLA Library Special Collections, Charles E. Young Research Library.",,,,Birds.,,,,,,,1883,,Peter G. Thomson,26 cm.,,"Cincinnati, O[hio]",1 volume (15 p.),https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=731121,,CBC * QL676.2 .B5702 1883 ,The sparrow-hawk -- The falcon -- The ostrich -- The wren -- The owl -- The jay -- The crane.,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001ng27f/manifest
CBC : Children’s Book Collection (YRL Special Collections),ark:/21198/zz0025dt04,ark:/21198/zz00094zzv,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025dt1n,1,In progress,Work,,,,,paged,,private,,text,pd,,,,,,Animals -- Juvenile literature.|~|Fishes -- Juvenile literature.,,"CBC : Children's Book Collection. UCLA Library Special Collections, Charles E. Young Research Library.",,,,A Natural history of fishes / forty engravings on wood.,,,,,,,1816,,W. Davison,14 cm.,,Alnwick,"[3], 4-36 p.",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2516557,,CBC QL49 .N38 1815 ,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025dt04/manifest
CBC : Children’s Book Collection (YRL Special Collections),ark:/21198/zz0025dt5q,ark:/21198/zz00094zzv,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025dt67,1,In progress,Work,,,,,paged,,private,,text,pd,,eng,,,,,,"CBC : Children's Book Collection. UCLA Library Special Collections, Charles E. Young Research Library.",,,,"A Natural history of beasts, birds, fishes, &c.",,,,,,,1829,,"Thomas Kelly, 17 Paternoster Row",14 cm.,,London,"397, [1] p., [198] leaves of plates (1 folded)",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2516541,,CBC QL49 .N388 1829 ,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025dt5q/manifest
CBC : Children’s Book Collection (YRL Special Collections),ark:/21198/zz0025dtgc,ark:/21198/zz00094zzv,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025dthw,1,In progress,Work,,,,,paged,,private,,text,pd,,,,,,,,"CBC : Children's Book Collection. UCLA Library Special Collections, Charles E. Young Research Library.",,"Gibson, James, fl.1798.",,"Atlas minimus, or a new set of pocket maps of the several empires, kingdoms and states of the known world, with historical extracts relative to each. Drawn and engrav’d by J. Gibson from the best authorities.",,,,,,,1758,,J. Newbery,,,London,"3 p.L.,front.,52 L. of maps",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1513779,"Revis’d, corrected and improv’d, by Eman. Bowen.",CBC G1015 .G53 1758 ,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025dtgc/manifest
