Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Language,Subject,Name.repository,Name.creator,Title,Relation.rectoVerso,Alt ID.local,Description.abstract,Description.note,AltTitle.uniform,Publisher.placeOfOrigin,Date.creation,Relation.textDirection,Format.dimensions,Publisher.publisherName,Relation.isPartOf,Format.medium,Format.extent,Relation.pageNumber,Date.normalized
Medieval and Renaissance Manuscripts,ark:/21198/zz000rzcf1,ark:/21198/zz0009gx4f,2,Completed,Work,medren/masters/21198-zz002hvqng_2289641_master.tif,193,,,text,Manuscripts,pd,ger|~|lat,,,,Coll. 170. MS. 675. CENTIUM MEDITATIONES PASSIONIS DOMINI NOSTRI JHESUS CHRISTI.,,170/ 675,,,,"Cologne, Germany",XVmed (after 1451),ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000rzpxm,ark:/21198/zz0009gx4f,2,Completed,Work,,194,,,text,Manuscripts,pd,,,,,Coll. 170. MS. 677. DIURNAL.,,170/ 677,,,,The Netherlands (North Holland),1450-75,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000s0t51,ark:/21198/zz0009gx4f,2,Completed,Work,,195,,,text,Manuscripts,pd,dut,,,,Coll. 170. MS. 685. BOOK OF HOURS. Archdiocese of Cologne.,,170/ 685,,,,Northeastern Netherlands,1475-1500,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000s39xh,ark:/21198/zz0009gx4f,2,Completed,Work,,196,,,text,Manuscripts,pd,,,,,Coll. 170. MS. 686. BOOK OF HOURS (Use of Utrecht).,,170/ 686,,,,Brabant|~|Arnhem,XVex,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000s3rkm,ark:/21198/zz0009gx4f,2,Completed,Work,,197,,,text,Manuscripts,pd,lat,,,,Coll. 170. MS. 691. NOTARY'S CARTULARY.,,170/ 691,,,,Mestre|~|Venice,1550-1560,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000s75h5,ark:/21198/zz0009gx4f,2,Completed,Work,,198,,,text,Manuscripts,pd,,,,,Coll. 170. MS. 692. BOOK OF HOURS (Use of Rome). Archdiocese of Cologne.,,170/ 692,,,,Rome,XVex,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000s8dmj,ark:/21198/zz0009gx4f,2,Completed,Work,,199,,,text,Manuscripts,pd,,,,,Coll. 170. MS. 693. ANON. Liber Pharetrae.,,170/ 693,,,,"Bologna (?), Italy",XIII 2/2,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000s991r,ark:/21198/zz0009gx4f,2,Completed,Work,medren/masters/21198-zz002hgbtt_2265798_master.tif,200,,,text,Manuscripts,pd,fre|~|lat,,,,Coll. 170. MS. 698. PRAYERS.,,170/ 698,,,,N. W. France (Brittany?),1450,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000s9fhx,ark:/21198/zz0009gx4f,2,Completed,Work,medren/masters/21198-zz002hgbtt_2265798_master.tif,201,,,text,Manuscripts,pd,fre,,,,Coll. 170. MS. 700. STATUTES AND ORDINANCES OF THE ORDER OF ST. MICHAEL.,,170/ 700,,,,France (probably Paris),1523-28,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000s9q3k,ark:/21198/zz0009gx4f,2,Completed,Work,,202,,,text,Manuscripts,pd,,,,,Coll. 170. MS. 702. FERIAL PSALTER.,,170/ 702,,,,Netherlands,XV 4/4,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000sb7hg,ark:/21198/zz0009gx4f,2,Completed,Work,,203,,,text,Manuscripts,pd,,,,,"Coll. 170. MS. 703. HUGO RIPLIN OF STRASBOURG, O.P. fl. 1232-1268, Compendium theologicae veritatis.",,170/ 703,,,,Paris,XIII 2/2,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000sc3v5,ark:/21198/zz0009gx4f,2,Completed,Work,medren/masters/21198-zz002kc8nr_2396905_master.tif|,204,,,text,Manuscripts,pd,,,,,Coll. 170. MS. 704. RAIMUNDUS DE BRETIS. Distinctiones temporales et sanctorum cum thematibus connexae.,,170/ 704,,,,Italy,1360-80,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000sd9gt,ark:/21198/zz0009gx4f,2,Completed,Work,,10,,,text,Manuscripts,pd,,,,,"Rouse MS. 3. SERMONES DE TEMPORE ET DE SANCTIS, incomplete.",,,,,,N. Italy,XIII 4/4,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000sdcsf,ark:/21198/zz0009gx4f,2,Completed,Work,medren/masters/21198-zz002kc8nr_2396905_master.tif|,182,,,text,Manuscripts,pd,,,,,Coll. 170. MS. 351. SCHOENBARTBUCH (NÜRENBERG CARNIVAL BOOK).,,170/ 351,"Binding: bound in original 17th-century German leather over paper boards; concentric decorative (outer) and double ruled (inner) borders, with gilt corner-pieces; center gilt lozenge, with gilt pomegrante ornament at each corner; oval medallion in center of lozenge contains gilt stamp of a young black man (also pictured in the Schedel painted bookplate on front pastedown) holding a chalice and sword; four pairs of green silk ties, two along fore-edges, one each at upper and lower edges; spine divided by five raised double bands into six compartments (top one is missing), each with gilt-stamped fleur-de-lis ornament within floral border. The stamp and border match those on Ms. Nor. K. 444 in the Nuremberg Stadtbibliothek.","Acquired from H.P. Kraus in 1961, as a gift of the Samuel H. Kress Foundation",Schempart Buech : darin zu finden in was Klaidtung und Manir die Geselschafften sein ausz gelauffen zu Fassnacht zeiten von 1449 Jar an bis auf 1539 und was sich in einem jeden Jar begeben hatt auch der Meserer und Menschen dann.,"Nürnberg, Germany",XVIex,ltr,,,,,,,1590/1620
Medieval and Renaissance Manuscripts,ark:/21198/zz000sdstr,ark:/21198/zz0009gx4f,2,Completed,Work,,176,,,text,Manuscripts,pd,,,,,"Coll. 170. MS. 21. NICHOLAUS CUSANUS, DE VISIONE DEI.",,170/ 21,,,,Germany,XV^2,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000sfc84,ark:/21198/zz0009gx4f,2,Completed,Work,medren/masters/21198-zz002hgbtt_2265798_master.tif,120,,,text,Manuscripts,pd,fre|~|lat,,,,"Rouse MS. 66. BOOK OF HOURS. Use of Besancon. In Latin, with rubrics and some cross-references in French.",,,,,Use of Besançon.|~|Richard and Mary Rouse Collection of Medieval and Renaissance Manuscripts,France (diocese of Besançon),XV2/2,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000sh5j8,ark:/21198/zz0009gx4f,2,Completed,Work,,39,,,text,Manuscripts,pd,,,,,Rouse MS. 52. HOURS OF THE BVM (Sarum Use) and OFFICE OF THE DEAD.,,,,,,England (London),before 1440,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000sh7g6,ark:/21198/zz0009gx4f,2,Completed,Work,,178,,,text,Manuscripts,pd,,,,,Coll. 170. MS. 85. CANTATAS including three by Luigi Rossi (1597-1653). Italy s. XVII.,,170/ 85,"The first leaf of each cantata except no. 16 has been excised, after the manuscript was foliated, probably because these leaves bore pen decoration. The titles in brackets are from the table of contents on f. 201.Paper (Watermark: chapeau with lateral ties and crossed canons in a circle below) i + 203ff. (contemporary foliation), 96 x 257 (70 x 222) mm. Collation: quires normally of four leaves, catchwords. Written by one person: ff. 2-184, four 5-line music staves, ff. 185-200 five 5-line music staves. Ruled with a 5-line rake.Bound in 17th century dark red Italian morocco, double border rules, 4 corner and 1 center gold vignettes. On spine between 3 bands 4 gilt stamps of a flower with 4 leaves. Gilt fore-edges, marble end papers. Boxed.Written in Italy in the 17th century. Provenance unknown. Name (?) on the inside of the front cover in ink ""Good"". The description of 170/85 in Bond and Faye, Supplement (New York 1962) 539 no. 9 is actually of 170/87. Acquired by UCLA at an unknown date probably after 1945 and before 1963. Microfilmed for the University of Indiana library 17 February 1987. UCLA microfilm no. 7237 bx 1960.",,Cantatas,Italy,XVII,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000shg90,ark:/21198/zz0009gx4f,2,Completed,Work,,133,,,text,Manuscripts,pd,,,,,"Rouse MS. 80. RUPERT OF DEUTZ, De divinis officiis; HELINANT DE FROIDMONT, Florilegium.",,,,,,N. France (Beauvais?),XIII¾.,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000sj3c5,ark:/21198/zz0009gx4f,2,Completed,Work,,34,,,text,Manuscripts,pd,lat,,,,"Rouse Ms. 40. BOOK OF HOURS, use of Rome, Latin. Fragment.",,,,,,Italy (Genoa?),1443,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000skgs4,ark:/21198/zz0009gx4f,2,Completed,Work,,206,,,text,Manuscripts,pd,,,,,Coll. 170. MS. 706. ORDO. Use of Rome.,,170/ 706,,,,Italy,XIV,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000skrmd,ark:/21198/zz0009gx4f,2,Completed,Work,medren/masters/21198-zz002hvqng_2289641_master.tif,205,,,text,Manuscripts,pd,ger|~|lat,,,,Coll. 170. MS. 705. COMPUTISTICAL TEXTS AND TABLES.,,170/ 705,,,,Southwestern Germany,XV 3/3,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000skt1k,ark:/21198/zz0009gx4f,2,Completed,Work,,183,,,text,Manuscripts,pd,,,,"Bonino, Marco","Coll. 170. MS. 358. Engineer’s Sketchbook, MARCO BONINO.",,170/ 358,,,,North Italy|~|France,XVII^2.|~|XVI^2,ltr,,,,,,,1501/1700
Medieval and Renaissance Manuscripts,ark:/21198/zz000sm0cm,ark:/21198/zz0009gx4f,2,Completed,Work,,191,,,text,Manuscripts,pd,,,,,"Coll. 170. MS. 664. A DICTIONARY OF PHILOSOPHICAL AND THEOLOGICAL TERMS in alphabetical order, untitled.",,170/ 664,,,,Italy,1400,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz000sn10v,ark:/21198/zz0009gx4f,2,Completed,Work,,189,,,text,Manuscripts,pd,,,,,"Coll. 170. MS. 642. Collectanea, Vitae Patrum; LOTARIO DEI SEGNI, De Miseria Condicionis Humanae; ANSELM OF CANTERBURY, Proslogion; HUGH OF ST. VICTOR, Soliloquium de Arrha Animae; JOHANNES HEROLT, Sermones.",,170/ 642,,,,West Germany,XV 4/4,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz00152q3c,ark:/21198/zz0009gx4f,2,Completed,Work,,21,,,text,Manuscripts,pd,,,,,"Rouse MS. 20. SERMONES, fragment.",,,,,,England|~|France,XIIIex|~|XIIIin,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz00152sfh,ark:/21198/zz0009gx4f,2,Completed,Work,,23,,,text,Manuscripts,pd,dut,,,,"Rouse MS. 22. BREVIARY, fragment.",,,,,,Liége,XIII,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz00153cmr,ark:/21198/zz0009gx4f,2,Completed,Work,|~||~||~|medren/masters/21198-zz002hgbtt_2265798_master.tif|~|medren/masters/21198-zz002kc8nr_2396905_master.tif|~|medren/masters/21198-zz002kc8nr_2396905_master.tif|~|medren/masters/21198-zz002kc8nr_2396905_master.tif|~|medren/masters/21198-zz002kc8nr_2396905_master.tif|~|medren/masters/21198-zz002kc8nr_2396905_master.tif|~|medren/masters/21198-zz002kc8nr_2396905_master.tif,38,,,text,Manuscripts,pd,eng,,,,"Rouse MS. 51. ALCHEMICAL MISCELLANY of Cox Macro, composite.",,clus_360_Rouse MS51,,,,England,XIIImed; XVex (1571-1572); XVIImed (1650),ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz00153kdj,ark:/21198/zz0009gx4f,2,Completed,Work,,40,,,text,Manuscripts,pd,,,,,Rouse MS. 53. HOMAGE ROLL mentioning Sir John Fastolff and the Pastons.,,,,,,"Norfolk, England",1446-1453,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz00153ks7,ark:/21198/zz0009gx4f,2,Completed,Work,|~||~||~|medren/masters/21198-zz002hgbtt_2265798_master.tif|~|medren/masters/21198-zz002hvqng_2289641_master.tif|~|medren/masters/21198-zz002kc8nr_2396905_master.tif|~|medren/masters/21198-zz002kc8nr_2396905_master.tif|~|medren/masters/21198-zz002kc8nr_2396905_master.tif|~|medren/masters/21198-zz002kc8nr_2396905_master.tif|~|medren/masters/21198-zz002kc8nr_2396905_master.tif|~|medren/masters/21198-zz002kc8nr_2396905_master.tif|~|medren/masters/21198-zz002kc8nr_2396905_master.tif|~|medren/masters/21198-zz002kc8nr_2396905_master.tif|~|medren/masters/21198-zz002kc8nr_2396905_master.tif|~|medren/masters/21198-zz002kc8nr_2396905_master.tif|~|medren/masters/21198-zz002kc8nr_2396905_master.tif,122,,,text,Manuscripts,pd,fre,,,,"Rouse MS. 68. ATHIS ET PROPHILIAS, in Middle French.",,clus_360 Rouse_ MS 68,,,,Champagne/Burgundy (France),XIII¾,ltr,"224 x 160 (155 x 115) mm; II at the largest, 230 X 165 (157 x 125) mm",,a manuscript of the longer version of the Roman d'Athis et de Prophilias,"parchment, ruled in lead point",2 columns of 31 lines each,Two bifolia,
Medieval and Renaissance Manuscripts,ark:/21198/zz00153m5d,ark:/21198/zz0009gx4f,2,Completed,Work,,123,,,text,Manuscripts|~|fragments,pd,,,,,"Rouse MS. 69. PONTIFICAL, fragment.",,,,,,France,XVI med,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz00153s3s,ark:/21198/zz0009gx4f,2,Completed,Work,,128,,,text,Manuscripts,pd,,,,,"Rouse MS. 74. PSALTER and BREVIARY, 4 bifolia.",,,,,,England,XV 1/4,ltr,,,,,,,1401/1425
Medieval and Renaissance Manuscripts,ark:/21198/zz001541fs,ark:/21198/zz0009gx4f,2,Completed,Work,,147,,,text,Manuscripts,pd,,,,,Rouse MS. 96. TABULA SEPTEM CUSTODIARUM. 2 bifolia.,,,,,,Oxford,XIV¼,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz0015437n,ark:/21198/zz0009gx4f,2,Completed,Work,,156,,,text,Manuscripts,pd,,,,,"Rouse MS. 105. BINDER, vellum over paper boards; with fragments of SERMONS, BIBLICAL GLOSS, ETC.",,,,,,,"XVIII (BINDER)|~|IX– XIV (SERMONS, etc.)",ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz00154385,ark:/21198/zz0009gx4f,2,Completed,Work,,157,,,text,Manuscripts,pd,,,,,"Rouse MS. 106. BONAVENTURE, Tractatus de praeparatione ad missam.",,,,,,None|~|Southern Germany,1490-1500,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz00154563,ark:/21198/zz0009gx4f,2,Completed,Work,,158,,,text,Manuscripts,pd,,,,,"Rouse MS. 107. PIERRE D'AILLY, EXPOSITIO SUPER SEPTEM PSALMOS PENITENTIALES.",,,,,,None|~|Southern Low Countries,1500-1510,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz001545d6,ark:/21198/zz0009gx4f,2,Completed,Work,|~||~||~|medren/masters/21198-zz002hgbtt_2265798_master.tif|~||~||~||~||~||~|,169,,,text,Manuscripts,pd,fre|~|lat,,,,"Rouse MS. Illum. 3. BREVIARY, in Latin and French. 2 leaves",,,,,,France (Paris),1330,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz001545ks,ark:/21198/zz0009gx4f,2,Completed,Work,|~||~||~|medren/masters/21198-zz002kc8nr_2396905_master.tif|~|medren/masters/21198-zz002kc8nr_2396905_master.tif|~|medren/masters/21198-zz002kc8nr_2396905_master.tif|~|medren/masters/21198-zz002kc8nr_2396905_master.tif|~|medren/masters/21198-zz002kc8nr_2396905_master.tif|~|medren/masters/21198-zz002kc8nr_2396905_master.tif,171,,,text,Manuscripts,pd,,,,,"ROUSE leaf/XIII/FRA/3. Hymns, Antiphons, Sermons, etc. for Christmas. [olim MS 105 frag. A].",,,,,,England|~|France,XIII,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz001545pb,ark:/21198/zz0009gx4f,2,Completed,Work,,172,,,text,Manuscripts,pd,,,,,"ROUSE leaf/IX/FRA/1. VICTORINUS PETAVIONENSIS, COMMENTARY ON REVELATION. [olim MS 105 frag. D].",,,,,,France,IX,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz001545sw,ark:/21198/zz0009gx4f,2,Completed,Work,,173,,,text,Manuscripts,pd,,,,,"ROUSE leaf/XI/FRA/1. BURCHARD OF WORMS, Decretum or IVO OF CHARTRES, Collectanea. [olim MS 105 frag. E].",,,,,,France,XI/XII,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz00157r96,ark:/21198/zz0009gx4f,2,Completed,Work,,184,,,text,Manuscripts,pd,,,,,Coll. 170. MS. 403. Collection of loose leaves.,,***170/ 403  volumes 1 - 10,"The department's collection of medieval manuscript leaves comprises 134 items, including bifolia, leaves, and fragments of leaves. One item is in Arabic script, 2 in Greek script, 2 in Hebrew script, and 129 in Latin script. This catalog describes only those items in Latin script. Unless otherwise noted, the leaves described here belong to a collection that was assembled by Bernard M. Rosenthal, New York, from whom it was purchased by UCLA in 1962. Concerning the collection see P. Levine, “Palaeographic History Illustrated in Manuscript Collection,” UCLA Librarian vol.16, no.6, supplement (1963) pp.49-51.",Vol. 1     Italy (s. IX-XI)	Vol. 2     Italy (s. XII)Vol. 3     Italy (s. XIII)	Vol. 4     Italy (s. XIV)	Vol. 5     Italy (s. XV)Vol. 6     France (s. XI-XIII)Vol. 7     France (s. XIV-XV)	Vol. 8     England & Spain	Vol. 9     GermanyVol. 10   Greek & Hebrew,Bernard M. Rosenthal Collection of medieval manuscript leaves,,IX-XV,ltr,,,,,,,801-1600
Medieval and Renaissance Manuscripts,ark:/21198/zz001drdgk,ark:/21198/zz0009gx4f,2,Completed,Work,,30,,,text,Manuscripts,pd,ger,,,,"Rouse MS. 30. SERMONES, fragment.",,,,,,Germany,XV/XVI,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hcw6h,ark:/21198/zz0009gx4f,1,In progress,Work,,31,,,text,Manuscripts,pd,ita,,,,"Rouse MS. 33. JACOBUS DE VORAGINE, SERMONES QUADRAGESIMALES, fragment.",,,,,,Italy,XIII½,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hcws9,ark:/21198/zz0009gx4f,1,In progress,Work,|~||~||~|medren/masters/21198-zz002kc8nr_2396905_master.tif|~|medren/masters/21198-zz002kc8nr_2396905_master.tif|~|medren/masters/21198-zz002kc8nr_2396905_master.tif|~|medren/masters/21198-zz002kc8nr_2396905_master.tif|~|medren/masters/21198-zz002kc8nr_2396905_master.tif,32,,,text,Manuscripts,pd,dut,,,,Rouse MS. 37. CALENDAR in Middle Dutch.,,,,,,Netherlands,XV,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hcz1w,ark:/21198/zz0009gx4f,1,In progress,Work,,33,,,text,Manuscripts,pd,,,,,"Rouse MS. 39. HOURS OF THE VIRGIN and other liturgical texts, 7 loose leaves.",,,,,,France,XV,ltr,,,,7 loose leaves,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hczjn,ark:/21198/zz0009gx4f,1,In progress,Work,|~||~|medren/masters/21198-zz002kc8nr_2396905_master.tif|~|medren/masters/21198-zz002kc8nr_2396905_master.tif|~|medren/masters/21198-zz002kc8nr_2396905_master.tif|~|medren/masters/21198-zz002kc8nr_2396905_master.tif|~|medren/masters/21198-zz002kc8nr_2396905_master.tif|~|medren/masters/21198-zz002kc8nr_2396905_master.tif,35,,,text,Manuscripts,pd,,,,,"Rouse MS. 41. CALENDAR, Benedictine, from a Book of Hours, use of Rome.",,,,,,"Rome, Italy|~|France",XV (ca. 1470),ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hd10s,ark:/21198/zz0009gx4f,2,Completed,Work,,36,,,text,Manuscripts,pd,dut,,,,Rouse MS. 46. PRAYERS in Dutch.,,,,,,Eastern Netherlands,XVmed,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hd4mj,ark:/21198/zz0009gx4f,10,Completed with minimal metadata,Work,medren/masters/21198-zz001hd4mj_1453464_master.tif|~|medren/masters/21198-zz001hd4mj_1453464_master.tif|~|medren/masters/21198-zz002hgbtt_2265798_master.tif|~|medren/masters/21198-zz002hvqng_2289641_master.tif|~|medren/masters/21198-zz002dj9ds_2151988_master.tif|~|medren/masters/21198-zz002dj9ds_2151988_master.tif|~|medren/masters/21198-zz002dj9ds_2151988_master.tif|~|medren/masters/21198-zz002dj9ds_2151988_master.tif|~|medren/masters/21198-zz002dj9ds_2151988_master.tif,41,,,text,Manuscripts,pd,fre|~|lat,,,,"Rouse MS. 57 HOURS, use of Paris, in Latin with calendar in French.",,,,,,Paris,XVmed,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hm990,ark:/21198/zz0009gx4f,10,Completed with minimal metadata,Work,,42,,,text,Manuscripts,pd,ita,,,,"Rouse MS. 58. Ps.-ARISTOTLE, SECRETA SECRETORUM, trans. Philip of Tripoli.",,,,,,Italy,XIV,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hmbqp,ark:/21198/zz0009gx4f,10,Completed with minimal metadata,Work,|~||~|medren/masters/21198-zz002hvqng_2289641_master.tif|~|medren/masters/21198-zz002kc8nr_2396905_master.tif|~|medren/masters/21198-zz002kc8nr_2396905_master.tif|~|medren/masters/21198-zz002kc8nr_2396905_master.tif|~|medren/masters/21198-zz002kc8nr_2396905_master.tif|~|medren/masters/21198-zz002kc8nr_2396905_master.tif,113,,,text,Manuscripts,pd,lat,,,,"Rouse MS. 59. AUTPERTUS PRESBITER (?), VITA SEU PASSIO SANCTAE FORTUNATAE; ANON., VITA SEU LEGENDA BEATI GAUDIOSI and OFFICE FOR THE FEAST OF ST. GAUDIOSUS.",,,,,,"Campania, probably Naples",1565-1570,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hmtt0,ark:/21198/zz0009gx4f,10,Completed with minimal metadata,Work,,114,,,text,Manuscripts,pd,ita,,,,"Rouse MS. 60. RULE OF ST. AUGUSTINE FOR NUNS, in Italian.",,,,,,Italy,XIV 2/2,ltr,,,,,,,
Medieval and Renaissance Manuscripts,ark:/21198/zz001hpcbc,ark:/21198/zz0009gx4f,10,Completed with minimal metadata,Work,,115,,,text,Manuscripts,pd,,,,,Rouse MS. 61. RENT ROLL.,,,,Collection and descriptions by Richard and Mary Rouse.,,"Hertfordshire, England",1570,ltr,,,,,,,
