"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Visibility","viewingHint","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.creatorCorporate","Subject","Name.subject","Language","Name.photographer","Name.interviewer","Name.creator","Name.interviewee","Name.contributor","Publisher.publisherName","Format.extent","Relation.isPartOf","Title","Date.creation","Description.abstract","Coverage.geographic","Description.tableOfContents","Coverage.temporal","AltTitle.uniform","Description.note","Alt ID.local","Publisher.placeOfOrigin","Format.medium","Description.caption","Format.dimensions","Relation.hasPart","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Mental Health Archive","ark:/21198/z1m34mvp","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_007.tif","7","","","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m34mvp",""
"Mental Health Archive","ark:/21198/z1gb3w3x","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_008.tif","8","","","","","","","","","","","","","","","","","","","","","Page 8","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gb3w3x",""
"Mental Health Archive","ark:/21198/z1bk34d1","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_009.tif","9","","","","","","","","","","","","","","","","","","","","","Page 9","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bk34d1",""
"Mental Health Archive","ark:/21198/z16t2cr6","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_010.tif","10","","","","","","","","","","","","","","","","","","","","","Page 10","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16t2cr6",""
"Mental Health Archive","ark:/21198/z1321n16","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_011.tif","11","","","","","","","","","","","","","","","","","","","","","Page 11","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1321n16",""
"Mental Health Archive","ark:/21198/z1z914hf","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_012.tif","12","","","","","","","","","","","","","","","","","","","","","Page 12","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z914hf",""
"Mental Health Archive","ark:/21198/z1tm936w","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_013.tif","13","","","","","","","","","","","","","","","","","","","","","Page 13","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tm936w",""
"Mental Health Archive","ark:/21198/z1pv8bfq","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_014.tif","14","","","","","","","","","","","","","","","","","","","","","Page 14","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pv8bfq",""
"Mental Health Archive","ark:/21198/z1k37kpv","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_015.tif","15","","","","","","","","","","","","","","","","","","","","","Page 15","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k37kpv",""
"Mental Health Archive","ark:/21198/z1fb6v00","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_016.tif","16","","","","","","","","","","","","","","","","","","","","","Page 16","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fb6v00",""
"Mental Health Archive","ark:/21198/z19k6393","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_017.tif","17","","","","","","","","","","","","","","","","","","","","","Page 17","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19k6393",""
"Mental Health Archive","ark:/21198/z15t5bmt","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_018.tif","18","","","","","","","","","","","","","","","","","","","","","Page 18","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15t5bmt",""
"Mental Health Archive","ark:/21198/z1224kvz","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_019.tif","19","","","","","","","","","","","","","","","","","","","","","Page 19","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1224kvz",""
"Mental Health Archive","ark:/21198/z1xd2ss0","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_020.tif","20","","","","","","","","","","","","","","","","","","","","","Page 20","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xd2ss0",""
"Mental Health Archive","ark:/21198/z1sn2222","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_021.tif","21","","","","","","","","","","","","","","","","","","","","","Page 21","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sn2222",""
"Mental Health Archive","ark:/21198/z1nw199w","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_022.tif","22","","","","","","","","","","","","","","","","","","","","","Page 22","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nw199w",""
"Mental Health Archive","ark:/21198/z1j40jmx","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_023.tif","23","","","","","","","","","","","","","","","","","","","","","Page 23","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j40jmx",""
"Mental Health Archive","ark:/21198/z1db9szj","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_024.tif","24","","","","","","","","","","","","","","","","","","","","","Page 24","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1db9szj",""
"Mental Health Archive","ark:/21198/z18k9265","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_025.tif","25","","","","","","","","","","","","","","","","","","","","","Page 25","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18k9265",""
"Mental Health Archive","ark:/21198/z14x70wr","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_026.tif","26","","","","","","","","","","","","","","","","","","","","","Page 26","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x70wr",""
"Mental Health Archive","ark:/21198/z115685r","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_027.tif","27","","","","","","","","","","","","","","","","","","","","","Page 27","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz115685r",""
"Mental Health Archive","ark:/21198/z1wd5rnm","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_028.tif","28","","","","","","","","","","","","","","","","","","","","","Page 28","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wd5rnm",""
"Mental Health Archive","ark:/21198/z1rn50x8","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_029.tif","29","","","","","","","","","","","","","","","","","","","","","Page 29","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rn50x8",""
"Mental Health Archive","ark:/21198/z1mw487d","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_030.tif","30","","","","","","","","","","","","","","","","","","","","","Page 30","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mw487d",""
"Mental Health Archive","ark:/21198/z1h43hkw","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_031.tif","31","","","","","","","","","","","","","","","","","","","","","Page 31","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h43hkw",""
"Mental Health Archive","ark:/21198/z1cc2rv5","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_032.tif","32","","","","","","","","","","","","","","","","","","","","","Page 32","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cc2rv5",""
"Mental Health Archive","ark:/21198/z17q0qhq","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_033.tif","33","","","","","","","","","","","","","","","","","","","","","Page 33","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17q0qhq",""
"Mental Health Archive","ark:/21198/z13x9zr0","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_034.tif","34","","","","","","","","","","","","","","","","","","","","","Page 34","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13x9zr0",""
"Mental Health Archive","ark:/21198/z105971c","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_035.tif","35","","","","","","","","","","","","","","","","","","","","","Page 35","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz105971c",""
"Mental Health Archive","ark:/21198/z1vd8qh7","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_036.tif","36","","","","","","","","","","","","","","","","","","","","","Page 36","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vd8qh7",""
"Mental Health Archive","ark:/21198/z1qn7zvd","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_037.tif","37","","","","","","","","","","","","","","","","","","","","","Page 37","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qn7zvd",""
"Mental Health Archive","ark:/21198/z1kw774g","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_038.tif","38","","","","","","","","","","","","","","","","","","","","","Page 38","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kw774g",""
"Mental Health Archive","ark:/21198/z1g46gd2","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_039.tif","39","","","","","","","","","","","","","","","","","","","","","Page 39","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g46gd2",""
"Mental Health Archive","ark:/21198/z1bg4f4h","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_040.tif","40","","","","","","","","","","","","","","","","","","","","","Page 40","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bg4f4h",""
"Mental Health Archive","ark:/21198/z16q3pbw","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_041.tif","41","","","","","","","","","","","","","","","","","","","","","Page 41","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16q3pbw",""
"Mental Health Archive","ark:/21198/z12z2xkq","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_042.tif","42","","","","","","","","","","","","","","","","","","","","","Page 42","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12z2xkq",""
"Mental Health Archive","ark:/21198/z1z62f34","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_043.tif","43","","","","","","","","","","","","","","","","","","","","","Page 43","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1z62f34",""
"Mental Health Archive","ark:/21198/z1tf1pdv","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_044.tif","44","","","","","","","","","","","","","","","","","","","","","Page 44","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tf1pdv",""
"Mental Health Archive","ark:/21198/z1pp0xr1","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_045.tif","45","","","","","","","","","","","","","","","","","","","","","Page 45","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pp0xr1",""
"Mental Health Archive","ark:/21198/z1jx060n","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_046.tif","46","","","","","","","","","","","","","","","","","","","","","Page 46","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jx060n",""
"Mental Health Archive","ark:/21198/z1f784p0","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_047.tif","47","","","","","","","","","","","","","","","","","","","","","Page 47","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f784p0",""
"Mental Health Archive","ark:/21198/z19g7cz8","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_048.tif","48","","","","","","","","","","","","","","","","","","","","","Page 48","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19g7cz8",""
"Mental Health Archive","ark:/21198/z15q6n52","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_049.tif","49","","","","","","","","","","","","","","","","","","","","","Page 49","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15q6n52",""
"Mental Health Archive","ark:/21198/z11z5wgs","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_050.tif","50","","","","","","","","","","","","","","","","","","","","","Page 50","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11z5wgs",""
"Mental Health Archive","ark:/21198/z1x65d1n","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_051.tif","51","","","","","","","","","","","","","","","","","","","","","Page 51","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x65d1n",""
"Mental Health Archive","ark:/21198/z1sf4n9x","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_052.tif","52","","","","","","","","","","","","","","","","","","","","","Page 52","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sf4n9x",""
"Mental Health Archive","ark:/21198/z1np3wh9","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_053.tif","53","","","","","","","","","","","","","","","","","","","","","Page 53","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1np3wh9",""
"Mental Health Archive","ark:/21198/z1j11v9z","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_054.tif","54","","","","","","","","","","","","","","","","","","","","","Page 54","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j11v9z",""
"Mental Health Archive","ark:/21198/z1d813hq","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_055.tif","55","","","","","","","","","","","","","","","","","","","","","Page 55","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d813hq",""
"Mental Health Archive","ark:/21198/z18h0brj","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_056.tif","56","","","","","","","","","","","","","","","","","","","","","Page 56","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18h0brj",""
"Mental Health Archive","ark:/21198/z14q9m1p","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_057.tif","57","","","","","","","","","","","","","","","","","","","","","Page 57","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14q9m1p",""
"Mental Health Archive","ark:/21198/z10z8vcv","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_058.tif","58","","","","","","","","","","","","","","","","","","","","","Page 58","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10z8vcv",""
"Mental Health Archive","ark:/21198/z1w68bvd","ark:/21198/zz002cxxg1","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxg1-1-master_059.tif","59","","","","","","","","","","","","","","","","","","","","","Page 59","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w68bvd",""
"Mental Health Archive","ark:/21198/z1rf7m43","ark:/21198/zz002cxxhj","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxhj-1-master_001.tif","1","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rf7m43",""
"Mental Health Archive","ark:/21198/z1ms5jwk","ark:/21198/zz002cxxhj","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxhj-1-master_002.tif","2","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ms5jwk",""
"Mental Health Archive","ark:/21198/z1h14t3p","ark:/21198/zz002cxxhj","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxhj-1-master_003.tif","3","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h14t3p",""
"Mental Health Archive","ark:/21198/z1c842bw","ark:/21198/zz002cxxhj","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxhj-1-master_004.tif","4","","","","","","","","","","","","","","","","","","","","","Page 4","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c842bw",""
"Mental Health Archive","ark:/21198/z17h39m5","ark:/21198/zz002cxxhj","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxhj-1-master_005.tif","5","","","","","","","","","","","","","","","","","","","","","Page 5","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17h39m5",""
"Mental Health Archive","ark:/21198/z13r2jxw","ark:/21198/zz002cxxhj","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxhj-1-master_006.tif","6","","","","","","","","","","","","","","","","","","","","","Page 6","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13r2jxw",""
"Mental Health Archive","ark:/21198/z1001t6w","ark:/21198/zz002cxxhj","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxhj-1-master_007.tif","7","","","","","","","","","","","","","","","","","","","","","Page 7","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1001t6w",""
"Mental Health Archive","ark:/21198/z1v719p4","ark:/21198/zz002cxxkk","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxkk-1-master_001.tif","1","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v719p4",""
"Mental Health Archive","ark:/21198/z1qj98d1","ark:/21198/zz002cxxkk","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxkk-1-master_002.tif","2","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qj98d1",""
"Mental Health Archive","ark:/21198/z1ks8hnv","ark:/21198/zz002cxxkk","2","Completed","Page","neuropsych/text/masters/pdfs/TIFFs/21198-zz002cxxkk-1-master_003.tif","3","","","","","","","","","","","","","","","","","","","","","Page 3","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks8hnv",""
