Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Visibility,viewingHint,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,Rights.copyrightStatus,Rights.countryCreation,Rights.permission,Language,Name.creator,Name.repository,Name.subject,Rights.rightsHolderContact,Rights.servicesContact,Subject,Date.normalized,Title,Date.creation,Summary,Description.note,IIIF Manifest URL,Representative Image,Masthead
ARPANET Project Notes,ark:/21198/zz002h2dd6,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nw14wf,text,copyrighted,US,Y,eng,"Postel, Jonathan Bruce, 1943-1998",Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),5/28/1971,SPADE Admin. Note 110 SPADE Group Meeting,28-May-71,,Note contains a description of STARPROG with diagrams.,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2dd6/manifest,,
ARPANET Project Notes,ark:/21198/zz002h2dfq,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14t851z,text,copyrighted,US,Y,eng,"Postel, Jonathan Bruce, 1943-1998",Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),6/18/1971,SPADE Admin. Note 116 SPADE Meeting,18-Jun-71,,"Note contains gives slice of life comments such as ""catch up on missed meals, sleep and showers"".",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2dfq/manifest,,
ARPANET Project Notes,ark:/21198/zz002h2dg7,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w96wv9,text,copyrighted,US,Y,eng,"Postel, Jonathan Bruce, 1943-1998",Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),6/25/1971,SPADE Admin. Note 118 Agenda,25-Jun-71,,Note on design process for the Sigma Experimental (SEX) console.,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2dg7/manifest,,
ARPANET Project Notes,ark:/21198/zz002h2dhr,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13v13v8,text,copyrighted,US,Y,eng,"Postel, Jonathan Bruce, 1943-1998",Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),8/26/1971,SPADE Admin. Note 141 Bug List,26-Aug-71,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2dhr/manifest,,
ARPANET Project Notes,ark:/21198/zz002h2dj8,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1030c65,text,copyrighted,US,Y,eng,,Kleinrock Internet History Center,"Roberts, L. G. (Lawrence G.)","Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),10/15/1971,SPADE Admin. Note 160 SPADE Meeting,15-Oct-71,,"Note contains comments on L. Roberts report: ""caused a stir"" and ""you should replace your machine every 1 1/2 years"".",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2dj8/manifest,,
ARPANET Project Notes,ark:/21198/zz002h2dks,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qn7tgt,text,copyrighted,US,Y,eng,,Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),12/10/1971,SPADE Admin. Note 176 SPADE Meeting,10-Dec-71,,Note contains diagram listing three months of system tasks and development.,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2dks/manifest,,
ARPANET Project Notes,ark:/21198/zz002h2dm9,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g46b01,text,copyrighted,US,Y,eng,,Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),12/17/1971,SPADE Admin. Note 178 SPADE Meeting,17-Dec-71,,Notes contains diagram indicating where measurements of network traffic need to be done.,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2dm9/manifest,,
ARPANET Project Notes,ark:/21198/zz002h2dnt,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12v42t7,text,copyrighted,US,Y,eng,"Roberts, L. G. (Lawrence G.)",Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),6/26/1972,ASS Note 8 ALOHA Packet System with and without Slots and Capture,26-Jun-72,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2dnt/manifest,,
ARPANET Project Notes,ark:/21198/zz002h2dpb,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d527m2,text,copyrighted,US,Y,eng,"Postel, Jonathan Bruce, 1943-1998",Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),1/7/1972,SPADE Admin. Note 180 SPADE Meeting,7-Jan-72,,Notes contains diagram of proposed SDS Sigma 7 resident code.,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2dpb/manifest,,
ARPANET Project Notes,ark:/21198/zz002h2dqv,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14q9fnp,text,copyrighted,US,Y,eng,,,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),3/3/1972,SPADE Admin. Note 197,3-Mar-72,,Note contains diagram of the CCN model.,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2dqv/manifest,,
ARPANET Project Notes,ark:/21198/zz002h2drc,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rf7fr3,text,copyrighted,US,Y,eng,,Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),7/31/1972,ASS Note 11 A Brief Simulation of the Dynamics of an ALOHA System with Slots,31-Jul-72,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2drc/manifest,,
ARPANET Project Notes,ark:/21198/zz002h2dsw,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g17mgz,text,copyrighted,US,Y,eng,"Kleinrock, Leonard",Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),8/22/1972,ASS Note 12 Analytical Results for the ARPANET Satellite System Model Including the Effects of the Retransmission Delay Distribution,"22 Aug, 1972",,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2dsw/manifest,,
ARPANET Project Notes,ark:/21198/zz002h2dtd,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14j21s4,text,copyrighted,US,Y,eng,"Kleinrock, Leonard",Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),10/3/1972,ASS Note 17 Approximations in the Infinite Population Model of the ARPANET Satellite System,3-Oct-72,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2dtd/manifest,,
ARPANET Project Notes,ark:/21198/zz002h2dvx,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1698q68,text,copyrighted,US,Y,eng,,Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),1972,ASS Note 21 A Comparison of BBN ALOHA and Idealized Slotted Aloha,1972,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2dvx/manifest,,
ARPANET Project Notes,ark:/21198/zz002h2dwf,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12j7zh0,text,copyrighted,US,Y,eng,,Kleinrock Internet History Center,"Roberts, L. G. (Lawrence G.)","Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),11/20/1972,ASS Note 25 Correction for ASS Note 12,20-Nov-72,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2dwf/manifest,,
ARPANET Project Notes,ark:/21198/zz002h2dzg,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1932dt6,text,copyrighted,US,Y,eng,,Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),12/14/1972,"PR Temp Note 1 Packet Radio Meeting of December 12-13, 1972",14-Dec-72,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2dzg/manifest,,
ARPANET Project Notes,ark:/21198/zz002h2f0g,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11n9mrg,text,copyrighted,US,Y,eng,"Kleinrock, Leonard",Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),1/15/1973,PR Temp Note 11 Routing in Packet Radio Systems Controlled Flooding Using Handover Numbers,15-Jan-73,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2f0g/manifest,,
ARPANET Project Notes,ark:/21198/zz002h2f10,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sx80vk,text,copyrighted,US,Y,eng,"Kleinrock, Leonard",Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),2/12/1973,PR Temp Note 24 Throughput in Carrier-Sense (AutoSlot) Packet Radio Systems,12-Feb-73,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2f10/manifest,,
ARPANET Project Notes,ark:/21198/zz002h2f2h,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hm6w2p,text,copyrighted,US,Y,eng,,Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),2/23/1973,PR Temp Note 29 FACSIMILE DATA FORMAT,23-Feb-73,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2f2h/manifest,,
ARPANET Project Notes,ark:/21198/zz002h2f31,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vq4pb5,text,copyrighted,US,Y,eng,,Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),1973,Report: First Packet Radio Working Group Meeting,1973,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2f31/manifest,,
ARPANET Project Notes,ark:/21198/zz002h2f4j,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r51bg7,text,copyrighted,US,Y,eng,"Cerf, Vinton G, 1943-",Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),10/28/1974,Protocol Note 8 Some Considerations on Flow Control for International Packet Transport,28-Oct-74,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2f4j/manifest,,
ARPANET Project Notes,ark:/21198/zz002h2f6k,ark:/21198/zz002gvzpz,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tx523q,text,copyrighted,US,Y,eng,,Kleinrock Internet History Center,,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,ARPANET (Computer network),1975-04,Protocol Note 21 A PROPOSAL FOR FRAGMENTING PACKETS IN INTERNETWORKING,Apr-75,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2f6k/manifest,,
