Item ARK,Parent ARK,Parent ARK (Californica),Object Type,Title,STAGE URL,AltTitle.other,Visibility,File Name,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,volume/year,issue,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Name.artist,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Statement of Responsibility,Subject temporal,Subject,Subject geographic,Rights.rightsHolderContact,Bucketeer State,IIIF Access URL,IIIF Manifest URL
ark:/21198/z1030j3w,ark:/21198/z16d7kmn,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,Work,Salvaging Wood From Floods,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1030j3w,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1963_03267.tif,Louis Dupree and Nancy Dupree Collection,,1963,1963,,,,,,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,,acku_dupree_slide_1963_03267,"Dupree, Louis",,,,,,ACKU Library Department Special Collection,still image,copyrighted,,,Gardez|~|Snow|~|Nomads|~|Snows|~|Poplar Trees|~|Dirt Roads|~|Mountains|~|Donkeys,Paktia|~|Afghanistan,info@acku.edu.af,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1030j3w,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1030j3w/manifest
ark:/21198/z1030j4b,ark:/21198/z16d7kmn,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,Work,Looking Into Farkhar Valley,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1030j4b,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1966_02233.tif,Louis Dupree and Nancy Dupree Collection,,1966,1966,,,,,,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,,acku_dupree_slide_1966_02233,"Dupree, Louis",,,,,,ACKU Library Department Special Collection,still image,copyrighted,,,Snows|~|Mountains|~|Valley,Paktia|~|Afghanistan,info@acku.edu.af,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1030j4b,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1030j4b/manifest
ark:/21198/z1030j5s,ark:/21198/z16d7kmn,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,Work,Imam Sahib,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1030j5s,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1968_02993.tif,Louis Dupree and Nancy Dupree Collection,,1968,1968,,,,,,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,,acku_dupree_slide_1968_02993,"Dupree, Louis",,,,,,ACKU Library Department Special Collection,still image,copyrighted,,,Snows|~|Mountains|~|Valley|~|Landscapes,Paktia|~|Afghanistan,info@acku.edu.af,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1030j5s,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1030j5s/manifest
ark:/21198/z1030j67,ark:/21198/z16d7kmn,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,Work,Looking South,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1030j67,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1969_02724.tif,Louis Dupree and Nancy Dupree Collection,,1969,1969,,,,,,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,,acku_dupree_slide_1969_02724,"Dupree, Louis",,,,,,ACKU Library Department Special Collection,still image,copyrighted,,,Shewaki|~|Towers|~|Snows|~|Mountains|~|Landscapes|~|Grasses,Kabul|~|Afghanistan,info@acku.edu.af,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1030j67,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1030j67/manifest
ark:/21198/z1030j7p,ark:/21198/z16d7kmn,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,Work,Nomad Encampment on Hill,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1030j7p,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1975_02347.tif,Louis Dupree and Nancy Dupree Collection,,1975,1975,,,,,,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,,acku_dupree_slide_1975_02347,"Dupree, Louis",,,,,,ACKU Library Department Special Collection,still image,copyrighted,,,Shewaki|~|Nomads|~|Nadir Shah Tomb|~|Man|~|Camels,Kabul|~|Afghanistan,info@acku.edu.af,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1030j7p,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1030j7p/manifest
ark:/21198/z1030j84,ark:/21198/z16d7kmn,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,Work,The Theater,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1030j84,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1926_01665.tif,Louis Dupree and Nancy Dupree Collection,,1926,1926,,,,,,5 cm x 5 cm,1 Photograph,35 mm Slide,black-and-white photographs,,acku_dupree_slide_1926_01665,"Dupree, Louis","Siraj, Khalilullah Enayat",,,,,ACKU Library Department Special Collection,still image,copyrighted,,,Shewaki|~|Houses|~|village|~|Fields|~|Mountains,Kabul|~|Afghanistan,info@acku.edu.af,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1030j84,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1030j84/manifest
ark:/21198/z1030j9k,ark:/21198/z16d7kmn,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,Work,Deer,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1030j9k,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1969_01524.tif,Louis Dupree and Nancy Dupree Collection,,1969,1969,,,,,,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,,acku_dupree_slide_1969_01524,"Dupree, Louis",,,,,,ACKU Library Department Special Collection,still image,copyrighted,,,Shewaki|~|Towers|~|Snows|~|Mountains|~|Terraced Fields|~|Landscapes,Kabul|~|Afghanistan,info@acku.edu.af,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1030j9k,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1030j9k/manifest
ark:/21198/z1030jb1,ark:/21198/z16d7kmn,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,Work,"Seraj-ul-Emart (Shining Building) Palace, Jalalabad",https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1030jb1,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1976_00253.tif,Louis Dupree and Nancy Dupree Collection,,February 1976,1976-02,,,,,,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,,acku_dupree_slide_1976_00253,"Dupree, Louis",,,,,,ACKU Library Department Special Collection,still image,copyrighted,,,Shewaki|~|Towers|~|Terraced Fields|~|Mountains|~|Landscapes,Kabul|~|Afghanistan,info@acku.edu.af,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1030jb1,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1030jb1/manifest
ark:/21198/z1030jcg,ark:/21198/z16d7kmn,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,Work,Faizabad From the Air,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1030jcg,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1976_00463.tif,Louis Dupree and Nancy Dupree Collection,,"June 3, 1976",1976-06-03,,,,,,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,,acku_dupree_slide_1976_00463,"Dupree, Louis",,,,,,ACKU Library Department Special Collection,still image,copyrighted,,,Shewaki|~|Terraced Fields|~|Bala Hissar|~|Mountains|~|Landscapes,Kabul|~|Afghanistan,info@acku.edu.af,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1030jcg,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1030jcg/manifest
ark:/21198/z1030jdx,ark:/21198/z16d7kmn,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,Work,"Qalat us-Seraj, Mehtarlam, Laghman",https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1030jdx,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1976_00641.tif,Louis Dupree and Nancy Dupree Collection,,"December 2, 1976",1976-12-02,,,,,,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,,acku_dupree_slide_1976_00641,"Dupree, Louis",,,,,,ACKU Library Department Special Collection,still image,copyrighted,,,Shewaki|~|Terraced Fields|~|Bala Hissar|~|Mountains|~|Landscapes,Kabul|~|Afghanistan,info@acku.edu.af,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1030jdx,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1030jdx/manifest
ark:/21198/z1030jfc,ark:/21198/z16d7kmn,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,Work,Khost Camp,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1030jfc,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1985_00931.tif,Louis Dupree and Nancy Dupree Collection,,"July 26, 1985",1985-07-26,,,,,,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,,acku_dupree_slide_1985_00931,"Dupree, Louis",,,,,,ACKU Library Department Special Collection,still image,copyrighted,,,Aq Kupruk|~|Hilltop|~|Ailak|~|Hills|~|Dirt Road|~|Yurts|~|Landscapes,Balkh|~|Afghanistan,info@acku.edu.af,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1030jfc,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1030jfc/manifest
ark:/21198/z1030jgt,ark:/21198/z16d7kmn,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,Work,"Amir Abdur Rahman Period: Gulistan Serai, Zarnegar Park 1892",https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1030jgt,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_2005_01293.tif,Louis Dupree and Nancy Dupree Collection,,2005,2005,,,,,,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,,acku_dupree_slide_2005_01293,"Dupree, Nancy",,,,,,ACKU Library Department Special Collection,still image,copyrighted,,,Aq Kupruk|~|Nomadic Camp|~|Girls|~|Tents|~|Hills|~|Landscapes,Balkh|~|Afghanistan,info@acku.edu.af,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1030jgt,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1030jgt/manifest
ark:/21198/z10597j3,ark:/21198/z16d7kmn,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,Work,Main Trench Horse Cave,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z10597j3,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1965_03179.tif,Louis Dupree and Nancy Dupree Collection,,1965,1965,,,,,,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,,acku_dupree_slide_1965_03179,"Dupree, Louis",,,,,,ACKU Library Department Special Collection,still image,copyrighted,,,Aq Kupruk|~|Nomadic Camp|~|Tents|~|Donkeys|~|Women|~|Hills|~|Landscapes,Balkh|~|Afghanistan,info@acku.edu.af,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10597j3,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10597j3/manifest
ark:/21198/z10597kj,ark:/21198/z16d7kmn,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,Work,Workman,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z10597kj,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1969_02693.tif,Louis Dupree and Nancy Dupree Collection,,1969,1969,,,,,,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,,acku_dupree_slide_1969_02693,"Dupree, Louis",,,,,,ACKU Library Department Special Collection,still image,copyrighted,,,Aq Kupruk|~|Nomadic Camp|~|Donkeys|~|Women|~|Camels|~|Hills|~|Landscapes,Balkh|~|Afghanistan,info@acku.edu.af,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10597kj,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10597kj/manifest
ark:/21198/z10597m0,ark:/21198/z16d7kmn,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,Work,Fuzz,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z10597m0,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1969_02902.tif,Louis Dupree and Nancy Dupree Collection,,1969,1969,,,,,,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,,acku_dupree_slide_1969_02902,"Dupree, Louis",,,,,,ACKU Library Department Special Collection,still image,copyrighted,,,Aq Kupruk|~|Nomadic Camp|~|Donkeys|~|Women|~|Children|~|Tents|~|Hills,Balkh|~|Afghanistan,info@acku.edu.af,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10597m0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10597m0/manifest
ark:/21198/z10597nf,ark:/21198/z16d7kmn,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,Work,"The Theater; Ai Khanoum, Takhar Province",https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z10597nf,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1975_01970.tif,Louis Dupree and Nancy Dupree Collection,,1975,1975,,,,,,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,,acku_dupree_slide_1975_01970,"Bernard, Paul",,,,,,ACKU Library Department Special Collection,still image,copyrighted,,,Aq Kupruk|~|Herd of Sheep|~|Camels|~|Sheep|~|Shepherd|~|Mountains,Balkh|~|Afghanistan,info@acku.edu.af,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10597nf,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10597nf/manifest
ark:/21198/z10597pw,ark:/21198/z16d7kmn,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,Work,"Shortugai Trading Outpost; Shortugai, Takhar Province",https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z10597pw,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1978_01878.tif,Louis Dupree and Nancy Dupree Collection,,1978,1978,,,,,,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,,acku_dupree_slide_1978_01878,"Dupree, Louis",,,,,,ACKU Library Department Special Collection,still image,copyrighted,,,Aq Kupruk|~|Nomadic Camp|~|Herd of Sheep|~|Sheep|~|Villages,Balkh|~|Afghanistan,info@acku.edu.af,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10597pw,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10597pw/manifest
ark:/21198/z10597qb,ark:/21198/z16d7kmn,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,Work,Amir Habibullah Period: Qasre Stor (Star Building) II 1912,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z10597qb,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1920_01397.tif,Louis Dupree and Nancy Dupree Collection,,1920,1920,,,,,,5 cm x 5 cm,1 Photograph,35 mm Slide,black-and-white photographs,,acku_dupree_slide_1920_01397,"Dupree, Louis","Siraj, Khalilullah Enayat",,,,,ACKU Library Department Special Collection,still image,copyrighted,,,Aq Kupruk|~|Tents|~|Camels|~|Traders|~|Nomads|~|Mountains,Balkh|~|Afghanistan,info@acku.edu.af,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10597qb,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10597qb/manifest
ark:/21198/z10597rs,ark:/21198/z16d7kmn,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,Work,Chegaserai Bazaar,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z10597rs,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1965_00653.tif,Louis Dupree and Nancy Dupree Collection,,1965,1965,,,,,,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,,acku_dupree_slide_1965_00653,"Dupree, Louis",,,,,,ACKU Library Department Special Collection,still image,copyrighted,,,Aq Kupruk|~|Uzbek|~|Villages|~|Dirt Road|~|Houses|~|Hills|~|Landscapes,Balkh|~|Afghanistan,info@acku.edu.af,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10597rs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10597rs/manifest
ark:/21198/z10597s7,ark:/21198/z16d7kmn,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,Work,The Other Side of the Mountain - Ziarat-i-Sakhi,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z10597s7,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1974_01553.tif,Louis Dupree and Nancy Dupree Collection,,"March 21, 1974",1974-03-21,,,,,,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,,acku_dupree_slide_1974_01553,"Dupree, Louis",,,,,,ACKU Library Department Special Collection,still image,copyrighted,,,Aq Kupruk|~|Uzbek|~|Villages|~|Houses|~|South|~|Hills|~|Landscapes,Balkh|~|Afghanistan,info@acku.edu.af,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10597s7,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10597s7/manifest
