Object Type,Parent ARK,Item ARK,File Name,Local identifier,Title,Name.creator,Date.created,Date.normalized,Type.typeOfResource,Genre,Format.dimensions,Format.medium,Repository,collection.physical,Rights.copyrightStatus,Rights.publicationStatus,Rights.rightsHolderContact,Subject,Subject geographic,Rights.statementLocal,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Work,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,ark:/21198/z1k66mkk,Masters/othermasters/MEAPdupreecollection/batch03/images/acku_dupree_slide_1963_03308.tif,acku_dupree_slide_1963_03308,Sultanpur,"Dupree, Louis",1963,1963,still image,color photographs,5 cm x 5 cm,35 mm Slide,ACKU Library Department Special Collection ,Louis Dupree and Nancy Dupree Collection,copyrighted,unpublished,info@acku.edu.af ,Sultanpur|~|Sikh Festival|~|Tents|~|Sikh,Nangarhar|~|Afghanistan,"All files and information contained in this Website or Blog are copyright by Afghanistan Center at Kabul University, and may not be duplicated, copied, modified or adapted, in any way without our written permission. Our Website or Blog may contain our service marks or trademarks as well as those of our affiliates or other companies, in the form of words, graphics, and logos. Your use of our Website, Blog or Services does not constitute any right or license for you to use our service marks or trademarks, without the prior written permission of Afghanistan Center at Kabul University. The copying, redistribution, use or publication by you of any such Content, is strictly prohibited. Your use of our Website and Services does not grant you any ownership rights to our Content.",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k66mkk,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1k66mkk/manifest
Work,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,ark:/21198/z1ff5vsz,Masters/othermasters/MEAPdupreecollection/batch03/images/acku_dupree_slide_1963_03309.tif,acku_dupree_slide_1963_03309,Dasht-i-Gambari,"Dupree, Louis",1963,1963,still image,color photographs,5 cm x 5 cm,35 mm Slide,ACKU Library Department Special Collection ,Louis Dupree and Nancy Dupree Collection,copyrighted,unpublished,info@acku.edu.af ,Dasht-i-Gambari|~|Deserts|~|Mountains|~|Landscapes,Kunar|~|Afghanistan,"All files and information contained in this Website or Blog are copyright by Afghanistan Center at Kabul University, and may not be duplicated, copied, modified or adapted, in any way without our written permission. Our Website or Blog may contain our service marks or trademarks as well as those of our affiliates or other companies, in the form of words, graphics, and logos. Your use of our Website, Blog or Services does not constitute any right or license for you to use our service marks or trademarks, without the prior written permission of Afghanistan Center at Kabul University. The copying, redistribution, use or publication by you of any such Content, is strictly prohibited. Your use of our Website and Services does not grant you any ownership rights to our Content.",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ff5vsz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ff5vsz/manifest
Work,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,ark:/21198/z19p541k,Masters/othermasters/MEAPdupreecollection/batch03/images/acku_dupree_slide_1963_03310.tif,acku_dupree_slide_1963_03310,Nomad Sheep,"Dupree, Louis",1963,1963,still image,color photographs,5 cm x 5 cm,35 mm Slide,ACKU Library Department Special Collection ,Louis Dupree and Nancy Dupree Collection,copyrighted,unpublished,info@acku.edu.af ,Dasht-i-Gambari|~|Nomad Sheep|~|Deserts|~|Mountains|~|Landscapes,Kunar|~|Afghanistan,"All files and information contained in this Website or Blog are copyright by Afghanistan Center at Kabul University, and may not be duplicated, copied, modified or adapted, in any way without our written permission. Our Website or Blog may contain our service marks or trademarks as well as those of our affiliates or other companies, in the form of words, graphics, and logos. Your use of our Website, Blog or Services does not constitute any right or license for you to use our service marks or trademarks, without the prior written permission of Afghanistan Center at Kabul University. The copying, redistribution, use or publication by you of any such Content, is strictly prohibited. Your use of our Website and Services does not grant you any ownership rights to our Content.",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19p541k,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz19p541k/manifest
Work,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,ark:/21198/z15x4cb9,Masters/othermasters/MEAPdupreecollection/batch03/images/acku_dupree_slide_1963_03311.tif,acku_dupree_slide_1963_03311,Flowers in Dasht,"Dupree, Louis",1963,1963,still image,color photographs,5 cm x 5 cm,35 mm Slide,ACKU Library Department Special Collection ,Louis Dupree and Nancy Dupree Collection,copyrighted,unpublished,info@acku.edu.af ,Dasht-i-Gambari|~|Flowers|~|Deserts,Kunar|~|Afghanistan,"All files and information contained in this Website or Blog are copyright by Afghanistan Center at Kabul University, and may not be duplicated, copied, modified or adapted, in any way without our written permission. Our Website or Blog may contain our service marks or trademarks as well as those of our affiliates or other companies, in the form of words, graphics, and logos. Your use of our Website, Blog or Services does not constitute any right or license for you to use our service marks or trademarks, without the prior written permission of Afghanistan Center at Kabul University. The copying, redistribution, use or publication by you of any such Content, is strictly prohibited. Your use of our Website and Services does not grant you any ownership rights to our Content.",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15x4cb9,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15x4cb9/manifest
Work,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,ark:/21198/z1253mps,Masters/othermasters/MEAPdupreecollection/batch03/images/acku_dupree_slide_1963_03312.tif,acku_dupree_slide_1963_03312,Kunar Valley,"Dupree, Louis",1963,1963,still image,color photographs,5 cm x 5 cm,35 mm Slide,ACKU Library Department Special Collection ,Louis Dupree and Nancy Dupree Collection,copyrighted,unpublished,info@acku.edu.af ,Kunar Valley|~|Weir|~|River|~|Hills|~|Mountains|~|Landscapes,Kunar|~|Afghanistan,"All files and information contained in this Website or Blog are copyright by Afghanistan Center at Kabul University, and may not be duplicated, copied, modified or adapted, in any way without our written permission. Our Website or Blog may contain our service marks or trademarks as well as those of our affiliates or other companies, in the form of words, graphics, and logos. Your use of our Website, Blog or Services does not constitute any right or license for you to use our service marks or trademarks, without the prior written permission of Afghanistan Center at Kabul University. The copying, redistribution, use or publication by you of any such Content, is strictly prohibited. Your use of our Website and Services does not grant you any ownership rights to our Content.",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1253mps,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1253mps/manifest
Work,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,ark:/21198/z1xh1tkc,Masters/othermasters/MEAPdupreecollection/batch03/images/acku_dupree_slide_1963_03313.tif,acku_dupree_slide_1963_03313,Near Shewa,"Dupree, Louis",1963,1963,still image,color photographs,5 cm x 5 cm,35 mm Slide,ACKU Library Department Special Collection ,Louis Dupree and Nancy Dupree Collection,copyrighted,unpublished,info@acku.edu.af ,Kunar Valley|~|Fields|~|Wheat|~|Trees|~|Houses|~|Mountains|~|Landscapes,Kunar|~|Afghanistan,"All files and information contained in this Website or Blog are copyright by Afghanistan Center at Kabul University, and may not be duplicated, copied, modified or adapted, in any way without our written permission. Our Website or Blog may contain our service marks or trademarks as well as those of our affiliates or other companies, in the form of words, graphics, and logos. Your use of our Website, Blog or Services does not constitute any right or license for you to use our service marks or trademarks, without the prior written permission of Afghanistan Center at Kabul University. The copying, redistribution, use or publication by you of any such Content, is strictly prohibited. Your use of our Website and Services does not grant you any ownership rights to our Content.",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xh1tkc,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1xh1tkc/manifest
Work,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,ark:/21198/z1sr12wg,Masters/othermasters/MEAPdupreecollection/batch03/images/acku_dupree_slide_1963_03314.tif,acku_dupree_slide_1963_03314,West of Chiga Serai,"Dupree, Louis",1963,1963,still image,color photographs,5 cm x 5 cm,35 mm Slide,ACKU Library Department Special Collection ,Louis Dupree and Nancy Dupree Collection,copyrighted,unpublished,info@acku.edu.af ,Chiga Serai|~|Fields|~|Villages|~|Houses|~|Snows|~|Mountains|~|Landscapes,Kunar|~|Afghanistan,"All files and information contained in this Website or Blog are copyright by Afghanistan Center at Kabul University, and may not be duplicated, copied, modified or adapted, in any way without our written permission. Our Website or Blog may contain our service marks or trademarks as well as those of our affiliates or other companies, in the form of words, graphics, and logos. Your use of our Website, Blog or Services does not constitute any right or license for you to use our service marks or trademarks, without the prior written permission of Afghanistan Center at Kabul University. The copying, redistribution, use or publication by you of any such Content, is strictly prohibited. Your use of our Website and Services does not grant you any ownership rights to our Content.",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sr12wg,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sr12wg/manifest
Work,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,ark:/21198/z1p00b3k,Masters/othermasters/MEAPdupreecollection/batch03/images/acku_dupree_slide_1963_03315.tif,acku_dupree_slide_1963_03315,West of Chiga Serai,"Dupree, Louis",1963,1963,still image,color photographs,5 cm x 5 cm,35 mm Slide,ACKU Library Department Special Collection ,Louis Dupree and Nancy Dupree Collection,copyrighted,unpublished,info@acku.edu.af ,Chiga Serai|~|Fields|~|Villages|~|Mountains|~|Landscapes,Kunar|~|Afghanistan,"All files and information contained in this Website or Blog are copyright by Afghanistan Center at Kabul University, and may not be duplicated, copied, modified or adapted, in any way without our written permission. Our Website or Blog may contain our service marks or trademarks as well as those of our affiliates or other companies, in the form of words, graphics, and logos. Your use of our Website, Blog or Services does not constitute any right or license for you to use our service marks or trademarks, without the prior written permission of Afghanistan Center at Kabul University. The copying, redistribution, use or publication by you of any such Content, is strictly prohibited. Your use of our Website and Services does not grant you any ownership rights to our Content.",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p00b3k,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1p00b3k/manifest
Work,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,ark:/21198/z1j69k9d,Masters/othermasters/MEAPdupreecollection/batch03/images/acku_dupree_slide_1963_03316.tif,acku_dupree_slide_1963_03316,Near Asmar,"Dupree, Louis",1963,1963,still image,color photographs,5 cm x 5 cm,35 mm Slide,ACKU Library Department Special Collection ,Louis Dupree and Nancy Dupree Collection,copyrighted,unpublished,info@acku.edu.af ,Asmar|~|Fields|~|Mountains|~|landscapes,Kunar|~|Afghanistan,"All files and information contained in this Website or Blog are copyright by Afghanistan Center at Kabul University, and may not be duplicated, copied, modified or adapted, in any way without our written permission. Our Website or Blog may contain our service marks or trademarks as well as those of our affiliates or other companies, in the form of words, graphics, and logos. Your use of our Website, Blog or Services does not constitute any right or license for you to use our service marks or trademarks, without the prior written permission of Afghanistan Center at Kabul University. The copying, redistribution, use or publication by you of any such Content, is strictly prohibited. Your use of our Website and Services does not grant you any ownership rights to our Content.",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j69k9d,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1j69k9d/manifest
Work,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,ark:/21198/z1df8tkp,Masters/othermasters/MEAPdupreecollection/batch03/images/acku_dupree_slide_1963_03317.tif,acku_dupree_slide_1963_03317,Near Asmar,"Dupree, Louis",1963,1963,still image,color photographs,5 cm x 5 cm,35 mm Slide,ACKU Library Department Special Collection ,Louis Dupree and Nancy Dupree Collection,copyrighted,unpublished,info@acku.edu.af ,Asmar|~|River|~|Houses|~|Valley|~|Mountains|~|Fields|~|Landscapes,Kunar|~|Afghanistan,"All files and information contained in this Website or Blog are copyright by Afghanistan Center at Kabul University, and may not be duplicated, copied, modified or adapted, in any way without our written permission. Our Website or Blog may contain our service marks or trademarks as well as those of our affiliates or other companies, in the form of words, graphics, and logos. Your use of our Website, Blog or Services does not constitute any right or license for you to use our service marks or trademarks, without the prior written permission of Afghanistan Center at Kabul University. The copying, redistribution, use or publication by you of any such Content, is strictly prohibited. Your use of our Website and Services does not grant you any ownership rights to our Content.",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1df8tkp,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1df8tkp/manifest
Work,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,ark:/21198/z18p82x7,Masters/othermasters/MEAPdupreecollection/batch03/images/acku_dupree_slide_1963_03318.tif,acku_dupree_slide_1963_03318,Pushtun Lumbermen Between Asmar and Julola,"Dupree, Louis",1963,1963,still image,color photographs,5 cm x 5 cm,35 mm Slide,ACKU Library Department Special Collection ,Louis Dupree and Nancy Dupree Collection,copyrighted,unpublished,info@acku.edu.af ,Pashtun Lambermen|~|Fields|~|Houses|~|Snows|~|Mountains|~|Landscapes,Kunar|~|Afghanistan,"All files and information contained in this Website or Blog are copyright by Afghanistan Center at Kabul University, and may not be duplicated, copied, modified or adapted, in any way without our written permission. Our Website or Blog may contain our service marks or trademarks as well as those of our affiliates or other companies, in the form of words, graphics, and logos. Your use of our Website, Blog or Services does not constitute any right or license for you to use our service marks or trademarks, without the prior written permission of Afghanistan Center at Kabul University. The copying, redistribution, use or publication by you of any such Content, is strictly prohibited. Your use of our Website and Services does not grant you any ownership rights to our Content.",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18p82x7,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18p82x7/manifest
Work,ark:/21198/z16d7kmn|~|ark:/21198/z13b7wpn,ark:/21198/z14x7b7c,Masters/othermasters/MEAPdupreecollection/batch03/images/acku_dupree_slide_1963_03319.tif,acku_dupree_slide_1963_03319,Pushtun Lumbermen Between Asmar and Julola,"Dupree, Louis",1963,1963,still image,color photographs,5 cm x 5 cm,35 mm Slide,ACKU Library Department Special Collection ,Louis Dupree and Nancy Dupree Collection,copyrighted,unpublished,info@acku.edu.af ,Pashtun Lumbermen|~|Men|~|River|~|Mountains|~|Valley|~|Landscapes,Kunar|~|Afghanistan,"All files and information contained in this Website or Blog are copyright by Afghanistan Center at Kabul University, and may not be duplicated, copied, modified or adapted, in any way without our written permission. Our Website or Blog may contain our service marks or trademarks as well as those of our affiliates or other companies, in the form of words, graphics, and logos. Your use of our Website, Blog or Services does not constitute any right or license for you to use our service marks or trademarks, without the prior written permission of Afghanistan Center at Kabul University. The copying, redistribution, use or publication by you of any such Content, is strictly prohibited. Your use of our Website and Services does not grant you any ownership rights to our Content.",succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x7b7c,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14x7b7c/manifest
