Item ARK,Parent ARK,Object Type,Title,AltTitle.other,Visibility,File Name,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,volume/year,issue,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Named subject,Note,Place of origin,Publisher.publisherName,Repository,Resource type,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject topic,Subject geographic,Subject temporal
ark:/21198/z1cz50tm,ark:/21198/z16d7kmn,Work,Paktia 2,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1962_03068.tif,Louis Dupree and Nancy Dupree Collection,,1962,1962,,,,,3069,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1962_03068,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1962|~|Afghanistan|~|Paktia|~|Snows|~|Mountains|~|Valley|~|Landscapes,,
ark:/21198/z186481q,ark:/21198/z16d7kmn,Work,Shewaki 1,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1962_03069.tif,Louis Dupree and Nancy Dupree Collection,,1962,1962,,,,,3070,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1962_03069,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1962|~|Afghanistan|~|Kabul|~|Shewaki|~|Towers|~|Snows|~|Mountains|~|Landscapes|~|Grasses,,
ark:/21198/z14f3h90,ark:/21198/z16d7kmn,Work,Nomad With Nadir Shah Tomb in Background,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1962_03070.tif,Louis Dupree and Nancy Dupree Collection,,1962,1962,,,,,3071,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1962_03070,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1962|~|Afghanistan|~|Kabul|~|Shewaki|~|Nomads|~|Nadir Shah Tomb|~|Man|~|Camels,,
ark:/21198/z10p2rmq,ark:/21198/z16d7kmn,Work,Shewaki 2,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1962_03071.tif,Louis Dupree and Nancy Dupree Collection,,1962,1962,,,,,3072,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1962_03071,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1962|~|Afghanistan|~|Kabul|~|Shewaki|~|Houses|~|village|~|Fields|~|Mountains,,
ark:/21198/z1vx286q,ark:/21198/z16d7kmn,Work,Shewaki 3,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1962_03072.tif,Louis Dupree and Nancy Dupree Collection,,1962,1962,,,,,3073,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1962_03072,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1962|~|Afghanistan|~|Kabul|~|Shewaki|~|Towers|~|Snows|~|Mountains|~|Terraced Fields|~|Landscapes,,
ark:/21198/z1r806tq,ark:/21198/z16d7kmn,Work,Shewaki 4,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1962_03073.tif,Louis Dupree and Nancy Dupree Collection,,1962,1962,,,,,3074,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1962_03073,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1962|~|Afghanistan|~|Kabul|~|Shewaki|~|Towers|~|Terraced Fields|~|Mountains|~|Landscapes,,
ark:/21198/z1mg9g49,ark:/21198/z16d7kmn,Work,Shewaki 5,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1962_03074.tif,Louis Dupree and Nancy Dupree Collection,,1962,1962,,,,,3075,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1962_03074,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1962|~|Afghanistan|~|Kabul|~|Shewaki|~|Terraced Fields|~|Bala Hissar|~|Mountains|~|Landscapes,,
ark:/21198/z1gq8qdk,ark:/21198/z16d7kmn,Work,Shewaki 6,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1962_03075.tif,Louis Dupree and Nancy Dupree Collection,,1962,1962,,,,,3076,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1962_03075,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1962|~|Afghanistan|~|Kabul|~|Shewaki|~|Terraced Fields|~|Bala Hissar|~|Mountains|~|Landscapes,,
ark:/21198/z1bz7zmz,ark:/21198/z16d7kmn,Work,Hilltop Ailak Outside Aq Kupruk,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1962_03076.tif,Louis Dupree and Nancy Dupree Collection,,1962,1962,,,,,3077,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1962_03076,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1962|~|Afghanistan|~|Balkh|~|Aq Kupruk|~|Hilltop|~|Ailak|~|Hills|~|Dirt Road|~|Yurts|~|Landscapes,,
ark:/21198/z17676wx,ark:/21198/z16d7kmn,Work,Nomadic Camp 1,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1962_03077.tif,Louis Dupree and Nancy Dupree Collection,,1962,1962,,,,,3078,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1962_03077,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1962|~|Afghanistan|~|Balkh|~|Aq Kupruk|~|Nomadic Camp|~|Girls|~|Tents|~|Hills|~|Landscapes,,
ark:/21198/z13f6g7h,ark:/21198/z16d7kmn,Work,Nomadic Camp 2,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1962_03078.tif,Louis Dupree and Nancy Dupree Collection,,1962,1962,,,,,3079,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1962_03078,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1962|~|Afghanistan|~|Balkh|~|Aq Kupruk|~|Nomadic Camp|~|Tents|~|Donkeys|~|Women|~|Hills|~|Landscapes,,
ark:/21198/z1zp5zrt,ark:/21198/z16d7kmn,Work,Nomadic Camp 3,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1962_03079.tif,Louis Dupree and Nancy Dupree Collection,,1962,1962,,,,,3080,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1962_03079,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1962|~|Afghanistan|~|Balkh|~|Aq Kupruk|~|Nomadic Camp|~|Donkeys|~|Women|~|Camels|~|Hills|~|Landscapes,,
ark:/21198/z1v13xdp,ark:/21198/z16d7kmn,Work,Nomadic Camp 4,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1962_03080.tif,Louis Dupree and Nancy Dupree Collection,,1962,1962,,,,,3081,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1962_03080,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1962|~|Afghanistan|~|Balkh|~|Aq Kupruk|~|Nomadic Camp|~|Donkeys|~|Women|~|Children|~|Tents|~|Hills,,
ark:/21198/z1q835r7,ark:/21198/z16d7kmn,Work,Herd of Sheep and Camel,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1962_03081.tif,Louis Dupree and Nancy Dupree Collection,,1962,1962,,,,,3082,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1962_03081,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1962|~|Afghanistan|~|Balkh|~|Aq Kupruk|~|Herd of Sheep|~|Camels|~|Sheep|~|Shepherd|~|Mountains,,
ark:/21198/z1kh2dx5,ark:/21198/z16d7kmn,Work,Nomadic Camp Shots,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1962_03082.tif,Louis Dupree and Nancy Dupree Collection,,1962,1962,,,,,3083,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1962_03082,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1962|~|Afghanistan|~|Balkh|~|Aq Kupruk|~|Nomadic Camp|~|Herd of Sheep|~|Sheep|~|Villages,,
ark:/21198/z1fr1p5d,ark:/21198/z16d7kmn,Work,White Tents Belong to Jat Traders,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1962_03083.tif,Louis Dupree and Nancy Dupree Collection,,1962,1962,,,,,3084,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1962_03083,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1962|~|Afghanistan|~|Balkh|~|Aq Kupruk|~|Tents|~|Camels|~|Traders|~|Nomads|~|Mountains,,
ark:/21198/z1b00xf0,ark:/21198/z16d7kmn,Work,Uzbek Part of Village Beyond Dried-up Stream Bed 1,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1962_03084.tif,Louis Dupree and Nancy Dupree Collection,,1962,1962,,,,,3085,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1962_03084,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1962|~|Afghanistan|~|Balkh|~|Aq Kupruk|~|Uzbek|~|Villages|~|Dirt Road|~|Houses|~|Hills|~|Landscapes,,
ark:/21198/z16705sj,ark:/21198/z16d7kmn,Work,Uzbek Part of Village Beyond Dried-up Stream Bed 2,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1962_03085.tif,Louis Dupree and Nancy Dupree Collection,,1962,1962,,,,,3086,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1962_03085,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1962|~|Afghanistan|~|Balkh|~|Aq Kupruk|~|Uzbek|~|Villages|~|Houses|~|South|~|Hills|~|Landscapes,,
ark:/21198/z12f9f34,ark:/21198/z16d7kmn,Work,Sunflowers Growing,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1962_03086.tif,Louis Dupree and Nancy Dupree Collection,,1962,1962,,,,,3087,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1962_03086,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1962|~|Afghanistan|~|Balkh|~|Aq Kupruk|~|Sunflowers|~|Crows|~|Terraced Fields|~|Hills|~|Trees|~|Landscapes,,
ark:/21198/z1xs7n15,ark:/21198/z16d7kmn,Work,Door to Fence,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1962_03087.tif,Louis Dupree and Nancy Dupree Collection,,1962,1962,,,,,3088,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1962_03087,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1962|~|Afghanistan|~|Balkh|~|Aq Kupruk|~|Door|~|Fence|~|Terraced Fields,,
ark:/21198/z1t16wb6,ark:/21198/z16d7kmn,Work,Uzbek Part of Village,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1962_03088.tif,Louis Dupree and Nancy Dupree Collection,,1962,1962,,,,,3089,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1962_03088,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1962|~|Afghanistan|~|Balkh|~|Aq Kupruk|~|Uzbek|~|Village|~|Houses|~|Hills|~|Trees,,
ark:/21198/z1p864jz,ark:/21198/z16d7kmn,Work,Walk to Cave 1,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1962_03089.tif,Louis Dupree and Nancy Dupree Collection,,1962,1962,,,,,3090,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1962_03089,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1962|~|Afghanistan|~|Balkh|~|Aq Kupruk|~|River|~|East|~|Limestone|~|Valley|~|Mountains|~|Landscapes,,
ark:/21198/z1jh5crb,ark:/21198/z16d7kmn,Work,Walk to Cave 2,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1962_03090.tif,Louis Dupree and Nancy Dupree Collection,,1962,1962,,,,,3091,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1962_03090,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1962|~|Afghanistan|~|Balkh|~|Aq Kupruk|~|Horse Cave|~|Valleys|~|Limestone,,
ark:/21198/z1dr4n2g,ark:/21198/z16d7kmn,Work,River swings to north,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1962_03091.tif,Louis Dupree and Nancy Dupree Collection,,1962,1962,,,,,3092,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1962_03091,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1962|~|Afghanistan|~|Balkh|~|Aq Kupruk|~|Horses|~|River|~|Grazing|~|Valleys|~|Limestone|~|Mountains,,
ark:/21198/z1903wch,ark:/21198/z16d7kmn,Work,Horse Cave Across River From Snake Cave,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1962_03092.tif,Louis Dupree and Nancy Dupree Collection,,1962,1962,,,,,3093,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1962_03092,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1962|~|Afghanistan|~|Balkh|~|Aq Kupruk|~|Horse Cave|~|Horses|~|Limestone|~|Mountains,,
ark:/21198/z15734pm,ark:/21198/z16d7kmn,Work,From Snake Cave Toward Aq Kupruk,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1962_03093.tif,Louis Dupree and Nancy Dupree Collection,,1962,1962,,,,,3094,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1962_03093,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1962|~|Afghanistan|~|Balkh|~|Aq Kupruk|~|River|~|Valley|~|Limestone|~|Mountains,,
ark:/21198/z11k13d2,ark:/21198/z16d7kmn,Work,Aq Kupruk Orchard in Background 1,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1962_03094.tif,Louis Dupree and Nancy Dupree Collection,,1962,1962,,,,,3095,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1962_03094,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1962|~|Afghanistan|~|Balkh|~|Aq Kupruk|~|Orchards|~|River|~|Cows|~|Hills|~|Trees|~|Landscapes,,
ark:/21198/z1wt0kwx,ark:/21198/z16d7kmn,Work,Aq Kupruk Orchard in Background 2,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1962_03095.tif,Louis Dupree and Nancy Dupree Collection,,1962,1962,,,,,3096,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1962_03095,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1962|~|Afghanistan|~|Balkh|~|Aq Kupruk|~|Orchard|~|Town|~|River|~|Children|~|Trees|~|Hills|~|Landscapes,,
ark:/21198/z1s19v3g,ark:/21198/z16d7kmn,Work,Sheep In Shake Of Rock Shelter Behind Aq Kupruk Around Bend,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1962_03096.tif,Louis Dupree and Nancy Dupree Collection,,1962,1962,,,,,3097,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1962_03096,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1962|~|Afghanistan|~|Balkh|~|Aq Kupruk|~|Sheep|~|Rock Shelter|~|Valley,,
ark:/21198/z1n893bp,ark:/21198/z16d7kmn,Work,Aq Kupruk Orchard in Background 3,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1962_03097.tif,Louis Dupree and Nancy Dupree Collection,,1962,1962,,,,,3098,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1962_03097,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1962|~|Afghanistan|~|Balkh|~|Aq Kupruk|~|Orchard|~|Town|~|River|~|Sheep|~|Hills|~|Trees|~|Landscapes,,
ark:/21198/z1hh8bmz,ark:/21198/z16d7kmn,Work,Guard's Huts in Maize Field at Edge of River,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1962_03098.tif,Louis Dupree and Nancy Dupree Collection,,1962,1962,,,,,3099,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1962_03098,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1962|~|Afghanistan|~|Balkh|~|Aq Kupruk|~|Guard's Huts|~|Maize Fields|~|River|~|Orchards|~|Hills|~|Landscapes,,
ark:/21198/z1cr7kz4,ark:/21198/z16d7kmn,Work,Crow's Rock 1,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1962_03099.tif,Louis Dupree and Nancy Dupree Collection,,1962,1962,,,,,3100,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1962_03099,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1962|~|Afghanistan|~|Balkh|~|Aq Kupruk|~|Crow's Rock,,
ark:/21198/z1806v8k,ark:/21198/z16d7kmn,Work,Crow's Rock 2,,,Masters/othermasters/MEAPmigration/dupreecollection/images/acku_dupree_slide_1962_03100.tif,Louis Dupree and Nancy Dupree Collection,,1962,1962,,,,,3101,5 cm x 5 cm,1 Photograph,35 mm Slide,color photographs,eng,acku_dupree_slide_1962_03100,"Dupree, Louis",,,,,ACKU Library Department Special Collection,still image,copyrighted,info@acku.edu.af,,1962|~|Afghanistan|~|Balkh|~|Aq Kupruk|~|Crow's Rock|~|Rock Shelter,,
