Object Type,Title,Item ARK,Parent ARK,Local identifier,collection.physical,Thumbnail,Item Sequence,File Name,Summary,Contents note,Date.created,Date.normalized,Format.extent,Genre,Language,Name.creator,Name.subject,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Subject geographic,viewingHint,IIIF Manifest URL
Work,"U.S.S Maine Monument, Havana, Cuba",ark:/21198/z1fr1vm9,ark:/21198/z10p2z1k|~|ark:/21198/z1zk7d59,uclalsc_113_b71_f23_cuba_11|~|collection 113|~|box 71|~|folder 23,"Miscellaneous Ephemera Collection, ca. 1800-2004",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gf2skm,,,"Built by the people of Cuba in grateful memory of the crew of the ill-fated U.S. Battleship Maine, which was blown up in the harbor of Havana, Feb., 1898. This catastrophe was an important factor in causing the United States to assist Cuba in her war for independence.",,circa 1900-1969,1900/1969,1 postcard ; 9 cm,picture postcards,eng,,,Havana (Cuba),Roberts & Co.,"University of California, Los Angeles. Library. Department of Special Collections",still image,copyrighted,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2556",Havana (Cuba),individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1fr1vm9/manifest
Work,"Hotel Almendares, Havana, Cuba",ark:/21198/z1b013vt,ark:/21198/z10p2z1k|~|ark:/21198/z1zk7d59,uclalsc_113_b71_f23_cuba_12|~|collection 113|~|box 71|~|folder 23,"Miscellaneous Ephemera Collection, ca. 1800-2004",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16x193h,,,"Havana, luxuriant with tropical foilage and brilliant flowers, gloriously warm, offers every opportunity for pleasant recreation; ocean bathing, swimming, sailing, golfing, tennis playing, polo tournaments, motor-boating, deep-sea fishing, motoring, and races of international importance.",,circa 1920-1969,1920/1969,1 postcard ; 9 cm,picture postcards,eng,,,Havana (Cuba),Roberts & Co.,"University of California, Los Angeles. Library. Department of Special Collections",still image,copyrighted,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2555",Havana (Cuba),individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1b013vt/manifest
Work,"Capitol Building, Havana, Cuba",ark:/21198/z1670c6d,ark:/21198/z10p2z1k|~|ark:/21198/z1zk7d59,uclalsc_113_b71_f23_cuba_13|~|collection 113|~|box 71|~|folder 23,"Miscellaneous Ephemera Collection, ca. 1800-2004",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zd01zp,,,"The Capitol Building is a marvel of Engineering, Sculpture, and Painting. Built at a cost of over sixteen million dollars it represents everything modern in construction and is considered the most beautiful palace in Latin America. One of the greatest features in the interior is the enormous statue representing Cuba.",,circa 1929-1969,1929/1969,1 postcard ; 9 cm,picture postcards,eng,,,Havana (Cuba),Roberts & Co.,"University of California, Los Angeles. Library. Department of Special Collections",still image,copyrighted,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2554",Havana (Cuba),individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1670c6d/manifest
Work,"The Prado, Havana, Cuba",ark:/21198/z12f9mg4,ark:/21198/z10p2z1k|~|ark:/21198/z1zk7d59,uclalsc_113_b71_f23_cuba_14|~|collection 113|~|box 71|~|folder 23,"Miscellaneous Ephemera Collection, ca. 1800-2004",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pz77vh,,,,,circa 1925-1969,1925/1969,1 postcard ; 9 cm,picture postcards,eng,,,Havana (Cuba),Roberts & Co.,"University of California, Los Angeles. Library. Department of Special Collections",still image,copyrighted,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2553",Havana (Cuba),individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz12f9mg4/manifest
Work,"Columbus Cathedral, Havana, Cuba",ark:/21198/z1xp93xx,ark:/21198/z10p2z1k|~|ark:/21198/z1zk7d59,uclalsc_113_b71_f23_cuba_15|~|collection 113|~|box 71|~|folder 23,"Miscellaneous Ephemera Collection, ca. 1800-2004",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ff5rds,,,"Columbus Cathedral, where the remains of Columbus rested for years, before being transferred to Spain. This church is 175 years old.",,circa 1900-1955,1900/1955,1 postcard ; 9 cm,picture postcards,eng,,,Havana (Cuba),Roberts & Co.,"University of California, Los Angeles. Library. Department of Special Collections",still image,copyrighted,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2552",Havana (Cuba) | Catedral de La Habana,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1xp93xx/manifest
Work,"Fifth Avenue at Miramar, Havana, Cuba",ark:/21198/z1sx8c55,ark:/21198/z10p2z1k|~|ark:/21198/z1zk7d59,uclalsc_113_b71_f23_cuba_16|~|collection 113|~|box 71|~|folder 23,"Miscellaneous Ephemera Collection, ca. 1800-2004",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15x47zq,,,"This avenue has now been renamed ""Avenida Carlos Miguel de Cespedes"" in honor of the Secretary of Public Works. It is lined with handsome residences and many colored tropical flower gardens. It joins Havana and ""La Playa"" famous bathing beach.",,circa 1925-1969,1925/1969,1 postcard ; 9 cm,picture postcards,eng,,,Havana (Cuba),Roberts & Co.,"University of California, Los Angeles. Library. Department of Special Collections",still image,copyrighted,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2551",Havana (Cuba),individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sx8c55/manifest
Work,"The Playa, Havana, Cuba",ark:/21198/z1p869xz,ark:/21198/z10p2z1k|~|ark:/21198/z1zk7d59,uclalsc_113_b71_f23_cuba_17|~|collection 113|~|box 71|~|folder 23,"Miscellaneous Ephemera Collection, ca. 1800-2004",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xd30rd,,,"With a gentle, sloping beach of pure white sand, clear blue water, a good restaurant, dancing pavilion, comfortable dressing rooms and all modern conveniences, it is one of the most delightful bathing resorts in the world.",,circa 1900-1969,1900/1969,1 postcard ; 9 cm,picture postcards,eng,,,Havana (Cuba),Roberts & Co.,"University of California, Los Angeles. Library. Department of Special Collections",still image,copyrighted,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2550",Havana (Cuba),individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1p869xz/manifest
Work,"Morro Castle, Havana, Cuba",ark:/21198/z1jh5k56,ark:/21198/z10p2z1k|~|ark:/21198/z1zk7d59,uclalsc_113_b71_f23_cuba_18|~|collection 113|~|box 71|~|folder 23,"Miscellaneous Ephemera Collection, ca. 1800-2004",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p006rf,,,"This fine old fortress of solid stone was built in 1587 by Philip II of Spain of whiom it was said: ""the Sun never sets on his dominions."" In 1762 the English attacked Havana and this fort made a glorious defense, being assaulted by land. The tower was built in 1844 for a lighthouse. Morro Castle being no longer needed as a fortress, is now used as a Military Academy.",,circa 1900-1969,1900/1969,1 postcard ; 9 cm,picture postcards,eng,,,Havana (Cuba),Roberts & Co.,"University of California, Los Angeles. Library. Department of Special Collections",still image,copyrighted,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2549","Havana (Cuba) | Castillo del Morro (Havana, Cuba)",individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1jh5k56/manifest
Work,"Instituto Hispano-Cubano de Historia de América, Sevilla",ark:/21198/z1dr4tgx,ark:/21198/z10p2z1k|~|ark:/21198/z1zk7d59,uclalsc_113_b71_f23_cuba_19|~|collection 113|~|box 71|~|folder 23,"Miscellaneous Ephemera Collection, ca. 1800-2004",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1df8q7z,,,,,circa 1928-1970,1928/1970,1 postcard ; 9 cm,photographic postcards,spa,,,Madrid (Spain),"Gráficas Villarroca, S A.","University of California, Los Angeles. Library. Department of Special Collections",still image,copyrighted,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2548",Madrid (Spain),individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dr4tgx/manifest
Work,Adrian del Valle: Escritor y Periodista de Cuba,ark:/21198/z19042sb,ark:/21198/z10p2z1k|~|ark:/21198/z1zk7d59,uclalsc_113_b71_f23_cuba_20|~|collection 113|~|box 71|~|folder 23,"Miscellaneous Ephemera Collection, ca. 1800-2004",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x76vs,,,"Conferencia dada por el Sr. Carlos Loveira, el día 13 de febrero de 1927, en la Academia Nacional de Artes y Letras. Publicado en Cuba Contemporánea (Marzo, 1927).",,1927,1927,29 pages ; 24 cm,reports,spa,"Loveira, Carlos ","Valle, Adrián del, 1872-",Havana (Cuba),El Siglo XX,"University of California, Los Angeles. Library. Department of Special Collections",text,copyrighted,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2547",,paged,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz19042sb/manifest
Work,The New Deal,ark:/21198/z1573b21,ark:/21198/z10p2z1k|~|ark:/21198/z1zk7d59,uclalsc_113_b71_f23_cuba_21|~|collection 113|~|box 71|~|folder 23,"Miscellaneous Ephemera Collection, ca. 1800-2004",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1x36wh2,,,"Lecture delivered at the study center of the Institute of Welfare and Social Reforms, at Havana, on Thursday the 29 of July, 1937 by Dr. Juan Clemente Zamora, Prof. of Political Science, University of Miami, Fla., Prof. of Political Science, University of Havana, Dean of the Pan-American Institute, Havana",,1937,1937,44 pages ; 17 cm,booklets,eng,"Zamora, Juan Clemente",,Havana (Cuba),Instituto Nacional de Prevision y Reformas Sociales,"University of California, Los Angeles. Library. Department of Special Collections",text,copyrighted,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2546",,paged,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1573b21/manifest
Work,"La Rampa, año 1, num. 1",ark:/21198/z11g2k8d,ark:/21198/z10p2z1k|~|ark:/21198/z1zk7d59,uclalsc_113_b71_f23_cuba_22|~|collection 113|~|box 71|~|folder 23,"Miscellaneous Ephemera Collection, ca. 1800-2004",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17963pn,,,,,1956-12,1956-12,36 pages ; 28 cm,travel guidebooks,spa,Asociacion de Comerciantes de la Calle 23 (La Rampa),,Havana (Cuba),,"University of California, Los Angeles. Library. Department of Special Collections",text,copyrighted,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2545",,paged,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11g2k8d/manifest
Work,Cuba,ark:/21198/z1wq22s3,ark:/21198/z10p2z1k|~|ark:/21198/z1zk7d59,uclalsc_113_b71_f23_cuba_23|~|collection 113|~|box 71|~|folder 23,"Miscellaneous Ephemera Collection, ca. 1800-2004",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1kd3wwv,,,,,circa 1900-1969,1900/1969,36 pages ; 24 cm,travel guidebooks,eng,Cuban Tourist Commission,,Havana (Cuba),,"University of California, Los Angeles. Library. Department of Special Collections",text,copyrighted,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2544",,paged,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1wq22s3/manifest
Work,Picturesque Havana: 20 Selected Views / Recuerdo de la Habana: 20 Vistas Escogidas,ark:/21198/z1s201hv,ark:/21198/z10p2z1k|~|ark:/21198/z1zk7d59,uclalsc_113_b71_f23_cuba_24|~|collection 113|~|box 71|~|folder 23,"Miscellaneous Ephemera Collection, ca. 1800-2004",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xh1q66,,,,20 postcards of Havana,circa 1900-1969,1900/1969,20 postcards ; 9 cm,photographic postcards,spa|~|eng,,,Havana (Cuba),C. Jordi,"University of California, Los Angeles. Library. Department of Special Collections",still image,copyrighted,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2543",,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1s201hv/manifest
Work,Traveler's Guide 1916,ark:/21198/z1n898r4,ark:/21198/z10p2z1k|~|ark:/21198/z1zk7d59,uclalsc_113_b71_f23_cuba_25|~|collection 113|~|box 71|~|folder 23,"Miscellaneous Ephemera Collection, ca. 1800-2004",https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17m26z2,,,Travel guide to Cuba,,1916,1916,132 pages and 1 foldout ; 17 cm,travel guidebooks,spa|~|eng,,,Havana (Cuba),Lorenzo de Castro,"University of California, Los Angeles. Library. Department of Special Collections",text,copyrighted,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2542",,paged,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1n898r4/manifest
