Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Subject.descriptiveTopic,Type.typeOfResource,Rights.copyrightStatus,Subject.conceptTopic,Personal or Corporate Name.sponsor,Subject.corporateName,"Subject.Jones, Marcia : local",Subject.otherTopic,Personal or Corporate Publisher.publisherName,Personal or Corporate Name.photographer,Personal or Corporate Name.designer,Name.creator,Personal or Corporate Name.printer,Personal or Corporate Name.conceptor,Personal or Corporate Name.artist,Personal or Corporate Author,Personal or Corporate Name.musician,Personal or Corporate Name.funder,Personal or Corporate Name.other,Personal or Corporate Name.copyrightHolder,Personal or Corporate Name.writer,Personal or Corporate Name.repository,Personal or Corporate Editor,Language,Coverage.geographic,Personal or Corporate Name.actress,Personal or Corporate Name.artDirector,Type.genre,Personal or Corporate Name.publishingDirector,Rights.permission,Personal or Corporate Name.subject,Rights.servicesContact,Alternate Identifier.local,Title,Alternate Title.other,Description.note,Publisher.placeOfOrigin,Date.creation,Format.dimensions,Alternate Title.translated,Description.inscription,Alternate Title.inscribed,Alternate Title.descriptive,Date.normalized,Relation.hasVersion,Relation.derivedFrom,Description.abstract,Opac url,Bucketeer State,IIIF Access URL
AIDS Posters Collection,ark:/21198/zz001zzfdb,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/21198-zz001zzfdb_1687429_master.tif|~|aidsposters/masters/21198-zz001zzfdb_1687426_master.tif,,,,Ribbons,still image,,Sexually Transmitted Diseases--prevention & control|~|AIDS (Disease)--Prevention|~|Syphilis|~|Acquired Immunodeficiency Syndrome--prevention & control|~|HIV-positive gay men|~|Syphilis--prevention & control,,,,,,,"Lennartz, Marcel",,,,,,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,"Lambrechts, Chris",dut,Belgium,,,posters,,,,,BE054,Één op 40 homo's is hiv-positief [inscribed],Syphilis is back [translated title on reverse]|~|Syfilis is back [title on reverse],"An illustration of a red ribbon on a white background.|~|Reverse: Large black text on a mottled background with a red stripe.|~|Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, item BE054.",Belgium,[2006?],,One in 40 gay men is HIV-positive,"Additional poster text (reverse): Facing facts. Syfilis is terug. Syfilis is overal. Syfilis is een probleem. Heb je wisselende seksuele contacten? Vrij dan veilig en laat je halfjaarlijks testen op soa. Aids en soatelefoon 078 15.15.15, www.sensoa.be. Sensoa. Praat over seks.|~|Translated additional poster text (reverse): Additional poster text (reverse): Facing facts. Syphilis is back. Syphilis is everywhere. Syphilis is a problem. Have you had promiscuous sexual contact? Be  safe and get tested for STDs every six months. AIDS and STD hotline 078 15.15.15, www.sensoa.be. Sensoa. Talk about sex.|~|Additional poster text: Facing facts. Vermijd hiv; niet mensen met hiv. Aids en soatelefoon 078 15.15.15, www.sensoa.be. Sensoa. Praat over seks.|~|Translated additional poster text: Facing facts. Avoid HIV; not those living with HIV. AIDS and STD hotline 078 15.15.15, www.sensoa.be. Sensoa. Talk about sex.",,,2006,,,,,,
AIDS Posters Collection,ark:/21198/zz001zzfq0,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/21198-zz001zzfq0-1-master.tif|~|aidsposters/masters/21198-zz001zzfq0-2-master.tif,,,,Graffiti|~|Young adults|~|Feet $z California $z Los Angeles|~|Sexual attraction|~|Drawings,still image,,Safe sex in AIDS prevention|~|Sexually Transmitted Diseases--prevention & control|~|AIDS (Disease)--Prevention|~|Safe Sex|~|Sexually transmitted diseases--Prevention|~|Sex education|~|AIDS (Disease)--Canada,,,,,,,,Public Health Agency of Canada,,,,,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,eng|~|fre,Canada,,,posters,,,,,CN089,Talk about safer sex : change the world one action at a time [inscribed],Parlez du sécurisexe : change le monde une action à la fois,"In small print at the bottom of the poster: ""Production of this resource has been made possible by a financial contribution from the Public Health Agency of Canada"" and ""The views expressed herein do not necessarily represent the official policy of the Public Health Agency of Canada.""|~|On the poster is writing that looks like doodling, and has stick figues of a male and female, and the words ""Talk about safer SX."" (sic)|~|There is a website listed at the bottom of the picture: www.campaign.cpha.ca (and www.campagne.cpha.ca) on the French language side.|~|Poster is in English on one side and in French on the other.  The images are identical.  Shown is perhaps a living room, and just shows two pairs of feet.  One is presumably a man, and it appears a woman maybe sitting on his lap.  Her feet are between his and his legs are spread.  He is wearing walking shoes, and she is in flip-flops.  A sofa can be seen on the wall beside them.  They may be seated on a love seat, or another sofa.   There is a phrase that looks like Dymo tape across the picture, and it says ""Talk about safer Sex"" (and ""Parlez du securisexe"" on the reverse side.)|~|Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, item CN089.",Canada,[Between 2005-2008?],,,,,,2005/2008,,,,,,
AIDS Posters Collection,ark:/21198/zz001zzfrh,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/21198-zz001zzfrh-1-master.tif|~|aidsposters/masters/21198-zz001zzfrh-2-master.tif,,,,Young adults|~|Feet $z California $z Los Angeles|~|Sex education|~|Drawings,still image,,Safe sex in AIDS prevention|~|Sexually Transmitted Diseases--prevention & control|~|AIDS (Disease)--Prevention--Pictorial works|~|Safe Sex|~|Sexually transmitted diseases--Prevention|~|Sexual attraction|~|AIDS (Disease)--Canada,,,,,,,,Public Health Agency of Canada,,,,,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,eng|~|fre,Canada,,,posters,,,,,CN090,Use protection [Inscribed],Protegez-vous,"On the poster is writing that looks likes doodling and has stick figures.  And at the bottom of the poster is the phrase ""Change the world. One action at a time""|~|The poster shows the bottoms of two pairs of feet surrounded by a blanket presumably in what looks like a coital embrace.  Both the English languge and French langauge have the identical shot.|~|The number ""02"" is at the lower right corner of the picture.|~|Poster is in English on one side and in French on the other.  The images are identical, with just the language difference in text.|~|Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, item CN090.",Canada,[Between 2005 - 2008?],,,,,,2005/2008,,,,,,
AIDS Posters Collection,ark:/21198/zz001zzfs1,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/21198-zz001zzfs1-1-master.tif|~|aidsposters/masters/21198-zz001zzfs1-2-master.tif,,,,Young adults|~|Feet $z California $z Los Angeles|~|Sex education,still image,,Sexually Transmitted Diseases--prevention & control|~|AIDS (Disease)--Prevention|~|Sexually transmitted diseases--Prevention,,,,,Public Health Agency of Canada,,,,,,,,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,eng|~|fre,Canada,,,posters,,,,,CN091,Get tested = Passez un test [inscribed],Passez un test,"Two-sided poster, with French text on one side and English on the other.|~|Poster shows the lower half of a young man's body seated on a physician's examination table. He is in a t-shirt and shorts, and is barefoot.  He also has a necklace with ""dogtags"" attached. There are hand-drawn male and female symbols on the poster. There is also a cartoon of a male figure with a cartoon bubble over his head containing an ""equation"" of a male stick figure plus a female stick figure equals a heart. To the right, a female figure's bubble has the words ""Talk about safer SX [i.e. sex]"". In the French version, the cartoon is similar, but the bubble over the female figure's head says ""Parlons securi-SX.""|~|Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, item CN091.|~|""Production of the resource has been made possible by a financial contribution from the Public Health Agency of Canada. The views expressed herein do not necessarily represent the official policy of the Public Health Agency of Canada.""",Canada,[2005-2008?],,,"English version: Inscription at bottom says"" Change the world... One action at a time."" There is a website listed at the bottom of the picture:  www.campaign.cpha.ca",,,2005/2008,,,,,,
AIDS Posters Collection,ark:/21198/zz001zzgc9,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/21198-zz001zzgc9-1-master.tif|~|aidsposters/masters/21198-zz001zzgc9-2-master.tif,,,,African Americans|~|Ribbons|~|Hand prints,still image,,AIDS (Disease)--Prevention|~|Acquired Immunodeficiency Syndrome--prevention & control,,,,,"Plan (Organization)|~|Institut Pasteur (Paris, France)|~|Planète Jeunes",,,,,,,,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,fre,France,,,posters,,,,,FR153,Mon ami a le sida c'est mon ami! [inscribed],,"Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, item FR153.|~|Side 1 of the poster shows two African Americans embracing and smiling. Their faces pressed against each other and their eyes are closed. The women has her hand on the other person's cheek.  Two handprints are on the left of the image.Side 2 of the poster has several articles with various pictures of African Americans.",Paris (France),[between 1986 and 2004],,My friend with AIDS is still my friend!,Translated poster text (side 1): all united against AIDS. (Side 2) Integral ... myself! And ... my parents! And even more ideas ... my pals!  My lover ... my love!|~|Additional poster text (Side 1): tous solidaires contre le sida. (Side 2 headlines) Solidaire de... moi-même! Et de... mes parents! Et encore plus d'idées... Mes copains et copines! Mon amoureux... mon amoureuse!,,,1986/2004,,,,,,
AIDS Posters Collection,ark:/21198/zz001zzgr0,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/21198-zz001zzgr0_1687594_master.tif|~|aidsposters/masters/21198-zz001zzgr0_1687597_master.tif,,,,Women|~|Silhouettes,still image,,AIDS (Disease)|~|AIDS (Disease) in women,"Sol en si (Association)|~|AIDES ""Groupes sourds""|~|ARCAT (Paris, France)|~|African Positive Association|~|Crips Île-de-France|~|Femmes Réduction des Risques et SExualité|~|Association Nationale des Centres d'Interruption de Grossesse et de Contraception|~|Coordination des associations pour le droit à l'avortement et à la contraception|~|Assocation of Femmes Médiatrices Sociales et Culturelles de Pantin|~|Ikambere (Women's shelter: Saint-Denis, France)|~|Elle Ephémère - LFMR|~|Médecins du monde|~|Unité de Réflexion et d'Action des Communautés Africaines|~|Société Française de Lutte contre le Sida|~|Couples contre le SIDA",,,,"Sida Info Service (France)|~|Sidaction|~|ACT UP Paris (Organization)|~|International Planned Parenthood Federation|~|France. Ministère de la santé, de la jeunesse et des sports|~|Ile-de-France (France). $b Préfecture",,,,,,Rue des signes (Firm),,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,fre,France,,,posters,,,,,FR164,Femmes & VIH 1997-2007. Où en sommes-nous 10 ans après? [inscribed],,"Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, item FR164.|~|Poster (side 2) shows a silhoutte of a women with a hole in her chest.",Paris (France),2007,,Women and HIV 1997-2007. Where are we after 10 years?,"Translated poster text: Day of reflections on November 30th and December 1st, 2007. Theatre Gymnasium|~|Addition poster text: Journée de réflexions les 30 novembre et 1er décembre 2007. Théâtre du Gymnase 38. bd Bonne Nouvelle - 75010 Paris M Bonne Nouvelle. Contact - inscriptions - renseignements : 01 48 07 80 79 colloque-femmes-et-vih@ras.eu.org",,,2007,,,,,,
AIDS Posters Collection,ark:/21198/zz001zzn01,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/21198-zz001zzn01-1-master.tif|~|aidsposters/masters/21198-zz001zzn01_1701479_master.tif,,,,Medical personnel|~|Televisions|~|Beds|~|Alcoholic beverages|~|Men|~|Medical equipment & supplies|~|Women|~|Restaurant workers|~|Restaurants|~|Children|~|Sick persons|~|Stores & shops|~|Families|~|Wheelchairs|~|Medical offices|~|Nurses|~|Crying|~|Hospitals|~|Vending machines|~|Trucks|~|Infusion therapy,still image,,Safe sex in AIDS prevention|~|HIV Infections--therapy|~|AIDS (Disease)--Patients|~|HIV-positive persons|~|HIV (Viruses)--Treatment|~|Acquired Immunodeficiency Syndrome--therapy|~|AIDS (Disease)--Prevention|~|Safe Sex|~|AIDS (Disease)--Patients--Care|~|AIDS (Disease)--Diagnosis|~|Acquired Immunodeficiency Syndrome--transmission|~|Acquired Immunodeficiency Syndrome--diagnosis|~|HIV infections--Prevention|~|HIV infections--Diagnosis|~|Acquired Immunodeficiency Syndrome--prevention & control|~|AIDS (Disease)--Transmission|~|HIV Infections--transmission|~|HIV Infections--prevention & control|~|HIV infections--Treatment|~|HIV infections--Transmission,,,,,Migrations Santé,,,,,,"Péchoín, M-H",,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,fre,France,,,posters,,,,,FR289|~|FR288,Triste historie de M. Rouletabille [inscribed],"SIDA, 12 affiches pour en parler","Poster number 8 in series: "" Le SIDA, 12 affiches pour en parler.""|~|Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, item FR288.|~|Poster tells a story in pictures. On the first picture two men are sitting in the restaurant and drinking alcohol. The waitress is bringing cake. The name of one of them is Mr. Rouletabille. There are trucks can be seen in the window of the restaurant, so the men possibly are truck drivers. On the second picture Mr. Rouletabille sitting with his wife and child in the living room and watching TV. The program that they are watching is about AIDS. The big letters “AIDS” are on the screen. On the next picture Mr. Rouletabille is sitting in the doctor’s office and talking to the doctor. Then nurse is taking his blood for the test. On the next picture Mr. Rouletabille is sitting in the doctor’s office again and crying. Possibly doctor had told him the bad news, that he has AIDS. Then doctor makes physical exam of Mr. Rouletabille. On the next picture the nurse is taking the blood for test from Mrs. Rouletabille. Then Mr. Rouletabille possibly is buying condoms from the vending-machine in the store. His child is standing nearby and drinking soda. On the next picture Mr. Rouletabille is working, driving the truck. Then Mr. Rouletabille is sitting in the wheelchair and the nurse is taking him to the doctor. After that Mr. Rouletabille is driving the truck again, but now he looks very sick. On the last picture Mr. Rouletabille is lying in the bed in the hospital with infusion. His wife is standing near him and handing his hand. Poster is drawn black and white.",Paris (France),[2001],,Sad story of Mr. Rouletabille,,,,2001,,,,,,
AIDS Posters Collection,ark:/21198/zz0002wfth,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/21198-zz0002wfth-1-master.tif,,,,"Faces|~|Women, Black",still image,unknown,"Safe sex in AIDS prevention|~|AIDS (Disease)--Prevention|~|HIV infections--Diagnosis|~|Prostitutes|~|Acquired Immunodeficiency Syndrome--prevention & control|~|Women, Black|~|Hotlines (Communication)--Italy",Gruppo C |~|Progetto Sirio|~|Azienda Ulss 20 di Verona,,,,"Centro di medicina preventiva (Verona, Italy)",,,,,,,,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,ita,Italy,,,posters,,,,,IT017,Be free [inscribed],,"Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, item IT017.|~|This poster is targeted at black prostitutes and sex workers, many of whom emigrated to Italy's major cities from North Africa. The language of the text is in Italian, English and French so that it can be understood by women who came from other countries.|~|Most of the poster is a striking graphic of a woman's face, with white areas suggesting her forehead, nose and cheeks, and with blue-green eyeshadow and red lips, all against a dark brown background.  The cheeks, forehead, nose, eyes and lips are composed of very small graphics of female sex workers in various suggestive poses, but they cannot be seen distinctly until the poster is viewed close-up. The brown background suggests that the woman is black.|~|Date on back of poster, 2006, reflects when the vendor received  the copy later acquired by the UCLA Library.",Verona (Italy),[between 1986 and 2004],,,Translated poster text: Help line. AIDS information. Anonymous HIV testing. Unprotected sexual relations are a risk to health. Call Gruppo C of the Center for Preventive Medicine.|~|Additional poster text: 045 8622232 Help line. Informazioni AIDS. Test HIV in anonimato. Per uscire dalla prostituzione e dallo sfruttamento; For freedom from prostitution and from sexual exploitation; Pour sortir de la prostitution et de l'exploitation. I rapporti sessuali non protetti sono un rischio per la salute. Chiama il Gruppo C del Centro di Medicina Preventiva. Safe sex only [in background of poster].,,,1986/2004,,,,,failed,
AIDS Posters Collection,ark:/21198/zz0002wg2m,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/21198-zz0002wg2m-1-master.tif,,,,Photographs|~|People,still image,unknown,HIV-positive persons|~|HIV infections|~|HIV infections--Social aspects,Body Shop (Firm),,,,AIDS-Hilfe Schweiz,,,,,,,,,,"Roddick, Anita, 1942-2007",,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,ger,Switzerland,,,posters,,,,,SZ071,AIDS geht uns alle an [inscribed],,"Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, item SZ071.|~|Four photographs are atop a red background.  Each photograph contains HIV positive and negative people with a message about their lives in their own handwriting.",Switzerland,[between 1987 and 2004],,AIDS concerns us all,"Diese Krankheit geht jeden einzelnen von uns an; wir sollten daher HIV-Positiven stets beistehen und ihnen Mut machen / Anita Roddick, Grüunderin von The Body Shop (This illness concerns each of us; therefore we should always assist HIV positive persons and encourage them)",,,1987/2004,,,,,failed,
AIDS Posters Collection,ark:/21198/zz0002wg4n,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/21198-zz0002wg4n-1-master.tif,,,,,still image,unknown,AIDS (Disease)|~|Acquired Immunodeficiency Syndrome,,,,,Aids Fonds,,,,,,,,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,dut,Netherlands,,,posters,,,,,NE052,Één dag per jaar mag't still zijn rond aids [inscribed],,"Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, item NE052.|~|The text is printed in large white letters on a red background.|~|Date on back of poster, 2006, reflects when the vendor received the copy later acquired by the UCLA Library.",Netherlands,[Between 1998 and 2006],,One day a year when AIDS isn't still around,Additional poster text: 28 Mei Aids Memorial Day.  Aids Fonds giro 8957.,,,1998/2006,,,,,failed,
AIDS Posters Collection,ark:/21198/zz0002wmrw,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/21198-zz0002wmrw-1-master.tif,,,,Men|~|Women|~|Couples,still image,unknown,Sexually transmitted diseases|~|AIDS (Disease)--Prevention|~|Safe Sex|~|Condoms|~|Acquired Immunodeficiency Syndrome--prevention & control,,,,,SOA AIDS Nederland,,,,,,,,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,dut,Netherlands,,,posters,,,,,NE051,Verziek je nieuwe relatie niet met een oude soa [transcribed],,"Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, item NE051.|~|Translated additional poster text: Are you safe without a condom?  Vrij soa vrij.nl.|~|A young couple is reclining in a park.  Next to them are the ""shadows"" of every past sexual contact they've had.  Each person is labeled with the number of his or her sexual partners and whether or not he or she has been tested for STDs.|~|Date on back of poster, 2006, reflects when the vendor received the copy later acquired by the UCLA Library.",Netherlands,[2006?],,Don't ruin your new relationship with an old STD,Additional poster text: Lekker met of veilig zonder condoom?  Vrij soa vrij.nl.,,,2006,,,,,failed,
AIDS Posters Collection,ark:/21198/zz001zzmz1,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/21198-zz001zzmz1-1-master.tif,,,,Medical personnel|~|Bars|~|Beds|~|Men|~|Medicines|~|Medical equipment & supplies|~|Women|~|Testing|~|Smiling|~|Sick persons|~|Singing|~|Hypodermic syringes|~|Telephones|~|Calendars|~|Medical offices|~|Vending machines|~|Infusion therapy,still image,,Safe Sex|~|Communicable diseases--Prevention|~|HIV infections--Prevention|~|HIV Infections--prevention & control|~|Bacterial diseases--Prevention.|~|Bacterial Infections,,,,,Migrations Santé,,,,,,"Péchoín, M-H",,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,fre,France,,,posters,,,,,FR287,"C'est Pierrot, il a eu chaud [inscribed]","SIDA, 12 affiches pour en parler","Poster number 7 in series: "" Le SIDA, 12 affiches pour en parler.""|~|Poster tells a story in pictures. On the first one the man Pierrot is sitting in the bar with his friends. On the second picture he is visiting a sick man, who is lying in the bed with infusion. On the next one Pierrot is sitting in the doctor’s office with worry expression on his face. Then the nurse is taking his blood to do the test. The calendar on the wall shows that the date is May 3rd. On the next picture Pierrot is visiting doctor again possibly to find out what the blood test result. The date on the calendar is May 18th. The doctor gives him some papers to read and possibly telling him to be careful. On the next picture Pierrot possibly buying condoms from the vending-machine. Then the nurse is taking his blood for blood test again. The calendar in the nurse’s office shows that the date is August 3rd, which means that 3 month have passed by. On the next picture Pierrot is sitting in the doctor’s office. The date on the calendar is August 18th. The doctor is smiling, which possibly means that Pierrot doesn’t have anything serious. On the last picture Pierrot is going with the little box of medication and singing. Poster is drawn black and white.|~|Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, item FR287.",Paris (France),[2001],,"This is Pierrot, he was hot",,,,2001,,,,,failed,
AIDS Posters Collection,ark:/21198/zz001zzn22,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/21198-zz001zzn22-1-master.tif,,,,Medical personnel|~|Touch|~|Men|~|Medical equipment & supplies|~|Women|~|Infants|~|Pregnant women|~|Stores & shops|~|Medical offices|~|Pregnancy|~|Nurses|~|Bottles|~|Couches|~|Crying|~|Clothing & dress|~|Vending machines|~|Bottle feeding,still image,,HIV-positive women|~|AIDS (Disease) in children|~|Safe sex in AIDS prevention|~|AIDS (Disease)--Patients|~|AIDS (Disease) in women|~|AIDS (Disease)--Prevention|~|Safe Sex|~|Acquired Immunodeficiency Syndrome--transmission|~|AIDS (Disease)--Risk factors|~|HIV infections--Prevention|~|HIV infections--Diagnosis|~|Acquired Immunodeficiency Syndrome--prevention & control|~|AIDS (Disease)--Transmission|~|HIV Infections--transmission|~|HIV Infections--prevention & control|~|HIV infections--Transmission,,,,,Migrations Santé,,,,,,"Péchoín, M-H",,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,fre,France,,,posters,,,,,FR290,"Liliana, séropositive et maman [inscribed]","SIDA, 12 affiches pour en parler","Poster number 9 in series: "" Le SIDA, 12 affiches pour en parler.""|~|Poster tells a story in pictures. On the first picture young woman is looking on the baby clothes in the store window. On the second picture the same woman is sitting in the gynecologist’s office, the woman is pregnant. Then the nurse is taking woman’s blood for testing. On the next picture the women is sitting in the office of another doctor and crying. Possibly the doctor had told her the bad news that she is HIV positive. On the next picture the woman is sitting with her husband on a couch at home, and her husband is trying to calm her down and show her his support by touching her shoulder. On the next picture nurse is taking blood from the husband’s hand for testing. Then he is buying condoms from the vending-machine. On the next picture the same young woman feeding a baby with milk from a bottle. On the last picture two nurses are possibly taking the blood from the baby to test, or giving the baby a treatment in vein. Poster is drawn black and white.|~|Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, item FR290.",Paris (France),[2001],,"Liliana, HIV positive, and her mom",,,,2001,,,,,failed,
AIDS Posters Collection,ark:/21198/zz001zzn64,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/21198-zz001zzn64-1-master.tif,,,,Penis|~|Condoms|~|Condom use|~|Genitals,still image,,Safe sex in AIDS prevention|~|Sexually Transmitted Diseases--prevention & control|~|Safe Sex|~|Sexually transmitted diseases--Prevention,,,,,Migrations Santé,,,,,,"Péchoín, M-H",,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,fre,France,,,posters,,,,,FR294,Préservatifs masculins : mode d'emploi [inscribed],"SIDA, 12 affiches pour en parler","Poster shows in eight pictures how to use condom. Poster is drawn black and white.|~|Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, item FR294.|~|Poster number 12M in series: "" Le SIDA, 12 affiches pour en parler.""",Paris (France),[2001],,Male condom : manual,,,,2001,,,,,failed,
AIDS Posters Collection,ark:/21198/zz001zzpqc,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/21198-zz001zzpqc-1-master.tif,,,,Angels|~|Condoms|~|Wings,still image,,Safe sex in AIDS prevention|~|Heaven|~|Safe Sex,,,,,Bundeszentrale für Gesundheitliche Aufklärung (Germany),,"Kolvenbach, Marcel|~|Meyer, Guido",,,,,,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,ger,Germany,,,posters,,,,,GW271,Wie im. 7. Himmel [inscribed],Mach's mit|~|Gib AIDS keine Chance,"Part of two public AIDS campaigns in Germany: Gib AIDS keine Chance [Don't give AIDS a chance], and Mach's mit [Join in].|~|A pink rolled up condom is depicted between two angel wings, as though flying in heaven.|~|Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, item GW271.",Köln,2006?,,As in 7th heaven,,,,2006,,,,,failed,
AIDS Posters Collection,ark:/21198/zz001zzr0g,ark:/21198/zz0002ksb2,2,Completed,Work,aidsposters/masters/21198-zz001zzr0g-1-master.tif,,,,Circles,still image,,Hotlines (Communication)|~|Condoms|~|Birth control,,,,,Nederlandse Vereniging voor Seksuele Hervorming,,"Vries, Sepp de",,,,"Hoofdakker, Jurgen van den|~|Super, Sven",,,,,,,Louise M. Darling Biomedical Library. History and Special Collections for the Sciences,,dut,Netherlands,,,posters,,,,,NE054,Kinder opvang [inscribed],,"The words ""Kinder opvang"" in child-like colorful letters in front of concentric blue circles.|~|Poster held by Louise M. Darling Biomedical Library. History & Special Collections, Collection no. 306, item NE054.",Hague (Netherlands),[between 1987 and 2009],,Child care,"Translated additional poster text: For the best condoms, call the first serious sex hotline in The Netherlands. NVSH 06-9212 ca. f1. -p/m.|~|Additional poster text: Voor de beste condooms bel je de eerste serieuze sexlijn van Nederland. NVSH 06-9212 ca. f1. -p/m.",,,1987/2009,,,,,failed,
