Object Type,Title,Item ARK,Parent ARK,File Name,Thumbnail,AltTitle.other,Item Sequence,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject geographic,Subject temporal,viewingHint,Subject topic,volume | issue,IIIF Manifest URL
Work,Man Sen Yat Po 1953-02-12,ark:/21198/z1z33xrs,ark:/21198/z1h15123|~|ark:/21198/z1zk7d59,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sx8c72,,,,,,1953-02-12,,,,,8 pages,,newspapers,chi,,,,,Havana (Cuba),,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,Chinese--Cuba | Chinese newspapers--Cuba,vol. 32 | no. 10235,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1z33xrs/manifest
Work,Man Sen Yat Po 1953-02-13,ark:/21198/z1tb361v,ark:/21198/z1h15123|~|ark:/21198/z1zk7d59,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rz1b37,,,,,,1953-02-13,,,,,8 pages,,newspapers,chi,,,,,Havana (Cuba),,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,Chinese--Cuba | Chinese newspapers--Cuba,vol. 32 | no. 10236,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tb361v/manifest
Work,Man Sen Yat Po 1953-02-14,ark:/21198/z1pp14qf,ark:/21198/z1h15123|~|ark:/21198/z1zk7d59,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qz4909,,,,,,1953-02-14,,,,,8 pages,,newspapers,chi,,,,,Havana (Cuba),,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,Chinese--Cuba | Chinese newspapers--Cuba,vol. 32 | no. 10237,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1pp14qf/manifest
Work,Man Sen Yat Po 1953-02-16,ark:/21198/z1jx0cz8,ark:/21198/z1h15123|~|ark:/21198/z1zk7d59,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pz77wz,,,,,,1953-02-16,,,,,8 pages,,newspapers,chi,,,,,Havana (Cuba),,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,Chinese--Cuba | Chinese newspapers--Cuba,vol. 32 | no. 10238,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1jx0cz8/manifest
Work,Man Sen Yat Po 1953-02-17,ark:/21198/z1f49n68,ark:/21198/z1h15123|~|ark:/21198/z1zk7d59,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p28x6p,,,,,,1953-02-17,,,,,8 pages,,newspapers,chi,,,,,Havana (Cuba),,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,Chinese--Cuba | Chinese newspapers--Cuba,vol. 32 | no. 10239,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1f49n68/manifest
Work,Man Sen Yat Po 1953-02-18,ark:/21198/z19c8wf3,ark:/21198/z1h15123|~|ark:/21198/z1zk7d59,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n31w1d,,,,,,1953-02-18,,,,,8 pages,,newspapers,chi,,,,,Havana (Cuba),,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,Chinese--Cuba | Chinese newspapers--Cuba,vol. 32 | no. 10240,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz19c8wf3/manifest
Work,Man Sen Yat Po 1953-02-19,ark:/21198/z15m84r6,ark:/21198/z1h15123|~|ark:/21198/z1zk7d59,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m34tv5,,,,,,1953-02-19,,,,,8 pages,,newspapers,chi,,,,,Havana (Cuba),,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,Chinese--Cuba | Chinese newspapers--Cuba,vol. 32 | no. 10241,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15m84r6/manifest
Work,Man Sen Yat Po 1953-02-20,ark:/21198/z11v7d1w,ark:/21198/z1h15123|~|ark:/21198/z1zk7d59,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k37spb,,,,,,1953-02-20,,,,,8 pages,,newspapers,chi,,,,,Havana (Cuba),,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,Chinese--Cuba | Chinese newspapers--Cuba,vol. 32 | no. 10242,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11v7d1w/manifest
Work,Man Sen Yat Po 1953-02-21,ark:/21198/z1x36wkz,ark:/21198/z1h15123|~|ark:/21198/z1zk7d59,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j40rkz,,,,,,1953-02-21,,,,,8 pages,,newspapers,chi,,,,,Havana (Cuba),,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,Chinese--Cuba | Chinese newspapers--Cuba,vol. 32 | no. 10243,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1x36wkz/manifest
Work,Man Sen Yat Po 1953-02-23,ark:/21198/z1sf4v8z,ark:/21198/z1h15123|~|ark:/21198/z1zk7d59,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h43qjx,,,,,,1953-02-23,,,,,8 pages,,newspapers,chi,,,,,Havana (Cuba),,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,Chinese--Cuba | Chinese newspapers--Cuba,vol. 32 | no. 10244,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sf4v8z/manifest
Work,Man Sen Yat Po 1953-02-25,ark:/21198/z1np43h5,ark:/21198/z1h15123|~|ark:/21198/z1zk7d59,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1g46pf0,,,,,,1953-02-25,,,,,8 pages,,newspapers,chi,,,,,Havana (Cuba),,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,Chinese--Cuba | Chinese newspapers--Cuba,vol. 32 | no. 10245,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1np43h5/manifest
Work,Man Sen Yat Po 1953-02-26,ark:/21198/z1hx3bqj,ark:/21198/z1h15123|~|ark:/21198/z1zk7d59,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f78bn1,,,,seems to be missing last two pages,,1953-02-26,,,,,6 pages,,newspapers,chi,,,,,Havana (Cuba),,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,paged,Chinese--Cuba | Chinese newspapers--Cuba,vol. 32 | no. 10246,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1hx3bqj/manifest
Work,Man Sen Yat Po 1958-03-12,ark:/21198/z1d52kzp,ark:/21198/z1h15123|~|ark:/21198/z1zk7d59,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ns2t0d,,,,Front page missing,,1958-03-12,,,,,4 pages,,newspapers,chi,,,,,Havana (Cuba),,Casa de Artes y Tradiciones Chinas,text,,"mantonia@patrimonio.ohc.cu, barriochino@patrimonio.ohc.cu",,,,individuals,Chinese--Cuba | Chinese newspapers--Cuba,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1d52kzp/manifest
