"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","Subject.descriptiveTopic","Type.typeOfResource","Subject.conceptTopic","Rights.copyrightStatus","Language","Coverage.geographic","Rights.publicationStatus","Name.repository","Publisher.publisherName","Subject.corporateName","Type.genre","Name.manufacturer","Name.subject","Name.printer","Name.retailer","Name.designer","Rights.rightsHolderContact","Name.artist","Name.creator","Name.sponsor","AltTitle.uniform","Title","Format.dimensions","Description.caption","Publisher.placeOfOrigin","Date.normalized","Date.creation","Description.note","AltTitle.other","Format.extent","AltTitle.descriptive","Alternate Title.former","AltTitle.translated","Opac url","Description.abstract","Bucketeer State","IIIF Access URL"
"Patent Medicine Cards","ark:/21198/zz0002hbqk/5j11527b","ark:/21198/zz0002hbqk","","","Page","patentmedcards/masters/21198-zz0002hbqk-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hbqk%2F5j11527b"
"Patent Medicine Cards","ark:/21198/zz0002hbqk/j6085v43","ark:/21198/zz0002hbqk","","","Page","patentmedcards/masters/21198-zz0002hbqk-2-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hbqk%2Fj6085v43"
"Patent Medicine Cards","ark:/21198/zz0002hbr3/cq70xq2z","ark:/21198/zz0002hbr3","","","Page","patentmedcards/masters/21198-zz0002hbr3-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hbr3%2Fcq70xq2z"
"Patent Medicine Cards","ark:/21198/zz0002hbr3/h233mr5k","ark:/21198/zz0002hbr3","","","Page","patentmedcards/masters/21198-zz0002hbr3-2-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hbr3%2Fh233mr5k"
"Patent Medicine Cards","ark:/21198/zz0002hbsm/dx808482","ark:/21198/zz0002hbsm","","","Page","patentmedcards/masters/21198-zz0002hbsm-2-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hbsm%2Fdx808482"
"Patent Medicine Cards","ark:/21198/zz0002hbsm/j994mq6s","ark:/21198/zz0002hbsm","","","Page","patentmedcards/masters/21198-zz0002hbsm-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hbsm%2Fj994mq6s"
"Patent Medicine Cards","ark:/21198/zz0002hbt4/9t91td09","ark:/21198/zz0002hbt4","","","Page","patentmedcards/masters/21198-zz0002hbt4-2-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hbt4%2F9t91td09"
"Patent Medicine Cards","ark:/21198/zz0002hbt4/ts129s09","ark:/21198/zz0002hbt4","","","Page","patentmedcards/masters/21198-zz0002hbt4-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hbt4%2Fts129s09"
"Patent Medicine Cards","ark:/21198/zz0002hbvn/21540j9h","ark:/21198/zz0002hbvn","","","Page","patentmedcards/masters/21198-zz0002hbvn-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hbvn%2F21540j9h"
"Patent Medicine Cards","ark:/21198/zz0002hbvn/qm41pd3d","ark:/21198/zz0002hbvn","","","Page","patentmedcards/masters/21198-zz0002hbvn-2-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hbvn%2Fqm41pd3d"
"Patent Medicine Cards","ark:/21198/zz0002hbw5/h294qr04","ark:/21198/zz0002hbw5","","","Page","patentmedcards/masters/21198-zz0002hbw5-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hbw5%2Fh294qr04"
"Patent Medicine Cards","ark:/21198/zz0002hbw5/x544kv3s","ark:/21198/zz0002hbw5","","","Page","patentmedcards/masters/21198-zz0002hbw5-2-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hbw5%2Fx544kv3s"
"Patent Medicine Cards","ark:/21198/zz0002hbxp/hx770z66","ark:/21198/zz0002hbxp","","","Page","patentmedcards/masters/21198-zz0002hbxp-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hbxp%2Fhx770z66"
"Patent Medicine Cards","ark:/21198/zz0002hbxp/r943bh55","ark:/21198/zz0002hbxp","","","Page","patentmedcards/masters/21198-zz0002hbxp-2-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hbxp%2Fr943bh55"
"Patent Medicine Cards","ark:/21198/zz0002hbz6/9r43fs81","ark:/21198/zz0002hbz6","","","Page","patentmedcards/masters/21198-zz0002hbz6-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hbz6%2F9r43fs81"
"Patent Medicine Cards","ark:/21198/zz0002hbz6/x3471p1v","ark:/21198/zz0002hbz6","","","Page","patentmedcards/masters/21198-zz0002hbz6-2-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hbz6%2Fx3471p1v"
"Patent Medicine Cards","ark:/21198/zz0002hc06/rq25444t","ark:/21198/zz0002hc06","","","Page","patentmedcards/masters/21198-zz0002hc06-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hc06%2Frq25444t"
"Patent Medicine Cards","ark:/21198/zz0002hc06/rw10r38z","ark:/21198/zz0002hc06","","","Page","patentmedcards/masters/21198-zz0002hc06-2-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hc06%2Frw10r38z"
"Patent Medicine Cards","ark:/21198/zz0002hc1q/8x39bn24","ark:/21198/zz0002hc1q","","","Page","patentmedcards/masters/21198-zz0002hc1q-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hc1q%2F8x39bn24"
"Patent Medicine Cards","ark:/21198/zz0002hc1q/s101xj2z","ark:/21198/zz0002hc1q","","","Page","patentmedcards/masters/21198-zz0002hc1q-2-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hc1q%2Fs101xj2z"
"Patent Medicine Cards","ark:/21198/zz0002hc27/7w96vk3x","ark:/21198/zz0002hc27","","","Page","patentmedcards/masters/21198-zz0002hc27-2-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hc27%2F7w96vk3x"
"Patent Medicine Cards","ark:/21198/zz0002hc27/wc82cd91","ark:/21198/zz0002hc27","","","Page","patentmedcards/masters/21198-zz0002hc27-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hc27%2Fwc82cd91"
"Patent Medicine Cards","ark:/21198/zz0002hc3r/2h63jf0w","ark:/21198/zz0002hc3r","","","Page","patentmedcards/masters/21198-zz0002hc3r-2-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hc3r%2F2h63jf0w"
"Patent Medicine Cards","ark:/21198/zz0002hc3r/5p33500x","ark:/21198/zz0002hc3r","","","Page","patentmedcards/masters/21198-zz0002hc3r-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hc3r%2F5p33500x"
"Patent Medicine Cards","ark:/21198/zz0002hc48/jc32qh62","ark:/21198/zz0002hc48","","","Page","patentmedcards/masters/21198-zz0002hc48-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hc48%2Fjc32qh62"
"Patent Medicine Cards","ark:/21198/zz0002hc48/r460k85c","ark:/21198/zz0002hc48","","","Page","patentmedcards/masters/21198-zz0002hc48-2-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hc48%2Fr460k85c"
"Patent Medicine Cards","ark:/21198/zz0002hc5s/1727d41c","ark:/21198/zz0002hc5s","","","Page","patentmedcards/masters/21198-zz0002hc5s-2-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hc5s%2F1727d41c"
"Patent Medicine Cards","ark:/21198/zz0002hc5s/4z77q58j","ark:/21198/zz0002hc5s","","","Page","patentmedcards/masters/21198-zz0002hc5s-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hc5s%2F4z77q58j"
"Patent Medicine Cards","ark:/21198/zz0002hc69/bz70dx1n","ark:/21198/zz0002hc69","","","Page","patentmedcards/masters/21198-zz0002hc69-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hc69%2Fbz70dx1n"
"Patent Medicine Cards","ark:/21198/zz0002hc69/t9935163","ark:/21198/zz0002hc69","","","Page","patentmedcards/masters/21198-zz0002hc69-2-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hc69%2Ft9935163"
"Patent Medicine Cards","ark:/21198/zz0002hc7t/gg47dp12","ark:/21198/zz0002hc7t","","","Page","patentmedcards/masters/21198-zz0002hc7t-2-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hc7t%2Fgg47dp12"
"Patent Medicine Cards","ark:/21198/zz0002hc7t/kz40mh1x","ark:/21198/zz0002hc7t","","","Page","patentmedcards/masters/21198-zz0002hc7t-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hc7t%2Fkz40mh1x"
"Patent Medicine Cards","ark:/21198/zz0002hc8b/00714j8k","ark:/21198/zz0002hc8b","","","Page","patentmedcards/masters/21198-zz0002hc8b-2-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hc8b%2F00714j8k"
"Patent Medicine Cards","ark:/21198/zz0002hc8b/5d980b27","ark:/21198/zz0002hc8b","","","Page","patentmedcards/masters/21198-zz0002hc8b-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hc8b%2F5d980b27"
"Patent Medicine Cards","ark:/21198/zz0002hc9v/92800p23","ark:/21198/zz0002hc9v","","","Page","patentmedcards/masters/21198-zz0002hc9v-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hc9v%2F92800p23"
"Patent Medicine Cards","ark:/21198/zz0002hc9v/bd47bp9s","ark:/21198/zz0002hc9v","","","Page","patentmedcards/masters/21198-zz0002hc9v-2-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hc9v%2Fbd47bp9s"
"Patent Medicine Cards","ark:/21198/zz0002hcbc/2b36rk5g","ark:/21198/zz0002hcbc","","","Page","patentmedcards/masters/21198-zz0002hcbc-2-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hcbc%2F2b36rk5g"
"Patent Medicine Cards","ark:/21198/zz0002hcbc/j869nx0z","ark:/21198/zz0002hcbc","","","Page","patentmedcards/masters/21198-zz0002hcbc-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hcbc%2Fj869nx0z"
"Patent Medicine Cards","ark:/21198/zz0002hccw/2v72c74t","ark:/21198/zz0002hccw","","","Page","patentmedcards/masters/21198-zz0002hccw-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hccw%2F2v72c74t"
"Patent Medicine Cards","ark:/21198/zz0002hccw/b322m41n","ark:/21198/zz0002hccw","","","Page","patentmedcards/masters/21198-zz0002hccw-2-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hccw%2Fb322m41n"
"Patent Medicine Cards","ark:/21198/zz0002hcdd/m152hx4m","ark:/21198/zz0002hcdd","","","Page","patentmedcards/masters/21198-zz0002hcdd-2-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hcdd%2Fm152hx4m"
"Patent Medicine Cards","ark:/21198/zz0002hcdd/s399xp91","ark:/21198/zz0002hcdd","","","Page","patentmedcards/masters/21198-zz0002hcdd-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hcdd%2Fs399xp91"
"Patent Medicine Cards","ark:/21198/zz0002hcgf/0x52vd67","ark:/21198/zz0002hcgf","","","Page","patentmedcards/masters/21198-zz0002hcgf-2-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hcgf%2F0x52vd67"
"Patent Medicine Cards","ark:/21198/zz0002hcgf/hp051t2v","ark:/21198/zz0002hcgf","","","Page","patentmedcards/masters/21198-zz0002hcgf-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hcgf%2Fhp051t2v"
"Patent Medicine Cards","ark:/21198/zz0002hchz/6869th2v","ark:/21198/zz0002hchz","","","Page","patentmedcards/masters/21198-zz0002hchz-2-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hchz%2F6869th2v"
"Patent Medicine Cards","ark:/21198/zz0002hchz/mx51789c","ark:/21198/zz0002hchz","","","Page","patentmedcards/masters/21198-zz0002hchz-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hchz%2Fmx51789c"
"Patent Medicine Cards","ark:/21198/zz0002hcjg/4m904v60","ark:/21198/zz0002hcjg","","","Page","patentmedcards/masters/21198-zz0002hcjg-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hcjg%2F4m904v60"
"Patent Medicine Cards","ark:/21198/zz0002hcjg/sx119288","ark:/21198/zz0002hcjg","","","Page","patentmedcards/masters/21198-zz0002hcjg-2-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hcjg%2Fsx119288"
"Patent Medicine Cards","ark:/21198/zz0002hck0/dk74z62r","ark:/21198/zz0002hck0","","","Page","patentmedcards/masters/21198-zz0002hck0-2-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hck0%2Fdk74z62r"
"Patent Medicine Cards","ark:/21198/zz0002hck0/t186bx6d","ark:/21198/zz0002hck0","","","Page","patentmedcards/masters/21198-zz0002hck0-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hck0%2Ft186bx6d"
"Patent Medicine Cards","ark:/21198/zz0002hcmh/7j285j3g","ark:/21198/zz0002hcmh","","","Page","patentmedcards/masters/21198-zz0002hcmh-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hcmh%2F7j285j3g"
"Patent Medicine Cards","ark:/21198/zz0002hcmh/tb29t293","ark:/21198/zz0002hcmh","","","Page","patentmedcards/masters/21198-zz0002hcmh-2-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hcmh%2Ftb29t293"
"Patent Medicine Cards","ark:/21198/zz0002hcn1/gx489h7g","ark:/21198/zz0002hcn1","","","Page","patentmedcards/masters/21198-zz0002hcn1-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hcn1%2Fgx489h7g"
"Patent Medicine Cards","ark:/21198/zz0002hcn1/m558z66r","ark:/21198/zz0002hcn1","","","Page","patentmedcards/masters/21198-zz0002hcn1-2-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hcn1%2Fm558z66r"
"Patent Medicine Cards","ark:/21198/zz0002hcpj/6585460k","ark:/21198/zz0002hcpj","","","Page","patentmedcards/masters/21198-zz0002hcpj-2-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hcpj%2F6585460k"
"Patent Medicine Cards","ark:/21198/zz0002hcpj/r959z359","ark:/21198/zz0002hcpj","","","Page","patentmedcards/masters/21198-zz0002hcpj-1-master.tif","1","","","","","","","","","","","","","","","","","","","","","","","","","Page 1","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hcpj%2Fr959z359"
"Patent Medicine Cards","ark:/21198/zz0002hcq2/hs08cr87","ark:/21198/zz0002hcq2","","","Page","patentmedcards/masters/21198-zz0002hcq2-2-master.tif","2","","","","","","","","","","","","","","","","","","","","","","","","","Page 2","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002hcq2%2Fhs08cr87"
