Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,viewingHint,Visibility,Delete in Title,Thumbnail,Type.typeOfResource,Rights.copyrightStatus,Rights.countryCreation,Rights.permission,Language,Name.creator,Name.repository,Rights.rightsHolderContact,Subject,Title,AltTitle.other,Description.note,Summary,Alt ID.local,Date.creation,Date.normalized,Opac url,Finding Aid URL,IIIF Manifest URL
Wingfield (Michael) Collection,ark:/21198/zz002gxbp5,ark:/21198/zz002gvzqg,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p85zjh,text,copyrighted,US,Y,eng,"Wingfield, Michael",Kleinrock Internet History Center,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),IMP-Host Interface Logic Diagrams (B series),,,,,1969,1969,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gxbp5/manifest
Wingfield (Michael) Collection,ark:/21198/zz002gxbqp,ark:/21198/zz002gvzqg,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11k0xf2,text,copyrighted,US,Y,eng,"Wingfield, Michael",Kleinrock Internet History Center,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),Source Code First TCP/IP For Unix [14] File:Pipe Output,,,,,15 Feb 1979|~|29 Oct 1978,1978-10-29|~|1979-02-15,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gxbqp/manifest
Wingfield (Michael) Collection,ark:/21198/zz002gxbr6,ark:/21198/zz002gvzqg,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fx8x47,text,copyrighted,US,Y,eng,"Wingfield, Michael",Kleinrock Internet History Center,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),Source Code First TCP/IP For Unix [1] tscpstru.h,,,,,30 Jul 1979,1979-07-30,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gxbr6/manifest
Wingfield (Michael) Collection,ark:/21198/zz002gxbsq,ark:/21198/zz002gvzqg,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jq2mnt,text,copyrighted,US,Y,eng,"Wingfield, Michael",Kleinrock Internet History Center,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),Source Code First TCP/IP For Unix [2] tcp.h,,,,,7 Feb 1979,1979-02-07,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gxbsq/manifest
Wingfield (Michael) Collection,ark:/21198/zz002gxbt7,ark:/21198/zz002gvzqg,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r801wj,text,copyrighted,US,Y,eng,"Wingfield, Michael",Kleinrock Internet History Center,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),Source Code First TCP/IP For Unix [3] hdrmasks.h,,,,,5 Jun 1979,1979-06-05,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gxbt7/manifest
Wingfield (Michael) Collection,ark:/21198/zz002gxbvr,ark:/21198/zz002gvzqg,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c26h3t,text,copyrighted,US,Y,eng,"Wingfield, Michael",Kleinrock Internet History Center,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),Source Code First TCP/IP For Unix [4] cmdmsg.h,,,,,2 Jul 1979,1979-07-02,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gxbvr/manifest
Wingfield (Michael) Collection,ark:/21198/zz002gxbw8,ark:/21198/zz002gvzqg,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zs4h3k,text,copyrighted,US,Y,eng,"Wingfield, Michael",Kleinrock Internet History Center,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),Source Code First TCP/IP For Unix [8] auth.c,,,,,14 Feb 1979,1979-02-14,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gxbw8/manifest
Wingfield (Michael) Collection,ark:/21198/zz002gxbxs,ark:/21198/zz002gvzqg,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12j7zf3,text,copyrighted,US,Y,eng,"Wingfield, Michael",Kleinrock Internet History Center,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),Source Code First TCP/IP For Unix [9] cmdin.c,,,,,2 Jul 1979,1979-07-02,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gxbxs/manifest
Wingfield (Michael) Collection,ark:/21198/zz002gxbz9,ark:/21198/zz002gvzqg,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14b4n0z,text,copyrighted,US,Y,eng,"Wingfield, Michael",Kleinrock Internet History Center,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),Source Code First TCP/IP For Unix [10] tcplib.c,,,,,29 Feb 1979,1979-02-29,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gxbz9/manifest
Wingfield (Michael) Collection,ark:/21198/zz002gxc09,ark:/21198/zz002gvzqg,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pv861p,text,copyrighted,US,Y,eng,"Wingfield, Michael",Kleinrock Internet History Center,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),Source Code First TCP/IP For Unix [11] tcpuser.c,,,,,8 Jan 1979,1979-01-08,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gxc09/manifest
Wingfield (Michael) Collection,ark:/21198/zz002gxc1t,ark:/21198/zz002gvzqg,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12f985z,text,copyrighted,US,Y,eng,"Wingfield, Michael",Kleinrock Internet History Center,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),Source Code First TCP/IP For Unix [12] ftpserv.c,,,,,27 Apr 1979,1979-04-27,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gxc1t/manifest
Wingfield (Michael) Collection,ark:/21198/zz002gxc2b,ark:/21198/zz002gvzqg,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wq1qdn,text,copyrighted,US,Y,eng,"Wingfield, Michael",Kleinrock Internet History Center,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),Source Code First TCP/IP For Unix [13] send.c,,,,,27 Apr 1979,1979-04-27,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gxc2b/manifest
Wingfield (Michael) Collection,ark:/21198/zz002gxc3v,ark:/21198/zz002gvzqg,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m91w89,text,copyrighted,US,Y,eng,"Wingfield, Michael",Kleinrock Internet History Center,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),Source Code First TCP/IP For Unix [6] psipin.c,,,,,11 Jun 1980,1980-06-11,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gxc3v/manifest
Wingfield (Michael) Collection,ark:/21198/zz002gxc4c,ark:/21198/zz002gvzqg,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ck012g,text,copyrighted,US,Y,eng,"Wingfield, Michael",Kleinrock Internet History Center,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),Source Code First TCP/IP For Unix [7] psipout.c,,,,,11 Jun 1980,1980-06-11,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002gxc4c/manifest
Wingfield (Michael) Collection,ark:/21198/zz002h2844,ark:/21198/zz002gvzqg,10,Completed with minimal metadata,Work,,,,individuals,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cg19sj,text,copyrighted,US,Y,eng,"Wingfield, Michael",Kleinrock Internet History Center,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",ARPANET (Computer network),IMP-Host Interface Timing [14] Logic Diagrams,,,,,1969,1969,,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2844/manifest
