Object Type,Item ARK,Parent ARK,Title,AltTitle.translated,AltTitle.other,File Name,Contents note,Date.normalized,Format.extent,Genre,Language,Local identifier,Name.creator,Place of origin,Repository,Type.typeOfResource,Subject geographic,Subject topic,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Work,ark:/21198/z1k37xv7,ark:/21198/z1ck0hqs|~|ark:/21198/z1zk7d59,قنى حردان کوجو شنگال,"The name of three villages (Qanî, Ḧardan, and Kucu) in Shingal targeted for genocide by ISIS",,Masters/othermasters/DEPyazidiposters/TIFFs/lalish_yazidiposters_016.tif,,2014,1 poster,posters,kur,lalish_yazidiposters_016,Bingehê Laliṣ,,Lalish Center,still image,,Yezidis--Crimes against--Iraq--History--21st century|~|Yezidi women--Crimes against--Iraq--History--21st century|~|Genocide--Iraq--History--21st century,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1k37xv7,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1k37xv7/manifest
Work,ark:/21198/z1ff5wm4,ark:/21198/z1ck0hqs|~|ark:/21198/z1zk7d59,کاره ساتا شنگالى : پىشمه رگه تاجا سه رى هه ر کوردکى وه لات پارىزه,Freedom fighter is the crown of every Kurd who protects his land,,Masters/othermasters/DEPyazidiposters/TIFFs/lalish_yazidiposters_017.tif,Shingal Genocide 03/08/2014,2014,1 poster,posters,kur,lalish_yazidiposters_017,Bingehê Laliṣ,"Dihōk, Iraq",Lalish Center,still image,"Sinjār, Iraq",Yezidis--Crimes against--Iraq--History--21st century|~|Yezidi women--Crimes against--Iraq--History--21st century|~|Genocide--Iraq--History--21st century,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ff5wm4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ff5wm4/manifest
Work,ark:/21198/z19p54ws,ark:/21198/z1ck0hqs|~|ark:/21198/z1zk7d59,بزاڤا رزگارىخوازا کوردى قه ردارا چياىى خوراگرى شنگالى ىه,The Kurd's freedom movement is owed to Shingali's strength and resistance,,Masters/othermasters/DEPyazidiposters/TIFFs/lalish_yazidiposters_018.tif,Shingal Genocide 3/8/2014,2015,1 poster,posters,kur,lalish_yazidiposters_018,Bingehê Laliṣ, ,Lalish Center,still image,"Sinjār, Iraq",Yezidis--Crimes against--Iraq--History--21st century|~|Yezidi women--Crimes against--Iraq--History--21st century|~|Genocide--Iraq--History--21st century,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19p54ws,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz19p54ws/manifest
Work,ark:/21198/z15x4d6x,ark:/21198/z1ck0hqs|~|ark:/21198/z1zk7d59,انقذوا اطفالنا، انقذوا نساءنا ... انقذوا اسرانا من تحت انياب الدواعش...,"Save our children, save our women... save our prisoners from  ISIS atrocities",,Masters/othermasters/DEPyazidiposters/TIFFs/lalish_yazidiposters_019.tif,,2014,1 poster,posters,ara,lalish_yazidiposters_019,Bingehê Laliṣ,"Dihōk, Iraq",Lalish Center,still image,,Yezidis--Crimes against--Iraq--History--21st century|~|Yezidi women--Crimes against--Iraq--History--21st century|~|Genocide--Iraq--History--21st century,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz15x4d6x,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15x4d6x/manifest
Work,ark:/21198/z1253nhz,ark:/21198/z1ck0hqs|~|ark:/21198/z1zk7d59,Yazidi refugee woman with three children,,کاره ساتا شنگالى,Masters/othermasters/DEPyazidiposters/TIFFs/lalish_yazidiposters_020.tif,Shingal 3/8/2014,2014,1 poster,posters,kur,lalish_yazidiposters_020,Bingehê Laliṣ,,Lalish Center,still image,"Sinjār, Iraq",Yezidis--Crimes against--Iraq--History--21st century|~|Yezidi women--Crimes against--Iraq--History--21st century|~|Genocide--Iraq--History--21st century,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1253nhz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1253nhz/manifest
Work,ark:/21198/z1xd34zr,ark:/21198/z1ck0hqs|~|ark:/21198/z1zk7d59,Elderly Yazidi man with head covering,,,Masters/othermasters/DEPyazidiposters/TIFFs/lalish_yazidiposters_021.tif,Shingal Genocide 03/8/2014,2014,1 poster,posters,eng,lalish_yazidiposters_021,Bingehê Laliṣ,,Lalish Center,still image,"Sinjār, Iraq",Yezidis--Crimes against--Iraq--History--21st century|~|Yezidi women--Crimes against--Iraq--History--21st century|~|Genocide--Iraq--History--21st century,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xd34zr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1xd34zr/manifest
Work,ark:/21198/z1sn2d7f,ark:/21198/z1ck0hqs|~|ark:/21198/z1zk7d59,داخوازا ئازادکرنا کچ و ژنىن ئيزديان دکه ىن ئه وىن ددستىن رىکخراوا تىرورىستيا داعش دا,We demand the liberation of the Ezidy women and girls who are still in the captivity of the terrorist organization of ISIS,,Masters/othermasters/DEPyazidiposters/TIFFs/lalish_yazidiposters_022.tif,,2014,1 poster,posters,kur|~|eng,lalish_yazidiposters_022,Bingehê Laliṣ,"Dihōk, Iraq",Lalish Center,still image,,Yezidis--Crimes against--Iraq--History--21st century|~|Yezidi women--Crimes against--Iraq--History--21st century|~|Genocide--Iraq--History--21st century,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sn2d7f,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sn2d7f/manifest
Work,ark:/21198/z1nw1nhq,ark:/21198/z1ck0hqs|~|ark:/21198/z1zk7d59,لدينا مطلبان، لن نتخلى عنهما... (إعادة الأسرى والمخطوفات) (تثبيت الجينوسايد),"We have two requests, we will not give up... (return of prisoners and female captives) (confirming the genocide)",,Masters/othermasters/DEPyazidiposters/TIFFs/lalish_yazidiposters_023.tif,,2014,1 poster,posters,ara,lalish_yazidiposters_023,Bingehê Laliṣ,"Dihōk, Iraq",Lalish Center,still image,,Yezidis--Crimes against--Iraq--History--21st century|~|Yezidi women--Crimes against--Iraq--History--21st century|~|Genocide--Iraq--History--21st century,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nw1nhq,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1nw1nhq/manifest
Work,ark:/21198/z1j69m4k,ark:/21198/z1ck0hqs|~|ark:/21198/z1zk7d59,Image of Yazidi refugees,,کاره ساتا شنگالى,Masters/othermasters/DEPyazidiposters/TIFFs/lalish_yazidiposters_024.tif,3/8 Shingal,2014,1 poster,posters,kur,lalish_yazidiposters_024,Bingehê Laliṣ,"Dihōk, Iraq",Lalish Center,still image,"Sinjār, Iraq",Yezidis--Crimes against--Iraq--History--21st century|~|Yezidi women--Crimes against--Iraq--History--21st century|~|Genocide--Iraq--History--21st century,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j69m4k,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1j69m4k/manifest
Work,ark:/21198/z1df8vf9,ark:/21198/z1ck0hqs|~|ark:/21198/z1zk7d59,Female Yazidi refugee with child,,کاره ساتا شنگالى,Masters/othermasters/DEPyazidiposters/TIFFs/lalish_yazidiposters_025.tif,Shingal Genocide 03/08/2014,2014,1 poster,posters,kur,lalish_yazidiposters_025,Bingehê Laliṣ,"Dihōk, Iraq",Lalish Center,still image,"Sinjār, Iraq",Yezidis--Crimes against--Iraq--History--21st century|~|Yezidi women--Crimes against--Iraq--History--21st century|~|Genocide--Iraq--History--21st century,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1df8vf9,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1df8vf9/manifest
Work,ark:/21198/z18p83sv,ark:/21198/z1ck0hqs|~|ark:/21198/z1zk7d59,Two images of Yazidi refugees,,کاره ساتا شنگالى,Masters/othermasters/DEPyazidiposters/TIFFs/lalish_yazidiposters_026.tif,Shingal Genocide 03/08/2014,2014,1 poster,posters,kur,lalish_yazidiposters_026,Bingehê Laliṣ,"Dihōk, Iraq",Lalish Center,still image,"Sinjār, Iraq",Yezidis--Crimes against--Iraq--History--21st century|~|Yezidi women--Crimes against--Iraq--History--21st century|~|Genocide--Iraq--History--21st century,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18p83sv,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18p83sv/manifest
Work,ark:/21198/z14x7c2j,ark:/21198/z1ck0hqs|~|ark:/21198/z1zk7d59,Five images of Yazidi refugees,,کاره ساتا شنگالى,Masters/othermasters/DEPyazidiposters/TIFFs/lalish_yazidiposters_027.tif,Shingal 3/8/2014,2014,1 poster,posters,kur,lalish_yazidiposters_027,Bingehê Laliṣ,"Dihōk, Iraq",Lalish Center,still image,"Sinjār, Iraq",Yezidis--Crimes against--Iraq--History--21st century|~|Yezidi women--Crimes against--Iraq--History--21st century|~|Genocide--Iraq--History--21st century,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14x7c2j,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14x7c2j/manifest
Work,ark:/21198/z1156mb4,ark:/21198/z1ck0hqs|~|ark:/21198/z1zk7d59,ئه م وه ژبىر ناکه ىن ئه م وه بتنى ناهىلىن,We will not forget you and we will not leave alone,,Masters/othermasters/DEPyazidiposters/TIFFs/lalish_yazidiposters_028.tif,Shingal 03/08/2014,2014,1 poster,posters,kur,lalish_yazidiposters_028,Bingehê Laliṣ,,Lalish Center,still image,"Sinjār, Iraq",Yezidis--Crimes against--Iraq--History--21st century|~|Yezidi women--Crimes against--Iraq--History--21st century|~|Genocide--Iraq--History--21st century,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1156mb4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1156mb4/manifest
Work,ark:/21198/z1wd63tc,ark:/21198/z1ck0hqs|~|ark:/21198/z1zk7d59,کاره ساتا شنگالى : رزگار کرنا ته داىى ؛ چه ژنا منه ,My Eid will be with my mom's realization,,Masters/othermasters/DEPyazidiposters/TIFFs/lalish_yazidiposters_029.tif,Shingal 03/08/2014,2014,1 poster,posters,kur|~|eng,lalish_yazidiposters_029,Bingehê Laliṣ,"Dihōk, Iraq",Lalish Center,still image,"Sinjār, Iraq",Yezidis--Crimes against--Iraq--History--21st century|~|Yezidi women--Crimes against--Iraq--History--21st century|~|Genocide--Iraq--History--21st century,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wd63tc,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1wd63tc/manifest
Work,ark:/21198/z1rn5c32,ark:/21198/z1ck0hqs|~|ark:/21198/z1zk7d59,داخوازنامه: ب چاڤدىرىا به رىز (مسعود بارزانى) سه روکى هه رىما کوردستانى و ب هه لکه فتا ىه که مىن سائڤه گه را کاره ساتا شنگالى ده سته ىا بلندا بنگه هى لالش ژىر دروشمى : بزاڤا رزگارىخوازا کوردى قه ردارا چياىى خوراگرى شنگالى ىه : دي ڤي روژى ب چه ندين چالاكييان ساخ كه ت  لروژا  دووشه مبي 3/8/2015 ل ده م ژمىر (5) ئيڤارى ل ئاڤاهيا بنگه هى لالش/ دهوک,"Demand: With supervision of respected Masud Barzani leader of Kurdistan Region, and with event of the first anniversary of Lalesh Genocide, Higher body of Lalesh Center under the slogan ""Kurd's freedom movement owed to Shingal's strength and resistance."" Held in Lalesh near Dihok on Monday 3/8/2015",,Masters/othermasters/DEPyazidiposters/TIFFs/lalish_yazidiposters_030.tif,Shingal 03/8/2014,2015,1 poster,posters,,lalish_yazidiposters_030,Bingehê Laliṣ,"Dihōk, Iraq",Lalish Center,still image,"Sinjār, Iraq",Yezidis--Crimes against--Iraq--History--21st century|~|Yezidi women--Crimes against--Iraq--History--21st century|~|Genocide--Iraq--History--21st century,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rn5c32,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rn5c32/manifest
Work,ark:/21198/z1n039rh,ark:/21198/z1ck0hqs|~|ark:/21198/z1zk7d59,Yazidi refugees from Shingal,,,Masters/othermasters/DEPyazidiposters/TIFFs/lalish_yazidiposters_032.tif,Shingal genocide 03/8/2014,2014,1 poster,posters,eng,lalish_yazidiposters_032,,,Lalish Center,still image,"Sinjār, Iraq",Yezidis--Crimes against--Iraq--History--21st century|~|Yezidi women--Crimes against--Iraq--History--21st century|~|Genocide--Iraq--History--21st century,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n039rh,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1n039rh/manifest
Work,ark:/21198/z1h72k16,ark:/21198/z1ck0hqs|~|ark:/21198/z1zk7d59,Image of a dove holding a chain linking three towers of the Lalish Temple,,کاره ساتا شنگالى,Masters/othermasters/DEPyazidiposters/TIFFs/lalish_yazidiposters_033.tif,Shingal 3/8/2014,2014,1 poster,posters,,lalish_yazidiposters_033,Bingehê Laliṣ,,Lalish Center,still image,"Sinjār, Iraq",Yezidis--Crimes against--Iraq--History--21st century|~|Yezidi women--Crimes against--Iraq--History--21st century|~|Genocide--Iraq--History--21st century|~|Temples--Iraq--Kurdistān,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1h72k16,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1h72k16/manifest
