"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Visibility","Duplicate","Delete in Title","Type.typeOfResource","Type.genre","Rights.servicesContact","Name.subject","Name.architect","Name.creator","Subject","AltTitle.uniform","Relation.isPartOf","Name.repository","Format.dimensions","Title","Date.creation","Format.extent","Alt ID.local","Date.normalized","Description.note","Coverage.geographic","Format.medium","Description.contents","Opac url","Finding Aid URL","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Jones, A. Quincy (Archie Quincy).  Collection 1692","ark:/21198/zz001417gf","ark:/21198/zz000945v6","2","Completed","Work","jones/masters/21198-zz001417gf-1-master.tif","","","","","still image","color photographs","","","","Jones, A. Quincy (Archie Quincy), 1913-1979","Architects--California, Southern--Archival resources","","A. Quincy Jones Papers, 1942-1979 (Collection 1692).  Department of Special Collections, Charles E. Young Research Library, UCLA","","","Annenberg construction office -- ""before""","February 1964","1 35 mm slide","c1692_b1593_s9_10","","View of one-story building with car parked in driveway.","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001417gf","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001417gf/manifest"
"Jones, A. Quincy (Archie Quincy).  Collection 1692","ark:/21198/zz001417jg","ark:/21198/zz000945v6","2","Completed","Work","jones/masters/21198-zz001417jg-1-master.tif","","","","","still image","color photographs","","","","Jones, A. Quincy (Archie Quincy), 1913-1979","Architects--California, Southern--Archival resources|~|Sunnylands (Rancho Mirage, Calif.)","","A. Quincy Jones Papers, 1942-1979 (Collection 1692).  Department of Special Collections, Charles E. Young Research Library, UCLA","","","Annenberg res[idence] -- model","March 1964","1 35 mm slide","c1692_b1593_s9_11","1964-5","Detail of model of Walter Annenberg's estate, Sunnylands.","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001417jg","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001417jg/manifest"
"Jones, A. Quincy (Archie Quincy).  Collection 1692","ark:/21198/zz001417k0","ark:/21198/zz000945v6","2","Completed","Work","jones/masters/21198-zz001417k0-1-master.tif","","","","","still image","color photographs","","","","Jones, A. Quincy (Archie Quincy), 1913-1979","Architects--California, Southern--Archival resources|~|Sunnylands (Rancho Mirage, Calif.)","","A. Quincy Jones Papers, 1942-1979 (Collection 1692).  Department of Special Collections, Charles E. Young Research Library, UCLA","","","Annenberg res[idence] -- model","March 1964","1 35 mm slide","c1692_b1593_s9_12","1964-5","View of detail of model of Walter Annenberg's estate, Sunnylands.","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001417k0","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001417k0/manifest"
"Jones, A. Quincy (Archie Quincy).  Collection 1692","ark:/21198/zz001417n1","ark:/21198/zz000945v6","2","Completed","Work","jones/masters/21198-zz001417n1-1-master.tif","","","","","still image","color photographs","","","","Jones, A. Quincy (Archie Quincy), 1913-1979","Architects--California, Southern--Archival resources|~|Sunnylands (Rancho Mirage, Calif.)","","A. Quincy Jones Papers, 1942-1979 (Collection 1692).  Department of Special Collections, Charles E. Young Research Library, UCLA","","","Annenberg res[idence] -- model","March 1964","1 35 mm slide","c1692_b1593_s9_13","1964-5","View of detail of model of Walter Annenberg's estate, Sunnylands.","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001417n1","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001417n1/manifest"
"Jones, A. Quincy (Archie Quincy).  Collection 1692","ark:/21198/zz001417pj","ark:/21198/zz000945v6","2","Completed","Work","jones/masters/21198-zz001417pj-1-master.tif","","","","","still image","color photographs","","","","Jones, A. Quincy (Archie Quincy), 1913-1979","Architects--California, Southern--Archival resources|~|Sunnylands (Rancho Mirage, Calif.)","","A. Quincy Jones Papers, 1942-1979 (Collection 1692).  Department of Special Collections, Charles E. Young Research Library, UCLA","","","Annenberg res[idence] -- model","March 1964","1 35 mm slide","c1692_b1593_s9_14","1964-5","View of detail of model of Walter Annenberg's estate, Sunnylands.","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001417pj","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001417pj/manifest"
"Jones, A. Quincy (Archie Quincy).  Collection 1692","ark:/21198/zz001417q2","ark:/21198/zz000945v6","2","Completed","Work","jones/masters/21198-zz001417q2-1-master.tif","","","","","still image","color photographs","","","","Jones, A. Quincy (Archie Quincy), 1913-1979","Architects--California, Southern--Archival resources|~|Sunnylands (Rancho Mirage, Calif.)","","A. Quincy Jones Papers, 1942-1979 (Collection 1692).  Department of Special Collections, Charles E. Young Research Library, UCLA","","","Annenberg res[idence] -- model","March 1964","1 35mm slide","c1692_b1593_s9_15","1964-5","View of detail of model of Walter Annenberg estate, Sunnylands.","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001417q2","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001417q2/manifest"
"Jones, A. Quincy (Archie Quincy).  Collection 1692","ark:/21198/zz001417s3","ark:/21198/zz000945v6","2","Completed","Work","jones/masters/21198-zz001417s3-1-master.tif","","","","","still image","color photographs","","","","Jones, A. Quincy (Archie Quincy), 1913-1979","Architects--California, Southern--Archival resources|~|Sunnylands (Rancho Mirage, Calif.)","","A. Quincy Jones Papers, 1942-1979 (Collection 1692).  Department of Special Collections, Charles E. Young Research Library, UCLA","","","Annenberg res[idence] -- model","March 1964","1 35mm slide","c1692_b1593_s9_16","1964-5","View of detail of model of Walter Annenberg estate, Sunnylands.","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001417s3","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001417s3/manifest"
"Jones, A. Quincy (Archie Quincy).  Collection 1692","ark:/21198/zz001417tm","ark:/21198/zz000945v6","2","Completed","Work","jones/masters/21198-zz001417tm-1-master.tif","","","","","still image","color photographs","","","","Jones, A. Quincy (Archie Quincy), 1913-1979","Architects--California, Southern--Archival resources|~|Sunnylands (Rancho Mirage, Calif.)","","A. Quincy Jones Papers, 1942-1979 (Collection 1692).  Department of Special Collections, Charles E. Young Research Library, UCLA","","","Annenberg res[idence] -- model","March 1964","1 35mm slide","c1692_b1593_s9_17","1964-5","View of detail of model of Walter Annenberg estate, Sunnylands.","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001417tm","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001417tm/manifest"
"Jones, A. Quincy (Archie Quincy).  Collection 1692","ark:/21198/zz001417wn","ark:/21198/zz000945v6","2","Completed","Work","jones/masters/21198-zz001417wn-1-master.tif","","","","","still image","color photographs","","","","Jones, A. Quincy (Archie Quincy), 1913-1979","Architects--California, Southern--Archival resources|~|Sunnylands (Rancho Mirage, Calif.)","","A. Quincy Jones Papers, 1942-1979 (Collection 1692).  Department of Special Collections, Charles E. Young Research Library, UCLA","","","Annenberg res[idence] -- model","March 1964","1 35mm slide","c1692_b1593_s9_18","1964-5","View of detail of model of Walter Annenberg estate, Sunnylands.","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001417wn","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001417wn/manifest"
"Jones, A. Quincy (Archie Quincy).  Collection 1692","ark:/21198/zz001417x5","ark:/21198/zz000945v6","2","Completed","Work","jones/masters/21198-zz001417x5-1-master.tif","","","","","still image","color photographs","","","","Jones, A. Quincy (Archie Quincy), 1913-1979","Architects--California, Southern--Archival resources|~|Sunnylands (Rancho Mirage, Calif.)","","A. Quincy Jones Papers, 1942-1979 (Collection 1692).  Department of Special Collections, Charles E. Young Research Library, UCLA","","","Annenberg res[idence] -- model","March 1964","1 35mm slide","c1692_b1593_s9_19","1964-5","View of detail of model of Walter Annenberg estate, Sunnylands.","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001417x5","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001417x5/manifest"
"Jones, A. Quincy (Archie Quincy).  Collection 1692","ark:/21198/zz0014180p","ark:/21198/zz000945v6","2","Completed","Work","jones/masters/21198-zz0014180p-1-master.tif","","","","","still image","color photographs","","","","Jones, A. Quincy (Archie Quincy), 1913-1979","Architects--California, Southern--Archival resources|~|Sunnylands (Rancho Mirage, Calif.)","","A. Quincy Jones Papers, 1942-1979 (Collection 1692).  Department of Special Collections, Charles E. Young Research Library, UCLA","","","Annenberg res[idence] -- model","March 1964","1 35mm slide","c1692_b1593_s9_20","1964-5","View of detail of model of Walter Annenberg estate, Sunnylands.","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014180p","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0014180p/manifest"
"Jones, A. Quincy (Archie Quincy).  Collection 1692","ark:/21198/zz0014s524","ark:/21198/zz000945v6","2","Completed","Work","jones/masters/21198-zz0014s524-1-master.tif","","","","","still image","","","","","Jones, A. Quincy (Archie Quincy), 1913-1979","Architects--California, Southern--Archival resources|~|Sunnylands (Rancho Mirage, Calif.)","","A. Quincy Jones Papers, 1942-1979 (Collection 1692).  Department of Special Collections, Charles E. Young Research Library, UCLA","","","Annenberg res[idence] -- model","March 1964","1 35mm slide","c1692_b1593_s10_1","1964-5","View of detail of model of Walter Annenberg's estate, Sunnylands.","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014s524","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0014s524/manifest"
"Jones, A. Quincy (Archie Quincy).  Collection 1692","ark:/21198/zz0014s545","ark:/21198/zz000945v6","2","Completed","Work","jones/masters/21198-zz0014s545-1-master.tif","","","","","still image","color photographs","","","","Jones, A. Quincy (Archie Quincy), 1913-1979","Architects--California, Southern--Archival resources|~|Sunnylands (Rancho Mirage, Calif.)","","A. Quincy Jones Papers, 1942-1979 (Collection 1692).  Department of Special Collections, Charles E. Young Research Library, UCLA","","1 35mm slide","Annenberg res[idence] -- model","March 1964","","c1692_b1593_s10_2","1964-5","View of detail of model of Walter Annenberg's estate, Sunnylands.","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014s545","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0014s545/manifest"
"Jones, A. Quincy (Archie Quincy).  Collection 1692","ark:/21198/zz0014s55p","ark:/21198/zz000945v6","2","Completed","Work","jones/masters/21198-zz0014s55p-1-master.tif","","","","","still image","color photographs","","","","Jones, A. Quincy (Archie Quincy), 1913-1979","Architects--California, Southern--Archival resources|~|Sunnylands (Rancho Mirage, Calif.)","","A. Quincy Jones Papers, 1942-1979 (Collection 1692).  Department of Special Collections, Charles E. Young Research Library, UCLA","","","Annenberg res[idence] -- model","March 1964","1 35mm slide","c1692_b1593_s10_3","1964-5","View of detail of model of Walter Annenberg's estate, Sunnylands.","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014s55p","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0014s55p/manifest"
"Jones, A. Quincy (Archie Quincy).  Collection 1692","ark:/21198/zz001d316m","ark:/21198/zz000945v6","1","In progress","Work","jones/masters/21198-zz001d316m_760510_master.tif","","private","","","","","","","","","","","","","","Laguna Club","","","C1692_b1591_JPS00751","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d316m","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d316m/manifest"
"Jones, A. Quincy (Archie Quincy).  Collection 1692","ark:/21198/zz001d318n","ark:/21198/zz000945v6","1","In progress","Work","jones/masters/21198-zz001d318n_760520_master.tif","","private","","","","","","","","","","","","","","Laguna Club","","","C1692_b1591_JPS00754","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d318n","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d318n/manifest"
"Jones, A. Quincy (Archie Quincy).  Collection 1692","ark:/21198/zz001d3195","ark:/21198/zz000945v6","1","In progress","Work","jones/masters/21198-zz001d3195_760535_master.tif","","private","","","","","","","","","","","","","","Laguna Club","","","C1692_b1591_JPS00755","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d3195","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d3195/manifest"
"Jones, A. Quincy (Archie Quincy).  Collection 1692","ark:/21198/zz001d31bp","ark:/21198/zz000945v6","1","In progress","Work","jones/masters/21198-zz001d31bp_760541_master.tif","","private","","","","","","","","","","","","","","Laguna Club","","","C1692_b1591_JPS00758","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d31bp","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d31bp/manifest"
"Jones, A. Quincy (Archie Quincy).  Collection 1692","ark:/21198/zz001d31dq","ark:/21198/zz000945v6","1","In progress","Work","jones/masters/21198-zz001d31dq_760548_master.tif","","private","","","","","","","","","","","","","","Laguna Club","","","C1692_b1591_JPS00761","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d31dq","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d31dq/manifest"
"Jones, A. Quincy (Archie Quincy).  Collection 1692","ark:/21198/zz001d31f7","ark:/21198/zz000945v6","1","In progress","Work","jones/masters/21198-zz001d31f7_760555_master.tif","","private","","","","","","","","","","","","","","Seafare Lodge","May 5","","C1692_b1591_JPS00764","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d31f7","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d31f7/manifest"
"Jones, A. Quincy (Archie Quincy).  Collection 1692","ark:/21198/zz001d31gr","ark:/21198/zz000945v6","1","In progress","Work","jones/masters/21198-zz001d31gr_760560_master.tif","","private","","","","","","","","","","","","","","Laguna Club","","","C1692_b1591_JPS00768","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d31gr","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d31gr/manifest"
"Jones, A. Quincy (Archie Quincy).  Collection 1692","ark:/21198/zz001d31h8","ark:/21198/zz000945v6","1","In progress","Work","jones/masters/21198-zz001d31h8_760568_master.tif","","private","","","","","","","","","","","","","","Laguna Beach and Tennis Club","","","C1692_b1591_JPS00770","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d31h8","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d31h8/manifest"
"Jones, A. Quincy (Archie Quincy).  Collection 1692","ark:/21198/zz001d31k9","ark:/21198/zz000945v6","1","In progress","Work","jones/masters/21198-zz001d31k9_760591_master.tif","","private","","","still image","color photographs","","","","Jones, A. Quincy (Archie Quincy), 1913-1979","Architects--California, Southern--Archival resources|~|Sunnylands (Rancho Mirage, Calif.)","","A. Quincy Jones Papers, 1942-1979 (Collection 1692).  Department of Special Collections, Charles E. Young Research Library, UCLA","","35 mm","Annenberg res[idence] -- model","March 1964","1 slide","c1692_b1593_s10_4","1964-5","Detail of model of Walter Annenberg's estate, Sunnylands.","","color slide","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d31k9","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d31k9/manifest"
"Jones, A. Quincy (Archie Quincy).  Collection 1692","ark:/21198/zz001d31mt","ark:/21198/zz000945v6","1","In progress","Work","jones/masters/21198-zz001d31mt_760600_master.tif","","private","","","still image","color photographs","","","","Jones, A. Quincy (Archie Quincy), 1913-1979","Architects--California, Southern--Archival resources|~|Sunnylands (Rancho Mirage, Calif.)","","A. Quincy Jones Papers, 1942-1979 (Collection 1692).  Department of Special Collections, Charles E. Young Research Library, UCLA","","35 mm","Annenberg res[idence] -- model","March 1964","1 slide","c1692_b1593_s10_5","1964-5","Detail of model of Walter Annenberg's estate, Sunnylands.","","color slide","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d31mt","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d31mt/manifest"
"Jones, A. Quincy (Archie Quincy).  Collection 1692","ark:/21198/zz001d31nb","ark:/21198/zz000945v6","1","In progress","Work","jones/masters/21198-zz001d31nb_760610_master.tif","","private","","","still image","color photographs","","","","Jones, A. Quincy (Archie Quincy), 1913-1979","Architects--California, Southern--Archival resources|~|Sunnylands (Rancho Mirage, Calif.)","","A. Quincy Jones Papers, 1942-1979 (Collection 1692).  Department of Special Collections, Charles E. Young Research Library, UCLA","","35 mm","Annenberg res[idence] -- model","March 1964","1 slide","c1692_b1593_s10_6","1964-5","Detail of model of Walter Annenberg's estate, Sunnylands.","","color slide","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d31nb","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d31nb/manifest"
"Jones, A. Quincy (Archie Quincy).  Collection 1692","ark:/21198/zz001d31pv","ark:/21198/zz000945v6","1","In progress","Work","jones/masters/21198-zz001d31pv_760618_master.tif","","private","","","still image","color photographs","","","","Jones, A. Quincy (Archie Quincy), 1913-1979","Architects--California, Southern--Archival resources|~|Sunnylands (Rancho Mirage, Calif.)","","A. Quincy Jones Papers, 1942-1979 (Collection 1692).  Department of Special Collections, Charles E. Young Research Library, UCLA","","35 mm","Annenberg res[idence] -- model","March 1964","1 slide","c1692_b1593_s10_7","1964-5","Detail of model of Walter Annenberg's estate, Sunnylands.","","color slide","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d31pv","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d31pv/manifest"
"Jones, A. Quincy (Archie Quincy).  Collection 1692","ark:/21198/zz001d31qc","ark:/21198/zz000945v6","1","In progress","Work","jones/masters/21198-zz001d31qc_760631_master.tif","","private","","","still image","color photographs","","","","Jones, A. Quincy (Archie Quincy), 1913-1979","Architects--California, Southern--Archival resources|~|Sunnylands (Rancho Mirage, Calif.)","","A. Quincy Jones Papers, 1942-1979 (Collection 1692).  Department of Special Collections, Charles E. Young Research Library, UCLA","","35 mm","Annenberg res[idence] -- model","March 1964","1 slide","c1692_b1593_s10_8","1964-5","Detail of model of Walter Annenberg's estate, Sunnylands.","","color slide","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001d31qc","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001d31qc/manifest"
