Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,iiif_access_url,Type.typeOfResource,Rights.copyrightStatus,Rights.countryCreation,Rights.permission,Rights.rightsHolderContact,Language,Name.subject,Name.repository,Name.creator,Subject,Title,Date.creation,AltTitle.other,Description.note,Date.normalized
Network Measurement Center Collection,ark:/21198/zz002djgd6,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/pdf/21198-zz002djgd6-1-master.pdf,280,,,,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),Field Installation Schedule #11,20-JUN-75,Misc. Network Note #35,,
Network Measurement Center Collection,ark:/21198/zz002djgfq,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/pdf/21198-zz002djgfq-1-master.pdf,290,,,,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",English,,Kleinrock Internet History Center,,ARPANET (Computer network),Field Installation Schedule #12,21-JUL-75,Misc. Network Note #36,,
Network Measurement Center Collection,ark:/21198/zz002djgg7,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/pdf/21198-zz002djgg7-1-master.pdf,300,,,,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),Field Installation Schedule #13,2-OCT-75,Misc. Network Note #37,,
Network Measurement Center Collection,ark:/21198/zz002djghr,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/pdf/21198-zz002djghr-1-master.pdf,310,,,,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",English,,Kleinrock Internet History Center,,ARPANET (Computer network),Field Installation Schedule #14,24-OCT-75,Misc. Network Note #38,,
Network Measurement Center Collection,ark:/21198/zz002djgj8,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/pdf/21198-zz002djgj8-1-master.pdf,320,,,,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",English,,Kleinrock Internet History Center,,ARPANET (Computer network),Field Installation Schedule #16,18-MAR-76,Misc. Network Note #39,,
Network Measurement Center Collection,ark:/21198/zz002djgks,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/pdf/21198-zz002djgks-1-master.pdf,520,,,,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",English,,Kleinrock Internet History Center,,ARPANET (Computer network),"Official Initial Connection Protocol, Document #2",11-JUN-71,Protocol Specification NIC #7101,,
Network Measurement Center Collection,ark:/21198/zz002djgm9,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/image/21198-zz002djgm9_2152102_master.tif,530,,,,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",English,,Kleinrock Internet History Center,,ARPANET (Computer network),"Official Telnet-Logger Initial Connection Protocol, Document #3",15-JUN-71,Protocol Specification NIC #7103,,
Network Measurement Center Collection,ark:/21198/zz002djgnt,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/pdf/21198-zz002djgnt-1-master.pdf,540,,,,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",English,,Kleinrock Internet History Center,,ARPANET (Computer network),"IFIP/INWG Meeting, NPL, 1978 May 12",12-MAY-78,,Pages 1-6 of 13 scanned,
Network Measurement Center Collection,ark:/21198/zz002djgpb,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/pdf/21198-zz002djgpb-1-master.pdf,550,,,,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),Letter from D.L.A. Barber to G. LeLann,22-MAY-78,,Letter from D.L.A. Barber to G. LeLann concerning the results of questionnaire on distributed processing systems,
Network Measurement Center Collection,ark:/21198/zz002dwr90,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,,700,,,,text,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",English,,Kleinrock Internet History Center,,ARPANET (Computer network),ARPANET Satellite System Note 2,20-MAR-72,ASS Note 2,,1972-03-20
Network Measurement Center Collection,ark:/21198/zz002dwrbh,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/pdf/21198-zz002dwrbh-1-master.pdf,710,,,,text,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",English,,Kleinrock Internet History Center,,ARPANET (Computer network),ARPANET Satellite System Note 3,24-APR-72,ASS Note 3,,1972-04-24
Network Measurement Center Collection,ark:/21198/zz002dwrc1,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/pdf/21198-zz002dwrc1-1-master.pdf,720,,,,text,copyrighted,US,,"Y|~|Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",English,,Kleinrock Internet History Center,,ARPANET (Computer network),ARPANET Satellite System Note 4,01-MAY-72,ASS Note 4,,1972-05-01
Network Measurement Center Collection,ark:/21198/zz002dwrdj,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/pdf/21198-zz002dwrdj-1-master.pdf,730,,,,text,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",English,,Kleinrock Internet History Center,,ARPANET (Computer network),ARPANET Satellite System Note 5,04-MAY-72,ASS Note 5,,1972-05-04
Network Measurement Center Collection,ark:/21198/zz002dwrf2,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/pdf/21198-zz002dwrf2-1-master.pdf,740,,,,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),ARPANET Satellite System Note 6,08-MAY-72,ASS Note 6,,1972-05-08
Network Measurement Center Collection,ark:/21198/zz002dwrgk,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/pdf/21198-zz002dwrgk-1-master.pdf,750,,,,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),ARPANET Satellite System Note 7,10-MAY-72,ASS Note 7,,1972-05-10
Network Measurement Center Collection,ark:/21198/zz002dwrh3,ark:/21198/zz002dj6hw,10,Completed with minimal metadata,Work,network_measurement_center/pdf/21198-zz002dwrh3-1-master.pdf,760,,,,text,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",English,,Kleinrock Internet History Center,,ARPANET (Computer network),ARPANET Satellite System Note 8,26-JUN-72,ASS Note 8,,1972-06-26
Network Measurement Center Collection,ark:/21198/zz002dwrjm,ark:/21198/zz002dj6hw,1,In progress,Work,network_measurement_center/pdf/21198-zz002dwrjm-1-master.pdf,770,,,,,copyrighted,US,Y,"Kleinrock Internet History Center 3732L Boelter Hall 420 Westwood Plaza Los Angeles CA 90095, email  contact@internethistory.ucla.edu",,,Kleinrock Internet History Center,,ARPANET (Computer network),ARPANET Satellite System Note 9,03-JUL-72,ASS Note 9,,1972-07-03
Network Measurement Center Collection,ark:/21198/zz002h28fs,ark:/21198/zz002dj6hw,1,In progress,Work,network_measurement_center/pdf/21198-zz002h28fs-1-master.pdf,771,,,,text,,,,,English,Digital Equipment Corporation,Kleinrock Internet History Center,"Kleinrock, Leonard",,Variable Delay Unit Notes [1] Monostable Multivibrator,13 Sep 1957,,,1957-09-13
Network Measurement Center Collection,ark:/21198/zz002h28ht,ark:/21198/zz002dj6hw,1,In progress,Work,network_measurement_center/pdf/21198-zz002h28ht-1-master.pdf,772,,,,text,,,,,English,Digital Equipment Corporation,Kleinrock Internet History Center,"Kleinrock, Leonard",,Variable Delay Unit Notes [2] Flip-Flop with External Delay,1957,,,1957
Network Measurement Center Collection,ark:/21198/zz002h28jb,ark:/21198/zz002dj6hw,1,In progress,Work,network_measurement_center/pdf/21198-zz002h28jb-1-master.pdf,773,,,,text,,,,,English,Digital Equipment Corporation,Kleinrock Internet History Center,"Kleinrock, Leonard",,Variable Delay Unit Notes [3] Trigger level,1957,,,1957
Network Measurement Center Collection,ark:/21198/zz002h28mc,ark:/21198/zz002dj6hw,1,In progress,Work,,774,,,,text,,,,,English,Digital Equipment Corporation,Kleinrock Internet History Center,"Kleinrock, Leonard",,Variable Delay Unit Notes [4] Drift Compensation,12 Sep 1957,,,1957-09-12
Network Measurement Center Collection,ark:/21198/zz002h28nw,ark:/21198/zz002dj6hw,1,In progress,Work,network_measurement_center/pdf/21198-zz002h28nw-1-master.pdf,775,,,,text,,,,,English,"Kleinrock, Leonard",Kleinrock Internet History Center,"Kleinrock, Leonard",,Variable Delay Unit Notes [5] Ouput Pulse Width as a Function of Supply Voltages,11 Sep 1957,,,1957-09-11
Network Measurement Center Collection,ark:/21198/zz002h28pd,ark:/21198/zz002dj6hw,1,In progress,Work,network_measurement_center/pdf/21198-zz002h28pd-1-master.pdf,776,,,,text,,,,,English,Digital Equipment Corporation,Kleinrock Internet History Center,"Kleinrock, Leonard",,Variable Delay Unit Notes [6] Circuit Schematic,1957,,,1957
Network Measurement Center Collection,ark:/21198/zz002h28qx,ark:/21198/zz002dj6hw,1,In progress,Work,network_measurement_center/pdf/21198-zz002h28qx-1-master.pdf,777,,,,text,,,,,English,Digital Equipment Corporation,Kleinrock Internet History Center,"Kleinrock, Leonard",,Variable Delay Unit Notes [7] A Transistorized Variable Delay Unit,1957,,,1957
