Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,viewingHint,Text direction,Visibility,IIIF Range,Rights.copyrightStatus,Rights.servicesContact,Name.subject,Relation.isPartOf,Subject,Name.collector,Name.repository,Description.contents,Relation.box,Relation.subseries,Relation.file,Relation.series,Alt ID.local,Title,Date.creation,Description.note,Description.condition,Format.extent,Language,AltTitle.other,Description.abstract,Date.normalized,Opac url,Finding Aid URL
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hckww,ark:/21198/zz0008c2pw,2,Completed,Work,,1,,,,,paged,,,,copyrighted,,,,,,,"8|~|Box Office Statements, 1906",1,1. Business Papers 1905-1907,,1. Isadora Duncan,uclamss_1729_b01_f08|~|002-039-05,"Redovisningslista för biljettförsäljning, 1906 May 7",5/7/1906,"Account of  tickets sold, dated  7 May 1906, for guest performance by Isadora Duncan.",2 holes punched along left edge.,"Print, 1 leaf (1 page), with manuscript annotations.",swe,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hckxd,ark:/21198/zz0008c2pw,2,Completed,Work,,1,,,,,paged,,,,copyrighted,,,,,,,"2|~|Correspondence and notes compiled by Allan Ross Macdougall for his biography, Isadora, a Revolutionary in Art and Love 1903-1956",3,3. Primary Writings about Isadora Duncan,,1. Isadora Duncan,uclamss_1729_b03_f02|~|021--006,"Letter to Mr. Macdougall, 1956 July 27",7/27/1956,,,"Typescript, 1 leaf (2 pages), signed.",eng,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hckzx,ark:/21198/zz0008c2pw,2,Completed,Work,,1,,,,,paged,,,,,,,,,,,"2|~|Correspondence and notes compiled by Allan Ross Macdougall for his biography, Isadora, a Revolutionary in Art and Love 1903-1956",3,3. Primary Writings about Isadora Duncan,,1. Isadora Duncan,uclamss_1729_b03_f02|~|021-007,"Letter to Mr. Frenc Hont, Budapest, 1956 July 17",7/17/1956,"38 Union Square. New York 3, N. Y. is typed on the right upper corner.",,"Typescript(carbon), 1 leaf (1 page).",eng,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcm0x,ark:/21198/zz0008c2pw,2,Completed,Work,,1,,,,,paged,,,,,,,,,,,6|~|Box Office Statements 1904-1905,1,1. Business Papers 1905-1907,,1. Isadora Duncan,uclamss_1729_b01_f06|~|002-029-02,"Kassen-Rapport, 1904 April 13",4/13/1904,"Cash accounting report, dated Wednesday, 13 April 1904, for guest performance by Isadora Duncan.","Folded horizontally, with 4 holes punched along upper and lower edges.","Print, 1 leaf (1 page), with manuscript annotations.",eng,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcm1f,ark:/21198/zz0008c2pw,2,Completed,Work,,1060,,,,,paged,,,,,,,,,,,"Box Office Statements, 1904-1905|~|6",1,,,1. Isadora Duncan,uclamss_1729_b01_f06|~|002-010,"Kassen-Rapport, 1904 October 3",10/3/1904,"Cash accounting for performance by Isadora Duncan, dated Monday, October 3, 1904, for Chopin-Abend.  Estimate of general income on verso.","Folded, with 3 holes punched along left center edge.  2 vertial tears along upper left and center edge.","Print, 1 leaf (2 pages), with manuscript annotations.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcm2z,ark:/21198/zz0008c2pw,2,Completed,Work,,1071,,,,,paged,,,,,,,,,,,"Box Office Statements, 1905|~|7",1,1. Business Papers 1905-1907,,1. Isadora Duncan,uclamss_1729_b01_f07|~|002-016,"Kassen-Rapport, 1905 January 27",1/27/1905,"Cash accounting for 2 performances [by Isadora Duncan], dated Friday, 27 January 1905 and signed by Paul Bauer.","Folded, with 4 holes punched along horizontal center fold.","Print, 1 leaf (1 page),with manuscript annotations, signed.",ger,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcm3g,ark:/21198/zz002hcm0x,2,Completed,Page,holtzman/image/uclamss_1729_002-029_02_01.tif,1,,,,,,,,,,,,,,,,,,,,,uclamss_1729_b01_f06|~|002-029-02,Page 1,4/13/1904,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcm40,ark:/21198/zz002hcksb,2,Completed,Page,holtzman/image/uclamss_1729_002-008_01_01.tif,1,,,,,,,,,,,,,,,,,,,,,uclamss_1729_b01_f06|~|002-008,Page 1,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcm5h,ark:/21198/zz002hcm1f,2,Completed,Page,holtzman/image/uclamss_1729_002-010_01_01.tif,1,,,,,,,,,,,,,,,,6,1,,,,uclamss_1729_b01_f06|~|002-010,Page 1,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcm61,ark:/21198/zz002hcm1f,2,Completed,Page,holtzman/image/uclamss_1729_002-010_01_02.tif,2,,,,,,,,,,,,,,,,6,1,,,,uclamss_1729_b01_f06|~|002-010,Page 2,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcm7j,ark:/21198/zz002hcm2z,2,Completed,Page,holtzman/image/uclamss_1729_002-016_01_01.tif,1,,,,,,,,,,,,,,,,7,1,,,,uclamss_1729_b01_f07|~|002-016,Page 1,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcm82,ark:/21198/zz002hckjq,2,Completed,Page,holtzman/image/uclamss_1729_002-026_01_01.tif,1,,,,,,,,,,,,,,,,7,1,,,,uclamss_1729_b01_f07|~|002-027-01,Page 1,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcm9k,ark:/21198/zz002hcktv,2,Completed,Page,holtzman/image/uclamss_1729_002-018_01_01.tif,1,,,,,,,,,,,,,,,,7,1,,,,uclamss_1729_b01_f07|~|002-018,Page 1,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcmb3,ark:/21198/zz002hckk7,2,Completed,Page,holtzman/image/uclamss_1729_002-031_02_01.tif,1,,,,,,,,,,,,,,,,8,1,,,,uclamss_1729_b01_f08|~|002-031-02,Page 1,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcmcm,ark:/21198/zz002hckvc,2,Completed,Page,holtzman/image/uclamss_1729_002-022_01_01.tif,1,,,,,,,,,,,,,,,,8,1,,,,uclamss_1729_b01_f08|~|002-022,Page 1,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcmd4,ark:/21198/zz002hckww,2,Completed,Page,holtzman/image/uclamss_1729_002-039_05_01.tif,1,,,,,,,,,,,,,,,,8,1,,,,uclamss_1729_b01_f08|~|002-039-05,Page 1,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcmfn,ark:/21198/zz002hckmr,2,Completed,Page,holtzman/image/uclamss_1729_007-001_01_01.tif,1,,,,,,,,,,,,,,,,10,2,,,,uclamss_1729_b02_f10|~|007-001,Page 1,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcmg5,ark:/21198/zz002hckmr,2,Completed,Page,holtzman/image/uclamss_1729_007-001_01_02.tif,2,,,,,,,,,,,,,,,,10,2,,,,uclamss_1729_b02_f10|~|007-001,Page 2,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcmhp,ark:/21198/zz002hckmr,2,Completed,Page,holtzman/image/uclamss_1729_007-001_01_03.tif,3,,,,,,,,,,,,,,,,10,2,,,,uclamss_1729_b02_f10|~|007-001,Page 3,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcmj6,ark:/21198/zz002hckmr,2,Completed,Page,holtzman/image/uclamss_1729_007-001_01_04.tif,4,,,,,,,,,,,,,,,,10,2,,,,uclamss_1729_b02_f10|~|007-001,Page 4,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcmkq,ark:/21198/zz002hckmr,2,Completed,Page,holtzman/image/uclamss_1729_007-001_01_05.tif,5,,,,,,,,,,,,,,,,10,2,,,,uclamss_1729_b02_f10|~|007-001,Page 5,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcmm7,ark:/21198/zz002hckmr,2,Completed,Page,holtzman/image/uclamss_1729_007-001_01_06.tif,6,,,,,,,,,,,,,,,,10,2,,,,uclamss_1729_b02_f10|~|007-001,Page 6,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcmnr,ark:/21198/zz002hckmr,2,Completed,Page,holtzman/image/uclamss_1729_007-001_01_07.tif,7,,,,,,,,,,,,,,,,10,2,,,,uclamss_1729_b02_f10|~|007-001,Page 7,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcmp8,ark:/21198/zz002hckmr,2,Completed,Page,holtzman/image/uclamss_1729_007-001_01_08.tif,8,,,,,,,,,,,,,,,,10,2,,,,uclamss_1729_b02_f10|~|007-001,Page 8,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcmqs,ark:/21198/zz002hckmr,2,Completed,Page,holtzman/image/uclamss_1729_007-001_01_09.tif,9,,,,,,,,,,,,,,,,10,2,,,,uclamss_1729_b02_f10|~|007-001,Page 9,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcmr9,ark:/21198/zz002hckmr,2,Completed,Page,holtzman/image/uclamss_1729_007-001_01_10.tif,10,,,,,,,,,,,,,,,,10,2,,,,uclamss_1729_b02_f10|~|007-001,Page 10,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcmst,ark:/21198/zz002hckmr,2,Completed,Page,holtzman/image/uclamss_1729_007-001_01_11.tif,11,,,,,,,,,,,,,,,,10,2,,,,uclamss_1729_b02_f10|~|007-001,Page 11,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcmtb,ark:/21198/zz002hckmr,2,Completed,Page,holtzman/image/uclamss_1729_007-001_01_12.tif,12,,,,,,,,,,,,,,,,10,2,,,,uclamss_1729_b02_f10|~|007-001,Page 12,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcmvv,ark:/21198/zz002hckmr,2,Completed,Page,holtzman/image/uclamss_1729_007-001_01_13.tif,13,,,,,,,,,,,,,,,,10,2,,,,uclamss_1729_b02_f10|~|007-001,Page 13,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcmwc,ark:/21198/zz002hckmr,2,Completed,Page,holtzman/image/uclamss_1729_007-001_01_14.tif,14,,,,,,,,,,,,,,,,10,2,,,,uclamss_1729_b02_f10|~|007-001,Page 14,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcmxw,ark:/21198/zz002hckmr,2,Completed,Page,holtzman/image/uclamss_1729_007-001_01_15.tif,15,,,,,,,,,,,,,,,,10,2,,,,uclamss_1729_b02_f10|~|007-001,Page 15,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcmzd,ark:/21198/zz002hckmr,2,Completed,Page,holtzman/image/uclamss_1729_007-001_01_16.tif,16,,,,,,,,,,,,,,,,10,2,,,,uclamss_1729_b02_f10|~|007-001,Page 16,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcn0d,ark:/21198/zz002hckmr,2,Completed,Page,holtzman/image/uclamss_1729_007-001_01_17.tif,17,,,,,,,,,,,,,,,,10,2,,,,uclamss_1729_b02_f10|~|007-001,Page 17,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcn1x,ark:/21198/zz002hckmr,2,Completed,Page,holtzman/image/uclamss_1729_007-001_01_18.tif,18,,,,,,,,,,,,,,,,10,2,,,,uclamss_1729_b02_f10|~|007-001,Page 18,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcn2f,ark:/21198/zz002hckmr,2,Completed,Page,holtzman/image/uclamss_1729_007-001_01_19.tif,19,,,,,,,,,,,,,,,,10,2,,,,uclamss_1729_b02_f10|~|007-001,Page 19,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
Holtzman (Howard) Collection on Isadora Duncan. Collection 1729,ark:/21198/zz002hcn3z,ark:/21198/zz002hckmr,2,Completed,Page,holtzman/image/uclamss_1729_007-001_01_20.tif,20,,,,,,,,,,,,,,,,10,2,,,,uclamss_1729_b02_f10|~|007-001,Page 20,,,,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=5343812,https://oac.cdlib.org/findaid/ark:/13030/kt400025fn/
