"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Type.typeOfResource","Rights.copyrightStatus","Subject","Type.genre","Rights.generalNote","Name.repository","Name.donor","Name.photographer","Rights.servicesContact","Date.creation","Alt ID.local","Format.dimensions","Description.note","Title","Format.technique","Date.normalized","Coverage.geographic","AltTitle.uniform","Alt ID.collection","Format.extent","Format.medium","Bucketeer State","IIIF Access URL","IIIF Manifest URL"
"Los Angeles Latino Families Photo Project","ark:/21198/zz002c9ctd","ark:/21198/zz002c4jzn","2","Completed","Work","latfamiliesphoto/image/21198-zz002c9ctd_2061098_master.tif","","","","still image","copyrighted","Graduation ceremonies|~|Portrait photographs|~|Lifestyle","black-and-white photograph|~|portraits","Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","UCLA Chicano Studies Research Center Library & Archive","Barbara Carrasco","","","circa 1945","CSRC_LALatinoFamilies_Carrasco_002.tif","3 x 5","Marta Saucedo. This photograph was taken at Cassasola Studio in El Paso, TX. for Marta's prom at Jefferson High school.","Marta Saucedo","sepia print","1945","El Paso, TX","Saucedo Family","Los Angeles Latino Families Photo Project","1 Photograph","gelatin silver print","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c9ctd","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c9ctd/manifest"
"Los Angeles Latino Families Photo Project","ark:/21198/zz002c9cvx","ark:/21198/zz002c4jzn","2","Completed","Work","latfamiliesphoto/image/21198-zz002c9cvx_2061101_master.tif","","","","still image","copyrighted","Portrait photographs|~|Lifestyle","black-and-white photograph|~|portraits","Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","UCLA Chicano Studies Research Center Library & Archive","Barbara Carrasco","","","1911","CSRC_LALatinoFamilies_Carrasco_003.tif","3 x 5","Left to Right: Justo Carrasco (grandfather), Linda Carrasco, Ygnacio Carrasco. This photograph was taken in a studio in El Paso, TX.","Early Carrasco family portrait","","1911","El Paso, TX","Carrasco Family","Los Angeles Latino Families Photo Project","1 Photograph","gelatin silver print","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c9cvx","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c9cvx/manifest"
"Los Angeles Latino Families Photo Project","ark:/21198/zz002c9cwf","ark:/21198/zz002c4jzn","2","Completed","Work","latfamiliesphoto/image/21198-zz002c9cwf_2061104_master.tif","","","","still image","copyrighted","Lifestyle","color photographs","Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","UCLA Chicano Studies Research Center Library & Archive","Martha Velasco","","","May 1982","CSRC_LALatinoFamiles_Velasco_004.tif","3 x 5","Martha Velasco at 5 months pregnant with son, Christopher A. Velasco. Husband, Larry Velasco took the photograph. It was taken in Lincoln Heights in their first apartment.","Martha Velasco at 5 months pregnant","","1982-05","Lincoln Heights, CA","Velasco Family","Los Angeles Latino Families Photo Project","1 Photograph","chromogentic print","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c9cwf","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c9cwf/manifest"
"Los Angeles Latino Families Photo Project","ark:/21198/zz002c9cxz","ark:/21198/zz002c4jzn","2","Completed","Work","latfamiliesphoto/image/21198-zz002c9cxz_2061107_master.tif","","","","still image","copyrighted","Weddings|~|Lifestyle","snapshots|~|diffusion transfer prints","Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","UCLA Chicano Studies Research Center Library & Archive","Martha Velasco","","","3 March 1982","CSRC_LALatinoFamiles_Velasco_005.tif","3 1/2 x 4 1/2","Left to Right: Larry Velasco (20 years old), Martha Velasco (17 years old).The photograph was taken by Mireya Velazquez in Lincoln Heights, CA. on the day that Larry asked Martha to marry him. This happened after 2 months of not seeing one another because Larry was away in the Army. Also, Marhta was not allowed to date Larry during this time.","Day I was proposed to","polaroid","1982-03-03","Lincoln Heights, CA","Velasco Family","Los Angeles Latino Families Photo Project","1 Photograph","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c9cxz","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c9cxz/manifest"
"Los Angeles Latino Families Photo Project","ark:/21198/zz002c9d0g","ark:/21198/zz002c4jzn","2","Completed","Work","latfamiliesphoto/image/21198-zz002c9d0g_2061110_master.tif","","","","still image","copyrighted","Lifestyle|~|Family gatherings","black-and-white photograph|~|portraits","Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","UCLA Chicano Studies Research Center Library & Archive","Martha Velasco","","","1968","CSRC_LALatinoFamiles_Velasco_006.tif","4 x 6","Left to Right: Irma (sister), Cogui (cousin), Lupe (cousing), Susana (cousin), Saul (brother), Bertha (sister), Martha Velasco, and their Grandmother.Who took the Photograph? My Uncle PedroWhere was this Photograph taken? At my Grandmother's house","Me, my siblings and cousins at my grandmother's house","","1968","Zapotitlan de Hidalgo, Jalisco, Mexico","Velasco Family","Los Angeles Latino Families Photo Project","1 Photograph","gelatin silver print","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c9d0g","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c9d0g/manifest"
"Los Angeles Latino Families Photo Project","ark:/21198/zz002c9d10","ark:/21198/zz002c4jzn","2","Completed","Work","latfamiliesphoto/image/21198-zz002c9d10_2061115_master.tif","","","","still image","copyrighted","Lifestyle|~|Family gatherings","snapshots|~|black-and-white photograph","Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","UCLA Chicano Studies Research Center Library & Archive","Ginger Holguin","","","February 1970","CSRC_LALatinoFamilies_Holguin_001.tif","3 1/2 x 3 1/2","Left to Right:Richard P. Holguin and Ginger Holguin.This picture shows both father and daughter dancing.","Father and Daughter Dancing","","1970-02","Houston, TX","Holguin Family","Los Angeles Latino Families Photo Project","1 Photograph","gelatin silver print","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c9d10","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c9d10/manifest"
"Los Angeles Latino Families Photo Project","ark:/21198/zz002c9d2h","ark:/21198/zz002c4jzn","2","Completed","Work","latfamiliesphoto/image/21198-zz002c9d2h_2061118_master.tif","","","","still image","copyrighted","Lifestyle|~|Family gatherings","snapshots|~|black-and-white photograph","Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","UCLA Chicano Studies Research Center Library & Archive","Ginger Holguin","","","February 1970","CSRC_LALatinoFamilies_Holguin_002.tif","3 1/2 x 3 1/2","Left to Right:Unknown person, Ginger Holguin, and Richard P. Holguin. This picture shows father and daughter dancing.","Father and Daughter Dancing","","1970-02","Houston, TX","Holguin Family","Los Angeles Latino Families Photo Project","1 Photograph","gelatin silver print","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c9d2h","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c9d2h/manifest"
"Los Angeles Latino Families Photo Project","ark:/21198/zz002c9d31","ark:/21198/zz002c4jzn","2","Completed","Work","latfamiliesphoto/image/21198-zz002c9d31_2061206_master.tif","","","","still image","copyrighted","Lifestyle|~|Religion|~|Religious gatherings|~|Family gatherings","snapshots|~|black-and-white photograph","Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","UCLA Chicano Studies Research Center Library & Archive","Ginger Holguin","","","1960","CSRC_LALatinoFamilies_Holguin_003.tif","3 1/2 x 3 1/2","Left to Right:Annie Garica, Ginger Holguin, and Champ Fraga. The photograph was taken by Richard P. Holguin - Ginger Holguin's father, at her baptism. Both Annie and Champ are Ginger's godparents.","Ginger's Baptism","","1960","Houston, TX","Holguin Family","Los Angeles Latino Families Photo Project","1 Photograph","gelatin silver print","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c9d31","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c9d31/manifest"
"Los Angeles Latino Families Photo Project","ark:/21198/zz002c9d4j","ark:/21198/zz002c4jzn","2","Completed","Work","latfamiliesphoto/image/21198-zz002c9d4j_2061309_master.tif","","","","still image","copyrighted","Lifestyle|~|Family gatherings","color photographs","Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","UCLA Chicano Studies Research Center Library & Archive","Mirasol Riojas","","","1976","CSRC_LALatinoFamiles_Huerta_Riojas_001.tif","3 x 5","This is a photograph of Mirasol Riojas with her mother Yvette Huerta. It was taken by her father Arturo Riojas in their family home in Seabrook, TX following a shopping trip to Matamoros, Mexico.","Mirasol with her mom","","1976","Seabrook, TX","Riojas and Huerta Familly","Los Angeles Latino Families Photo Project","1 Photograph","chromogentic print","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c9d4j","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c9d4j/manifest"
"Los Angeles Latino Families Photo Project","ark:/21198/zz002c9d52","ark:/21198/zz002c4jzn","2","Completed","Work","latfamiliesphoto/image/21198-zz002c9d52_2061327_master.tif","","","","still image","copyrighted","Lifestyle|~|Weather|~|Family gatherings","color photographs","Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","UCLA Chicano Studies Research Center Library & Archive","Mirasol Riojas","","","January 1985","CSRC_LALatinoFamiles_Huerta_Riojas_002.tif","","Left to Right: Rodolfo Huerta (father), Robert Huerta (son), and Rosalinda Huerta (mother). This photograph was taken by their neighbor Toni Sfalos outside of their family home in San Antonio, TX. It was taken after a rare snowstorm in South Texas.","The Huerta family on a snowy day in Texas","","1985-01","San Antonio, TX","Huerta Family","Los Angeles Latino Families Photo Project","1 Photograph","chromogentic print","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c9d52","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c9d52/manifest"
"Los Angeles Latino Families Photo Project","ark:/21198/zz002c9d6k","ark:/21198/zz002c4jzn","2","Completed","Work","latfamiliesphoto/image/21198-zz002c9d6k_2061330_master.tif","","","","still image","copyrighted","Events|~|Lifestyle|~|Family gatherings|~|Youth","color photographs","Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","UCLA Chicano Studies Research Center Library & Archive","Mirasol Riojas","","","10 April 1977","CSRC_LALatinoFamiles_Huerta_Riojas_003.tif","","Left to Right:Albert Trevino (great grandfather), Mirasol Riojas, and Rodolfo Huerta (grandfather).This photograph was taken by another family member on Easter Sunday in the backyard of the family home in San Antonio, TX.","Trevino, Riojas, and Huerta family gathering on Easter Sunday","","1977-04-10","San Antonio, TX","Trevino, Riojas, and Huerta Family","Los Angeles Latino Families Photo Project","1 Photograph","chromogentic print","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c9d6k","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c9d6k/manifest"
"Los Angeles Latino Families Photo Project","ark:/21198/zz002c9d73","ark:/21198/zz002c4jzn","2","Completed","Work","latfamiliesphoto/image/21198-zz002c9d73_2061428_master.tif","","","","still image","copyrighted","Birthdays|~|Landmarks|~|Lifestyle|~|Family gatherings|~|Youth","snapshots|~|black-and-white photograph","Copyright has not been assigned to the UCLA Chicano Studies Research Center. All requests for permission to publish must be submitted in writing to the Chicano Studies Research Center Library. Permission for publication is given on behalf of the UCLA Chicano Studies Research Center as the owner of the physical item and is not intended to include or imply permission from the copyright holder, which must also be obtained.","UCLA Chicano Studies Research Center Library & Archive","Rosalio Munoz","","","22 December 1947","CSRC_LALatinoFamiles_Munoz_001.tif","3 1/2 x 4","Left to right: Neighbor (name is unknown), Rosalio Munoz (3 1/2 years old), Maria Rosalia Munoz, and Ricardo Munoz (5 years old). The photograph was taken by their father, Rosalio Munoz on Ricardo's 5th birthday at Laguna Park, in East Los Angeles, CA.|~|Laguna Park was later re-named  Ruben Salazar Park after the L.A. Times journalist Ruben Salazar who was killed at the August 29, 1970 Chicano Moratorium.  The Moratorium took place at Laguna Park and extended into the community of East Los Angeles. Rosalio, Maria Rosalia, and Ricardo all attended the Moratorium.","Ricardo's 5th birthday at Laguna Park","","1947-12-22","East Los Angeles, CA","Munoz Family","Los Angeles Latino Families Photo Project","1 photograph","gelatin silver print","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c9d73","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c9d73/manifest"
