Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,viewingHint,Item Sequence,Duplicate,Delete in Title,Thumbnail,Relation.isPartOf,Relation.box,Date.creation,Alt ID.local,Description.caption,Format.medium,Relation.folder,Title,Format.dimensions,AltTitle.uniform,Description.note,Description.abstract,Finding Aid URL,Opac url,IIIF Manifest URL
Takamura (Kango) paintings,ark:/21198/zz002k6f24,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6f24%2Fsf171q9j,"Kango Takamura Paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library",1,1942 Dec 31,uclalsc_433_b01_f05,"""Making rice cakes (mochi-tsuki). New Year custom. No 2 kitchen. Dec. 31. 1942."" Unsigned","watercolor, ink and pencil on paper, matted",5,"Making rice cakes, 1942 December 31.",21 x 28.5 cm,Making rice cakes (mochi-tsuki). New Year custom. No 2 kitchen.,Making rice cakes,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6f24/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6f3n,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6f3n%2F0923bq7d,"Kango Takamura Paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA",1,1943 May,uclalsc_433_b01_f16,"Caption on original mount: ""Saturday afternoon spring scene looking south from Block 8; quiet inside, sand pillars outside Manzanar."" w/ [Japanese characters]|~|No caption. ""May. 1943."" Signed ""K. Takamura.""",Watercolor on paper,16,"Saturday afternoon looking south from block 8, 1943 May",31.5 x 50.5 cm,,Saturday afternoon looking south from block 8,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6f3n/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6f45,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6f45%2Fk886h476,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",1,1944 Apr 9,uclalsc_433_b01_f15,"""Easter sunrise service. Apr. 9-1944."" Signed ""K. Takamura""",watercolor on paper,15,"Easter sunrise service, 1944 April 9.",36 x 50.5 cm,,"caption on original mount: ""Easter Service. Cold and windy at sunrise, the moon still shone over Mt. Williamson."" Japanese Characters.",,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6f45/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6f5p,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6f5p%2Fr653kd97,"Kango Takamura Paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA",1,,uclalsc_433_b01_f13,"""A huge blender speedily stirring gallons of water mixed with chopped guayule, forces rubber out of the wood. This is a mechanical method which has been proved most efficient in extracting rubber from guayule shrubs."" Signed ""K. Takamura""",watercolor and ink on paper,13,"A huge blender, n.d.",37 x 27.5 cm,,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6f5p/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6f66,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6f66%2F4g25rf0h,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",1,1943,uclalsc_433_b01_f17,"""Propogation of pl[a]nts by cutting method has been succeeded for the first time. Guayule cuttings are treated with a phytoharneon before setting in a flat. Mr. Hata. 1943."" Signed ""K. Takamura.""",Watercolor and ink on paper,17,"Mr. Hata, 1943.",26.5 x 37 cm,,written on back of watercolor: M-40|~|Mr. Hata|~|2 shots: watercolor and original mount M-40,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6f66/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6f9r,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6f9r%2F0913bj8t,"Kango Takamura Paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",1,[1944],uclalsc_433_b01_f11,"""Manzanar High School commencement of 1944. Our democratic country has people representing all the nation -- Mr. Ralph P. Merritt."" Unsigned w/ Japanese characters",watercolor and ink on paper,11,Manzanar High School commencement of 1944,23.5 x 41.5 cm,Manzanar High School commencement of 1944. Our democratic country has people representing all nation[s] -- Mr. Ralph P. Merritt.,,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6f9r/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6fb8,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6fb8%2F6779s855,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",1,,uclalsc_433_b01_f14,"""Mr. Nishimura. Analysis of the plant extracts is one of many research works which are carried out by the chemists. Here a chemist is working with a special apparatus for the determination of nitrogen."" Signed ""K. Takamura""",Watercolor and ink on paper,14,"Mr. Nishimura, n.d.",26.5 x 36.5 cm,,caption on original mount: [Japanese characters],,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6fb8/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6fd9,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6fd9%2Fsn53qc64,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,,uclalsc_433_b02_f14,"No caption. Signed ""K. Takamura""",Watercolor and ink on paper,14,"We made tubs, n.d.",18.5 x 30 cm,,"caption on original mount: ""We made bath tubs in the shower room out of wooden fish boxes."" and [Japanese characters]|~|written on back: slide available|~|2 shots: watercolor and original mount SF-14",,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6fd9/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6fft,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6fft%2Fcw67kw76,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,1942 Jun 15,uclalsc_433_b02_f23,"""Mojave, Calif. We waited for our bus here for seven long hours in a desert windstorm - after we disemba[r]ked from the train. 6-15-1942"" Unsigned w/ Japanese characters","Watercolor, ink and pencil on paper.",23,"Mojave, California, 1942 June 15",19.5 x 27 cm,,2 shots: watercolor and back SF-27|~|written on back: Hanko stamp.,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6fft/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6fgb,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6fgb%2F2606rq1g,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,,uclalsc_433_b02_f28,No caption. Signed,Watercolor and ink on paper,28,"Children in the classroom, n.d.",20 x 29 cm,,"caption on original mount: ""First Graders at Manzanar Grammar School."" and Japanese characters|~|On back: Hanko stamp|~|2 shots: watercolor and original mount M-5",,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6fgb/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6fhv,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6fhv%2Fs205d64v,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,1942 Jun 8,uclalsc_433_b02_f02,"""June 8th 1942"". No caption.  Unsigned",Watercolor and pencil on paper,2,"Chow time at the Mess Hall, 1942 June 8.",19 x 30 cm,,"caption on original mount: ""Chow Time at the Mess Hall. Santa Fe"" and Japanese characters|~|written on back: Hanko Stamp. Slide available2 shots: watercolor and original mount SF-2",,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6fhv/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6fjc,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6fjc%2Fjw95hg7c,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,1942 Oct 8,uclalsc_433_b02_f34,"""Manzanar High School. Studies took on great importance in these barrack classrooms. This was a day before the week-end holiday. Oct. 8-1942"" Signed ""K. Takamura.""",Watercolor and ink on paper,34,"Manzanar High School, 1942 October 8",21 x 29 cm,,2 shots: watercolor and original mount M-11,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6fjc/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6fkw,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6fkw%2Fz9946h29,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,1942 Apr 26,uclalsc_433_b02_f08,"""4-26-1942."" No caption on painting. Signed ""K. Takamura"" and with Japanese characters.|~|Caption on mount reads, ""Panorama of Santa Fe internment center. Drawn on writing paper - with anxiety - during early days when I was not sure that drawings of any kind were permitted."" Mount is unsigned w/ Japanese characters.",Painting: Watercolor and ink on paper|~|Mount: cardstock and rice paper with ink caption,8,"Panorama of Santa Fe internment center and mount, 1942 April 26.",Mount 20 x 28 cm|~|Painting 13 x 25 cm,,with mount,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6fkw/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6fmd,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6fmd%2F1z892j10,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,,uclalsc_433_b02_f27,"""It's nap time, but there's more noise than rest. The youngsters wriggle around, won't lie still. The teachers look exhausted. The scam in the for[e]ground turns around: 'Hiya pop, watcha doin'?' Rest time in the nursery class."" Signed ""K. Takamura"".",Watercolor and ink on paper,27,"Its nap time, n.d.",22 x 28.5 cm,,2 shots: watercolor and original mount M-4|~|on back: Hanko stamp. slide available|~|caption on original mount: Japanese characters,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6fmd/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6fnx,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6fnx%2Frt67w232,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,1942 Jun 8,uclalsc_433_b02_f03,"""June 8th 1942"". No caption.  Unsigned.",Watercolor and pencil on paper,3,"Relaxing after supper, 1942 June 8.",21 x 29 cm,,"caption on original mount: ""Relaxing after Supper."" and [Japanese characters]|~|2 shots: watercolor and original mount SF-3",,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6fnx/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6fpf,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6fpf%2Fz737tw43,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,1942 Jun / May 23,uclalsc_433_b02_f20,"""June, 1942. Ending months of uncertainty, we wer[e] released from Santa Fe internment camp to return to our families at relocation centers. Everyone cheered as we as we left camp. Now there was hope we would return home. May. 23. 1942."" Unsigned w/ Japanese characters","Watercolor, ink and pencil on paper",20,"June 1942, 1942 June/May 23.",19.5 x 29.5 cm,,on back: Hanko stamp.|~|caption on original mount: Japanese characters|~|2 shots: watercolor and original mount SF-20,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6fpf/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6frg,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6frg%2F4k60pf14,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,,uclalsc_433_b02_f29,"""'Teacher, I know - '  At the other end of the same barrack. First graders of Miss Joh sit awkwardly about the mess table. A question has just been asked. Little Hiroshi, on the end slowly lifts his hand 'Teacher, I know.'"" Signed ""K. Takamura.""","Watercolor, ink and pencil on paper",29,"Teacher, I know, n.d.",22 x 26.5 cm,,caption on original mount: Japanese characters|~|2 shots: watercolor and original mount M-6,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6frg/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6fs0,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6fs0%2Fn806vr41,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,,uclalsc_433_b02_f15,"""An adobe house inside our Sa[n]ta Fe Camp."" Signed ""K. Takamura""",Watercolor and ink on paper,15,"An adobe house inside our Santa Fe Camp, n.d.",17.5 x 29 cm,,2 shots: watercolor and original mount SF-15|~|caption on original mount: Japanese characters|~|written on back: slide available,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6fs0/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6fth,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6fth%2Fdn70362z,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,1942 Oct 8,uclalsc_433_b02_f35,"""Roll call is taken. This was first day of school the study hall. Co[n]verted from a former mess hall, resounded with laughter as Mr. Vanderjagt aide would call a name and a squeaky soprano would respond 'Here,' only to be followed by an off-pitch bass 'Heah.', Oct 8-42."" Unsigned",Watercolor and ink on paper,35,"Roll call is taken, 1942 October 8",21.5 x 28 cm,,on back: Hanko stamp.|~|2 shots: watercolor and original mount M-12,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6fth/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6fv1,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6fv1%2Frt547574,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,,uclalsc_433_b02_f04,"No caption.  Signed ""K. Takamura""",Watercolor and ink on paper,4,"Santa Fe's sunsets were beautiful, n.d.",17.5 x 26.5 cm,,"written on back: slide available on back: Hanko stamp.|~|caption on original mount: ""Santa Fe's Sunsets Were Beautiful!"" and [Japanese characters]",,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6fv1/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6fwj,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6fwj%2F8080941s,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,1942 Jun 8,uclalsc_433_b02_f19,"""A butane tank was used to strike the gong that summoned us to mess hall. June 8th 1942. Santa Fe internment camp."" Signed in pencil",Watercolor and ink on paper,19,"A butane tank, 1942 June 8.",20.5 x 29.5 cm,,"caption on original mount: ""This was the Santa Fe barrack where I stayed."" and Japanese characters|~|2 shots: watercolor and original mount SF-19",,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6fwj/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6fx2,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6fx2%2F6m887s1w,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,,uclalsc_433_b02_f09,"""Mr. Ohkado, Mr. Nozaki R., Mr. Kitagawa M."" Unsigned",Watercolor and ink on paper,9,"Administration office, n.d.",19.5 x 28 cm,,"caption on original mount: ""Administration Office. Santa Fe Interment Center."" and Japanese characters.|~|written on back: ""Mr. Ok, Mr. Noz - Ki at headquarter office"" Hanko stamp.|~|2 shots: watercolor and original mount SF-9",,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6fx2/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6fzk,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6fzk%2F9036jj3g,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,,uclalsc_433_b02_f30,"""Did you ever see such individual dress attire? This is a high school gym class. I ran into on the dusty field next to block 7. Facing each other in circle, they would clap their hands, say somet[h]ing, laugh. Off in the corner another class came dashing by in a cloud of dust. But school is wonderful."" Unsigned",Watercolor and ink on paper,30,"Did you ever see such individual dress attire?, n.d.",21 cm x 28 cm,,On back: Hanko stamp|~|2 shots: watercolor and original mount M-7,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6fzk/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6g0k,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6g0k%2Fgx18d67h,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,,uclalsc_433_b02_f39,"""Making rice cakes. New Year custom."" Unsigned",Watercolor and pencil on paper,39,"Making rice cakes, n.d.",21 x 28.5 cm,,2 shots: watercolor and original mount M-18,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6g0k/manifest
Takamura (Kango) paintings,ark:/21198/zz002k6g13,ark:/21198/zz002k526f,2,Completed,Work,,individuals,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002k6g13%2Fp594cx4p,"Kango Takamura paintings (Collection 433). UCLA Library Special Collections, Charles E. Young Research Library, UCLA.",2,1943 Feb,uclalsc_433_b02_f36,"""Students hurry to the classes as the belling's on this foggy morning. Feb - 1943."" Signed ""K. Takamura.""",Watercolor and ink on paper,36,"Students hurry to classes, 1943 Feb",20 x 30.5 cm,,2 shots: watercolor and original mount M-13|~|Caption on original mount: Japanese characters,,,,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002k6g13/manifest
