"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Language","Subject","Name.repository","Name.creator","Title","Relation.rectoVerso","Date.creation","Relation.isPartOf","Alt ID.local","AltTitle.uniform","Description.note","Format.dimensions","Description.abstract","Coverage.geographic","Date.normalized","Publisher.placeOfOrigin","Format.medium","Publisher.publisherName","Relation.textDirection","Format.extent","thumbnailImageName","masterImageName","IIIF Manifest URL"
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s8dmj","ark:/21198/zz0009gx4f","2","Completed","Work","","206","","","paged","","","","text","Manuscripts","pd","","","University of California, Los Angeles. Library Special Collections","","Coll. 170. MS. 693. ANON. Liber Pharetrae.","","XIII 2/2","","170/ 693","","","","","","","Bologna (?), Italy","","","ltr","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000s8dmj/manifest"
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s991r","ark:/21198/zz0009gx4f","2","Completed","Work","","207","","","paged","","","","text","Manuscripts","pd","fre|~|lat","","University of California, Los Angeles. Library Special Collections","","Coll. 170. MS. 698. PRAYERS.","","1450","","170/ 698","","","","","","","N. W. France (Brittany?)","","","ltr","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000s991r/manifest"
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s9fhx","ark:/21198/zz0009gx4f","2","Completed","Work","","208","","","paged","","","","text","Manuscripts","pd","fre","","University of California, Los Angeles. Library Special Collections","","Coll. 170. MS. 700. STATUTES AND ORDINANCES OF THE ORDER OF ST. MICHAEL.","","1523-28","","170/ 700","","Parchment. i (mod. paper) + ff. 42 + i (mod. paper).  242 x 178 (173 x 114) mm.  I 6, II-IV 8,  V 4 (-4, after f. 33), VI 8 (+ 1, before f. 35) 27 long lines, ruled in red ink.  Written by one person in batarde script.|~|Bound in dark blue velvet over pasteboards, front and back detached, edges gilt, red watered silk endleaves. Top and other(?) margins trimmed.","","Written probably in Paris between 1523 and 1528. This manuscript was very likely one of a series of  12 manuscripts of the Statutes made for the Court. In 1523 and again in 1528 the Order’s herald, Antoine Tavart, commissioned and paid a Parisian artist Etienne Collaud to illustrate twelve copies of the statutes, see Durrieu 1911 pp. 31-31. Early modern provenance unknown.  Belonged to Hemricourt de Ramioul (bookplate) ca. 1810, Liège, and later to Howel Wills (1845-1901, printed label with “A III 69” noted in ink) London. His sale, Sotheby’s 11 July (1894) # 1104 bought by Ellis. Acquired from Les Enluminures, Paris in November 2002.","","","France (probably Paris)","","","ltr","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000s9fhx/manifest"
"Medieval and Renaissance Manuscripts","ark:/21198/zz000s9q3k","ark:/21198/zz0009gx4f","2","Completed","Work","","209","","","paged","","","","text","Manuscripts","pd","","","University of California, Los Angeles. Library Special Collections","","Coll. 170. MS. 702. FERIAL PSALTER.","","XV 4/4","","170/ 702","","","","","","","Netherlands","","","ltr","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000s9q3k/manifest"
"Medieval and Renaissance Manuscripts","ark:/21198/zz000sb7hg","ark:/21198/zz0009gx4f","2","Completed","Work","","210","","","paged","","","","text","Manuscripts","pd","","","University of California, Los Angeles. Library Special Collections","","Coll. 170. MS. 703. HUGO RIPLIN OF STRASBOURG, O.P. fl. 1232-1268, Compendium theologicae veritatis.","","XIII 2/2","","170/ 703","","","","","","","Paris","","","ltr","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sb7hg/manifest"
"Medieval and Renaissance Manuscripts","ark:/21198/zz000sc3v5","ark:/21198/zz0009gx4f","2","Completed","Work","","211","","","paged","","","","text","Manuscripts","pd","","","University of California, Los Angeles. Library Special Collections","","Coll. 170. MS. 704. RAIMUNDUS DE BRETIS. Distinctiones temporales et sanctorum cum thematibus connexae.","","1360-80","","170/ 704","","","","","","","Italy","","","ltr","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sc3v5/manifest"
"Medieval and Renaissance Manuscripts","ark:/21198/zz000sd9gt","ark:/21198/zz0009gx4f","2","Completed","Work","","10","","","paged","","","","text","Manuscripts","pd","lat","Manuscripts, Medieval","University of California, Los Angeles. Library Special Collections","","ROUSE MS 3. SERMONES DE TEMPORE ET DE SANCTIS, incomplete.","","XIII 4/4","Richard H. and Mary A. Rouse Collection of Manuscripts. (Collection 360). Library Special Collections, Charles E. Young Research Library, University of California, Los Angeles.","Rouse MS 3","Richard H. and Mary A. Rouse Collection of Manuscripts.","Written in northern Italy in the last quarter of the thirteenth century. The opening words of the sermon on f. 183 — “Sicut dixi vobis hec mane” (As I said to you this morning …) — imply a community; observances for Saint Clare and Saint Antony of Padua, and the translation of Saint Francis with its indication that other feasts of Francis were observed (f. 285v), suggest a Franciscan origin. Purchased from Bernard Rosenthal, San Francisco in November 1985 by Richard and Mary Rouse. Given to UCLA in 2005.","","This is a disbound collection of quires, a physical state that has facilitated the loss of entire quires after the original foliation. Written by four scribes. A sermon collection incomplete at the beginning and the end, divided into temporal sermons from Advent to the seventh Sunday after Pentecost [= sixth Sunday after Trinity] and sanctoral sermons.","","1475 / 1499","Northern Italy","","","ltr","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sd9gt/manifest"
"Medieval and Renaissance Manuscripts","ark:/21198/zz000sdcsf","ark:/21198/zz0009gx4f","2","Completed","Work","","187","","","paged","","","","text","Manuscripts","pd","","","University of California, Los Angeles. Library Special Collections","","Coll. 170. MS. 351. SCHOENBARTBUCH (NÜRENBERG CARNIVAL BOOK).","","XVIex","Bound Manuscripts Collection. UCLA Library Special Collections, Charles E. Young Research Library.","170/ 351","Schempart Buech : darin zu finden in was Klaidtung und Manir die Geselschafften sein ausz gelauffen zu Fassnacht zeiten von 1449 Jar an bis auf 1539 und was sich in einem jeden Jar begeben hatt auch der Meserer und Menschen dann.","Acquired from H.P. Kraus in 1961, as a gift of the Samuel H. Kress Foundation","","Binding: bound in original 17th-century German leather over paper boards; concentric decorative (outer) and double ruled (inner) borders, with gilt corner-pieces; center gilt lozenge, with gilt pomegrante ornament at each corner; oval medallion in center of lozenge contains gilt stamp of a young black man (also pictured in the Schedel painted bookplate on front pastedown) holding a chalice and sword; four pairs of green silk ties, two along fore-edges, one each at upper and lower edges; spine divided by five raised double bands into six compartments (top one is missing), each with gilt-stamped fleur-de-lis ornament within floral border. The stamp and border match those on Ms. Nor. K. 444 in the Nuremberg Stadtbibliothek.","","1590/1620","Nürnberg, Germany","","","ltr","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sdcsf/manifest"
"Medieval and Renaissance Manuscripts","ark:/21198/zz000sdstr","ark:/21198/zz0009gx4f","2","Completed","Work","","182","","","paged","","","","text","Manuscripts","pd","","","University of California, Los Angeles. Library Special Collections","","Coll. 170. MS. 21. NICHOLAUS CUSANUS, DE VISIONE DEI.","","XV^2","Bound Manuscripts Collection. UCLA Library Special Collections, Charles E. Young Research Library.","170/ 21","","","","","","","Germany","","","ltr","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sdstr/manifest"
"Medieval and Renaissance Manuscripts","ark:/21198/zz000sfc84","ark:/21198/zz0009gx4f","2","Completed","Work","","120","","","paged","","","","text","Manuscripts","pd","fre|~|lat","","University of California, Los Angeles. Library Special Collections","","Rouse MS. 66. BOOK OF HOURS. Use of Besançon.","","XV2/2","Richard H. and Mary A. Rouse Collection of Manuscripts. (Collection 360). Library Special Collections, Charles E. Young Research Library, University of California, Los Angeles.","Rouse MS 66","Richard and Mary Rouse Collection of Medieval and Renaissance Manuscripts","Written in France, diocese of Besançon, in the second half of the fifteenth century. A date added in a contemporary hand f. 1: “M IIIIC LXXII.” On fol. 1 lower middle, s. XVIII, “J. de Beaujeu” under a motto “Chascung Desire,” and at top right, s. XIX, “S. Remy”. 	Given to UCLA in 2005.|~|In Latin, with rubrics and some cross-references in French.","","","","1550 -1599","France (Diocese of Besançon)","","","ltr","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sfc84/manifest"
"Medieval and Renaissance Manuscripts","ark:/21198/zz000sh5j8","ark:/21198/zz0009gx4f","2","Completed","Work","","41","","","paged","","","","text","Manuscripts","pd","","","University of California, Los Angeles. Library Special Collections","","Rouse MS. 52. HOURS OF THE BVM (Sarum Use) and OFFICE OF THE DEAD.","","s. XV1/4.","Richard H. and Mary A. Rouse Collection of Manuscripts. (Collection 360). Library Special Collections, Charles E. Young Research Library, University of California, Los Angeles.","Rouse MS 52","Richard and Mary Rouse Collection of Medieval and Renaissance Manuscripts","Written in the first quarter of the fifteenth century in England, perhaps in or for use in Kent (indicated by inclusion in the calendar of a feast commemorating the return of Thomas Becket from exile, a local commemoration). Signatures f. 39: “Thomas” inverted; f. 58: “John” and “For I am in love with her that me r—ith”; f. 76v: “Antony Lister” (s. XV), f. 79: “Houbande Lister” inverted. Pen trials on ff. 30v, 39, 79. Pencil note on f. ii: “Purchased from the Towneley Hall Library” (Towneley Hall, Lancashire). Dealers’ notes on f. iv: “VNW 138” and “A6”. Bought by Les Enluminures at the Los Angeles Antiquarian Book Fair 16-18 February 1996. Bought from Les Enluminures by Richard and Mary Rouse in February 1996. Given to UCLA in 2005.","","","","1440","England (London)","","","ltr","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sh5j8/manifest"
"Medieval and Renaissance Manuscripts","ark:/21198/zz000sh7g6","ark:/21198/zz0009gx4f","2","Completed","Work","","184","","","paged","","","","text","Manuscripts","pd","","","University of California, Los Angeles. Library Special Collections","","Coll. 170. MS. 85. CANTATAS including three by Luigi Rossi (1597-1653). Italy s. XVII.","","XVII","Bound Manuscripts Collection. UCLA Library Special Collections, Charles E. Young Research Library.","170/ 85","Cantatas","","","The first leaf of each cantata except no. 16 has been excised, after the manuscript was foliated, probably because these leaves bore pen decoration. The titles in brackets are from the table of contents on f. 201.Paper (Watermark: chapeau with lateral ties and crossed canons in a circle below) i + 203ff. (contemporary foliation), 96 x 257 (70 x 222) mm. Collation: quires normally of four leaves, catchwords. Written by one person: ff. 2-184, four 5-line music staves, ff. 185-200 five 5-line music staves. Ruled with a 5-line rake.Bound in 17th century dark red Italian morocco, double border rules, 4 corner and 1 center gold vignettes. On spine between 3 bands 4 gilt stamps of a flower with 4 leaves. Gilt fore-edges, marble end papers. Boxed.Written in Italy in the 17th century. Provenance unknown. Name (?) on the inside of the front cover in ink ""Good"". The description of 170/85 in Bond and Faye, Supplement (New York 1962) 539 no. 9 is actually of 170/87. Acquired by UCLA at an unknown date probably after 1945 and before 1963. Microfilmed for the University of Indiana library 17 February 1987. UCLA microfilm no. 7237 bx 1960.","","","Italy","","","ltr","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sh7g6/manifest"
"Medieval and Renaissance Manuscripts","ark:/21198/zz000shg90","ark:/21198/zz0009gx4f","2","Completed","Work","","138","","","paged","","","","text","Manuscripts","pd","","","University of California, Los Angeles. Library Special Collections","","Rouse MS. 80. RUPERT OF DEUTZ, De divinis officiis; HELINANT DE FROIDMONT, Florilegium.","","XIII¾.","","","Richard and Mary Rouse Collection of Medieval and Renaissance Manuscripts","","","","","","N. France (Beauvais?)","","","ltr","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000shg90/manifest"
"Medieval and Renaissance Manuscripts","ark:/21198/zz000sj3c5","ark:/21198/zz0009gx4f","2","Completed","Work","","36","","","paged","","","","text","Manuscripts","pd","lat","","University of California, Los Angeles. Library Special Collections","","Rouse MS 40. BOOK OF HOURS, use of Rome, Latin. Fragment.","","1443","Richard H. and Mary A. Rouse Collection of Manuscripts. (Collection 360). Library Special Collections, Charles E. Young Research Library, University of California, Los Angeles.","Rouse MS 40","Richard and Mary Rouse Collection of Medieval and Renaissance Manuscripts","Written by Alberico Spinola, a Camaldolese monk and a citizen of Genoa, in 1443, and illuminated by Hugo of Alexandria, noted in the Dictionnaire des Colophons (from the Quaritch catalog cited below). On f. 1 in ink: “Ex libris Dominici Merli Civis Lucensis 1787.” Listed in Bernard Quaritch, A Catalogue of Illuminated and other Manuscripts (London 1931) no. 74; at that time the manuscript was lacking only 2 leaves (first leaf of q. 3 and of q. 16) and contained: “f. 1, Calendar; f. 21, Officium B.M.V. (lacking 1st leaf); f. 141b, Missa B.V.M.; f. 147, Septum Psalmi Penitentiales cum Litania; f. 181, Officium Mortuorum; f. 257, Officium S. Crucis; f. 267, Officium S. Spiritus; f. 290, Memoriae Sanctorum”; at that time it was decorated with 14 illuminated and 3 historiated initials, and with three-quarter borders of “floreated scrolls.” Acquired, still whole except for the two missing leaves, by Nicolas Pavlov, Dobbs Ferry, NY, from Reiss & Auvermann at Glashuetten im Taunus, West Germany (Catalog, lot #15, with plates) in October 1988. Dismembered by Pavlov and portions sold to other dealers. A part, probably the Office of the Dead, was sold to the bookdealer Bruce Guenter of South Egermont, MA. Rouse MS 40 was acquired in its present state from Pavlov in March 1990 by Richard and Mary Rouse. Given to UCLA in 2005.","","","","","Italy (Genoa?)","","","ltr","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sj3c5/manifest"
"Medieval and Renaissance Manuscripts","ark:/21198/zz000skgs4","ark:/21198/zz0009gx4f","2","Completed","Work","","213","","","paged","","","","text","Manuscripts","pd","","","University of California, Los Angeles. Library Special Collections","","Coll. 170. MS. 706. ORDO. Use of Rome.","","XIV","","170/ 706","","","","","","","Italy","","","ltr","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000skgs4/manifest"
"Medieval and Renaissance Manuscripts","ark:/21198/zz000skrmd","ark:/21198/zz0009gx4f","2","Completed","Work","","212","","","paged","","","","text","Manuscripts","pd","ger|~|lat","","University of California, Los Angeles. Library Special Collections","","Coll. 170. MS. 705. COMPUTISTICAL TEXTS AND TABLES.","","XV 3/3","","170/ 705","","","","","","","Southwestern Germany","","","ltr","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000skrmd/manifest"
"Medieval and Renaissance Manuscripts","ark:/21198/zz000skt1k","ark:/21198/zz0009gx4f","2","Completed","Work","","188","","","paged","","","","text","Manuscripts","pd","","","University of California, Los Angeles. Library Special Collections","Bonino, Marco","Coll. 170. MS. 358. Engineer’s Sketchbook, MARCO BONINO.","","XVII^2.|~|XVI^2","Bound Manuscripts Collection. UCLA Library Special Collections, Charles E. Young Research Library.","170/ 358","","","","","","1501/1700","North Italy|~|France","","","ltr","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000skt1k/manifest"
"Medieval and Renaissance Manuscripts","ark:/21198/zz000sm0cm","ark:/21198/zz0009gx4f","2","Completed","Work","","198","","","paged","","","","text","Manuscripts","pd","","","University of California, Los Angeles. Library Special Collections","","Coll. 170. MS. 664. A DICTIONARY OF PHILOSOPHICAL AND THEOLOGICAL TERMS in alphabetical order, untitled.","","1400","Bound Manuscripts Collection. UCLA Library Special Collections, Charles E. Young Research Library.","170/ 664","","","","","","","Italy","","","ltr","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sm0cm/manifest"
"Medieval and Renaissance Manuscripts","ark:/21198/zz000sn10v","ark:/21198/zz0009gx4f","2","Completed","Work","","196","","","paged","","","","text","Manuscripts","pd","","","University of California, Los Angeles. Library Special Collections","","Coll. 170. MS. 642. Collectanea, Vitae Patrum; LOTARIO DEI SEGNI, De Miseria Condicionis Humanae; ANSELM OF CANTERBURY, Proslogion; HUGH OF ST. VICTOR, Soliloquium de Arrha Animae; JOHANNES HEROLT, Sermones.","","XV 4/4","Bound Manuscripts Collection. UCLA Library Special Collections, Charles E. Young Research Library.","170/ 642","","","","","","","West Germany","","","ltr","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz000sn10v/manifest"
"Medieval and Renaissance Manuscripts","ark:/21198/zz00152q3c","ark:/21198/zz0009gx4f","2","Completed","Work","","23","","","paged","","","","text","Manuscripts","pd","","","University of California, Los Angeles. Library Special Collections","","Rouse MS 20. SERMONES, fragment","","XIIIex|~|XIIIin","Richard H. and Mary A. Rouse Collection of Manuscripts. (Collection 360). Library Special Collections, Charles E. Young Research Library, University of California, Los Angeles.","Rouse MS 20","Richard and Mary Rouse Collection of Medieval and Renaissance Manuscripts","","229 x 161 (179 x 126) mm.","Written in England in the late twelfth century or France in the early thirteenth, to judge from paleographic (forms of “pp,” “de,” “con,” etc.; round shape with wedged minims/ascenders), decorative (red-and-blue alternation, simple acanthus) and codicological features (written on top line). England is the more likely, to judge from the similarity to Rouse MS 21 below. The eighth quire of a larger codex (roman numeral foliation, lvii-lxiiii; quire signature, VIII). Modern pencil notes, f. 1: “#5,” left-hand bottom margin; “Sermones,” left-hand top margin. Bought by Richard and Mary Rouse from H.P. Kraus, New York, in 1983, probably from the Phillipps collection, along with other fragments including Rouse MS 105, which see for modern provenance. Given to UCLA in 2005.|~|Decoration: 2-line initials in alternating red and blue, flourished with acanthus; blue initials ff. 6va and 8rb flourished in green and red, respectively. Rubrics in red|~|Unbound. Originally sewn on 5 bands.","","1300 / 1325","England|~|France","Vellum parchment (velvety and stiff).","","ltr","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00152q3c/manifest"
"Medieval and Renaissance Manuscripts","ark:/21198/zz00152sfh","ark:/21198/zz0009gx4f","2","Completed","Work","","25","","","paged","","","","text","Manuscripts","pd","dut","","University of California, Los Angeles. Library Special Collections","","Rouse MS. 22. BREVIARY, fragment.Diocese of Liège(?).","","XIII","Richard H. and Mary A. Rouse Collection of Manuscripts. (Collection 360). Library Special Collections, Charles E. Young Research Library, University of California, Los Angeles.","Rouse MS 22","Richard and Mary Rouse Collection of Medieval and Renaissance Manuscripts","Written in the second half of the thirteenth century in an area with Germanic influence on script forms, probably in the diocese of Liège to judge from the saints mentioned. St. Odulf (Utrecht) suggests the border area between the archdiocese of Cologne and the diocese of Liège, while both Domitian of Maestricht and especially the translation of Lambert of Maestricht point to Liège and the Brabant. Probably from the Phillipps collection. Bought from H.P. Kraus, New York, in 1983 by Richard and Mary Rouse, along with other fragments including Rouse MS 105 (see for modern provenance). Given to UCLA in 2005.","211 x 160 (146 x 130) mm.","","","","Liége","Parchment","","ltr","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00152sfh/manifest"
"Medieval and Renaissance Manuscripts","ark:/21198/zz00153cmr","ark:/21198/zz0009gx4f","2","Completed","Work","","40","","","paged","","","","text","Manuscripts","pd","eng","","University of California, Los Angeles. Library Special Collections","","Rouse MS 51. ALCHEMICAL MISCELLANY of Cox Macro, composite.","","XIIImed; XVex (1571-1572); XVIImed (1650)","Richard H. and Mary A. Rouse Collection of Manuscripts. (Collection 360). Library Special Collections, Charles E. Young Research Library, University of California, Los Angeles.","Rouse MS 51","Richard and Mary Rouse Collection of Medieval and Renaissance Manuscripts","","","","","1571 - 1572; 1650","England","","","ltr","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00153cmr/manifest"
"Medieval and Renaissance Manuscripts","ark:/21198/zz00153kdj","ark:/21198/zz0009gx4f","2","Completed","Work","","42","","","paged","","","","text","Manuscripts","pd","","","University of California, Los Angeles. Library Special Collections","","Rouse MS. 53. HOMAGE ROLL mentioning Sir John Fastolff and the Pastons.","","1446-1453","","","Richard and Mary Rouse Collection of Medieval and Renaissance Manuscripts","","","","","","Norfolk, England","","","ltr","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00153kdj/manifest"
"Medieval and Renaissance Manuscripts","ark:/21198/zz00153ks7","ark:/21198/zz0009gx4f","2","Completed","Work","","122","","","paged","","","","text","Manuscripts","pd","fre","Manuscripts, Medieval","University of California, Los Angeles. Library Special Collections","","Rouse MS. 68. ATHIS ET PROPHILIAS, in Middle French.","","XIII¾","a manuscript of the longer version of the Roman d'Athis et de Prophilias","clus_360 Rouse_ MS 68","Richard and Mary Rouse Collection of Medieval and Renaissance Manuscripts","","224 x 160 (155 x 115) mm; II at the largest, 230 X 165 (157 x 125) mm","","","","Champagne/Burgundy (France)","parchment, ruled in lead point","","ltr","2 columns of 31 lines each|~|Two bifolia","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00153ks7/manifest"
"Medieval and Renaissance Manuscripts","ark:/21198/zz00153m5d","ark:/21198/zz0009gx4f","2","Completed","Work","","123","","","paged","","","","text","fragments","pd","","","University of California, Los Angeles. Library Special Collections","","Rouse MS. 69. PONTIFICAL, fragment.","","XVI med","","","Richard and Mary Rouse Collection of Medieval and Renaissance Manuscripts","","","","","","France","","","ltr","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00153m5d/manifest"
"Medieval and Renaissance Manuscripts","ark:/21198/zz00153s3s","ark:/21198/zz0009gx4f","2","Completed","Work","","128","","","paged","","","","text","Manuscripts","pd","","","University of California, Los Angeles. Library Special Collections","","Rouse MS. 74. PSALTER and BREVIARY, 4 bifolia.","","XV 1/4","","","Richard and Mary Rouse Collection of Medieval and Renaissance Manuscripts","","","","","1401/1425","England","","","ltr","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00153s3s/manifest"
"Medieval and Renaissance Manuscripts","ark:/21198/zz001541fs","ark:/21198/zz0009gx4f","2","Completed","Work","","153","","","paged","","","","text","Manuscripts","pd","","","University of California, Los Angeles. Library Special Collections","","Rouse MS. 96. TABULA SEPTEM CUSTODIARUM. 2 bifolia.","","XIV¼","","","Richard and Mary Rouse Collection of Medieval and Renaissance Manuscripts","","","","","","Oxford","","","ltr","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001541fs/manifest"
