"Project Name","Item ARK","Parent ARK","Object Type","viewingHint","File Name","Item Sequence","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.servicesContact","Name.repository","Name.illuminator","Language","Author","Title","AltTitle.other","Description.note","Date.creation","Summary","Date.normalized","Description.adminnote","Description.contents","Condition note","Illustrations note","Description.colophon","Description.history","Binding note","Format.extent","Alt ID.local","Format.dimensions","Relation.isPartOf","AltTitle.uniform","Place of origin","Bucketeer State","IIIF Access URL"
"Armenian Manuscripts","ark:/21198/zz0009h1cz","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h1cz-1-master.tif","9","text","","pd","","","","","","[Gladzor Gospels: page 7]","","This page is blank.","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h1cz"
"Armenian Manuscripts","ark:/21198/zz0009h1dg","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h1dg-1-master.tif","10","text","illuminated manuscripts|~|Illuminations","pd","","","First Painter","arm","","[Gladzor Gospels: page 8]","Canon Table One.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h1dg"
"Armenian Manuscripts","ark:/21198/zz0009h1f0","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h1f0-1-master.tif","11","text","illuminated manuscripts|~|Illuminations","pd","","","First Painter","arm","","[Gladzor Gospels: page 9]","Canon Table Two.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h1f0"
"Armenian Manuscripts","ark:/21198/zz0009h1gh","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h1gh-1-master.tif","12","text","","pd","","","","","","[Gladzor Gospels: page 10]","","This page is blank.","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h1gh"
"Armenian Manuscripts","ark:/21198/zz0009h1h1","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h1h1-1-master.tif","13","text","","pd","","","","","","[Gladzor Gospels: page 11]","","This page is blank.","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h1h1"
"Armenian Manuscripts","ark:/21198/zz0009h1jj","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h1jj-1-master.tif","14","text","illuminated manuscripts|~|Illuminations","pd","","","First Painter","arm","","[Gladzor Gospels: page 12]","Canon Tables Three and Four.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h1jj"
"Armenian Manuscripts","ark:/21198/zz0009h1k2","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h1k2-1-master.tif","15","text","illuminated manuscripts|~|Illuminations","pd","","","First Painter","arm","","[Gladzor Gospels: page 13]","Canon Table Five.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h1k2"
"Armenian Manuscripts","ark:/21198/zz0009h1mk","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h1mk-1-master.tif","16","text","","pd","","","","","","[Gladzor Gospels: page 14]","","This page is blank.","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h1mk"
"Armenian Manuscripts","ark:/21198/zz0009h1n3","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h1n3-1-master.tif","17","text","","pd","","","","","","[Gladzor Gospels: page 15]","","This page is blank.","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h1n3"
"Armenian Manuscripts","ark:/21198/zz0009h1pm","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h1pm-1-master.tif","18","text","illuminated manuscripts|~|Illuminations","pd","","","First Painter","arm","","[Gladzor Gospels: page 16]","Canon Tables Six and Seven.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h1pm"
"Armenian Manuscripts","ark:/21198/zz0009h1q4","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h1q4-1-master.tif","19","text","illuminated manuscripts|~|Illuminations","pd","","","First Painter","arm","","[Gladzor Gospels: page 17]","Canon Tables Eight and Nine.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h1q4"
"Armenian Manuscripts","ark:/21198/zz0009h1rn","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h1rn-1-master.tif","20","text","","pd","","","","","","[Gladzor Gospels: page 18]","","This page is blank.","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h1rn"
"Armenian Manuscripts","ark:/21198/zz0009h1s5","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h1s5-1-master.tif","21","text","","pd","","","","","","[Gladzor Gospels: page 19]","","This page is blank.","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h1s5"
"Armenian Manuscripts","ark:/21198/zz0009h1tp","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h1tp-1-master.tif","22","text","illuminated manuscripts|~|Illuminations","pd","","","First Painter","arm","","[Gladzor Gospels: page 20]","Canon Table Ten.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h1tp"
"Armenian Manuscripts","ark:/21198/zz0009h1v6","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h1v6-1-master.tif","23","text","illuminated manuscripts|~|Illuminations","pd","","","First Painter","arm","","[Gladzor Gospels: page 21]","Canon Table Ten.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h1v6"
"Armenian Manuscripts","ark:/21198/zz0009h1wq","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h1wq-1-master.tif","24","text","","pd","","","","arm","","[Gladzor Gospels: page 22]","Preface to the Gospel of Matthew.","Seventeenth century addition (See Sanjian, p. 48.)","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h1wq"
"Armenian Manuscripts","ark:/21198/zz0009h1x7","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h1x7-1-master.tif","25","text","","pd","","","","arm","","[Gladzor Gospels: page 23]","Index to the Gospel of Matthew, with concordances; not completed.","Seventeenth century addition (See Sanjian, p. 48.)","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h1x7"
"Armenian Manuscripts","ark:/21198/zz0009h1zr","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h1zr-1-master.tif","26","text","","pd","","","","arm","","[Gladzor Gospels: page 24a]","Inscription of Baroness Vaxax.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h1zr"
"Armenian Manuscripts","ark:/21198/zz00159m6m","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz00159m6m-1-master.tif","28","text","","pd","","","","arm","","[Gladzor Gospels: page 24b]","Two inscriptions of the owner Ostan.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00159m6m"
"Armenian Manuscripts","ark:/21198/zz00159m74","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz00159m74-1-master.tif","29","text","","pd","","","","","","[Gladzor Gospels: page 24c]","","This page is blank.","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00159m74"
"Armenian Manuscripts","ark:/21198/zz0009h20r","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h20r-1-master.tif","30","text","","pd","","","","arm","","[Gladzor Gospels: page 25]","Inscriptions.","","","Two inscriptions, dated 1824, of the owner Yōvakim Abraham, and another inscription dated 1901. (See Sanjian, p. 52 and 59.)","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h20r"
"Armenian Manuscripts","ark:/21198/zz0009h218","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h218-1-master.tif","31","text","illuminated manuscripts|~|Illuminations","pd","","","Second Painter","","","[Gladzor Gospels: page 26]","Portrait of the Evangelist Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h218"
"Armenian Manuscripts","ark:/21198/zz0009h22s","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h22s-1-master.tif","32","text","illuminated manuscripts|~|Illuminations","pd","","","Second Painter","arm","","[Gladzor Gospels: page 27]","Incipit to the Gospel of Matthew.","The initial of the opening line is formed by an angel holding a book.","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h22s"
"Armenian Manuscripts","ark:/21198/zz0009h239","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h239-1-master.tif","33","text","illuminated manuscripts|~|Illuminations","pd","","","Second Painter","arm","","[Gladzor Gospels: page 28]","The Genealogy of Christ.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h239"
"Armenian Manuscripts","ark:/21198/zz0009h24t","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h24t-1-master.tif","34","text","illuminated manuscripts|~|Illuminations","pd","","","Second Painter","arm","","[Gladzor Gospels: page 29]","The Genealogy of Christ.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h24t"
"Armenian Manuscripts","ark:/21198/zz0009h25b","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h25b-1-master.tif","35","text","illuminated manuscripts|~|Illuminations","pd","","","Second Painter","arm","","[Gladzor Gospels: page 30]","The Genealogy of Christ.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h25b"
"Armenian Manuscripts","ark:/21198/zz0009h26v","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h26v-1-master.tif","36","text","illuminated manuscripts|~|Illuminations","pd","","","Second Painter","arm","","[Gladzor Gospels: page 31]","The Genealogy of Christ.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h26v"
"Armenian Manuscripts","ark:/21198/zz0009h27c","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h27c-1-master.tif","37","text","illuminated manuscripts|~|Illuminations","pd","","","Second Painter","arm","","[Gladzor Gospels: page 32]","The Genealogy of Christ.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h27c"
"Armenian Manuscripts","ark:/21198/zz0009h28w","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h28w-1-master.tif","38","text","illuminated manuscripts|~|Illuminations","pd","","","Second Painter","arm","","[Gladzor Gospels: page 33]","The Genealogy of Christ.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h28w"
"Armenian Manuscripts","ark:/21198/zz0009h29d","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h29d-1-master.tif","39","text","illuminated manuscripts|~|Illuminations","pd","","","Second Painter","arm","","[Gladzor Gospels: page 34]","The Genealogy of Christ.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h29d"
"Armenian Manuscripts","ark:/21198/zz0009h2bx","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h2bx-1-master.tif","40","text","illuminated manuscripts|~|Illuminations","pd","","","Second Painter","arm","","[Gladzor Gospels: page 35]","The Genealogy of Christ.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h2bx"
"Armenian Manuscripts","ark:/21198/zz0009h2cf","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h2cf-1-master.tif","41","text","illuminated manuscripts|~|Illuminations","pd","","","","arm","","[Gladzor Gospels: page 36]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h2cf"
"Armenian Manuscripts","ark:/21198/zz0009h2dz","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h2dz-1-master.tif","42","text","illuminated manuscripts|~|Illuminations","pd","","","","arm","","[Gladzor Gospels: page 37]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h2dz"
"Armenian Manuscripts","ark:/21198/zz0009h2fg","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h2fg-1-master.tif","43","text","illuminated manuscripts|~|Illuminations","pd","","","","arm","","[Gladzor Gospels: page 38]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h2fg"
"Armenian Manuscripts","ark:/21198/zz0009h2g0","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h2g0-1-master.tif","44","text","","pd","","","","arm","","[Gladzor Gospels: page 39]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h2g0"
"Armenian Manuscripts","ark:/21198/zz0009h2hh","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h2hh-1-master.tif","45","text","illuminated manuscripts|~|Illuminations","pd","","","","arm","","[Gladzor Gospels: page 40]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h2hh"
"Armenian Manuscripts","ark:/21198/zz0009h2j1","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h2j1-1-master.tif","46","text","","pd","","","","arm","","[Gladzor Gospels: page 41]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h2j1"
"Armenian Manuscripts","ark:/21198/zz0009h2kj","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h2kj-1-master.tif","47","text","","pd","","","","arm","","[Gladzor Gospels: page 42]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h2kj"
"Armenian Manuscripts","ark:/21198/zz0009h2m2","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h2m2-1-master.tif","48","text","","pd","","","","arm","","[Gladzor Gospels: page 43]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h2m2"
"Armenian Manuscripts","ark:/21198/zz0009h2nk","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h2nk-1-master.tif","49","text","illuminated manuscripts|~|Illuminations","pd","","","","arm","","[Gladzor Gospels: page 44]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h2nk"
"Armenian Manuscripts","ark:/21198/zz0009h2p3","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h2p3-1-master.tif","50","text","","pd","","","","arm","","[Gladzor Gospels: page 45]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h2p3"
"Armenian Manuscripts","ark:/21198/zz0009h2qm","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h2qm-1-master.tif","51","text","illuminated manuscripts|~|Illuminations","pd","","","","arm","","[Gladzor Gospels: page 46]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h2qm"
"Armenian Manuscripts","ark:/21198/zz0009h2r4","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h2r4-1-master.tif","52","text","illuminated manuscripts|~|Illuminations","pd","","","","arm","","[Gladzor Gospels: page 47]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h2r4"
"Armenian Manuscripts","ark:/21198/zz0009h2sn","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h2sn-1-master.tif","53","text","","pd","","","","arm","","[Gladzor Gospels: page 48]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h2sn"
"Armenian Manuscripts","ark:/21198/zz0009h2t5","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h2t5-1-master.tif","54","text","","pd","","","","arm","","[Gladzor Gospels: page 49]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h2t5"
"Armenian Manuscripts","ark:/21198/zz0009h2vp","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h2vp-1-master.tif","55","text","","pd","","","","arm","","[Gladzor Gospels: page 50]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h2vp"
"Armenian Manuscripts","ark:/21198/zz0009h3df","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h3df-1-master.tif","56","text","illuminated manuscripts|~|Illuminations","pd","","","","arm","","[Gladzor Gospels: page 51]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h3df"
"Armenian Manuscripts","ark:/21198/zz0009h3fz","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h3fz-1-master.tif","57","text","","pd","","","","arm","","[Gladzor Gospels: page 52]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h3fz"
"Armenian Manuscripts","ark:/21198/zz0009h3gg","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h3gg-1-master.tif","58","text","","pd","","","","arm","","[Gladzor Gospels: page 53]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h3gg"
"Armenian Manuscripts","ark:/21198/zz0009h3h0","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h3h0-1-master.tif","60","text","illuminated manuscripts|~|Illuminations","pd","","","","arm","","[Gladzor Gospels: page 54]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h3h0"
"Armenian Manuscripts","ark:/21198/zz0009h3jh","ark:/21198/zz0009gx6g","Page","","armenian/masters/21198-zz0009h3jh-1-master.tif","61","text","","pd","","","","arm","","[Gladzor Gospels: page 55]","Gospel of Matthew.","","","","","","","","","","","","","","","","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0009h3jh"
