Object Type,Local identifier,Item ARK,Parent ARK,File Name,Title,AltTitle.other,Name.creator,Contributor,Date.created,Date.normalized,Language,Type.typeOfResource,Format.extent,Format.medium,Format.dimensions,Genre,Repository,collection.physical,Rights.copyrightStatus,Rights.rightsHolderContact,Summary,Contents note,Description.latitude,Description.longitude,Name.subject,Note,Place of origin,Publisher.publisherName,Statement of Responsibility,Subject topic,Subject geographic,Subject temporal,IIIF Access URL,Waveform,media.width,media.height,media.duration,media.format,IIIF Manifest URL
Work,RS1161,ark:/21198/z1tf1pvp,ark:/21198/z1w10zd8|~|ark:/21198/z13b7wpn,Masters/othermasters/MEAPmigration/rajasthanmusic/audio/arcers0199_a.wav,Wedding songs - Kalbelia 2,Field recordings of wedding songs sung by a group of women of the Kalbelia community.,"Kothari, Komal",Suvadevi|~|Chunibai|~|Lachmidevi|~|Padmaram,"February 25, 2000",2000-02-25,mwr,sound recording,46 min.,audio cassette,,sound recordings,Rupayan Sansthan,Rupayan Audio-Visual Archive,unknown,"Rupayan Sansthan, rupayansansthan@gmail.com","Recording of wedding songs sung by a group of women of the Kalbelia communtiy including Suva devi, Lachhmi devi, Luni devi and Chunni bai, and one male singer, Padmaram.","1. 'Bannosa pooche apare sasur ne', a wedding song sung by a group of women and a male singer. 2. 'Banna mhare bhariya lay do', a wedding song sung by a group of women. 3. 'Jad mhari halat bigri', a wedding song sung by a group of women. 4. 'Ek pato mai todiyo bhinjari', a wedding song sung by a group of women. 5. 'Mai bhapo jiro', a wedding song sung by a group of women. 6. Banna marji apro sa', a wedding song sung by a group of women. 7. 'Banna gayo joshida ri hat', a wedding song sung by a group of women. 8. 'Aj bai ro suvatiyo', a wedding song sung by a group of women. 9. 'Padlo layo banni', a wedding song sung by a group of women. 10. 'Banna bar bar samjhaya', a wedding song sung by a group of women. 11. Bansa woh dharti chora'. a wedding song sung by a group of women. 12. 'Padla molava bansa', a wedding song sung by a group of women. 13. 'Banna kala kot silai do', a wedding song sung by a group of women. 14. 'Banno banni se hoshiyar sa', a wedding song sung by a group of women.",,,,,,,,"Folk songs, Rajasthani--India--Rajasthan|~|Oral tradition|~|Wedding music",Rajasthan (India),,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/tf/1p/vp/21198=z1tf1pvp/ark%2B=21198=z1tf1pvp.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz1tf1pvp%2Faudiowaveform.dat,,,2760.205427,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1tf1pvp/manifest
Work,RS1161,ark:/21198/z1pp0z68,ark:/21198/z1w10zd8|~|ark:/21198/z13b7wpn,Masters/othermasters/MEAPmigration/rajasthanmusic/audio/arcers0199_b.wav,Wedding songs - Kalbelia 2,Field recordings of wedding songs sung by a group of women of the Kalbelia community.,"Kothari, Komal",Suvadevi|~|Chunibai|~|Lachmidevi|~|Padmaram,"February 25, 2000",2000-02-25,mwr,sound recording,44 min. 59 sec.,audio cassette,,sound recordings,Rupayan Sansthan,Rupayan Audio-Visual Archive,unknown,"Rupayan Sansthan, rupayansansthan@gmail.com","Recording of wedding songs sung by a group of women of the Kalbelia community including Suva devi, Lachhmi devi, Luni devi and Chunni bai.","1. 'Tere liyo banni motor car', a wedding song sung by a group of women.  2. 'Banni sariya layo char', a wedding song sung by a group of women. 3. 'Banna vo banni nimbura', a wedding song sung by a group of women. 4. 'Sevariya ri koyal bai', a wedding song sung by a group of women. 5. 'Dhiya bai ro bhabhoji bole', a wedding song sung by a group of women. 6. 'Banni chokha chokha phal laye', a wedding song sung by a group of women. 7. 'Lopiyo kakosa aviyo', a wedding song sung by a group of women. 8. 'Kesariya lare lare pachane jave', a wedding song sung by a group of women. 9. 'Dharti dhape ghodaliya mor', a wedding song sung by a group of women. 10. Kana re gaj moti ladla'. a wedding song sung by a group of women. 11. 'Dhadhiya mangayi du', a wedding song sung by a group of women. 12. 'Banna poocho thane bat', a wedding song sung by a group of women. 13. 'Banna photuda khichava aya', a wedding song sung by a group of women. 14. 'Sathira pooche bansa ne bat', a wedding song sung by a group of women.|~|Silence from 00:00 to 3:09 on the source recording has been edited.",,,,,,,,"Folk songs, Rajasthani--India--Rajasthan|~|Oral tradition|~|Wedding music",Rajasthan (India),,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/pp/0z/68/21198=z1pp0z68/ark%2B=21198=z1pp0z68.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz1pp0z68%2Faudiowaveform.dat,,,2635.840573,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1pp0z68/manifest
Work,RS1162,ark:/21198/z1jx06fg,ark:/21198/z1w10zd8|~|ark:/21198/z13b7wpn,Masters/othermasters/MEAPmigration/rajasthanmusic/audio/arcers0200_a.wav,Rukma Manganiar,Songs sung by Rukma Manganiar.,"Kothari, Komal","Manganiar, Rukma","February 04, 2000",2000-02-04,mwr,sound recording,47 min. 56 sec.,audio cassette,,sound recordings,Rupayan Sansthan,Rupayan Audio-Visual Archive,unknown,"Rupayan Sansthan, rupayansansthan@gmail.com","Recording of songs sung by Rukma Manganiar with Dhol accompaniment. The songs were recorded by scholar Shirley Prembath at the Jaisalmer fort in Jaisamery city, Rajasthan. Side B of this tape is blank.","1. 'Mhare amrane ri me', a song sung by Rukma Manganiar with Dhol accompaniment. 2. 'Bannado ayo rangare mehel', a wedding song sung by Rukma Manganiar with Dhol accompaniment. 3. A conversation between Rukma Manganiar and the recordist. 4. A song from the ballad of Mumal-Mahendra, sung by Rukma Manganiar with Dhol accompaniment. 5. 'Dab dab bhariya baisa ri nain', a song sung by Rukma Manganiar with Dhol accompaniment. 6. 'Avaludi', a song about missing one's beloved, sung by Rukma Manganiar with Dhol accompaniment. 7. 'Are mangetar sadule wali', a wedding song sung by Rukma Manganiar with Dhol accompaniment.|~|Signal on the left channel is louder than the right. Side B of this tape is blank",,,,,,,,"Folk songs, Rajasthani--India--Rajasthan|~|Oral tradition|~|Ballads, Rajasthani|~|Wedding music|~|Musicians--Interviews|~|Tales--India--Rajasthan",Rajasthan (India),,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/jx/06/fg/21198=z1jx06fg/ark%2B=21198=z1jx06fg.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz1jx06fg%2Faudiowaveform.dat,,,2876.424604,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1jx06fg/manifest
Work,RS1163,ark:/21198/z1f49fp2,ark:/21198/z1w10zd8|~|ark:/21198/z13b7wpn,Masters/othermasters/MEAPmigration/rajasthanmusic/audio/arcers0201_a.wav,रातीजगा रे गीत - 1,"Songs of Ratijaga, a night long ritual, sung by a group of women. 1","Kothari, Komal","Kothari, Komal","May 24, 2000",2000-05-24,mwr,sound recording,47 min. 18 sec.,audio cassette,,sound recordings,Rupayan Sansthan,Rupayan Audio-Visual Archive,unknown,"Rupayan Sansthan, rupayansansthan@gmail.com",Field recording of songs sung by a group of women. These songs are of the night long ritual of singing devotional songs known as Ratijaga. The recording contains intermittent conversations among the women singers and with Komal Kothari.,"1. 'Deviji', a devotional song dedicated to the female deity sung by a group of women. 2. 'Nadi kinare bheruji', a devotional song dedicated to Bheruji, a local deity, sung by a group of women. 3. 'Telan ji ne kahijo', a devotional song dedicated to Bheruji, a local deity, sung by a group of women. 4. 'Ramo ramo re bayasa', a devotional song dedicated to the female deity, sung by a group of women. 5. A conversation between the singers and Komal Kothari about the female deity, Rani Bhatiyani. 6. 'Rani bhatiyani ri ghoomar', a devotional song dedicated to Rani Bhatiyani, a local deity, sung by a group of women. 7. Conversation among the singers.",,,,,,,,"Folk songs, Rajasthani--India--Rajasthan|~|Oral tradition|~|Devotional poetry|~|Musicians--Interviews",Rajasthan (India),,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/f4/9f/p2/21198=z1f49fp2/ark%2B=21198=z1f49fp2.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz1f49fp2%2Faudiowaveform.dat,,,2838.214427,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1f49fp2/manifest
Work,RS1163,ark:/21198/z19g7dc2,ark:/21198/z1w10zd8|~|ark:/21198/z13b7wpn,Masters/othermasters/MEAPmigration/rajasthanmusic/audio/arcers0201_b.wav,रातीजगा रे गीत - 1,"Songs of Ratijaga, a night long ritual, sung by a group of women. 1","Kothari, Komal","Kothari, Komal","May 24, 2000",2000-05-24,mwr,sound recording,38 min. 9 sec.,audio cassette,,sound recordings,Rupayan Sansthan,Rupayan Audio-Visual Archive,unknown,"Rupayan Sansthan, rupayansansthan@gmail.com","Field recording of songs sung by a group of women. These songs are of the night long ritual of singing devotional songs known as Ratijaga. Mostly devotional in nature, Ratijaga songs are dedicated to multiple deities. The recording contains intermittent conversations among the women singers and with Komal Kothari.","1. 'Sona rupa ri tapdau', a devotional song sung by a group of women. 2. 'Tharo motosa shish ganehs', a devotional song dedicated to Ganesh, sung by a group of women. 3. A conversation among the women singers about the next song to sing. 4. 'Baba unchi re thankan', a devotional song sung by a group of women. 5. 'Marag me dalibai miliya', a devotional song dedicated to Dalibai, a local deity, sung by a group of women. 6. 'Sati mai kotda bajiya', a devotional song dedicated to Sati mai also known as Rani Bhatiyani, a local deity, sung by a group of women. 7. A conversation about Sawai Man Singh and Rani Bhatiyani among Komal Kothari and the women singers. 8. 'Sanwala ji thai mhare', a devotional song dedicated to Krishna, sung by a group of women. 9. A devotional song dedicated to Pabuji, a pastoral deity, sung by a group of women. 10. 'Chandani chaudas me janamiya', a devotional song sung by a group of women. 11. 'Chhik chauth tuti', a devotional song sung by a group of women.",,,,,,,,"Folk songs, Rajasthani--India--Rajasthan|~|Oral tradition|~|Devotional poetry|~|Musicians--Interviews|~|Krishna (Hindu deity)--In the performing arts|~|Pastoral poetry",Rajasthan (India),,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/9g/7d/c2/21198=z19g7dc2/ark%2B=21198=z19g7dc2.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz19g7dc2%2Faudiowaveform.dat,,,2289.825938,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz19g7dc2/manifest
Work,RS1164,ark:/21198/z15q6nmw,ark:/21198/z1w10zd8|~|ark:/21198/z13b7wpn,Masters/othermasters/MEAPmigration/rajasthanmusic/audio/arcers0202_a.wav,रातीजगा रे गीत - 2,"Songs of Ratijaga, a night long ritual, sung by a group of women. 2","Kothari, Komal",,"May 25, 2000",2000-05-25,mwr,sound recording,5 min. 44 sec.,audio cassette,,sound recordings,Rupayan Sansthan,Rupayan Audio-Visual Archive,unknown,"Rupayan Sansthan, rupayansansthan@gmail.com","Field recording of songs sung by a group of women. These songs are of the night long ritual known as Ratijaga. Mostly devotional in nature, Ratijaga songs are dedicated to multiple deities.","1. 'Nadi re kinare gandhi hat ji madi', a song sung by a group of women.|~|Side B of this tape is blank.",,,,,,,,"Folk songs, Rajasthani--India--Rajasthan|~|Oral tradition|~|Devotional poetry",Rajasthan (India),,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/5q/6n/mw/21198=z15q6nmw/ark%2B=21198=z15q6nmw.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz15q6nmw%2Faudiowaveform.dat,,,344.545458,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15q6nmw/manifest
Work,RS1165,ark:/21198/z11z5wxm,ark:/21198/z1w10zd8|~|ark:/21198/z13b7wpn,Masters/othermasters/MEAPmigration/rajasthanmusic/audio/arcers0203_a.wav,रातीजगा रे गीत - 2,"Songs of Ratijaga, a night long ritual, sung by a group of women. 2","Kothari, Komal",,"May 25, 2000",2000-05-25,mwr,sound recording,42 min. 27 sec.,audio cassette,,sound recordings,Rupayan Sansthan,Rupayan Audio-Visual Archive,unknown,"Rupayan Sansthan, rupayansansthan@gmail.com","Field recording of songs sung by a group of women. These songs are of the night long ritual known as Ratijaga. Mostly devotional in nature, Ratijaga songs are dedicated to multiple deities. The recording contains intermittent conversations among the women singers and with Komal Kothari.","1. 'Pitarji', a devotional song dedicated to Pitarji, a generic local deity sung by a group of women. 2. 'Bhomiya', a devotional song dedicated to Bhomiyaji, a generic pastoral deity, sung by a group of women. 3. 'Gogo', a devotional song dedicated to Gogaji, a local deity, sung by a group of women. 4. 'Diwalo', a devotional song, sung by a group of women. 5. 'Mehendi rachani', a wedding song, sung by a group of women. 6. 'Mhare bavso paranaye prabhati', a devotional song sung by a group of women. 7. 'Kukkado', a devotional song sung by a group of women. 8. 'Chak chundarli laga lu', a devotional song sung by a group of women. 9. 'Suraj bhalo ugyo', a devotional song sung by a group of women. 10. A conversation among the women singers and Komal Kothari about the next song to sing. 11. 'Majisa dantan kar loni', a devotional song dedicated to Rani Bhatiyani, a female deity, sung by a group of women. 12. 'Mad devta ne pai raj', a devotional song sung by a group of women. 13. 'Nand maiher sone ro', a devotional song sung by a group of women.",,,,,,,,"Folk songs, Rajasthani--India--Rajasthan|~|Oral tradition|~|Devotional poetry",Rajasthan (India),,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/1z/5w/xm/21198=z11z5wxm/ark%2B=21198=z11z5wxm.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz11z5wxm%2Faudiowaveform.dat,,,2547.280063,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11z5wxm/manifest
Work,RS1165,ark:/21198/z1x65dgg,ark:/21198/z1w10zd8|~|ark:/21198/z13b7wpn,Masters/othermasters/MEAPmigration/rajasthanmusic/audio/arcers0203_b.wav,रातीजगा रे गीत - 2,"Songs of Ratijaga, a night long ritual, sung by a group of women.","Kothari, Komal",,"May 25, 2000",2000-05-25,mwr,sound recording,44 min. 23 sec.,audio cassette,,sound recordings,Rupayan Sansthan,Rupayan Audio-Visual Archive,unknown,"Rupayan Sansthan, rupayansansthan@gmail.com","Field recording of songs sung by a group of women. These songs are of the night long ritual known as Ratijaga. Mostly devotional in nature, Ratijaga songs are dedicated to multiple deities. The recording contains intermittent conversations among the women singers and with Komal Kothari.","1. 'Tulchha tharo mandir kun banayo re', a devotional song sung by a group of women. 2. A conversation among the women singers and Komal Kothari about the Ratijaga songs. 3. 'Chanda thari nirmal rat', a devotional song sung by a group of women. 4. 'Uth jadali bevadlo utar', a devotional song sung by a group of women. 5. A conversation among the women singers and Komal Kothari about the Ratijaga songs. 6. 'Beejo aat tanka', a devotional song sung by a group of women singers. 7. A conversation among the women singers and Komal Kothari about the Ratijaga songs.|~|Signal on the left channel is louder than the right.",,,,,,,,"Folk songs, Rajasthani--India--Rajasthan|~|Oral tradition|~|Devotional poetry|~|Musicians--Interviews",Rajasthan (India),,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/x6/5d/gg/21198=z1x65dgg/ark%2B=21198=z1x65dgg.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz1x65dgg%2Faudiowaveform.dat,,,2663.513323,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1x65dgg/manifest
Work,RS1166,ark:/21198/z1sf4nrr,ark:/21198/z1w10zd8|~|ark:/21198/z13b7wpn,Masters/othermasters/MEAPmigration/rajasthanmusic/audio/arcers0204_a.wav,विवाह के गीत - 4,Wedding songs sung by a group of women from the Hudkal community.,"Kothari, Komal",Gogdi|~|Premlata|~|Bhanwaribai,"May 26, 2000",2000-05-26,mwr,sound recording,45 min.,audio cassette,,sound recordings,Rupayan Sansthan,Rupayan Audio-Visual Archive,unknown,"Rupayan Sansthan, rupayansansthan@gmail.com","Field recording of wedding songs sung by a group of women of the Hudkal communty including Gogdi, Premlata and Bhanwaribai from Jodhpur district. The recording contains intermittent discussion among the women singers about the songs.","1. 'Vinayak', a devotional wedding song dedicated to Ganesh, sung by a group of women. 2. 'Mhari haldi ro rang surang', a wedding song sung by a group of women. 3. 'Sun sun re jodhano', a wedding song sung by a group of women. 4. 'Ongatano', a wedding song sung by a group of women. 5. 'Snan geet', a wedding song about bathing, sung by a group of women.  6. 'Chausara geet', a wedding song sung by a group of women. 7. 'Lal banna', a wedding song sung by a group of women. 8. 'Padlo', a wedding song sung by a group of women. 9. 'Ghodi geet', a wedding song about the mare, sung by a group of women. 10. 'Ghodi ro geet', a wedding song about the wedding mare, sung by a group of women. 11. 'Gali geet', an abusive song sung in jest at weddings, sung by a group of women.",26.2389,73.0243,,,,,,"Folk songs, Rajasthani--India--Rajasthan|~|Oral tradition|~|Devotional poetry|~|Wedding music","District Jodhpur, Rajasthan (India)",,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/sf/4n/rr/21198=z1sf4nrr/ark%2B=21198=z1sf4nrr.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz1sf4nrr%2Faudiowaveform.dat,,,2700.0,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sf4nrr/manifest
Work,RS1166,ark:/21198/z1np3x00,ark:/21198/z1w10zd8|~|ark:/21198/z13b7wpn,Masters/othermasters/MEAPmigration/rajasthanmusic/audio/arcers0204_b.wav,विवाह के गीत - 4,Wedding songs sung by a group of women the Hudkal community.,"Kothari, Komal",Gogdi|~|Premlata|~|Bhanwaribai,"May 27, 2000",2000-05-27,mwr,sound recording,43 min. 5 sec.,audio cassette,,sound recordings,Rupayan Sansthan,Rupayan Audio-Visual Archive,unknown,"Rupayan Sansthan, rupayansansthan@gmail.com","Field recording of wedding songs sung by a group of women of the Hudkal community including Gogdi, Premlata and Bhanwaribai from Jodhpur district. The recording contains intermittent discussion among the women singers about the songs.","1. 'Kaman geet', a wedding song sung by a group of women. 2. 'Badhavo geet', a wedding song sung by a group of women. 3. 'Banna the toraniye matjayi', a wedding song sung by a group of women. 4. 'Jalo', a wedding song sung by a group of women. 5. 'Runjhuniyo', a wedding song sung by a group of women. 6. 'Mayra geet', a wedding song sung by a group of women.7. 'Rathora ro geet', a wedding song about the Rathaur lineage and their deeds, sung by a group of women. 8. 'Mumal', a wedding song about the romance of Mumal and Mahendra, the protagonists of a romantic ballad, sung by a group of women.  9. 'Thali chugavan geet', a wedding song sung by a group of women.",26.2389,73.0243,,,,,,"Folk songs, Rajasthani--India--Rajasthan|~|Oral tradition|~|Wedding music","District Jodhpur, Rajasthan (India)",,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/np/3x/00/21198=z1np3x00/ark%2B=21198=z1np3x00.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz1np3x00%2Faudiowaveform.dat,,,2585.117656,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1np3x00/manifest
Work,RS1167,ark:/21198/z1j11vrs,ark:/21198/z1w10zd8|~|ark:/21198/z13b7wpn,Masters/othermasters/MEAPmigration/rajasthanmusic/audio/arcers0205_a.wav,श्रीमाली महिला के गीत - 1,Wedding songs sung by a group of women from the Shrimali community of Rajasthan.,"Kothari, Komal",,"May 29, 2000",2000-05-29,mwr,sound recording,48 min.,audio cassette,,sound recordings,Rupayan Sansthan,Rupayan Audio-Visual Archive,unknown,"Rupayan Sansthan, rupayansansthan@gmail.com",Field recording of wedding songs sung by a group of women belonging to the Shrimali community of Rajasthan.,"1. 'Ranak bhawan se aao vinayak', a devotional wedding song dedicated to Ganesh, sung by a group of women of the Shrimali community. 2. 'Chadh chadh vinayakji aayo', a devotional wedding song dedicated to Ganesh, sung by a group of women of the Shrimali community. 3. 'Mhare anganiye re', a wedding song sung by a group of women of the Shrimali community. 4. 'Angan ayi virda', a wedding song sung by a group of women of the Shrimali community. 5. 'Pilasa chauka ne hari', a wedding song sung by a group of women of the Shrimali community. 6. 'Ave lachhmi in ghar jasa', a devotional wedding song dedicated to Laxmi, sung by a group of women of the Shrimali community. 7. 'Bannadi to ubi gokade', a wedding song sung by a group of women of the Shrimali community. 8. 'Banno mhari hasti', a wedding song sung by a group of women of the Shrimali community. 9. 'Lachhmi mata bhala padhariya', a devotional wedding song dedicated to Laxmi, sung by a group of women of the Shrimali community. 10. 'Lachhmi mata', a devotional wedding song dedicated to Laxmi, sung by a group of women of the Shrimali community.",26.2389,73.0243,,,,,,"Folk songs, Rajasthani--India--Rajasthan|~|Oral tradition|~|Devotional poetry|~|Wedding music|~|Ritual","District Jodhpur, Rajasthan (India)",,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/j1/1v/rs/21198=z1j11vrs/ark%2B=21198=z1j11vrs.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz1j11vrs%2Faudiowaveform.dat,,,2813.986948,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1j11vrs/manifest
Work,RS1167,ark:/21198/z1d813zj,ark:/21198/z1w10zd8|~|ark:/21198/z13b7wpn,Masters/othermasters/MEAPmigration/rajasthanmusic/audio/arcers0205_b.wav,श्रीमाली महिला के गीत - 1,Wedding songs sung by a group of women from the Shrimali community of Rajasthan.,"Kothari, Komal",,"May 29, 2000",2000-05-29,mwr,sound recording,48 min.,audio cassette,,sound recordings,Rupayan Sansthan,Rupayan Audio-Visual Archive,unknown,"Rupayan Sansthan, rupayansansthan@gmail.com",Field recording of wedding songs sung by a group of women belonging to the Shrimali community of Rajasthan.,"1. 'Vinayak ji aviya re', a devotional wedding song dedicated to Ganesh, sung by a group of women of the Shrimali community. 2. 'Saraswati ma aviya re', a devotional wedding song dedicated to Saraswati, sung by a group of women of the Shrimali community. 3. 'Narela re phot chunayan', a devotional wedding song, sung by a group of women of the Shrimali community. 4. 'Parvatiya ne nivatarla dijo', a devotional wedding song dedicated to Parvati, sung by a group of women of the Shrimali community. 5. 'Veera mathe me', a wedding song sung by a group of women of the Shrimali community. 6. 'Mhara sirdar bannasa', a wedding song sung by a group of women of the Shrimali community. 7. 'Mhari balak bannadi', a wedding song sung by a group of women of the Shrimali community. 8. 'Unchi re medhi ujali re', a wedding song sung by a group of women of the Shrimali community. 9. 'Bhabhosa ro pyaro banno', a wedding song sung by a group of women of the Shrimali community. 10. 'Suvag levan chali', a wedding song sung by a group of women of the Shrimali community. 11. 'Jajo samada par', a wedding song sung by a group of women of the Shrimali community.",26.2389,73.0243,,,,,,"Folk songs, Rajasthani--India--Rajasthan|~|Oral tradition|~|Devotional poetry|~|Wedding music|~|Ritual","District Jodhpur, Rajasthan (India)",,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/d8/13/zj/21198=z1d813zj/ark%2B=21198=z1d813zj.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz1d813zj%2Faudiowaveform.dat,,,2880.0,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1d813zj/manifest
Work,RS1168,ark:/21198/z18h0c77,ark:/21198/z1w10zd8|~|ark:/21198/z13b7wpn,Masters/othermasters/MEAPmigration/rajasthanmusic/audio/arcers0206_a.wav,श्रीमाली महिला के गीत - 2,Wedding songs and women's songs sung by a group of women from the Shrimali community of Rajasthan.,"Kothari, Komal",,"May 31, 2000",2000-05-31,mwr,sound recording,46 min. 46 sec.,audio cassette,,sound recordings,Rupayan Sansthan,Rupayan Audio-Visual Archive,unknown,"Rupayan Sansthan, rupayansansthan@gmail.com",Field recording of wedding and women's songs sung by a group of women belonging to the Shrimali community of Rajasthan.,"1. 'Balak Banni', a wedding song sung by a group of women of the Shrimali community. 2. 'Mhara phulchand bannada', a wedding song sung by a group of women of the Shrimali community. 3. 'Mhari haldi ro rang', a wedding song sung by a group of women of the Shrimali community. 4. 'Surajan puchho chhe balamiya', a song sung by a group of women of the Shrimali community. 5. 'Gehu cheena', a song sung by a group of women of the Shrimali community. 6. 'Lodo lodiyo re', a song sung by a group of women of the Shrimali community. 7. 'Kasumbi ra dagal dagal paan', a song about consuming opium, sung by a group of women of the Shrimali community. 8. 'Bajhot', a song sung by a group of women of the Shrimali community. 9. 'Jodhana ra teli', a song sung by a group of women of the Shrimali community. 10. 'Banni koyal banno suvato', a wedding song sung by a group of women of the Shrimali community. 11. 'Badhavo ji mhare aviyo', a wedding song sung by a group of women of the Shrimali community. 12. 'Chanda thare chandane', a song sung by a group of women of the Shrimali community. 13. 'Sheher me sandhya pad gayi', a song sung by a group of women of the Shrimali community.",26.2389,73.0243,,,,,,"Folk songs, Rajasthani--India--Rajasthan|~|Oral tradition|~|Devotional poetry|~|Wedding music|~|Ritual","District Jodhpur, Rajasthan (India)",,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/8h/0c/77/21198=z18h0c77/ark%2B=21198=z18h0c77.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz18h0c77%2Faudiowaveform.dat,,,2806.718823,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18h0c77/manifest
Work,RS1168,ark:/21198/z14q9mhz,ark:/21198/z1w10zd8|~|ark:/21198/z13b7wpn,Masters/othermasters/MEAPmigration/rajasthanmusic/audio/arcers0206_b.wav,श्रीमाली महिला के गीत - 2,Wedding songs and women's songs sung by a group of women from the Shrimali community of Rajasthan.,"Kothari, Komal",,"May 31, 2000",2000-05-31,mwr,sound recording,46 min. 39 sec.,audio cassette,,sound recordings,Rupayan Sansthan,Rupayan Audio-Visual Archive,unknown,"Rupayan Sansthan, rupayansansthan@gmail.com",Field recording of wedding and women's songs sung by a group of women belonging to the Shrimali community of Rajasthan.,"1. 'Bayaji sa ro ayo', a song sung by a group of women of the Shrimali community. 2. 'Mukanlalji vali yar', a devotional song sung by a group of women of the Shrimali community. 3. 'Mukanlalji bayaji mhari', a devotional song sung by a group of women of the Shrimali community. 4. 'Charki lal gulal', a song sung by a group of women of the Shrimali community. 5. 'Ayo chhe mita ro pot', a song sung by a group of women of the Shrimali community. 6. 'Angana mhare baigan ro rukh', a song sung by a group of women of the Shrimali community. 7. 'Suraj ji padharo mhari virad', a devotional song dedicated to the sun, sung by a group of women of the Shrimali community. 8. 'Hasti ghudla lao ji banna', a wedding song sung by a group of women of the Shrimali community. 9. 'In ghodi re mastak likhiya', a wedding song sung by a group of women of the Shrimali community. 10. 'Guth layi mhari malan bannasa', a wedding song sung by a group of women of the Shrimali community. 11. 'Chali re chali bai', a song sung by a group of women of the Shrimali community. 12. 'Kulari me dahido jamayo re', a song sung by a group of women of the Shrimali community. 13. 'Jaman ro jayo kad milane', a song sung by a group of women of the Shrimali community. 14. 'Char chuda aya des me', a song sung by a group of women of the Shrimali community. 15. 'Mhara rajan sona ra tura', a song sung by a group of women of the Shrimali community. 16. 'Bolo mukanlal ji byayi', a devotional song sung by a group of women of the Shrimali community.",26.2389,73.0243,,,,,,"Folk songs, Rajasthani--India--Rajasthan|~|Oral tradition|~|Devotional poetry|~|Wedding music|~|Ritual","District Jodhpur, Rajasthan (India)",,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:othermasters/pairtree_root/21/19/8=/z1/4q/9m/hz/21198=z14q9mhz/ark%2B=21198=z14q9mhz.mp4{},https://static.library.ucla.edu/ark%3A%2F21198%2Fz14q9mhz%2Faudiowaveform.dat,,,2799.541938,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14q9mhz/manifest
