"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","IIIF Access URL","Rights.copyrightStatus","Subject","Name.subject","Rights.countryCreation","Language","Name.repository","Type.typeOfResource","Rights.permission","Name.interviewer","Type.genre","Subject.uniformTitle","Name.sponsor","Name.contributor","Date.creation","Relation.isPartOf","Title","Alt ID.local","Description.fundingNote","Relation.describedIn","Date.normalized","Format.extent","Description.note","Coverage.geographic","Coverage.spatialLatitude","Coverage.spatialLongitude","Relation.relatedTo","Description.abstract","viewingHint","Text direction","Visibility","IIIF Range","media.width","media.height","media.duration","media.format","IIIF Manifest URL"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvxrp","ark:/21198/zz0015w1xw","2","Completed","Work","","52","","","","copyrighted","","Cosby, Bill, 1937-","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","November 19, 1975","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Bill Cosby at the Disney Ranch by Donna Mungen 1975 November 19","uclapasc_342_058_013_a|~|uclapasc_342_058_013_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1975-11-19","1 sound cassette","Interview conducted at the Disney Ranch.","Santa Clarita (Calif.)|~|34.376046673824646, -118.47845077514648","","","","","","","","","","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvxrp/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvxs6","ark:/21198/zz0015w1xw","2","Completed","Work","","54","","","","copyrighted","","","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Jim Brown","uclapasc_342_058_014_a|~|uclapasc_342_058_014_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","","1 sound cassette","","","","","","","","","","","","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvxs6/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvxtq","ark:/21198/zz0015w1xw","2","Completed","Work","soul/audio/uclapasc_342_058_015_M_a.wav","56","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:soul/pairtree_root/21/19/8=/zz/00/2d/vx/tq/21198=zz002dvxtq/ark%2B=21198=zz002dvxtq.mp4{}","copyrighted","","Brick (Musical group)","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Brick","uclapasc_342_058_015_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","","1 sound cassette","","","","","","","","","","","","","2916.98001","audio/wav","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvxtq/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvxv7","ark:/21198/zz0015w1xw","2","Completed","Work","","57","","","","copyrighted","","Bell, Archie, $d 1944-|~|Drells (Musical group)","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","April 7, 1976","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Archie Bell & the Drells by Ken Jones 1976 April 7","uclapasc_342_058_016_b|~|uclapasc_342_058_016_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1976-04-07","1 sound cassette","","","","","","","","","","","","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvxv7/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvxwr","ark:/21198/zz0015w1xw","2","Completed","Work","","59","","","","copyrighted","","White, Maurice, 1941-","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","October 26, 1977","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Maurice White 1977 October 26","uclapasc_342_058_017_a|~|uclapasc_342_058_017_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1977-10-26","1 sound cassette","","","","","","","","","","","","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvxwr/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvxx8","ark:/21198/zz0015w1xw","2","Completed","Work","","61","","","","copyrighted","","King, Mabel, $d 1932-1999|~|Russell, Nipsey, $d 1924-2005","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Nipsy Russell/Wiz and Mabel King/Wiz","uclapasc_342_059_001_a|~|uclapasc_342_059_001_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","","1 sound cassette","","","","","","","","","","","","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvxx8/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvxzs","ark:/21198/zz0015w1xw","2","Completed","Work","","63","","","","copyrighted","","White, Barry, $d 1944-2003","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Barry White","uclapasc_342_059_002_a|~|uclapasc_342_059_002_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","","1 sound cassette","","","","","","","","","","","","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvxzs/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvz0s","ark:/21198/zz0015w1xw","2","Completed","Work","","65","","","","copyrighted","","Knight, Gladys, $d 1944-","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","January 1977","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Gladys Knight 1977 January","uclapasc_342_059_003_a|~|uclapasc_342_059_003_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1977-01","1 sound cassette","","","","","","","","","","","","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvz0s/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvz19","ark:/21198/zz0015w1xw","2","Completed","Work","soul/audio/uclapasc_342_059_004_M_a.wav","67","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:soul/pairtree_root/21/19/8=/zz/00/2d/vz/19/21198=zz002dvz19/ark%2B=21198=zz002dvz19.mp4{}","copyrighted","","King, Mabel, $d 1932-1999","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","July 18, 1978","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Mabel King ""What's Happening"" by Walter Burrell 1978 July 18","uclapasc_342_059_004_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1978-07-18","1 sound cassette","","","","","","","","","","","","","1384.447854","audio/wav","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvz19/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvz2t","ark:/21198/zz0015w1xw","2","Completed","Work","","68","","","","copyrighted","","Bohannon, Hamilton","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Hamilton Bohannon by Mike Terry","uclapasc_342_059_005_a|~|uclapasc_342_059_005_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","","1 sound cassette","","","","","","","","","","","","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvz2t/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvz3b","ark:/21198/zz0015w1xw","2","Completed","Work","soul/audio/uclapasc_342_059_006_M_a.wav","70","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:soul/pairtree_root/21/19/8=/zz/00/2d/vz/3b/21198=zz002dvz3b/ark%2B=21198=zz002dvz3b.mp4{}","copyrighted","","Ross, Diana, $d 1944-","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Diana Ross","uclapasc_342_059_006_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","","1 sound cassette","","","","","","","","","","","","","2808.230021","audio/wav","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvz3b/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvz4v","ark:/21198/zz0015w1xw","2","Completed","Work","","71","","","","copyrighted","","Wilson, Mary, $d 1944-|~|Ferrer, Pedro Luis","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","December 8, 1977","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Mary Wilson/Pedro Ferrer/Marco Turk (lawyer) by L.P.J. 1977 December 8","uclapasc_342_059_007_b|~|uclapasc_342_059_007_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","","1 sound cassette","","","","","","","","","","","","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvz4v/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvz5c","ark:/21198/zz0015w1xw","2","Completed","Work","soul/audio/uclapasc_342_059_008_M_a.wav","73","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:soul/pairtree_root/21/19/8=/zz/00/2d/vz/5c/21198=zz002dvz5c/ark%2B=21198=zz002dvz5c.mp4{}","copyrighted","","Smith, Effie","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Effie Smith funeral undated","uclapasc_342_059_008_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","","1 sound cassette","","","","","","","","","","","","","1835.577115","audio/wav","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvz5c/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvz6w","ark:/21198/zz0015w1xw","2","Completed","Work","soul/audio/uclapasc_342_059_009_M_a.wav","74","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:soul/pairtree_root/21/19/8=/zz/00/2d/vz/6w/21198=zz002dvz6w/ark%2B=21198=zz002dvz6w.mp4{}","copyrighted","","Cosby, Bill, 1937-","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Billy Cosby","uclapasc_342_059_009_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","","1 sound cassette","","","","","","","","","","","","","1137.526354","audio/wav","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvz6w/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvz7d","ark:/21198/zz0015w1xw","2","Completed","Work","soul/audio/uclapasc_342_059_010_M_a.wav","75","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:soul/pairtree_root/21/19/8=/zz/00/2d/vz/7d/21198=zz002dvz7d/ark%2B=21198=zz002dvz7d.mp4{}","copyrighted","","Kendricks, Eddie|~|Temptations (Musical group)","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Eddie Kendricks leaving Tempts undated","uclapasc_342_059_010_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","","1 sound cassette","Refers to the Temptations","","","","","","","","","","","","1396.141594","audio/wav","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvz7d/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvz8x","ark:/21198/zz0015w1xw","2","Completed","Work","","76","","","","copyrighted","","Davis, Sammy, 1925-1990","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","June 1970","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Sammy Davis 1970 June","uclapasc_342_059_011_a|~|uclapasc_342_059_011_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1970-06","1 sound cassette","Refers to Sammy Davis, Jr.","","","","","","","","","","","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvz8x/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvz9f","ark:/21198/zz0015w1xw","2","Completed","Work","","78","","","","copyrighted","","Payne, Scherrie","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Scherrie Payne on South Africa","uclapasc_342_059_012_a|~|uclapasc_342_059_012_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","","1 sound cassette","","","","","","","","","","","","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvz9f/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvzbz","ark:/21198/zz0015w1xw","2","Completed","Work","","80","","","","copyrighted","","Clinton, George, $d 1940-|~|McDaniels, Gene, $d 1935-2011","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","George Clinton and Gene McDaniels undated","uclapasc_342_059_013_a|~|uclapasc_342_059_013_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","","1 sound cassette","","","","","","","","","","","","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvzbz/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvzcg","ark:/21198/zz0015w1xw","2","Completed","Work","soul/audio/uclapasc_342_059_014_M_a.wav","82","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:soul/pairtree_root/21/19/8=/zz/00/2d/vz/cg/21198=zz002dvzcg/ark%2B=21198=zz002dvzcg.mp4{}","copyrighted","","","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","August 30, 1976","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Chris Beard 1976 August 30","uclapasc_342_059_014_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1976-08-30","1 sound cassette","","","","","","","","","","","","","810.279698","audio/wav","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvzcg/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvzd0","ark:/21198/zz0015w1xw","2","Completed","Work","","83","","","","copyrighted","","Falana, Lola","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Lola Falana by Ken Jones","uclapasc_342_059_015_a|~|uclapasc_342_059_015_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","","1 sound cassette","","","","","","","","","","","","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvzd0/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvzfh","ark:/21198/zz0015w1xw","2","Completed","Work","soul/audio/uclapasc_342_059_016_M_a.wav","85","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:soul/pairtree_root/21/19/8=/zz/00/2d/vz/fh/21198=zz002dvzfh/ark%2B=21198=zz002dvzfh.mp4{}","copyrighted","","Gaye, Marvin|~|Formerly the Harlettes (Musical group)|~|Pitts, Leonard","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Formerly the Harlettes and Marvin Gaye by Leonard Pitts","uclapasc_342_059_016_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","","1 sound cassette","","","","","","","","","","","","","1878.340021","audio/wav","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvzfh/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvzg1","ark:/21198/zz0015w1xw","2","Completed","Work","","86","","","","copyrighted","","Hayes, Isaac","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Isaac Hayes undated","uclapasc_342_059_017_b|~|uclapasc_342_059_017_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","","1 sound cassette","","","","","","","","","","","","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvzg1/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvzhj","ark:/21198/zz0015w1xw","2","Completed","Work","soul/audio/uclapasc_342_060_001_M_a.wav","88","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:soul/pairtree_root/21/19/8=/zz/00/2d/vz/hj/21198=zz002dvzhj/ark%2B=21198=zz002dvzhj.mp4{}","copyrighted","","Foxx, Redd, $d 1922-1991","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","April 7, 1976","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Redd Foxx 1976 April 7","uclapasc_342_060_001_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1976-04-07","1 sound cassette","","","","","","","","","","","","","1170.449615","audio/wav","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvzhj/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvzj2","ark:/21198/zz0015w1xw","2","Completed","Work","","89","","","","copyrighted","","Foxx, Redd, $d 1922-1991|~|Turman, Glynn|~|Franklin, Aretha","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Redd Foxx quits and Aretha Franklin/Glynn Turman","uclapasc_342_060_002_a|~|uclapasc_342_060_002_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","","1 sound cassette","","","","","","","","","","","","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvzj2/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvzkk","ark:/21198/zz0015w1xw","2","Completed","Work","soul/audio/uclapasc_342_060_003_M_a.wav","91","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:soul/pairtree_root/21/19/8=/zz/00/2d/vz/kk/21198=zz002dvzkk/ark%2B=21198=zz002dvzkk.mp4{}","copyrighted","","Scott-Heron, Gil, $d 1949-2011","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Gil Scott Heron","uclapasc_342_060_003_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","","1 sound cassette","","","","","","","","","","","","","2781.59001","audio/wav","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvzkk/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvzm3","ark:/21198/zz0015w1xw","2","Completed","Work","","92","","","","copyrighted","","Johnson, Beverly|~|Wright, Betty, $d 1953-","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","Pitts, Leonard","","","","","August 1978","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Betty Wright and Beverly Johnson by Leonard Pitts 1978 August","uclapasc_342_060_004_a|~|uclapasc_342_060_004_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1978-08","1 sound cassette","","","","","","","","","","","","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvzm3/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvznm","ark:/21198/zz0015w1xw","2","Completed","Work","","94","","","","copyrighted","","L.T.D. (Musical group)","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","Pitts, Leonard","","","","","August 1978","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","L.T.D. by Leonard Pitts 1978 August","uclapasc_342_060_005_a|~|uclapasc_342_060_005_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1978-08","1 sound cassette","","","","","","","","","","","","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvznm/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvzp4","ark:/21198/zz0015w1xw","2","Completed","Work","","96","","","","copyrighted","","Jones, James Earl","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","James Earl Jones","uclapasc_342_060_006_a|~|uclapasc_342_060_006_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","","1 sound cassette","","","","","","","","","","","","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvzp4/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvzqn","ark:/21198/zz0015w1xw","2","Completed","Work","soul/audio/uclapasc_342_060_007_M_a.wav","98","","","https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:soul/pairtree_root/21/19/8=/zz/00/2d/vz/qn/21198=zz002dvzqn/ark%2B=21198=zz002dvzqn.mp4{}","copyrighted","","","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Right on Time, R. Jones/S. Mills","uclapasc_342_060_007_a","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","","1 sound cassette","Refers to Regina Jones","","","","","","","","","","","","813.531031","audio/wav","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvzqn/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvzr5","ark:/21198/zz0015w1xw","2","Completed","Work","","99","","","","copyrighted","","Tyson, Cicely","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","March 3, 1976","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Cicely Tyson 1976 March 3","uclapasc_342_060_008_a|~|uclapasc_342_060_008_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1976-03-03","1 sound cassette","","","","","","","","","","","","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvzr5/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvzsp","ark:/21198/zz0015w1xw","2","Completed","Work","","102","","","","copyrighted","","Laws, Ronnie|~|Stargard (Musical group)","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Ronnie Laws and Stargard by Mike Terry","uclapasc_342_060_009_a|~|uclapasc_342_060_009_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","","1 sound cassette","Stargard is on side 1; Ronnie Laws is on side 2","","","","","","","","","","","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvzsp/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvzt6","ark:/21198/zz0015w1xw","2","Completed","Work","","101","","","","copyrighted","","Franklin, Aretha","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","February 5, 1977","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Aretha Franklin 1977 February 5","uclapasc_342_060_010_a|~|uclapasc_342_060_010_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1977-02-05","1 sound cassette","","","","","","","","","","","","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvzt6/manifest"
"SOUL Publications, Inc. records, 1955-2002","ark:/21198/zz002dvzvq","ark:/21198/zz0015w1xw","2","Completed","Work","","105","","","","copyrighted","","McCoo, Marilyn|~|Davis, Billy, $c Jr.","","","University of California, Los Angeles. Library. Performing Arts Special Collections","sound recording","Y","","","","","","November 1978","SOUL Publications, Inc. records, 1955-2002 (Collection 342). Performing Arts Special Collections, University of California, Los Angeles.","Marilyn McCoo and Billy Davis, Jr. by Mike Terry 1978 November","uclapasc_342_060_011_a|~|uclapasc_342_060_011_b","Access to this collection is generously supported by Arcadia funds.","http://www.oac.cdlib.org/findaid/ark:/13030/kt167nd8xg","1978-11","1 sound cassette","","","","","","","","","","","","","","","https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002dvzvq/manifest"
