Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Name.other,Name.creator,Language,Subject.conceptTopic,Rights.permission,Subject.geographicPlace,Name.author,Name.cartographer,Name.repository,Name.subject,Date.publication,Description.note,Alt ID.OPAC,Publisher.placeOfOrigin,Coverage.geographic,Title,Format.extent,Coverage.geoscale,AltTitle,Publisher.publisherName,Alt ID.oclc,Alt ID.callNo,Alt ID.local,Coverage.geographiccoordinates,Date.creation,Date.normalized,Alt ID.lccn,Alt ID.catalogRecordNumber,Description.abstract,Publisher.edition,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00294kw8,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/21198-zz00294kw8_1969103_master.tif,23,,,cartographic,map|~|Topographic maps.,pd,,,Geological Survey of California.,eng,Contra Costa County (Calif.)--Maps|~|Geology--California--Maps,Y,Contra Costa County (Calif.)--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,1863,"by the State Geological Survey ; drawn by C.F. Hoffmann.|~|Scale [ca. 1:63,360].|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1505667"">UCLA Catalog Record</a>",1505667,"[Sacramento, Calif.?]",Contra Costa County (Calif.),Geological map of the vicinity of Mount Diablo,1 map : photocopy ; 47 x 30 cm.,,,,26644143,G4363 .Contra Costa 63 SGS 1863,,,,1863,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00293dzf,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz00293dzf_1966512_master.tif,,,,cartographic,map,,,,United States. Bureau of Agricultural Economics.,eng,,,California--Population--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,[1940?],"Brown line print.|~|North oriented to upper right.|~|prepared by U.S. Department of Agriculture, Bureau of Agricultural Economics.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3469152"">UCLA Catalog Record</a>",,"cau|~|Berkeley, Calif",California,California cities and towns,1 map : photocopy ; 104 x 43 cm.,1500000,,The Bureau,24388183,G4361.E2 USDA 1940,,southernmost:N0323200|~|easternmost:W1140700|~|northernmost:N0420000|~|westernmost:W1242500,,,,3469152,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00293fsb,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz00293fsb_1966540_master.tif,,,,cartographic,map,,,,"Mora, Jo, $d 1876-1947",eng,"California--Maps, Pictorial",,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,c1927,"Includes col. ill.|~|Jo Mora.|~|Relief represented pictorially.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6788525"">UCLA Catalog Record</a>",2482501,cau|~|San Francisco,California,California (Jo Mora),1 map : col. ; 86 x 66 cm.,,,A.M. Robertson,24904704,G4361.A6 AMR 1927,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00294m09,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz00294m09_1969147_master.tif,,,,cartographic,map,pd_usfed,,California State Mining Bureau.,"Waring, C. A. (Clarence Almon).",eng,Geology--California--Inyo County--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,1917,"<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=806677"">UCLA Catalog Record</a>",806677,cau|~|[S.l.],California|~|Inyo County,"Geological map of Inyo County, California",1 map : col. ; 81 x 123 cm.,253440,,State Mining Bureau,21747971,G4363 Inyo C5 253 SMB 1917,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00294kz9,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz00294kz9_1969127_master.tif|~|Masters/Maps/Bruman-Maps/image/21198-zz00294kz9_1969120_master.tif,24,,,cartographic,map,public domain,,Alpine County (Calif.). Board of Supervisors.,"Murdoch, H. G.",eng,Alpine County (Calif.)--Maps|~|Sierra National Forest Region (Calif.)--Maps|~|Trails--California--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,1938,"""Publication ... authorized by the Alpine County Board of Supervisors.""|~|H.G. Murdoch.|~|Relief represented by spot heights.|~|Text, ill., and distance list on verso.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2499294"">UCLA Catalog Record</a>",2499294,"cau|~|[Markleeville, Calif.?",Alpine County (Calif.),"Alpine County, California","1 map ; 37 x 28 cm., folded to 22 x 10 cm.",,,s.n.],26644147,G4363 Alpine Co. .C28 ns HGM 1938,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00294m1t,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz00294m1t_1969175_master.tif|~|Masters/Maps/Bruman-Maps/image/21198-zz00294m1t_1969190_master.tif,27,,,cartographic,map,pd,,,Edward Denny & Co.,eng,,,Imperial County (Calif.)--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,c1913,"Blue line print shows reservations, townships, wagon roads, railroads, canals, and rivers and creeks.|~|by Edward Denny & Co.|~|Relief represented by hachures.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1264781"">UCLA Catalog Record</a>",1264781,cau|~|San Francisco,Imperial County (Calif.),"Denny's pocket map of Imperial County, California : compiled from latest official and private data",1 map : photocopy ; 40 x 63 cm.,260000,,Edward Denny & Co.,24681160,G4363 Imperial Co P2 EDC 1913,,easternmost:W1142700|~|northernmost:N0332600|~|southernmost:N0323600|~|westernmost:W1160700,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00294nt6,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz00294nt6_1969211_master.tif|~|Masters/Maps/Bruman-Maps/image/21198-zz00294nt6_1973076_master.tif,28,,,cartographic,map,pd,,"Hamilton, Burnett.",Alameda County (Calif.). County Surveyor.,eng,Roads—California—Alameda County,,Alameda County (Calif.)--Road maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,1937,"Depth shown by contours.|~|Burnett Hamilton, County Surveyor.|~|Text and ill. on verso.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6677998"">UCLA Catalog Record</a>",6677998,"[Oakland, Calif|~|cau",California|~|Alameda County,"Highways of Alameda County, California",1 map ; 23 x 39 cm.,250000,"Highway map, Alameda County",County Surveyor],722061828,G4363 Alameda Co. .P2 250 1937,G4363_Alameda_Co_P2_250_1937_a,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297jcc,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz00297jcc_1976449_master.tif|~|Masters/Maps/Bruman-Maps/image/21198-zz00297jcc_1976452_master.tif,29,,,cartographic,map,published,,"Neyhart, A. P.",Automobile Club of Southern California.,eng,Roads--California--Imperial County--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,[193-?]|~|193u,"Index and text included on verso.|~|[cartography by] A.P. Neyhart.|~|""1543""|~|Relief represented by hachures.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6007633"">UCLA Catalog Record</a>",6007633,"Los Angeles, Calif|~|cau",California|~|Imperial County,"Automobile road map of Imperial County, California",1 map ; 34 x 51 cm.,316800,"Road map of Imperial County, California",Automobile Club of Southern California,60817632,G4363.I5P2 1930 .A8,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297jfd,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz00297jfd_1976463_master.tif|~|Masters/Maps/Bruman-Maps/image/21198-zz00297jfd_1976460_master.tif,31,,,cartographic,map,copyrighted,,Amador County. Board of Supervisors.,Amador County Chamber of Commerce.,eng,Amador County (Calif.)—Description and travel|~|Amador County (Calif.)--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,[ca. 1925?],"""The goal of the ""49-er,"" why not yours?""--Panel.|~|Altitudes shown by spot heights.|~|UCLA copy has typewritten index on pink paper affixed next to map panel and obscuring some text and ill.|~|Includes text and ill.|~|Shows roads, mileage, rivers and features of interest.|~|Text and ill. on verso.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6666446"">UCLA Catalog Record</a>",6666446,"cau|~|Jackson, Calif",Amador County (Calif.),"Tourist guide of Amador County, California.","1 map ; 44 x 56 cm, on sheet 49 x 64 cm, folded to 25 x 11 cm.",,Amador county,Amador County Board of Supervisors|~|Amador County Chamber of Commerce,714628668,G4363 Amador Co. VAR ACBS/ACCC ND,G4363_Amador_Co_VAR_ACBS_ACCC_ND_a,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297jgx,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz00297jgx_1976466_master.tif|~|Masters/Maps/Bruman-Maps/image/21198-zz00297jgx_1976471_master.tif,32,,,cartographic,map,copyrighted,,"Nierhake, H.|~|Contra Costa County (Calif.). County Surveyor.|~|Barkley, Joseph W.|~|Concord Chamber of Commerce (Calif.).",Contra Costa County Development Association.,eng,Contra Costa County (Calif.)--Maps|~|Concord (Calif.)--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,1944|~|[1944?],"a map prepared by Contra Costa County Development Association. Map of Concord and vicinity, Contra Costa County, California, 1941 / Jos. W. Barkley, County Surveyor.|~|Includes text, distance table, ill., and 6 lists of industries.|~|""This map is presented to you with the good wishes of the Concord Chamber of Commerce.""|~|Other title: Concord, the residential city, Contra Costa County, California.|~|Map of Concord and vicinity ""revised June 1943.""|~|""H. Nierhake, Jr, 1943.""|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1036006"">UCLA Catalog Record</a>",1036006,"Richmond, Calif|~|cau",Concord (Calif.)|~|Contra Costa County (Calif.),"Contra Costa County, California","2 maps : both sides ; 36 x 59 cm. and 30 x 46 cm., on sheet 49 x 64 cm., folded to 10 x 23 cm.",147500|~|11200,"Concord, the residential city, Contra Costa County, California",The Association,25420939,G4363 .Contra Costa 150 CCCDA 1944,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297jp1,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/21198-zz00297jp1_1976492_master.tif|~|Masters/Maps/Bruman-Maps/image/21198-zz00297jp1_1976489_master.tif,38,,,cartographic,map,Y,,,,eng,Roads—California—Alameda County,,Alameda County (Calif.)--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,1928,"<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6640736"">UCLA Catalog Record</a>",,,Alameda County (Calif.),Thomas Bros. Map of East Bay Cities,,,,,,G4363.P2 125 THOMAS,,,,1928,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297jqj,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz00297jqj_1976498_master.tif|~|Masters/Maps/Bruman-Maps/image/21198-zz00297jqj_1976495_master.tif,39,,,cartographic,map,copyrighted,,"Thomas, Geo. Coupland (George Coupland).",Pleasanton Chamber of Commerce.,eng,Alameda County (Calif.)--Maps|~|Oakland Metropolitan Area (Calif.)--Maps|~|Pleasanton (Calif.)—Description and travel,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,[1945?],"Text and ill. of Pleasanton on verso.|~|Includes insets: Hayward, Pleasanton, LIvermore, and location map.|~|Copyright by George Coupland Thomas.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6650616"">UCLA Catalog Record</a>",6650616,"Pleasanton, Calif|~|cau",Pleasanton (Calif.)|~|Alameda County (Calif.)|~|Oakland Metropolitan Area (Calif.),"Metropolitan Oakland area : Alameda County, California.","1 map ; 30 x 46 cm, on sheet 41 x 46 cm, folded to 23 x 11 cm.",,,Pleasanton Chamber of Commerce,710835311,G4364 Pleasanton VAR PCC 1945?,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297jr2,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz00297jr2_1976504_master.tif|~|Masters/Maps/Bruman-Maps/image/21198-zz00297jr2_1976501_master.tif,40,,,cartographic,map,pd_usfed,,,"Logan, C. A.",eng,Mines and mineral resources--California--El Dorado County--Maps,,El Dorado County (Calif.)--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,1938|~|[1938],"prepared by C.A. Logan, district mining engineer.|~|Includes text and location map.|~|""July 1938.""|~|""Key for El Dorado County map"" on verso.|~|""Plate II.""|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6648641"">UCLA Catalog Record</a>",6648641,[Sacramento]|~|cau,California|~|El Dorado County,"Map of western portion, El Dorado County [California]",1 map : col. ; 45 x 59 cm.,130000,,Division of Mines,43244656,G4363 El Dorado Co. .H1 126 1938,G4363_El_Dorado_Co_H1_126_1938_a,westernmost:W1210900|~|southernmost:N0383000|~|easternmost:W1202000|~|northernmost:N0390400,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297jsk,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz00297jsk_1976507_master.tif,41,,,cartographic,map,pd_usfed,,,California. Division of Forestry.,eng,El Dorado County (Calif.)--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,1935,"At head of title: State of California, Department of Natural Resources, Division of Forestry.|~|compiled in the Office of the State Forester at Sacramento by F.H. Raymond.|~|Relief represented by hachures.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=797062"">UCLA Catalog Record</a>",797062,cau|~|Sacramento,El Dorado County (Calif.),"Western El Dorado County, 1935",1 map ; 53 x 64 cm.,130000,,The Division,23001799,G4363 .El Dorado 126 DNR 1935,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297jt3,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz00297jt3_1976510_master.tif,42,,,cartographic,map,pd_usfed,,,United States. Forest Service.,eng,Del Norte County (Calif.)--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,1949|~|[1949],"""1927 North American datum.""|~|Index map of a photographic survey conducted by U.S. Forest Service.|~|Blue line print.|~|Includes townships and sections.|~|""Original sheets prepared by the Department of Public Works, Division of Highways in cooperation with the U.S. Department of Agriculture, Bureau of Public Roads. Original data obtained from State-wide Highway Planning Survey, 1937. Original sheets assembled with alterations and additions required by the Department of Natural Resources, Division of Forestry, 1941.""|~|Relief represented by hachures.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6649381"">UCLA Catalog Record</a>",6649381,cau|~|San Francisco,Del Norte County (Calif.),Photo spot index aerial photographic project CDF 2 (1948),1 map : photocopy ; 66 x 53 cm.,130000,"Del Norte County, Humboldt Meridian,1942",U.S. Forest Service,710060709,G4363 Del Norte Co .A3 125 USFS 1942,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297jvm,ark:/21198/zz0028tr8x,1,In progress,Work,,43,,,cartographic,map,,,,,,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,,Scale not given.,806680,,,"Map of Inyo County, California.",,,,,24961594,G4363 Inyo 316 SMB 1900?,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297pkd,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz00297pkd_1976921_master.tif,44,,,cartographic,map,pd_usfed,,,California State Mining Bureau.,eng,Inyo County (Calif.)--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,190u|~|[190-?],"<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=806680"">UCLA Catalog Record</a>",806680,San Francisco|~|cau,Inyo County (Calif.),"Map of Inyo County, California.",1 map : col. ; on sheet 72 x 112 cm.,,,State Mining Bureau,24961594,G4363 Inyo 316 SMB 1900?,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297pmx,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz00297pmx_1976924_master.tif,45,,,cartographic,map,pd_usfed,,"Tucker, W. B.|~|California. Division of Mines.","Sampson, R. J.",eng,Mines and mineral resources--California--Imperial County--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,1942,"by R.J. Sampson and W.B. Tucker.|~|Index map and index of mines on sheet.|~|Accompanying State Mineralogist's report xxxviii, April 1942.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3007995"">UCLA Catalog Record</a>",3007995,"[Sacramento, CA]|~|cau",Imperial County|~|California,Map of Imperial County showing locations of principal mineral deposits,1 map ; 53 x 31 cm.,250000,,"Dept. of Natural Resources, Division of Mines",09488041,G4363 Imperial H1 500 CDM 1942,,,,,,,,,,
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz00297pnf,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/21198-zz00297pnf_1976936_master.tif|~|Masters/Maps/Bruman-Maps/image/21198-zz00297pnf_1976956_master.tif|~|Masters/Maps/Bruman-Maps/image/21198-zz00297pnf_1976943_master.tif|~|Masters/Maps/Bruman-Maps/image/21198-zz00297pnf_1976927_master.tif,46,,,cartographic,map,pd,,,,eng,Real property--California--Alameda County--Statistics--Maps|~|Alameda County (Calif.)--Maps|~|Census districts--California--Alameda County--Maps|~|Dwellings--California--Alameda County--Statistics--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,ca. 1920?],"Blue line print.|~|Gives number and type of dwelling units, average monthly rental costs, and race of household.|~|Shows streets and railroads of the former Eden Township; parts of it have been incorporated into San Leandro and Hayward, the rest contains the communities of Castro Valley, San Lorenzo, and other unincorporated areas in Alameda County.|~|<a href=""http://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6666489"">UCLA Catalog Record</a>",6666489,cau|~|[S.l,Alameda County|~|California|~|Alameda County (Calif.),Eden Township census tract,"4 maps on 4 sheets : photocopy, hand col. ; sheets 129 x 129 cm or smaller.",,,s.n.,714646007,G4363 Alameda Co.-Eden Township .E2 1920?,,,,,,,,,,
