Object Type,Title,Item ARK,Parent ARK,File Name,Item Sequence,AltTitle.other,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Summary,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject geographic,Subject temporal,viewingHint,Subject topic
Work,"Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Court Cases, Volume 09",ark:/21198/z1864fr6,ark:/21198/z1t45sc2,,,,,"Witnesses: Spengler (page 698), Theron (page 748)",,1960-10-28,,,,,63 pages,,reports,eng|~|afr,b7617662_courtcase_v009,,,,"Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,,,paged,"Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961"
Work,"Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Court Cases, Volume 10",ark:/21198/z14f3q0f,ark:/21198/z1t45sc2,,,,,Witness: Muller (page 834),,1960-10-31,,,,,114 pages,,reports,eng|~|afr,b7617662_courtcase_v010,,,,"Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,,,paged,"Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961"
Work,"Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Court Cases, Volume 11",ark:/21198/z10p2z95,ark:/21198/z1t45sc2,,,,,"Witnesses: Muller (page 858), Brummer (page 868)",,1960-11-04,,,,,88 pages,,reports,eng|~|afr,b7617662_courtcase_v011,,,,"Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,,,paged,"Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961"
Work,"Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Court Cases, Volume 12",ark:/21198/z1vx2fv9,ark:/21198/z1t45sc2,,,,,Witness: Pienaar (page 943),,1960-11-07,,,,,90 pages,,reports,eng|~|afr,b7617662_courtcase_v012,,,,"Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,,,paged,"Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961"
Work,"Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Court Cases, Volume 13",ark:/21198/z1r51q3v,ark:/21198/z1t45sc2,,,,,"Witness: Wessels (page 1011, 1030)",,1960-11-08,,,,,21 pages,,reports,afr|~|eng,b7617662_courtcase_v013,,,,"Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,,,paged,"Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961"
Work,"Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Court Cases, Volume 14",ark:/21198/z1mg9ntb,ark:/21198/z1t45sc2,,,,,Witness: Wessels (page 1049),,1960-11-11,,,,,60 pages,,reports,afr|~|eng,b7617662_courtcase_v014,,,,"Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,,,paged,"Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961"
Work,"Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Court Cases, Volume 15",ark:/21198/z1gq8x31,ark:/21198/z1t45sc2,,,,,"Witnesses: Wessels (page 1105), Heyl (page 1125, 1135)",,1960-11-11,,,,,60 pages,,reports,afr|~|eng,b7617662_courtcase_v015,,,,"Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,,,paged,"Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961"
Work,"Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Court Cases, Volume 16",ark:/21198/z1bz859s,ark:/21198/z1t45sc2,,,,,Witness: Heyl (page 1163),,1960-11-14,,,,,59 pages,,reports,eng|~|afr,b7617662_courtcase_v016,,,,"Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,,,paged,"Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961"
Work,"Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Court Cases, Volume 17",ark:/21198/z1767dkc,ark:/21198/z1t45sc2,,,,,"Witnesses: Heyl (page 1218), Mmotong (page 1239)",,1960-11-15,,,,,64 pages,,reports,eng|~|afr,b7617662_courtcase_v017,,,,"Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,,,paged,"Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961"
Work,"Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Court Cases, Volume 18",ark:/21198/z13f6nxj,ark:/21198/z1t45sc2,,,,,Witness: Mmotong (page 1281),,1960-11-16,,,,,27 pages,,reports,eng,b7617662_courtcase_v018,,,,"Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,,,paged,"Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961"
Work,"Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Court Cases, Volume 19",ark:/21198/z1zp65d6,ark:/21198/z1t45sc2,,,,,Witness: Mmotong (page 1307),,1960-11-17,,,,,44 pages,,reports,eng,b7617662_courtcase_v019,,,,"Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,,,paged,"Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961"
Work,"Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Court Cases, Volume 20",ark:/21198/z1tx5dqx,ark:/21198/z1t45sc2,,,,,"Witnesses: Mmotong (page 1351), Kele (page 1372), Fouche (page 1400)",,1960-11-21,,,,,85 pages,,reports,eng|~|afr,b7617662_courtcase_v020,,,,"Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,,,paged,"Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961"
Work,"Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Court Cases, Volume 21",ark:/21198/z1q83cd7,ark:/21198/z1t45sc2,,,,,"Witnesses: Fouche (page 1433), Coetzee (page 1484), Sturwig (page 1504), Stapelberg (page 1512)",,1960-11-23,,,,,92 pages,,reports,eng|~|afr,b7617662_courtcase_v021,,,,"Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,,,paged,"Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961"
Work,"Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Court Cases, Volume 22",ark:/21198/z1kh2mn2,ark:/21198/z1t45sc2,,,,,"Witnesses: Sturwig (page 1522), Meyer (page 1542), Kallis (page 1549), Beyl (page 1576)",,1960-11-24,,,,,96 pages,,reports,eng|~|afr,b7617662_courtcase_v022,,,,"Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,,,paged,"Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961"
Work,"Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Court Cases, Volume 23",ark:/21198/z1fr1vww,ark:/21198/z1t45sc2,,,,,"Witnesses: Beyl (page 1615), Serobanyane (page 1616), Nyembezi (page 1657), Skozane (page 1667), Rampui (page 1672)",,1960-11-25,,,,,65 pages,,reports,eng|~|afr,b7617662_courtcase_v023,,,,"Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,,,paged,"Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961"
Work,"Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Court Cases, Volume 24",ark:/21198/z1b0144t,ark:/21198/z1t45sc2,,,,,"Witnesses: Rampui (page 1680), Lerm (page 1681), Ntikane (page 1684), Nyembezi (page 1686), Mmotong (page 1687), Prinsloo (page 1691), White (page 1707), Sacks (page 1715), Pokwane (page 1744)",,1960-11-28,,,,,71 pages,,reports,eng|~|afr,b7617662_courtcase_v024,,,,"Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,,,paged,"Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961"
Work,"Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Court Cases, Volume 25",ark:/21198/z1670cg0,ark:/21198/z1t45sc2,,,,,"Witnesses: Reyneke (page 1740), Van Vuuren (1748), Steyn (page 1752), Van Rensburg (page 1754), Van Wyk (page 1757), Carnie (page 1764), Olivier (page 1772), Van der Merwe (page 1775), Hoek (page 1777), Booysen (page 1790), Xingwane (page 1802)",,1960-11-29,,,,,88 pages,,reports,afr|~|eng,b7617662_courtcase_v025,,,,"Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,,,paged,"Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961"
Work,"Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Court Cases, Volume 26",ark:/21198/z12f9mrq,ark:/21198/z1t45sc2,,,,,"Witnesses: Coetzer ( page 1835, 1855), Ntsame (page 1840), Van Vuuren (page 1857), Anaandale (page 1858), Van Wyk (page 1858), Oosthuizen (page 1863)",,1960-11-30,,,,,80 pages,,reports,afr|~|eng,b7617662_courtcase_v026,,,,"Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,,,paged,"Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961"
Work,"Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Court Cases, Volume 27",ark:/21198/z1xp947c,ark:/21198/z1t45sc2,,,,,"Witnesses: Van Wyk (page 1912), Grove (page 1942), Mabuya (page 1986)",,1960-12-01,,,,,84 pages,,reports,afr|~|eng,b7617662_courtcase_v027,,,,"Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,,,paged,"Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961"
Work,"Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Court Cases, Volume 28",ark:/21198/z1t1730k,ark:/21198/z1t45sc2,,,,,"Witnesses: Mabuya (page 1995), Grove (page 2000), Nyepisi (page 2003), Motsei (page 2009), Selanyane (page 2016), Mabote (page 2020), Moshloli (page 2026), Maphiki (page 2033), Dethedo ( page 2039), Kok (page 2042), Lambinon (page 2052)",,1960-12-02,,,,,61 pages,,reports,eng|~|afr,b7617662_courtcase_v028,,,,"Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,,,paged,"Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961"
Work,"Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Court Cases, Volume 29",ark:/21198/z1p86b7d,ark:/21198/z1t45sc2,,,,,"Witnesses: Vermaak (page 2054), Thoba (page 2059), Mabuya (page 2060), Kok (page 2061), Dethedo ( page 2083), van Zyl (page 2086), Kumalo (2123)",,1960-12-08,,,,,88 pages,,reports,eng|~|afr,b7617662_courtcase_v029,,,,"Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,,,paged,"Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961"
Work,"Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Court Cases, Volume 30",ark:/21198/z1jh5kfs,ark:/21198/z1t45sc2,,,,,"Witnesses: Mentour (page 2138), Van Rensburg (page 2141), van Zyl (page 2170), de Vries (page 2182), Ngumbuxa (page 2190)",,1960-12-09,,,,,73 pages,,reports,afr|~|eng,b7617662_courtcase_v030,,,,"Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,,,paged,"Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961"
Work,"Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Court Cases, Volume 31",ark:/21198/z1dr4trh,ark:/21198/z1t45sc2,,,,,"Witnesses: van Zyl (page 2210), Pretorius (page 2249), van Niekerk (page 2273), Steyn (page 2280)",,1960-12-12,,,,,92 pages,,reports,afr|~|eng,b7617662_courtcase_v031,,,,"Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,,,paged,"Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961"
Work,"Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Court Cases, Volume 32",ark:/21198/z190432b,ark:/21198/z1t45sc2,,,,,"Witnesses: Mokebda (page 2298), Meyer (page 2325), Olivier (page 2344)",,1960-12-15,,,,,73 pages,,reports,eng|~|afr,b7617662_courtcase_v032,,,,"Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections",text,unknown,"UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566",,,,paged,"Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961"
