Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Visibility,Item Sequence,Duplicate,Delete in Title,Type.genre,Type.typeOfResource,Rights.copyrightStatus,Name.subject,Rights.rightsHolderContact,Name.photographer,Relation.isPartOf,Name.repository,Title,Format.dimensions,Alt ID.local,Format.extent,Date.creation,Description.note,Date.normalized,Format.medium,Finding Aid URL,AltTitle.other,Opac url,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Picture Collection.  Collection 99,ark:/21198/zz00093ghx,ark:/21198/zz0008bd1f,2,Completed,Work,picturecollection99/masters/21198-zz00093ghx-1-master.tif,,,,,Black-and-white photographs|~|Architectural photographs,still image,unknown,San Diego Mission ,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Passmore, Lee","Picture Collection (Collection 99).  Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections","Missions, San Diego de Alcala, main facade after restoration, 1931",20 x 25 cm. (8 x 10 in.),clus_99_mission_sanDiego_views_001,1 photographic print,"June 6, 1931",,1931-06-06,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093ghx,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00093ghx/manifest
Picture Collection.  Collection 99,ark:/21198/zz00140hvj,ark:/21198/zz0008bd1f,2,Completed,Work,picturecollection99/masters/21198-zz00140hvj-1-master.tif,,,,,,still image,,,,,,,Conrad Buff,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00140hvj,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00140hvj/manifest
Picture Collection.  Collection 99,ark:/21198/zz001dw8rk,ark:/21198/zz0008bd1f,1,In progress,Work,picturecollection99/masters/21198-zz001dw8rk_784448_master.tif,private,,,,photographs,still image,,,,,"Picture Collection (Collection 99).  Department of Special Collections, Charles E. Young Research Library, UCLA.",,Los Angeles Views -- Chinatown. Street view with shops,4.25 x 7 in,A-1230,1 photograph,undated,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dw8rk,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dw8rk/manifest
Picture Collection.  Collection 99,ark:/21198/zz001dw8s3,ark:/21198/zz0008bd1f,1,In progress,Work,picturecollection99/masters/21198-zz001dw8s3_784454_master.tif,private,,,,photographs,still image,,,,,"Picture Collection (Collection 99).  Department of Special Collections, Charles E. Young Research Library, UCLA.",,Los Angeles Views -- Chinatown. Part of Nigger (sic) Alley at the time of the Chinese Massacre,8 x 10 in,"Nigger (sic) Alley, East Side looking north and east opp Coronel house",1 photograph,undated,Notes on verso: Frontispiece to Newmark article.Personal property of J. Gregg Layne,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dw8s3,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dw8s3/manifest
Picture Collection.  Collection 99,ark:/21198/zz001dw8tm,ark:/21198/zz0008bd1f,1,In progress,Work,picturecollection99/masters/21198-zz001dw8tm_784461_master.tif,private,,,,,still image,,,,,,,c99_LA Views-Chinatown_funeral.tif,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dw8tm,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dw8tm/manifest
Picture Collection.  Collection 99,ark:/21198/zz001dw8v4,ark:/21198/zz0008bd1f,1,In progress,Work,picturecollection99/masters/21198-zz001dw8v4_784467_master.tif,private,,,,photographic postcards,still image,,,,,"Picture Collection (Collection 99).  Department of Special Collections, Charles E. Young Research Library, UCLA.",,Los Angeles Views -- Chinatown. Chinese Jail on Apablasa St.,3.25 x 5.5 in,,1 postcard,undated,Verso reads in full: Old Chinese jail on Apablasa St. Here the tongs took care of any member that committed a minor offence (sic). The L. A. City Police allowed the Chinese to take care of their own.,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dw8v4,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dw8v4/manifest
Picture Collection.  Collection 99,ark:/21198/zz001dw8wn,ark:/21198/zz0008bd1f,1,In progress,Work,picturecollection99/masters/21198-zz001dw8wn_784476_master.tif,private,,,,photographs,still image,,,,,"Picture Collection (Collection 99).  Department of Special Collections, Charles E. Young Research Library, UCLA.",,Los Angeles Views -- Chinatown. Josh House,5 x 8 in,A614,1 photograph,undated,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dw8wn,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dw8wn/manifest
Picture Collection.  Collection 99,ark:/21198/zz001dw8x5,ark:/21198/zz0008bd1f,2,Completed,Work,picturecollection99/masters/21198-zz001dw8x5_784483_master.tif,,,,,photographic postcards,still image,,,,,"Picture Collection (Collection 99).  Department of Special Collections, Charles E. Young Research Library, UCLA.",,Los Angeles Views -- Chinatown. Kung Chew Mai temple,3.25 x 5.5 in,,1 postcard,undated,Note on verso reads in full: Interior scene of the Kong Chew Mei Chinese Temple on Ferguson Alley showing some of the rich carvings. The temple was built in 1891.,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dw8x5,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dw8x5/manifest
Picture Collection.  Collection 99,ark:/21198/zz001dw8zp,ark:/21198/zz0008bd1f,1,In progress,Work,picturecollection99/masters/21198-zz001dw8zp_784489_master.tif,private,,,,,still image,,,,,,,c99_LA Views-Chinatown_New Year.tif,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dw8zp,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dw8zp/manifest
Picture Collection.  Collection 99,ark:/21198/zz001dw90p,ark:/21198/zz0008bd1f,1,In progress,Work,picturecollection99/masters/21198-zz001dw90p_784497_master.tif,private,,,,photographs,still image,,,,,"Picture Collection (Collection 99).  Department of Special Collections, Charles E. Young Research Library, UCLA.",,Los Angeles Views -- Chinatown. Chinatown Los Angeles Street in 1886,5 x 8 in,,1 photograph,1886,Notes on verso: Ocampo's Plaza -- North End of Nigger (sic) Alley 1886. Personal property of J. Gregg Lane,1186,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dw90p,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dw90p/manifest
Picture Collection.  Collection 99,ark:/21198/zz001dwdnz,ark:/21198/zz0008bd1f,1,In progress,Work,picturecollection99/masters/21198-zz001dwdnz_784689_master.tif,private,,,,,still image,,,,,,,c99_f(Buff)_74_c1764(B).tif,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dwdnz,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dwdnz/manifest
Picture Collection.  Collection 99,ark:/21198/zz001dwdpg,ark:/21198/zz0008bd1f,1,In progress,Work,picturecollection99/masters/21198-zz001dwdpg_784698_master.tif,private,,,,,still image,,,,,,,c99_f(Buff)_74_c1764(C).tif,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dwdpg,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dwdpg/manifest
Picture Collection.  Collection 99,ark:/21198/zz001dwdq0,ark:/21198/zz0008bd1f,1,In progress,Work,picturecollection99/masters/21198-zz001dwdq0_784706_master.tif,private,,,,,still image,,,,,,,c99_f(Leimert Park)_entrance.tif,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dwdq0,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dwdq0/manifest
Picture Collection.  Collection 99,ark:/21198/zz001dwdrh,ark:/21198/zz0008bd1f,1,In progress,Work,picturecollection99/masters/21198-zz001dwdrh_784710_master.tif,private,,,,,still image,,,,,,,c99_f(Leimert Park)_on sale now sign.tif,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dwdrh,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dwdrh/manifest
Picture Collection.  Collection 99,ark:/21198/zz001dwds1,ark:/21198/zz0008bd1f,1,In progress,Work,picturecollection99/masters/21198-zz001dwds1_784715_master.tif,private,,,,,still image,,,,,,,c99_f(Leimert Park)_plans.tif,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dwds1,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dwds1/manifest
Picture Collection.  Collection 99,ark:/21198/zz001dwdtj,ark:/21198/zz0008bd1f,1,In progress,Work,picturecollection99/masters/21198-zz001dwdtj_784718_master.tif,private,,,,,still image,,,,,,,Kemble_Biglow Papers_A2359,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dwdtj,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dwdtj/manifest
Picture Collection.  Collection 99,ark:/21198/zz001dwdv2,ark:/21198/zz0008bd1f,1,In progress,Work,picturecollection99/masters/21198-zz001dwdv2_784724_master.tif,private,,,,,still image,,,,,,,c99_Kemble_Biglow Papers_A2362.tif,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dwdv2,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dwdv2/manifest
Picture Collection.  Collection 99,ark:/21198/zz001dwdwk,ark:/21198/zz0008bd1f,1,In progress,Work,picturecollection99/masters/21198-zz001dwdwk_784736_master.tif,private,,,,Portrait photographs,still image,,"Buff, Conrad, 1886-1975",,,"Picture Collection (Collection 99).  Department of Special Collections, Charles E. Young Research Library, UCLA.",,"Buff family, 1936.",13 x 18 cm,,1 photograph,1936,,1936,b&w photograph,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dwdwk,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dwdwk/manifest
Picture Collection.  Collection 99,ark:/21198/zz001dwdx3,ark:/21198/zz0008bd1f,1,In progress,Work,picturecollection99/masters/21198-zz001dwdx3_784746_master.tif,private,,,,Panoramic photographs,still image,,"Buff, Conrad, 1886-1975",,,"Picture Collection (Collection 99).  Department of Special Collections, Charles E. Young Research Library, UCLA.",,"Buff one-man show, LA Museum.",13 x 18 cm,,1 photograph,,,,b&w photograph,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dwdx3,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dwdx3/manifest
Picture Collection.  Collection 99,ark:/21198/zz001dwdzm,ark:/21198/zz0008bd1f,1,In progress,Work,picturecollection99/masters/21198-zz001dwdzm_784754_master.tif,private,,,,Portrait photographs,still image,,"Buff, Conrad, 1886-1975",,,"Picture Collection (Collection 99).  Department of Special Collections, Charles E. Young Research Library, UCLA.",,Conrad Buff portrait.,13 x 18 cm,,1 photograph,,,,b&w photograph,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dwdzm,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dwdzm/manifest
Picture Collection.  Collection 99,ark:/21198/zz001dwf0m,ark:/21198/zz0008bd1f,1,In progress,Work,picturecollection99/masters/21198-zz001dwf0m_784761_master.tif,private,,,,,still image,,San Diego Mission,,,,,c99_Missions_SD de Alcala_2010.tif,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dwf0m,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dwf0m/manifest
Picture Collection.  Collection 99,ark:/21198/zz001dwf14,ark:/21198/zz0008bd1f,1,In progress,Work,picturecollection99/masters/21198-zz001dwf14_784767_master.tif,private,,,,,still image,,San Diego Mission,,,,,c99_Missions_SD de Alcala_2145.tif,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dwf14,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dwf14/manifest
Picture Collection.  Collection 99,ark:/21198/zz001dwf2n,ark:/21198/zz0008bd1f,1,In progress,Work,picturecollection99/masters/21198-zz001dwf2n_784782_master.tif,private,,,,,still image,,San Diego Mission,,,,,c99_Missions_SD de Alcala_2188.tif,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dwf2n,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dwf2n/manifest
Picture Collection.  Collection 99,ark:/21198/zz001dwf35,ark:/21198/zz0008bd1f,1,In progress,Work,picturecollection99/masters/21198-zz001dwf35_784790_master.tif,private,,,,,still image,,San Diego Mission,,,,,c99_Missions_SD de Alcala_2210.tif,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dwf35,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dwf35/manifest
Picture Collection.  Collection 99,ark:/21198/zz001dwf4p,ark:/21198/zz0008bd1f,1,In progress,Work,picturecollection99/masters/21198-zz001dwf4p_784796_master.tif,private,,,,,still image,,San Diego Mission,,,,,c99_Missions_SD de Alcala_2219.tif,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dwf4p,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dwf4p/manifest
Picture Collection.  Collection 99,ark:/21198/zz001dwf56,ark:/21198/zz0008bd1f,1,In progress,Work,picturecollection99/masters/21198-zz001dwf56_784804_master.tif,private,,,,,still image,,San Diego Mission,,,,,c99_Missions_SD de Alcala_2222.tif,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dwf56,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dwf56/manifest
Picture Collection.  Collection 99,ark:/21198/zz001dwf6q,ark:/21198/zz0008bd1f,1,In progress,Work,picturecollection99/masters/21198-zz001dwf6q_784814_master.tif,private,,,,,still image,,San Diego Mission,,,,,c99_Missions_SD de Alcala_3857.tif,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dwf6q,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dwf6q/manifest
Picture Collection.  Collection 99,ark:/21198/zz001dwf77,ark:/21198/zz0008bd1f,1,In progress,Work,picturecollection99/masters/21198-zz001dwf77_784820_master.tif,private,,,,,still image,,San Diego Mission,,,,,c99_Missions_SD de Alcala_3858.tif,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001dwf77,http://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001dwf77/manifest
