Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Visibility,Thumbnail,Type.typeOfResource,Type.genre,Subject,Name.subject,Name.repository,Rights.statementLocal,Rights.copyrightStatus,Name.creator,Note,Title,Alt ID.local,Description.note,Coverage.geographic,AltIdentifier.local,Date.creation,Subject temporal,Format.dimensions,Format.medium,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kbdt,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kbdt_1700308_master.tif,11,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,[Unidentified seated group - 1 of 3 duplicates],ph_00383-3,"Duplicate: 21198/zz0025kbdt (ph_00383-3), 21198/zz0025kb8r (ph_00383_2), 21198/zz0025kbgv (ph_00383-5)",,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kbdt,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kbdt/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kbfb,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kbfb_1700311_master.tif,12,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,[Unidentified seated man - 1 of 3 duplicates],ph_00383-4,Duplicate: 21198/zz0025kbfb and 21198/zz0025kb77 and 21198/zz0025kbc9],,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kbfb,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kbfb/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kbgv,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kbgv_1700315_master.tif,13,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,[Unidentified seated group - 1 of 3 duplicates],ph_00383-5,"Duplicate: 21198/zz0025kbdt (ph_00383-3), 21198/zz0025kb8r (ph_00383_2), 21198/zz0025kbgv (ph_00383-5)",,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kbgv,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kbgv/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kbhc,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kbhc_1700320_master.tif,14,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,[Unidentified],ph_01365-2,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kbhc,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kbhc/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kbjw,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kbjw_1700326_master.tif,15,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,[Unidentified],ph_01368-2,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kbjw,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kbjw/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kbmx,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kbmx_1700332_master.tif,17,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,[Unidentified],ph_02170,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kbmx,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kbmx/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kbpz,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kbpz_1700341_master.tif,19,,,still image,,,"Hood, Mantle","University of California, Los Angeles. Ethnomusicology Archive",,,,,Mantle Hood and photography equipment,ph_00573,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kbpz,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kbpz/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kbsh,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kbsh_1700350_master.tif,22,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,Ramayana dance with six females and two males,ph_00768,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kbsh,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kbsh/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kbxk,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kbxk_1700357_master.tif,26,,,still image,,,"Ayitee, Robert","University of California, Los Angeles. Ethnomusicology Archive",,,,,Robert Ayitee with drums at the Institute of Ethn,ph_00653,Robert Ayitee with drums at the Institute of Ethnomusicology at UCLA,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kbxk,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kbxk/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kbz3,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kbz3_1700362_master.tif,27,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,"Teponaztli or ""drum of the sun""",ph_01228,"Teponaztli' or 'drum of the sun.' It is richly ornamented with various reliefs. Mixteca culture, state of Oaxaca. It has a relief of the disc of the sun with a person in the center.",,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kbz3,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kbz3/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kc3n,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kc3n_1700369_master.tif,31,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,"12 images showing men harvesting a field with machetes, and a man playing a gonje or goge, a one-string fiddle",ph_00265,Proof sheet. Several images are similar to scenes in Mantle Hood’s documentary Atumpan.,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kc3n,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kc3n/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kcd9,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kcd9_1700389_master.tif,40,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,2 female dancers,ph_01195,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kcd9,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kcd9/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kcft,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kcft_1700392_master.tif,41,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,2 female dancers perform in the Ramayana,ph_01214,Dancers play the roles of Rama and Sita.,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kcft,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kcft/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kcgb,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kcgb_1700413_master.tif,42,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,2 female dancers performing the Ramayana,ph_01200,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kcgb,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kcgb/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kchv,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kchv_1700416_master.tif,43,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,2 female dancers performing the Ramayana,ph_01203,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kchv,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kchv/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kckw,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kckw_1700419_master.tif,45,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,2 pre-Columbian flutes,ph_01246,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kckw,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kckw/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kcqz,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kcqz_1700428_master.tif,49,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,2 vase whistles,ph_01226,"Vase whistle made up of a [sic] earthen pot and a warrior or diety holding an atlatl. It is multi-colored, Mixteca culture, made of clay. Mixteca culture, state of Oaxaca.",,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kcqz,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kcqz/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kcrg,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kcrg_1700434_master.tif,50,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,2 vase whistles,ph_01227,"Mixteca culture, state of Oaxaca. Clay.",,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kcrg,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kcrg/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kcs0,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kcs0_1700437_master.tif,51,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,3 carved stone or clay objects,ph_01251,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kcs0,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kcs0/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kfjb,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kfjb_1700441_master.tif,52,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,3 clay aerophones,ph_01245,"Left with an animal figure on it, right with a flared bell end.",,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kfjb,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kfjb/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kfkv,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kfkv_1700446_master.tif,53,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,3 dancers,ph_01196,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kfkv,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kfkv/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kfmc,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kfmc_1700449_master.tif,54,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,3 dancers perform the Ramayana,ph_01211,"Dancers play the roles of Rama, Sita, Laksmana.",,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kfmc,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kfmc/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kfnw,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kfnw_1700452_master.tif,55,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,"3 dancers, Rawana carries off Sita as Djatayu dies",ph_01198,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kfnw,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kfnw/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kfpd,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kfpd_1700455_master.tif,56,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,3 female dancers performing the Ramayana,ph_01213,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kfpd,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kfpd/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kfqx,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kfqx_1700458_master.tif,57,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,3 female dancers performing the Ramayana,ph_01204,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kfqx,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kfqx/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kfrf,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kfrf_1700461_master.tif,58,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,3 female dancers performing the Ramayana,ph_01206,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kfrf,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kfrf/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kfsz,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kfsz_1700464_master.tif,59,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,3 female dancers,ph_01190,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kfsz,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kfsz/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kfx1,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kfx1_1700467_master.tif,63,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,3 pre-columbian aerophones,ph_01219,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kfx1,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kfx1/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kg12,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kg12_1700470_master.tif,66,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,36 holes are made around the circumference of the drumhead,ph_01471,"Dyck, Gerald P. 1975. “Lung Noi Na Kampam Makes a Drumhead for a northern Thai Long Drum. A Photographic Documentary.” In Selected Reports in Ethnomusicology 2(2): 183-203.",,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kg12,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kg12/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kg2k,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kg2k_1700473_master.tif,67,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,4 female Croatian dancers,ph_00184,from Remets in Yugoslavia. mounted with PH0179-184,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kg2k,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kg2k/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kg33,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kg33_1700476_master.tif,68,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,4 female dancers and gamelan,ph_01192,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kg33,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kg33/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kg4m,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kg4m_1700479_master.tif,69,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,4 female dancers performing the Ramayana,ph_01201,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kg4m,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kg4m/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kg54,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kg54_1700482_master.tif,70,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,4 female dancers performing the Ramayana,ph_01207,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kg54,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kg54/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kg6n,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kg6n_1700485_master.tif,71,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,4 Musicians playing two different drums and two chirimias,ph_01258,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kg6n,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kg6n/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kgpw,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kgpw_1700488_master.tif,85,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,5 bells on a string,ph_01249,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kgpw,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kgpw/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kgqd,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kgqd_1700491_master.tif,86,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,6 female dancers,ph_01189,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kgqd,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kgqd/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kh1j,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kh1j_1701848_master.tif,95,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,A bundle of panpies arranged in two rows photographed against a dark background,ph_01385,13 panpipes bound together by a decorated ribbon and black thread.,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kh1j,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kh1j/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kh22,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kh22_1701851_master.tif,96,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,A Burmese harp displayed,ph_01439,"Archive # 1439 used in; Williamson, Muriel C. 1975. “A Supplement to the Construction and Decoration of one Burmese Harp.” In Selected Reports in Ethnomusicology 2(2):111-115.",,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kh22,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kh22/manifest
Ethnomusicology Archive: Photographic collection,ark:/21198/zz0025kh3k,ark:/21198/zz0025k1q4,2,Completed,Work,ethnophotos/image/21198-zz0025kh3k_1701854_master.tif,97,,,still image,,,,"University of California, Los Angeles. Ethnomusicology Archive",,,,,A Croatian tambura orchestra,ph_00188,"from Tomasica, distr. Garesnica, in Yugoslavia. Mounted with PH0185-190.",,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025kh3k,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0025kh3k/manifest
