Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Rights.countryCreation,Rights.rightsHolderContact,Rights.servicesContact,Language,Subject,Name.subject,Name.photographer,Name.repository,Relation.isPartOf,Name.creator,Date.creation,Title,Description.note,Format.extent,Alt ID.local,Format.dimensions,AltTitle.other,Description.note,Summary,Opac url,Date.normalized,Finding Aid URL,Bucketeer State,IIIF Access URL,IIIF Manifest URL,Representative Image,Masthead
Arai Family Papers.  Collection 1254,ark:/21198/zz0008cbpr,ark:/21198/zz0008c7rb,2,Completed,Work,arai/image/srgb/21198-zz0008cbpr-1-master.tif,,,,still image,Cabinet photographs,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,"Arai, Ryichir, 1855-|~|Morimura, Yutaka",Pach Bros. (photographers),"University of California, Los Angeles. $b Library Special Collections","Arai Family Papers (Collection 2010). UCLA Library Special Collections, Charles E. Young Research Library.",,"November 10, 1893","Ryichir Arai, Yutaka Morimura and unidentified man, 1893 [Cabinet card by Pach Bros.]","Japanese script on back translated : Nov. 10, 1893: Ryoichirō Arai and Yutaka Morimura|~|Printed on back : Pach Photographer 935 Broadway cor.22r.d. St.  New York Art & Nature Branches.  Harvard, Yale, Princeton, Columbia and U.S.M.A., West Point.",1 photographic print on cabinet card,clus_1254_b46_f4_1,11 x 17 cm. (4 x 7 in.),,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cbpr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cbpr/manifest,,
Arai Family Papers.  Collection 1254,ark:/21198/zz0008cbq8,ark:/21198/zz0008c7rb,2,Completed,Work,arai/image/srgb/21198-zz0008cbq8-1-master.tif,,,,still image,Black-and-white photographs,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,Arai Family,,"University of California, Los Angeles. $b Library Special Collections","Arai Family Papers (Collection 2010). UCLA Library Special Collections, Charles E. Young Research Library.",,1904,"N. Sato, portrait New York,  July 16, 1904",Writing on back states : Mr.R. Arai with compliments of N Sato  New York July 16th 04.,1 photographic print on mount,clus_1254_b46_f5_1,Photograph : 7 x 13 cm. (3 x 5 in.)|~|Mount : 13 x 19 cm. (5 x 8 in.),,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cbq8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cbq8/manifest,,
Arai Family Papers.  Collection 1254,ark:/21198/zz0008cbrs,ark:/21198/zz0008c7rb,2,Completed,Work,arai/image/srgb/21198-zz0008cbrs-1-master.tif,,,,still image,Black-and-white photographs|~|photographic postcards,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,"Takamine, Jukichi",,"University of California, Los Angeles. $b Library Special Collections","Arai Family Papers (Collection 2010). UCLA Library Special Collections, Charles E. Young Research Library.",,1904,"Dr. Jukichi Takamine & Dr. Aoyama,  March 1904",Writing on back states : Dr Jukichi Takamine and Dr. Aoyama,1 photographic postcard,clus_1254_b46_f6_1,8 x 14 cm. (3 x 6 in.),,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cbrs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cbrs/manifest,,
Arai Family Papers.  Collection 1254,ark:/21198/zz0008cbs9,ark:/21198/zz0008c7rb,2,Completed,Work,arai/image/srgb/21198-zz0008cbs9-1-master.tif,,,,still image,Black-and-white photographs,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,"Arai, Ryichir, 1855-",,"University of California, Los Angeles. $b Library Special Collections","Arai Family Papers (Collection 2010). UCLA Library Special Collections, Charles E. Young Research Library.",,1910,"Group portrait of Oasmu Yamada, Hajime Yamada, Ryichir Arai, Tomijirō Ito and Shizeki Takei, 1910 [recto]",Japanese script on back translated : On the 7th Sept. 1910: Oasmu Yamada; Hajime Yamada; Ryōichirō Arai; Tomijirō Ito; Shizeki Takei.,1 photographic print on mount,clus_1254_b46_f7_1 [recto],22 x 17 cm. (9 x 7 in.),,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cbs9,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cbs9/manifest,,
Arai Family Papers.  Collection 1254,ark:/21198/zz0008cbtt,ark:/21198/zz0008c7rb,2,Completed,Work,arai/image/srgb/21198-zz0008cbtt-1-master.tif,,,,still image,Black-and-white photographs,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,"Arai, Ryichir, 1855-",,"University of California, Los Angeles. $b Library Special Collections","Arai Family Papers (Collection 2010). UCLA Library Special Collections, Charles E. Young Research Library.",,1910,"Group portrait of Oasmu Yamada, Hajime Yamada, Ryichir Arai, Tomijirō Ito and Shizeki Takei, 1910 [verso]",Japanese script on back translated : On the 7th Sept. 1910: Oasmu Yamada; Hajime Yamada; Ryōichirō Arai; Tomijirō Ito; Shizeki Takei.,1 photographic print on mount [verso of mount],clus_1254_b46_f7_1 [verso],22 x 17 cm. (9 x 7 in.),,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cbtt,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cbtt/manifest,,
Arai Family Papers.  Collection 1254,ark:/21198/zz0008cbvb,ark:/21198/zz0008c7rb,2,Completed,Work,arai/image/srgb/21198-zz0008cbvb-1-master.tif,,,,still image,Black-and-white photographs|~|Group portraits,unknown,unknown,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,"Sakatani, Yoshio, 1863-1941|~|Arai Family",,"University of California, Los Angeles. $b Library Special Collections","Arai Family Papers (Collection 2010). UCLA Library Special Collections, Charles E. Young Research Library.",,,"Dinner for Baron Sakatani and Mr. Majoshi, Hotel Aster, May 22, 1908  New York",Photographer imprint : Druck & Co. 204 W 43rd St N.Y.,1 photographic print on mount,clus_1254_b65_1,27 x 45 cm. (11 x 18 in.),,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cbvb,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cbvb/manifest,,
Arai Family Papers.  Collection 1254,ark:/21198/zz0008cbwv,ark:/21198/zz0008c7rb,2,Completed,Work,arai/image/srgb/21198-zz0008cbwv-1-master.tif,,,,still image,Black-and-white photographs|~|Group portraits,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,"Arai, Ryichir, 1855-",,"University of California, Los Angeles. $b Library Special Collections","Arai Family Papers (Collection 2010). UCLA Library Special Collections, Charles E. Young Research Library.",,circa 1890,"Theater staged shot Early association of Japanese, with 1 caucasian,  circa 1890","Writing on back states : Taken at Eddowes[?] Bros. 353 6th Ave cor 22nd St.|~|Arai top row, 3rd from left.",1 photographic print on mount,clus_1254_b65_2,30 x 36 cm. (12 x 14 in.),,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cbwv,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cbwv/manifest,,
Arai Family Papers.  Collection 1254,ark:/21198/zz0008cbxc,ark:/21198/zz0008c7rb,2,Completed,Work,arai/image/srgb/21198-zz0008cbxc-1-master.tif,,,,still image,Black-and-white photographs|~|Group portraits,unknown,unknown,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,"Hirohito, Emperor of Japan, 1901-1989--Coronation|~|Arai Family",,"University of California, Los Angeles. $b Library Special Collections","Arai Family Papers (Collection 2010). UCLA Library Special Collections, Charles E. Young Research Library.",,"November 16, 1928","Emperor Hirohito's enthronement celebration by Japanese residents of New York and vicinity, Hotel Astor,  November 16, 1928","Imprinted on mount: Byron 53 West 32nd St.  And 1260 Broadway, N.Y.",1 photographic print on mount,clus_1254_b65_3,29 x 36 cm. (11 x 14 in.),,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cbxc,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cbxc/manifest,,
Arai Family Papers.  Collection 1254,ark:/21198/zz0008cbzw,ark:/21198/zz0008c7rb,2,Completed,Work,arai/image/srgb/21198-zz0008cbzw-1-master.tif,,,,still image,Black-and-white photographs|~|Portrait photographs,unknown,unknown,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,"Arai, Ryichir, 1855-",Pach Bros. (photographers),"University of California, Los Angeles. $b Library Special Collections","Arai Family Papers (Collection 2010). UCLA Library Special Collections, Charles E. Young Research Library.",,1905,"Ryichir Arai (grandfather) portrait, 1905 [Pach Bros. New York]",Writing on back states : 10/15/1905  Rioichiro Arai|~|Imprint on mount front : Pach Bros. New York  935 Broadway.,1 photographic print (oval image) on mount,clus_1254_b47_f1_1,11 x 17 cm. (4 x 7 in.),,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cbzw,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cbzw/manifest,,
Arai Family Papers.  Collection 1254,ark:/21198/zz0008cc0w,ark:/21198/zz0008c7rb,2,Completed,Work,arai/image/srgb/21198-zz0008cc0w-1-master.tif,,,,still image,Black-and-white photographs|~|Group portraits,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,"Arai, Ryichir, 1855-|~|Arai Family",,"University of California, Los Angeles. $b Library Special Collections","Arai Family Papers (Collection 2010). UCLA Library Special Collections, Charles E. Young Research Library.",,1890,"Group portrait, nine men in coats and hats, imposed on image of river rapids, 1890 [recto]",[Ryichir Arai bottom row 1st on right?]|~|Japanese script on back translated : In March 1890: Kiyotaka Kuroda; Daisuke Suzuki; Shōzō Komaki; Bunzō Ichikawa; Hiroshi Terauchi;  Masao Ishūin; Tarō Hozumi.,1 photographic print on mount,clus_1254_b47_f4_1 [recto],26 x 30 cm. (10 x 12 in.),"One of four businessmen and Miyo, Yone, and Ryichir,  1900s [?]",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cc0w,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cc0w/manifest,,
Arai Family Papers.  Collection 1254,ark:/21198/zz0008cc1d,ark:/21198/zz0008c7rb,2,Completed,Work,arai/image/srgb/21198-zz0008cc1d-1-master.tif,,,,still image,Black-and-white photographs,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,jpn,,"Arai, Ryichir, 1855-|~|Arai Family",,"University of California, Los Angeles. $b Library Special Collections","Arai Family Papers (Collection 2010). UCLA Library Special Collections, Charles E. Young Research Library.",,1890,"Group portrait, nine men in coats and hats, imposed on image of river rapids, 1890 [verso]",Japanese script translated : In March 1890: Kiyotaka Kuroda; Daisuke Suzuki; Shōzō Komaki; Bunzō Ichikawa; Hiroshi Terauchi;  Masao Ishūin; Tarō Hozumi.,1 photographic print [mount verso],clus_1254_b47_f4_1 [verso],26 x 30 cm. (10 x 12 in.),"One of four businessmen and Miyo, Yone, and Ryichir,  1900s [?]",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cc1d,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cc1d/manifest,,
Arai Family Papers.  Collection 1254,ark:/21198/zz0008cc2x,ark:/21198/zz0008c7rb,2,Completed,Work,arai/image/srgb/21198-zz0008cc2x-1-master.tif,,,,still image,Black-and-white photographs,unknown,unknown,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,Arai Family,,"University of California, Los Angeles. $b Library Special Collections","Arai Family Papers (Collection 2010). UCLA Library Special Collections, Charles E. Young Research Library.",,"May 18, 1918","Parade of Japanese Red Cross marching along 5th Ave., New York,  May 18, 1918",,1 photographic print,clus_1254_b66_album_pp17_1,18 x 24 cm. (7 x 9 in.),"Japanese women in Red Cross uniforms in parade, placard with ""Haarlem House"" behind them",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cc2x,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cc2x/manifest,,
Arai Family Papers.  Collection 1254,ark:/21198/zz0008cc3f,ark:/21198/zz0008c7rb,2,Completed,Work,arai/image/srgb/21198-zz0008cc3f-1-master.tif,,,,still image,Black-and-white photographs,unknown,unknown,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,"Takamatsu no Miya Nobuhito, Prince, son of Taishō, Emperor of Japan, 1905-1987 |~|Arai Family",,"University of California, Los Angeles. $b Library Special Collections","Arai Family Papers (Collection 2010). UCLA Library Special Collections, Charles E. Young Research Library.",,"April 13, 1931","Dinner in Honor of Their Imperial Highnesses Prince and Princess Takamatsu, Hotel Plaza, New York, 1931","Photograph taped at 34 cm. (13.4 in.).Image is from page 11 of Arai Family's Leather Brief album.|~|Written on photograph : (Stanoaro?) flashlight Co., Inc. N.Y.C. 12435A|~|Written on photograph : Dinner in Honor of Their Imperial Highnesses Prince and Princess Takamatsu Given by the Japanese Consul General Hotel Plaza, N.Y. City  April 13, 1931",1 photographic print,clus_1254_b66_album_pp11_1,25 x 49 cm. (10 x 19 in.),,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cc3f,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cc3f/manifest,,
