Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Visibility,Thumbnail,Type.genre,Type.typeOfResource,Rights.copyrightStatus,Subject.descriptiveTopic,Name.architect,Rights.rightsHolderContact,Name.subject,Name.photographer,Subject,Relation.isPartOf,Name.repository,Rights.permission,Name.creator,Subject.conceptTopic,Description.longitude,Description.fundingNote,Title,Alt ID.local,Format.extent,Format.medium,Description.latitude,Date.normalized,Coverage.geographic,Summary,Description.note,Description.caption,Date.creation,Contents note,Subject temporal,AltTitle.other,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Percival (Olive) Papers.  Collection 119,ark:/21198/zz00093qkb,ark:/21198/zz000932zv,2,Completed,Work,percival/masters/21198-zz00093qkb-1-master.tif,,,,private,,Black-and-white photographs|~|Portrait photographs,still image,,,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Percival, Olive, $d 1869-1945",,,"Olive Percival Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections",,,,,,"Olive Percival, full length portrait in evening black dress",clus_119_b7_photo10,1 photographic print,,,,,,"Box with photographs (box 7) lost November 4, 2007 (according to OPAC). Digital image cataloged without original, not able to ascertain dimensions and identification.",,[undated],,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093qkb,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00093qkb/manifest
Percival (Olive) Papers.  Collection 119,ark:/21198/zz00093qmv,ark:/21198/zz000932zv,2,Completed,Work,percival/masters/21198-zz00093qmv-1-master.tif,,,,private,,Black-and-white photographs|~|interior views,still image,,,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Percival, Olive, $d 1869-1945|~|Down-Hyl Claim (Los Angeles, Calif.)",,,"Olive Percival Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections",,,,,,"Olive Percival's home office or library, Los Angeles, between 1900-1945",clus_119_b7_photo11,1 photographic print,,,1900/1945,California--Los Angeles,,"Olive Percival's office or library in her house, ""Down-hyl Claim.""|~|34.116540, -118.174073|~|Box with photographs (box 7) lost November 4, 2007 (according to OPAC). Digital image cataloged without original, not able to ascertain dimensions and identification.",,[between 1900-1945],,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093qmv,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00093qmv/manifest
Percival (Olive) Papers.  Collection 119,ark:/21198/zz00093qnc,ark:/21198/zz000932zv,2,Completed,Work,percival/masters/21198-zz00093qnc-1-master.tif,,,,private,,Handicraft,still image,,Hatboxes $z California $z Los Angeles,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","Percival, Olive, $d 1869-1945|~|Down-Hyl Claim (Los Angeles, Calif.)",,,"Olive Percival Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections",,,,-118.174073,,"Olive Percival's hand-painted hatboxes on a porch at her Arroyo Seco home, Los Angeles, 1914",clus_119_b7_photo12,1 photographic print,,34.116540,1914-11,California--Los Angeles--Arroyo Seco,,"Olive Percival's home, Down-hyl Claim, was located in the Arroyo Seco area of north-east Los Angeles, at 522 San Pascual Avenue.|~|Round wooden cheese boxes, painted by Olive Percival to re-purpose as hat boxes, on a patio or terrace on her home ""Down-hyl Claim.""|~|Box with photographs (box 7) lost November 4, 2007 (according to OPAC). Digital image cataloged without original, not able to ascertain dimensions and identification.",Handwritten on negative: 11-14,November 1914,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00093qnc,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz00093qnc/manifest
Percival (Olive) Papers.  Collection 119,ark:/21198/zz002h2szs,ark:/21198/zz000932zv,2,Completed,Work,percival/masters/uclamss_119_0001.tif,,,,private,,black-and-white photographs|~|cellulose nitrate film,still image,,Cats $z California,,,"Percival, Helene Mason, $d 1846 or 1847-1928|~|Down-Hyl Claim (Los Angeles, Calif.)","Percival, Olive, $d 1869-1945",,"Olive Percival Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections",,,,-118.174073,Access to this collection is generously supported by Arcadia funds.,"Helen Percival (?) Olive Percival's mother at their Arroyo Seco home, Los Angeles, 1913",uclamss_119_0001,1 photographic negative,b&w nitrate negative,34.116540,1913,California--Los Angeles--Arroyo Seco,,"Text from negative sleeve: Mrs. Percival|~|Olive Percival's mother (perhaps) on a porch next to a garden bench at Down-hyl Claim with 2 cats in the background.|~|Olive Percival's home, Down-hyl Claim, was located in the Arroyo Seco area of north-east Los Angeles, at 522 San Pascual Avenue.",Handwritten on negative: 1913,1913,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h2szs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2szs/manifest
Percival (Olive) Papers.  Collection 119,ark:/21198/zz002h2t0s,ark:/21198/zz000932zv,2,Completed,Work,percival/masters/uclamss_119_0002.tif,,,,private,,black-and-white photographs|~|cellulose nitrate film,still image,,Gardens $z California $z Los Angeles,,,"Percival, Helene Mason, $d 1846 or 1847-1928|~|Down-Hyl Claim (Los Angeles, Calif.)","Percival, Olive, $d 1869-1945",,"Olive Percival Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections",,,,-118.174073,Access to this collection is generously supported by Arcadia funds.,"Helen Percival, Olive Percival's mother, in their Arroyo Seco garden, Los Angeles, 1913",uclamss_119_0002,1 photographic negative,b&w nitrate negative,34.116540,,California--Los Angeles--Arroyo Seco,,"Photograph of Helen Percival, Olive Percival's mother, in the garden with a parasol at Down-hyl Claim.|~|Olive Percival's home, Down-hyl Claim, was located in the Arroyo Seco area of north-east Los Angeles, at 522 San Pascual Avenue.",Handwritten on negative: 12-15|~|Text from negative sleeve: Mrs. Percival,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h2t0s,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2t0s/manifest
Percival (Olive) Papers.  Collection 119,ark:/21198/zz002h2t19,ark:/21198/zz000932zv,2,Completed,Work,percival/masters/uclamss_119_0003.tif,,,,private,,black-and-white photographs|~|cellulose nitrate film,still image,,Gardens $z California $z Los Angeles|~|Paper lanterns $z California $z Los Angeles,,,"Percival, Olive, $d 1869-1945","Percival, Olive, $d 1869-1945",,"Olive Percival Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections",,,,-118.174073,Access to this collection is generously supported by Arcadia funds.,"Olive Percival, framed by paper lanterns suspended from a branch in the garden of her Arroyo Seco home, Los Angeles, 1916",uclamss_119_0003,1 photographic negative,b&w nitrate negative,34.116540,1916-03-19,California--Los Angeles--Arroyo Seco,,"Olive Percival holding a parasol in her garden at her home, Down-hyl Claim, with 6 paper lanterns hung from an arching tree branch in the foreground.|~|Olive Percival's home, Down-hyl Claim, was located in the Arroyo Seco area of north-east Los Angeles, at 522 San Pascual Avenue.",Caption from negative sleeve: O.P. good ones|~|Handwritten on negative: 3-19-16,"March 19, 1916",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h2t19,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2t19/manifest
Percival (Olive) Papers.  Collection 119,ark:/21198/zz002h2t2t,ark:/21198/zz000932zv,2,Completed,Work,percival/masters/uclamss_119_0004.tif,,,,private,,black-and-white photographs|~|cellulose nitrate film,still image,,Dwellings $z California $z Los Angeles,,,"Percival, Olive, $d 1869-1945|~|Down-Hyl Claim (Los Angeles, Calif.)","Percival, Olive, $d 1869-1945",,"Olive Percival Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections",,,,-118.174073,Access to this collection is generously supported by Arcadia funds.,"Olive Percival seated on a bench on a porch at her Arroyo Seco house, Los Angeles, 1910 or 1912",uclamss_119_0004,1 photographic negative,b&w nitrate negative,34.116540,1910/1912,California--Los Angeles--Arroyo Seco,,"Olive Percival's home, Down-hyl Claim, was located in the Arroyo Seco area of north-east Los Angeles, at 522 San Pascual Avenue|~|Text from negative sleeve: O. P. good ones|~|Photograph of Olive Percival seated on a wooden garden bench on a porch at her hosue, Down-hyl Claim. Percival wears a bonnet, a full-skirted dress with ribbon trim on the skirt, and dark lace shawl. The porch is made from poured concrete.","Handwritten on negative: 1912 [""2"" has ""0"" written over it]",[1910 or 1912],,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h2t2t,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2t2t/manifest
Percival (Olive) Papers.  Collection 119,ark:/21198/zz002h2t3b,ark:/21198/zz000932zv,2,Completed,Work,percival/masters/uclamss_119_0005.tif,,,,private,,black-and-white photographs|~|cellulose nitrate film,still image,,Dogs $z California $z Burbank,,,,"Percival, Olive, $d 1869-1945",,"Olive Percival Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections",,,,,Access to this collection is generously supported by Arcadia funds.,"Kipling, Olive Percival's dog, at her home, Burbank, 1898",uclamss_119_0005,1 photographic negative,b&w nitrate negative,,1898,California--Burbank,,"This photograph was taken before Olive Percival moved to the Arroyo Seco area of Los Angeles. According to the Census, Olive Percival lived in Burbank in 1900.|~|Photograph of Olive Percival's dog, Kipling,  resting on an oriental rug on a wooden porch outside her house. There is a planting in a window box and a cane chair behind Kipling. Six horse shoes line a doorway on the left.",Text from negative sleeve: Kipling (died pneu.) 1898,1898,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h2t3b,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2t3b/manifest
Percival (Olive) Papers.  Collection 119,ark:/21198/zz002h2t4v,ark:/21198/zz000932zv,2,Completed,Work,percival/masters/uclamss_119_0006.tif,,,,private,,black-and-white photographs|~|cellulose nitrate film,still image,,Cats $z California|~|Gardens $z California $z Los Angeles,,,"Percival, Olive, $d 1869-1945|~|Down-Hyl Claim (Los Angeles, Calif.)","Percival, Olive, $d 1869-1945",,"Olive Percival Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections",,,,-118.174073,Access to this collection is generously supported by Arcadia funds.,"Olive Percival and her cat in the Arroyo Seco garden of her house, Los Angeles, circa 1916",uclamss_119_0006,1 photographic negative,b&w nitrate negative,34.116540,1916,California--Los Angeles--Arroyo Seco,,"Olive Percival's home, Down-hyl Claim, was located in the Arroyo Seco area of north-east Los Angeles, at 522 San Pascual Avenue.|~|Photograph of Olive Percival holding a parasol and one of her cats walking away from the camera down a path in the garden of the home. There is a dirt path through a field with grasses and flowers, with shrubs and trees.",Text from negative sleeve: cats & sundial,[circa 1916],,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h2t4v,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2t4v/manifest
Percival (Olive) Papers.  Collection 119,ark:/21198/zz002h2t5c,ark:/21198/zz000932zv,2,Completed,Work,percival/masters/uclamss_119_0007.tif,,,,private,,black-and-white photographs|~|cellulose nitrate film,still image,,Cats $z California,,,,"Percival, Olive, $d 1869-1945",,"Olive Percival Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections",,,,-118.174073,Access to this collection is generously supported by Arcadia funds.,"Two cats on steps outside Olive Percival's Arroyo Seco house, Los Angeles, 1900-1944",uclamss_119_0007,1 photographic negative,b&w nitrate negative,34.116540,1900/1944,California--Los Angeles--Arroyo Seco,,"Photograph of two cats on steps outside Olive Percival's Arroyo Seco house, Down-hyl Claim. A small Japanese screen and a plant in an oriental pot are on the top step.|~|Olive Percival's home, Down-hyl Claim, was located in the Arroyo Seco area of north-east Los Angeles, at 522 San Pascual Avenue.|~|Text from negative sleeve: Cats & Sundial",,[between 1900-1944],,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h2t5c,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2t5c/manifest
Percival (Olive) Papers.  Collection 119,ark:/21198/zz002h2t6w,ark:/21198/zz000932zv,2,Completed,Work,percival/masters/uclamss_119_0008.tif,,,,private,,black-and-white photographs|~|cellulose nitrate film,still image,,Gardens $z California $z Los Angeles|~|Sundials $z California $z Los Angeles,,,,"Percival, Olive, $d 1869-1945",,"Olive Percival Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections",,,,-118.174073,Access to this collection is generously supported by Arcadia funds.,"Sundial in Olive Percival's garden at her Arroyo Seco home, Los Angeles, 1921",uclamss_119_0008,1 photographic negative,b&w nitrate negative,34.116540,1921-07-01,California--Los Angeles--Arroyo Seco,,"Olive Percival's home, Down-hyl Claim, was located in the Arroyo Seco area of north-east Los Angeles, at 522 San Pascual Avenue.|~|Photograph of Olive Percival's flower garden with a sundial, 2 terra cotta pots and a watering can at her Arroyo Seco house, Down-hyl Claim. A stone-lined path leads to a wooden lattice in the background.",Handwritten on negative: 7-1-21|~|Text from negative sleeve: cats & sundial,"July 1, 1921",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h2t6w,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2t6w/manifest
Percival (Olive) Papers.  Collection 119,ark:/21198/zz002h2t7d,ark:/21198/zz000932zv,2,Completed,Work,percival/masters/uclamss_119_0009.tif,,,,private,,black-and-white photographs|~|cellulose nitrate film,still image,,Cats $z California,,,,"Percival, Olive, $d 1869-1945",,"Olive Percival Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","University of California, Los Angeles. $b Library Special Collections",,,,-118.174073,Access to this collection is generously supported by Arcadia funds.,"Olive Percival's cat on a garden bench in front of an open book at her Arroyo Seco property, Los Angeles, 1900-1944",uclamss_119_0009,1 photographic negative,b&w nitrate negative,34.116540,1900/1944,California--Los Angeles--Arroyo Seco,,"Olive Percival's home, Down-hyl Claim, was located in the Arroyo Seco area of north-east Los Angeles, at 522 San Pascual Avenue.|~|Photograph of Olive Percival's cat seated in front of a small folding screen on a wooden garden bench in front of an open book, outside her Arroyo Seco house, Down-hyl Claim",Text from negative sleeve: Cats & Sundials,[between 1900-1944],,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002h2t7d,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002h2t7d/manifest
