Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Visibility,Delete in Title,Thumbnail,Type.genre,Type.typeOfResource,Rights.copyrightStatus,Rights.publicationStatus,Rights.countryCreation,Rights.rightsHolderContact,Name.subject,Relation.isPartOf,Name.photographer,Name.repository,Subject,Name.creator,Date.normalized,Title,Date.creation,Format.extent,AltTitle.uniform,Alt ID.local,Format.dimensions,Description.note,Summary,AltTitle.other,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL,IIIF Manifest URL
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0008ccqr,ark:/21198/zz0008b9sc,2,Completed,Work,stdenis/masters/21198-zz0008ccqr-1-master.tif,10,,private,,,Black-and-white photographs,still image,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","St. Denis, Ruth, 1880-1968","Ruth St. Denis Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"University of California, Los Angeles. $b Library Special Collections",,,1906,"Ruth St. Denis, Radha [1906] [mounted photo]",1906,1 photographic print on mount : sepia toned,Radha (Choreographic work : St. Denis),clus_1031_b159_f15_5,10 x 12 cm. (3.75 x 5.5 in.)|~|Mount : 18 x 25 cm. (7 x 9.5 in.),Imprint on front : (Rauhy or Pauly?) Boyer Paris.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008ccqr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008ccqr/manifest
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0008ccr8,ark:/21198/zz0008b9sc,2,Completed,Work,stdenis/masters/21198-zz0008ccr8-1-master.tif,11,,private,,,Black-and-white photographs|~|Portrait photographs,still image,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","St. Denis, Ruth, 1880-1968","Ruth St. Denis Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"University of California, Los Angeles. $b Library Special Collections",,,1906,"Ruth St. Denis, Radha, [1906] [portrait in profile, mounted]",1906,1 photographic print on mount : sepia toned,Radha (Choreographic work : St. Denis),clus_1031_b159_f15_4,10 x 12 cm. (3.75 x 5.5 in.)|~|Mount 18 x 25 cm. (7 x 9.5 in.),Imprint on front : (Rauhy or Pauly?) Boyer Paris.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008ccr8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008ccr8/manifest
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0008ccss,ark:/21198/zz0008b9sc,2,Completed,Work,stdenis/masters/21198-zz0008ccss-1-master.tif,12,,private,,,Black-and-white photographs,still image,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","St. Denis, Ruth, 1880-1968","Ruth St. Denis Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"University of California, Los Angeles. $b Library Special Collections",,,1906,"Ruth St. Denis, Radha [1906] [bending backwards]",1906,1 photographic print,Radha (Choreographic work : St. Denis),clus_1031_b159_f15_6,20 x 25 cm. (8 x 10 in.),,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008ccss,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008ccss/manifest
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0008cct9,ark:/21198/zz0008b9sc,2,Completed,Work,stdenis/masters/21198-zz0008cct9-1-master.tif,13,,private,,,Black-and-white photographs,still image,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","St. Denis, Ruth, 1880-1968","Ruth St. Denis Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",White (N.Y.),"University of California, Los Angeles. $b Library Special Collections",,,1906,"Ruth St. Denis, Radha [1906] [hands above head, back to camera]",1906,1 photographic print : sepia toned,Radha (Choreographic work : St. Denis),clus_1031_b159_f15_3,10 x 12 cm. (4 x 5.5 in.),Bottom left corner and tip of top right corner missing.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cct9,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cct9/manifest
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0008ccvt,ark:/21198/zz0008b9sc,2,Completed,Work,stdenis/masters/21198-zz0008ccvt-1-master.tif,14,,private,,,Black-and-white photographs,still image,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","St. Denis, Ruth, 1880-1968","Ruth St. Denis Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",White (N.Y.),"University of California, Los Angeles. $b Library Special Collections",,,1906,"Ruth St. Denis, Radha [1906] [bowl on head, facing left]",1906,1 photographic print : sepia toned,Radha (Choreographic work : St. Denis),clus_1031_b159_f15_1,15 x 20 cm (6 x 8 in.),,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008ccvt,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008ccvt/manifest
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0008ccwb,ark:/21198/zz0008b9sc,2,Completed,Work,stdenis/masters/21198-zz0008ccwb-1-master.tif,15,,private,,,Black-and-white photographs,still image,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","St. Denis, Ruth, 1880-1968","Ruth St. Denis Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",White (N.Y.),"University of California, Los Angeles. $b Library Special Collections",,,1906,"Ruth St. Denis, Radha [1906] [bowl on head, facing camera]",1906,1 photographic print : sepia toned,Radha (Choreographic work : St. Denis),clus_1031_b159_f15_2,15 x 20 cm (6 x 8 in.),Photograph condition : tip of top right corner and bottom left corner missing.  Tears at bottom and creases.,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008ccwb,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008ccwb/manifest
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0008ccxv,ark:/21198/zz0008b9sc,2,Completed,Work,stdenis/masters/21198-zz0008ccxv-1-master.tif,16,,private,,,Black-and-white photographs|~|Portrait photographs,still image,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","St. Denis, Ruth, 1880-1968","Ruth St. Denis Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","Blechman, Marcus","University of California, Los Angeles. $b Library Special Collections",,,1939/1949,"Ruth St. Denis, Radha [1943] [portrait with pearls in hands",circa 1943,1 photographic print,Radha (Choreographic work : St. Denis),clus_1031_b159_f16_1,20 x 25 cm. (8 x 10 in.),,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008ccxv,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008ccxv/manifest
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0008cczc,ark:/21198/zz0008b9sc,2,Completed,Work,stdenis/masters/21198-zz0008cczc-1-master.tif,17,,private,,,Black-and-white photographs,still image,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","St. Denis, Ruth, 1880-1968","Ruth St. Denis Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"University of California, Los Angeles. $b Library Special Collections",,,1929/1939,"Ruth St. Denis, Salome, pre-1940 [posed against wall with dark shawl]",circa 1930,,Salome (Choreographic work : St. Denis),clus_1031_b159_f17_1,20 x 25 cm. (8 x 10 in.),,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cczc,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cczc/manifest
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0008cd0c,ark:/21198/zz0008b9sc,2,Completed,Work,stdenis/masters/21198-zz0008cd0c-1-master.tif,18,,private,,,Black-and-white photographs,still image,unknown,unknown,US,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","St. Denis, Ruth, 1880-1968","Ruth St. Denis Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.","Muray-Diehl, N.Y.","University of California, Los Angeles. $b Library Special Collections",,,1920/1939,"Ruth St. Denis, Salome, pre-1940 [leaning back, hand to chest, white dress]",circa 1930,1 photographic print,Salome (Choreographic work : St. Denis),clus_1031_b159_f17_2,13 x 24 cm. (5.5 x 9.5 in.),,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cd0c,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cd0c/manifest
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0008cd1w,ark:/21198/zz0008b9sc,2,Completed,Work,stdenis/masters/21198-zz0008cd1w-1-master.tif,19,,private,,,Black-and-white photographs,still image,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","St. Denis, Ruth, 1880-1968","Ruth St. Denis Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"University of California, Los Angeles. $b Library Special Collections",,,1919,"Ruth St. Denis, Soaring [1919]",1919,1 photographic print : sepia toned,Soaring (Choreographic work : St. Denis),clus_1031_b159_f27_1,9 x 12 cm. (3.5 x 5 in.),,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cd1w,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cd1w/manifest
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0008cd2d,ark:/21198/zz0008b9sc,2,Completed,Work,stdenis/masters/21198-zz0008cd2d-1-master.tif,20,,private,,,Black-and-white photographs,still image,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","St. Denis, Ruth, 1880-1968","Ruth St. Denis Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"University of California, Los Angeles. $b Library Special Collections",,,1915,"Ruth St. Denis, Spirit of the Sea [1915] [arms over head, eyes open looking left]",1915,1 photographic print,Spirit of the sea (Choreographic work : St. Denis),clus_1031_b159_f28_1,7 x 10 cm. (3 x 4 in.),,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cd2d,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cd2d/manifest
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0008cd3x,ark:/21198/zz0008b9sc,2,Completed,Work,stdenis/masters/21198-zz0008cd3x-1-master.tif,21,,private,,,Black-and-white photographs,still image,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","St. Denis, Ruth, 1880-1968","Ruth St. Denis Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"University of California, Los Angeles. $b Library Special Collections",,,1915,"Ruth St. Denis, Spirit of the Sea [1915] [arms over head, eyes closed]",1915,1 photographic print,Spirit of the sea (Choreographic work : St. Denis),clus_1031_b159_f28_2,7 x 10 cm. (3 x 4 in.),,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cd3x,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cd3x/manifest
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0008cd4f,ark:/21198/zz0008b9sc,2,Completed,Work,stdenis/masters/21198-zz0008cd4f-1-master.tif,22,,private,,,Black-and-white photographs,still image,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","St. Denis, Ruth, 1880-1968","Ruth St. Denis Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"University of California, Los Angeles. $b Library Special Collections",,,1925,"Ruth St. Denis, Studies Oriental head [1925]",1925,1 photographic print : sepia toned,,clus_1031_b160_f2_1,11 x 15 cm. (4.5 x 6 in.),,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cd4f,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cd4f/manifest
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0008cd5z,ark:/21198/zz0008b9sc,2,Completed,Work,stdenis/masters/21198-zz0008cd5z-1-master.tif,23,,private,,,Black-and-white photographs,still image,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","St. Denis, Ruth, 1880-1968","Ruth St. Denis Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"University of California, Los Angeles. $b Library Special Collections",,,1890/1910,"Ruth St. Denis, Studies personal, [dark dress with roses as trim], circa 1899",circa 1899,1 photographic print,,clus_1031_b160_f18_1,7 x 18 cm. (3 x 7 in.),"Handwritting on back : Black Dress, Pink Roses, Before 1900. Pach Mansion, Brooklyn - Skirt Dance to a Waltz",,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cd5z,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cd5z/manifest
St. Denis (Ruth) Papers.  Collection 1031,ark:/21198/zz0008cd6g,ark:/21198/zz0008b9sc,2,Completed,Work,stdenis/masters/21198-zz0008cd6g-1-master.tif,24,,private,,,Black-and-white photographs,still image,unknown,unknown,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988","St. Denis, Ruth, 1880-1968","Ruth St. Denis Papers. Department of Special Collections, Charles E. Young Research Library, UCLA.",,"University of California, Los Angeles. $b Library Special Collections",,,1890/1910,"Ruth St. Denis, Studies personal, [seated at vanity mirror], circa 1899",circa 1899,1 photographic print : sepia toned,,clus_1031_b160_f18_2,7 x 10 cm. (3 x 4 in.),,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0008cd6g,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008cd6g/manifest
