Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Visibility,Duplicate,Delete in Title,Type.typeOfResource,Name.creator,Name.repository,Date.normalized,Title,Alt ID.local,Format.dimensions,Date.creation,Subject geographic,Format.medium,Subject name,Subject temporal,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Fowler Museum,ark:/21198/zz002czsh2,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002czsh2_2171112_master.tif,12,,,,three dimensional object,,Fowler Museum at UCLA,1700/1899,Power figure (nkisi) (X67-879),X67-879,"H: 26.5 cm, W: 22.0 cm, D: 17.0 cm (H: 10.4 in, W: 8.6 in, D: 6.7 in)",18th - 19th Century,Democratic Republic of the Congo,"Wood, camwood, pigment, mirror, fiber, metal, chain",Yombe peoples,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czsh2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czsh2/manifest
Fowler Museum,ark:/21198/zz002czsjk,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002czsjk_2171144_master.tif,13,,,,still image,,Fowler Museum at UCLA,1900/1950,"Santo, Virgin of the Rosary (X80-202a-b)",X80-202a-b,"Total Height: 65.0 cm, H: 55.0 cm, W: 22.3 cm, D: 17.2 cm (Total Height: 25.9 in, H: 21.6 in, W: 8.7 in)",Early 20th Century,Guatemala,"Wood, paint, metal",,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czsjk,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czsjk/manifest
Fowler Museum,ark:/21198/zz002czsk3,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002czsk3_2171109_master.tif,14,,,,three dimensional object,U Then Ye,Fowler Museum at UCLA,1925/1975,Marionette (X67-242a),X67-242a,"H: 62.0 cm, W: 30.0 cm, D: 10.0 cm (H: 24.4 in, W: 11.8 in, D: 3.9 in)",Mid-20th Century,"Rangoon, Burma","Wood, silk, velvet, metal, glass beads, hair, lace, glass",,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czsk3,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czsk3/manifest
Fowler Museum,ark:/21198/zz002czsmm,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002czsmm_2160547_master.tif,15,,,,three dimensional object,,Fowler Museum at UCLA,1700/1889,Beaded headdress for elephant mask (X64-86),X64-86,"H: 47.00 cm (18.5 in), W: 43.50 cm (17.1 in), D: 46.00 cm (18.1 in)",Before 1880,Cameroon,"Fiber, textile, beads, wood",Bamileke peoples,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czsmm,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czsmm/manifest
Fowler Museum,ark:/21198/zz002czsn4,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002czsn4_2171100_master.tif,16,,,,three dimensional object,,Fowler Museum at UCLA,1550/1650,Plaque (X65-9085),X65-9085,"H: 16.8 cm, W: 15.1 cm, D: 5.0 cm (H: 6.6 in, W: 5.9 in, D: 1.9 in)",Circa 1550-1650 C.E.,"Kingdom of Benin, present-day Nigeria",Brass,Edo peoples,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czsn4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czsn4/manifest
Fowler Museum,ark:/21198/zz002czsq5,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002czsq5_2175095_master.tif,18,,,,three dimensional object,,Fowler Museum at UCLA,1800/1950,Headrest (X92-16),X92-16,"H: 18.0 cm, W: 16.5 cm, D: 5.5 cm (H: 7.1 in, W: 6.5 in, D: 2.2 in)",19th - Early 20th Century,"Cenderawasih Bay, West Papua (New Guinea), Indonesia",Wood,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czsq5,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czsq5/manifest
Fowler Museum,ark:/21198/zz002czsrp,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002czsrp_2160556_master.tif,19,,,,three dimensional object,,Fowler Museum at UCLA,1800/1899,Mask (X65-4280),X65-4280,"H: 58.40 cm, W: 67.30 cm, D: 17.00 cm (H: 23 in, W: 26.5 in, D:  6.7 in)",19th Century,"British Columbia, Canada","Wood, graphite, paint, wool, synthetic fabric, metal, cotton cord",Haida peoples,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czsrp,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czsrp/manifest
Fowler Museum,ark:/21198/zz002czss6,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002czss6_2160565_master.tif,20,,,,three dimensional object,,Fowler Museum at UCLA,1800/1899,Mask (X65-4779),X65-4779,"H: 68.00 cm, W: 24.00 cm, D: 27.00 cm",19th Century,Sierra Leone,"Wood, pigment, plant fiber",Mende peoples,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czss6,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czss6/manifest
Fowler Museum,ark:/21198/zz002czstq,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002czstq_2171115_master.tif,21,,,,three dimensional object,Grandfather of David Monongye,Fowler Museum at UCLA,1900,"Kachina figure, Tihu of Kooyemsi Katsina (Choral singer and drummer) (X68-158)",X68-158,"H: 23.5 cm, W: 7.6 cm, D: 6.0 cm (H: 9.2 in, W: 2.9 in, D: 2.3 in)",1900,"Hotevilla, Arizona","Wood, paint, bandana",Hopi peoples,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czstq,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czstq/manifest
Fowler Museum,ark:/21198/zz002czsv7,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002czsv7_2171080_master.tif,22,,,,three dimensional object,,Fowler Museum at UCLA,1900/1950,Architectural Panel (X65-8158),X65-8158,"H: 175.0 cm, W: 51.0 cm, D: 6.0 cm (H: 68.9 in, W: 20.1 in, D: 2.4 in)",Early 20th century,Taiwan,Wood,Paiwan peoples,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czsv7,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czsv7/manifest
Fowler Museum,ark:/21198/zz002czswr,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002czswr_2107771_master.tif,23,,,,three dimensional object,"Bonsu, Osei, 1900-1977",Fowler Museum at UCLA,1935,Drum (X78-136),X78.136,H: 111.7 cm (H: 43.9 in),1935,"Abofo, Ghana","Wood, pigment, hide",Asante peoples,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czswr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czswr/manifest
Fowler Museum,ark:/21198/zz002czsx8,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002czsx8_2160550_master.tif,24,,,,three dimensional object,,Fowler Museum at UCLA,1800/1899,Mask (amiilk) (X65-4273),X65-4273,"H: 22.50 cm, W: 18.50 cm, D: 13.00 cm",19th Century,"British Columbia, Canada","Wood, pigment",Tsimshian peoples,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czsx8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czsx8/manifest
Fowler Museum,ark:/21198/zz002czszs,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002czszs_2171103_master.tif,25,,,,three dimensional object,,Fowler Museum at UCLA,1700/1799,Belt mask (X65-9087),X65-9087,"H: 19.0 cm, W: 11.7 cm, D: 5.7 cm (H: 7.4 in, W: 4.6 in, D: 2.2 in)",18th Century,"Kingdom of Benin, present-day Nigeria",Brass,Edo peoples,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czszs,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czszs/manifest
Fowler Museum,ark:/21198/zz002czt0s,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002czt0s_2171083_master.tif,26,,,,three dimensional object,,Fowler Museum at UCLA,1850/1950,Headdress (X65-9043),X65-9043,"H: 67.0 cm, W: 36.0 cm, D: 50.0 cm (H: 26.3 in, W: 14.2 in, D: 19.7 in)",Late 19th - Early 20th Century,"Calabar, Nigeria","Wood, metal, bone, leather",Efut peoples,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czt0s,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czt0s/manifest
Fowler Museum,ark:/21198/zz002czt19,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002czt19_2175089_master.tif,27,,,,three dimensional object,,Fowler Museum at UCLA,1900/1999,Otherworld husband (blolo bian) (x94-18-2),x94-18-2,"H: 33.60 cm, W: 8.30 cm, D: 7.00 cm",20th Century,Côte d’Ivoire,Wood and paint,Baule peoples,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czt19,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czt19/manifest
Fowler Museum,ark:/21198/zz002czt2t,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002czt2t_2171153_master.tif,28,,,,three dimensional object,Mairamu Kubo,Fowler Museum at UCLA,1965/1975,Bowl (X83-677),X83-677,"L: 20.9 cm, D: 23.5 cm (L: 8.2 in, D: 9.3 in)",Circa 1970,Nigeria,Gourd,Dera peoples,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czt2t,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czt2t/manifest
Fowler Museum,ark:/21198/zz002czt3b,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002czt3b_2160568_master.tif,29,,,,three dimensional object,,Fowler Museum at UCLA,1800/1950,Hornbill figure (tenyalang) (X65-5653),X65-5653,"H: 57.20 cm, D: 86.40 cm, W: 14.00 cm (H: 22.5 in, D: 34 in, W: 5.5 in)",19th - Early 20th Century,"Malaysia, Island of Borneo, Sarawak","Wood, paint, cotton thread, plant material, wool",Iban peoples,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czt3b,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czt3b/manifest
Fowler Museum,ark:/21198/zz002czt4v,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002czt4v_2175092_master.tif,30,,,,three dimensional object,,Fowler Museum at UCLA,1900/1999,Otherworld wife (blolo bla) (X94-17-2),X94-17-2,"H: 31.0 cm, W: 7.5 cm, D: 8.0 cm (H: 12.2 in, W: 2.9 in, D: 3.1 in)",20th Century,Côte d’Ivoire,Wood and paint,Baule peoples,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czt4v,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czt4v/manifest
Fowler Museum,ark:/21198/zz002czt5c,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002czt5c_2171147_master.tif,31,,,,three dimensional object,,Fowler Museum at UCLA,1800/1950,Container (X82-932),X82-932,"H: 22.8 cm, L: 43.8 cm, W: 10.5 cm (H: 8.9 in, L: 17.2 in, W: 4.1 in)",19th - Early 20th Century,"Mindanao, Philippines","Wood, horn, metal",Maranao peoples,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czt5c,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czt5c/manifest
Fowler Museum,ark:/21198/zz002czt6w,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002czt6w_2107774_master.tif,32,,,,three dimensional object,"Castillo Hernández, Veronica",Fowler Museum at UCLA,,El Arbol de la Muerte: Maquilando Mujeres (X2004.20.1),X2004.20.1,"H: 87.0 cm, W: 70.0 cm, D: 29.0 cm (H: 34.3 in, W: 27.6 in, D: 11.4 in)",,"Texas, USA","Ceramic, paint, wire",,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czt6w,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czt6w/manifest
Fowler Museum,ark:/21198/zz002czt7d,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002czt7d_2175131_master.tif,33,,,,three dimensional object,,Fowler Museum at UCLA,1700/1899,Power figure (nkisi nkondi) (X65-5837),X65-5837,"H: 114.30 cm, W: 45.70 cm, D: 38.00 cm",18th - 19th Century,Democratic Republic of the Congo,"Wood, metal, nails, mirrors, cloth, cordage, beads, cowrie shell",Yombe peoples,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czt7d,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czt7d/manifest
Fowler Museum,ark:/21198/zz002czt8x,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002czt8x_2175140_master.tif,34,,,,three dimensional object,,Fowler Museum at UCLA,1825/1899,Bow stand (X65-7489),X65-7489,"H: 73.5 cm, W: 19.0 cm, D: 11.0 cm (H: 28.9 in, W: 7.4 in, D: 4.3 in)",Mid-Late 19th Century,"Katanga, Democratic Republic of the Congo",Wood,Luba peoples,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czt8x,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czt8x/manifest
Fowler Museum,ark:/21198/zz002cztbz,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002cztbz_2175121_master.tif,36,,,,three dimensional object,,Fowler Museum at UCLA,1950/1999,"Kachina figure, Taatangaya Katsina (Hornet) (X82-1545)",X82-1545,"L: 25.5 cm, D: 9.5 cm (L: 10.0 in, D: 3.7 in)",Late 20th century,"Arizona, USA",Wood and paint,Hopi peoples,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cztbz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cztbz/manifest
Fowler Museum,ark:/21198/zz002cztcg,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002cztcg_2171138_master.tif,37,,,,three dimensional object,,Fowler Museum at UCLA,1900/1975,"Hand puppet, the Blind Scholar (X77-1391a)",X77-1391a,"H: 50.0 cm, W: 26.0 cm, D: 11.0 cm (H: 19.6 in, W: 10.2 in, D: 4.3 in)",Early - Mid 20th Century,China (Taiwain),"Wood, paint, synthetic fiber, rabbit fur",,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cztcg,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cztcg/manifest
Fowler Museum,ark:/21198/zz002cztd0,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002cztd0_2171131_master.tif,38,,,,three dimensional object,,Fowler Museum at UCLA,1900/1975,"Mask, Barong (X76-1970a)",X76-1970a,"H: 31.00 cm, W: 46.00 cm, D: 26.00 cm (H: 12.2 in, W: 18.1 in, D: 10.2 in)",Early - Mid 20th Century,"Bali, Indonesia","Wood, leather, twine, wire, hair, mirrors, paint",,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cztd0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cztd0/manifest
Fowler Museum,ark:/21198/zz002cztfh,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002cztfh_2175101_master.tif,39,,,,three dimensional object,,Fowler Museum at UCLA,250/900,Ceramic vessel (X91-632),X91-632,"H: 16.0 cm, Diam: 16.2 cm (H: 6.3 in, Diam: 6.4 in)","Classic Period, 250-900 C.E.","Yucatan, Mexico",Ceramic,Maya peoples,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cztfh,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cztfh/manifest
Fowler Museum,ark:/21198/zz002cztg1,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002cztg1_2171095_master.tif,40,,,,three dimensional object,"Attributed to Adugbologe (Abeokuta, Nigeria, d. ca. 1940)",Fowler Museum at UCLA,,Headdress (ere egungun olode) (X65-9051),X65-9051,"H: 45.0 cm, W: 41.0 cm, D: 33.0 cm (H: 17.7 in, W: 16.1 in, D: 12.9 in)",Made prior to 1922,Nigeria,"Wood, pigment",Yoruba,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cztg1,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cztg1/manifest
Fowler Museum,ark:/21198/zz002czthj,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002czthj_2175137_master.tif,41,,,,three dimensional object,,Fowler Museum at UCLA,1700/1899,Female figure (X65-7488),X65-7488,"H: 31.00 cm, W: 11.00 cm, D: 12.00 cm",18th - 19thCcentury,Democratic Republic of the Congo,"Wood, textile, metal beads, fiber cord, pigment",Luba peoples,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002czthj,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002czthj/manifest
Fowler Museum,ark:/21198/zz002cztj2,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002cztj2_2175134_master.tif,42,,,,three dimensional object,,Fowler Museum at UCLA,1800/1899,Male figure (X65-7486),X65-7486,"H: 61.00 cm, W: 16.50 cm, D: 11.00 cm",19th Century,Democratic Republic of the Congo,"Wood, paint",Mbole peoples,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cztj2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cztj2/manifest
Fowler Museum,ark:/21198/zz002cztkk,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002cztkk_2175128_master.tif,43,,,,three dimensional object,,Fowler Museum at UCLA,1965/1975,Bowl (X83-797),X83-797,"L: 11.2 in, D: 11.7 in (L: 4.4 in, D: 4.6 in)",Circa 1970,Nigeria,Gourd,Kanuri peoples,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cztkk,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cztkk/manifest
Fowler Museum,ark:/21198/zz002cztnm,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002cztnm_2175156_master.tif,45,,,,three dimensional object,,Fowler Museum at UCLA,1800/1899,Elephant mask (X2006-4-1),X2006-4-1,"L: 118.0 cm, W: 46.0 cm, H: 25.5 cm (L: 46.4 in, W: 18.1 in, H: 10.0 in)",19th Century,"Western Grassfields, Cameroon","Wood, copper, alloy, iron alloy",Oku or Babanki peoples,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cztnm,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cztnm/manifest
Fowler Museum,ark:/21198/zz002cztp4,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002cztp4_2160562_master.tif,46,,,,three dimensional object,"Attributed to Labintan (Otta, Nigeria, d. ca. 1930)",Fowler Museum at UCLA,1850/1999,Headdress (ere gelede) (X65-4742),X65-4742,"H: 24.00 cm, W: 18.00 cm, D: 31.00 cm",Late 19th - 20th Century,Nigeria,"Wood, paint, laundry bluing",Yoruba peoples,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cztp4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cztp4/manifest
Fowler Museum,ark:/21198/zz002cztqn,ark:/21198/zz002czrg2,10,Completed with minimal metadata,Work,fowler_museum/image/21198-zz002cztqn_2160571_master.tif,47,,,,three dimensional object,,Fowler Museum at UCLA,1700/1907,Ancestor figures (adu zatua) (X65-5679),X65-5679,"H: 24.80 cm, W: 68.60 cm, D: 7.50 cm",Collected before 1907,"North Nias, Indonesia","Wood, plant fiber",,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002cztqn,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002cztqn/manifest
