Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Visibility,Type.typeOfResource,Rights.copyrightStatus,Subject,Type.genre,Coverage.geographic,Rights.servicesContact,Language,Name.creator,Name.photographer,Name.subject,Name.repository,Description.fundingNote,Format.extent,Format.medium,Relation.isPartOf,AltTitle.uniform,Title,Alt ID.local,Description.caption,Date.creation,Date.normalized,Description.note,Description.abstract,Description.latitude,Description.longitude,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Blaney (Harry French) Papers,ark:/21198/zz002jk209,ark:/21198/zz002jjxtb,2,Completed,Work,blaney/tiff/uclamss_1682_00010.tif,,,,,private,still image,copyrighted,,Black-and-white photographs|~|cellulose nitrate film,Alturas (Calif.),,zxx,,"Beckett, S. H. $q (Samuel Hume), $d 1883-1937",,"University of California, Los Angeles. $b Library Special Collections",Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,"Harry French Blaney Papers. Department of Special Collections, Charles E. Young Research Library, UCLA. : local",,"Hot Spring Valley on the Pit River, Alturas vicinity, 1928",uclamss_1682_00010,"Text from negative sleeve: 150. Hot Spring Valley on Pit River below Alturas, Calif. Neg. 14. Taken by: S. H. Beckett. Date: Aug. 1928.",August 1928,1928-08,Panoramic view of the Hot Spring Valley,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jk209,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jk209/manifest
Blaney (Harry French) Papers,ark:/21198/zz002jk21t,ark:/21198/zz002jjxtb,2,Completed,Work,blaney/tiff/uclamss_1682_00011.tif,,,,,private,still image,copyrighted,Mojave River Irrigation District (Calif.)|~|Apple orchards $z California $z Apple Valley,Black-and-white photographs|~|cellulose nitrate film,Apple Valley (Calif.),,zxx,,"Beckett, S. H. $q (Samuel Hume), $d 1883-1937",,"University of California, Los Angeles. $b Library Special Collections",Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,"Harry French Blaney Papers. Department of Special Collections, Charles E. Young Research Library, UCLA. : local",,"Young orchard irrigated by a private well, Apple Valley, 1928",uclamss_1682_00011,Text from negative sleeve: 200.4. Mojave River Irrigation District. Young orchard in Apple Valley irrigated by private well. Neg. 15. Taken by S. H. Beckett. Date: Sept. 1928.|~|Handwritten on negative: SHB - 15,September 1928,1928-09,"View of an young apple orchard in Apple Valley, which is located in the Mojave River Irrigation District.",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jk21t,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jk21t/manifest
Blaney (Harry French) Papers,ark:/21198/zz002jk22b,ark:/21198/zz002jjxtb,2,Completed,Work,blaney/tiff/uclamss_1682_00012.tif,,,,,private,still image,copyrighted,Nevada Irrigation District (Calif.),Black-and-white photographs|~|cellulose nitrate film,Nevada County (Calif.),,zxx,,"Beckett, S. H. $q (Samuel Hume), $d 1883-1937",,"University of California, Los Angeles. $b Library Special Collections",Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,"Harry French Blaney Papers. Department of Special Collections, Charles E. Young Research Library, UCLA. : local",,"Intake of the Fall Creek Siphon on Bowman-Spaulding Conduit, Nevada County (Calif.), 1928",uclamss_1682_00012,Text from negative sleeve: 155. Intake of Fall Creek Siphon on Bowman-Spaulding Conduit. Nevada Irrigation District. No. 16. SHB. Oct. 1928.,October 1928,1928-10,,,39.358511,-120.671047,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jk22b,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jk22b/manifest
Blaney (Harry French) Papers,ark:/21198/zz002jk23v,ark:/21198/zz002jjxtb,2,Completed,Work,blaney/tiff/uclamss_1682_00013.tif,,,,,private,still image,copyrighted,Dams $z California $z Nevada County|~|Nevada Irrigation District (Calif.),Black-and-white photographs|~|cellulose nitrate film,Nevada County (Calif.),,zxx,,"Beckett, S. H. $q (Samuel Hume), $d 1883-1937",,"University of California, Los Angeles. $b Library Special Collections",Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,"Harry French Blaney Papers. Department of Special Collections, Charles E. Young Research Library, UCLA. : local",,"Deer Creek Diversion Dam of the Nevada Irrigation District, Nevada County (Calif.), 1928",uclamss_1682_00013,Text from negative sleeve: 150.71. Deer Creek Diversion Dam of Nevada Irrigation District. [Neg.] No. 17. [Photographer:]  SHB. [Date:] Oct. 1928.,October 1928,1928-10,View of the Deer Creek Diversion Dam on Deer Creek Reservoir (also called Lower Scott's Flat Lake).,,39.26901,-120.954481,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jk23v,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jk23v/manifest
Blaney (Harry French) Papers,ark:/21198/zz002jk24c,ark:/21198/zz002jjxtb,2,Completed,Work,blaney/tiff/uclamss_1682_00014.tif,,,,,private,still image,copyrighted,Irrigation canals & flumes $z California $z Nevada County,Black-and-white photographs|~|cellulose nitrate film,Nevada County (Calif.),,zxx,,"Beckett, S. H. $q (Samuel Hume), $d 1883-1937",,"University of California, Los Angeles. $b Library Special Collections",Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,"Harry French Blaney Papers. Department of Special Collections, Charles E. Young Research Library, UCLA. : local",,"Head of the D-S Canal at the Deer Creek Diversion Dam, Nevada County (Calif.), 1928",uclamss_1682_00014,Text from negative sleeve: 155.21. Head of D-S Canal at Deer Creek Diversion Dam. Nevada Irrigation District. [Neg.:] No. 18. [Photographer:] SHB. [Date:] Oct. 1928.,October 1928,1928-10,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jk24c,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jk24c/manifest
Blaney (Harry French) Papers,ark:/21198/zz002jk25w,ark:/21198/zz002jjxtb,2,Completed,Work,blaney/tiff/uclamss_1682_00015.tif,,,,,private,still image,copyrighted,Dams $z California $z Nevada County|~|Nevada Irrigation District (Calif.),Black-and-white photographs|~|cellulose nitrate film,Nevada County (Calif.),,zxx,,"Beckett, S. H. $q (Samuel Hume), $d 1883-1937",,"University of California, Los Angeles. $b Library Special Collections",Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,"Harry French Blaney Papers. Department of Special Collections, Charles E. Young Research Library, UCLA. : local",,"Milton diversion dam on the Yuba River, Nevada County (Calif.), 1928",uclamss_1682_00015,"Text from negative sleeve: 150.71. Milton Diversion Dam of Middle Fork, Yuba River. Nevada Irrigation District. [Neg.] No. 19. [Photographer:] SHB. [Date:] Oct. 1928.",October 1928,1928-10,View of the Milton diversion dam on the Yuba River with the Milton Reservoir beyond.,,39.521748,-120.583422,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jk25w,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jk25w/manifest
Blaney (Harry French) Papers,ark:/21198/zz002jk26d,ark:/21198/zz002jjxtb,2,Completed,Work,blaney/tiff/uclamss_1682_00016.tif,,,,,private,still image,copyrighted,Nevada Irrigation District (Calif.),Black-and-white photographs|~|cellulose nitrate film,Nevada County (Calif.),,eng,,"Beckett, S. H. $q (Samuel Hume), $d 1883-1937",,"University of California, Los Angeles. $b Library Special Collections",Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,"Harry French Blaney Papers. Department of Special Collections, Charles E. Young Research Library, UCLA. : local",,"Milton-Bowman irrigation tunnel outlet, Mountain Division, Nevada Irrigation District, Nevada County (Calif.), 1928",uclamss_1682_00016,"Inscription on concrete tunnel outlet face: Nevada Irrigation District Milton-Bowman Tunnel. Length 21903 Feet. 1925. 1928.|~|Handwritten on negative: SHB - 50|~|Text from negative sleeve: 155.5. Outlet of the Milton-Bowman Tunnel, Mountain Division, Nevada Irrigation District. [Neg.] No. 20. [Photographer:] SHB. [Date:] Oct. 1928.",October 1928,1928-10,,,39.489329,-120.599649,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jk26d,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jk26d/manifest
Blaney (Harry French) Papers,ark:/21198/zz002jk27x,ark:/21198/zz002jjxtb,2,Completed,Work,blaney/tiff/uclamss_1682_00017.tif,,,,,private,still image,copyrighted,Gatehouses (Hydraulic structures) $z California $z Nevada County|~|Nevada Irrigation District (Calif.),Black-and-white photographs|~|cellulose nitrate film,Nevada County (Calif.),,zxx,,"Beckett, S. H. $q (Samuel Hume), $d 1883-1937",,"University of California, Los Angeles. $b Library Special Collections",Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,"Harry French Blaney Papers. Department of Special Collections, Charles E. Young Research Library, UCLA. : local",,"Gatehouse and discharge through needle valve from the Bowman Reservoir near the head of the Bowman-Spaulding Conduit, Nevada County (Calif.), 1928",uclamss_1682_00017,Text from negative sleeve: 150.71. Gate house and discharge through needle valve from Bowman Reservoir near head of Bowman-Spaulding Conduit. [Neg.] No. 21. [Photographer:] SHB. [Date:] Oct. 1928.,October 1928,1928-10,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jk27x,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jk27x/manifest
Blaney (Harry French) Papers,ark:/21198/zz002jk28f,ark:/21198/zz002jjxtb,2,Completed,Work,blaney/tiff/uclamss_1682_00018.tif,,,,,private,still image,copyrighted,Dams $z California $z Nevada County|~|Nevada Irrigation District (Calif.)|~|Bowman Lake (Calif.),Black-and-white photographs|~|cellulose nitrate film,Nevada County (Calif.),,zxx,,"Beckett, S. H. $q (Samuel Hume), $d 1883-1937",,"University of California, Los Angeles. $b Library Special Collections",Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,"Harry French Blaney Papers. Department of Special Collections, Charles E. Young Research Library, UCLA. : local",,"South arch dam at Bowman Lake, Nevada County (Calif.), 1928",uclamss_1682_00018,Text from negative sleeve: 150.71. Bowman--South arch dam and spillway for Bowman Reservoir. Nevada Irrigation District. [Neg.:] No. 22. [Photographer:] SHB. [Date:] Oct. 1928.,October 1928,1928-10,,,39.442828,-120.654522,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jk28f,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jk28f/manifest
Blaney (Harry French) Papers,ark:/21198/zz002jk29z,ark:/21198/zz002jjxtb,2,Completed,Work,blaney/tiff/uclamss_1682_00019.tif,,,,,private,still image,copyrighted,Streams $z California $z Nevada County|~|Nevada Irrigation District (Calif.),Black-and-white photographs|~|cellulose nitrate film,Nevada County (Calif.),,eng,,"Beckett, S. H. $q (Samuel Hume), $d 1883-1937",,"University of California, Los Angeles. $b Library Special Collections",Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,"Harry French Blaney Papers. Department of Special Collections, Charles E. Young Research Library, UCLA. : local",,"Outlet of the Rucker Creek Tunnel on the Bowman-Spaulding Conduit, Nevada County (Calif.), 1928",uclamss_1682_00019,Inscription on concrete arch: Nevada Irrigation District. Rucker Creek Tunnel. 1926.|~|Text from negative sleeve: 155.5. Outlet of Rucker Creek Tunnel on Bowman-Spaulding Conduit. Nevada Irrigation District.  [Neg.:] No. 23. [Photographer:] SHB. [Date:] Oct. 1928.,October 1928,1928-10,"View of water flowing from the concrete Rucker Creek Tunnel, identified by an inscription above the arch.",,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jk29z,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jk29z/manifest
Blaney (Harry French) Papers,ark:/21198/zz002jk2bg,ark:/21198/zz002jjxtb,2,Completed,Work,blaney/tiff/uclamss_1682_00020.tif,,,,,private,still image,copyrighted,Dams $z California $z Nevada County|~|Nevada Irrigation District (Calif.)|~|Lake Combie (Calif.),Black-and-white photographs|~|cellulose nitrate film,Nevada County (Calif.),,zxx,,,,"University of California, Los Angeles. $b Library Special Collections",Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,"Harry French Blaney Papers. Department of Special Collections, Charles E. Young Research Library, UCLA. : local",,"Combie Dam and Reservoir on Bear River, Nevada County (Calif.), 1928",uclamss_1682_00020,Text from negative sleeve: 150.71. Combie Dam and Reservoir on Bear River Nevada Irrigation District. Built 1928. Neg.: 25. Taken by: S. H. Beckett. Date: Oct. 1928.,October 1928,1928-10,View towards the Combie Lake and Combie Dam (also called the  Van Giesen Dam.,,"39.010653,-121.058822",-121.058822,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jk2bg,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jk2bg/manifest
Blaney (Harry French) Papers,ark:/21198/zz002jk2c0,ark:/21198/zz002jjxtb,2,Completed,Work,blaney/tiff/uclamss_1682_00021.tif,,,,,private,still image,copyrighted,Furrow irrigation $z California $z Riverside,Black-and-white photographs|~|cellulose nitrate film,Riverside (Calif.),,zxx,,"Beckett, S. H. $q (Samuel Hume), $d 1883-1937","University of California, Riverside. $b Citrus Research Center and Agricultural Experiment Station","University of California, Los Angeles. $b Library Special Collections",Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,"Harry French Blaney Papers. Department of Special Collections, Charles E. Young Research Library, UCLA. : local",,"Breaking sub-soil furrow beside 1 year old citrus trees at the Citrus Experiment Station, Riverside, 1930",uclamss_1682_00021,"Text from negative sleeve: 106.25. Breaking sub-soil furrow on 4' on either side of 1 year old citrus trees. Field S-3. Citrus Experiment Station, Riverside, California. Neg.: 26, [crossed out:] 740-E-1. Taken by: S. H. Beckett. Date: June 1930.",June 1930,1930-06,View of two men operating a machine to break a sub-soil furrow in a field beside a row of citrus trees.,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jk2c0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jk2c0/manifest
Blaney (Harry French) Papers,ark:/21198/zz002jk2dh,ark:/21198/zz002jjxtb,2,Completed,Work,blaney/tiff/uclamss_1682_00022.tif,,,,,private,still image,copyrighted,Citrus fruits $x Research|~|Citrus $x Irrigation,Black-and-white photographs|~|cellulose nitrate film,Riverside (Calif.),,zxx,,"Beckett, S. H. $q (Samuel Hume), $d 1883-1937","University of California, Riverside. $b Citrus Research Center and Agricultural Experiment Station","University of California, Los Angeles. $b Library Special Collections",Access to this collection is generously supported by Arcadia funds.,1 photographic negative,b&w nitrate negative,"Harry French Blaney Papers. Department of Special Collections, Charles E. Young Research Library, UCLA. : local",,"Irrigation experimental citrus planting in a field at the Citrus Experiment Station, Riverside, 1930",uclamss_1682_00022,"Text from negative sleeve: 106.25.  Irrigation Experimental Citrus Planting - Citrus Experiment Station, Riverside, California. Neg.: 27 [crossed out:] 800-F-C-1.  Taken by: S. H. Beckett. Date: Aug. 3, 1930.","August 3, 1930",1930-08-03,View of rows of small citrus trees in a large field.,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002jk2dh,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002jk2dh/manifest
