[folder],Parent ARK,Item ARK,Text direction,viewingHint,Title,AltTitle,AltTitle,AltTitle,AltTitle,AltTitle,AltTitle.uniform,AltIdentifier.local,Type.typeOfResource,Type.genre,Date.creation,Date.normalized,Publication/Origination Info,Author,Illustrator,Creator 1 Role,Editor,Contributor Role - 1,Engraver,Page layout,Format? binding?,Provenance,Additions,Colophon,Illustrations,Condition,Contents note,Description 1 Note,Description 2 Note,Description 3 Note,Description 5 Note,Format.extent,Language,Subject topic,Subject.place,Rights.copyrightStatus,Rights.servicesContact,Name.repository
uclaeal_wahon_A06_bib1974505_vol02,,ark:/21198/z1t16jrf,right-to-left,individuals,Seirō ehon nenjū gyōji : kan 2 | 青樓繪本年中行事 : 巻 2,吉原青樓年中行事 | Seirō nenjū gyōji,青樓年中行事 | Seirō nenjū gyōji. [End titile of v. 1],青樓絵抄年中行事 | Seirō eshō nenjū gyōji [End title],曲中年中行事 | Kyokuchū nenjū gyōji [Preface title],,,HQ247.A5 J57 1804,text,,[1804],1804,"江戶 [Tokyo] : 上總屋忠助, 享和 4 [Edo [Tokyo] : Kazusaya Tadasuke, Kyōwa 4]","十返舎一九, 1765-1831 [Jippensha, Ikku, 1765-1831]","十返舎一九, 1765-1831 [Jippensha, Ikku, 1765-1831]",,"喜多川歌麿, 1753?-1806 [Kitagawa, Utamaro, 1753?-1806]",illustrator?,,Within single border (18.2 x 13.5 cm); text in 10 vertical lines.,"On double leaves, oriental style.",,,,,,,Title from verso of cover.,,,,2 v. : ill. ; 23 cm.,jpn,Prostitution Japan--History|~|Prostitution Japan--History--Pictorial works|~|Japan--Social life and customs--1600-1868|~|Japan--Social life and customs--1600-1868--Pictorial works,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4826,"Richard C. Rudolph East Asian Library, UCLA"
uclaeal_wahon_A07_bib1974506_vol01,,ark:/21198/z1p85szt,right-to-left,individuals,Seirō ehon nenjū gyōji : kan 1 | 青樓繪本年中行事 : 巻 1,吉原青楼年中行事 | Yoshiwara seirō nenjū gyoji,青樓年中行事 | Seirō nenjū gyōji. [End titile of v. 1],青樓絵抄年中行事 | Seirō eshō nenjū gyōji [End title],曲中年中行事 | Kyokuchū nenjū gyōji [Preface title],,,HQ247.A5 J57 1804,text,History|~|Pictorial works,[1804],1804,"江戶 [Tokyo] : 上總屋忠助, 享和 4 [Edo [Tokyo] : Kazusaya Tadasuke, Kyōwa 4]","十返舎一九, 1765-1831, author [Jippensha, Ikku, 1765-1831]","喜多川歌麿, 1753?-1806 [Kitagawa, Utamaro, 1753?-1806]",,,,,Within single border (18.2 x 13.5 cm); text in 10 vertical lines.,"On double leaves, oriental style.  ",,,,Illustrations in library's 2nd set are black and white.,,Advertisement for this set at the end of text on vol. 2.,Library's 2nd set has no title pieces or title pages.,"Vols. numbered on title pieces: 乾, 坤 [ken, kon].",,,2 volumes : color illustrations ; 23 cm,jpn,Prostitution Japan--History|~|Prostitution Japan--History--Pictorial works|~|Japan--Social life and customs--1600-1868--pictorial works|~|Japan--Social life and customs--1600-1868--pictorial works,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4825,"Richard C. Rudolph East Asian Library, UCLA"
uclaeal_wahon_A07_bib1974506_vol02,,ark:/21198/z1jh526f,right-to-left,individuals,Seirō ehon nenjū gyōji : kan 2 | 青樓繪本年中行事 : 巻 2,吉原青楼年中行事 | Yoshiwara seirō nenjū gyoji,青樓年中行事 | Seirō nenjū gyōji. [End titile of v. 1],青樓絵抄年中行事 | Seirō eshō nenjū gyōji [End title],曲中年中行事 | Kyokuchū nenjū gyōji [Preface title],,,HQ247.A5 J57 1804,text,History|~|Pictorial works,[1804],1804,"江戶 [Tokyo] : 上總屋忠助, 享和 4 [Edo [Tokyo] : Kazusaya Tadasuke, Kyōwa 4]","十返舎一九, 1765-1831, author [Jippensha, Ikku, 1765-1831]","喜多川歌麿, 1753?-1806 [Kitagawa, Utamaro, 1753?-1806]",,,,,Within single border (18.2 x 13.5 cm); text in 10 vertical lines.,"On double leaves, oriental style.  ",,,,Illustrations in library's 2nd set are black and white.,,Advertisement for this set at the end of text on vol. 2.,Library's 2nd set has no title pieces or title pages.,"Vols. numbered on title pieces: 乾, 坤 [ken, kon].",,,2 volumes : color illustrations ; 23 cm,jpn,Prostitution Japan--History|~|Prostitution Japan--History--Pictorial works|~|Japan--Social life and customs--1600-1868--pictorial works|~|Japan--Social life and customs--1600-1868--pictorial works,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4824,"Richard C. Rudolph East Asian Library, UCLA"
uclaeal_wahon_A08_bib1996905,,ark:/21198/z1dr49h5,right-to-left,individuals,Miyakodori | [みやこどり],,,,,,,NE1325.K3 A4 1802b,text,Illustrated works,[1802?],1802,[Japan] : [publisher not identified],,"葛飾北齋, 1760-1849 [Katsushika, Hokusai, 1760-1849]",artist (same as illustrator?),,,,,Library's copy altered to Orijō (folded accordion style).,,,,,,,Title supplied by cataloger.,Author and publication date from: 北斎の狂歌絵本 [Hokusai no kyōka ehon].,,,10 unnumbered leaves : color illustrations ; 23 cm,jpn,"葛飾北齋, 1760-1849 [Katsushika, Hokusai, 1760-1849]|~|Kyōka Illustrations",,pd,http://www.library.ucla.edu/eastasian; (310) 825-4823,"Richard C. Rudolph East Asian Library, UCLA"
uclaeal_wahon_A09_bib2041823,,ark:/21198/z1903jt6,right-to-left,individuals,Kyōgetsubō | 狂月坊,,,,,,,PL762.K9 K964,text,History,[1789],1789,"東都 [Edo] : 耕書堂, 寬政己酉 [Tōto [Edo] : Kōshodō, Kansei kiyū]",,"喜多川歌麿, 1753?-1806 [Kitagawa, Utamaro, 1753?-1806]",,"紀定丸 [Ki, Sadamaru]",,,Two open pages within double border (23.4 x 37.4 cm.).," On double leaves, folded accordion style. ","UCLA Library copy has ""三井家"" [""Mitsui-ke""] stamped.   ",,,,,,Edited by: 紀定丸 [Ki no Sadamaru]. Cf. Preface.,Title from title piece on cover.,,,16 unnumbered pages : illustrations (some color) ; 26 cm,jpn,"Kyōka|~|Humorous poetry, Japanese--History|~|Japanese poetry--Edo period, 1600-1868",,pd,http://www.library.ucla.edu/eastasian; (310) 825-4822,"Richard C. Rudolph East Asian Library, UCLA"
uclaeal_wahon_A10_bib1238978,,ark:/21198/z1572t4b,right-to-left,individuals,Dōban saiga jō | [銅版細画帖],,,,,,,NE771 D63,text,Pictorial works,[18--?],1800/1899,[Japan?] : [Place of publication not identified],,,,,,"岡田春燈齋, active 1842-1857 [Okada, Shuntōsai, active 1842-1857]|~|橋本澄月 [Hashimoto, Chōgetsu]",,On double leaves.,,,,"Consists of 20 copperplate prints by 岡田春燈齋 [Okada Shuntōsai] and 橋本澄月 [Hashimoto Chōgetsu], originally printed in the 19th century; cut in 7-9 x 11-15 cm. and pasted on each page.",,,Title supplied by cataloger.,,,,10 unnumbered leaves : illustrations ; 11 x 16 cm,jpn,Engraving--Japan--19th century|~|Tokyo (Japan)--Pictorial works,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4821,"Richard C. Rudolph East Asian Library, UCLA"
uclaeal_wahon_A11_bib1724900_vol01,,ark:/21198/z11k0rwt,right-to-left,individuals,Yokohama kaikō kenbunshi : kan 1 | 横濱開港見聞誌 : 巻 1,Caption title: 横濱文庫 | Yokohama bunko,,,,,,DS897.Y643 U734 1862,text,History|~|Pictorial works,[1862],1862,"[Yokohama?] : [publisher not identified] 文久2 [[Yokohama?] : [publisher not identified], Bunkyū 2]",,"橋本貞秀, 1807-1873 [Utagawa, Sadahide, 1807-1873]",,,,,Within single border (15.4 x 10.2 cm.); text in 13 vertical lines.,"On double leaves, oriental style.",,,,,,,Date taken from the preface.,,,,3 volumes : illustrations ; 25 cm,jpn,横濱市 (Japan)--Pictorial works [Yokohama-shi (Japan)--Pictorial works]|~|横濱市 (Japan)--Pictorial works [Yokohama-shi (Japan)--Pictorial works]|~|横濱市 (Japan)--History--Pictorial works [Yokohama-shi (Japan)--History--pictorial works]|~|Japan--Civilization--Foreign influences--pictorial works,Yokohama-shi (Japan),pd,http://www.library.ucla.edu/eastasian; (310) 825-4820,"Richard C. Rudolph East Asian Library, UCLA"
uclaeal_wahon_A11_bib1724900_vol02,,ark:/21198/z1wt08cg,right-to-left,individuals,Yokohama kaikō kenbunshi : kan 2 | 横濱開港見聞誌 : 巻 2,Caption title: 横濱文庫 | Yokohama bunko,,,,,,DS897.Y643 U734 1862,text,,[1862],1862,"[Yokohama?] : [publisher not identified] 文久2 [[Yokohama?] : [publisher not identified], Bunkyū 2]",,"橋本貞秀, 1807-1873 [Utagawa, Sadahide, 1807-1873]",,,,,Within single border (15.4 x 10.2 cm.); text in 13 vertical lines.,"On double leaves, oriental style.",,,,,,,Date taken from the preface.,,,,3 volumes : illustrations ; 25 cm,jpn,横濱市 (Japan)--Pictorial works [Yokohama-shi (Japan)--Pictorial works]|~|横濱市 (Japan)--Pictorial works [Yokohama-shi (Japan)--Pictorial works]|~|横濱市 (Japan)--History--Pictorial works [Yokohama-shi (Japan)--History--pictorial works]|~|Japan--Civilization--Foreign influences--pictorial works,Yokohama-shi (Japan),pd,http://www.library.ucla.edu/eastasian; (310) 825-4819,"Richard C. Rudolph East Asian Library, UCLA"
uclaeal_wahon_A11_bib1724900_vol03,,ark:/21198/z1s19hkm,right-to-left,individuals,Yokohama kaikō kenbunshi : kan 3 | 横濱開港見聞誌 : 巻 3,Caption title: 横濱文庫 | Yokohama bunko,,,,,,DS897.Y643 U734 1862,text,,[1862],1862,"[Yokohama?] : [publisher not identified] 文久2 [[Yokohama?] : [publisher not identified], Bunkyū 2]",,"橋本貞秀, 1807-1873 [Utagawa, Sadahide, 1807-1873]",,,,,Within single border (15.4 x 10.2 cm.); text in 13 vertical lines.,"On double leaves, oriental style.",,,,,,,Date taken from the preface.,,,,3 volumes : illustrations ; 25 cm,jpn,横濱市 (Japan)--Pictorial works [Yokohama-shi (Japan)--Pictorial works]|~|横濱市 (Japan)--Pictorial works [Yokohama-shi (Japan)--Pictorial works]|~|横濱市 (Japan)--History--Pictorial works [Yokohama-shi (Japan)--History--pictorial works]|~|Japan--Civilization--Foreign influences--pictorial works,Yokohama-shi (Japan),pd,http://www.library.ucla.edu/eastasian; (310) 825-4818,"Richard C. Rudolph East Asian Library, UCLA"
uclaeal_wahon_A12_bib1782199,,ark:/21198/z1n88rtf,right-to-left,individuals,Hyakki yagyō emaki | 百鬼夜行絵卷,妖怪百態 | Yōkai hyakutai [Title from top of case],百鬼夜行図 | Hyakki yagyōzu,,,,,ND1059.6.H93,text,,[between 1716 and 1829?],1716/1829,[Place of publication not identified] : [publisher not identified],,,,,,,,In wooden box.,,,,Color hand-painted reproduction; consists of 17 jointed paper (272 x 177-394 mm. each). Binding in scroll is of later period.,,,Title from side of box.,卷子本 [Kansubon],,,1 scroll : all color illustrations ; 30 cm,jpn,"Painting, Japanese--Kamakura-Momoyama periods, 1185-1600.|~|Painting, Japanese--Edo period, 1600-1868 |~|Scrolls, Japanese--Kamakura-Momoyama periods, 1185-1600|~|Ghosts in art",,pd,http://www.library.ucla.edu/eastasian; (310) 825-4817,"Richard C. Rudolph East Asian Library, UCLA"
uclaeal_wahon_B01_bib2997886_vol01,,ark:/21198/z1hh813h,right-to-left,individuals,Bussetsu Zen'aku ingakyō jikige : kan 1 | 佛說善惡因果經直解 : 巻 1,善惡因果經直解 | Zen'aku ingakyō jikige,直解卷 | Jikigekan,善惡因果經 | Shan e yin guo jing. Japanese. [Container of (expression)],善惡因果經 | Shan e yin guo jing. Chinese. [Container of (expression)],,,BQ8518.A74 1667,text,,[1667],1667,"[Kyoto] : 西村九郎右衛門, 寬文7 [[Kyoto] : Nishimura Kurōemon, Kanbun 7]","浅井了意, 1612?-1691? [Asai, Ryōi, 1612?-1691?]",,,,,,"Within double border (20.3 x 16.3 cm.), text in 10 vertical lines.","On double leaves, oriental style.",,Library set has marginal notes.,,,,,Caption title.,"In Chinese, with Japanese reading marks.",,,6 volumes ; 28 cm,,Pure Land Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4816,"Richard C. Rudolph East Asian Library, UCLA"
uclaeal_wahon_B01_bib2997886_vol02,,ark:/21198/z1cr78fp,right-to-left,individuals,Bussetsu Zen'aku ingakyō jikige : kan 2 | 佛說善惡因果經直解 : 巻 2,善惡因果經直解 | Zen'aku ingakyō jikige,直解卷 | Jikigekan,善惡因果經 | Shan e yin guo jing. Japanese. [Container of (expression)],善惡因果經 | Shan e yin guo jing. Chinese. [Container of (expression)],,,BQ8518.A74 1667,text,,[1667],1667,"[Kyoto] : 西村九郎右衛門, 寬文7 [[Kyoto] : Nishimura Kurōemon, Kanbun 7]","浅井了意, 1612?-1691? [Asai, Ryōi, 1612?-1691?]",,,,,,"Within double border (20.3 x 16.3 cm.), text in 10 vertical lines.","On double leaves, oriental style.",,Library set has marginal notes.,,,,,Caption title.,"In Chinese, with Japanese reading marks.",,,6 volumes ; 28 cm,,Pure Land Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4815,"Richard C. Rudolph East Asian Library, UCLA"
uclaeal_wahon_B01_bib2997886_vol03,,ark:/21198/z1806hq8,right-to-left,individuals,Bussetsu Zen'aku ingakyō jikige : kan 3 | 佛說善惡因果經直解 : 巻 3,善惡因果經直解 | Zen'aku ingakyō jikige,直解卷 | Jikigekan,善惡因果經 | Shan e yin guo jing. Japanese. [Container of (expression)],善惡因果經 | Shan e yin guo jing. Chinese. [Container of (expression)],,,BQ8518.A74 1667,text,,[1667],1667,"[Kyoto] : 西村九郎右衛門, 寬文7 [[Kyoto] : Nishimura Kurōemon, Kanbun 7]","浅井了意, 1612?-1691? [Asai, Ryōi, 1612?-1691?]",,,,,,"Within double border (20.3 x 16.3 cm.), text in 10 vertical lines.","On double leaves, oriental style.",,Library set has marginal notes.,,,,,Caption title.,"In Chinese, with Japanese reading marks.",,,6 volumes ; 28 cm,,Pure Land Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4814,"Richard C. Rudolph East Asian Library, UCLA"
uclaeal_wahon_B01_bib2997886_vol04,,ark:/21198/z14b4gd8,right-to-left,individuals,Bussetsu Zen'aku ingakyō jikige : kan 4 | 佛說善惡因果經直解 : 巻 4,善惡因果經直解 | Zen'aku ingakyō jikige,直解卷 | Jikigekan,善惡因果經 | Shan e yin guo jing. Japanese. [Container of (expression)],善惡因果經 | Shan e yin guo jing. Chinese. [Container of (expression)],,,BQ8518.A74 1667,text,,[1667],1667,"[Kyoto] : 西村九郎右衛門, 寬文7 [[Kyoto] : Nishimura Kurōemon, Kanbun 7]","浅井了意, 1612?-1691? [Asai, Ryōi, 1612?-1691?]",,,,,,"Within double border (20.3 x 16.3 cm.), text in 10 vertical lines.","On double leaves, oriental style.",,Library set has marginal notes.,,,,,Caption title.,"In Chinese, with Japanese reading marks.",,,6 volumes ; 28 cm,,Pure Land Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4813,"Richard C. Rudolph East Asian Library, UCLA"
uclaeal_wahon_B01_bib2997886_vol05,,ark:/21198/z10k3qpj,right-to-left,individuals,Bussetsu Zen'aku ingakyō jikige : kan 5 | 佛說善惡因果經直解 : 巻 5,善惡因果經直解 | Zen'aku ingakyō jikige,直解卷 | Jikigekan,善惡因果經 | Shan e yin guo jing. Japanese. [Container of (expression)],善惡因果經 | Shan e yin guo jing. Chinese. [Container of (expression)],,,BQ8518.A74 1667,text,,[1667],1667,"[Kyoto] : 西村九郎右衛門, 寬文7 [[Kyoto] : Nishimura Kurōemon, Kanbun 7]","浅井了意, 1612?-1691? [Asai, Ryōi, 1612?-1691?]",,,,,,"Within double border (20.3 x 16.3 cm.), text in 10 vertical lines.","On double leaves, oriental style.",,Library set has marginal notes.,,,,,Caption title.,"In Chinese, with Japanese reading marks.",,,6 volumes ; 28 cm,,Pure Land Buddhism--Doctrines--Early works to 1800,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4812,"Richard C. Rudolph East Asian Library, UCLA"
