[folder],File Name,Item Sequence,Parent ARK,Item ARK,Object Type,Text direction,viewingHint,opac,Title,IIIF Access URL,AltTitle.other,AltTitle.uniform,AltIdentifier.local,Type.typeOfResource,Type.genre,Date.creation,Date.normalized,Place of origin,Author,Illustrator,Editor,Engraver,Description.abstract,Page layout,[Binding note],Note (Suzuki subjects),References,Provenance,Features,Additions,Colophon,Illustrations,Condition,Contents note,Printing method?,Description.adminNote,Format.extent,Language,Writing system ,Subject topic,Subject.place,Rights.copyrightStatus,Rights.servicesContact,Name.repository,IIIF Manifest URL
uclaeal_wahon_A06_bib1974505_vol02,,,ark:/21198/n15d0d|~|ark:/21198/n11s67,ark:/21198/z1t16jrf,Work,right-to-left,individuals,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1974505,Seirō ehon nenjū gyōji : kan 2 | 青樓繪本年中行事 : 巻 2,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t16jrf%2Fnr369p11,曲中年中行事 | Kyokuchū nenjū gyōji [Preface title]|~|青樓年中行事 | Seirō nenjū gyōji. [end title of v. 1]|~|青樓絵抄年中行事 | Seirō eshō nenjū gyōji [end title],吉原青樓年中行事 | Seirō nenjū gyōji,HQ247.A5 J57 1804,text,History|~|Pictorial works,[1804],1804,"江戶 [Tokyo] : 上總屋忠助, 享和 4 | Edo [Tokyo] : Kazusaya Tadasuke, Kyōwa 4","十返舎一九, 1765-1831 [Jippensha, Ikku, 1765-1831]","十返舎一九, 1765-1831 [Jippensha, Ikku, 1765-1831]|~|喜多川歌麿, 1753?-1806 [Kitagawa, Utamaro, 1753?-1806]",,,,Within single border (18.2 x 13.5 cm); text in 10 vertical lines.,"On double leaves, oriental style.",,,,,,,,,,,,2 v. : ill. ; 23 cm.,jpn,,Prostitution Japan--History|~|Prostitution Japan--History--Pictorial works|~|Japan--Social life and customs--1600-1868|~|Japan--Social life and customs--1600-1868--Pictorial works,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4826,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1t16jrf/manifest
uclaeal_wahon_A07_bib1974506_vol01,,,ark:/21198/n15d0d|~|ark:/21198/n11s67,ark:/21198/z1p85szt,Work,right-to-left,individuals,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1974505,Seirō ehon nenjū gyōji [b&w] : kan 1 | 青樓繪本年中行事 : 巻 1,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p85szt%2Fdx14801w,曲中年中行事 | Kyokuchū nenjū gyōji [Preface title]|~|青樓年中行事 | Seirō nenjū gyōji. [end title of v. 1]|~|青樓絵抄年中行事 | Seirō eshō nenjū gyōji [end title]|~|吉原青楼年中行事 | Yoshiwara seirō nenjū gyoji,吉原青樓年中行事 | Seirō nenjū gyōji,HQ247.A5 J57 1804b,text,History|~|Pictorial works,[1804],1804,"江戶 [Tokyo] : 上總屋忠助, 享和 4 | Edo [Tokyo] : Kazusaya Tadasuke, Kyōwa 4","十返舎一九, 1765-1831, author [Jippensha, Ikku, 1765-1831]","喜多川歌麿, 1753?-1806 [Kitagawa, Utamaro, 1753?-1806]",,,,Within single border (18.2 x 13.5 cm); text in 10 vertical lines.,"On double leaves, oriental style.  ",,,,Illustration(s),,,Illustrations are black and white.,No title pieces or title pages.,Advertisement for this set at the end of text on vol. 2.,,,2 volumes : color illustrations ; 23 cm,jpn,,Prostitution Japan--History|~|Prostitution Japan--History--Pictorial works|~|Japan--Social life and customs--1600-1868--pictorial works|~|Japan--Social life and customs--1600-1868--pictorial works,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4825,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1p85szt/manifest
uclaeal_wahon_A07_bib1974506_vol02,,,ark:/21198/n15d0d|~|ark:/21198/n11s67,ark:/21198/z1jh526f,Work,right-to-left,individuals,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1996905,Seirō ehon nenjū gyōji [b&w] : kan 2 | 青樓繪本年中行事 : 巻 2,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jh526f%2Fcp48h463,曲中年中行事 | Kyokuchū nenjū gyōji [Preface title]|~|青樓年中行事 | Seirō nenjū gyōji. [end title of v. 1]|~|青樓絵抄年中行事 | Seirō eshō nenjū gyōji [end title]|~|吉原青楼年中行事 | Yoshiwara seirō nenjū gyoji,吉原青樓年中行事 | Seirō nenjū gyōji,HQ247.A5 J57 1804b,text,History|~|Pictorial works,[1804],1804,"江戶 [Tokyo] : 上總屋忠助, 享和 4 | Edo [Tokyo] : Kazusaya Tadasuke, Kyōwa 4","十返舎一九, 1765-1831, author [Jippensha, Ikku, 1765-1831]","喜多川歌麿, 1753?-1806 [Kitagawa, Utamaro, 1753?-1806]",,,,Within single border (18.2 x 13.5 cm); text in 10 vertical lines.,"On double leaves, oriental style.  ",,,,Illustration(s),,,Illustrations are black and white.,No title pieces or title pages.,Advertisement for this set at the end of text on vol. 2.,,,2 volumes : color illustrations ; 23 cm,jpn,,Prostitution Japan--History|~|Prostitution Japan--History--Pictorial works|~|Japan--Social life and customs--1600-1868--pictorial works|~|Japan--Social life and customs--1600-1868--pictorial works,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4824,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1jh526f/manifest
uclaeal_wahon_A08_bib1996905,,,ark:/21198/n15d0d|~|ark:/21198/n11s67,ark:/21198/z1dr49h5,Work,right-to-left,individuals,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2041823,Miyakodori | [みやこどり],https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr49h5%2Fm130cp0d,,,NE1325.K3 A4 1802b,text,Illustrated works,[1802?],1802,[Japan] : [publisher not identified],,"葛飾北齋, 1760-1849 [Katsushika, Hokusai, 1760-1849]",,,,,Library's copy altered to Orijō (folded accordion style).,,,,,,,,,,,,10 unnumbered leaves : color illustrations ; 23 cm,jpn,,"葛飾北齋, 1760-1849 [Katsushika, Hokusai, 1760-1849]|~|Kyōka Illustrations",,pd,http://www.library.ucla.edu/eastasian; (310) 825-4823,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dr49h5/manifest
uclaeal_wahon_A09_bib2041823,,,ark:/21198/n15d0d|~|ark:/21198/n11s67,ark:/21198/z1903jt6,Work,right-to-left,individuals,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1238978,Kyōgetsubō | 狂月坊,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1903jt6%2Fhq11sf52,,,PL762.K9 K964,text,History,[1789],1789,"東都 [Edo] : 耕書堂, 寬政己酉 | Tōto [Edo] : Kōshodō, Kansei kiyū",,"喜多川歌麿, 1753?-1806 [Kitagawa, Utamaro, 1753?-1806]","紀定丸 [Ki, Sadamaru]",,,Two open pages within double border (23.4 x 37.4 cm.).," On double leaves, folded accordion style. ",,,"""三井家"" [""Mitsui-ke""] stamped.   ",,,,,,,,,16 unnumbered pages : illustrations (some color) ; 26 cm,jpn,,"Kyōka|~|Humorous poetry, Japanese--History|~|Japanese poetry--Edo period, 1600-1868",,pd,http://www.library.ucla.edu/eastasian; (310) 825-4822,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1903jt6/manifest
uclaeal_wahon_A10_bib1238978,,,ark:/21198/n15d0d|~|ark:/21198/n11s67,ark:/21198/z1572t4b,Work,right-to-left,individuals,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1724900,Dōban saiga jō | [銅版細画帖],https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1572t4b%2Fzq12hq98,,,NE771 D63,text,Pictorial works,[18--?],1800/1899,[Japan?] : [Place of publication not identified],,,,"岡田春燈齋, active 1842-1857 [Okada, Shuntōsai, active 1842-1857]|~|橋本澄月 [Hashimoto, Chōgetsu]",,,On double leaves.,,,,Illustration(s),,,"Consists of 20 copperplate prints by 岡田春燈齋 [Okada Shuntōsai] and 橋本澄月 [Hashimoto Chōgetsu], originally printed in the 19th century; cut in 7-9 x 11-15 cm. and pasted on each page.",,,,,10 unnumbered leaves : illustrations ; 11 x 16 cm,jpn,,Engraving--Japan--19th century|~|Tokyo (Japan)--Pictorial works,,pd,http://www.library.ucla.edu/eastasian; (310) 825-4821,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1572t4b/manifest
uclaeal_wahon_A11_bib1724900_vol01,,,ark:/21198/n15d0d|~|ark:/21198/n11s67,ark:/21198/z11k0rwt,Work,right-to-left,individuals,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1724900,Yokohama kaikō kenbunshi : kan 1 | 横濱開港見聞誌 : 巻 1,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11k0rwt%2Fsm13n143,横濱文庫 | Yokohama bunko [Caption title],,DS897.Y643 U734 1862,text,History|~|Pictorial works,[1862],1862,[Yokohama?] : [publisher not identified] 文久2 [Bunkyū 2],,"橋本貞秀, 1807-1873 [Utagawa, Sadahide, 1807-1873]",,,,Within single border (15.4 x 10.2 cm.); text in 13 vertical lines.,"On double leaves, oriental style.",,,,,,,,,,,,3 volumes : illustrations ; 25 cm,jpn,,横濱市 (Japan)--Pictorial works [Yokohama-shi (Japan)--Pictorial works]|~|横濱市 (Japan)--Pictorial works [Yokohama-shi (Japan)--Pictorial works]|~|横濱市 (Japan)--History--Pictorial works [Yokohama-shi (Japan)--History--pictorial works]|~|Japan--Civilization--Foreign influences--pictorial works,Yokohama-shi (Japan),pd,http://www.library.ucla.edu/eastasian; (310) 825-4820,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11k0rwt/manifest
uclaeal_wahon_A11_bib1724900_vol02,,,ark:/21198/n15d0d|~|ark:/21198/n11s67,ark:/21198/z1wt08cg,Work,right-to-left,individuals,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1724900,Yokohama kaikō kenbunshi : kan 2 | 横濱開港見聞誌 : 巻 2,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt08cg%2Ft782tc9s,横濱文庫 | Yokohama bunko [Caption title],,DS897.Y643 U734 1862,text,,[1862],1862,[Yokohama?] : [publisher not identified] 文久2 [Bunkyū 2],,"橋本貞秀, 1807-1873 [Utagawa, Sadahide, 1807-1873]",,,,Within single border (15.4 x 10.2 cm.); text in 13 vertical lines.,"On double leaves, oriental style.",,,,,,,,,,,,3 volumes : illustrations ; 25 cm,jpn,,横濱市 (Japan)--Pictorial works [Yokohama-shi (Japan)--Pictorial works]|~|横濱市 (Japan)--Pictorial works [Yokohama-shi (Japan)--Pictorial works]|~|横濱市 (Japan)--History--Pictorial works [Yokohama-shi (Japan)--History--pictorial works]|~|Japan--Civilization--Foreign influences--pictorial works,Yokohama-shi (Japan),pd,http://www.library.ucla.edu/eastasian; (310) 825-4819,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1wt08cg/manifest
uclaeal_wahon_A11_bib1724900_vol03,,,ark:/21198/n15d0d|~|ark:/21198/n11s67,ark:/21198/z1s19hkm,Work,right-to-left,individuals,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1782199,Yokohama kaikō kenbunshi : kan 3 | 横濱開港見聞誌 : 巻 3,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1s19hkm%2Frr78jz2d,横濱文庫 | Yokohama bunko [Caption title],,DS897.Y643 U734 1862,text,,[1862],1862,[Yokohama?] : [publisher not identified] 文久2 [Bunkyū 2],,"橋本貞秀, 1807-1873 [Utagawa, Sadahide, 1807-1873]",,,,Within single border (15.4 x 10.2 cm.); text in 13 vertical lines.,"On double leaves, oriental style.",,,,,,,,,,,,3 volumes : illustrations ; 25 cm,jpn,,横濱市 (Japan)--Pictorial works [Yokohama-shi (Japan)--Pictorial works]|~|横濱市 (Japan)--Pictorial works [Yokohama-shi (Japan)--Pictorial works]|~|横濱市 (Japan)--History--Pictorial works [Yokohama-shi (Japan)--History--pictorial works]|~|Japan--Civilization--Foreign influences--pictorial works,Yokohama-shi (Japan),pd,http://www.library.ucla.edu/eastasian; (310) 825-4818,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1s19hkm/manifest
uclaeal_wahon_A12_bib1782199,,,ark:/21198/n15d0d|~|ark:/21198/n11s67,ark:/21198/z1n88rtf,Work,right-to-left,continuous,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2997886,Hyakki yagyō emaki | 百鬼夜行絵卷,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n88rtf%2Fzq12hq98,百鬼夜行図 | Hyakki yagyōzu|~|妖怪百態 | Yōkai hyakutai [Title from top of case],,ND1059.6.H93,text,,[between 1716 and 1829?],1716/1829,[Place of publication not identified] : [publisher not identified],,,,,,,In wooden box.,,,,Illustration(s),,,Color hand-painted reproduction; consists of 17 jointed paper (272 x 177-394 mm. each). Binding in scroll is of later period.,,,卷子本 [Kansubon],,1 scroll : all color illustrations ; 30 cm,jpn,,"Painting, Japanese--Kamakura-Momoyama periods, 1185-1600.|~|Painting, Japanese--Edo period, 1600-1868 |~|Scrolls, Japanese--Kamakura-Momoyama periods, 1185-1600|~|Ghosts in art",,pd,http://www.library.ucla.edu/eastasian; (310) 825-4817,"Richard C. Rudolph East Asian Library, UCLA",https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1n88rtf/manifest
