Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.servicesContact,Language,Coverage.geographic,Coverage.temporal,Subject,Alt ID.local,Title,Name.creator,AltTitle.uniform,Relation.isPartOf,Summary,Description.note,Date.creation,Date.normalized,Publisher.placeOfOrigin,Publisher.publisherName,Name.subject,Name.photographer,Name.repository,Finding Aid URL,Opac url,Bucketeer State,IIIF Access URL
Han Yu-Shan Collection,ark:/21198/zz0019p7sp,ark:/21198/zz0019p7p4,10,Completed with minimal metadata,Page,yuhan/masters/21198-zz0019p7sp_733498_master.tif,4,,,,,,,,still image|~|text,manuscripts (document genre),pd,,chi,Renhe Xian (China)|~|Zhejiang Sheng (China)|~|Hangzhou (China),,Civil service--China--Examinations.,uclamss_1372_b16_005_11-12,uclamss_1372_b16_005_11-12,錢開宗|~|Qian Kaizong,順治九年殿試-錢開宗,擬名次|~|彌縫後卷背|~|Rank|~|Seal Stamped on Recto,,Rank 3 No. 124|~|應殿試舉人臣錢開宗年叁拾歲係浙江杭州府仁和縣人由增廣生員應已卯科鄉試中式由舉人應庚辰科會試中試今應殿試今將三代腳色幷所習經書開具于後一 三 代曾祖立 故 仕 祖養庶 故 仕 父德昌 故 不仕一 習 易 經|~|Age: 26,1652,1652,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019p7sp
Han Yu-Shan Collection,ark:/21198/zz0019p7t6,ark:/21198/zz0019p7p4,10,Completed with minimal metadata,Page,yuhan/masters/21198-zz0019p7t6_733501_master.tif,5,,,,,,,,still image|~|text,manuscripts (document genre),pd,,chi,Renhe Xian (China)|~|Zhejiang Sheng (China)|~|Hangzhou (China),,Civil service--China--Examinations.,uclamss_1372_b16_005_17-18,uclamss_1372_b16_005_17-18,Qian Kaizong|~|錢開宗,順治九年殿試-錢開宗,彌縫後卷背|~|Seal Stamped on Verso|~|滿漢合璧禮部印,,Age: 26|~|Rank 3 No. 124|~|應殿試舉人臣錢開宗年叁拾歲係浙江杭州府仁和縣人由增廣生員應已卯科鄉試中式由舉人應庚辰科會試中試今應殿試今將三代腳色幷所習經書開具于後一 三 代曾祖立 故 仕 祖養庶 故 仕 父德昌 故 不仕一 習 易 經,1652,1652,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019p7t6
Han Yu-Shan Collection,ark:/21198/zz0019p7w7,ark:/21198/zz0019p79f,10,Completed with minimal metadata,Page,yuhan/masters/21198-zz0019p7w7_733394_master.tif,1,,,,,,,,still image|~|text,manuscripts (document genre),pd,,chi,Shuntian fu (China)|~|Daxing Xian (China),,Civil service--China--Examinations.,uclamss_1372_b16_004,uclamss_1372_b16_004,蕭世蕡|~|Xiao Shifen,順治陸年殿試-蕭世蕡,Overview|~|全式,,Age: 26|~|Rank 3 No. 171|~|應殿試舉人臣蕭世蕡年貳拾陸歲係順天府大興縣人由廣生員應順治三年鄉試中式由舉人應順治陸年會試中試今應殿試今將三代腳色幷所習經書開具于後一 三 代曾祖海 故 不仕 祖應凰 故 不仕 父夢鱗 故 不仕一 習 易 經,1649,1649,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019p7w7
Han Yu-Shan Collection,ark:/21198/zz0019p88d,ark:/21198/zz0019p86c,10,Completed with minimal metadata,Page,yuhan/masters/21198-zz0019p88d_733510_master.tif,2,,,,,,,,still image|~|text,manuscripts (document genre),pd,,chi,Shuntian fu (China)|~|Xianghong Qi (China),,Civil service--China--Examinations.,uclamss_1372_b16_006_11-12,uclamss_1372_b16_006_11-12,Yao Qisheng|~|姚啟盛,順治十二年殿試-姚啟盛,騎縫關防|~|Stamp|~|Seal Stamped on Verso|~|彌縫後卷背|~|滿漢合璧禮部印,,應殿試舉人臣姚啟盛年貳拾肆歲係鑲紅旗趙國祚固山尤進功牛录下人由順天府附學生員應順治拾壹年鄉試中式由舉人應順治拾貳年會試中試今應殿試今將三代腳色幷所習經書開具于後一 三 代曾祖漢綱 故 不仕 祖文源 故 不仕 父模 故 不仕一 習 易 經|~|Rank 3 No. 124|~|Age: 26,1655,1655,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019p88d
Han Yu-Shan Collection,ark:/21198/zz0019p89x,ark:/21198/zz0019p86c,10,Completed with minimal metadata,Page,yuhan/masters/21198-zz0019p89x_733513_master.tif,3,,,,,,,,still image|~|text,manuscripts (document genre),pd,,chi,Shuntian fu (China)|~|Xianghong Qi (China),,Civil service--China--Examinations.,uclamss_1372_b16_006_21-22,uclamss_1372_b16_006_21-22,姚啟盛|~|Yao Qisheng,順治十二年殿試-姚啟盛,彌縫後卷背|~|Stamp|~|Seal Stamped on Verso|~|滿漢合璧禮部印,,Age: 26|~|應殿試舉人臣姚啟盛年貳拾肆歲係鑲紅旗趙國祚固山尤進功牛录下人由順天府附學生員應順治拾壹年鄉試中式由舉人應順治拾貳年會試中試今應殿試今將三代腳色幷所習經書開具于後一 三 代曾祖漢綱 故 不仕 祖文源 故 不仕 父模 故 不仕一 習 易 經|~|Rank 3 No. 124,1655,1655,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019p89x
Han Yu-Shan Collection,ark:/21198/zz0019p8f0,ark:/21198/zz0019p8cz,10,Completed with minimal metadata,Page,yuhan/masters/21198-zz0019p8f0_733572_master.tif,4,,,,,,,,still image|~|text,manuscripts (document genre),pd,,chi,"Jiaxing Fu (China)|~|Tongxiang Xian (Zhejiang Sheng, China)|~|Zhejiang Sheng (China)",,Civil service--China--Examinations.,uclamss_1372_b16_007_11-12,uclamss_1372_b16_007_11-12,尤師錫|~|You Shixi,順治十二年殿試-尤師錫,Seal Stamped on Verso|~|騎縫關防|~|彌縫後卷背,,Age: 22|~|應殿試舉人臣尤師錫年貳拾貳歲係浙江嘉興府桐鄉縣人由廩膳生員應順治叁年鄉試中式由舉人應順治拾貳年會試中試今應殿試今將三代腳色幷所習經書開具于後一 三 代曾祖悌 故 不仕 祖畦 故 不仕 父駿 故 不仕一 習 易 經|~|Rank 3 No. 48,1655,1655,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019p8f0
Han Yu-Shan Collection,ark:/21198/zz0019p8gh,ark:/21198/zz0019p8cz,10,Completed with minimal metadata,Page,yuhan/masters/21198-zz0019p8gh_733578_master.tif,5,,,,,,,,still image|~|text,manuscripts (document genre),pd,,chi,"Jiaxing Fu (China)|~|Tongxiang Xian (Zhejiang Sheng, China)|~|Zhejiang Sheng (China)",,Civil service--China--Examinations.,uclamss_1372_b16_007_21-22,uclamss_1372_b16_007_21-22,尤師錫|~|You Shixi,順治十二年殿試-尤師錫,Seal Stamped on Verso|~|滿漢合璧禮部印|~|彌縫後卷背,,應殿試舉人臣尤師錫年貳拾貳歲係浙江嘉興府桐鄉縣人由廩膳生員應順治叁年鄉試中式由舉人應順治拾貳年會試中試今應殿試今將三代腳色幷所習經書開具于後一 三 代曾祖悌 故 不仕 祖畦 故 不仕 父駿 故 不仕一 習 易 經|~|Age: 22|~|Rank 3 No. 48,1655,1655,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019p8gh
Han Yu-Shan Collection,ark:/21198/zz0019p8mk,ark:/21198/zz0019p8jj,10,Completed with minimal metadata,Page,yuhan/masters/21198-zz0019p8mk_733581_master.tif,1,,,,,,,,still image|~|text,manuscripts (document genre),pd,,chi,"Jiangnan (China)|~|Kunshan Xian (China)|~|Suzhou (Jiangsu Sheng, China)",,Civil service--China--Examinations.,uclamss_1372_b16_008,uclamss_1372_b16_008,Ma Mingluan|~|馬鳴鑾,康熙十二年殿試-馬鳴鑾,Overview|~|全式,,應殿試舉人臣馬鳴鑾年叁拾陸歲係江南蘇州府崑山縣人由拔貢生員應康熙伍年鄉試中式由舉人應康熙拾貳年會試中試今應殿試謹將三代腳色幷所習經書開具於後一 三 代曾祖龍光 故 仕 祖玉麟 故 仕 父天騊 故 不仕一 習 易 經|~|Rank 2 No. 29|~|Age: 36,1673,1673,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019p8mk
Han Yu-Shan Collection,ark:/21198/zz0019p8n3,ark:/21198/zz0019p8jj,10,Completed with minimal metadata,Page,yuhan/masters/21198-zz0019p8n3_733584_master.tif,2,,,,,,,,still image|~|text,manuscripts (document genre),pd,,,Jiangnan (China)|~|Suzhou Fu (Jiangnan Sheng)|~|Kunshan Xian (China),,Civil service--China--Examinations.,uclamss_1372_b16_008_11-12,uclamss_1372_b16_008_11-12,馬鳴鑾|~|Ma Mingluan,康熙十二年殿試-馬鳴鑾,Seal Stamped on Verso|~|滿漢合璧禮部印|~|彌縫後卷背|~|騎縫關防,,Rank 2 No. 29|~|應殿試舉人臣馬鳴鑾年叁拾陸歲係江南蘇州府崑山縣人由拔貢生員應康熙伍年鄉試中式由舉人應康熙拾貳年會試中試今應殿試謹將三代腳色幷所習經書開具於後一 三 代曾祖龍光 故 仕 祖玉麟 故 仕 父天騊 故 不仕一 習 易 經|~|Age: 36,1673,1673,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019p8n3
Han Yu-Shan Collection,ark:/21198/zz0019p8pm,ark:/21198/zz0019p8jj,10,Completed with minimal metadata,Page,yuhan/masters/21198-zz0019p8pm_733587_master.tif,3,,,,,,,,still image|~|text,manuscripts (document genre),pd,,chi,Jiangnan (China)|~|Suzhou Fu (Jiangnan Sheng)|~|Kunshan Xian (China),,Civil service--China--Examinations.,uclamss_1372_b16_008_13-14,uclamss_1372_b16_008_13-14,馬鳴鑾|~|Ma Mingluan,康熙十二年殿試-馬鳴鑾,修繕後卷背|~|Spine reinforced and characters in black ink,,Age: 36|~|Rank 2 No. 29|~|應殿試舉人臣馬鳴鑾年叁拾陸歲係江南蘇州府崑山縣人由拔貢生員應康熙伍年鄉試中式由舉人應康熙拾貳年會試中試今應殿試謹將三代腳色幷所習經書開具於後一 三 代曾祖龍光 故 仕 祖玉麟 故 仕 父天騊 故 不仕一 習 易 經,1673,,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019p8pm
Han Yu-Shan Collection,ark:/21198/zz0019p8q4,ark:/21198/zz0019p8jj,10,Completed with minimal metadata,Page,yuhan/masters/21198-zz0019p8q4_733590_master.tif,4,,,,,,,,still image|~|text,manuscripts (document genre),pd,,chi,Jiangnan (China)|~|Suzhou Fu (Jiangnan Sheng)|~|Kunshan Xian (China),,Civil service--China--Examinations.,uclamss_1372_b16_008_21-22,uclamss_1372_b16_008_21-22,馬鳴鑾|~|Ma Mingluan,康熙十二年殿試-馬鳴鑾,Seal Stamped on Verso|~|滿漢合璧禮部印|~|彌縫後卷背,,應殿試舉人臣馬鳴鑾年叁拾陸歲係江南蘇州府崑山縣人由拔貢生員應康熙伍年鄉試中式由舉人應康熙拾貳年會試中試今應殿試謹將三代腳色幷所習經書開具於後一 三 代曾祖龍光 故 仕 祖玉麟 故 仕 父天騊 故 不仕一 習 易 經|~|Rank 2 No. 29|~|Age: 36,1673,1673,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019p8q4
Han Yu-Shan Collection,ark:/21198/zz0019p8x7,ark:/21198/zz0019p8tp,10,Completed with minimal metadata,Page,yuhan/masters/21198-zz0019p8x7_733593_master.tif,2,,,,,,,,still image|~|text,manuscripts (document genre),pd,,chi,Jiangnan (China)|~|Suzhou Fu (Jiangnan Sheng)|~|Wu Xian (China),,Civil service--China--Examinations.,uclamss_1372_b16_009_11-12,uclamss_1372_b16_009_11-12,Xiang Yiluan|~|項亦鑾,康熙十二七年殿試-項亦鑾,Seal Stamped on Verso|~|彌縫後卷背|~|滿漢合璧禮部印|~|騎縫關防,,應殿試舉人臣項亦鑾年肆拾肆歲係江南蘇州府吳縣人學生應康熙拾壹年鄉試中式由舉人應康熙貳拾柒年會試中式今應殿試謹將三代腳色幷所習經書開具於後一 三 代曾祖雲 故 不仕 祖完 故 不仕 父煜 故 仕一 習 易 經|~|Age: 44|~|Rank 2 No. 6,1688,1688,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019p8x7
Han Yu-Shan Collection,ark:/21198/zz0019p8zr,ark:/21198/zz0019p8tp,10,Completed with minimal metadata,Page,yuhan/masters/21198-zz0019p8zr_733596_master.tif,3,,,,,,,,still image|~|text,manuscripts (document genre),pd,,chi,Jiangnan (China)|~|Suzhou Fu (Jiangnan Sheng)|~|Wu Xian (China),,Civil service--China--Examinations.,uclamss_1372_b16_009_21-22,uclamss_1372_b16_009_21-22,項亦鑾|~|Xiang Yiluan,康熙十二七年殿試-項亦鑾,彌縫後卷背|~|滿漢合璧禮部印|~|Seal Stamped on Verso,,應殿試舉人臣項亦鑾年肆拾肆歲係江南蘇州府吳縣人學生應康熙拾壹年鄉試中式由舉人應康熙貳拾柒年會試中式今應殿試謹將三代腳色幷所習經書開具於後一 三 代曾祖雲 故 不仕 祖完 故 不仕 父煜 故 仕一 習 易 經|~|Rank 2 No. 6|~|Age: 44,1688,1688,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019p8zr
Han Yu-Shan Collection,ark:/21198/zz0019p90r,ark:/21198/zz0019p8tp,10,Completed with minimal metadata,Page,yuhan/masters/21198-zz0019p90r_733599_master.tif,1,,,,,,,,still image|~|text,manuscripts (document genre),pd,,chi,Jiangnan (China)|~|Suzhou Fu (Jiangnan Sheng)|~|Wu Xian (China),,Civil service--China--Examinations.,uclamss_1372-b16_009,uclamss_1372-b16_009,Xiang Yiluan|~|項亦鑾,康熙十二七年殿試-項亦鑾,全式|~|Overview,,應殿試舉人臣項亦鑾年肆拾肆歲係江南蘇州府吳縣人學生應康熙拾壹年鄉試中式由舉人應康熙貳拾柒年會試中式今應殿試謹將三代腳色幷所習經書開具於後一 三 代曾祖雲 故 不仕 祖完 故 不仕 父煜 故 仕一 習 易 經|~|Age: 44|~|Rank 2 No. 6,1688,1688,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019p90r
Han Yu-Shan Collection,ark:/21198/zz0019p918,ark:/21198/zz0019p8v6,10,Completed with minimal metadata,Page,yuhan/masters/21198-zz0019p918_733602_master.tif,1,,,,,,,,still image|~|text,manuscripts (document genre),pd,,chi,"Manchuria (China)|~|Xianghuang Qi (China)|~|Tang Zeyao Zuoling (Manchuria, China)",,Civil service--China--Examinations.,uclamss_1372_b16_010,uclamss_1372_b16_010,Fahai|~|法海,康熙三十三年殿試-法海,全式|~|Overview,,應殿試舉人臣法海年貳拾伍歲係鑲黃旗滿洲都統唐則堯佐領下由附學生應康熙叁拾貳年鄉試中式由舉人應康熙叁拾叁年會試中式今應殿試謹將三代腳色幷所習經書開具於後一 三 代曾祖佟養真 故 仕 祖佟盛年 故 仕 父佟國綱 故 仕一 習 春 秋|~|Rank 3 No. 107|~|Age: 25,1694,1694,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019p918
Han Yu-Shan Collection,ark:/21198/zz0019p92s,ark:/21198/zz0019p8v6,10,Completed with minimal metadata,Page,yuhan/masters/21198-zz0019p92s_733605_master.tif,2,,,,,,,,still image|~|text,manuscripts (document genre),pd,,chi,"Manchuria (China)|~|Xianghuang Qi (China)|~|Tang Zeyao Zuoling (Manchuria, China)",,Civil service--China--Examinations.,uclamss_1372_b16_010_17-18,uclamss_1372_b16_010_17-18,Fahai|~|法海,康熙三十三年殿試-法海,Seal Stamped on Verso|~|滿漢合璧禮部印|~|彌縫後卷背,,應殿試舉人臣法海年貳拾伍歲係鑲黃旗滿洲都統唐則堯佐領下由附學生應康熙叁拾貳年鄉試中式由舉人應康熙叁拾叁年會試中式今應殿試謹將三代腳色幷所習經書開具於後一 三 代曾祖佟養真 故 仕 祖佟盛年 故 仕 父佟國綱 故 仕一 習 春 秋|~|Rank 3 No. 107|~|Age: 25,1694,1694,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019p92s
Han Yu-Shan Collection,ark:/21198/zz0019p94t,ark:/21198/zz0019p8wq,10,Completed with minimal metadata,Page,yuhan/masters/21198-zz0019p94t_733608_master.tif,1,,,,,,,,still image|~|text,manuscripts (document genre),pd,,chi,Manchuria (China)|~|Xianglan Qi,,Civil service--China--Examinations.,uclamss_1372_b16_011,uclamss_1372_b16_011,騷達子|~|Saodazi,康熙四十五年殿試-騷達子,Overview|~|全式,,Rank 3 No. 107|~|應殿試舉人臣騷達子年叁拾貳歲係鑲藍旗滿洲都統包衣岳諸岱佐領下由監生應康熙肆拾肆年鄉試中式由舉人應康熙肆拾伍年會試中式今應殿試謹將三代腳色幷所習經書開具於後一 三 代曾祖蕭龍 故 不仕 祖塞住 故 不仕 父塞必大 故 仕一 習 易 經|~|Age: 25,1706,1706,,,,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019p94t
