"Project Name","Item ARK","Parent ARK","Item Status ID","Item Status","Object Type","File Name","Item Sequence","Duplicate","Delete in Title","Thumbnail","viewingHint","Text direction","Visibility","IIIF Range","Type.typeOfResource","Type.genre","Rights.copyrightStatus","Rights.servicesContact","Language","Coverage.geographic","Subject temporal","Subject","Alt ID.local","Title","Name.creator","AltTitle.uniform","Relation.isPartOf","Summary","Description.note","Date.creation","Date.normalized","Publisher.placeOfOrigin","Publisher.publisherName","Name.subject","Name.photographer","Name.repository","Finding Aid URL","Opac url","IIIF Manifest URL"
"Han Yu-Shan Collection","ark:/21198/zz0019p8wq","ark:/21198/zz0019nz31","10","Completed with minimal metadata","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019p94t","paged","","","","still image|~|text","manuscripts (document genre)|~|Examinations (documents)","pd","","chi","Manchuria (China)|~|Xianglan Qi","","Civil service--China--Examinations.","Microfilm R1-11|~|uclamss_1372_b16_011","1706 Palace Examination - Saodazi","騷達子|~|Saodazi","康熙四十五年殿試-騷達子","","","應殿試舉人臣騷達子年叁拾貳歲係鑲藍旗滿洲都統包衣岳諸岱佐領下由監生應康熙肆拾肆年鄉試中式由舉人應康熙肆拾伍年會試中式今應殿試謹將三代腳色幷所習經書開具於後一 三 代曾祖蕭龍 故 不仕 祖塞住 故 不仕 父塞必大 故 仕一 習 易 經|~|Province: Blue Banner (China)|~|Rank 3 No. 228|~|Age: 32","1706","1706","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019p8wq/manifest"
"Han Yu-Shan Collection","ark:/21198/zz0019p96v","ark:/21198/zz0019nz31","10","Completed with minimal metadata","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019p9j1","paged","","","","still image|~|text","manuscripts (document genre)|~|Examinations (documents)","pd","","chi","Pingyue Fu (China)|~|Guizhou Sheng (China)|~|Pingyue Xian (China)","","Civil service--China--Examinations.","uclamss_1372_b16_012|~|Microfilm R1-12","1712 Palace Examination - Wang Mengxu","王夢旭|~|Wang Mengxu","康熙五十一年殿試-王夢旭","","","應殿試舉人臣王夢旭年貳拾貳歲係貴州平越府平越縣人由學生應康熙伍拾年鄉試中式由舉人應康熙伍拾壹年蒙恩賜補取今應殿試謹將三代腳色幷所習經書開具於後一 三 代曾祖家柱 故 不仕 祖祚久  故 仕 父琦 存 仕一 習 試 經|~|Province: Guizhou Sheng (China)|~|Rank 3 No. 80|~|Age: 22","1712","1712","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019p96v/manifest"
"Han Yu-Shan Collection","ark:/21198/zz0019p97c","ark:/21198/zz0019nz31","10","Completed with minimal metadata","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019p9nk","paged","","","","still image|~|text","manuscripts (document genre)|~|Examinations (documents)","pd","","chi","Sichuan Sheng (China)|~|Zunyi Fu (China)|~|Renhuai Xian (China)","","Civil service--China--Examinations.","uclamss_1372_b16_013|~|Microfilm R1-13","1712 Palace Examination - Zheng Zhiqiao","鄭之僑|~|Zheng Zhiqiao","康熙五十一年殿試-鄭之僑","","","應殿試舉人臣鄭之僑年貳拾歲係四川尊義府仁懷縣人由學生應康熙伍拾年鄉試中式由舉人應康熙伍拾壹年會試中式今應殿試謹將三代腳色幷所習經書開具於後一 三 代曾祖金榜 故 不仕 祖國臣 故 仕 父應昌 存 不仕一 習 試 經|~|Age: 20|~|Province: Sichuan Sheng (China)|~|Rank 3 No. 89","1712","1712","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019p97c/manifest"
"Han Yu-Shan Collection","ark:/21198/zz0019p98w","ark:/21198/zz0019nz31","10","Completed with minimal metadata","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019p9sn","paged","","","","still image|~|text","manuscripts (document genre)|~|Examinations (documents)","pd","","chi","Jiaxing Fu (China)|~|Xiushui Xian (China)|~|Zhejiang Sheng (China)","","Civil service--China--Examinations.","Microfilm R1-14|~|uclamss_1372_b16_014","1718 Palace Examination - Zha Xiang","查祥|~|Zha Xiang","康熙五十七年殿試-查祥","","","應殿試舉人臣查祥年肆拾伍歲係浙江嘉興府秀水縣人由增廣生應康熙肆拾柒年鄉試中式由舉人應康熙伍拾柒年會試中式今應殿試謹將三代腳色幷所習經書開具於後一 三 代曾祖大統 故 不仕 祖繼甲 故 仕 父魏旭 存 不仕一 習 試 經|~|Province: Zhejiang Sheng (China)|~|Rank 2 No. 3|~|Age: 45","1718","1718","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019p98w/manifest"
"Han Yu-Shan Collection","ark:/21198/zz0019p99d","ark:/21198/zz0019nz31","10","Completed with minimal metadata","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019p9w6","paged","","","","still image|~|text","manuscripts (document genre)|~|Examinations (documents)","pd","","chi","Pingyue Fu (China)|~|Guizhou Sheng (China)|~|Pingyue Xian (China)","","Civil service--China--Examinations.","uclamss_1372_b16_015|~|Microfilm R1-15","1718 Palace Examination - Wang Mengyao","王夢堯|~|Wang Mengyao","康熙五十七年殿試-王夢堯","","","應殿試舉人臣王夢堯年叁拾歲係貴州平越府平越縣人由學生應康熙伍拾陸年鄉試中式由舉人應康熙伍拾柒年會試中式今應殿試謹將三代腳色幷所習經書開具於後一 三 代曾祖家柱 故 不仕 祖祚久 故 仕 父城 存 不仕一 習 書 經|~|Province: Guizhou Sheng (China)|~|Age: 30|~|Rank 3 No. 85","1718","1718","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019p99d/manifest"
"Han Yu-Shan Collection","ark:/21198/zz0019p9bx","ark:/21198/zz0019nz31","10","Completed with minimal metadata","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019pbgg","paged","","","","still image|~|text","manuscripts (document genre)|~|Examinations (documents)","pd","","chi","Guizhou Sheng (China)|~|Guiyang (Guizhou Sheng, China)|~|Guangshun Zhou (China)","","Civil service--China--Examinations.","uclamss_1372_b16_016|~|Microfilm R1-16","1721 Palace Examination - Cheng Renqi","程仁岓|~|Cheng Renqi","康熙五十七年殿試-程仁岓","","","應殿試舉人臣程仁岓年拾玖歲係貴州貴陽府廣順州人由廩膳生應康熙伍拾陸年鄉試中式由舉人應康熙陸拾年會試中式今應殿試謹將三代腳色幷所習經書開具於後一 三 代曾祖春化 故 仕 祖桂奇 故 不仕 父珣 存 不仕一 習 禮 經|~|Rank 2 No. 4|~|Province: Guizhou Sheng (China)|~|Age: 19","1721","1721","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019p9bx/manifest"
"Han Yu-Shan Collection","ark:/21198/zz0019p9cf","ark:/21198/zz0019nz31","10","Completed with minimal metadata","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019pbjh","paged","","","","still image|~|text","manuscripts (document genre)|~|Examinations (documents)","pd","","chi","Jiangnan (China)|~|Wujin Xian (China)|~|Changzhou Fu (China)","","Civil service--China--Examinations.","Microfilm R1-17|~|uclamss_1372_b16_017","1721 Palace Examination - Wu Duanshen","吳端升|~|Wu Duansheng","康熙五十七年殿試-吳端升","","","應殿試舉人臣吳端升年叁拾玖歲係江南常州府武進縣人由增廣生應康熙伍拾貳年鄉試中式由舉人應康熙陸拾年會試中式今應殿試謹將三代腳色幷所習經書開具於後一 三 代曾祖洪逵 故 不仕 祖貞元 故 不仕 父柏 故 不仕一 習 易 經|~|Age: 39|~|Province: Jiangnan (China)|~|Rank 2 No. 32","1721","1721","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019p9cf/manifest"
"Han Yu-Shan Collection","ark:/21198/zz0019p9dz","ark:/21198/zz0019nz31","10","Completed with minimal metadata","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019pbpk","paged","","","","still image|~|text","manuscripts (document genre)|~|Examinations (documents)","pd","","chi","Sichuan Sheng (China)|~|Zunyi Fu (China)|~|Zunyi Xian (China)","","Civil service--China--Examinations.","uclamss_1372_b16_018|~|Microfilm R1-18","1727 Palace Examination - Luo Migao","羅彌高|~|Luo Migao","雍正五年殿試-羅彌高","","","應殿試舉人臣羅彌高年叁拾肆歲係四川遵義府遵義縣人由學生應雍正元年鄉試中式由舉人應雍正伍年會試中式今應殿試謹將三代腳色幷所習經書開具於後一 三 代曾祖文錦 故 不仕 祖冕 故 不仕 父雲師 故 仕一 習 詩 經|~|Rank 3 No. 136|~|Province: Sichuan Sheng (China)|~|Age: 34","1727","1727","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019p9dz/manifest"
"Han Yu-Shan Collection","ark:/21198/zz0019p9fg","ark:/21198/zz0019nz31","10","Completed with minimal metadata","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019pbtn","paged","","","","still image|~|text","manuscripts (document genre)|~|Examinations (documents)","pd","","chi","Guizhou Sheng (China)|~|Nanlong Fu (China)","","Civil service--China--Examinations.","Microfilm R1-19|~|uclamss_1372_b16_019","1729 Palace Examination - Li Xianjing","Li Xianjing|~|李賢經","雍正八年殿試-李賢經","","","應殿試舉人臣李賢經年叁拾壹歲係貴州南籠府人由學生應雍正柒年鄉試中式由舉人應雍正捌年會試中式今應殿試謹將三代腳色幷所習經書開具於後一 三 代曾祖越 故 不仕 祖藩明 故 不仕 父逢貴 故 不仕一 習 易 經|~|Age: 31|~|Rank 2 No. 220|~|Province: Guizhou Sheng (China)","1730","1730","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019p9fg/manifest"
"Han Yu-Shan Collection","ark:/21198/zz0019p9g0","ark:/21198/zz0019nz31","10","Completed with minimal metadata","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019pbzq","paged","","","","still image|~|text","manuscripts (document genre)|~|Examinations (documents)","pd","","chi","Shandong Sheng (China)|~|Laizhou Fu (China)","","Civil service--China--Examinations.","uclamss_1372_b16_020|~|Microfilm R1-20","1730 Palace Examination - Dai Rufen","Dai Rufen|~|戴汝棻","雍正八年殿試-戴汝棻","","","應殿試舉人臣戴汝棻年貳拾肆歲係山東萊州府掖縣人由監生應雍正柒年鄉試中式由舉人應雍正捌年會試中式今應殿試謹將三代腳色幷所習經書開具於後一 三 代曾祖廷徽 故 仕 祖夢麟 故 仕 父思誠 故 不仕一 習 易 經|~|Rank 2 No. 12|~|Province: Shandong Sheng (China)|~|Age: 24","1730","1730","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019p9g0/manifest"
"Han Yu-Shan Collection","ark:/21198/zz0019p9hh","ark:/21198/zz0019nz31","10","Completed with minimal metadata","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019pct4","paged","","","","still image|~|text","manuscripts (document genre)|~|Examinations (documents)","pd","","chi","Guizhou Sheng (China)|~|Guiyang (Guizhou Sheng, China)","","Civil service--China--Examinations.","Microfilm R1-21|~|uclamss_1372_b16_021","1730 Palace Examination - Yin Zuyi","尹祖伊|~|Yin Zuyi","雍正八年殿試-尹祖伊","","","應殿試舉人臣尹祖伊年肆拾陸歲係貴州貴陽府人由學生應雍正貳年鄉試中式由舉人應雍正捌年會試中式今應殿試謹將三代腳色幷所習經書開具於後一 三 代曾祖保民 故 不仕 祖三聘 故 不仕 父鼎元 故 不仕一 習 易 經|~|Province: Guizhou Sheng (China)|~|Age: 46|~|Rank 3 No. 270","1730","1730","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019p9hh/manifest"
"Han Yu-Shan Collection","ark:/21198/zz0019pb1r","ark:/21198/zz0019nz31","10","Completed with minimal metadata","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019pd06","paged","","","","still image|~|text","manuscripts (document genre)|~|Examinations (documents)","pd","","chi","Jinning (China)|~|Yunnan Sheng (China)|~|Yunnan Fu (China)","","Civil service--China--Examinations.","uclamss_1372_b16_022|~|Microfilm R1-22","1745 Palace Examination - Li Yinpei","李因培|~|Li Yinpei","乾隆十年殿試-李因培","","","應殿試舉人臣李因培伊年貳拾捌歲係雲南雲南府晉寧州人由學增廣生應乾隆叁年鄉試中式由舉人應乾隆拾年會試中式今應殿試謹將三代腳色幷所習經書開具於後一 三 代曾祖化鵬 故 不仕 祖典 故 不仕 父治民 故 仕一 習 書 經|~|Province: Yunnan Sheng (China)|~|Rank 2 No. 9|~|Age: 28","1745","1745","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019pb1r/manifest"
"Han Yu-Shan Collection","ark:/21198/zz0019pb28","ark:/21198/zz0019nz31","10","Completed with minimal metadata","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019pd3r","paged","","","","still image|~|text","manuscripts (document genre)|~|Examinations (documents)","pd","","chi","Guangzhou (China)|~|Guangdong Sheng (China)|~|Nanhai Xian (China)","","Civil service--China--Examinations.","uclamss_1372_b16_023|~|Microfilm R1-24","1761 Palace Examination - Liang Changshen","Liang Changsheng|~|梁昌聖","乾隆二十六年殿試-梁昌聖","","","應殿試舉人臣梁昌聖年貳拾伍歲係廣東廣州府南海縣人由學生應乾隆貳拾肆年鄉試中式由舉人應乾隆貳拾陸年會試中式今應殿試謹將三代腳色幷所習經書開具於後一 三 代曾祖翔隆 故 未仕 祖楨 故 未仕 父湖 故 未仕一 習 詩 經|~|Rank 2 No. 10|~|Province: Guangdong Sheng (China)|~|Age: 25","1761","1761","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019pb28/manifest"
"Han Yu-Shan Collection","ark:/21198/zz0019pb3s","ark:/21198/zz0019nz31","10","Completed with minimal metadata","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019pd69","paged","","","","still image|~|text","manuscripts (document genre)|~|Examinations (documents)","pd","","chi","Haining Xian (China)|~|Zhejiang Sheng (China)|~|Hangzhou (China)","","Civil service--China--Examinations.","Microfilm R1-25|~|uclamss_1372_b16_024","1763 Palace Examination - Zhu Delin","祝德麟|~|Zhu Delin","乾隆二十八年殿試-祝德麟","","","應殿試舉人臣祝德麟年拾玖歲係浙江杭州府海寧縣人由學廪膳生應乾隆貳拾伍年鄉試中式由舉人應乾隆貳拾捌年會試中式今應殿試謹將三代腳色幷所習經書開具於後一 三 代曾祖元禮 故 未仕 祖咸大 故 未仕 父(懋) 存 未仕一 習 易 經|~|Age: 19|~|Rank 2 No. 4|~|Province: Zhejiang Sheng (China)","1763","1763","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019pb3s/manifest"
"Han Yu-Shan Collection","ark:/21198/zz0019pb49","ark:/21198/zz0019nz31","10","Completed with minimal metadata","Work","","","","","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0019pdbc","paged","","","","still image|~|text","manuscripts (document genre)|~|Examinations (documents)","pd","","chi","Zhu Xian (Guizhou, China)|~|Guizhou Sheng (China)|~|Guiyang (Guizhou Sheng, China)","","Civil service--China--Examinations.","Microfilm R1-26|~|uclamss_1372_b16_025","1769 Palace Examination - He Dejun","何德峻|~|He Dejun","乾隆三十四年殿試-何德峻","","","應殿試舉人臣何德峻年叁拾歲貴州貴陽府貴祝縣人由附學生應乾隆拾捌年鄉試中式由舉人應乾隆叁拾肆年會試中式今應殿試謹將三代腳色幷所習經書開具於後一 三 代曾祖文炳 祖夢熊父錦一 習 詩 經|~|Age: 30|~|Rank 2 No. 48|~|Province: Guizhou Sheng (China)","1769","1769","","","","","","","","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0019pb49/manifest"
