Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Visibility,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Rights.rightsHolderName,Subject.descriptiveTopic,Subject temporal,Name.photographer,Author,Format.medium,Name.creator,Rights.permission,Subject geographic,Name.repository,Name.subject,Title,Description.view,Description.caption,Relation.isPartOf,Description.note,Alt ID.local,Description.abstract,AltTitle.translated,Date.normalized,Date.creation,Note,Opac url,Bucketeer State,IIIF Access URL,IIIF Manifest URL
UCLA Encyclopedia of Egyptology,ark:/21198/zz0014rmhp,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0014rmhp_497388_master.tif,,,,,,still image,Wall painting,copyrighted,,UCLA Encyclopedia of Egyptology,Supernatural Beings|~|Categories of Deities|~|Religion|~|Anthropomorphic Deities,New Kingdom |~|19th Dynasty|~|Reign of Merenptah,"Wilkinson, Richard H.",,paint|~|Plaster,,N,Valley of the Kings,,,"Wall Painting of Ptah, Tomb of Merenptah",Horizontal,"Figure 8. The god Ptah, Tomb of Merneptah, Valley of the Kings. The fact that the creativeaccomplishments of Ptah were effected by means of deliberative thought and executive speech underscores the essentially anthropomorphic nature of that god’s divine role according to the Memphite Theology.",uee1003,Article: Anthropomorphic Deities|~|Partial|~|Low Relief|~|Painted,p000537|~|uee1003v1_fig8|~|21198/zz000rz52f,,,1213/1203,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6306887,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014rmhp,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0014rmhp/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0014rmj6,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0014rmj6_497391_master.tif,,,,,,still image,Statuette,copyrighted,,UCLA Encyclopedia of Egyptology,Supernatural Beings|~|Categories of Deities|~|Religion|~|Anthropomorphic Deities,,"Wilkinson, Richard H.",,,,N,,,,Statue of a Triad Presentation,total,"Figure 9. Statue of the presentation of a triad of Amun, Mut, and Khons, Egyptian Museum, Cairo. The Theban triad of Amun, Mut, and Khons exemplifies the familial and generational relationships found in many groupings of anthropomorphic deities.",uee1003,"Currently in Egyptian Museum, Cairo|~|Article: Anthropomorphic Deities|~|45 degrees|~|Sculptured",p000675|~|uee1003v1_fig9|~|21198/zz000rz52f,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6306888,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014rmj6,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0014rmj6/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0014rmkq,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0014rmkq_497383_master.tif,,,,,,still image,Wall painting,copyrighted,,UCLA Encyclopedia of Egyptology,Supernatural Beings|~|Categories of Deities|~|Religion|~|Anthropomorphic Deities,New Kingdom |~|20th Dynasty|~|Reign of Ramesses III,"Wilkinson, Richard H.",,paint|~|Plaster,,N,Valley of the Queens,,,"Valley of the Queens, Figure of Isis",partial,"Figure 7. Figure of Isis, Tomb of Amunhorkhepeshef, Valley of the Queens. The somewhat fluid nature of the identities of Isis and Hathor, which were often blurred both in terms of their iconographies and their titles and epithets, is not uncommon among anthropomorphic deities.",uee1003,Article: Anthropomorphic Deities|~|horizontal|~|Engraved|~|Painted,p000309|~|21198/zz000rz52f|~|uee1003v1_fig7,,,1184/1153,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6306889,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014rmkq,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0014rmkq/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0014rmm7,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0014rmm7_497379_master.tif,,,,,,still image,Relief,copyrighted,,UCLA Encyclopedia of Egyptology,Supernatural Beings|~|Categories of Deities|~|Religion|~|Anthropomorphic Deities,New Kingdom |~|19th Dynasty|~|Reign of Ramesses II,"Wilkinson, Richard H.",,paint|~|Limestone,,N,Abydos,,,Personified Estates Bearing Offerings,Partial,"Figure 6. Personified estates bearing offerings, Temple of Ramesses II, Abydos. The generic nature of some anthropomorphic deities—such as personifications of geographic regions, estates, temples, etc.—meant that they were often only identified by name.",uee1003,Article: Anthropomorphic Deities|~|horizontal|~|Engraved Relief,p000162|~|uee1003v1_fig6|~|21198/zz000rz52f,,,1279/1213,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6306890,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014rmm7,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0014rmm7/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0014rmnr,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0014rmnr_497376_master.tif,,,,,,still image,Statue,copyrighted,,UCLA Encyclopedia of Egyptology,Supernatural Beings|~|Categories of Deities|~|Religion|~|Anthropomorphic Deities,New Kingdom |~|18th Dynasty,"Wilkinson, Richard H.",,,,N,,,,Statue of Amun,partial,"Figure 5. Statue of Amun, Dynasty 18, LuxorMuseum. Many anthropomorphic deities, such as Amun, god of wind and ""hiddenness,"" personify abstract aspects of reality that were difficult to personify in zoomorphic form",,"Of an unknown stone type, possibly Aswan granite|~|Article: Anthropomorphic Deities|~|45 degrees|~|Sculptured",p000689|~|uee1003v1_fig5|~|21198/zz000rz52f,,,1550/1295,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6306891,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014rmnr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0014rmnr/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0014rn1x,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0014rn1x_503967_master.tif,,,,,,still image,Loin-cloth,copyrighted,,Hierakonpolis Expedition,"Material Culture, Art and Architecture|~|Animal materials|~|Technology|~|Leatherworking",Middle Kingdom |~|Second Intermediate Period,"Friedman, Renée F.",,Leather,,N,Hierakonpolis,,,Leather Loincloth Fragment,Total,"Figure 1. Fragment of a finely made leather loincloth consisting of panels with cut-out rectangles, from Tomb 9 (C-Group) at Hierakonpolis.",uee1045,"An alternative dating places the item at 3700 BCE (A-group)(Ahmed Fahmy, 2008)|~|Article: Leatherworking|~|Vertical|~|Unspecified|~|13 cm x 10 cm",p000217|~|UEE_1045v1_fig1|~|21198/zz000s3mp7,,,2040/1550,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6306892,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014rn1x,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0014rn1x/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0014rn2f,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0014rn2f_497394_master.tif,,,,,,still image,Statue,copyrighted,,UCLA Encyclopedia of Egyptology,Supernatural Beings|~|Categories of Deities|~|Religion|~|Anthropomorphic Deities,,"Wilkinson, Richard H.",,,,N,,,,Statue of Atum Wearing Double Crown,partial,"Figure 10. Atum wearing the double crown, Luxor Museum. The ideological association ofanthropomorphic deities with the Egyptian king is perhaps seen in both the divine or quasi-divine aspects of representations of kings as well as the monarchial attributes of certain deities.",,Material: Diorite?|~|Article: Anthropomorphic Deities|~|45 degrees|~|Sculptured,p000689|~|uee1003v1_fig10|~|21198/zz000rz52f,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6306893,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014rn2f,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0014rn2f/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0014rn3z,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0014rn3z_504301_master.tif,,,,,,still image,Mace-head,copyrighted,,Petrie Museum of Egyptian Archaeology,"Material Culture, Art and Architecture|~|Uses and Applications|~|Cult Objects|~|Mace",Badarian (Middle Egypt),,,Diorite,,N,,Petrie Museum of Egyptian Archaeology,,"Badari, Predynastic Mace Head",Total,Figure 1. Predynastic disc-shaped macehead from Badari.,uee1070,Article: Mace|~|Bird's eye|~|Carved|~|15 cm,UC9496|~|p000677|~|p000432|~|UEE_1070v1_fig1|~|21198/zz000sn03x,,,4500/4000,,http://www.petrie.ucl.ac.uk/detail/details/index_no_login.php?objectid=UC9496&accesscheck=%2Fdetail%2Fdetails%2Findex.php,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6306894,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014rn3z,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0014rn3z/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0014rn4g,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0014rn4g_504307_master.tif,,,,,,still image,Mace,copyrighted,,Egypt Exploration Society,"Material Culture, Art and Architecture|~|Uses and Applications|~|Cult Objects|~|Mace",,,,Ivory,,N,Abadiya,Egypt Exploration Society,,Maces from Abadiya,Total,"Figure 3. Intact maces from Abadiya, grave B86",uee1070,Article: Mace|~|Bird's eye|~|Carved,p000153|~|UEE_1070v1_fig3|~|21198/zz000sn03x,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6306895,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014rn4g,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0014rn4g/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0014rn50,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0014rn50_503970_master.tif,,,,,,still image,Loin-cloth,copyrighted,,,"Material Culture, Art and Architecture|~|Animal materials|~|Technology|~|Leatherworking",Middle Kingdom |~|Second Intermediate Period,,,Leather,"Kriek, Mikko",N,Hierakonpolis,,,Artist’s Rendering of Woman in a Loincloth,Total,"Figure 2. Artist’s impression of the individual buried in Tomb 9 (C-Group, Hierakonpolis), wearing a leather loincloth.",uee1045,Article: Leatherwork|~|Horizontal|~|Unspecified,p000217|~|UEE_1045v1_fig2|~|21198/zz000s3mp7,,,2040/1550,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6306896,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014rn50,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0014rn50/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0014rn6h,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0014rn6h_503973_master.tif,,,,,,still image,Shoe,copyrighted,,British Museum London,"Material Culture, Art and Architecture|~|Animal materials|~|Technology|~|Leatherworking",,"'t Hooft, Adri",,Leather,,N,,British Museum,,Leather Shoe,Total,"Figure 3. Leather shoe, unknown provenance (EA 4411).",uee1045,Most likely dates to the New Kingdom|~|Article: Leatherworking|~|Vertical|~|Unspecified|~|12 cm x  5 cm,p000673|~|UEE_1045v1_fig3|~|21198/zz000s3mp7,,,,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6306897,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014rn6h,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0014rn6h/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0014rn71,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0014rn71_504304_master.tif,,,,,,still image,Mace-head,copyrighted,,Petrie Museum of Egyptian Archaeology,"Material Culture, Art and Architecture|~|Uses and Applications|~|Cult Objects|~|Mace",Buto II (Lower Egypt)|~|Middle A-group (Lower Nubia) |~|Late Naqada II (Upper Egypt),,,Limestone,,N,Abydos,Petrie Museum of Egyptian Archaeology,,"Abydos, Predynastic Mace Head",Total,Figure 2. Predynastic pear-shaped macehead from Abydos,uee1070,Article: Mace|~|Bird's eye|~|Carved|~|4.8 cm x 4.4 cm,UC35543|~|p000162|~|p000677|~|UEE_1070v1_fig2|~|21198/zz000sn03x,,,3400/3300,,http://www.petrie.ucl.ac.uk/detail/ details/index_no_login.php?objectid=UC35543&accesscheck=%2Fdetail%2Fdetails%2Findex.php,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6306898,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014rn71,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0014rn71/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0014rn8j,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0014rn8j_503997_master.tif,,,,,,still image,Axe,copyrighted,,"Ägyptisches Museum und Papyrussammlung (Berlin, Germany)","Material Culture, Art and Architecture|~|Animal materials|~|Technology|~|Leatherworking",New Kingdom |~|18th Dynasty|~|Amenhotep IV / Akhenaten,"Endenburg, Erno",,Leather,,N,el-Amarna,"Ägyptisches Museum und Papyrussammlung (Berlin, Germany)",,Rawhide Ax-Binding,Total,"Figure 6. Example of rawhide ax-binding from Amarna, 18th Dynasty. Scale bar in cm.",uee1045,Article: Leatherworking|~|Horizontal|~|Unspecified|~|10 cm x 5 cm,p000195|~|UEE_1045v1_fig6|~|21198/zz000s3mp7,,,1352/1336,,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6306899,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014rn8j,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0014rn8j/manifest
UCLA Encyclopedia of Egyptology,ark:/21198/zz0014rn92,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0014rn92_503976_master.tif,,,,,,still image,Wall painting,copyrighted,published,,"Material Culture, Art and Architecture|~|Animal materials|~|Technology|~|Leatherworking",New Kingdom |~|18th Dynasty|~|Reign of Thutmoses III,,,paint|~|Plaster,,N,Thebes West,,,Tomb Scene of Leather Processing,Partial,Figure 4. The tomb of Rekhmira has one of the most complete scenes of leather processing andthe manufacture of leather objects.,uee1045,Tomb S323|~|Article: Leatherworking|~|Horizontal|~|Painted on Stucco,p000421|~|p000409|~|UEE_1045v1_fig4|~|21198/zz000s3mp7,,,1479/1425,1943,"Davies, Norman de Garis. 1943 The tomb of Rekh-mi-Rē at Thebes. Publications of the Metropolitan Museum of Art, Egyptian  Expedition 11. New York: The Metropolitan Museum of Art.",https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6306900,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0014rn92,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0014rn92/manifest
