Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Rights.permissionNote,Rights.rightsHolderName,Subject.category,Subject.period,Name.photographer,Name.author,Physical-Description.material,Physical-Description.medium,Name.creator,Physical-Description.technique,Physical-Description.dimensions,Rights.permission,Coverage.discoveryLocation,Coverage.creationLocation,Subject.place,Name.repository,Physical-Description.extent,Coverage.currentRepository,Name.subject,Title,Description.view,Alt ID.uee,Description.caption,Relation.isPartOf,Description.note,Alt ID.ueePlaceID,Alt ID.local,Description.abstract,Alternate Title.Arabic,Alternate Title.French,Alternate Title.German,Date.normalized,Date.publication,Source,Description.angle,Description.direction,Date.captured,Alt ID.collection,Date.creation,Alternate Title.transliterated
UCLA Encyclopedia of Egyptology,ark:/21198/zz000s3mr8,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3mr8%2Ffr25xq8q,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Religious change|~|Religion|~|Survivals of Pharaonic Religious Practices in Contemporary Coptic Christianity,,,"Naguib, Saphinaz-Amal",,,,,,Y,,,,,,,,Survivals of Pharaonic Religious Practices in Contemporary Coptic Christianity,,uee1008,,,,,,"The concept of “survivals” has provoked heated discussions among scholars of various disciplines within the humanities and the social sciences. In the case of Egypt the polemics have been most vehement between those who trace contemporary popular beliefs and practices back to Pharaonic times and others who reject the idea altogether. The perspectives of “analogy,” “continuity and change,” and “living traditions” have opened the way to alternative approaches to the subject. Urbanization and globalization have profoundly changed Egyptian culture and prompted the abandonment of most religious practices belonging to the Egyptian lore. However, some aspects of Pharaonic religious practices can still be observed in Coptic Christianity. These practices are tied to the Coptic calendar, funerary rituals, visits to the dead, and mulids.",في الديانة القبطية المعاصرة بقاء الممارسات الدينية الفرعونية,Survivances des pratiques religieuses de l’époque pharaonique,Relikte der pharaonischen Religion in der modernen koptischen Kirche,2008,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz000s3mss,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3mss%2F0h06t931,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Personal devotion|~|Religion|~|Personal Piety (modern theories related to),,,"Luiselli, Maria Michela",,,,,,Y,,,,,,,,Personal Piety (Modern Theories Related To),,uee1053,,,,,,"The Egyptian language lacked specific terms for “religion” and “piety.” Nonetheless, Egyptologists recognize the significance of personal faith and piety in studying the religious sentiments and behavior of private individuals as expressed in texts and image. “Personal piety” was a complex phenomenon in ancient Egyptian religion and, as a result, the questions of how to define and apply the term remain controversial in Egyptology today. This article aims at presenting the Egyptological investigation of personal piety by providing both a history of its study and an overview of related issues and of the theories and methods applied to its research up to the present.",التعبد الفردى,Piété personnelle,Persönliche Frömmigkeit; Gottesnähe,2008,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz000s5mbz,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5mbz%2Fv798nx4b,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,"Visual Arts|~|Material Culture, Art and Architecture|~|Ancestor Bust|~|Statuary",,,"Exell, Karen",,,,,,Y,,Deir el-Medina,,,,,,Ancestor Bust,,uee1031,,,,,,,تماثيل السلف النصفية,Buste de laraires,Büste,2008,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz000s7j4s,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s7j4s%2Ftc97w87t,,,copyrighted,published,,UCLA Encyclopedia of Egyptology,"Visual Arts|~|Material Culture, Art and Architecture|~|Graffiti (Figural)",,,"Cruz-Uribe, Eugene, 1952- ",,,,,,Y,,,,,,,,Graffiti (Figural),,uee1061,,,the XML encoded article needs to be revised. this is added just for testing.,,,"Some of the earliest evidence for written communication in Egypt derives from figural graffiti—a variation of rock art. These texts are evidenced from many sites in Egypt, especially the Western Desert.",(الكتابات التذكارية (الجرافيتي,Graffiti (Figuratifs),Bildgraffiti,2008,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz000sn03x,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sn03x%2Fqh998d7g,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,"Material Culture, Art and Architecture|~|Uses and Applications|~|Cult Objects|~|Mace",,,"Stevenson, Alice",,,,,,Y,,,,,,,,Mace,,uee1070,,,,,,"The mace, a club-like weapon attested in ancient Egypt from the Predynastic Period onward, played both functional and ceremonial roles, although more strongly the latter. By the First Dynasty it had become intimately associated with the power of the king, and the archetypal scene of the pharaoh wielding a mace endured from this time on in temple iconography until the Roman Period.",الصولجان,Massue,Keule,2008,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz0013x9jp,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013x9jp%2F4661q69x,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Religious concepts and beliefs|~|Religion|~|Duality,,,"Servajean, Frédéric",,,,,,Y,,,,,,,,Duality,,uee1005,,,,,,"The term ""duality"" refers to a way of thinking that creates meaning by conceptually juxtaposing opposite or complementary realities (whether cultural, philosophical, or of the natural world) in a static or dynamic relationship and serves as a mechanism to make sense of, and explain, the functioning of the world.",الازدواجية,Dualité,"Dualität, Zweiheit",2008,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz0017jtts,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0017jtts%2F1h71c40j,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,"Visual Arts|~|Material Culture, Art and Architecture|~|Ceramic Art|~|Technology|~|Faience Technology",,,"Nicholson, Paul T.",,,,,,Y,,,,,,,,Faience Technology,,uee1082,,,,,,"Faience has been described as “the first high-tech ceramic,” which aptly describes its artificial nature. Unlike conventional, clay-based ceramics, the raw material of faience is a mixture of silica, soda, and lime reacted together during firing to make a new medium, quite different in nature to its constituents. The Egyptians referred to the material as tjehenet (“that which is brilliant or scintillating”), because of its reflective qualities, which they associated with the shiny surfaces of semi-precious stones.",تقنية الفايينس,Fayence,faïence,2009,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz001ndh48,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ndh48%2Fd179mf52,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,"Material Culture, Art and Architecture|~|Performing Arts|~|Dance",,,"Meyer-Dietrich, Erika",,,,,,Y,,,,,,,,Dance,,uee1134,,,,,,"According to the Egyptian iconographical and textual sources, dance is performed by animals, human beings (dwarfs, men, women, and children appear in the reliefs), the bas of Pe, the deceased king or individual, the living king in a divine role, and gods and goddesses. Problemsconcerning the classification, representation, and interpretation of dance in ancient Egypt are addressed here by structuring our knowledge through a focus on the performer, resulting in an overview of the dancer, the occasion of the performance, the location of the performance, and the imagined space that the dancing produces. These four criteria can be attested in naturalenvironmental,royal, funeral, and religious-festival contexts. The ancient Egyptian perceiveddance in relation to leisure activities, gendered space, and also the negotiation of liminal space.",الرقص,Danse,Tanz,2009,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz001ndn3p,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ndn3p%2F6600c05z,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,"Visual Arts|~|Material Culture, Art and Architecture|~|Predynastic Art",,,"Wengrow, D.",,,,,,Y,,,,,,,,Predynastic Art,,uee1064,,,,,,"""Predynastic art” describes a range of visual imagery and ornamental forms attested in Egypt and Lower Nubia from c.4000 - 3300 BCE. The known corpus comprises a rich variety of figural and non-figural designs, often applied to functional objects that were widely available, such as cosmetic palettes, ceramic vessels, and combs. Free-standing figurines are also known, as are occasional examples of large-scale painting and sculpture. Such images were a pervasive feature of Egyptian social life prior to the formation of the dynastic state, when elaborate personal display appears to have become a prerogative of elite groups.",فن ما قبل الأسرات,L’Art prédynastique,Vordynastische Kunst,2009,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz001ndn9s,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ndn9s%2Fkb660z7g,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,"Visual Arts|~|Material Culture, Art and Architecture|~|Pottery Production|~|Technology",,,"Nicholson, Paul T.",,,,,,Y,,,,,,,,Pottery Production,,uee1079,,,,,,"Pottery represents one of the earliest complex technologies—that of changing a plastic material, clay, into an aplastic material, ceramic, more colloquially known as pottery. In order to produce pottery it is necessary to obtain clay, either from a water course or sometimes by mining, and to process it by adding “opening materials” (“temper”) to improve its working properties, or by removing materials such as calcite. Egyptologists recognize two broad types of clay, that containing silt from the Nile River and the calcareous marl clays obtained from the desert. The clay, or mixture of clay and other materials, is then shaped either by hand-forming, using the potter’s wheel, or by molding. The finished form is then dried. This is the last point at which the potter could rework the material by simply adding water to it. Once dry, the material is fired either in the open or in a kiln. Firing leads to the fusion of the clay platelets, which renders the material aplastic. It is the sherds of this aplastic material that are most commonly encountered in the archaeological record.",صناعة الفخار,Production de céramique,Keramikproduktion,2009,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz001ndr4n,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ndr4n%2F1d026g6k,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,"Material Culture, Art and Architecture|~|Technology|~|Rope and Netting Production |~|Cordage Production",,,"Veldmeijer, A. J.",,,,,,Y,,,,,,,,Cordage Production,,uee1059,,,,,,"The term “cordage” refers to rope and string, and to the products made from these, such as netting.  Its presence among some of the oldest artifacts found on archaeological sites testifies to its usefulness through the ages.  In ancient Egypt, the production of cordage was relatively simple, for it could be made by hand without special implements.  However, the manufacture of thick roperequired the efforts of more than one person and/or the use of special tools.  Various materials were used to make cordage, depending on the availability of the necessary plants and also onthe intended function of the cordage.",<<صناعة الحبال<<كورداج,Production de cordage,Tauwerk Produktion,2009,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz001ndr97,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001ndr97%2Fk207p56c,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Individual and Society|~|The State and its Institutions|~|Economy |~|Bureaucracy |~|Agriculture |~|Estates (Old Kingdom),,,"Moreno Garcia, Juan Carlos ",,,,,,Y,,,,,,,,Estates (Old Kingdom),,uee1012,,,,,,"Estates (also referred to as “domains”) formed the basis of institutional agriculture in Old Kingdom Egypt. Estates were primarily administered by the temples or by state agricultural centers scattered throughout the country, but were also granted to high officials as remuneration for their services. Sources from the third millennium BCE show that estates constituted production networks where agricultural goods were produced, stored, and kept available for agents of the king who were traveling on state business.",(الضياع/  الإقطاعات (الدولة القديمة,Les domaines sous l’Ancien Empire,Domänen (Altes Reich),2008,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz001nf31c,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nf31c%2Fzb03fz07,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,"Material Culture, Art and Architecture|~|Performing Arts|~|Drama",,,"Gillam, Robyn Adams",,,,,,Y,,,,,,,,Drama,,uee1077,,,,,,"Drama is to be understood as a subset of performance involving verbal and physical interaction between two or more persons. Finding evidence for this activity in ancient Egyptian sources is challenging, but not without results. Dramatic texts appear to cluster between the 26th Dynasty and the Roman Period up to the second century CE and may point to the influence of Hellenicculture.",الدراما,Drame,Drama,2009,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz001nf609,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nf609%2F3234k46g,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,"Material Culture, Art and Architecture|~|Material Properties|~|Animal Materials|~|Ostrich Eggshell",,,"Phillips, Jacke S.",,,,,,Y,,,,,,,,Ostrich Eggshell,,uee1020,,,,,,"Ostriches were hunted in Egypt from the earliest times.  From their eggshells beads, pendants, and vessels were manufactured.  Decorated eggshells were used from the Predynastic Period onward and seem to have a religious meaning.",قشر بيض النعام,Coquille d’oeuf d’autruche,Strausseneierschale,2009,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz001nf61t,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nf61t%2F3t90hp2t,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Individual and Society|~|The State and its Institutions|~|Monarchy|~|Royal Titulary|~|Cartouche ,,,"Spieser, Cathie, 1965-",,,,,,Y,,,,,,,,Cartouche,,uee1063,,,,,,"The cartouche is an elongated form of the Egyptian shen-hieroglyph that encloses and protects a royal name or, in specific contexts, the name of a divinity. A king’s throne name and birth name were each enclosed in a cartouche, forming a kind of heraldic motif expressing the ruler’s dual nature as both human and divine. The cartouche could occur as a simple decorative component. When shown independently the cartouche took on an iconic significance and replaced the king’s, or more rarely, the queen’s, anthropomorphic image, enabling him or her to be venerated as a divine entity. Conversely, the enclosure of a god’s or goddess’s name in a cartouche served to render the deity more accessible to the human sphere.",الخرطوش,Cartouche,"Königsring, Kartusche",2010,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz001nf62b,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nf62b%2Fkt946p19,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Religion|~|Funerary Beliefs|~|Mortuary Beliefs and Practices|~|Religious Change|~|Democratization of the Afterlife,,,"Smith, M. (Mark), 1951-",,,,,,Y,,,,,,,,Democratization of the Afterlife,,uee1147,,,,,,"Egyptian religion is characterized by a remarkable degree of continuity, but changes did nevertheless occur in the religious sphere from time to time. One often-cited instance of such a change is the so-called democratization or demotization of the afterlife in the First Intermediate Period. This study examines the evidence for the development in question, concluding that no such change actually took place, albeit not for the reasons advanced by others who have arrived at the same conclusion previously. Based on the results obtained in the examination of this particular problem, a number of general points are then made about the methodology to be employed in the study of religious change in ancient Egypt as a whole.",ديمقراطية الحياة ما بعد الموت,Démocratisation de l’au-delà,Demokratisierung des Jenseits,2009,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz001nf63v,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nf63v%2Fkq82k58q,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Personal devotion|~|Religion|~|Domestic Religious Practices,,,"Stevens, Anna",,,,,,Y,,,,,,,,Domestic Religious Practices,,uee1010,,,,,,"Domestic religious practices—that is, religious conduct within a household setting—provided an outlet especially for expressing and addressing the concerns of everyday life. They can be traced throughout Egyptian dynastic history, in textual sources such as spells of healing and protection, offering and dedicatory texts, and private letters, and in cult emplacements and objects from settlement sites. Protective divinities such as Bes, Taweret, and Hathor were favored, along with ancestors who could be deceased kin, local elite, or royalty. State-level deities were also supplicated. Central practices were offering and libation, and conducting rites of protection and healing, while there was also strong recourse to protective imagery. These practices formed part of a continuum of beliefs, actions, and imagery shared with temple and mortuary cult; due to the fragmentary and scattered nature of the sources, the degree to which they overlapped with these spheres cannot be determined for all periods.",الممارسات الدينية المنزلية,Pratiques religieuses privées,Religion im Alltag,2009,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz001nf64c,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nf64c%2Fs891pw6f,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Individual and Society|~|Economy |~|Trade |~|Agriculture |~|Monetarization|~|Redistribution |~|Markets ,,,"Haring, Ben",,,,,,Y,,,,,,,,Economy,,uee1028,,,,,,"The economy of ancient Egypt is a difficult area of study due to the lack of preservation of much data (especially quantitative data); it is also a controversial subject on which widely divergent views have been expressed. It is certain, however, that the principal production and revenues of Egyptian society as a whole and of its individual members was agrarian, and as such, dependent on the yearly rising and receding of the Nile. Most agricultural producers were probably self-sufficient tenant farmers who worked the fields owned by wealthy individuals or state and temple estates. In addition to these, there were institutional and corvée workforces, and slaves, but the relative importance of these groups for society as a whole is difficult to assess. According to textual evidence, crafts were in the hands of institutional workforces, but indications also exist of craftsmen working for private contractors. Trade was essentially barter with reference to fixed units of textile, grain, copper, silver, and gold as measures of value. Coins were imported and produced in the Late Period, but a system close to a monetary economy is attested only from the Ptolemaic Period onward. Marketplaces were frequented by private individuals (including women) as well as professional traders, both native and foreign. Imports were secured by conquests and military control in the Levant, from which silver, oil, and wine reached Egypt, and in Nubia, rich in its deposits of gold.",الإقتصاد,Économie,Wirtschaft,2009,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz001nf65w,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001nf65w%2F3t77ff4r,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Cult and Ritual|~|Rituals|~|Religion|~|Funerary Rituals (Pharaonic Period),,,"Hays, Harold M.",,,,,,Y,,,,,,,,Funerary Rituals (Pharaonic Period),,uee1062,,,,,,"Upon death, the Egyptian was the object of a series of ceremonies performed by priestly officiants. The stages of the procedure largely correspond to the practical steps taken following death. These were: taking the corpse to a place of embalming, the embalming itself, taking the corpse to the tomb, and interment. The words and actions of the rituals superimposed upon these practical matters had a clear metaphysical purpose: funerary rituals were intended to elevate the mortal to the superhuman.",(الطقوس الجنائزية (العصرالفرعوني,Rituels funéraires (Égypte pharaonique),Bestattungsrituale (pharaonisches Ägypten),2010,,,,,,,,
