Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,iiif_access_url,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Rights.permissionNote,Rights.rightsHolderName,Subject.category,Subject.period,Name.photographer,Name.author,Physical-Description.material,Physical-Description.medium,Name.creator,Physical-Description.technique,Physical-Description.dimensions,Rights.permission,Coverage.discoveryLocation,Coverage.creationLocation,Subject.place,Name.repository,Physical-Description.extent,Coverage.currentRepository,Name.subject,Title,Description.view,Alt ID.uee,Description.caption,Relation.isPartOf,Description.note,Alt ID.ueePlaceID,Alt ID.local,Description.abstract,Alternate Title.Arabic,Alternate Title.French,Alternate Title.German,Date.normalized,Date.publication,Source,Description.angle,Description.direction,Date.captured,Alt ID.collection,Date.creation,Alternate Title.transliterated
UCLA Encyclopedia of Egyptology,ark:/21198/zz000s3mqr,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3mqr%2Fvq48rk1d,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Cult and Ritual|~|Rituals|~|Religion|~|Execration Ritual,,,"Muhlestein, Kerry",,,,,,Y,,,,,,,,Execration Ritual,,uee1006,,,,,,"The execration ritual was intended to prevent rebellious actions by Egyptians, foreigners, or supernatural forces by textually and kinetically destroying enemies via inanimate, animal or humansubstitutes. Execration rites are attested throughout Pharaonic history.",طقوس اللعنةَ,Rituel d’envoûtement,Ächtungsritual,2008,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz000s3mr8,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3mr8%2Ffr25xq8q,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Religious change|~|Religion|~|Survivals of Pharaonic Religious Practices in Contemporary Coptic Christianity,,,"Naguib, Saphinaz-Amal",,,,,,Y,,,,,,,,Survivals of Pharaonic Religious Practices in Contemporary Coptic Christianity,,uee1008,,,,,,"The concept of “survivals” has provoked heated discussions among scholars of various disciplines within the humanities and the social sciences. In the case of Egypt the polemics have been most vehement between those who trace contemporary popular beliefs and practices back to Pharaonic times and others who reject the idea altogether. The perspectives of “analogy,” “continuity and change,” and “living traditions” have opened the way to alternative approaches to the subject. Urbanization and globalization have profoundly changed Egyptian culture and prompted the abandonment of most religious practices belonging to the Egyptian lore. However, some aspects of Pharaonic religious practices can still be observed in Coptic Christianity. These practices are tied to the Coptic calendar, funerary rituals, visits to the dead, and mulids.",في الديانة القبطية المعاصرة بقاء الممارسات الدينية الفرعونية,Survivances des pratiques religieuses de l’époque pharaonique,Relikte der pharaonischen Religion in der modernen koptischen Kirche,2008,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz000s3mss,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s3mss%2F0h06t931,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Personal devotion|~|Religion|~|Personal Piety (modern theories related to),,,"Luiselli, Maria Michela",,,,,,Y,,,,,,,,Personal Piety (Modern Theories Related To),,uee1053,,,,,,"The Egyptian language lacked specific terms for “religion” and “piety.” Nonetheless, Egyptologists recognize the significance of personal faith and piety in studying the religious sentiments and behavior of private individuals as expressed in texts and image. “Personal piety” was a complex phenomenon in ancient Egyptian religion and, as a result, the questions of how to define and apply the term remain controversial in Egyptology today. This article aims at presenting the Egyptological investigation of personal piety by providing both a history of its study and an overview of related issues and of the theories and methods applied to its research up to the present.",التعبد الفردى,Piété personnelle,Persönliche Frömmigkeit; Gottesnähe,2008,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz000s5mbz,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s5mbz%2Fv798nx4b,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,"Visual Arts|~|Material Culture, Art and Architecture|~|Ancestor Bust|~|Statuary",,,"Exell, Karen",,,,,,Y,,Deir el-Medina,,,,,,Ancestor Bust,,uee1031,,,,,,,تماثيل السلف النصفية,Buste de laraires,Büste,2008,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz000s7j4s,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000s7j4s%2Ftc97w87t,,,copyrighted,published,,UCLA Encyclopedia of Egyptology,"Visual Arts|~|Material Culture, Art and Architecture|~|Graffiti (Figural)",,,"Cruz-Uribe, Eugene, 1952- ",,,,,,Y,,,,,,,,Graffiti (Figural),,uee1061,,,the XML encoded article needs to be revised. this is added just for testing.,,,"Some of the earliest evidence for written communication in Egypt derives from figural graffiti—a variation of rock art. These texts are evidenced from many sites in Egypt, especially the Western Desert.",(الكتابات التذكارية (الجرافيتي,Graffiti (Figuratifs),Bildgraffiti,2008,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz000sjv87,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz000sjv87_497358_master.tif,,,,,still image,sculpture (visual work),copyrighted,,,UCLA Encyclopedia of Egyptology,Supernatural Beings|~|Categories of Deities|~|Religion|~|Anthropomorphic Deities,4th Dynasty|~|Old Kingdom|~|Menkaura,"Wilkinson, Richard H.",,Graywacke,,,Sculpting,95.5 cm x 46.5 cm,N,Giza,,,,,,,"Triad of Menkaure, Egyptian Museum, Cairo",total,UEE_1003v1_fig1|~|21198/zz000rz52f,"Figure 1. Triad of Menkaura, Egyptian Museum, Cairo. A possible connection between the relatively late rise of many anthropomorphic deities—primarily in the Dynastic Period—and the position of the human king cannot be ignored. The association of monarchs and deities is clear from as early as the Old Kingdom.",uee1003,The statue represents a triad of King Menkaura flanked by the goddess Hathor to his right and the goddess of the 17th Upper Egyptian nome to his left.|~|Article: Anthropomorphic Deities,p000675,,,,,,-2575/-2465,,,horizontal,,2001-09-06,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz000sn03x,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000sn03x%2Fqh998d7g,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,"Material Culture, Art and Architecture|~|Uses and Applications|~|Cult Objects|~|Mace",,,"Stevenson, Alice",,,,,,Y,,,,,,,,Mace,,uee1070,,,,,,"The mace, a club-like weapon attested in ancient Egypt from the Predynastic Period onward, played both functional and ceremonial roles, although more strongly the latter. By the First Dynasty it had become intimately associated with the power of the king, and the archetypal scene of the pharaoh wielding a mace endured from this time on in temple iconography until the Roman Period.",الصولجان,Massue,Keule,2008,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz0013x9jp,ark:/21198/zz000rwn8d,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013x9jp%2F4661q69x,text,,copyrighted,published,,UCLA Encyclopedia of Egyptology,Religious concepts and beliefs|~|Religion|~|Duality,,,"Servajean, Frédéric",,,,,,Y,,,,,,,,Duality,,uee1005,,,,,,"The term ""duality"" refers to a way of thinking that creates meaning by conceptually juxtaposing opposite or complementary realities (whether cultural, philosophical, or of the natural world) in a static or dynamic relationship and serves as a mechanism to make sense of, and explain, the functioning of the world.",الازدواجية,Dualité,"Dualität, Zweiheit",2008,,,,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz0013zk38,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0013zk38_497367_master.tif,,,,,still image,Wall painting,copyrighted,,,UCLA Encyclopedia of Egyptology,Supernatural Beings|~|Categories of Deities|~|Religion|~|Anthropomorphic Deities,New Kingdom |~|18th Dynasty|~|Reign of Aye,"Wilkinson, Richard H.",,Plaster,,,,,N,,Valley of the Kings,,,,,,Four Sons of Horus at Offering Table,partial,UEE_1003v1_fig3|~|21198/zz000rz52f,"Figure 3. Four sons of Horus in fully anthropomorphic form, Tomb of Aye, West Valley. Even where strong representational traditions were established, variation occurs in the form in which deities were portrayed. This may be seen in deities such as the four sons of Horus--with zoomorphic identities for three of the four usually, but not always, utilized in the New Kingdom.",uee1003,"Painting from KV23, Burial chamber J: rear wall|~|Article: Anthropomorphic Deities",p000308,,,,,,-1327/-1323,,,horizontal,NW,2007-03-16,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz0014199t,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0014199t_497410_master.tif,,,,,still image,Unspecified Religious and Cult Object,copyrighted,published,,,"Visual Arts|~|Material Culture, Art and Architecture|~|Ancestor Bust|~|Statuary",New Kingdom |~|18th Dynasty|~|Amenhotep IV / Akhenaten,,,Wood,,,Sculptured,78 mm (height),N,,Deir el-Medina,,,,,,Small Wooden Ancestor Bust,total,UEE_1031v1_fig01|~|21198/zz000s5mbz,"Figure 1. Small (78 mm) wooden ancestor bust without a wig, from Deir el-Medina, 18th Dynasty, reign of Akhenaten",uee1031,,p000190,,,,,,-1352/-1336,1999,"Romano, James 1999 Large anthropoid bust (Entry Number 264). In Pharaohs of the sun: Akhenaten, Nefertiti, Tutankhamen, ed. Rita Freed, Yvonne J. Markowitz, and Sue D'Auria, p. 282. Boston: Museum of Fine Arts.",horizontal,Article: Ancestor Bust,,"53.246 [Brooklyn Museum of Art, New York]",,
UCLA Encyclopedia of Egyptology,ark:/21198/zz00141ggt,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz00141ggt_497415_master.tif,,,,,still image,Unspecified Religious and Cult Object,copyrighted,published,,,"Visual Arts|~|Material Culture, Art and Architecture|~|Ancestor Bust|~|Statuary",New Kingdom |~|18th Dynasty|~|19th Dynasty,,,Limestone,,,Sculptured,262 mm (height),N,Deir el-Medina,,,,,,,Large Limestone Ancestor Bust,total,UEE_1031v1_fig2|~|21198/zz000s5mbz,"Figure 2. Large (262 mm) limestone ancestor bust with wig and modius, possibly from Deir el-Medina, late 18th-early 19th Dynasty",uee1031,,p000690|~|p000190,,,,,,-1550/-1188,1999,"Romano, James 1999 Large anthropoid bust (Entry Number 264). In Pharaohs of the sun: Akhenaten, Nefertiti, Tutankhamen, ed. Rita Freed, Yvonne J. Markowitz, and Sue D'Auria, p. 282. Boston: Museum of Fine Arts.",horizontal,Article: Ancestor Bust,,"54.1 [Brooklyn Museum of Art, New York]",,
UCLA Encyclopedia of Egyptology,ark:/21198/zz00141ghb,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz00141ghb_497418_master.tif,,,,,still image,Unspecified Religious and Cult Object,copyrighted,published,,,"Visual Arts|~|Material Culture, Art and Architecture|~|Ancestor Bust|~|Statuary",New Kingdom ,,,Wood,,,Sculptured,,N,,Deir el-Medina,,,,,,Line Drawing of Henut Stela,total,UEE_1031v1_fig03|~|21198/zz000s5mbz,"Figure 3. Limestone stela depicting the Lady of the House, Henut, offering incense and water to an ancestor bust. From Deir el-Medina.",uee1031,This is a line drawing of an image from a limestone stela.|~|Article: Ancestor Bust,p000190|~|p000677,,,,,,-1550/-1069,2002,"Harrington, Nicola 2003 From the cradle to the grave: Anthropoid busts and ancestor cults at Deir el-Medina. In Current research in Egyptology 2003: Proceedings of the Fourth Annual Symposium, University College London, ed. Kathryn Piquette, and Serena Love, pp. 77, Fig. 5. Oxford: Oxbow Books",horizontal,,,"16550 [Petrie Museum of Egyptian Archaeology, UCL]",,
UCLA Encyclopedia of Egyptology,ark:/21198/zz00141gjv,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz00141gjv_497424_master.tif,,,,,still image,,copyrighted,,,Petrie Museum of Egyptian Archaeology,"Visual Arts|~|Material Culture, Art and Architecture|~|Ancestor Bust|~|Statuary",,,,Wood,,,Engraved,262 mm (height),N,,,,Petrie Museum of Egyptian Archaeology,,,,Wooden Ancestor Bust,Total,UEE_1031v1_fig4|~|21198/zz000s5mbz,Figure 4. Unprovenanced wooden bust wearing a wig.,uee1031,Article: Ancestor Bust,p000240|~|p000677,,,,,,-1550/-1069,2002,,Horizontal,,,"UC 16550 [Petrie Museum of Egyptian Archaeology, UCL]",,
UCLA Encyclopedia of Egyptology,ark:/21198/zz00141gkc,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz00141gkc_497427_master.tif,,,,,still image,Unspecified Religious and Cult Object,copyrighted,,,Petrie Museum of Egyptian Archaeology,"Visual Arts|~|Material Culture, Art and Architecture|~|Ancestor Bust|~|Statuary",New Kingdom ,,,Limestone,,,Sculptured,,N,,Kom Medinet Ghurab,,,,,,Small Limestone Bust with Blue Paint,total,UEE_1031v1_fig5|~|21198/zz000s5mbz,"Figure 5. Small limestone (?) bust, with traces of blue paint, from Kom Medinet Ghurab",uee1031,Article: Ancestor Bust,p000231|~|p000672,,,,,,-1550/-1069,2002,http://www.digitalegypt.ucl.ac.uk/religion/archive/uc16550.gif,horizontal,,,"UC 16031 [Petrie Museum of Egyptian Archaeology, UCL]",,
UCLA Encyclopedia of Egyptology,ark:/21198/zz0014rmg5,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0014rmg5_497370_master.tif,,,,,still image,Tomb Equipment,copyrighted,,,UCLA Encyclopedia of Egyptology,Supernatural Beings|~|Categories of Deities|~|Religion|~|Anthropomorphic Deities,New Kingdom |~|18th Dynasty|~|Reign of Tutankhamen,"Wilkinson, Richard H.",,Wood|~|Gold,,,Embossed,,N,,Valley of the Kings,,,,,,Ennead on the Solar Barque,Total,uee1003v1_fig4|~|21198/zz000rz52f,"Figure 4. Deities of the Solar Barque, Gilded Shrine of Tutankhamun, Egyptian Museum, Cairo. Representations of enneads commonly utilize anthropomorphic depictions of deities in generic form where the individual deities are identified only by name labels",uee1003,Article: Anthropomorphic Deities,p000675|~|p000626,,,,,,-1336/-1327,,,45 degrees,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz0014rmhp,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0014rmhp_497388_master.tif,,,,,still image,Wall painting,copyrighted,,,UCLA Encyclopedia of Egyptology,Supernatural Beings|~|Categories of Deities|~|Religion|~|Anthropomorphic Deities,New Kingdom |~|19th Dynasty|~|Reign of Merenptah ,"Wilkinson, Richard H.",,paint|~|Plaster,,,Low Relief|~|Painted,,N,Valley of the Kings,,,,,,,"Wall Painting of Ptah, Tomb of Merenptah",Horizontal,uee1003v1_fig8|~|21198/zz000rz52f,"Figure 8. The god Ptah, Tomb of Merneptah, Valley of the Kings. The fact that the creativeaccomplishments of Ptah were effected by means of deliberative thought and executive speech underscores the essentially anthropomorphic nature of that god’s divine role according to the Memphite Theology.",uee1003,Article: Anthropomorphic Deities,p000537,,,,,,-1213/-1203,,,Partial,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz0014rmj6,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0014rmj6_497391_master.tif,,,,,still image,Statuette,copyrighted,,,UCLA Encyclopedia of Egyptology,Supernatural Beings|~|Categories of Deities|~|Religion|~|Anthropomorphic Deities,,"Wilkinson, Richard H.",,,,,Sculptured,,N,,,,,,,,Statue of a Triad Presentation,total,uee1003v1_fig9|~|21198/zz000rz52f,"Figure 9. Statue of the presentation of a triad of Amun, Mut, and Khons, Egyptian Museum, Cairo. The Theban triad of Amun, Mut, and Khons exemplifies the familial and generational relationships found in many groupings of anthropomorphic deities.",uee1003,"Currently in Egyptian Museum, Cairo|~|Article: Anthropomorphic Deities",p000675,,,,,,,,,45 degrees,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz0014rmkq,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0014rmkq_497383_master.tif,,,,,still image,Wall painting,copyrighted,,,UCLA Encyclopedia of Egyptology,Supernatural Beings|~|Categories of Deities|~|Religion|~|Anthropomorphic Deities,New Kingdom |~|20th Dynasty|~|Reign of Ramesses III,"Wilkinson, Richard H.",,paint|~|Plaster,,,Engraved|~|Painted,,N,,Valley of the Queens,,,,,,"Valley of the Queens, Figure of Isis",partial,21198/zz000rz52f|~|uee1003v1_fig7,"Figure 7. Figure of Isis, Tomb of Amunhorkhepeshef, Valley of the Queens. The somewhat fluid nature of the identities of Isis and Hathor, which were often blurred both in terms of their iconographies and their titles and epithets, is not uncommon among anthropomorphic deities.",uee1003,Article: Anthropomorphic Deities,p000309,,,,,,-1184/-1153,,,horizontal,,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz0014rmm7,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0014rmm7_497379_master.tif,,,,,still image,Relief,copyrighted,,,UCLA Encyclopedia of Egyptology,Supernatural Beings|~|Categories of Deities|~|Religion|~|Anthropomorphic Deities,New Kingdom |~|19th Dynasty|~|Reign of Ramesses II,"Wilkinson, Richard H.",,paint|~|Limestone,,,Engraved Relief,,N,,Abydos,,,,,,Personified Estates Bearing Offerings,Partial,uee1003v1_fig6|~|21198/zz000rz52f,"Figure 6. Personified estates bearing offerings, Temple of Ramesses II, Abydos. The generic nature of some anthropomorphic deities—such as personifications of geographic regions, estates, temples, etc.—meant that they were often only identified by name.",uee1003,,p000162,,,,,,-1279/-1213,,,horizontal,Article: Anthropomorphic Deities,,,,
UCLA Encyclopedia of Egyptology,ark:/21198/zz0014rmnr,ark:/21198/zz000rwn8d,2,Completed,Work,egyptology/masters/21198-zz0014rmnr_497376_master.tif,,,,,still image,Statue,copyrighted,,,UCLA Encyclopedia of Egyptology,Supernatural Beings|~|Categories of Deities|~|Religion|~|Anthropomorphic Deities,New Kingdom |~|18th Dynasty,"Wilkinson, Richard H.",,,,,Sculptured,,N,,,,,,,,Statue of Amun,partial,uee1003v1_fig5|~|21198/zz000rz52f,"Figure 5. Statue of Amun, Dynasty 18, LuxorMuseum. Many anthropomorphic deities, such as Amun, god of wind and ""hiddenness,"" personify abstract aspects of reality that were difficult to personify in zoomorphic form",,"Of an unknown stone type, possibly Aswan granite|~|Article: Anthropomorphic Deities",p000689,,,,,,-1550/-1295,,,45 degrees,,,,,
