Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Rights.servicesContact,Language,Type.genre,Subject,Relation.isPartOf,Relation.rectoVerso,Name.creator,Name.repository,Date.creation,Alt ID.local,Format.extent,Format.dimensions,Description.abstract,Title,Date.normalized,Description.note,IIIF Manifest URL
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gqgt3,ark:/21198/zz0009c4d4,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jrcn,paged,,,,text,pd,,nah,manuscripts (document genre),"Nahuatl language --Texts|~|Nahuatl language--Archival resources.|~|Nahuas--Social life and customs--Archival resources.|~|Mexico--History--Conquest, 1519-1540--Archival resources.|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Nahuas--History--Archival resources.","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.",,,,"April 23, 1602","Box 20, Folder 22",1 bifolium,314 x 218 mm,"Flores was a resident of Santo Domingo Pixcohuac. Will includes instructions for mass and burial, and directions for the division of property.","Testament of Joachin Flores, Coyoacan",1602-04-23,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001gqgt3/manifest
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gqgvm,ark:/21198/zz0009c4d4,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jrhq,paged,,,,text,pd,,nah,manuscripts (document genre),"Nahuatl language --Texts|~|Nahuatl language--Archival resources.|~|Nahuas--Social life and customs--Archival resources.|~|Mexico--History--Conquest, 1519-1540--Archival resources.|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Nahuas--History--Archival resources.","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.",,,,"December 10, 1571","Box 20, Folder 23",1 bifolium,316 x 216 mm,"Will of a woman dying from ""cocoliztli,"" or smallpox. Will includes a prayer, instructions for mass and burial, and directions regarding her house and division of property.","Testament of Catalina Papan, Tehuitzco",1571-12-10,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001gqgvm/manifest
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gqgw4,ark:/21198/zz0009c4d4,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jrns,paged,,,,text,pd,,nah,manuscripts (document genre),"Nahuatl language --Texts|~|Nahuatl language--Archival resources.|~|Nahuas--Social life and customs--Archival resources.|~|Mexico--History--Conquest, 1519-1540--Archival resources.|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Nahuas--History--Archival resources.","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.",,,,16th century,"Box 20, Folder 24",1 leaf,313 x 217 mm,Account of money received by Diego Francisco from various people.,"Account summary for Diego Francisco, San Mateo, Huitzilopochco",1501/1600,Huitzilopochco is modern-day Churubusco.|~|See also MS 32.,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001gqgw4/manifest
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gqgxn,ark:/21198/zz0009c4d4,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jrqt,paged,,,,text,pd,,nah,manuscripts (document genre),"Nahuatl language --Texts|~|Nahuatl language--Archival resources.|~|Nahuas--Social life and customs--Archival resources.|~|Mexico--History--Conquest, 1519-1540--Archival resources.|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Nahuas--History--Archival resources.","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.",,,,"April 29, 1579","Box 20, Folder 25",2 leaves,315 x 217 mm.,"Final will and testament, with instructions for mass, burial, and the division of property. Signed by Joseph Jacabo, scribe. Second leaf is a record of Lorenco de la Assumpción receiving 6 pesos from Francisco de Santo Domingo, for the two masses ordered in the will.","Testament of Tomas Feliciano, Omaxacuehuecalco",1579-04-29,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001gqgxn/manifest
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001h8xjt,ark:/21198/zz0009c4d4,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001h8xkb,paged,,,,text,pd,,nah,manuscripts (document genre),"Nahuatl language --Texts|~|Nahuatl language--Archival resources.|~|Nahuas--Social life and customs--Archival resources.|~|Mexico--History--Conquest, 1519-1540--Archival resources.|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Nahuas--History--Archival resources.","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.",,,,"February 10, 1733-July 8, 1758","Box 20, Folder 20",8 leaves,305 x 215 mm.,"Extract of the testament of Juan Baes, and related documents comprised of individual bifolia (dated 1733 to 1758) sewn together. Manuscripts relate to a piece of land left to his brother, Jose Baes, with an imposition for masses on the land.","Testament of Juan Baes, et al., San Juan Ixtenco, Tlaxcala",1733/1758,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001h8xjt/manifest
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001h8z43,ark:/21198/zz0009c4d4,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jrxx,paged,,,,text,pd,,nah,manuscripts (document genre),"Nahuatl language --Texts|~|Nahuatl language--Archival resources.|~|Nahuas--Social life and customs--Archival resources.|~|Mexico--History--Conquest, 1519-1540--Archival resources.|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Nahuas--History--Archival resources.","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.",,,,"March 5, 1726","Box 20, Folder 21",6 leaves,312 x 215 mm.,"Series of manuscripts relating to various transfers of ownership for a piece of land. First document is a sales contract involving don Felipe Felisiano and his wife Pasquala Maria, and members of their family. The land was located in the barrio Santo Domingo, and the seller was don Antonio de Santiago and his wife, Doña Maria Francisca. Remaining documents date from 1738, when the land in question was sold to Bartolome Vargas and his family. Signatures of witnesses throughout. Leaves 5 and 6 are blank; all leaves bear the stamp of King Philip V.","Contract for sale of land, et al., San Felipe Santiago, Atzcapotzalco Tianguistenco",1726-03-05,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001h8z43/manifest
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001h8z5m,ark:/21198/zz0009c4d4,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025js8k,paged,,,,text,pd,,nah,manuscripts (document genre),"Nahuatl language --Texts|~|Nahuatl language--Archival resources.|~|Nahuas--Social life and customs--Archival resources.|~|Mexico--History--Conquest, 1519-1540--Archival resources.|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Nahuas--History--Archival resources.","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.",,,,c. 1632,"Box 20, Folder 26",1 bifolium,305 x 210 mm.,"Summary statement, possibly by an executor, for Juana (d. 1629 March 21) and her husband, Gabriel Rafael (d. ca. 1630). Includes the cost of their masses and settlement of property.","Estate summary for Juana and Gabriel Rafael, Coyoacan[?]",1632,"(Anderson, 76)",https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001h8z5m/manifest
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001h8z64,ark:/21198/zz0009c4d4,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jsdn,paged,,,,text,pd,,nah,manuscripts (document genre),"Nahuatl language --Texts|~|Nahuatl language--Archival resources.|~|Nahuas--Social life and customs--Archival resources.|~|Mexico--History--Conquest, 1519-1540--Archival resources.|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Nahuas--History--Archival resources.","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.",,,,"January 13, 1622","Box 20, Folder 27",1 bifolium,217 x 154 mm.,"Woman's will. Signed by Juan Gaspar, scribe.","Testament of Ana Lucia, San Geronimo, Zacamahcuexpa",1622-01-13,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001h8z64/manifest
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001h8z7n,ark:/21198/zz0009c4d4,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jsjq,paged,,,,text,pd,,nah,manuscripts (document genre),"Nahuatl language --Texts|~|Nahuatl language--Archival resources.|~|Nahuas--Social life and customs--Archival resources.|~|Mexico--History--Conquest, 1519-1540--Archival resources.|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Nahuas--History--Archival resources.","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.",,,,"January 21, 1579","Box 20, Folder 28",1 leaf,157 x 216 mm.,"Documents a transfer of land between Maria Ana and Juana Helna [Helena] to Francisco Leon Carvajal. Includes an map-like drawing of the property in ink, ""cedula del pedazo de tierra de Elena.""","Contract for transfer of land, Tlalxopa",1579-01-21,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001h8z7n/manifest
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001h8z85,ark:/21198/zz0009c4d4,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jsmr,paged,,,,text,pd,,nah,manuscripts (document genre),"Nahuatl language --Texts|~|Nahuatl language--Archival resources.|~|Nahuas--Social life and customs--Archival resources.|~|Mexico--History--Conquest, 1519-1540--Archival resources.|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Nahuas--History--Archival resources.","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.",,,,"January 21, 1579","Box 20, Folder 29",1 leaf,159 x 217 mm.,"Transfer of land to Francisco Leon Carvajal from Maria. Includes a map-like drawing of the property in ink, ""cedula del pedazo de tierra que toque con la bieja de Xochac.""","Contract for transfer of land, Xochac Coyoacan",1579-01-21,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001h8z85/manifest
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001h8z9p,ark:/21198/zz0009c4d4,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jsps,paged,,,,text,pd,,nah,manuscripts (document genre),"Nahuatl language --Texts|~|Nahuatl language--Archival resources.|~|Nahuas--Social life and customs--Archival resources.|~|Mexico--History--Conquest, 1519-1540--Archival resources.|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Nahuas--History--Archival resources.","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.",,,,"October 9, 1622","Box 20, Folder 30",1 leaf,200 x 150 mm.,Statement taken near time of death.,"Statement of Maria Ana, Tetzala Purificacion",1622-10-09,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001h8z9p/manifest
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001h8zb6,ark:/21198/zz0009c4d4,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jsrt,paged,,,,text,pd,,nah,manuscripts (document genre),"Nahuatl language --Texts|~|Nahuatl language--Archival resources.|~|Nahuas--Social life and customs--Archival resources.|~|Mexico--History--Conquest, 1519-1540--Archival resources.|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Nahuas--History--Archival resources.","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.",,,,"January 21, 1579","Box 20, Folder 31",1 leaf,157 x 218 mm,"ransfer of land from Miguel de Santiago to Francisco de Leon Carvajal. Includes a map-like drawing of the property in ink, ""cedula del pedazo de tierra que me dio lorenzo y lo di a la biexa de Xochac en truxe que de otro que ella me troco.""","Contract for transfer of land, Tlalxopa, Coyohuacan",1579-01-21,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001h8zb6/manifest
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001h8zcq,ark:/21198/zz0009c4d4,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jstv,paged,,,,text,pd,,nah,manuscripts (document genre),"Nahuatl language --Texts|~|Nahuatl language--Archival resources.|~|Nahuas--Social life and customs--Archival resources.|~|Mexico--History--Conquest, 1519-1540--Archival resources.|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Nahuas--History--Archival resources.","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.",,,,16th century,"Box 20, Folder 32",1 leaf,215 x 156 mm.,"Continuation of accounts for Diego Francisco, dealing with zapotes.","Account summary for Diego Francisco, San Matheo, Huitzilopochco",1501/1600,See also MS 24.,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001h8zcq/manifest
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001h8zd7,ark:/21198/zz0009c4d4,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jsww,paged,,,,text,pd,,nah,manuscripts (document genre),"Nahuatl language --Texts|~|Nahuatl language--Archival resources.|~|Nahuas--Social life and customs--Archival resources.|~|Mexico--History--Conquest, 1519-1540--Archival resources.|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Nahuas--History--Archival resources.","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.",,,,"January 21, 1579","Box 20, Folder 34",1 leaf,160 x 215 mm.,"Land transfer from Lorenzo Perez to Francisco de Leon Carvajal. Includes a map-like drawing of the property in ink, ""cedula de Lorenzo, y este pedazo di a la bieja.""","Contract for transfer of land, Tlalxopa",1579-01-21,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001h8zd7/manifest
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001h8zfr,ark:/21198/zz0009c4d4,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jszx,paged,,,,text,pd,,nah,manuscripts (document genre),"Nahuatl language --Texts|~|Nahuatl language--Archival resources.|~|Nahuas--Social life and customs--Archival resources.|~|Mexico--History--Conquest, 1519-1540--Archival resources.|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Nahuas--History--Archival resources.","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.",,,,"May 10, 1588","Box 20, Folder 35",1 leaf,318 x 220 mm.,Receipt of a debt from Don Diego de San Francisco to Pierres de Portugal.,"Receipt of debt, origin unknown",1588-05-10,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001h8zfr/manifest
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001h8zg8,ark:/21198/zz0009c4d4,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jt1f,paged,,,,text,pd,,nah,manuscripts (document genre),"Nahuatl language --Texts|~|Nahuatl language--Archival resources.|~|Nahuas--Social life and customs--Archival resources.|~|Mexico--History--Conquest, 1519-1540--Archival resources.|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Nahuas--History--Archival resources.","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.",,,,"August 7, 1621","Box 20, Folder 38",1 leaf,310 x 211 mm.,Documentation of a gift of land to the church.,"Donation to the church of San Juan Bautista, Coyocan",1621-08-07,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001h8zg8/manifest
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001h8zhs,ark:/21198/zz0009c4d4,2,Completed,Work,,,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025jt3g,paged,,,,text,pd,,nah,manuscripts (document genre),"Nahuatl language --Texts|~|Nahuatl language--Archival resources.|~|Nahuas--Social life and customs--Archival resources.|~|Mexico--History--Conquest, 1519-1540--Archival resources.|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Nahuas--History--Archival resources.","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.",,,,"August 1, 1737","Box 20, Folder 43",1 bifolium,310 x 211 mm.,"Purchase of land by Don Antonio Gonzalez Tercero, presumably from the municipal council.","Contract for sale of land, Azcapotzalco, 1737",1737-08-01,,https://ingest.iiif.library.ucla.edu/ark%3A%2F21198%2Fzz001h8zhs/manifest
