Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Type.typeOfResource,Rights.copyrightStatus,Rights.servicesContact,Language,Type.genre,Subject,Relation.isPartOf,Relation.rectoVerso,Name.creator,Name.repository,Date.creation,Alt ID.local,Format.extent,Format.dimensions,Description.abstract,Title,Date.normalized,Description.note,Representative Image,Masthead
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq07j,ark:/21198/zz0009c4d4,2,Completed,Work,,6,,,,,,,,text,pd,,nah,manuscripts (document genre),"Nahuatl language --Texts|~|Nahuatl language--Archival resources.|~|Nahuas--Social life and customs--Archival resources.|~|Mexico--History--Conquest, 1519-1540--Archival resources.|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Nahuas--History--Archival resources.","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.",,,,"December 29, 1656","Box 20, Folder 11",1 leaf,155 x 208 mm.,,"Complaint against the vicar of Tonelan, Guadalajara",1656-12-29,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq082,ark:/21198/zz0009c4d4,2,Completed,Work,,7,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq082%2Fvg690t3n,paged,,,,text,pd,,spa|~|nah,manuscripts (document genre),"Nahuatl language --Texts|~|Nahuatl language--Archival resources.|~|Nahuas--Social life and customs--Archival resources.|~|Mexico--History--Conquest, 1519-1540--Archival resources.|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Nahuas--History--Archival resources.","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.",,,,"October 7, 1747","Box 20, Folder 12",2 leaves,305 x 215 mm.,"Purchase of land by Doña Gertrudis Perez de Bustamante from Doña Antonia, her husband Miguel Martinez de Miranda, and their son, Julian Roman Martinez de Miranda. Leaf 2 is a confirmation of the sale of the land on 1767 July 1 from Gertrudis to Agustina Veronica of Chalco. Stamp of King Philip V.","Contract for sale of land, San Juan Bautista, Metepec",1747-10-07,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq09k,ark:/21198/zz0009c4d4,2,Completed,Work,,8,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq09k%2Fcc77n892,paged,,,,text,pd,,nah,manuscripts (document genre),"Nahuatl language --Texts|~|Nahuatl language--Archival resources.|~|Nahuas--Social life and customs--Archival resources.|~|Mexico--History--Conquest, 1519-1540--Archival resources.|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Nahuas--History--Archival resources.","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.",,,,"March 9, 1733","Box 29, folder 14",1 leaf,210 x 153 mm.,Includes instructions for mass and the division of property.,"Testament of Pedro San Juan, San Juan Bautista, Metepec",1733-03-09,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq0b3,ark:/21198/zz0009c4d4,2,Completed,Work,,9,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq0b3%2Fwt78ht63,paged,,,,text,pd,,nah,manuscripts (document genre),"Nahuatl language --Texts|~|Nahuatl language--Archival resources.|~|Nahuas--Social life and customs--Archival resources.|~|Mexico--History--Conquest, 1519-1540--Archival resources.|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Nahuas--History--Archival resources.","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.",,,,"June 19, 1785","Box 20, Folder 15",1 leaf,210 x 192 mm.,"Purchase or deed of land to Hilario de San Juan from his aunt, Josepha Teresa.","Contract for sale of land, San Juan Bautista, Metepec",1785-06-09,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq0cm,ark:/21198/zz0009c4d4,2,Completed,Work,,10,,,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz001gq0cm%2Fcz69hg09,paged,,,,text,pd,,nah,manuscripts (document genre),"Nahuatl language --Texts|~|Nahuatl language--Archival resources.|~|Nahuas--Social life and customs--Archival resources.|~|Mexico--History--Conquest, 1519-1540--Archival resources.|~|Mexico--History--Spanish colony, 1540-1810--Archival resources.|~|Nahuas--History--Archival resources.","Byron McAfee Papers (Collection 339). UCLA Library Special Collections, Charles E. Young Research Library.",,,,"October 20, 1629","Box 20, Folder 17",1 bifolium,312 x 218 mm.,Letter regarding arrangements for a marriage. Signed by several witnesses.,"Letter, council of Tzacualco to council of San Felipe, San Felipe",1629-10-20,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq0j6,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq0j6_1271885_master.tif,5,,,,,,,,text,pd,,,,,,r,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 5",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq0kq,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq0kq_1271888_master.tif,6,,,,,,,,text,pd,,,,,,v,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 6",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq0nr,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq0nr_1271892_master.tif,7,,,,,,,,text,pd,,,,,,r,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 7",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq0p8,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq0p8_1271901_master.tif,8,,,,,,,,text,pd,,,,,,v,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 8",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq0qs,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq0qs_1271907_master.tif,9,,,,,,,,text,pd,,,,,,r,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 9",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq0r9,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq0r9_1271913_master.tif,10,,,,,,,,text,pd,,,,,,v,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 10",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq0vv,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq0vv_1271932_master.tif,11,,,,,,,,text,pd,,,,,,r,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 11",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq0wc,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq0wc_1271942_master.tif,12,,,,,,,,text,pd,,,,,,v,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 12",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq0zd,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq0zd_1271950_master.tif,13,,,,,,,,text,pd,,,,,,r,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 13",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq10d,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq10d_1271957_master.tif,14,,,,,,,,text,pd,,,,,,v,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 14",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq11x,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq11x_1271964_master.tif,15,,,,,,,,text,pd,,,,,,r,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 15",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq13z,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq13z_1271973_master.tif,16,,,,,,,,text,pd,,,,,,v,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 16",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq14g,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq14g_1271986_master.tif,17,,,,,,,,text,pd,,,,,,r,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 17",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq150,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq150_1271992_master.tif,18,,,,,,,,text,pd,,,,,,v,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 18",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq16h,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq16h_1271999_master.tif,19,,,,,,,,text,pd,,,,,,r,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 19",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq171,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq171_1272005_master.tif,20,,,,,,,,text,pd,,,,,,v,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 20",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq192,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq192_1272017_master.tif,21,,,,,,,,text,pd,,,,,,r,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 21",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq1bk,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq1bk_1272025_master.tif,22,,,,,,,,text,pd,,,,,,v,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 22",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq1dm,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq1dm_1272032_master.tif,23,,,,,,,,text,pd,,,,,,r,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 23",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq1f4,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq1f4_1272045_master.tif,24,,,,,,,,text,pd,,,,,,v,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 24",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq1vb,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq1vb_1272055_master.tif,25,,,,,,,,text,pd,,,,,,r,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 25",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq1wv,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq1wv_1272064_master.tif,26,,,,,,,,text,pd,,,,,,v,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 26",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq1zw,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq1zw_1272072_master.tif,27,,,,,,,,text,pd,,,,,,r,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 27",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq20w,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq20w_1272080_master.tif,28,,,,,,,,text,pd,,,,,,v,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 28",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq21d,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq21d_1272089_master.tif,29,,,,,,,,text,pd,,,,,,r,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 29",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq23f,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq23f_1272095_master.tif,30,,,,,,,,text,pd,,,,,,v,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 30",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq24z,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq24z_1272105_master.tif,31,,,,,,,,text,pd,,,,,,r,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 31",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq3dk,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq3dk_1272125_master.tif,32,,,,,,,,text,pd,,,,,,v,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 32",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq7jk,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq7jk_1272239_master.tif,33,,,,,,,,text,pd,,,,,,r,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 33",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq7mm,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq7mm_1272247_master.tif,34,,,,,,,,text,pd,,,,,,v,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 34",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq8cg,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq8cg_1272267_master.tif,35,,,,,,,,text,pd,,,,,,r,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 35",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq8nm,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq8nm_1272273_master.tif,36,,,,,,,,text,pd,,,,,,v,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 36",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq8z8,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq8z8_1272279_master.tif,37,,,,,,,,text,pd,,,,,,r,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 37",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq908,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq908_1272282_master.tif,38,,,,,,,,text,pd,,,,,,v,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 38",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq91s,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq91s_1272288_master.tif,39,,,,,,,,text,pd,,,,,,r,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 39",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq929,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq929_1272293_master.tif,40,,,,,,,,text,pd,,,,,,v,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 40",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq93t,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq93t_1272309_master.tif,41,,,,,,,,text,pd,,,,,,r,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 41",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq94b,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq94b_1272315_master.tif,42,,,,,,,,text,pd,,,,,,v,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 42",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq95v,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq95v_1272319_master.tif,43,,,,,,,,text,pd,,,,,,r,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 43",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq96c,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq96c_1272324_master.tif,44,,,,,,,,text,pd,,,,,,v,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 44",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq97w,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq97w_1272327_master.tif,45,,,,,,,,text,pd,,,,,,r,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 45",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq98d,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq98d_1272330_master.tif,46,,,,,,,,text,pd,,,,,,v,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 46",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq99x,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq99x_1272333_master.tif,47,,,,,,,,text,pd,,,,,,r,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 47",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq9bf,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq9bf_1272337_master.tif,48,,,,,,,,text,pd,,,,,,v,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 48",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq9cz,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq9cz_1272342_master.tif,49,,,,,,,,text,pd,,,,,,r,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 49",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq9dg,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq9dg_1272345_master.tif,50,,,,,,,,text,pd,,,,,,v,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 50",,,,
McAfee (Byron) Papers.  Collection 339,ark:/21198/zz001gq9f0,ark:/21198/zz001gpx8n,2,Completed,Page,mcafee/masters/21198-zz001gq9f0_1272348_master.tif,51,,,,,,,,text,pd,,,,,,r,,,,,,,,"Petition against Fray Juan de Vizcarre, Guaxicori and Guadalajara, page 51",,,,
