Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Alt ID.local,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Type.typeOfResource,viewingHint,Text direction,Visibility,IIIF Range,Name.subject,Name.creator,Rights.copyrightStatus,Rights.permission,Rights.publicationStatus,Name.photographer,Publisher.publisherName,Coverage.geographic,Subject,Rights.servicesContact,Language,Rights.statementLocal,Author,Name.repository,Description.note,Title,Date.creation,Date.normalized,Description.caption,Description.abstract,Opac url,Finding Aid URL,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013zfz8,ark:/21198/zz000s19ng,2,Completed,Connexxus Flyers,Work,connexxus/images/masters/21198-zz0013zfz8-1-master.tif,,,,text,,,,,Connexxus (Center),Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),,,eng,,,,,Women Are Wonderful Dance,"September 7, 1985",1985-09-07,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zfz8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013zfz8/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013zg08,ark:/21198/zz000s19ng,2,Completed,Connexxus Flyers,Work,connexxus/images/masters/21198-zz0013zg08-1-master.tif,,,,text,,,,,"Clinton, Kate",Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),,,eng,,,,,Kate Clinton Concert,"October 12, 1985",1985-10-12,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zg08,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013zg08/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013zg1s,ark:/21198/zz000s19ng,2,Completed,Connexxus Flyers,Work,connexxus/images/masters/21198-zz0013zg1s-1-master.tif,,,,text,,,,,Connexxus (Center),Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),,,eng,,,,,Casino Cabaret II,"October 19, 1985",1985-10-19,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zg1s,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013zg1s/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013zg29,ark:/21198/zz000s19ng,2,Completed,Connexxus Flyers,Work,connexxus/images/masters/21198-zz0013zg29-1-master.tif,,,,text,,,,,Connexxus (Center),Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),,,spa|~|eng,,,,,El Gran Baile,"November 9, 1985",1985-11-09,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zg29,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013zg29/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013zg3t,ark:/21198/zz000s19ng,2,Completed,Connexxus Flyers,Work,connexxus/images/masters/21198-zz0013zg3t-1-master.tif,,,,text,,,,,Connexxus (Center),Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),,,eng,,,,,New Year's Affaire,"December 31, 1985",1985-12-31,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zg3t,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013zg3t/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013zg4b,ark:/21198/zz000s19ng,2,Completed,Connexxus Flyers,Work,connexxus/images/masters/21198-zz0013zg4b-1-master.tif,,,,text,,,,,Connexxus (Center),Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),,,eng,,,,,Happy Birthday Connexxus Dance,"January 25, 1986",1986-01-25,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zg4b,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013zg4b/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013zg5v,ark:/21198/zz000s19ng,2,Completed,Connexxus Flyers,Work,connexxus/images/masters/21198-zz0013zg5v-1-master.tif,,,,text,,,,,Connexxus (Center),Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),,,eng,,,,,Clean and Sober Women's Dance,"February 28, 1986",1986-02-28,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zg5v,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013zg5v/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013zg6c,ark:/21198/zz000s19ng,2,Completed,Connexxus Flyers,Work,connexxus/images/masters/21198-zz0013zg6c-1-master.tif,,,,text,,,,,Connexxus (Center),Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),,,eng,,,,,Fundraising Party and Auction,"March 22, 1986",1986-03-22,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zg6c,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013zg6c/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013zg7w,ark:/21198/zz000s19ng,2,Completed,Connexxus Flyers,Work,connexxus/images/masters/21198-zz0013zg7w-1-master.tif,,,,text,,,,,Connexxus (Center),Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),,,spa|~|eng,,,,,Un Baile Celebrando El Verano,"June 6, 1986",1986-06-06,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zg7w,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013zg7w/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013zg8d,ark:/21198/zz000s19ng,2,Completed,Connexxus Flyers,Work,connexxus/images/masters/21198-zz0013zg8d-1-master.tif,,,,text,,,,,Connexxus (Center),Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),,,eng,,,,,Summer Soiree II,"July 26, 1986",1986-07-26,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zg8d,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013zg8d/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013zg9x,ark:/21198/zz000s19ng,2,Completed,Connexxus Flyers,Work,connexxus/images/masters/21198-zz0013zg9x-1-master.tif,,,,text,,,,,Connexxus (Center),Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),,,eng,,,,,October Fun Fest,"October 8-29, 1986",1986-10-08/1986-10-29,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zg9x,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013zg9x/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013zgbf,ark:/21198/zz000s19ng,2,Completed,Connexxus Flyers,Work,connexxus/images/masters/21198-zz0013zgbf-1-master.tif,,,,text,,,,,Connexxus (Center),Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),,,eng,,,,,Latina Lesbian Mental Health Conference,"November 8, 1986",1986-11-08,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zgbf,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013zgbf/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013zgcz,ark:/21198/zz000s19ng,2,Completed,Connexxus Flyers,Work,connexxus/images/masters/21198-zz0013zgcz-1-master.tif,,,,text,,,,,Connexxus (Center),Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),,,eng,,,,,Bunches of Balloons,"December, 1986",1986-12,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zgcz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013zgcz/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013zgdg,ark:/21198/zz000s19ng,2,Completed,Connexxus Flyers,Work,connexxus/images/masters/21198-zz0013zgdg-1-master.tif,,,,text,,,,,"Phranc|~|Connexxus (Center)|~|Dobkin, Alix",Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),,,eng,,,,,Dinner Performance with Alix Dobkin and Phranc,"March 21, 1987",1987-03-21,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zgdg,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013zgdg/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013zgf0,ark:/21198/zz000s19ng,2,Completed,Connexxus Flyers,Work,connexxus/images/masters/21198-zz0013zgf0-1-master.tif,,,,text,,,,,Connexxus (Center),Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),,,eng,,,,,A Day at the Races,"April 11, 1987",1987-04-11,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zgf0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013zgf0/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013zggh,ark:/21198/zz000s19ng,2,Completed,Connexxus Flyers,Work,connexxus/images/masters/21198-zz0013zggh-1-master.tif,,,,text,,,,,"Connexxus (Center)|~|Whitlock, Mary|~|Rosenblum, Nancy",Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),,,eng,,,,,Artists' Reception,"April 4, 1987",1987-04-04,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zggh,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013zggh/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013zh39,ark:/21198/zz000s19ng,2,Completed,Connexxus Flyers,Work,connexxus/images/masters/21198-zz0013zh39-1-master.tif,,,,text,,,,,"Connexxus (Center)|~|Clinton, Kate",Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),,,eng,,,,,Summer Soiree III,"July 25, 1987",1987-07-25,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zh39,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013zh39/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013zh4t,ark:/21198/zz000s19ng,2,Completed,Connexxus Flyers,Work,connexxus/images/masters/21198-zz0013zh4t-1-master.tif,,,,text,,,,,Connexxus (Center),Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),,,eng,,,,,Summer in Silverlake,"June 19, 1987",1987-06-19,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zh4t,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013zh4t/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013zh5b,ark:/21198/zz000s19ng,2,Completed,Connexxus Flyers,Work,connexxus/images/masters/21198-zz0013zh5b-1-master.tif,,,,text,,,,,"Wolverton, Terry",Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),,,eng,,,,,Visions and Revisions,"June 25, 1987",1987-06-25,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zh5b,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013zh5b/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013zh6v,ark:/21198/zz000s19ng,2,Completed,Connexxus Flyers,Work,connexxus/images/masters/21198-zz0013zh6v-1-master.tif,,,,text,,,,,,Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),,,eng,,,,,Sinigual is Here,"August 15, 1987",1987-08-15,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zh6v,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013zh6v/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013zh7c,ark:/21198/zz000s19ng,2,Completed,Connexxus Flyers,Work,connexxus/images/masters/21198-zz0013zh7c-1-master.tif,,,,text,,,,,,Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),,,eng,,,,,Sinigual is Coming,"August 15, 1987",1987-08-15,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zh7c,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013zh7c/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013zh8w,ark:/21198/zz000s19ng,2,Completed,Connexxus Flyers,Work,connexxus/images/masters/21198-zz0013zh8w-1-master.tif,,,,text,,,,,Connexxus (Center),Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),"Hollywood Bowl (Los Angeles, Calif.)",,eng,,,,,Connexxus Goes Bowling,"September 9, 1987",1987-09-09,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zh8w,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013zh8w/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013zh9d,ark:/21198/zz000s19ng,2,Completed,Connexxus Flyers,Work,connexxus/images/masters/21198-zz0013zh9d-1-master.tif,,,,text,,,,,,Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),,,eng,,,,,Sizzling Sunday Fun,"September 13, 1987",1987-09-13,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zh9d,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013zh9d/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013zhbx,ark:/21198/zz000s19ng,2,Completed,Connexxus Flyers,Work,connexxus/images/masters/21198-zz0013zhbx-1-master.tif,,,,text,,,,,Connexxus (Center),Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),,,eng,,,,,1988 Connexxus Dance Card,"[December, 1987 - January, 1988]",1987-12/1988-01,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zhbx,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013zhbx/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013zhcf,ark:/21198/zz000s19ng,2,Completed,Connexxus Flyers,Work,connexxus/images/masters/21198-zz0013zhcf-1-master.tif,,,,text,,,,,Connexxus (Center),Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),,,eng,,,,,Happy 3rd Birthday Dance,"January 16, 1988",1988-01-16,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zhcf,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013zhcf/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013zhdz,ark:/21198/zz000s19ng,2,Completed,Connexxus Flyers,Work,connexxus/images/masters/21198-zz0013zhdz-1-master.tif,,,,text,,,,,"Connexxus (Center)|~|Martinez, Del|~|Jardine, Lauren",Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),,,eng,,,,,Family Dinner,"February 1, 1988",1988-02-01,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zhdz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013zhdz/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013zhfg,ark:/21198/zz000s19ng,2,Completed,Connexxus Flyers,Work,connexxus/images/masters/21198-zz0013zhfg-1-master.tif,,,,text,,,,,Connexxus (Center),Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),,,eng,,,,,Multi-Cultural Women's Festival,"March 19, 1988",1988-03-19,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zhfg,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013zhfg/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013zhj1,ark:/21198/zz000s19ng,2,Completed,Connexxus Flyers,Work,connexxus/images/masters/21198-zz0013zhj1-1-master.tif,,,,text,,,,,Connexxus (Center),Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),,,eng,,,,,Family Holiday Party,"December 3, 1988",1988-12-03,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zhj1,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013zhj1/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013zhkj,ark:/21198/zz000s19ng,2,Completed,Connexxus Flyers,Work,connexxus/images/masters/21198-zz0013zhkj-1-master.tif,,,,text,,,,,Connexxus (Center),Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),,,eng,,,,,Country Western Hoedown,"October 21, 1989",1989-10-21,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zhkj,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013zhkj/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013zhm2,ark:/21198/zz000s19ng,2,Completed,Connexxus Flyers,Work,connexxus/images/masters/21198-zz0013zhm2-1-master.tif,,,,text,,,,,Connexxus (Center),Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),,,eng,,,,,Gay and Lesbian Valentine's Dance,"February 10, 1990",1990-02-10,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zhm2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013zhm2/manifest
Connexxus/Centro de Mujeres Collection,ark:/21198/zz0013zhnk,ark:/21198/zz000s19ng,2,Completed,Connexxus Flyers,Work,connexxus/images/masters/21198-zz0013zhnk-1-master.tif,,,,text,,,,,Connexxus (Center),Connexxus (Center),copyrighted,Y,published,,,Los Angeles (Calif.),,,eng,,,,,Lesbian Couples - Separateness and Togetherness,"April 29, 1990",1990-04-29,,,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0013zhnk,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0013zhnk/manifest
