Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,IIIF Access URL,Subject,Type.genre,Type.typeOfResource,Name.subject,Coverage.geographic,Name.fashionDesigner,Coverage.spatialLongitude,Name.repository,Rights.rightsHolderContact,Name.artist,Name.architect,Name.photographer,Language,Publisher.publisherName,Name.illustrator,Rights.permission,Coverage.spatialLatitude,Relation.hasVersion,Relation.isPartOf,Name.compiler,Alternate Identifier.local,Title,Description.caption,Date.creation,Format.extent,Format.medium,Format.dimensions,Rights.copyrightStatus,Date.normalized,Description.longitude,Description.latitude,Description.note,Description.adminnote,Description.contents,Description.abstract,Description.fundingNote,Alternate Identifier.OPAC,Alternate Identifier.url,Alternate Identifier.oclc,Rights.countryCreation,Rights.servicesContact
Los Angeles Times Photographic Archive,ark:/21198/zz002cq70f,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/uclamss_1429_4426.tif,,,,,Restaurants $z California $z Los Angeles|~|Murder $x Investigation $z California $z Los Angeles,news photographs|~|cellulose nitrate film,still image,,Los Angeles (Calif.),,,"University of California, Los Angeles. Library. Department of Special Collections","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,zxx,Los Angeles Times,,Y,,,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_4426,"Outside of Wilson & Co., Los Angeles, 1929","Text from negative sleeve: Wagner Murder Case, 1929",1929,1 photograph,b&w nitrate negative,,copyrighted,1929,,,"Men and small boys outside of Wilson & Co.  Possibly related to Frank A. Wagner, a Chief",,,,Access to this collection is generously supported by Arcadia funds.,,,,US,
Los Angeles Times Photographic Archive,ark:/21198/zz002cq72g,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/uclamss_1429_4428.tif,,,,,Military officers $x American $z California $z Los Angeles|~|Meetings $z California $z Los Angeles,news photographs|~|cellulose nitrate film,still image,"Trask, Frank E.|~|Cotton, Hamilton H., $d 1879 or 1880-1952|~|Scattergood, Ezra Frederick, $d 1871-1947|~|Waite, H. M., $c Colonel|~|Wardell, Justus S., $d 1871 or 72-1945",Los Angeles (Calif.),,,"University of California, Los Angeles. Library. Department of Special Collections","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,zxx,Los Angeles Times,,Y,,,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_4428,"Colonel H. M. Waite and others, Los Angeles, 1934","Handwritten on negative: L to R H. M. Waite, Justus Wardell, F. E. Trask, E. F. Scattergood, H. H. Cotton|~|Text from negative sleeve: WAITE, H.M. COL. 1934",1934,1 photograph,b&w nitrate negative,,copyrighted,1934,,,"Colonel H. M. Waite, Deputy Public Works Administrator, going over documents near desk with Justus Wardell; Frank E. Trask, State engineer of the Federal Public Works Administration; E. F. Scattergood; and Hamilton H. Cotton, chairman of the California Advisory Board. The word ""PUBLIC is on the wall"". H. M. Waite was Deputy Public Works Administrator.",,,,Access to this collection is generously supported by Arcadia funds.,,,,US,
Los Angeles Times Photographic Archive,ark:/21198/zz002cq76j,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/uclamss_1429_4432.tif,,,,,Fraud $z California $z Los Angeles,news photographs|~|cellulose nitrate film,still image,"Walker, Henry E.|~|National Re-employment Service|~|Donnally, Roy C.",Los Angeles (Calif.),,,"University of California, Los Angeles. Library. Department of Special Collections","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,zxx,Los Angeles Times,,Y,,,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_4432,"Henry E. Walker and Roy C. Donnally, Los Angeles, 1934","Text from negative sleeve: WALKER, HENRY E.    1934.|~|Handwritten on negative: L to R--Henry E. Walker + Roy C. Donnally","June 24, 1934",1 photograph,b&w nitrate negative,,copyrighted,1934-06-24,,,"Related to article, ""LOWER-BOND APPEAL WINS: Donnally Given Reduction Former F.E.R.A..."" Los Angeles Times, 24 Jan. 1934: 23.|~|Roy Donnally standing next to Henry E. Walker. Both men previously worked for the National Re-employment Service at one time and both were accused of defrauding the government. There is a map and calendar behind them.",,,,Access to this collection is generously supported by Arcadia funds.,,,,US,
Los Angeles Times Photographic Archive,ark:/21198/zz002cq9xc,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/uclamss_1429_4511.tif,,,,,Judges $z California $z Los Angeles|~|Judicial proceedings $z California $z Los Angeles|~|Spectators $z California $z Los Angeles,news photographs|~|cellulose nitrate film,still image,"Wilson, Leonard, 1892-1955|~|Woodward, Leonard M., $d 1888-1957",Los Angeles (Calif.),,,"University of California, Los Angeles. Library. Department of Special Collections","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,zxx,Los Angeles Times,,Y,,,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_4511,"Leonard Wilson and Leonard Woodward, Los Angeles, 1930","Handwritten on negative: L to R--Leonard Wilson, Leonard M. Woodward|~|Text from negative sleeve: WILSON, LEONARD JUDGE, 1930.Historical/Legal.",1930,1 photograph,b&w nitrate negative,,copyrighted,1930,,,"Leonard Wilson and Leonard Woodward in a courtroom with other people behind them. It is possible that Woodward is Wilson's client, as Leonard Wilson quit being a judge in 1930 and then became an attorney.",,,,Access to this collection is generously supported by Arcadia funds.,,,,US,
Los Angeles Times Photographic Archive,ark:/21198/zz002cq9zw,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/uclamss_1429_4512.tif,,,,,Judges $z California $z Los Angeles,news photographs|~|cellulose nitrate film,still image,"Wilson, Leonard, 1892-1955",Los Angeles (Calif.),,,"University of California, Los Angeles. Library. Department of Special Collections","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,zxx,Los Angeles Times,,Y,,,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_4512,"Judge Leonard Wilson, Los Angeles, 1930","Text from negative sleeve: WILSON, LEONARD JUDGE, 1930.Historical/Legal.|~|Handwritten on negative: Leonard Wilson",1930,1 photograph,b&w nitrate negative,,copyrighted,1930,,,Leonard Wilson looking down at something in his hand with window view of city to his right.,,,,Access to this collection is generously supported by Arcadia funds.,,,,US,
Los Angeles Times Photographic Archive,ark:/21198/zz002ctj1n,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/uclamss_1429_4652.tif,,,,,Prisons $z California,news photographs|~|cellulose nitrate film,still image,Folsom Prison,Sacramento County (Calif.),,,"University of California, Los Angeles. Library. Department of Special Collections","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,zxx,Los Angeles Times,,Y,,,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_4652,"Outside of Folsom Prison, Folsom, 1931","Imprint: Frederick, FOTO SERVICE|~|Text from negative: FOLSOM PRISON.",1931,1 photograph,b&w nitrate negative,,copyrighted,1931,-121.162087,38.694998,Photo shows road leading to Folsom Prison and outside of prison.,,,,Access to this collection is generously supported by Arcadia funds.,,,,US,
Los Angeles Times Photographic Archive,ark:/21198/zz002ctj25,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/uclamss_1429_4653.tif,,,,,Prisoners $z California $z Folsom|~|Convict labor $z California $z Folsom,news photographs|~|cellulose nitrate film,still image,Folsom Prison,Folsom (Calif.),,,"University of California, Los Angeles. Library. Department of Special Collections","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,zxx,Los Angeles Times,,Y,,,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_4653,"Folsom Rock Quarry, Folsom, 1931",Text from negative sleeve: FOLSOM PRISON,1931,1 photograph,b&w nitrate negative,,copyrighted,1931,-121.162087,38.694998,Folsom State Prisoners working in Folsom Rock Quarry.,,,,Access to this collection is generously supported by Arcadia funds.,,,,US,
Los Angeles Times Photographic Archive,ark:/21198/zz002ctj46,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/uclamss_1429_4655.tif,,,,,Prisoners $z California $z Folsom|~|Prisons $z California,news photographs|~|cellulose nitrate film,still image,Folsom Prison,Folsom (Calif.),,,"University of California, Los Angeles. Library. Department of Special Collections","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,zxx,Los Angeles Times,,Y,,,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_4655,"Prisoners in Folsom Prison courtyard, Folsom, 1931","Photo caption: Photograph is watermarked with ""MY CAREER AS A CONVICT""|~|Text from negative sleeve: FOLSOM PRISON","August 23, 1931",1 photograph,b&w nitrate negative,,copyrighted,1931-08-23,-121.162087,38.694998,"Photograph appears with the article, ""MY CAREER AS A CONVICT: By Jack William, No. 40117 as told to Relman Morin,"" Los Angeles Times, 23 Aug. 1931: L3.|~|Prisoners lined up in 4 roes in the Folsom Prison courtyard.",,,,Access to this collection is generously supported by Arcadia funds.,,,,US,
Los Angeles Times Photographic Archive,ark:/21198/zz002ctj5q,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/uclamss_1429_4656.tif,,,,,Generals $z French,news photographs|~|cellulose nitrate film,still image,"Foch, Ferdinand, $d 1851-1929",Los Angeles (Calif.),,,"University of California, Los Angeles. Library. Department of Special Collections","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,zxx,Los Angeles Times,,Y,,,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_4656,"Marshall Ferdinand Foch, Los Angeles, 1920s","Text from negative sleeve: Foch, Joeffre Marshall.|~|Picture signed: Foch|~|Imprint: Lacaze, Tarbes",[between 1920-1929],1 photograph,b&w nitrate negative,,copyrighted,1920/1929,,,"Photographed picture of French General Ferdinand Foch, The Supreme Allied Commander during World War I.",,,,Access to this collection is generously supported by Arcadia funds.,,,,US,
Los Angeles Times Photographic Archive,ark:/21198/zz002ctn8q,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/uclamss_1429_4746.tif,,,,,Government employees $z California $z Los Angeles,news photographs|~|cellulose nitrate film,still image,"Stickney, George Edward, $d 1902-1970|~|Ford, John Anson",Los Angeles (Calif.),,,"University of California, Los Angeles. Library. Department of Special Collections","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,zxx,Los Angeles Times,,Y,,,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_4746,"Supervisor John Anson Ford and field secretary Edward Stickney, Los Angeles, 1930s","Handwritten on negative: Supervisor J A Ford + E. Stickney|~|Text from negative sleeve: Ford, John Anson",[between 1930-1939],1 photograph,b&w nitrate negative,,copyrighted,1930/1939,,,"John Anson Ford on the left with his field secretary, Edward Stickney, on the right. They appear to be at Ford's desk, a picture of a woman sits on the desk. They are going over a document that Ford is holding.",,,,Access to this collection is generously supported by Arcadia funds.,,,,US,
Los Angeles Times Photographic Archive,ark:/21198/zz002ctp23,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/uclamss_1429_4769.tif,,,,,,news photographs|~|cellulose nitrate film|~|Portrait photographs,still image,"United States Civil Service Commission|~|Fryman, Harry C., $d 1876-1946",Los Angeles (Calif.),,,"University of California, Los Angeles. Library. Department of Special Collections","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,zxx,Los Angeles Times,,Y,,,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_4769,"Harry C. Fryman, Los Angeles, [1920-1939]","Handwritten on negative: Harry C. Fryman|~|Photographic label: Harry C. Fryman|~|Text from negative: FRYMAN, HARRY C. CIVIL SERVICE COMM.",[1920-1939],1 photograph,b&w nitrate negative,,copyrighted,1920/1939,,,"Copy print of a portrait photograph of Harry C. Fryman, realty and hotel developer and member of the Civil Service Commission.",,,,Access to this collection is generously supported by Arcadia funds.,,,,US,
Los Angeles Times Photographic Archive,ark:/21198/zz002ctp3m,ark:/21198/zz0002np7z,3,Pending,Work,latimes/masters/uclamss_1429_4770.tif,,,,,Wreaths|~|Gifts,news photographs|~|cellulose nitrate film,still image,"United States Civil Service Commission|~|Fryman, Harry C., $d 1876-1946",Los Angeles (Calif.),,,"University of California, Los Angeles. Library. Department of Special Collections","UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4988",,,,zxx,Los Angeles Times,,Y,,,"Los Angeles Times Photographic Archive. Department of Special Collections, Charles E. Young Research Library, UCLA.",,uclamss_1429_4770,"Harry C. Fryman, Los Angeles, 1920-1939","Handwritten on negative: Harry C. Fryman|~|Text from negative: FRYMAN, HARRY C. CIVIL SERVICE COMM.",[between 1920-1939],1 photograph,b&w nitrate negative,,copyrighted,1920/1939,,,"Harry C. Fryman, realty and hotel developer, and member of the Civil Service Commission, stands next to a giant wreath in a lobby that has ""IFA"" on it. The wreath appears to have a card as well.",,,,Access to this collection is generously supported by Arcadia funds.,,,,US,
