Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,viewingHint,Visibility,Thumbnail,Subject.conceptTopic,Type.typeOfResource,Rights.copyrightStatus,Rights.publicationStatus,Type.genre,Name.subject,Subject,Subject.descriptiveTopic,Name.repository,Rights.servicesContact,Language,Name.photographer,Name.donor,Name.correspondent,Subject geographic,Name.recipient,Rights.rightsHolderContact,Name.creator,Local identifier,Title,Description.abstract,Description.note,Alt ID.local,Summary,Date.normalized,Date.creation,Format.extent,Coverage.geographic,Description.caption,Description.latitude,Description.longitude,Alt ID.url,AltTitle.other,Note,Relation.isPartOf,Opac url,Finding Aid URL
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p177,ark:/21198/zz002311rn,2,Completed,Work,gordo/image/yrlsc_gordonphotos_0010.tif,10,,,,private,,African American businesspeople $z California $z Los Angeles|~|African American beauty operators $z California $z Los Angeles,still image,copyrighted,unknown,Black-and-white photographs,"Davidson, Dewey D., $d 1898-1981|~|Davidson, Sadie Louise, $d 1905-1980",People,,"University of California, Los Angeles. $b Library Special Collections",,zxx,"Merriman, Ted",,,,,,,Collection 1867 Box 1 Folder 1,"Sadie Louise & Dewey Davidson, Los Angeles, 1940s",,All information concerning the content and description of the image was provided by Walter Gordon.,YRLSC_gordonphotos_0010,"Sadie Louise Davidson was a hairstylist who founded the Hair Stylist Guild, and who became the first African American member of the State Board of Cosmetology Advisory Committee. She was also active in many groups, such as the Urban League and NAACP, and helped found the Alpha Wives Auxiliary. She died in 1980, survived by her husband, Dewey D. Davidson.|~|Dewey Daniel Davidson was a prominent African American businessman in Los Angeles, proprietor of the largest mercantile store west of Chicago. He was also very active in the Alpha Phi Alpha fraternity, serving for some years as the regional director. He was born in Tulsa, Oklahoma, which lead some to call him by the nickname ""T-Town."" He was the husband of Sadie Louise Davidson.",1940/1949,[1940s?],1 photograph : b&w,California--Los Angeles,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p18r,ark:/21198/zz002311rn,2,Completed,Work,gordo/image/yrlsc_gordonphotos_0011.tif,11,,,,private,,African American lawyers--California--Los Angeles|~|African American physicians $z Louisiana $z Shreveport,still image,copyrighted,unknown,Black-and-white photographs,"Honoré, Beulah, $d 1908-1985|~|Summers, Harold|~|Gordon, Walter L., $c Jr., $d 1908-2012|~|Haddox, Mye, $d 1896-1966",People,,"University of California, Los Angeles. $b Library Special Collections",,zxx,"Williams, Charles A., $d 1907 or 08-1975",,,,,,,Collection 1867 Box 1 Folder 1,"Mye Haddox, Beulah Honoré, Harold Summers, and Walter L. Gordon, Jr., Los Angeles, 1940s",,"L to R: Mye Haddox, Beulah Honoré, Harold Summers, Walter L. Gordon, Jr.|~|All information concerning the content and description of the image was provided by Walter Gordon.",011|~|YRLSC_gordonphotos_0011,"Mye Haddox was a physician from Shreveport, Louisiana.|~|Harold Summers was married to Reverdia Woods Summers, the daughter of Hattie and Tim Woods. She died in 1935, soon after they married, leaving an infant daughter.|~|Walter L. Gordon, Jr. was an attorney in Los Angeles.|~|Beulah Honoré, a former dancer with the Regalettes in Chicago, and also an interior designer and milliner, was married to Gideon Honoré, a member of Duke Ellington's orchestra.|~|Charles A. Williams is documented as a photographer from Oklahoma, practicing in Los Angeles and married to Yoshi Kuwahara in the 1948 edition of Negro Who's Who in California. It also states that he earned the title ""Charles of Avalon"" while working at the Avalon Studios, the largest Negro owned studio on the Pacific Coast, and that he had photographed for the Pittsburgh Courier, Pacific Coast Edition; the California Eagle Staff and the Los Angeles Sentinel. His obituary in the Sentinel reports his activities in the public relations profession, ultimately becoming the Chairman of Public Relations International.",1940/1949,[1940s?],1 photograph : b&w,California--Los Angeles,"Photographer's logo in the lower right corner: ""Charles of Avalon""",,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p198,ark:/21198/zz002311rn,2,Completed,Work,,12,,,,private,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p198%2Fhd718j27,African American businesspeople $z California $z Los Angeles|~|African American barbers $z California $z Los Angeles,still image,copyrighted,unknown,Black-and-white photographs,"Browne, Spencer, $d 1904-1991",Lifestyle|~|People,,"University of California, Los Angeles. $b Library Special Collections",,zxx,Sheffield Studio,,,,,,,Collection 1867 Box 1 Folder 1,"Mr. & Mrs. Spencer Browne, Los Angeles, 1940s",,All information concerning the content and description of the image was provided by Walter Gordon.,YRLSC_gordonphotos_0012,"Spencer James Browne was born and raised in 1904 in Texas, and later attended Howard University. He was a successful barber, opening his first shop on Central Avenue in 1932, and his second shop on Western in the late 1950s. He also opened a restaurant in Santa Ana in 1943. He married Bettye Maria Horace in 1954.",1940/1949,[1940s?],1 photograph : b&w,California--Los Angeles,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p1bs,ark:/21198/zz002311rn,2,Completed,Work,gordo/image/yrlsc_gordonphotos_0013.tif,13,,,,private,,African American models $z California $z Los Angeles,still image,copyrighted,unknown,Black-and-white photographs,"Schwentner, Angelle DeLavallade, $d 1920-2008 ",People,,"University of California, Los Angeles. $b Library Special Collections",,eng,"Merriman, Ted",,,,,,,Collection 1867 Box 1 Folder 1,"Angelle DeLavallade, Los Angeles, 1940s",,All information concerning the content and description of the image was provided by Walter Gordon.,YRLSC_gordonphotos_0013,"Angelle DeLavallade, the niece of Angelique DeLavallade, was a model. She had a brief career in the entertainment business and a two-year marriage with Dr. Edward W. Stratton.",1940/1949,[1940s],1 photograph : b&w,California--Los Angeles,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p1c9,ark:/21198/zz002311rn,10,Completed with minimal metadata,Work,gordo/image/yrlsc_gordonphotos_0014.tif,14,,,,private,,African American jazz musicians--California--Los Angeles|~|African American dentists $z California $z Los Angeles,still image,copyrighted,unknown,Black-and-white photographs,"Coleman, John Charles, $d 1906-1989|~|DeLavallade, Angelique, $d 1906-1997|~|Jackson, Calvin, $d 1919-1985",People,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 1 Folder 1,"Angelique DeLavallade, Calvin Jackson, and John Coleman, Los Angeles, 1940s",,"Angelique DeLavallade is standing in the background on the left. Standing next to her is a man whose last name may have been Moore. In the foreground, musician Calvin Jackson is at the left, speaking to Dr. John Coleman on the right.|~|All information concerning the content and description of the image was provided by Walter Gordon.",014|~|YRLSC_gordonphotos_0014,"Calvin Jackson was an American  jazz pianist, composer and bandleader.|~|Angelique DeLavallade was married Bertrand B. Bratton (Los Angeles CPA). Subsequently, she worked for the State of California as a legal stenographer.|~|Dr. John Coleman was a prominent dentist and a member of the Grand Boule Sigma Pi Phi and Alpha Phi Alpha fraternities.",1940/1949,[1940s?],1 photograph : b&w,California--Los Angeles,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p1dt,ark:/21198/zz002311rn,10,Completed with minimal metadata,Work,,15,,,,private,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p1dt%2Fzw31tm12,African American lawyers--California--Los Angeles|~|African American judges $z California $z Los Angeles,still image,copyrighted,unknown,Black-and-white photographs,"Gordon, Walter L., $c Jr., $d 1908-2012|~|Miller, Cleo Baines Lang, $d b. 1934|~|Ty, Catherine|~|Lang, Xenophon, $d 1917-2003|~|Schaeffer, Ted",Lifestyle,Nightclubs $z California $z San Fernando Valley,"University of California, Los Angeles. $b Library Special Collections",,zxx,Bob Douglas Photo,,,,,,,Collection 1867 Box 1 Folder 1,"Party at a club on San Fernando Road, San Fernando, Calif, 1950s",,"L to R: Walter L. Gordon, Jr., Catherine Tye (identified separately as Cecile Tyson), unidentified woman, Xenophon Lang and his wife (probably Cleo, wearing pearl necklace), Theodore (Ted) Schaeffer, unidentified woman.|~|All information concerning the content and description of the image was provided by Walter Gordon.",015|~|YRLSC_gordonphotos_0015,"Theodore (Ted) Schaeffer was an attorney who graduated from USC's law school. He later got involved in horserace gambling which, according to Walter Gordon, ruined Mr. Schaeffer financially.|~|Xenophon F. Lang was a Los Angeles Municipal Court judge. At the start of his law career he was Walter Gordon's professional colleague. He was married to Cleo Baines Lang Miller in 1957.|~|Walter L. Gordon, Jr. was an African American attorney in Los Angeles.",1957/1959,[circa 1957-1959],1 photograph : b&w,California--San Fernando,On back of photo: BOB DOUGLAS PGOTO / 2626 SO. MANHATTAN PL. - APT. 100 / LOS ANGELES 18 - PHONE RE. 2-0207,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p1fb,ark:/21198/zz002311rn,2,Completed,Work,gordo/image/yrlsc_gordonphotos_0016.tif,16,,,,private,,Secretaries $z California $z Los Angeles|~|African American women $z California $z Los Angeles|~|African American bail bond agents $z California $z Los Angeles,still image,copyrighted,unknown,Black-and-white photographs,"Alexander, Katherine, $d 1921 or 22-2000|~|Shelton, Yvonne, $d 1934-2001",People,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 1 Folder 1,"Yvonne Shelton and Katherine Alexander, Los Angeles, 1940s.",,All information concerning the content and description of the image was provided by Walter Gordon.|~|L to R: Yvonne Shelton with older sister Katherine Alexander.,016|~|YRLSC_gordonphotos_0016,"Yvonne Shelton was a secretary who worked for Walter L. Gordon, Jr. for a number of years. She and sister Katherine Alexandern became bail bonds agents. Together they ran the Shelton Bail Bonds Co., and were the first black women licensed to do so in California.|~|Katherine ""Kat"" Alexander (née Catherine Porter) started out as a secretary for Walter L. Gordon, Jr. She and sister Yvonne Shelton became bail bonds agents. Together they ran the Shelton Bail Bonds Co., and were the first black women licensed to do so in California. Katherine was also an avid bowler. She passed away in 2000 at age 80.",1940/1949,[1940s],1 photograph : b&w,California--Los Angeles,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p1gv,ark:/21198/zz002311rn,10,Completed with minimal metadata,Work,gordo/image/yrlsc_gordonphotos_0017.tif,17,,,,private,,,still image,copyrighted,unknown,Black-and-white photographs,"Wrigley Field (Los Angeles, Calif.)",Sports|~|Entertainment|~|Lifestyle,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 1 Folder 1,"Spectators at a baseball game at Wrigley Field, Los Angeles, 1940s",,All information concerning the content and description of the image was provided by Walter Gordon.|~|Walter Gordon identified the man to the left as a sportsman named Brasley (first name unknown). The man to the right (name unknown) was identified as the younger brother of Curtis Mosby of the Club Alabam. The two women in the photo are unknown.,017|~|YRLSC_gordonphotos_0017,,1940/1949,[1940s?],1 photograph : b&w,California--Los Angeles,,34.0075,-118.266111,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p1hc,ark:/21198/zz002311rn,2,Completed,Work,gordo/image/yrlsc_gordonphotos_0018.tif,18,,,,private,,African American women $z California $z Los Angeles,still image,copyrighted,unknown,Black-and-white photographs,"Cussman, Ellen|~|Wright, Helen, $d 1922-1978",People|~|Culture,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 1 Folder 1,"Five women in winter clothing, Los Angeles, 1940s",,All information concerning the content and description of the image was provided by Walter Gordon.|~|Five women in winter clothing (some with fur stoles). The woman on the far right is Ellen Cussman. Second from left is Helen Wright.,YRLSC_gordonphotos_0018,Helen Wright was the wife of Crispus Wright and the sister of John McClain.|~|Ellen Cussman ran a beauty shop.,1940/1949,[1940s?],1 photograph : b&w,California--Los Angeles,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p1jw,ark:/21198/zz002311rn,2,Completed,Work,,19,,,,private,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p1jw%2Fzm16q85t,,still image,copyrighted,unknown,Black-and-white photographs,"Harris, Cassie, $d b. 1907 or 08|~|Sissle, Ethel",People,,"University of California, Los Angeles. $b Library Special Collections",,zxx,,,,,,,,Collection 1867 Box 1 Folder 1,"Cassie Harris and Ethel (Sissle) Gordon, Los Angeles, 1940s",,"All information concerning the content and description of the image was provided by Walter Gordon.|~|L to R: unidentified woman (possibly Cassie Harris' daughter?), Cassie Harris, Ethel (Sissle) Gordon.",YRLSC_gordonphotos_0019,"Ethel Sissle (1915-1984) was maried to the band leader Noble Sissle, and later to Walter L. Gordon, Jr.|~|Cassie Harris came to Los Angeles from Chicago, and eventually worked at the Dunbar Hotel. She was socially active, and a charter member of the organization 13 Aides, a group of prominent women who devoted their time to organizing programs to support the underprivileged. She was married to Paul Harris, a cook.",1940/1949,[1940s?],1 photograph : b&w,California--Los Angeles,,,,,,,,,
"Gordon (Walter L.) and William C. Beverly, Jr. Collection",ark:/21198/zz0025p1kd,ark:/21198/zz002311rn,2,Completed,Work,,20,,,,private,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0025p1kd%2Ffn645g5c,,still image,copyrighted,unknown,Black-and-white photographs,"Bledsoe, Tom",Lifestyle|~|People,,"University of California, Los Angeles. $b Library Special Collections",,eng,,,,,,,,Collection 1867 Box 1 Folder 1,"Tom Bledsoe from New York, 1960s",,Photograph appears to have some water damage.|~|All information concerning the content and description of the image was provided by Walter Gordon.,020|~|YRLSC_gordonphotos_0020,"According to Walter L. Gordon, Jr., Bledsoe came out to Los Angeles from New York in the 1960s.",1960/1969,[1960s?],1 photograph : b&w,California--Los Angeles,"On back of photograph: ""Bledsoe, a hustler out of New York, never worked a day in his life.""",,,,,,,,
