Object Type,Title,Local identifier,Item ARK,Parent ARK,File Name,AltTitle.other,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,Format.dimensions,Format.extent,Format.medium,Genre,Language,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject,Subject geographic,Subject temporal,Bucketeer State,IIIF Access URL,IIIF Manifest URL
Work,"Unity, democracy and courage: The people's power will break South Africa's Aggression, 1981",fp_medu_015,ark:/21198/z1fj49gz,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session02-104.tif,,,,1981,1981,,,Unity democracy and courage the people's power will break South Arica aggression MEDU.,,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fj49gz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1fj49gz/manifest
Work,"June 16: courage of the youth ensures our victory, 1981",fp_medu_016,ark:/21198/z19s3jnw,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01-088.tif,,,,1981,1981,,,June 16: courage of the youth ensures our victory. MEDU Art Ensemble,,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz19s3jnw,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz19s3jnw/manifest
Work,"The emancipation of women is not an act of charity, the result of a humanitarian or compassionate attitude.",fp_medu_018,ark:/21198/z1612sw1,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session02-109.tif,,,,Between 1979-1985,1979/1985,,,"The emancipation of women is not an act of charity, the result of a humanitarian or compassionate attitude. The liberation of women is a fundamental necessity of the Revolution, the guarantee of its continuity and the precondition of its victory. The main objective of the Revolution is to destroy the system of exploitation and build a new society which releases the potentialities of human beings, reconciling them with labour and with nature. This is the context within which the question of womens' emancipation arises",,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1612sw1,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1612sw1/manifest
Work,"June 16, Commemorative Exhibition by the Medu Art Ensemble, Gabarone, 1981",fp_medu_019,ark:/21198/z128226j,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session02-156.tif,,,,1981,1981,,,"June 16 Commemorative exhibition by the Medu Art Ensemble at the Swedish Embassy, Development House, ground floor, from June 16, Open Weekdays 9:30-12:30 and 3:30-5:30, Medu Art Ensemble",,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz128226j,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz128226j/manifest
Work,"December 16 heroes day, 1983",fp_medu_020,ark:/21198/z1xm0851,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session02-148.tif,,,,1983,1983,,,"""let us arm ourselves with the fearlessness of Shaka; the vision and endurance of Moshoe-shoe; the dedication and farsightedness of Sol Plaatijie; the military initiative and guerilla tactics of Maqoma..."" December 16 - Heroes Day. South Africa Medu Art Ensemble",,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xm0851,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1xm0851/manifest
Work,"Amandla: the time has come for us to plan action that will put a stop to detention, 1981",fp_medu_021,ark:/21198/z1st9hg6,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01-066.tif,,,,1981,1981,,,,,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1st9hg6,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1st9hg6/manifest
Work,"The constellation of states: neocolonialism and imperialism, the South African way, 1979",fp_medu_023,ark:/21198/z1p28rtp,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session02-115.tif,,,,1979,1979,,,"The constellation of states: neocolonialism and imperialism, the South African way. Medu",,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p28rtp,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1p28rtp/manifest
Work,"Namibia - Swapo will make the sun rise, 1981",fp_medu_026,ark:/21198/z1j9813r,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01-071.tif,,,,1981,1981,,,Namibia: SWAPO will make the sun rise. Medu Art Ensemble,,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1j9813r,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1j9813r/manifest
Work,"The people shall defeat aggression and destabilisation in Angola, Botswana, Lesotho, Mozambique, Namibia, Swaziland, Zimbabwe, 1981",fp_medu_027,ark:/21198/z1dj7894,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01-060.tif,,,,1981,1981,,,,,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dj7894,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1dj7894/manifest
Work,Forward with unity! August 9th: 26th anniversary of South African women's day,fp_medu_028,ark:/21198/z18s6hhh,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session02-110.tif,,,,Between 1979-1985,1979/1985,,,"Forward with unity! The fighters who raise, teach and nurture the cream of our struggle still fight on: 25th anniversary of S.A. women's day, Aug. 9th.",,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz18s6hhh,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18s6hhh/manifest
Work,"Now you have touched the women you have struck a rock, South Africa Women's Day, 1981",fp_medu_029,ark:/21198/z1515rv0,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01-013.tif,,,,1981,1981,,,"Now you have touched the women you have struck a rock;you have dislodged a boulder; you will be crushed. 9 August: South Africa Women's Day, 1981",,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1515rv0,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1515rv0/manifest
Work,"June 16 - Unite, resist and act for freedom",fp_medu_030,ark:/21198/z11c3qg3,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session02-153.tif,,,,Between 1979-1985,1979/1985,,,"June 16 - unite, resist and act for freedom. Medu art Ensemble",,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11c3qg3,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11c3qg3/manifest
Work,"Free Mandela, Free our leaders, 1980",fp_medu_031,ark:/21198/z1wm3723,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session02-174.tif,,,,1980,1980,,,Free Mandela! Free our leaders! Medu,,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wm3723,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1wm3723/manifest
Work,"Seminar on creative writing at the National Museum Gaborone, Botswana",fp_medu_032,ark:/21198/z1rv2gd8,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session02-162.tif,,,,Between 1979-1985,1979/1985,,,"Seminar on creative writing, at the National Museum Gaborone, November 14 & 15, starting 8 am Saturday and 8:30 am Sunday, Organised by the Botswana Library Association, the National Book Development Council, and the Writers Association of Botswana. All are welcome. Medu Art Ensemble",,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rv2gd8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rv2gd8/manifest
Work,"The President's Council and his master's voice, 1980",fp_medu_033,ark:/21198/z1n31qmz,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session02-118.tif,,,,1980,1980,,,The president's council and his master's voice. Medu,,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n31qmz,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1n31qmz/manifest
Work,"Medu Art Ensemble presents 'Matlhasedi' National Museum, Gabarone, Botswana",fp_medu_034,ark:/21198/z1hb0ztb,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session02-161.tif,,,,Between 1979-1985,1979/1985,,,"Medu Art Ensemble presents 'MATLHASEDI' a piano recital by Tony Ceadras with Jonas Gwangwa, Denis Mpale, Steve Dyer; Poetry by Keorapetse Kgositsile, Baleka Kgositsile, National Museum, Tuesday 28th 7:30 4 pula",,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hb0ztb,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1hb0ztb/manifest
Work,And the people vote for Nelson Mandela,fp_medu_035,ark:/21198/z1ck072z,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session02-096.tif,,,,Between 1979-1985,1979/1985,,,... And the people vote Nelson Mandela. MEDU Art Ensemble.,,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ck072z,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ck072z/manifest
Work,Joe Gqabi murdered 31st July 1981: Our grief will fuel our struggle,fp_medu_036,ark:/21198/z17s9gc4,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session02-130.tif,,,,Between 1979-1985,1979/1985,,,Joe Gqabi murdered 31st July 1981: Our grief will fuel our struggle,,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz17s9gc4,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17s9gc4/manifest
Work,"Africa shall be free: we shall free her, South Africa Freedom day, 1981",fp_medu_037,ark:/21198/z1447f2f,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01-082.tif,,,,1981,1981,,,"Africa shall be free: we shall free her, June 26, South Africa Freedom Day. MEDU Art Ensemble.",,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1447f2f,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1447f2f/manifest
Work,"June 16: The courage of the youth ensures our victory, 1981",fp_medu_038,ark:/21198/z10c6pdm,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01-090.tif,,,,1981,1981,,,June 16: courage of the youth ensures our victory. MEDU Art Ensemble,,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10c6pdm,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10c6pdm/manifest
Work,"This is our land no rent increase for matchboxes - Tembisi, 1981",fp_medu_039,ark:/21198/z1vm65x9,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day02_Session04-296.tif,,,,1981,1981,,,This is our land no rent increase for matchboxes: Tembisa.,,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vm65x9,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vm65x9/manifest
Work,"Liberate the child: international year of the child, 1979",fp_medu_040,ark:/21198/z1qv5f60,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01-065.tif,,,,1979,1979,,,,,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qv5f60,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qv5f60/manifest
Work,"Post. Post Sunday Post. World. Weekend World. Joe Thloloe. Philip Mtimkhulu and others, 1981",fp_medu_043,ark:/21198/z1m34pc7,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session02-173.tif,,,,1981,1981,,,"Post, Sunday Post, World Weekend w Orld, Joe Thloloe, Philip Mtimkulu, Marumatu Subramoney, Mathata Tsedu Zwelakhe Sisulu, Don Mattera, Judy Maye... Medu Art Ensemble",,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m34pc7,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1m34pc7/manifest
Work,Open day at the Gaborone Museum Art Gallery,fp_medu_045,ark:/21198/z1gb3xm2,ark:/21198/z1h728cz|~|ark:/21198/z1zk7d59,Masters/othermasters/DEPsouthafrica/meducollection/images/MeduCollection_Day01_Session02-139.tif,,,,Between 1979-1985,1979/1985,,,"Come to the museum: Open day Saturday 29 November 9 am - 10 pm at the Gaborone Museum Art Gallery. traditional African dance and food, folk songs, drama, painting, drawing, sculpture, folks tales",,1 poster,,posters,,Medu Art Ensemble,,,,,Freedom Park Pan African Archives,still image,copyrighted,www.freedompark.co.za,,Apartheid—South Africa|~|South Africa—Politics and government—1978-1989|~|Anti-apartheid movements—South Africa,,,ingested,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gb3xm2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gb3xm2/manifest
