"Object Type","Title","Local identifier","Item ARK","Parent ARK","File Name","AltTitle.other","collection.physical","Contents note","Date.created","Date.normalized","Description.latitude","Description.longitude","Description.note","Format.dimensions","Format.extent","Format.medium","Resource type","Genre","Language","Name.creator","Named subject","Note","Place of origin","Publisher.publisherName","Repository","Statement of Responsibility","Rights.copyrightStatus","Rights.rightsHolderContact","Subject","Subject geographic","Subject temporal","Bucketeer State","IIIF Access URL"
"Work","Ramakatane archive 1958","A22_Ramakatane_86_07","ark:/21198/z1nk5692","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a22_0086_007.tif","","Ramakatane Archive (Lesotho National Museum)","Seated woman with a tjale wrapped around her waist with two men standing on either side of her and striking poses, photographed in Mr. M.T. Ramakatane's City Centre Studio","June - July 1977","1977-06/1977-07","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men|~|Women","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1nk5692"
"Work","Ramakatane archive 1959","A22_Ramakatane_88_01","ark:/21198/z1ht4fms","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a22_0088_001.tif","","Ramakatane Archive (Lesotho National Museum)","Two men in checkered short sleeve shirts striking poses with the blazers spread on a chair next to them, photographed in Mr. M.T. Ramakatane's City Centre Studio","June - July 1977","1977-06/1977-07","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ht4fms"
"Work","Ramakatane archive 1960","A22_Ramakatane_88_05","ark:/21198/z1d23pxt","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a22_0088_005.tif","","Ramakatane Archive (Lesotho National Museum)","Couple striking a pose together with the woman holding the man's hand in hers at her waist, photographed in Mr. M.T. Ramakatane's City Centre Studio","June - July 1977","1977-06/1977-07","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Couples","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1d23pxt"
"Work","Ramakatane archive 1961","A22_Ramakatane_89_01","ark:/21198/z1892z6h","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a22_0089_001.tif","","Ramakatane Archive (Lesotho National Museum)","Bride and groom in a velvet bow tie holding hands with their fingers interlocked, photographed in Mr. M.T. Ramakatane's City Centre Studio","June - July 1977","1977-06/1977-07","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Couples","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1892z6h"
"Work","Ramakatane archive 1962","A22_Ramakatane_89_05","ark:/21198/z14j26d8","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a22_0089_005.tif","","Ramakatane Archive (Lesotho National Museum)","Couple wearing large pendant necklaces standing together, the woman with her hands in the pockets of her cardigan, photographed in Mr. M.T. Ramakatane's City Centre Studio","June - July 1977","1977-06/1977-07","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Couples","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14j26d8"
"Work","Ramakatane archive 1963","A22_Ramakatane_93_06","ark:/21198/z10w054q","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a22_0093_006.tif","","Ramakatane Archive (Lesotho National Museum)","Bearded man in a double breasted winter coat seated and holding a pipe in his hand, photographed in Mr. M.T. Ramakatane's City Centre Studio","June - July 1977","1977-06/1977-07","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10w054q"
"Work","Ramakatane archive 1964","A22_Ramakatane_93_07","ark:/21198/z1w39nns","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a22_0093_007.tif","","Ramakatane Archive (Lesotho National Museum)","Woman in a short sleeve print dress with rings on her fingers seated with her arms folded and looking away from the camera, photographed in Mr. M.T. Ramakatane's City Centre Studio","June - July 1977","1977-06/1977-07","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1w39nns"
"Work","Ramakatane archive 1965","A22_Ramakatane_95_14","ark:/21198/z1rb8wwm","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a22_0095_014.tif","","Ramakatane Archive (Lesotho National Museum)","Bespectacled woman with short hair standing with her hand on her hip next to man wrapped in a blanket pinned at his neck and a pom pom beanie, photographed in Mr. M.T. Ramakatane's City Centre Studio","June - July 1977","1977-06/1977-07","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Couples","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1rb8wwm"
"Work","Ramakatane archive 1966","A22_Ramakatane_96_10","ark:/21198/z1mk8564","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a22_0096_010.tif","","Ramakatane Archive (Lesotho National Museum)","Man in a velvet jacket with fur collar seated and holding the hand of an elderly woman wrapped in a blanket, photographed in Mr. M.T. Ramakatane's City Centre Studio","June - July 1977","1977-06/1977-07","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Families","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mk8564"
"Work","Ramakatane archive 1967","A22_Ramakatane_96_16","ark:/21198/z1gt7dhv","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a22_0096_016.tif","","Ramakatane Archive (Lesotho National Museum)","Man in a double breasted blazer standing with his feet crossed and leaning with a hand on the shoulder of woman in a leather jacket seated next to him, photographed in Mr. M.T. Ramakatane's City Centre Studio","June - July 1977","1977-06/1977-07","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Couples","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gt7dhv"
"Work","Ramakatane archive 1968","A22_Ramakatane_97_05","ark:/21198/z1c26nsf","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a22_0097_005.tif","","Ramakatane Archive (Lesotho National Museum)","Man in a beanie and jeans squatting between the legs of seated man in a striped blazer with his hands on his knees, photographed in Mr. M.T. Ramakatane's City Centre Studio","June - July 1977","1977-06/1977-07","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1c26nsf"
"Work","Ramakatane archive 1969","A22_Ramakatane_97_06","ark:/21198/z1795x07","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a22_0097_006.tif","","Ramakatane Archive (Lesotho National Museum)","Blanketed woman with woollen plaits standing behind young boy in a t-shirt and shorts with her hand on his shoulder, photographed in Mr. M.T. Ramakatane's City Centre Studio","June - July 1977","1977-06/1977-07","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Families","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1795x07"
"Work","Ramakatane archive 1970","A22_Ramakatane_98_01","ark:/21198/z13n3vrq","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a22_0098_001.tif","","Ramakatane Archive (Lesotho National Museum)","Man standing with his hand on his heart under his jacket, photographed in Mr. M.T. Ramakatane's City Centre Studio","June - July 1977","1977-06/1977-07","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz13n3vrq"
"Work","Ramakatane archive 1971","A22_Ramakatane_99_12","ark:/21198/z1zw3c7c","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a22_0099_012.tif","","Ramakatane Archive (Lesotho National Museum)","Couple in sleeveless v-neck sweaters with diagonal stripes standing together with the man placing his hand on the woman's shoulder, photographed in Mr. M.T. Ramakatane's City Centre Studio","June - July 1977","1977-06/1977-07","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Couples","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zw3c7c"
"Work","Ramakatane archive 1972","A22_Ramakatane_99_17","ark:/21198/z1v42mgh","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a22_0099_017.tif","","Ramakatane Archive (Lesotho National Museum)","Couple in an embrace and smiling, with the woman seated and her face against the man's stomach, photographed in Mr. M.T. Ramakatane's City Centre Studio","June - July 1977","1977-06/1977-07","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Couples","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1v42mgh"
"Work","Ramakatane archive 1973","A22_Ramakatane_103_08","ark:/21198/z1qc1vs7","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a22_0103_008.tif","","Ramakatane Archive (Lesotho National Museum)","Two girls in crochet berets and school uniform standing together with their blazers buttoned up, photographed in Mr. M.T. Ramakatane's City Centre Studio","June - July 1977","1977-06/1977-07","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Girls","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1qc1vs7"
"Work","Ramakatane archive 1974","A22_Ramakatane_103_12","ark:/21198/z1km1446","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a22_0103_012.tif","","Ramakatane Archive (Lesotho National Museum)","Couple standing together with the man looking at his watch and the woman touching a flower in front of them, photographed in Mr. M.T. Ramakatane's City Centre Studio","June - July 1977","1977-06/1977-07","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Couples","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1km1446"
"Work","Ramakatane archive 1975","A23_Ramakatane_26_13","ark:/21198/z1fv0cbk","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a23_0026_013.tif","","Ramakatane Archive (Lesotho National Museum)","Man in dreadlocks and a plaid blazer with one hand in his pocket and holding hands with woman standing next to him behind flower basket, photographed in Mr. M.T. Ramakatane's City Centre Studio","August - December 1977","1977-08/1977-12","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Couples","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fv0cbk"
"Work","Ramakatane archive 1976","A23_Ramakatane_26_16","ark:/21198/z1b29mk5","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a23_0026_016.tif","","Ramakatane Archive (Lesotho National Museum)","Man in a golf hat and pants with suspenders standing with his arm around seated woman in a beret holding an infant in a bib on her lap, photographed in Mr. M.T. Ramakatane's City Centre Studio","August - December 1977","1977-08/1977-12","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Couples","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1b29mk5"
"Work","Ramakatane archive 1977","A23_Ramakatane_27_04","ark:/21198/z16d7k9m","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a23_0027_004.tif","","Ramakatane Archive (Lesotho National Museum)","Woman dressed in a leather jacket and pants seated with her nail polished fingers folded under her chin, photographed in Mr. M.T. Ramakatane's City Centre Studio","August - December 1977","1977-08/1977-12","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz16d7k9m"
"Work","Ramakatane archive 1978","A23_Ramakatane_27_05","ark:/21198/z12n6tjf","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a23_0027_005.tif","","Ramakatane Archive (Lesotho National Museum)","Two women in LECSA Mothers' union uniform standing and shaking hands, photographed in Mr. M.T. Ramakatane's City Centre Studio","August - December 1977","1977-08/1977-12","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Women","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz12n6tjf"
"Work","Ramakatane archive 1979","A23_Ramakatane_27_07","ark:/21198/z1xw6b2j","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a23_0027_007.tif","","Ramakatane Archive (Lesotho National Museum)","Teen dressed in soccer gear posing as if to kick a ball and looking into the camera, photographed in Mr. M.T. Ramakatane's City Centre Studio","August - December 1977","1977-08/1977-12","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Teens","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xw6b2j"
"Work","Ramakatane archive 1980","A23_Ramakatane_27_13","ark:/21198/z1t45kck","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a23_0027_013.tif","","Ramakatane Archive (Lesotho National Museum)","Man in a polo shirt and plaid jacket seated, photographed in Mr. M.T. Ramakatane's City Centre Studio","August - December 1977","1977-08/1977-12","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Men","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1t45kck"
"Work","Ramakatane archive 1981","A23_Ramakatane_28_05","ark:/21198/z1pc4tp9","ark:/21198/z12r5hwv","Masters/othermasters/MEAPmigration/ramakatanearchive/images/lnm_ramakatane_a23_0028_005.tif","","Ramakatane Archive (Lesotho National Museum)","Two teenage girls in school uniform standing behind flower basket on stool with their jackets hanging on their forearms, photographed in Mr. M.T. Ramakatane's City Centre Studio","August - December 1977","1977-08/1977-12","","","","6 x 6cm","1 negative","","still image","black-and-white photographs","","M.T. Ramakatane","","","","","Lesotho National Museum|~|Photography Legacy Project","","copyrighted","https://www.plparchive.com/contact/","Maseru (Lesotho)|~|Portrait photography|~|Vernacular photography|~|Independence|~|Teens","","","succeeded","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1pc4tp9"
