Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,viewingHint,Text direction,Visibility,IIIF Range,Subject,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.servicesContact,Name.repository,Language,Title,Description.abstract,Description.note,Publisher.placeOfOrigin,Date,Source,Relation.isPartOf,Format.dimensions,Date.creation,AltTitle.descriptive,AltTitle.other,Format.extent,Date.normalized,Bucketeer State,IIIF Access URL
Index of Medieval Medical Images,ark:/21198/zz0000zvzf,ark:/21198/zz0000zv1g,2,Completed,Page,immi/masters/vm2f123.tif,110,,,,,,,,"Plants, Medicinal|~|Compositae|~|Herbal illustrations - Italy - 1500|~|Leguminosae|~|Valerianaceae|~|Herbs",still image,illuminated manuscripts,pd,,,,Spico danardo. Trifolium. Two types of Serpentira.,"Four plants, two individual plants and one group of two plants: Plant, ""Spico danardo,"" perhaps intended to represent the classic north Indian source of spikenard (family Valerianaceae) Nardostachys jatamansi, or one of the European substitutes (family Compositae, Tribe) Inula helenium, Elecampane, or I. conyza, Cinnamon-root, Fleawort, Fly-bane, a single verticle stem bearing dentate ovate leaves and terminating in a pale cigar-shaped inflorescence rising from the top a forty-five degree angle.   Plant, ""Trifolium"" (family Leguminosae, subfamily Faboideae) Trifolium, sp., possibly Trifolium repens (White Clover), T. pratense, Red Clover, or T. incarnatum, Crimson Clover, Italian Clover, a single vertical stem bearing, on long petioles, pointed three-lobed leaves with a pale spot at the center of each lobe, and terminating in a large vertical cigar-shaped bud or pod. Two plants, lower l. and r., alternate forms of ""Serpentira,"" the first arising from a tuberous root with a snake-like twist, a single vertical stem bearing opposite pointed ovate leaves and showing near the top a bulbous swelling and down-curving stipules before terminating in three peduncles bearing funnel-shaped flowers. The alternate form is similar but with slightly more cordate leaves, no swelling on the stem, and flowers that appear more like composite inflorescences.  Adjacent text: Italian herbal.","(Italy), ca. 1500.",Italy,,University of Vermont. Library. MS 2. [Italian herbal]. [ca. 1500] MS 2 fol. 123,,,1500,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zvzf
Index of Medieval Medical Images,ark:/21198/zz0000zw0f,ark:/21198/zz0000zv1g,2,Completed,Page,immi/masters/vm2f124.tif,90,,,,,,,,"Plants, Medicinal|~|Herbal illustrations - Italy - 1500|~|Rosaceae|~|Herbs",still image,illuminated manuscripts,pd,,,,Pimpinella sanguisorbula herba. Bustima vel bustama. Herba triacho.,"Three plants: Plant, top, ""Pimpinella sanguisorbula"" (family Rosaceae), either Sanguisorba officinalis, Great Burnet, Burnet Bloodwort, or Poterium sanguisorba, formerly Sanguisorba minor, Salad Burnet, above a tight cluster of roots, many radiating petioles bearing compound leaves with pointed ovate finely serrate leaflets in an odd-pinate arrangement, growing from thick root, green with red and green flower clusters, and red and black roots. Plant, bottom l., ""Bustim vel bustama,"" above very tangled pale tubular roots with an apparent runner emerging, an unbranched vertical stem with large pointed clasping leaves, green with brown roots. Plant, bottom r., ""Triacho"" above a fanlike cluster of roots, each marked by a swollen spherical node, a single vertical stem bears ovate crennate leaves and two tiers of nodal inflorescences and a three-branched terminal inflorescence, green with red flowers and brown roots.  Adjacent text: Italian herbal.","(Italy), ca. 1500.",Italy,,University of Vermont. Library. MS 2. [Italian herbal]. [ca. 1500] MS 2 fol. 124,,,1500,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zw0f
Index of Medieval Medical Images,ark:/21198/zz0000zw1z,ark:/21198/zz0000zv1g,2,Completed,Page,immi/masters/vm2f125.tif,81,,,,,,,,"Plants, Medicinal|~|Herbal illustrations - Italy - 1500|~|Herbs",still image,illuminated manuscripts,pd,,,,Leont(i)spodum vel pes leonis. Bulbo gareb. Jorobotam.,"Three plants: Plant, top, ""Leont(i)spodum vel pes leonis,"" not a match to Alchemilla vulgaris or Helleborus niger, as the name would suggest, three straight radiating stems with swollen bases, each bearing pointed elliptical upper leaves or stipules, tubular internodal flowers and terminating in a five-pointed structure, green with red and green leaves, red roots, and white flowers. Plant, middle r., ""Bulbo gareb"" bears radiating leaves without a stem growing from a rounded bulb, green with yellow base. Plant, bottom, ""Jorobotam,"" bears elliptical basal leaves and a three-branched inflorescence,  green with red roots and red flowers.  Adjacent text: Italian herbal.","(Italy), ca. 1500.",Italy,,University of Vermont. Library. MS 2. [Italian herbal]. [ca. 1500] MS 2 fol. 125,,,1500,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zw1z
Index of Medieval Medical Images,ark:/21198/zz0000zw2g,ark:/21198/zz0000zv1g,2,Completed,Page,immi/masters/vm2f126.tif,75,,,,,,,,"Plants, Medicinal|~|Compositae|~|Herbal illustrations - Italy - 1500|~|Herbs|~|Caryophyllaceae|~|Swords",still image,illuminated manuscripts,pd,,,,Gisilliricho. Personamgie. Cyocodriliom. Purpurea.,"Four plants: Plant, top l., ""Gisilliricho"" bears radiating basal oblanceolate leaves in a fan-like pattern and two rising stems each terminating in a bud-like flowering structure, green with red flowers and red roots. Plant, top r., ""Personamgie"" perhaps (family Compositae) Arctium lappa, Burdock, or a related species, central vertical stem with one tier of branches, both stem and branches bearing incised opposite ovate leaves and terminating in flower buds, green with gray roots. Plant, bottom l., ""Cyocodriliom"" five straight, radiating stems each bearing alternating crennate ovate leaves and terminating in clusters of small flowers, growing from a thick root, green with red flowers, and red on bottom of root. Plant, bottom r., ""Purpurea"" perhaps (family Caryophyllaceae) Lychnis, sp. Campion, three straight, radiating stems, each bearing alternating lanceolate leaves and terminating in clusters of sizable flowers, red, with green leaves. Cf. Penzig, 2, p. 411 on ""Purpurea."" Figure associated with plant, ""Purpurea"": green snake, with mouth opened and tongue out, coils around the central stem of plant.  Adjacent text: Italian herbal.","(Italy), ca. 1500.",Italy,,University of Vermont. Library. MS 2. [Italian herbal]. [ca. 1500] MS 2 fol. 126,,,1500,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zw2g
Index of Medieval Medical Images,ark:/21198/zz0000zw30,ark:/21198/zz0000zv1g,2,Completed,Page,immi/masters/vm2f127.tif,108,,,,,,,,"Liliaceae|~|Plants, Medicinal|~|Bulbs (Botany)|~|Herbal illustrations - Italy - 1500|~|Herbs|~|Cruciferae|~|Swords",still image,illuminated manuscripts,pd,,,,Solio vel solis vel folio. Bulbo oroseny. Rapo.,"Three plants: Plant, top l., ""Solio vel solis"" bears radiating linear/lanceolate leaves each with a dark central spine and two rising stems each bearing a trumpet-shaped flower, green with white roots. Plant, top r., ""Bulbo oroseny"" an unbranched vertical stem terminating in a dense cone-like flower head with two large elliptical leaves at base, growing from a spherical bulb, green with red bulb and red flowers. Plant, bottom, ""Rapo"" (family Cruciferae) Brassica sp., probably B. rapa, Common Turnip, leaves, lobed in a pinnate configuration, with prominent white central spine and a vein in each lobe, grow from turnip-shaped root with no pronounced central stem, green leaves with white stem and white root. A bifurcated flower stem rises above bearing elongated pale seed pods. Figures associated with plant, ""Solio vel"": brown meat cleaver or razor to l. of  plant; brown dagger or sword to r. of plant, both pointing upward, with blade of l. instrument facing l.  Adjacent text: Italian herbal.","(Italy), ca. 1500.",Italy,,University of Vermont. Library. MS 2. [Italian herbal]. [ca. 1500] MS 2 fol. 127,,,1500,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zw30
Index of Medieval Medical Images,ark:/21198/zz0000zw4h,ark:/21198/zz0000zv1g,2,Completed,Page,immi/masters/vm2f128.tif,8,,,,,,,,"Plants, Medicinal|~|Compositae|~|Bulbs (Botany)|~|Herbal illustrations - Italy - 1500|~|Herbs|~|Flowers",still image,illuminated manuscripts,pd,,,,Appolinaris. Chamomeleon. Sliatriceo. Narcissus.,"Four plants: Plant, top l., ""Appolinaris"" many linear leaves and flowering stems radiate from the upper part of a spherical bulb, each flower multi-lobed, and laterally symmetrical, pink on the l., white on the r. side, green with red root. Plant, top r., ""Chamomeleon,"" perhaps (family Compositae, Carduus Tribe) Atractylis cancellata, Pine Thistle, three compound inflorescences branching from a vertical stem bearing pointed leaves and flowers, with two large leaves at base, green with yellow roots and yellow flowers. Plant, bottom l., ""Sliatriceo"" three straight, radiating stems, bearing alternate lancelate leaves, growing from thick root, green. Plant, bottom r., ""Narcissus"" (family Amaryllidaceae, sometimes combined with Liliaceae) Narcissus, sp., two radiating stems with three yellow flowers at tip, growing from a strange vase-shaped stem (?) with three linear leaves extending horizontally from each side, green with brown root.  Adjacent text: Italian herbal.","(Italy), ca. 1500.",Italy,,University of Vermont. Library. MS 2. [Italian herbal]. [ca. 1500] MS 2 fol. 128,,,1500,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zw4h
Index of Medieval Medical Images,ark:/21198/zz0000zw51,ark:/21198/zz0000zv1g,2,Completed,Page,immi/masters/vm2f129.tif,125,,,,,,,,"Plants, Medicinal|~|Herbal illustrations - Italy - 1500|~|Herbs",still image,illuminated manuscripts,pd,,,,Two types of Herba illiris. Two types of Herba soleni.,"Two groups of two plants. First group, two forms of ""Illiris."" The first, upper l. growing from a pair of tubers, a single oblanceolate leaf and two peduncles bearing roughly funnel-shaped flowers, white, though the caption notes ""Fiore purpurea"" the alternatve form, upper r., similar but the single leaf is ovate and crennate and the tubers end in radiating roots, and the flower is white, in agreement with the caption ""fiore biancho.""  The second, ""Soleni,"" lower l. growing from a trio of tubers, three radiating stems bearing lanceolate leaves and terminating in dark rounded flower heads, resting in calyxes, the alternate form, lower r., similar except the flowers are light-colored. Adjacent text: Italian herbal.","(Italy), ca. 1500.",Italy,,University of Vermont. Library. MS 2. [Italian herbal]. [ca. 1500] MS 2 fol. 129,,,1500,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zw51
Index of Medieval Medical Images,ark:/21198/zz0000zw6j,ark:/21198/zz0000zv1g,2,Completed,Page,immi/masters/vm2f13.tif,46,,,,,,,,"Plants, Medicinal|~|Male nude|~|Pods (Botany)|~|Compositae|~|Bulbs (Botany)|~|Herbal illustrations - Italy - 1500|~|Roots (Botany)|~|Herbs|~|Defecation|~|Berries",still image,illuminated manuscripts,pd,,,,Erba luccia terza. Two types of inula campana.,"Three plants, one individual plant and one group of two plants: Plant, top, ""Luccia terza vel capo duomo in greco,"" bears radiating leaves and four rising stems each with a berry at the tip, green with black-marked red berries and brown bulblike roots. Two plants called ""Inula campana"" perhaps (family Compositae, Inula tribe) Inula helenium, Elecampane, though not a good likeness, the first, bottom l., a central vertical stem with two tiers of branches (compound leaves), bearing two flowers at top, green with white flowers and brown roots, the second, bottom center, a central vertical stem with one tier of leaves, terminating in two flowers, and four seed pods, green with white flowers, white seed pods, and brown roots.  Figures associated with plant, ""Erba luccia terza,"" top: root of plant has the shape of a man's face in a sunburst-like form apparently to stand for one of its names, ""capo duomo,"" and to indicate the usefulness of the root.  Figures associated with plant, ""Inula campana,"" bottom right:  facing plant, nude person sits defecating while holding stick in r. hand.  Adjacent text: Italian herbal.","(Italy), ca. 1500.|~|Caption above first image: Cancer.|~|Text beginning to l. of first image: Erba luccia terza vel capo duomo in greco nasce in monti marmosi ... Laradice partata ha forza ...",Italy,,University of Vermont. Library. MS 2. [Italian herbal]. [ca. 1500] MS 2 fol. 13,,,1500,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zw6j
Index of Medieval Medical Images,ark:/21198/zz0000zw72,ark:/21198/zz0000zv1g,2,Completed,Page,immi/masters/vm2f130.tif,3,,,,,,,,"Solanaceae|~|Plants, Medicinal|~|Herbal illustrations - Italy - 1500|~|Herbs",still image,illuminated manuscripts,pd,,,,Alihecangji vel solagio rosso.,"One plant, stylized, center, ""Alihecangji vel solagio"" (family Solanaceae) Physalis alkekengi, Winter Cherry, five nearly straight, radiating stems emerging from a short base, bearing alternate ovate to lanceolate leaves and seed pods, green with red markings on seed pods. Adjacent text: Italian herbal.","(Italy), ca. 1500.",Italy,,University of Vermont. Library. MS 2. [Italian herbal]. [ca. 1500] MS 2 fol. 130,,,1500,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zw72
Index of Medieval Medical Images,ark:/21198/zz0000zw8k,ark:/21198/zz0000zv1g,2,Completed,Page,immi/masters/vm2f131.tif,25,,,,,,,,"Plants, Medicinal|~|Herbal illustrations - Italy - 1500|~|Roots (Botany)|~|Herbs|~|Polypodiaceae",still image,illuminated manuscripts,pd,,,,Disacchos. Filios. Filiosmis. Frigos minor.,"Four plants: Plant, top l., ""Disacchos"" no pronounced central stem, resembling a fern, four radiating branches bearing small leaves (or odd-pinnate compound leaves with small leaflets), green with brown roots. Plant, top r., ""Filios"" a central vertical stem with two tiers of branches, each bearing a pair of stipules and a pointed cluster of flowers at the end, green leaves, red stems, white flowers and brown roots. Plant, bottom l., ""Filiosmis,"" (family Polypodiaceae), probably Cystopteris fragilis, Bladder Fern, or Dryopteris Filix-mas, Wood Fern, one large compound leaf, with large leaflets, the two at the base dentate, green with red roots. Plant, bottom r., ""Frigos minor"" straight, radiating stems perhaps flower spikes, with two large dentate leaves at base, red. Adjacent text: Italian herbal.","(Italy), ca. 1500.",Italy,,University of Vermont. Library. MS 2. [Italian herbal]. [ca. 1500] MS 2 fol. 131,,,1500,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zw8k
Index of Medieval Medical Images,ark:/21198/zz0000zw93,ark:/21198/zz0000zv1g,2,Completed,Page,immi/masters/vm2f132.tif,36,,,,,,,,"Plants, Medicinal|~|Herbal illustrations - Italy - 1500|~|Breast Feeding|~|Women|~|Herbs",still image,illuminated manuscripts,pd,,,,Erba circiana. Erba filox vel herba busiles.,"Two plants: Plant, top, ""Circiana"" an unbranched vertical stem bearing opposite ovate leaves, and small rounded sessile berries or flowers at the top two nodes, green with white flowers and brown roots. Plant, bottom, ""Filox vel herba busiles"" (family Polypodiaceae), probably Cystopteris fragilis, Bladder Fern, no pronounced central stem, two compound odd-pinnate leaves with lanceolate leaflets, growing from two long, straight roots pinched at intervals, making them look like a series of bladders, green with brown roots. Figures associated with plant, ""Erba filox vel herba busiles"":  Below the plant, a woman with white hair lies in brown bed, head to l., with red blanket covering her legs and stomach, head propped up.  She holds a baby (wrapped in a red and white blanket) and appears to be breast-feeding.  Adjacent text: Italian herbal.","(Italy), ca. 1500.",Italy,,University of Vermont. Library. MS 2. [Italian herbal]. [ca. 1500] MS 2 fol. 132,,,1500,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zw93
Index of Medieval Medical Images,ark:/21198/zz0000zwbm,ark:/21198/zz0000zv1g,2,Completed,Page,immi/masters/vm2f133.tif,7,,,,,,,,"Plants, Medicinal|~|Herbal illustrations - Italy - 1500|~|Snakes|~|Herbs",still image,illuminated manuscripts,pd,,,,Appio.,"One plant, top, ""Appio"" (family Umbelliferae), probably Apium graveolens (Celery), a central vertical stem with one tier of branches bearing trifoliate crennate leaves, and terminating in three umbels of small white flowers, green with white striped flowers. Figure associated with plant, ""Appio"":  a green and brown snake approaching the plant from the lower r. side with its mouth opened.  Adjacent text: Italian herbal.","(Italy), ca. 1500.",Italy,,University of Vermont. Library. MS 2. [Italian herbal]. [ca. 1500] MS 2 fol. 133,,,1500,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zwbm
Index of Medieval Medical Images,ark:/21198/zz0000zwc4,ark:/21198/zz0000zv1g,2,Completed,Page,immi/masters/vm2f134.tif,53,,,,,,,,"Dogs|~|Plants, Medicinal|~|Male nude|~|Herbal illustrations - Italy - 1500|~|Herbs|~|Lamiaceae",still image,illuminated manuscripts,pd,,,,Erba pomaria romana vel pomeriola vel conciliata vel dopion vel herba bumeriacha.  Erba Lapidaria montana vel somaria vel Asinariacha vel frassaria.,"Two plants: Plant, top, ""Pomaria romana"" perhaps (family Lamaiceae, formerly Labiatae) Phlomis tuberosa, Tuberous Jerusalem Sage, a basal cluster of leaves and an unbranched vertical stem with small leaves, terminating in a rounded flower head protected by a calyx, growing from a long hirsute rhizome or string of tubers, green with brown root and red flower. Plant, bottom, ""Lapidaria montana"" a central vertical stem with one tier of branches bearing seed pods, with a funnel-shaped flower at top and two large leaves at base, green with red flower, white roots, and white seed pods.  Figures associated with plant, ""Erba pomaria romana"": To the l. of the plant, a naked man is standing with his r. hand up holding a plant or a stick preparing to strike the brown dog l., biting him on the r. knee.  Blood gushes from the r. knee. Figures apparently dramatize plant's use against the bite of rabid dogs ""contro amorso dichane rabbiosa."" The second herb on this page, ""lapidaria montana,"" is also alleged to be an antivenom: ""vale al morso delchane rabbioso imorso di vermi verlenosi""   Adjacent text: Italian herbal.","(Italy), ca. 1500.",Italy,,University of Vermont. Library. MS 2. [Italian herbal]. [ca. 1500] MS 2 fol. 134,,,1500,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zwc4
Index of Medieval Medical Images,ark:/21198/zz0000zwdn,ark:/21198/zz0000zv1g,2,Completed,Page,immi/masters/vm2f135.tif,16,,,,,,,,"Plants, Medicinal|~|Herbal illustrations - Italy - 1500|~|Herbs",still image,illuminated manuscripts,pd,,,,Chapalios. Sequdario.,"Two plants: Plant, top, ""Chapalios,"" a central vertical stem with three tiers of branches bearing flowers or berries,, with small pointed elliptical leaves or stipules on the central stem and two ring-like structures, perhaps tubers, at the base, green with white flowers and white roots. Plant, bottom, ""Sequdario,"" three radiating branches bearing alternate lanceolate leaves emerge from a thick vase-shaped stem or tuber, and root-like structures spread from the top of the vase-like structure, green with gray roots.  Adjacent text: Italian herbal.","(Italy), ca. 1500.",Italy,,University of Vermont. Library. MS 2. [Italian herbal]. [ca. 1500] MS 2 fol. 135,,,1500,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zwdn
Index of Medieval Medical Images,ark:/21198/zz0000zwf5,ark:/21198/zz0000zv1g,2,Completed,Page,immi/masters/vm2f136.tif,111,,,,,,,,"Primulaceae|~|Plants, Medicinal|~|Herbal illustrations - Italy - 1500|~|Herbs",still image,illuminated manuscripts,pd,,,,Spigo nardo. Sanaello.,"Two plants: Plant, top l., ""Spigo nardo"" perhaps intended to represent the classic north Indian source of spikenard (family Valerianaceae) Nardostachys jatamansi, or one of the European substitutes (family Compositae, Tribe) Inula helenium, Elecampane, or I. conyza, Cinnamon-root, Fleawort, Fly-bane, Plant, ""Trifolium"" (family Leguminosae, subfamily Faboideae) Trifolium, sp., possibly Trifolium repens (White Clover), T. pratense, Red Clover, or T. incarnatum, Crimson Clover, Italian Clover a central vertical stem with three tiers of leaves, but only on right side, with feather shaped roots and top leaf, green with yellow roots and yellow leaf. Plant, middle r., ""Sanaello"" perhaps a stylized portrayal of (family Primulaceae) Primula auricula, Mountain Cowslip, Sanicola, an unbranched vertical stem with large spiky leaves, and two flowers at top, green with white flowers.   Figures associated with plant, ""Sanaello"":  Four human faces (brown on l. half, white on r. half) are connected (one above the other) along the single root of the plant like beads on a string.  Adjacent text: Italian herbal.","(Italy), ca. 1500.",Italy,,University of Vermont. Library. MS 2. [Italian herbal]. [ca. 1500] MS 2 fol. 136,,,1500,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zwf5
Index of Medieval Medical Images,ark:/21198/zz0000zwgp,ark:/21198/zz0000zv1g,2,Completed,Page,immi/masters/vm2f137.tif,117,,,,,,,,"Plants, Medicinal|~|Ranunculaceae|~|Herbal illustrations - Italy - 1500|~|Roots (Botany)|~|Herbs",still image,illuminated manuscripts,pd,,,,Turboris saldenallo fa fiore biancho. Napallo.,"Two plants: Plant, top, ""Turboris saldenallo"" stems arising from a rhizome or stout runner in a vertical row, each bearing alternate large ovate leaves and flowers borne on long axillary peduncles,  green with white flowers and a white and brown root. Plant, stylized, bottom, ""Napallo,"" probably intended to portray (family Ranunculaceae) Aconitum napellus, Monkshood, a central vertical stem with two tiers of five lobed leaves, terminating in a bowl-shaped flowering structure, all growing from a large carrot-shaped root (perhaps intended to suggest the frequent use of root in lotions), green with red root and red flower. Figure associated with plant, ""Napallo"":  A small white rodent (rabbit? rat?) is embedded in, or walking upon, the large root of the plant.  Adjacent text: Italian herbal.","(Italy), ca. 1500.",Italy,,University of Vermont. Library. MS 2. [Italian herbal]. [ca. 1500] MS 2 fol. 137,,,1500,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zwgp
Index of Medieval Medical Images,ark:/21198/zz0000zwh6,ark:/21198/zz0000zv1g,2,Completed,Page,immi/masters/vm2f138.tif,9,,,,,,,,"Primulaceae|~|Plants, Medicinal|~|Herbal illustrations - Italy - 1500|~|Herbs",still image,illuminated manuscripts,pd,,,,Arbor rubarto. Parlasis.,"Two plants: Plant, top, ""Arbor rubarto"" no pronounced central stem, two sinuous side branches bearing deeply incised roughly elliptical leaves and irregularly spaced small three-lobed flowers with crennate edges, green with red flowers and brown roots. Plant, bottom, ""Parlasis"" (family Primulaceae) Primula veris, Cowslip, Primrose, bears radiating leaves and six rising peduncles, each bearing a conical flower at tip, green with brown flowers and brown roots.  Adjacent text: Italian herbal.","(Italy), ca. 1500.",Italy,,University of Vermont. Library. MS 2. [Italian herbal]. [ca. 1500] MS 2 fol. 138,,,1500,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zwh6
Index of Medieval Medical Images,ark:/21198/zz0000zwjq,ark:/21198/zz0000zv1g,2,Completed,Page,immi/masters/vm2f139.tif,17,,,,,,,,"Plants, Medicinal|~|Herbal illustrations - Italy - 1500|~|Pinaceae|~|Herbs",still image,illuminated manuscripts,pd,,,,Choagulus vel aplona. Pino.,"Two plants: Plant, top, ""Choagulus vel aplona"" three radiating stems, the central one vertical and the other two curving upwards, all deeply segmented or jointed, perhaps succulent, and two of them terminating in clusters of three roughly conical flowers in deep calyxes, green with white flowers and red roots. Plant, bottom, ""Pino,"" perhaps a distorted portrayal of (family Pinaceae) Pinus sp., Pine, or Abies sp. Fir, an unbranched vertical stem with small opposite pointed acuminate leaves, bearing a large flower or cone at top, green with white flower and red roots.  Adjacent text: Italian herbal.","(Italy), ca. 1500.",Italy,,University of Vermont. Library. MS 2. [Italian herbal]. [ca. 1500] MS 2 fol. 139,,,1500,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zwjq
Index of Medieval Medical Images,ark:/21198/zz0000zwk7,ark:/21198/zz0000zv1g,2,Completed,Page,immi/masters/vm2f14.tif,49,,,,,,,,"Plants, Medicinal|~|Pods (Botany)|~|Herbal illustrations - Italy - 1500|~|Rosaceae|~|Roots (Botany)|~|Herbs|~|Cruciferae|~|Flowers",still image,illuminated manuscripts,pd,,,,Erba pinistrella francichiola. Erba peadion maggiore.,"Two plants: Plant, top, ""Pinistrella francichiola vel pinaria idem est,"" apparently a crucifer (family Cruciferae) bearing some resemblance to Pastinacha sp., Parsnip, genus uncertain, three radiating compound leaves without a stem above a very thick spindle-like root, green with white roots. Plant, center, ""Peadion maggiore,"" somewhat resembling (family Rosaceae) Sanguisorba officinalis, Great Burnet, a central vertical stem bearing  one tier of branches (compound leaves), green, terminating in red flowers, white seed pods, and brown roots. Adjacent text: Italian herbal.","(Italy), ca. 1500.",Italy,,University of Vermont. Library. MS 2. [Italian herbal]. [ca. 1500] MS 2 fol. 14,,,1500,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zwk7
Index of Medieval Medical Images,ark:/21198/zz0000zwmr,ark:/21198/zz0000zv1g,2,Completed,Page,immi/masters/vm2f140.tif,62,,,,,,,,"Primulaceae|~|Plants, Medicinal|~|Herbal illustrations - Italy - 1500|~|Herbs",still image,illuminated manuscripts,pd,,,,Erba tofornas. Trogaderia mazeoro.,"Two plants: Plant, top, ""Tofornas"" emerging from a gnarled, pale rhizome, an unbranched vertical stem with two large five-lobed leaves at base and flowers at top, green with white flowers and roots. Plant, bottom, ""Trogaderia mazeoro"" perhaps an attempt to represent (family Primulaceae) Lysimachia vulgaris, Common Yellow Loosestrife, an unbranched vertical stem with large leaves, terminating in a cluster of three flowers at top, green with brown flowers and brown roots. On ""Mazza d'oro"" as a name for Lysimachia, see Bedevian, p. 376, itm 2174.  Adjacent text: Italian herbal.","(Italy), ca. 1500.",Italy,,University of Vermont. Library. MS 2. [Italian herbal]. [ca. 1500] MS 2 fol. 140,,,1500,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zwmr
Index of Medieval Medical Images,ark:/21198/zz0000zwn8,ark:/21198/zz0000zv1g,2,Completed,Page,immi/masters/vm2f141.tif,123,,,,,,,,"Liliaceae|~|Plants, Medicinal|~|Herbal illustrations - Italy - 1500|~|Herbs|~|Scrophulariaceae|~|Lamiaceae",still image,illuminated manuscripts,pd,,,,Two types of Erba frassinella suggello santa Maria maggiore. Erba pinellina minore.,"Three plants, one group of two plants, upper l. and upper r., and one individual, lower center. Top, two examples of ""Erba Frassinella sugello santa Maria,"" the first, l., resembling (family Liliaceae)  Polygonatum odoratum or Polygonatum officinale, Solomon's Seal, emerging from a much jointed pale rhizome, a tall stem drooping far to the r., bearing opposite pairs of pointed elliptical leaves and axillary flowers and buds hanging below. The alternate form, r., has a quite vertical stem arising from a simpler rhizome. The latter slightly resembling (family Scrophulariaceae) Digitalis purpurea, Foxglove, formerly known as ""St. Mary's Seal.""  Plant, lower center, ""Erba pinellina minore"" (family Lamiaceae, formerly Labiatae) Stachys arvensis, Corn Stachys, Field Betony, emerging from a round tuber a branched vertical stem bears two large pointed elliptical leaves, and two tiers of spotted ovate buds or berries. Adjacent text: Italian herbal.","(Italy), ca. 1500.",Italy,,University of Vermont. Library. MS 2. [Italian herbal]. [ca. 1500] MS 2 fol. 141,,,1500,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zwn8
Index of Medieval Medical Images,ark:/21198/zz0000zwps,ark:/21198/zz0000zv1g,2,Completed,Page,immi/masters/vm2f15.tif,35,,,,,,,,"Solanaceae|~|Plants, Medicinal|~|Herbal illustrations - Italy - 1500|~|Rosaceae|~|Roots (Botany)|~|Snakes|~|Women|~|Herbs|~|Antidotes|~|Berries",still image,illuminated manuscripts,pd,,,,Erba cesaria palmoriacha. Erba rossella.,"Two plants: Plant, top, ""Cesaria palmoriacha,"" resembles a member of family Solaneaceae, genus undetermined, alternating leaves and berries from a vertical stem, green with blue berries and large brown root. Plant, bottom, ""Rossella,"" identity undetermined, but resembling (family Rosaceae) Rosa sp., Rose, two compound leaves sprout from a short thick stem, green with red flowers and brown roots, much twisted. Figure associated with plant, ""Cesaria palmoniacha"":  woman, l., with arms outstretched, is being bitten by brown and green snake on l. thigh apparently to indicate the herb's effectiveness against bites, ""vale a morso di serpente.""  Blood spills downward.  Adjacent text: Italian herbal.","(Italy), ca. 1500.|~|Text beginning to l. of first image: Cesaria palmoriacha nascire in luogi alpestri lapidosi ... vale a morso di serpente ...|~|Text beginning to l. of second image: Erba rossella nasce in luogi alpestori sabiosi, et non in petrosi...",Italy,,University of Vermont. Library. MS 2. [Italian herbal]. [ca. 1500] MS 2 fol. 15,,,1500,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0000zwps
