Item ARK,Parent ARK,Parent ARK,Object Type,Title,STAGE URL,Thumbnail,File Name,AltTitle.other,Item Sequence,collection.physical,Contents note,Date.created,Date.normalized,Description.latitude,Description.longitude,Description.note,Format.dimensions,Format.extent,Format.medium,Genre,Language,Local identifier,Name.creator,Name.subject,Note,Place of origin,Publisher.publisherName,Repository,Type.typeOfResource,Rights.copyrightStatus,Rights.rightsHolderContact,Statement of Responsibility,Subject,Subject geographic,Subject temporal,viewingHint,IIIF Manifest URL
ark:/21198/z1pr9p1t,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Group portrait of workers on site,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1pr9p1t,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hm76j2,0002kh00078_DC01-M.tif,,,Fouad el Khoury Collection,,1923,1923,,,,8.4 cm x 11.5 cm,1 photograph,Gelatin silver negative on cellulose nitrate film,black-and-white photographs,,0002kh00078|~|Collection 0002kh|~|Box 55,,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,construction|~|labor|~|physical labor|~|traditional attire|~|collective work|~|community|~|gender norms|~|childhood|~|drinking|~|working class,Bhannes (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1pr9p1t/manifest
ark:/21198/z1k08xdr,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,"Group portrait of Daughters of Charity, accompanied by a man and a child",https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1k08xdr,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1864dhn,0002kh00079_DC01-M.tif,,,Fouad el Khoury Collection,,1923,1923,,,,8.5 cm x 11.8 cm,1 photograph,Gelatin silver negative on cellulose nitrate film,black-and-white photographs,,0002kh00079|~|Collection 0002kh|~|Box 55,,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,community|~|religion|~|christianity|~|catholicism|~|gender norms|~|gender roles|~|religious attire|~|church|~|catholic church|~|roman catholicism|~|women community|~|religious community|~|female community|~|roman catholic church|~|faith|~|nature,Bhannes (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1k08xdr/manifest
ark:/21198/z1fb6w29,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,"Group portrait of Daughters of Charity, accompanied by a man",https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1fb6w29,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10p2x2m,0002kh00080_DC01-M.tif,,,Fouad el Khoury Collection,,1923,1923,,,,8.5 cm x 11.9 cm,1 photograph,Gelatin silver negative on cellulose nitrate film,black-and-white photographs,,0002kh00080|~|Collection 0002kh|~|Box 55,,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,community|~|religion|~|christianity|~|catholicism|~|gender norms|~|gender roles|~|religious attire|~|church|~|catholic church|~|roman catholic church|~|roman catholicism|~|women community|~|religious community|~|female community|~|faith|~|nature,Bhannes (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1fb6w29/manifest
ark:/21198/z19k64dv,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,"Group portrait of Daughters of Charity, accompanied by a man and a child",https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z19k64dv,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1r51nvw,0002kh00081_DC01-M.tif,,,Fouad el Khoury Collection,,1923,1923,,,,8.5 cm x 11.7 cm,1 photograph,Gelatin silver negative on cellulose nitrate film,black-and-white photographs,,0002kh00081|~|Collection 0002kh|~|Box 55,,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,community|~|religion|~|christianity|~|catholicism|~|gender norms|~|gender roles|~|religious attire|~|church|~|catholic church|~|roman catholicism|~|roman catholic church|~|women community|~|religious community|~|female community|~|faith|~|nature,Bhannes (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz19k64dv/manifest
ark:/21198/z15t5cp4,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Group snapshot by the Saint Vincent de Paul statue,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z15t5cp4,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gq8vv2,0002kh00082_DC01-M.tif,,,Fouad el Khoury Collection,,1923,1923,,,,8.5 cm x 11.8 cm,1 photograph,Gelatin silver negative on cellulose nitrate film,black-and-white photographs,,0002kh00082|~|Collection 0002kh|~|Box 55,,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,community|~|religion|~|priesthood|~|sainthood|~|religious attire|~|church|~|catholic church|~|roman catholic church|~|catholicism|~|roman catholicism,Bhannes (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz15t5cp4/manifest
ark:/21198/z1224mwt,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Group snapshot of Daughters of Charity and other dwellers in front of a facility,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1224mwt,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1767cc8,0002kh00083_DC01-M.tif,,,Fouad el Khoury Collection,,1923,1923,,,,8.5 cm x 12.3 cm,1 photograph,Gelatin silver negative on cellulose nitrate film,black-and-white photographs,,0002kh00083|~|Collection 0002kh|~|Box 55,,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,community|~|women community|~|female community|~|religious community,Bhannes (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1224mwt/manifest
ark:/21198/z1x944cg,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Group snapshot of Daughters of Charity and other dwellers in front of a facility,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1x944cg,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1zp6463,0002kh00084_DC01-M.tif,,,Fouad el Khoury Collection,,1923,1923,,,,8.5 cm x 11.6 cm,1 photograph,Gelatin silver negative on cellulose nitrate film,black-and-white photographs,,0002kh00084|~|Collection 0002kh|~|Box 55,,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,community|~|women community|~|female community|~|religious community,Bhannes (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1x944cg/manifest
ark:/21198/z1sj3cp6,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Group snapshot of construction workers and other dwellers,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1sj3cp6,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1q83b64,0002kh00085_DC01-M.tif,,,Fouad el Khoury Collection,,1923,1923,,,,8.7 cm x 11.8 cm,1 photograph,Gelatin silver negative on cellulose nitrate film,black-and-white photographs,,0002kh00085|~|Collection 0002kh|~|Box 55,,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,construction|~|labor|~|traditional attire|~|collective work|~|mountain countryside|~|community|~|gender roles|~|gender norms|~|social hierarchy|~|roman catholicism|~|catholicism|~|christianity|~|faith|~|nature|~|physical labor,Bhannes (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1sj3cp6/manifest
ark:/21198/z1ns2n27,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,General view of the Bhannes Sanatorium's chapel,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1ns2n27,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1fr1tq7,0002kh00086_DC01-M.tif,,,Fouad el Khoury Collection,,1923,1923,,,,11.2 cm x 8.4 cm,1 photograph,Gelatin silver negative on cellulose nitrate film,black-and-white photographs,,0002kh00086|~|Collection 0002kh|~|Box 55,,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,modern architecture|~|construction|~|religion|~|christianity|~|catholicism|~|roman catholicism|~|church|~|catholic church|~|roman catholic church|~|labor|~|working class|~|faith|~|faith|~|physical labor,Bhannes (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1ns2n27/manifest
ark:/21198/z1j40kns,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,General view of the Bhannes Sanatorium's chapel,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1j40kns,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1670b9b,0002kh00087_DC01-M.tif,,,Fouad el Khoury Collection,,1923,1923,,,,11.5 cm x 8.4 cm,1 photograph,Gelatin silver negative on cellulose nitrate film,black-and-white photographs,,0002kh00087|~|Collection 0002kh|~|Box 55,,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,modern architecture|~|construction|~|religion|~|christianity|~|catholicism|~|roman catholicism|~|church|~|catholic church|~|roman catholic church|~|labor|~|working class|~|faith|~|faith|~|physical labor,Bhannes (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1j40kns/manifest
ark:/21198/z1db9v18,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Snapshot of construction workers,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1db9v18,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1xp932q,0002kh00088_DC01-M.tif,,,Fouad el Khoury Collection,,1923,1923,,,,11.5 cm x 8.4 cm,1 photograph,Gelatin silver negative on cellulose nitrate film,black-and-white photographs,,0002kh00088|~|Collection 0002kh|~|Box 55,,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,modern architecture|~|construction|~|labor|~|working class|~|nature|~|masculinity|~|physical labor,Bhannes (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1db9v18/manifest
ark:/21198/z18k9371,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Group portrait of Daughters of Charity with two priests near a statue of the Virgin,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z18k9371,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1p8690v,0002kh00089_DC01-M.tif,,,Fouad el Khoury Collection,,1923,1923,,,,8.3 cm x 11.8 cm,1 photograph,Gelatin silver negative on cellulose nitrate film,black-and-white photographs,,0002kh00089|~|Collection 0002kh|~|Box 55,,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,community|~|religious community|~|christian community|~|female community|~|women community|~|gender roles|~|gender norms|~|priesthood|~|sisterhood|~|christianity|~|catholicism|~|roman catholicism|~|church|~|catholic church|~|roman catholic church,Bhannes (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz18k9371/manifest
ark:/21198/z14t8bgv,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,"Group portrait of Daughters of Charity, two priests, and two other women",https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z14t8bgv,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1dr4sjd,0002kh00090_DC01-M.tif,,,Fouad el Khoury Collection,,1923,1923,,,,8.3 cm x 11.8 cm,1 photograph,Gelatin silver negative on cellulose nitrate film,black-and-white photographs,,0002kh00090|~|Collection 0002kh|~|Box 55,,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,community|~|religious community|~|christian community|~|female community|~|women community|~|gender roles|~|gender norms|~|priesthood|~|sisterhood|~|christianity|~|catholicism|~|roman catholicism|~|church|~|catholic church|~|roman catholic church,Bhannes (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz14t8bgv/manifest
ark:/21198/z1127kq0,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,"Group portrait of female residents of the Bhannes Sanatorium with three Daughters of Charity, two priests, and other women",https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1127kq0,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz157394h,0002kh00091_DC01-M.tif,,,Fouad el Khoury Collection,,1923,1923,,,,8.6 cm x 11.8 cm,1 photograph,Gelatin silver negative on cellulose nitrate film,black-and-white photographs,,0002kh00091|~|Collection 0002kh|~|Box 55,,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,community|~|female community|~|women community|~|christian community|~|religious community|~|social hierarchy|~|disability|~|mental health|~|mental care,Bhannes (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1127kq0/manifest
ark:/21198/z1w9738j,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Group portrait of construction workers at the entrance of a facility,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1w9738j,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt0rbt,0002kh00092_DC01-M.tif,,,Fouad el Khoury Collection,,1923,1923,,,,11.3 cm x 8.4 cm,1 photograph,Gelatin silver negative on cellulose nitrate film,black-and-white photographs,,0002kh00092|~|Collection 0002kh|~|Box 55,Fouad el Khoury,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,labor|~|physical labor|~|working class|~|nationalism|~|french mandate|~|masculinity|~|hierarchy|~|religion|~|christianity|~|gender roles|~|gender norms|~|colonialism,Bhannes (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1w9738j/manifest
ark:/21198/z1rj6bmq,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Group portrait of construction workers at the entrance of a facility,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1rj6bmq,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1n897tm,0002kh00093_DC01-M.tif,,,Fouad el Khoury Collection,,1923,1923,,,,11.9 cm x 8.4 cm,1 photograph,Gelatin silver negative on cellulose nitrate film,black-and-white photographs,,0002kh00093|~|Collection 0002kh|~|Box 55,Fouad el Khoury,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,labor|~|physical labor|~|working class|~|nationalism|~|french mandate|~|masculinity|~|smoking|~|drinking|~|gender roles|~|gender norms|~|colonialism,Bhannes (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rj6bmq/manifest
ark:/21198/z1mw497t,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Portrait of a woman holding a flower arrangement,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1mw497t,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1cr7rfg,0002kh00094_DC01-M.tif,,,Fouad el Khoury Collection,,1923,1923,,,,11.8 cm x 8.8 cm,1 photograph,Gelatin silver negative on cellulose nitrate film,black-and-white photographs,,0002kh00094|~|Collection 0002kh|~|Box 55,Fouad el Khoury,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,femininity|~|nature|~|womanhood|~|gender stereotypes,Bhannes (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1mw497t/manifest
ark:/21198/z1h43jmr,ark:/21198/z1cg1h7v,ark:/21198/z1cg1h7v|~|ark:/21198/z13b7wpn,Work,Group portrait of workers on site,https://ursus-stage.library.ucla.edu/catalog/ark:/21198/z1h43jmr,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14767z8,0002kh00095_DC01-M.tif,,,Fouad el Khoury Collection,,1923,1923,,,,8.4 cm x 11.6 cm,1 photograph,Gelatin silver negative on cellulose nitrate film,black-and-white photographs,,0002kh00095|~|Collection 0002kh|~|Box 55,Fouad el Khoury,,,,,Arab Image Foundation,still image,copyrighted,hello@arabimagefoundation.org,,construction|~|labor|~|physical labor|~|traditional attire|~|collective work|~|community|~|gender norms|~|childhood|~|drinking|~|working class|~|gender roles,Bhannes (Lebanon)|~|Lebanon,,individuals,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1h43jmr/manifest
