Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Visibility,Duplicate,Delete in Title,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Name.subject,Subject,Name.architect,Language,Name.creator,Name.artist,Name.sculptor,Name.photographer,Name.repository,Relation.isPartOf,Alt ID.local,Title,Description.note,Description.fundingNote,Format.extent,Format.medium,Coverage.geographic,Description.caption,Date.normalized,Date.creation,Coverage.spatialLongitude,Coverage.spatialLatitude,Format.dimensions
"West (H. H.), Collection Number 1998",ark:/21198/zz002km7rz,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km7rz_2416369_master.tif,18,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_018,Page 015,"Three photographs of young children standing in front of the West home.|~|[captions]Griffin AveHazel Bentley on our front lawn in December 1898. Same on Porch.View from our front lawn toward the church in 1898, showing the two Dougherty children and Guy's dog. Dr. Dougherty lived in Sepulveda house at the time.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km7mw,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km7mw_2416372_master.tif,19,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_019,Page 016,"Four photographs of various members of the West family in front of their home and H.H. West with a doll.|~|Two groups on the front porch taken October 16, 1898. The left picture, L to R: Geo. M. West. Mrs G.M.West, Vicente Sepulveda, William P. Mead, Wayne West, Wilson D. West. The right photo, L to R: Guy West, Will Mead, H.H.West, Nella West, Wayne West, Wilson West.H.H.West and a doll named ""Beth"" out on the lawn, about 1900.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km7ds,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km7ds_2416375_master.tif,20,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b132_020,Page 017,"[captions]Griffin AvenueLooking north from the corner of our house Oct. 30, 1898.Looking north from the corner of Sepulveda's house next adjining. About 1898The rear yard in 1898 Wayne on the chair.Before Woodward built on the corner the whole three lots fronting on Baldwin were vacant. We parked our cow out on this lot, and here is a picture of the calf and a Guy's dog. About 1898.|~|Four photographs of pathways and livestock.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km797,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km797_2416378_master.tif,21,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_021,Page 018,"[captions]Guy brought a big green parrot from Mexico and gave it to mother. She had this bird long after she lived on Oxford Ave. it talked very little. About 1907.Guy's dog in the rear. ""Dan"". 1904Two views of 240 South Griffin Avenue, taken in 1936.|~|Four photographs of natural landscape and a dog.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km7z2,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km7z2_2416381_master.tif,22,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_022,Page 019,"Four photographs with descriptive caption.|~|[captions]Los Angeles, misc.In February 1898, Will Mead was in Los Angeles. A neighbor of theirs in Montgomery County, Iowa, named Barker, had brought his family to Los Angeles, and bought a ranch up on the hills back where Hollywood now is.... [caption continues]The Morgans had a cottage on the beach at Los Flores Canyon. We spent a day with them July 4, 1929. Mertie West going to swim or sink.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km802,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km802_2416384_master.tif,23,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_023,Page 020,"[captions]I was a member of Sunset Canyon country Club until it went bankrupt. The above shows a picture of the Wests at the club house in June 1926. Left to right: Nella West, Wayne West, John L Lemberger, WIlson West, Frances West, Maud West, Mertie West, Eleanor West and her son Richard D.., Mrs George M. West.Sunset Canyon Country Club, May 25, 1930. left photo; L to R: Will Shaw, H.H. West, Wright Prickett. Right hand pictures; L to R: Hebard West, H.H. West, Wright Prickett.|~|Three photographs of Sunset Canyon Country Club.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km8tg,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km8tg_2416387_master.tif,24,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_024,Page 021,"[captions]Theodore Roosevelt, President of the United States, comes to Los Angeles around 1905.He is standing up in the hack almost hid by marchers on foot. marching south between Second and Third Street on main Street.Not very clear. Camera moved. Taken in front of the Gray building at corner of Third and Main Street, form the side walk in front of Al Levy's Café.Parade closing up in front of the Westminster Hotel, where Roosevelt stopped during his visit in Los Angeles.|~|Three photographs of horses and men in Los Angeles parade.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km8zj,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km8zj_2416390_master.tif,25,,,,,,,,,,,,,,,,,uclalsc_98_b123_025,Page 022,blank page,,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km8qx,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km8qx_2416395_master.tif,26,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_026,Page 023,Newspaper clipping of Los Angeles Times. A group at Brigade Headquarters.,,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km8nw,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km8nw_2416398_master.tif,27,,,,,,,,,,,,,,,,,uclalsc_98_b123_027,Page 024,blank page,,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km8kv,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km8kv_2416401_master.tif,28,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_028,Page 025,"Four photographs of San Francisco Bay and City Hall.|~|[captions]San Francisco 1898San Francisco bay and ferry taken from deck of ferry boat piedmont Sept. 29, 1898. Goat Island in background.Ferry boat Piedmont entering the Oakland mole Sept. 29, 1898City Hall, S.F. Sept 23, 1898Call building from rear, looking up Third Street 9 a.m., Sept. 23, 1898",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km8ht,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km8ht_2416404_master.tif,29,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_029,Page 026,"[captions]San Francisco,Sunset at the Cliff House, 6 p.m. Sept. 25, 1898On the way with father to Yreka Dunamuir, Calif. Sept 19, 1898Dunamuir, Sept. 19, 1898Shasta Retreat at 1:45 p.m. Sept. 19 1898|~|Four photographs of San Fransisco. Cliff, railroad tracks, and woods.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km8fs,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km8fs_2416407_master.tif,30,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_030,Page 027,"[captions]Treka trip 1898Two views of the spring at Shasta Springs. After we got off the train there one day, we ofund that this fountain came from a pipe and the fountain was turned on with a valve shortly before the train was due to arrive, and after it had gone out of sight the water was cut off.Old Mill along the railroad Sept. 19, 1898Castle Crags from the train. The picture has faded out. Sep. 19, 1898.|~|Four photographs of forest in Shasta Springs.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km8cr,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km8cr_2416410_master.tif,31,,,,,,,,,,,,,,,,,uclalsc_98_b123_031,Page 028,"Four photographs of various homes, monuments, and landscapes.|~|[captions]Mt. Shasta from Siasen, Calif. 4 p.m. Sept 19, 1898Mt Shasta from Edgewood at 4:15 p.m. Photo has fadedOn this trip to Yreka, I stopped over at Palo Alto to visit Frances Nichols, who was attending Stanford university. Left, a photo of the University Sept. 23, 1898; right, the mausoleum of Senator Stanford and son, Sept. 23, 1898",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km8b7,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km8b7_2416417_master.tif,32,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_032,Page 029,"[captions]Spanish American War.The United States having declared war against Spain, and moving volunteer troops to the Philippines, Company M, 51st Iowa Volunteers moved from Red Oak, Iowa to San Francisco, preparatory to embarking for the far east. I heard of the boys in San Francisco, and went up to visit them, as I knew practically everybody in Company M - neighbors and schoolmates. I visited the presidio in San Francisco September 18, 1898.Two views of the camp of Company M, 51st Iowa Volunteers. Alcatraz Island may be seen in the distance in the right hand one. Taken Sept. 18, 1898.Camp of 51st Iowa Regiment.Company M's stove. Soldiers now unknown.|~|Four photographs of camp of Company M.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km8pd,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km8pd_2416420_master.tif,33,,,,,,,,,,,,,,,,,uclalsc_98_b123_033,Page 030,"[captions]Co.M, 51st Iowa Volunteers, Sept 18, 1898Seventh California tents on the left side; Kansas boys on the right. Taken from end of cable cars at Presidio Sept.18, 1898Parade of the Seventh Regiment California U.S.V. Band playing at headquarters 2 p.m. Sunday, Sept. 18, 1898Charles Rucher, private Co. G Seventh Regt. Calif. U.S.V. 9/18/98|~|Four photographs of camp and some campers.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km8v0,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km8v0_2416423_master.tif,34,,,,,,,,,,,,,,,,,uclalsc+98+b123_034,Page 031,Clipping from Red Oak Sun.,,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km89q,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km89q_2416426_master.tif,35,,,,,,,,,,,,,,,,,uclalsc_98_b123_035,Page 032,Clipping from Los Angeles Times as a part of the Centennial Photo Series.,,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km8d8,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km8d8_2416429_master.tif,36,,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_036,Page 033,"[Captions]Spanish American  warGuard Mount of 51st Iowa Vols. 9 a.m. Sept. 28, 1898Captain Jesse W. Clark, Sup't of Schools of Montgomery Co., Iowa Capt. of Co. M, 51st Iowa Vols. From Red Oak, Iowa, Sept. 28, 1898 ""Jick"" as we called him was in the class in school ahead of me.Charles Longstreet left and Frank Throw right, Co. M, 51st Iowa Vols. Presidie, S.F. Sept. 28, 1898.Cleaning under the tent floors Co. M, 51st Iowa Vola. San Fran. Sept 28, 1898. Chas. Longstreet handling a board.|~|Four photographs of camp and campers .",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km886,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km886_2416432_master.tif,37,,,,,,,,,,,,,,,,,uclalsc_98_b123_037,Page 034a,"Four photographs and tow news paper clippings of artillery and camp.|~|[1st image][two newspaper clippings and two photographs]Stockwell, former legislator is Taken by DeathMajor Frank C.Prescott blowing his nose. 1st Bat, 7th Regt. Cal. U.S.V., Sept. 28, 1898. Prescott was an operator in the W.U.Tel.Co. in 1890.Heavy artillery in heavy marching order, forming for march to Fort Point, Presidio 11 a.m. Sept. 28, 1898[2nd image]Cleaning under the tent floors, Co.M 51st Iowa Vols. Presidio S.F. Sept. 28, 1898. Frank THrow is on other side of soldier with broom; Kneedy is kneelingCompany A, 7th Calv. U.S.V. returning from parade Sept. 28, 1898.[bottom two photographs of 2nd image are the same as the first]",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/z1hh8b54,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km886_2416438_master.tif,38,,,,,,,,,,,,,,,,,uclalsc_98_b123_037,Page 034b,"Four photographs and tow news paper clippings of artillery and camp.|~|[1st image][two newspaper clippings and two photographs]Stockwell, former legislator is Taken by DeathMajor Frank C.Prescott blowing his nose. 1st Bat, 7th Regt. Cal. U.S.V., Sept. 28, 1898. Prescott was an operator in the W.U.Tel.Co. in 1890.Heavy artillery in heavy marching order, forming for march to Fort Point, Presidio 11 a.m. Sept. 28, 1898[2nd image]Cleaning under the tent floors, Co.M 51st Iowa Vols. Presidio S.F. Sept. 28, 1898. Frank THrow is on other side of soldier with broom; Kneedy is kneelingCompany A, 7th Calv. U.S.V. returning from parade Sept. 28, 1898.[bottom two photographs of 2nd image are the same as the first]",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km8mc,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km8mc_2416441_master.tif,39,,,,,,,,,,,,,,,,,uclalsc_98_b123_039,Page 035a,"[2 images][1st image has three photographs and newspaper clipping]Captain Henry Steere, Heavy artillery, San Francisco, Sept. 28, 1898. Steere was an employee in the Passenger Dept of the S.P.R.R. at Third and Springs Streets Los Angeles, and I knew him well[newspaper clipping]James E. Stockwell Succumbs at 72Walter Shank, Atty at Law, looking at camera. Private Co. M, 51st Iowa, Vols. Sept. 28, 1898. A Schoolmate of mine.Ed. Stockwell, lived in East Los Angeles and we used to run around together was a private in Steere's a Heavy Artillery 2:30 p.m. Sept. 18, 1898[2nd image; photograph underneath newspaper clipping]This shows Capt. Steere's Company of Heavy Artillery Taken same time and place.|~|Newspaper clippings and four photographs of members of the camp.",,,,,,,,,,
"West (H. H.), Collection Number 1999",ark:/21198/z1cr7kjr,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km8mc_2416444_master.tif,40,,,,,,,,,,,,,,,,,uclalsc_98_b123_039,Page 035b,"[2 images][1st image has three photographs and newspaper clipping]Captain Henry Steere, Heavy artillery, San Francisco, Sept. 28, 1898. Steere was an employee in the Passenger Dept of the S.P.R.R. at Third and Springs Streets Los Angeles, and I knew him well[newspaper clipping]James E. Stockwell Succumbs at 72Walter Shank, Atty at Law, looking at camera. Private Co. M, 51st Iowa, Vols. Sept. 28, 1898. A Schoolmate of mine.Ed. Stockwell, lived in East Los Angeles and we used to run around together was a private in Steere's a Heavy Artillery 2:30 p.m. Sept. 18, 1898[2nd image; photograph underneath newspaper clipping]This shows Capt. Steere's Company of Heavy Artillery Taken same time and place.|~|Newspaper clippings and four photographs of members of the camp.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km8wh,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km8wh_2416447_master.tif,41,,,,,,,,,,,,,,,,,uclalsc_98_b123_041,Page 036,"[captions]The Iowa state band is playing above the camp of the Iowa boys, 51st Regiment, Iowa Volunteers. Taken at Presidie, San Francisco 2:45 p.m. September 18, 1898[newspaper clipping that refers to the officers of the Iowa regiment]A Company from the 51st Regiment Iowa Volunteers on the Presidie road at drill, 1:30 p.m. Sept. 27, 2898.|~|Four photographs of company in camp.",,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km8sz,ark:/21198/zz002kkz4b,2,Completed,Page,hhwest/image/srgb/21198-zz002km8sz_2416450_master.tif,42,,,,,,,,,,,,,,,,,uclalsc_98_b123_042,Page 037,Newspaper clipping of Veterans from Spain in Los Angeles Times.,,,,,,,,,,
"West (H. H.), Collection Number 1998",ark:/21198/zz002km8g9,ark:/21198/zz002kkz4b,1,In progress,Page,hhwest/image/srgb/21198-zz002km8g9_2416455_master.tif,43,private,,,,,,,,,,,,,,,"H. H. West Photographic Collection (Collection 98). UCLA Library Special Collections, Charles E. Young Research Library.",uclalsc_98_b123_043,Page 038,"[captions are partially obstructed from newspaper clipping]L. Krebs, organist of the [E]piscopal in Co. A, Seventh Regt. [Ca]lif. Volunteers, Presidio, S.F. 30 pM.MSept.27, 1898Emmanuel Baptist Church in S.F. Sept. 29, 1898. Just prior to my visit to San Francisco a young man named Durant outraged and killed two girls of this Church and hid their bodies in the belfry. The papers were full of the atrocious dead and I went out to see the Church.Museum at Golden Gate Park, S.F. 2 p.m. Sept. 28, 1909.The old Cliff House in all its glory 6 p.m. Sept. 25, 1898.|~|Four photographs of Baptist Church, Cliff House, and various buildings and Krebe.",,,,,,,,,,
