Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,viewingHint,Visibility,Delete in Title,Thumbnail,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Rights.publicationStatus,Name.creator,Language,Subject,Rights.permission,Subject geographic,Author,Name.cartographer,Name.repository,Name.subject,Title,Publisher.publisherName,Description.note,Publisher.placeOfOrigin,Format.extent,Coverage.geographic,Alt ID.oclc,AltIdentifier.callNo,Alt ID.catalogRecordNumber,Opac url,Coverage.geoscale,AltTitle.uniform,Alt ID.local,Description.caption,Date.creation,Date.normalized,Alt ID.lccn,Description.abstract,Bucketeer State,IIIF Access URL,IIIF Manifest URL
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002c2520,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/Drawer26_folder3/G4364_LA_P61_NS_NP_c_1930.tif,,,,,,,cartographic,map,unknown,unknown,,eng,Airplanes--Recognition|~|Airports--California--Los Angeles County--Maps,,Los Angeles (Calif.)--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Black and White Photograph of A Los Angeles Airport,,,,,Los Angeles (Calif.),,,,,,,G4364_LA_P61_NS_NP_c_1930,,c1930,1930,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2520,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2520/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002c253h,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/Drawer26_folder3/G4364_LA_S1_GSPC_1929.tif,,,,,,,cartographic,map|~|Pictorial maps.,unknown,unknown,,eng,Los Angeles (Calif.)--History--Maps|~|Los Angeles (Calif.)--Pictorial works|~|Los Angeles (Calif.)--Aerial views,,Los Angeles (Calif.)--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Los Angeles as it Appeared in 1871 when the Germain Seed & Plant Co. was Established,,,,,Los Angeles (Calif.),,,,,,,G4364_LA_S1_GSPC_1929,,1929,1929,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c253h,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c253h/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002c2541,ark:/21198/zz0028tr8x,5,Imported,Work,Masters/Maps/Bruman-Maps/image/Drawer26_folder3/G4364_LA_S1_NS_LAT_1931_image2.tif,,,,private,,,cartographic,map,unknown,unknown,,,,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Los Angeles in 1881.,,,,,,811140444,G4364 Los Angeles .S1 NS LAT 1931,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=7050267,,,G4364_LA_S1_NS_LAT_1931_image2,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2541,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2541/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002c255j,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/Drawer26_folder3/G4364_LA_SanPedroHarbor_P55_10_1887_copy2.tif,,,,,,,cartographic,map|~|Bathymetric maps.,unknown|~|public domain,unknown,United States. Army. Corps of Engineers.,eng,Harbors--California--Wilmington--Maps|~|Harbors--California--San Pedro (Los Angeles)--Maps,,"San Pedro (Los Angeles, Calif.)--Maps|~|Wilmington (Los Angeles, Calif.)--Maps",,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"Wilmington and San Pedro harbors, California",U.S. Engineers,"Relief represented by contours.|~|""2389.""|~|Blueprint.","dcu|~|[Washington, D.C.]","1 map : photocopy, hand col. ; on sheet 77 x 97 cm.","California|~|Wilmington|~|San Pedro (Los Angeles)|~|Wilmington (Los Angeles, Calif.)|~|San Pedro (Los Angeles, Calif.)",26834430,G4364 LA San Pedro Harbor P55 10 1887,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3468304,10000,,G4364_LA_SanPedroHarbor_P55_10_1887_copy2,,1887,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c255j,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c255j/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002c2562,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/Drawer26_folder3/G4364_LA_SanPedro_P55_1892.tif,,,,,,,cartographic,map,public domain,unknown,"Gelette, W. D.",eng,Hydrogeology--Maps.,,San Pedro Bay (Calif. : Bay)--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Borings on line of San Pedro Wharf,U.S. Army Corps of Engineers,"Blueprint.|~|""June 1892.""|~|""3959.""","[Washington, D.C.]","1 map section : photocopy, hand col. ; on sheet 41 x 147 cm.",San Pedro Bay (Calif.),26834467,G4364 LA-San Pedro P55 1892,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=1502805,,,G4364_LA_SanPedro_P55_1892,,[1892],1892,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2562,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2562/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002c257k,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/Drawer26_folder3/G4364_LA_UnionTerminal_P3_600_ED_1938.tif,,,,,,,cartographic,map|~|Road maps.,unknown|~|public domain,unknown,"Hill, E. F.|~|Farmers and Merchants National Bank of Los Angeles.",eng,Roads--California--Los Angeles--Maps|~|Street-railroads--California--Los Angeles--Maps|~|Bus lines--California--Los Angeles--Maps,,Los Angeles (Calif.)--Maps|~|Los Angeles Metropolitan Area (Calif.)--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"Map of Los Angeles, California",E.F. Hill,"Includes index and list of local motor coach lines.|~|On verso: Highway map of California, Nevada -- Map of San Fernando Valley addition to the city of Los Angeles. Scales differ.|~|""Presented with the compliments of the Farmers and Merchants National Bank of Los Angeles.""","cau|~|[Los Angeles, Calif.?]","1 map : col. ; 54 x 84 cm., on sheet 71 x 99 cm., folded to 18 x 13 cm.",Los Angeles (Calif.)|~|California|~|Los Angeles Metropolitan Area (Calif.),793301374,G4364 Los Angeles .P1 ca.41 FMNB 1938,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=6937488,41000,Map of Los Angeles with California motor highways,G4364_LA_UnionTerminal_P3_600_ED_1938,,c1938,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c257k,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c257k/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002c2583,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/Drawer26_folder3/G4364_LA_Westwood_G47_JIC_1929.tif,,,,,,,cartographic,map,unknown,unknown,,eng,,,Westwood (Calif.)--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"Westwood Village Tracts No. 9650, 9768, 10600, and 10690",,,,,Westwood (Calif.),,G4364 Los Angeles - Westwood .G47 JIC [1929],,,,,G4364_LA_Westwood_G47_JIC_1929,,1929,1929,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2583,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2583/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002c259m,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/Drawer26_folder3/G4364_P1_1932.tif,,,,,,,cartographic,map|~|Road maps.,unknown,unknown,,eng,Street-railroads--California--Los Angeles Metropolitan Area--Maps|~|Roads--California--Los Angeles--Maps|~|Street-railroads--California--Los Angeles County--Maps,,Los Angeles (Calif.)--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Street Car & Motor Coach Routes of Los Angeles Railway Corp. and Motor Coach Routes of Los Angeles Motor Coach Co. as of July 7th 1932,,,,,Los Angeles (Calif.),,,,,,,G4364_P1_1932,,1932,1932,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c259m,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c259m/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002c25cn,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/Drawer26_folder3/G4364_P1_1941_text.tif,,,,,,,cartographic,text|~|map,unknown,unknown,,eng,"Los Angeles (Calif.)--Maps, Manuscript--Facsimiles|~|Los Angeles (Calif.)--Road maps",,Los Angeles (Calif.)--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Letter From the Downtown Business Men's Association on The Off-Street Parking Situation in Downtown Los Angeles,,,,,Los Angeles (Calif.),,,,,,,G4364_P1_1941_text,,1945,1945,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c25cn,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c25cn/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002c25fp,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/Drawer26_folder3/G4364_P1_NoScale_1924.tif,,,,,,,cartographic,map,copyrighted,unknown,"Whitlock, Laura L.",eng,Street-railroads--California--Los Angeles--Maps,,Los Angeles (Calif.)--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"Official transportation and city map of Los Angeles, California, and suburbs",Wolfer Print Co.,"""Official maps.""|~|Includes 3 insets.|~|Relief represented by spot heights.","Los Angeles, Cal|~|cau",1 map : col. ; 111 x 82 cm.,California|~|Los Angeles (Calif.),25234571,G4364.P1 no scale 1924,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=3582684,,,G4364_P1_NoScale_1924,,1924|~|c1924,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c25fp,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c25fp/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002c25g6,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/Drawer26_folder3/G4364_P1_VAR_CMDI_1932.tif,,,,,,,cartographic,map,,unknown,"Central Manufacturing District (Chicago, Ill.).",eng,"Railroads--California, Southern--Maps",,Los Angeles (Calif.)--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"Central Manufacturing District and Los Angeles Junction Railway, Los Angeles California, showing rail and harbor connections, traffic roads, residential and industrial areas","Central Manufacturing District, Inc.?","""85/H-8.""|~|Inset map indexed.|~|Includes location map.|~|""Frick, 1932.""","[Los Angeles, Cal.?]|~|cau",1 map ; 31 x 44 cm.,,24775990,G4364 Los Angeles .M1 c.24 CMDI [1932?],,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=974774,24000,,G4364_P1_VAR_CMDI_1932,,[1932],,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c25g6,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c25g6/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002c25hq,ark:/21198/zz0028tr8x,2,Completed,Work,Masters/Maps/Bruman-Maps/image/Drawer26_folder3/G4364_P3_63_LARlwy_1943.tif,,,,,,,cartographic,map,copyrighted,unknown,Los Angeles Railway.,eng,Street-railroads--California--Los Angeles Metropolitan Area--Maps|~|Bus lines--California--Los Angeles Metropolitan Area--Maps,,,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"Route map, Los Angeles and vicinity",Los Angeles Railway,"""DWG. #5770 ROLL.""|~|Indexed.","cau|~|[Los Angeles, Calif.?]",1 map ; 42 x 55 cm.,California|~|Los Angeles Metropolitan Area,25126813,G4363 (.50) L.A. Co. .P33 63 LAR [1943],,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=2244594,63360,,G4364_P3_63_LARlwy_1943,Rev. as of 5-9-1943.,1943,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c25hq,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c25hq/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002c25j7,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/Drawer26_folder3/G4364_S635_G46_19_S26.tif,,,,,,,cartographic,map,pd,unknown,,eng,,,San Marino (Calif.)--Maps.,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"Map of the City of San Marino, Los Angeles County California",,,,,,42902914,G4364.S635G46 191- .S26,,https://catalog.library.ucla.edu/vwebv/holdingsInfo?bibId=4304279,,,G4364_S635_G46_19_S26,,1910/1919,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c25j7,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c25j7/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002c25kr,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/Drawer26_folder3/G4364_Santa_Monica_P3_OCE.tif,,,,,,,cartographic,map,unknown,unknown,Pacific Electric Railway Company.,eng,,,Los Angeles (Calif.)--Maps|~|Santa Monica (Calif.)--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Right Way and Track Map Santa Monica Branch Clement JCT to Port Los Angeles,,,,,Santa Monica (Calif.)|~|Los Angeles (Calif.),,,,,,,G4364_Santa_Monica_P3_OCE,,1920/1929,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c25kr,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c25kr/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002c25m8,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/Drawer26_folder3/G4364_Santa_Monica_P55_NS_CS_1892.tif,,,,,,,cartographic|~|map,map,pd,unknown,,eng,,,Santa Monica Bay (Calif.)--Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Profile of Santa Monica Wharf,,,,,Santa Monica Bay (Calif.),,G4364 Santa Monica .P55 NS CS 1892,,,,,G4364_Santa_Monica_P55_NS_CS_1892,,1892,1892,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c25m8,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c25m8/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002c2cd2,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/21198-zz002c2cd2_2036919_master.tif,,,,,,,cartographic,map,,,,eng,Irrigation--United States--Maps,,United States -- Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Irrigation map of the United States TEST,,,,,United States,,G3701.J4 11.8m USNRB  ND,,,,,,,1930/1939,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2cd2,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2cd2/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002c2cfk,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/21198-zz002c2cfk_2036922_master.tif,,,,,,,cartographic,map,,,,eng,Mines and mineral resources--United States--Maps,,United States -- Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,"Barytes deposits from mineral resources of the United States, 1915 TEST",,,,,United States,,G3701.H5 17m USGS 1940,,,,,,,1940,1940,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2cfk,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2cfk/manifest
"Bruman (Henry J.) Map Collection, UCLA Library",ark:/21198/zz002c2cg3,ark:/21198/zz0028tr8x,10,Completed with minimal metadata,Work,Masters/Maps/Bruman-Maps/image/21198-zz002c2cg3_2036925_master.tif,,,,,,,cartographic,map,,,,eng,Agriculture--United States--Maps,,United States -- Maps,,,"University of California, Los Angeles. $b Library. $b Henry J. Bruman Map Collection",,Percent of total area in all crops 1925 (harvested and failure) TEST,,,,,United States,,,,,,,,,1925,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz002c2cg3,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz002c2cg3/manifest
