Project Name,Item ARK,Parent ARK,Object Type,File Name,Item Sequence,viewingHint,Type.typeOfResource,Type.genre,Rights.copyrightStatus,Subject,Rights.servicesContact,Name.repository,Language,Title,Relation.pageNumber,Description.note,Summary,Relation.isPartOf,AltIdentifier.OPAC,AltIdentifier.oclc,AltIdentifier.callNo,Date.publication,Format.dimensions,Publisher.publisherName,Format.extent,Date.normalized,Publisher.placeOfOrigin,Bucketeer State,IIIF Access URL
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz000226hq,ark:/21198/zz00022683,Page,blood/masters/21198-zz000226hq-1-master.tif,8,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4997","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,A dissertation on the voluntary eating of blood (pages 14-15),14|~|15,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000226g6
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz000226g6,ark:/21198/zz00022683,Page,blood/masters/21198-zz000226g6-1-master.tif,9,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4998","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,A dissertation on the voluntary eating of blood (pages 16-17),16|~|17,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002271z
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz0002271z,ark:/21198/zz00022683,Page,blood/masters/21198-zz0002271z-1-master.tif,10,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-4999","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,A dissertation on the voluntary eating of blood (pages 18-19),18|~|19,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00022730
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz00022730,ark:/21198/zz00022683,Page,blood/masters/21198-zz00022730-1-master.tif,11,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-5000","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,A dissertation on the voluntary eating of blood (pages 20-21),20|~|21,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002276j
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz0002276j,ark:/21198/zz00022683,Page,blood/masters/21198-zz0002276j-1-master.tif,12,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-5001","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,A dissertation on the voluntary eating of blood (pages 22-23),22|~|23,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002278k
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz0002278k,ark:/21198/zz00022683,Page,blood/masters/21198-zz0002278k-1-master.tif,13,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-5002","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,A dissertation on the voluntary eating of blood (pages 24-25),24|~|25,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000227bm
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz000227bm,ark:/21198/zz00022683,Page,blood/masters/21198-zz000227bm-1-master.tif,14,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-5003","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,A dissertation on the voluntary eating of blood (pages 26-27),26|~|27,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000227dn
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz000227dn,ark:/21198/zz00022683,Page,blood/masters/21198-zz000227dn-1-master.tif,15,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-5004","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,A dissertation on the voluntary eating of blood (pages 28-29),28|~|29,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000227gp
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz000227gp,ark:/21198/zz00022683,Page,blood/masters/21198-zz000227gp-1-master.tif,16,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-5005","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,A dissertation on the voluntary eating of blood (pages 30-31),30|~|31,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000227jq
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz000227jq,ark:/21198/zz00022683,Page,blood/masters/21198-zz000227jq-1-master.tif,17,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-5006","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,"A dissertation on the voluntary eating of blood (pages 32, 35)",35|~|32,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000227mr
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz000227mr,ark:/21198/zz00022683,Page,blood/masters/21198-zz000227mr-1-master.tif,18,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-5007","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,A dissertation on the voluntary eating of blood (pages 36-37),36|~|37,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000227ps
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz000227ps,ark:/21198/zz00022683,Page,blood/masters/21198-zz000227ps-1-master.tif,19,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-5008","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,A dissertation on the voluntary eating of blood (pages 38-39),38|~|39,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000227rt
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz000227rt,ark:/21198/zz00022683,Page,blood/masters/21198-zz000227rt-1-master.tif,20,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-5009","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,A dissertation on the voluntary eating of blood (pages 40-41),41|~|40,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000227tv
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz000227tv,ark:/21198/zz00022683,Page,blood/masters/21198-zz000227tv-1-master.tif,21,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-5010","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,A dissertation on the voluntary eating of blood (pages 42-43),43|~|42,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000227ww
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz000227ww,ark:/21198/zz00022683,Page,blood/masters/21198-zz000227ww-1-master.tif,22,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-5011","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,A dissertation on the voluntary eating of blood (pages 44-45),45|~|44,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000227zx
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz000227zx,ark:/21198/zz00022683,Page,blood/masters/21198-zz000227zx-1-master.tif,23,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-5012","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,A dissertation on the voluntary eating of blood (pages 46-47),46|~|47,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002280x
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz0002280x,ark:/21198/zz00022683,Page,blood/masters/21198-zz0002280x-1-master.tif,24,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-5013","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,A dissertation on the voluntary eating of blood (pages 48-49),49|~|48,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002274h
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz0002274h,ark:/21198/zz00022683,Page,blood/masters/21198-zz0002274h-1-master.tif,25,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-5014","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,A dissertation on the voluntary eating of blood (pages 50-51),50|~|51,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00022772
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz00022772,ark:/21198/zz00022683,Page,blood/masters/21198-zz00022772-1-master.tif,26,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-5015","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,A dissertation on the voluntary eating of blood (pages 52-53),52|~|53,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002272g
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz0002272g,ark:/21198/zz00022683,Page,blood/masters/21198-zz0002272g-1-master.tif,27,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-5016","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,A dissertation on the voluntary eating of blood (pages 54-55),55|~|54,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz00022793
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz00022793,ark:/21198/zz00022683,Page,blood/masters/21198-zz00022793-1-master.tif,28,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-5017","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,A dissertation on the voluntary eating of blood (pages 56-57),56|~|57,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz0002270f
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz0002270f,ark:/21198/zz00022683,Page,blood/masters/21198-zz0002270f-1-master.tif,29,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-5018","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,A dissertation on the voluntary eating of blood (pages 58-59),59|~|58,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000227c4
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz000227c4,ark:/21198/zz00022683,Page,blood/masters/21198-zz000227c4-1-master.tif,30,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-5019","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,A dissertation on the voluntary eating of blood (pages 60-61),60|~|61,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000226zf
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz000226zf,ark:/21198/zz00022683,Page,blood/masters/21198-zz000226zf-1-master.tif,31,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-5020","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,A dissertation on the voluntary eating of blood (pages 62-63),63|~|62,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000227f5
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz000227f5,ark:/21198/zz00022683,Page,blood/masters/21198-zz000227f5-1-master.tif,32,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-5021","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,A dissertation on the voluntary eating of blood (pages 64-65),64|~|65,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000226xx
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz000226xx,ark:/21198/zz00022683,Page,blood/masters/21198-zz000226xx-1-master.tif,33,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-5022","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,A dissertation on the voluntary eating of blood (pages 66-67),66|~|67,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000227h6
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz000227h6,ark:/21198/zz00022683,Page,blood/masters/21198-zz000227h6-1-master.tif,34,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-5023","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,A dissertation on the voluntary eating of blood (pages 68-69),69|~|68,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000226wd
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz000226wd,ark:/21198/zz00022683,Page,blood/masters/21198-zz000226wd-1-master.tif,35,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-5024","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,A dissertation on the voluntary eating of blood (pages 70-71),70|~|71,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000227k7
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz000227k7,ark:/21198/zz00022683,Page,blood/masters/21198-zz000227k7-1-master.tif,36,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-5025","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,A dissertation on the voluntary eating of blood (pages 72-73),73|~|72,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000226vw
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz000226vw,ark:/21198/zz00022683,Page,blood/masters/21198-zz000226vw-1-master.tif,37,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-5026","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,A dissertation on the voluntary eating of blood (pages 74-75),74|~|75,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000227n8
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz000227n8,ark:/21198/zz00022683,Page,blood/masters/21198-zz000227n8-1-master.tif,38,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-5027","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,A dissertation on the voluntary eating of blood (pages 76-77),76|~|77,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000226tc
Dissertation on the Voluntary Eating of Blood,ark:/21198/zz000226tc,ark:/21198/zz00022683,Page,blood/masters/21198-zz000226tc-1-master.tif,39,,text,,pd,,"UCLA Charles E. Young Research Library Department of Special Collections, A1713 Young Research Library, Box 951575, Los Angeles, CA 90095-1575. E-mail: spec-coll@library.ucla.edu. Phone: (310)825-5028","Louise M. Darling Biomedical Library. History and Special Collections for the Sciences|~|Franklin E. Murphy, M.D. Collection",eng,A dissertation on the voluntary eating of blood (pages 78-79),79|~|78,,,,,,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fzz000227q9
