"Object Type","Title","Item ARK","Parent ARK","File Name","Item Sequence","AltTitle.other","collection.physical","Contents note","Date.created","Date.normalized","Description.latitude","Description.longitude","Summary","Format.dimensions","Format.extent","Format.medium","Genre","Language","Local identifier","Thumbnail","Name.creator","Name.subject","Note","Place of origin","Publisher.publisherName","Repository","Type.typeOfResource","Rights.copyrightStatus","Rights.rightsHolderContact","Statement of Responsibility","Subject geographic","Subject temporal","viewingHint","Subject topic","IIIF Manifest URL"
"Work","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Commission, Volume 10","ark:/21198/z1544mwf","ark:/21198/z1t45sc2","","","","","Witnesses: Claassen (page 874), Motsoahole (page 935), Coetzee (page 943), Joubert (page 982)","","1960-04-28","","","","","129 pages","","reports","afr|~|eng","b7617662_commission_v010","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hq5zns","","","","Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","","","individuals","Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1544mwf/manifest"
"Work","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Commission, Volume 11","ark:/21198/z11c3w4p","ark:/21198/z1t45sc2","","","","","Witnesses: Oosthuizen (page 1001), van den Bergh (page 1037), Booysen (page 1056), Nxumalo (page 1064), Kumalo (page 1064), Kok (page 1079), Manuping (page 1110, 1115)","","1960-05-02","","","","","120 pages","","reports","afr|~|eng","b7617662_commission_v011","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1vd8z46","","","","Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","","","individuals","Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz11c3w4p/manifest"
"Work","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Commission, Volume 12","ark:/21198/z1wm3cpt","ark:/21198/z1t45sc2","","","","","Witnesses: Friedman (page 1120), Steyn (page 1142), Swanepoel (page 1146), Lambinon (page 1152), Mfambila (page 1153), Kabalese (page 1156), Mego (page 1158), Kok (page 1162), Kele (page 1164), White (page 1174), Meyer (page 1179), Nel (page 1185), Ferreira (page 1191)","","1960-05-03","","","","","91 pages","","reports","afr|~|eng","b7617662_commission_v012","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1bs0rwp","","","","Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","","","individuals","Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1wm3cpt/manifest"
"Work","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Commission, Volume 13","ark:/21198/z1rv2n1d","ark:/21198/z1t45sc2","","","","","Witnesses: von Below (page 1201), Spengler (page 1210)","","1960-05-04","","","","","141 pages","","reports","afr|~|eng","b7617662_commission_v013","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ks8r8t","","","","Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","","","individuals","Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1rv2n1d/manifest"
"Work","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Commission, Volume 14","ark:/21198/z1n31w8j","ark:/21198/z1t45sc2","","","","","Witnesses: Spengler (page 1301), Pienaar (page 1317)","","1960-05-05","","","","","128 pages","","reports","eng|~|afr","b7617662_commission_v014","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1ck0d6t","","","","Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","","","individuals","Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1n31w8j/manifest"
"Work","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Commission, Volume 15","ark:/21198/z1hd9v0f","ark:/21198/z1t45sc2","","","","","Witness: Pienaar (page 1429)","","1960-05-06","","","","","87 pages","","reports","afr|~|eng","b7617662_commission_v015","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tx5f6m","","","","Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","","","individuals","Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1hd9v0f/manifest"
"Work","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Commission, Volume 16","ark:/21198/z1cn9383","ark:/21198/z1t45sc2","","","","","Witnesses: Robinson (page 1543), Hoek (page 1575), Sacks (page 1591), Tholo (page 1631), Knoetze (page 1637), Van Wyk (page 1651)","","1960-05-09","","","","","119 pages","","reports","eng|~|afr","b7617662_commission_v016","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1m06552","","","","Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","","","individuals","Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1cn9383/manifest"
"Work","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Commission, Volume 17","ark:/21198/z17w8bgg","ark:/21198/z1t45sc2","","","","","Witnesses: Bakwane (page 1659), Khaole (page 1679), Maroo (page 1696), Ishabangu (page 1715), Mashita (page 1728), Molapi (page 1745), Peter Molefi (page 1745), Thabe (page 1786)","","1960-05-10","","","","","144 pages","","reports","afr|~|eng","b7617662_commission_v017","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1738qps","","","","Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","","","individuals","Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz17w8bgg/manifest"
"Work","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Commission, Volume 26","ark:/21198/z1447kr2","ark:/21198/z1t45sc2","","","","","Witnesses: More (page 2528), Tsolo (page 2528), Van Vuuren (page 2534), Mostert (page 2583, 2533), Pienaar (page 2540), Kasa (page 2567), Kele (page 2567), Visser (page 2587), Heyl (page 2599), Olivier (page 2600, 2612, 2620, 2642), Els (page 2606, 2626), Beyl (page 2607), Van Wyk (page 2615), Pieterse (page 2616, 2666)","","1960-05-25","","","","","158 pages","","reports","afr|~|eng","b7617662_commission_v017a","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1mk8cnf","","","","Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","","","individuals","Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1447kr2/manifest"
"Work","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Commission, Volume 18","ark:/21198/z10c6v26","ark:/21198/z1t45sc2","","","","","Witnesses: Thabe (page 1793), Dholefa (page 1843), Ian Berry (page 1847), Lenyatso (page 1862)","","1960-05-12","","","","","87 pages","","reports","eng","b7617662_commission_v018","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1sn28sz","","","","Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","","","individuals","Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz10c6v26/manifest"
"Work","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Commission, Volume 19","ark:/21198/z1vm6bkw","ark:/21198/z1t45sc2","","","","","Witnesses: Musibi (page 1875), Musiri (page 1875), Mahlase (page 1901), Motha (page 1914), Griffiths (page 1940)","","1960-05-13","","","","","78 pages","","reports","eng","b7617662_commission_v019","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1jq30t0","","","","Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","","","individuals","Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1vm6bkw/manifest"
"Work","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Commission, Volume 20","ark:/21198/z1qv5kwm","ark:/21198/z1t45sc2","","","","","Witnesses: Mkwawazi (page 1950), Lekobo (page 1974), Makboba (page 1981), Qtwata (page 1988), Mofoking (page 1997), Lenyatso (page 2004), Smit (page 2016), Molatule (page 2071)","","1960-05-16","","","","","139 pages","","reports","eng","b7617662_commission_v020","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1gf2tds","","","","Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","","","individuals","Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1qv5kwm/manifest"
"Work","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Commission, Volume 21","ark:/21198/z1m63jmc","ark:/21198/z1t45sc2","","","","","","","1960-05-18","","","","","34 pages","","reports","eng","b7617662_commission_v021","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1hm789r","","","","Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","","","individuals","Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1m63jmc/manifest"
"Work","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Commission, Volume 22","ark:/21198/z1gf2sv6","ark:/21198/z1t45sc2","","","","","Witnesses: Timane (page 2181), Mashetedi (page 2200), Masbosani (page 2237), Malema (page 2240), Badebe (page 2247)","","1960-05-19","","","","","75 pages","","reports","eng","b7617662_commission_v022","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz14769rd","","","","Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","","","individuals","Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1gf2sv6/manifest"
"Work","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Commission, Volume 23","ark:/21198/z1bp223t","ark:/21198/z1t45sc2","","","","","Witnesses: Lidia (page 2272), Dkose (page 2258)","","1960-05-23","","","","","97 pages","","reports","eng|~|afr","b7617662_commission_v023","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1f78cfr","","","","Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","","","individuals","Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1bp223t/manifest"
"Work","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Commission, Volume 24","ark:/21198/z16x19bn","ark:/21198/z1t45sc2","","","","","Witnesses: Mingo (page 2344), Maja (page 2356), Theron (page 2429)","","1960-05-23","","","","","109 pages","","reports","afr|~|eng","b7617662_commission_v024","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1wt0t5d","","","","Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","","","individuals","Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz16x19bn/manifest"
"Work","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960, Commission, Volume 25","ark:/21198/z1350jnp","ark:/21198/z1t45sc2","","","","","Witnesses: van den Bergh (page 2450), Tsolo (page 2465), More (page 2521), Arnold (page 2511)","","1960-05-24","","","","","81 pages","","reports","afr|~|eng","b7617662_commission_v025","https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1tf1x8z","","","","Johannesburg, South Africa","Commission of Enquiry into the Occurrences at Sharpeville (and other places) on the 21st March, 1960","University of California, Los Angeles. Library. Department of Special Collections","text","unknown","UCLA Library Special Collections, A1713 Charles E. Young Research Library, Box 951575, Los Angeles, CA 90095-1575. Email: spec-coll@library.ucla.edu. Phone: (310) 825-2566","","","","individuals","Sharpeville Massacre, Sharpeville, South Africa, 1960|~|Massacres--South Africa|~|South Africa--History--1909-1961","https://iiif.library.ucla.edu/ark%3A%2F21198%2Fz1350jnp/manifest"
